sequence,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF8gBzcBuiBifBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jem6IvhFfhB0cBldBxkBCn?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF0cBldB2kBzgBCn?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jei6IvhFRcBuiBFgBXhB8m?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhFlcB3dBzgBCnBOp?B8pB,v115@8gA8HeB8HeG8AeD8BeH8JeU8IvhFRdBFgBTiBGmB/p?BipB,v115@8gA8HeB8HeG8AeD8BeH8Jel7IvhF3cBuiBifB8mBRq?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Je8AJvhFRdBifBGiBXgBlm?BTpB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFUcBRdBFgBTiBGm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jex7IvhFldBTgB/mBOpBUn?B6pB,v115@8gA8HeB8HeG8AeD8BeH8JeVBJvhF3dBzfBGmBZkBUn?BCqB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFzbBRdBUgBGiBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jez7IvhFRdBUgBGiBlmB/p?BipB
ITJOLZS,X,X,O,O,X,X,O,X,X,X,X,X,X
ITJOSLZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITJOZLS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITJOZSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITSLJZO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITSLJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITSLZOJ,O,O,X,X,X,X,O,X,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITSJLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITSJZOL,O,X,X,X,X,X,O,X,X,X,X,X,O
ITSJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITSZLJO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITSZLOJ,O,O,X,X,X,X,O,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITSZJOL,O,X,X,X,X,X,O,X,X,X,X,X,O
ITSZOLJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X,O,X,X,X,X,X,O
ITSOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITSOZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITZLJSO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZLJOS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZLSJO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZLSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZLOJS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZLOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ITZJLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZJLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZJSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITZJSOL,O,X,X,O,X,X,O,X,X,X,X,X,O
ITZJOLS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZJOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITZSLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITZSLOJ,O,O,X,O,X,X,O,X,X,O,X,X,X
ITZSJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITZSJOL,O,X,X,O,X,X,O,X,X,O,X,X,O
ITZSOLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
ITZSOJL,O,X,X,O,X,X,O,X,X,O,X,X,O
ITZOLJS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ITZOJLS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZOJSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
ITZOSJL,O,X,X,X,X,X,O,X,X,O,X,X,X
ITOLJSZ,X,X,O,X,X,X,X,X,O,X,X,X,X
ITOLJZS,X,X,O,O,X,X,O,X,O,X,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOLSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ITOLZJS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOLZSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOJLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,X,X,O,O,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ITOJSZL,O,X,X,X,X,O,X,X,X,X,X,X,O
ITOJZLS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITOJZSL,O,X,X,X,X,O,O,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITOSZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITOZLJS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITOZLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,O,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
ITOZSJL,O,X,X,X,X,X,O,X,X,O,X,X,X
ILTJSZO,X,O,O,X,X,X,O,O,X,X,X,O,O
ILTJSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILTJZSO,O,O,O,X,X,X,O,O,X,X,X,O,X
ILTJZOS,O,X,O,X,X,X,O,O,X,X,X,O,X
ILTJOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X
ILTJOZS,O,X,O,X,X,X,O,O,X,X,X,O,X
ILTSJZO,X,O,X,X,X,X,O,O,X,X,X,O,O
ILTSJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILTSZJO,X,O,X,X,O,X,O,X,X,X,X,O,O
ILTSZOJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ILTSOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTZJSO,O,O,O,X,O,X,O,O,X,X,X,O,X
ILTZJOS,O,X,O,X,O,X,O,O,X,X,X,O,X
ILTZSJO,O,O,X,X,O,X,O,X,X,X,X,O,X
ILTZSOJ,O,O,X,X,O,X,O,X,X,X,X,X,X
ILTZOJS,O,X,O,X,X,X,O,X,O,X,X,O,X
ILTZOSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ILTOJSZ,X,O,O,X,O,X,X,X,O,X,X,O,X
ILTOJZS,O,X,O,X,X,X,O,O,O,X,X,O,X
ILTOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTOZJS,O,X,O,X,O,X,O,X,O,X,X,O,X
ILTOZSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ILJTSZO,X,O,O,X,X,X,O,O,X,X,X,O,X
ILJTSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILJTZSO,O,O,O,X,X,X,O,O,X,X,X,O,X
ILJTZOS,O,X,O,X,X,X,O,O,O,X,X,O,X
ILJTOSZ,X,O,O,X,X,X,X,X,O,X,X,O,X
ILJTOZS,O,X,O,X,X,X,O,O,O,X,X,O,X
ILJSTZO,X,O,O,X,X,X,O,O,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJSZTO,O,O,O,X,X,X,O,X,X,X,X,X,X
ILJSZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJZTSO,O,O,O,X,X,X,O,O,X,X,X,O,X
ILJZTOS,O,X,O,X,X,X,O,O,O,X,X,O,X
ILJZSTO,O,O,O,X,X,X,O,O,X,X,X,X,X
ILJZSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,O,X,O,X,X,O,X
ILJZOST,X,X,X,X,X,X,O,X,O,X,X,X,X
ILJOTSZ,X,O,O,X,X,X,X,X,O,X,X,X,X
ILJOTZS,X,X,O,X,X,X,O,O,O,X,X,X,X
ILJOSTZ,X,O,O,X,X,X,X,X,O,X,X,X,X
ILJOSZT,X,O,O,X,X,X,X,X,O,X,X,X,X
ILJOZTS,O,X,O,X,X,X,O,X,O,X,X,X,X
ILJOZST,X,X,O,X,X,X,O,X,O,X,X,X,X
ILSTJZO,X,O,X,X,X,X,O,O,X,X,X,O,X
ILSTJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILSTZJO,X,O,X,X,O,X,O,X,X,X,X,O,X
ILSTZOJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSTOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X,O,O,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,O,X,X,X,X,X,X
ILSJZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSJOZT,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,O,X,X,O,X,O,X,X,X,X,O,X
ILSZTOJ,O,O,X,X,O,X,O,X,X,X,X,X,X
ILSZJTO,O,O,X,X,O,X,O,X,X,X,X,X,X
ILSZJOT,X,O,X,X,O,X,O,X,X,X,X,X,X
ILSZOTJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ILSZOJT,X,O,X,X,O,X,O,X,X,X,X,X,X
ILSOTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X
ILSOJZT,X,O,X,X,X,X,X,X,O,X,X,X,X
ILSOZTJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILSOZJT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,O,X,O,X,O,O,X,X,X,O,X
ILZTJOS,O,X,O,X,O,X,O,O,X,X,X,O,X
ILZTSJO,O,O,X,X,O,X,O,X,X,X,X,O,X
ILZTSOJ,O,O,X,X,O,X,O,X,X,X,X,X,X
ILZTOJS,O,X,O,X,X,X,O,X,X,X,X,O,X
ILZTOSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ILZJTSO,O,O,O,X,O,X,O,O,X,X,X,O,X
ILZJTOS,O,X,O,X,O,X,O,O,X,X,X,O,X
ILZJSTO,O,O,O,X,O,X,O,O,X,X,X,X,X
ILZJSOT,X,O,X,X,O,X,O,X,X,X,X,X,X
ILZJOTS,O,X,O,X,O,X,O,X,X,X,X,O,X
ILZJOST,X,X,X,X,O,X,O,X,X,X,X,X,X
ILZSTJO,O,O,X,X,O,X,O,X,X,X,X,O,X
ILZSTOJ,O,O,X,X,O,X,O,X,X,X,X,X,X
ILZSJTO,O,O,X,X,O,X,O,X,X,X,X,X,X
ILZSJOT,X,O,X,X,O,X,O,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ILZSOJT,X,O,X,X,O,X,O,X,X,X,X,X,X
ILZOTJS,O,X,O,X,O,X,O,X,X,X,X,O,X
ILZOTSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ILZOJTS,O,X,O,X,O,X,O,X,O,X,X,O,X
ILZOJST,X,X,O,X,O,X,O,X,O,X,X,X,X
ILZOSTJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ILZOSJT,X,X,X,X,O,X,O,X,X,X,X,X,X
ILOTJSZ,X,O,O,X,O,X,X,X,O,X,X,O,X
ILOTJZS,X,X,O,X,X,X,O,O,O,X,X,O,X
ILOTSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOTZJS,X,X,O,X,O,X,O,X,O,X,X,O,X
ILOTZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ILOJTSZ,X,O,O,X,O,X,X,X,O,X,X,X,X
ILOJTZS,X,X,O,X,X,X,O,O,O,X,X,X,X
ILOJSTZ,X,O,O,X,O,O,X,X,O,X,X,X,X
ILOJSZT,X,O,O,X,X,O,X,X,O,X,X,X,X
ILOJZTS,O,X,O,X,X,X,O,X,O,X,X,X,X
ILOJZST,X,X,O,X,X,O,O,X,O,X,X,X,X
ILOSTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X
ILOSJZT,X,O,X,X,X,X,X,X,O,X,X,X,X
ILOSZTJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOSZJT,X,O,X,X,O,X,X,X,X,X,X,X,X
ILOZTJS,O,X,O,X,O,X,O,X,X,X,X,O,X
ILOZTSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ILOZJTS,O,X,O,X,O,X,O,X,O,X,X,X,X
ILOZJST,X,X,O,X,O,X,O,X,O,X,X,X,X
ILOZSTJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ILOZSJT,X,X,X,X,O,X,O,X,X,X,X,X,X
IJTLSZO,X,O,O,O,X,X,O,O,X,X,X,X,O
IJTLSOZ,X,O,X,X,X,X,X,X,X,X,O,X,X
IJTLZSO,X,O,O,O,X,X,O,O,X,X,X,X,X
IJTLZOS,X,X,O,O,X,X,O,O,X,X,X,X,X
IJTLOSZ,X,O,O,X,X,X,X,X,X,X,O,X,X
IJTLOZS,X,X,O,O,X,X,O,O,X,X,X,X,X
IJTSLZO,O,O,X,O,X,X,O,X,X,X,X,X,O
IJTSLOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
IJTSZLO,O,O,X,X,X,X,O,X,X,X,X,X,O
IJTSZOL,O,X,X,X,X,X,O,X,X,X,O,X,O
IJTSOLZ,O,O,O,X,X,X,X,X,X,X,O,X,X
IJTSOZL,O,X,X,X,X,X,X,X,X,X,O,X,O
IJTZLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
IJTZLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
IJTZSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
IJTZSOL,O,X,X,O,X,X,O,X,X,X,O,X,O
IJTZOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTZOSL,O,X,X,X,X,X,O,X,X,X,O,X,X
IJTOLSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
IJTOLZS,X,X,O,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,X,X,X,O,X,X
IJTOSZL,O,X,X,X,X,X,X,X,X,X,O,X,O
IJTOZLS,O,X,O,X,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,O,X,X,X,O,X,X
IJLTSZO,X,O,O,X,X,X,O,O,X,X,X,O,X
IJLTSOZ,X,O,X,X,X,X,X,X,X,X,O,O,X
IJLTZSO,O,O,O,X,X,X,O,O,X,X,X,O,X
IJLTZOS,O,X,O,X,X,X,O,O,X,X,X,O,X
IJLTOSZ,X,O,O,X,X,X,X,X,X,X,O,O,X
IJLTOZS,O,X,O,X,X,X,O,O,X,X,X,O,X
IJLSTZO,X,O,O,X,X,X,O,O,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,X,X,X,X,O,X,X
IJLSZTO,O,O,O,X,X,X,O,X,X,X,X,X,X
IJLSZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,O,X,X,X,X,X,X,X,X,O,X,X
IJLSOZT,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,O,O,X,X,X,O,O,X,X,X,O,X
IJLZTOS,O,X,O,X,X,X,O,O,X,X,X,O,X
IJLZSTO,O,O,O,X,X,X,O,O,X,X,X,X,X
IJLZSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,O,X,X,X,X,O,X
IJLZOST,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLOTSZ,X,O,O,X,X,X,X,X,O,X,O,X,X
IJLOTZS,X,X,O,X,X,X,O,O,O,X,X,X,X
IJLOSTZ,X,O,O,X,X,X,X,X,O,X,O,X,X
IJLOSZT,X,O,O,X,X,X,X,X,O,X,X,X,X
IJLOZTS,O,X,O,X,X,X,O,X,O,X,X,X,X
IJLOZST,X,X,O,X,X,X,O,X,O,X,X,X,X
IJSTLZO,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSTLOZ,X,O,X,X,X,X,X,X,X,X,O,X,X
IJSTZLO,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSTZOL,X,X,X,X,X,O,O,X,X,X,O,X,X
IJSTOLZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IJSTOZL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJSLTZO,X,O,O,X,X,X,O,O,X,X,X,X,X
IJSLTOZ,X,O,X,X,X,X,X,X,X,X,O,X,X
IJSLZTO,X,O,O,X,X,X,O,X,X,X,X,X,X
IJSLZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,X,X,O,X,X
IJSLOZT,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSZTOL,X,X,X,X,X,O,O,X,X,X,O,X,X
IJSZLTO,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSZLOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,O,O,X,X,X,O,X,X
IJSZOLT,X,O,X,X,X,O,O,X,X,X,X,X,X
IJSOTLZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IJSOTZL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJSOLTZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IJSOLZT,X,O,O,X,X,O,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJSOZLT,X,O,O,X,X,O,X,X,X,X,X,X,X
IJZTLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
IJZTLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
IJZTSLO,O,O,X,O,X,X,O,X,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,O,X,X,X,O,X,X
IJZTOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,O,X,X,X,O,X,X
IJZLTSO,O,O,O,O,X,X,O,O,X,X,X,X,X
IJZLTOS,O,X,O,O,X,X,O,O,X,X,X,X,X
IJZLSTO,O,O,O,O,X,X,O,O,X,X,X,X,X
IJZLSOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IJZLOTS,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZLOST,X,X,X,O,X,X,O,X,X,X,X,X,X
IJZSTLO,X,O,X,O,X,X,O,X,X,X,X,X,X
IJZSTOL,O,X,X,O,X,O,O,X,X,X,O,X,X
IJZSLTO,X,O,X,O,X,X,O,X,X,X,X,X,X
IJZSLOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IJZSOTL,X,X,X,O,X,O,O,X,X,X,O,X,X
IJZSOLT,X,O,X,O,X,O,O,X,X,X,X,X,X
IJZOTLS,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZOTSL,O,X,X,O,X,O,O,X,X,X,O,X,X
IJZOLTS,X,X,O,O,X,X,O,X,X,X,X,X,X
IJZOLST,X,X,O,O,X,O,O,X,X,X,X,X,X
IJZOSTL,X,X,X,O,X,O,O,X,X,X,O,X,X
IJZOSLT,X,X,O,O,X,O,O,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
IJOTLZS,X,X,O,X,X,X,O,X,X,X,X,X,X
IJOTSLZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IJOTSZL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJOTZLS,X,X,O,X,X,X,O,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,O,O,X,X,X,O,X,X
IJOLTSZ,X,O,O,X,X,X,X,X,O,X,O,X,X
IJOLTZS,X,X,O,X,X,X,O,O,O,X,X,X,X
IJOLSTZ,X,O,O,X,X,O,X,X,O,X,O,X,X
IJOLSZT,X,O,O,X,X,O,X,X,O,X,X,X,X
IJOLZTS,X,X,O,X,X,X,O,X,O,X,X,X,X
IJOLZST,X,X,O,X,X,O,O,X,O,X,X,X,X
IJOSTLZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IJOSTZL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJOSLTZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IJOSLZT,X,O,O,X,X,O,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,X,O,X,X,X,X,O,X,X
IJOSZLT,X,O,O,X,X,O,X,X,X,X,X,X,X
IJOZTLS,X,X,O,X,X,X,O,X,X,X,X,X,X
IJOZTSL,X,X,X,X,X,O,O,X,X,X,O,X,X
IJOZLTS,X,X,O,X,X,X,O,X,X,X,X,X,X
IJOZLST,X,X,O,X,X,O,O,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,O,O,X,X,X,O,X,X
IJOZSLT,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTLJZO,X,O,X,X,X,X,O,X,X,X,X,X,O
ISTLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZJO,X,O,X,X,X,X,O,X,X,X,X,X,O
ISTLZOJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,O,X,X,X,X,O,X,X,X,X,X,O
ISTJLOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJZLO,X,O,X,X,X,X,O,X,X,X,X,X,O
ISTJZOL,X,X,X,X,X,X,O,X,X,X,X,X,O
ISTJOLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTZLJO,X,O,X,X,X,X,O,X,X,X,X,X,O
ISTZLOJ,X,O,X,X,X,X,O,X,X,O,X,X,X
ISTZJLO,X,O,X,X,X,X,O,X,X,X,X,X,O
ISTZJOL,X,X,X,X,X,X,O,X,X,O,X,X,O
ISTZOLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
ISTZOJL,X,X,X,X,X,X,O,X,X,O,X,X,O
ISTOLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,X,X,X,X,X,X,O,X,X,O
ISTOZLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOZJL,X,X,X,X,X,X,X,X,X,O,X,X,O
ISLTJZO,X,O,X,X,X,X,O,O,X,X,X,O,X
ISLTJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ISLTZJO,X,O,X,X,O,X,O,X,X,X,X,O,X
ISLTZOJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLTOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLJTZO,X,O,X,X,X,X,O,O,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJZTO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLJZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,X,O,X,X,O,X,O,X,X,X,X,O,X
ISLZTOJ,X,O,X,X,O,X,O,X,X,O,X,X,X
ISLZJTO,X,O,X,X,O,X,O,X,X,X,X,X,X
ISLZJOT,X,O,X,X,O,X,O,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,O,X,O,X,X,O,X,X,X
ISLZOJT,X,O,X,X,O,X,O,X,X,O,X,X,X
ISLOTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X
ISLOJZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLOZTJ,X,O,X,X,O,X,X,X,X,O,X,X,X
ISLOZJT,X,O,X,X,O,X,X,X,X,O,X,X,X
ISJTLZO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X,X,X,X,O,X,X
ISJTZLO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJTZOL,X,X,X,X,X,X,O,X,X,X,O,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X,X,O,X,X
ISJTOZL,X,X,X,X,X,X,X,X,X,X,O,X,X
ISJLTZO,X,O,X,X,X,X,O,O,X,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X,X,X,X,O,X,X
ISJLZTO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,X,X,X,X,O,X,X
ISJLOZT,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJZTOL,X,X,X,X,X,X,O,X,X,O,O,X,X
ISJZLTO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJZLOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,O,X,X,O,O,X,X
ISJZOLT,X,O,X,X,X,X,O,X,X,O,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,X,X,X,O,X,X
ISJOTZL,X,X,X,X,X,X,X,X,X,O,O,X,X
ISJOLTZ,X,O,X,X,X,X,X,X,X,X,O,X,X
ISJOLZT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJOZTL,X,X,X,X,X,X,X,X,X,O,O,X,X
