sequence,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBOhBfjB6jB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBSjBUjBzlBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOhBfjB6jBTgB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBGeBylBUjBXmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFXcBCeB2lBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBFjBzlBctBCtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhF0bBCeB/lBTjBOmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigBXhBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigB0gBTjBXmBFtB
IJLSOZT,O,O,O,X,X,X,X,X,X
IJLZTSO,O,X,X,X,X,X,X,O,O
IJLZTOS,O,X,X,O,X,X,X,O,O
IJLZSTO,O,O,X,X,X,X,X,O,O
IJLZSOT,O,O,X,O,X,X,X,X,X
IJLZOTS,O,X,X,O,X,X,X,X,O
IJLZOST,O,X,X,O,X,X,X,X,X
IJLOTSZ,X,O,O,X,X,X,X,O,O
IJLOTZS,X,X,X,O,X,X,X,O,O
IJLOSTZ,X,O,O,X,X,X,X,O,X
IJLOSZT,X,O,O,X,X,X,X,X,X
IJLOZTS,X,X,X,O,X,X,X,X,O
IJLOZST,X,O,X,O,X,X,X,X,X
IJSTLZO,O,O,O,X,X,X,X,X,X
IJSTLOZ,O,O,O,X,O,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,X
IJSTZOL,O,X,O,X,O,X,O,X,X
IJSTOLZ,O,O,O,X,O,X,O,X,X
IJSTOZL,O,X,O,X,O,X,O,X,X
IJSLTZO,O,O,X,X,X,X,X,O,O
IJSLTOZ,X,O,O,X,O,X,X,O,O
IJSLZTO,O,O,X,X,X,X,X,O,O
IJSLZOT,O,O,O,X,X,X,X,X,X
IJSLOTZ,X,X,O,X,X,X,X,O,X
IJSLOZT,O,O,O,X,X,X,X,X,X
IJSZTLO,O,O,X,X,X,X,X,X,X
IJSZTOL,O,X,X,X,O,X,O,X,X
IJSZLTO,O,O,X,X,X,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X,X,X
IJSZOLT,O,X,O,X,X,X,X,X,X
IJSOTLZ,X,O,O,X,O,X,X,X,X
IJSOTZL,X,X,O,X,O,X,X,X,X
IJSOLTZ,X,X,O,X,X,X,X,X,X
IJSOLZT,O,O,O,X,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X,X
IJSOZLT,O,X,O,X,X,X,X,X,X
IJZTLSO,O,O,X,X,X,X,X,X,X
IJZTLOS,O,X,X,O,X,X,X,X,X
IJZTSLO,O,O,O,X,X,X,X,X,X
IJZTSOL,O,X,O,X,O,X,X,X,X
IJZTOLS,O,X,X,X,O,O,X,X,X
IJZTOSL,O,X,O,X,O,O,X,X,X
IJZLTSO,O,X,X,X,X,X,X,O,O
IJZLTOS,O,X,X,O,X,X,X,O,O
IJZLSTO,O,O,X,X,X,X,X,O,O
IJZLSOT,O,O,X,O,X,X,X,X,X
IJZLOTS,O,X,X,O,X,X,X,X,O
IJZLOST,O,X,X,O,X,X,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,O,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X,X
IJZSLOT,O,O,O,O,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,X,X,X
IJZSOLT,O,X,O,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,O,X,X,X
IJZOTSL,O,X,O,X,X,O,X,X,X
IJZOLTS,O,X,X,O,X,O,X,X,X
IJZOLST,O,X,X,O,X,O,X,X,X
IJZOSTL,O,X,X,X,X,O,X,X,X
IJZOSLT,O,X,O,X,X,O,X,X,X
IJOTLSZ,X,O,O,X,O,X,X,X,X
IJOTLZS,X,O,X,X,O,X,X,X,X
IJOTSLZ,O,O,O,X,O,X,X,X,X
IJOTSZL,O,O,O,X,O,O,X,X,X
IJOTZLS,O,O,X,X,O,O,X,X,X
IJOTZSL,O,O,O,X,O,O,X,X,X
IJOLTSZ,X,O,O,X,X,X,X,O,O
IJOLTZS,X,O,X,X,X,X,X,O,O
IJOLSTZ,X,O,O,X,X,X,X,O,X
IJOLSZT,X,O,O,X,X,O,X,X,X
IJOLZTS,X,X,X,X,X,O,X,X,O
IJOLZST,X,O,X,X,X,O,X,X,X
IJOSTLZ,X,O,O,X,O,X,X,X,X
IJOSTZL,X,O,O,X,O,O,X,X,X
IJOSLTZ,X,O,O,X,X,X,X,X,X
IJOSLZT,O,O,O,X,X,O,X,X,X
IJOSZTL,O,O,X,X,X,O,X,X,X
IJOSZLT,O,O,O,X,X,O,X,X,X
IJOZTLS,O,O,X,X,X,O,X,X,X
IJOZTSL,O,O,O,X,X,O,X,X,X
IJOZLTS,O,X,X,X,X,O,X,X,X
IJOZLST,O,O,X,X,X,O,X,X,X
IJOZSTL,O,O,X,X,X,O,X,X,X
IJOZSLT,O,O,O,X,X,O,X,X,X
ISTLJZO,O,O,O,X,X,X,X,O,O
ISTLJOZ,O,O,O,X,O,X,X,O,O
ISTLZJO,O,O,O,O,X,X,X,X,X
ISTLZOJ,O,X,O,O,X,X,O,X,X
ISTLOJZ,O,O,O,X,O,X,O,X,X
ISTLOZJ,O,O,O,O,O,X,O,X,X
ISTJLZO,O,O,O,X,X,X,X,O,O
ISTJLOZ,O,O,O,X,O,X,X,O,O
ISTJZLO,O,O,O,X,X,X,X,X,X
ISTJZOL,O,X,O,X,O,X,O,X,X
ISTJOLZ,O,O,O,X,O,X,O,X,X
ISTJOZL,O,X,O,X,O,X,O,X,X
ISTZLJO,O,O,O,O,X,X,X,X,X
ISTZLOJ,O,X,O,O,X,X,O,X,X
ISTZJLO,O,O,O,O,X,X,X,X,X
ISTZJOL,O,X,O,X,O,X,O,X,X
ISTZOLJ,O,X,O,X,O,X,O,X,X
ISTZOJL,O,X,O,X,O,X,O,X,X
ISTOLJZ,O,O,O,X,O,X,O,X,X
ISTOLZJ,O,O,O,X,O,X,O,X,X
ISTOJLZ,O,O,O,X,O,X,O,X,X
ISTOJZL,O,O,O,X,O,X,O,X,X
ISTOZLJ,O,O,O,X,O,X,O,X,X
ISTOZJL,O,O,O,X,O,X,O,X,X
ISLTJZO,O,O,X,X,X,X,X,O,O
ISLTJOZ,X,O,O,X,O,X,X,O,O
ISLTZJO,O,O,X,O,X,X,X,X,X
ISLTZOJ,O,X,X,O,X,X,O,X,X
ISLTOJZ,X,O,O,X,O,X,O,X,X
ISLTOZJ,X,X,X,O,O,X,O,X,X
ISLJTZO,O,O,X,X,X,X,X,O,O
ISLJTOZ,X,O,O,X,O,X,X,O,O
ISLJZTO,O,O,X,X,X,X,X,O,O
ISLJZOT,O,O,O,X,X,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,X,O,X
ISLJOZT,O,O,O,X,X,X,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,O,X,X
ISLZJTO,O,O,X,X,X,X,X,X,X
ISLZJOT,O,O,O,O,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X,X,X,X
ISLOTJZ,X,O,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,X,X,X
ISLOJZT,O,O,O,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X
ISLOZJT,O,O,O,O,X,X,X,X,X
ISJTLZO,O,O,O,X,X,X,X,X,X
ISJTLOZ,O,O,O,X,O,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X,X,X
ISJTZOL,O,X,O,X,O,X,O,X,X
ISJTOLZ,O,O,O,X,O,X,O,X,X
ISJTOZL,O,X,O,X,O,X,O,X,X
ISJLTZO,O,O,X,X,X,X,X,O,O
ISJLTOZ,X,O,O,X,O,X,X,O,O
ISJLZTO,O,O,X,X,X,X,X,O,O
ISJLZOT,O,O,O,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,X,X,O,X
ISJLOZT,O,O,O,X,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,O,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X,X,X
ISJZOLT,O,X,O,X,X,X,X,X,X
ISJOTLZ,X,O,O,X,O,X,X,X,X
ISJOTZL,X,X,O,X,O,X,X,X,X
ISJOLTZ,X,X,O,X,X,X,X,X,X
ISJOLZT,O,O,O,X,X,X,X,X,X
ISJOZTL,O,X,X,X,X,X,X,X,X
ISJOZLT,O,X,O,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X,O,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,O,X,O,X,X
ISZTOLJ,O,X,X,X,O,O,O,X,X
ISZTOJL,O,X,X,X,O,O,O,X,X
ISZLTJO,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,O,X,X
ISZLJTO,O,O,X,X,X,X,X,X,X
ISZLJOT,O,O,O,O,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,X
ISZLOJT,O,X,O,O,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,O,X,O,X,X
ISZJLTO,O,O,X,X,X,X,X,X,X
ISZJLOT,O,O,O,O,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,X,X
ISZJOLT,O,X,O,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,O,O,X,X
ISZOTJL,O,X,X,X,X,O,O,X,X
ISZOLTJ,O,X,X,X,X,O,X,X,X
ISZOLJT,O,X,O,X,X,O,X,X,X
ISZOJTL,O,X,X,X,X,O,X,X,X
ISZOJLT,O,X,O,X,X,O,X,X,X
ISOTLJZ,X,O,O,X,O,X,O,X,X
ISOTLZJ,X,O,O,X,O,X,O,X,X
ISOTJLZ,X,O,O,X,O,X,O,X,X
ISOTJZL,X,O,O,X,O,O,O,X,X
ISOTZLJ,X,O,O,X,O,O,O,X,X
ISOTZJL,X,O,O,X,O,O,O,X,X
ISOLTJZ,X,O,O,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,X
ISOLJTZ,X,O,O,X,X,X,X,X,X
ISOLJZT,O,O,O,X,X,O,X,X,X
ISOLZTJ,O,X,X,X,X,O,X,X,X
ISOLZJT,O,O,O,X,X,O,X,X,X
ISOJTLZ,X,O,O,X,O,X,X,X,X
ISOJTZL,X,O,O,X,O,O,X,X,X
ISOJLTZ,X,O,O,X,X,X,X,X,X
ISOJLZT,O,O,O,X,X,O,X,X,X
ISOJZTL,O,O,X,X,X,O,X,X,X
ISOJZLT,O,O,O,X,X,O,X,X,X
ISOZTLJ,O,O,X,X,X,O,O,X,X
ISOZTJL,O,O,X,X,X,O,O,X,X
ISOZLTJ,O,X,X,X,X,O,X,X,X
ISOZLJT,O,O,O,X,X,O,X,X,X
ISOZJTL,O,O,X,X,X,O,X,X,X
ISOZJLT,O,O,O,X,X,O,X,X,X
IZTLJSO,O,O,X,O,X,X,X,O,O
IZTLJOS,O,X,X,O,X,X,X,O,O
IZTLSJO,O,O,X,O,X,X,X,X,X
IZTLSOJ,O,X,X,O,X,X,X,X,X
IZTLOJS,O,O,X,O,X,O,X,X,X
IZTLOSJ,O,O,X,O,X,O,X,X,X
IZTJLSO,O,O,X,O,X,X,X,O,O
IZTJLOS,O,X,X,O,X,X,X,O,O
IZTJSLO,O,O,O,O,X,X,X,X,X
IZTJSOL,O,X,O,X,O,X,X,X,X
IZTJOLS,O,X,X,O,O,O,X,X,X
IZTJOSL,O,X,O,X,O,O,X,X,X
IZTSLJO,O,O,O,O,X,X,X,X,X
IZTSLOJ,O,X,O,O,X,X,O,X,X
IZTSJLO,O,O,O,O,X,X,X,X,X
IZTSJOL,O,X,O,X,O,X,O,X,X
IZTSOLJ,O,X,O,X,O,O,O,X,X
IZTSOJL,O,X,O,X,O,O,O,X,X
IZTOLJS,O,O,X,O,O,O,X,X,X
IZTOLSJ,O,O,X,O,O,O,O,X,X
IZTOJLS,O,O,X,O,O,O,X,X,X
IZTOJSL,O,O,O,X,O,O,X,X,X
IZTOSLJ,O,O,O,X,O,O,O,X,X
IZTOSJL,O,O,O,X,O,O,O,X,X
IZLTJSO,O,X,X,O,X,X,X,O,O
IZLTJOS,O,X,X,O,X,X,X,O,O
IZLTSJO,O,X,X,O,X,X,X,X,X
IZLTSOJ,O,X,X,O,X,X,X,X,X
IZLTOJS,O,X,X,O,X,O,X,X,X
IZLTOSJ,O,X,X,O,X,O,X,X,X
IZLJTSO,O,X,X,X,X,X,X,O,O
IZLJTOS,O,X,X,O,X,X,X,O,O
IZLJSTO,O,O,X,X,X,X,X,O,O
IZLJSOT,O,O,X,O,X,X,X,X,X
IZLJOTS,O,X,X,O,X,X,X,X,O
IZLJOST,O,X,X,O,X,X,X,X,X
IZLSTJO,O,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,X,O,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,O,X,X,X,X,X
IZLOTJS,O,X,X,O,X,O,X,X,X
IZLOTSJ,O,X,X,O,X,O,X,X,X
IZLOJTS,O,X,X,O,X,O,X,X,X
IZLOJST,O,O,X,O,X,O,X,X,X
IZLOSTJ,O,X,X,X,X,O,X,X,X
IZLOSJT,O,O,X,O,X,O,X,X,X
IZJTLSO,O,O,X,X,X,X,X,X,X
IZJTLOS,O,X,X,O,X,X,X,X,X
IZJTSLO,O,O,O,X,X,X,X,X,X
IZJTSOL,O,X,O,X,O,X,X,X,X
IZJTOLS,O,X,X,X,O,O,X,X,X
IZJTOSL,O,X,O,X,O,O,X,X,X
IZJLTSO,O,X,X,X,X,X,X,O,O
IZJLTOS,O,X,X,O,X,X,X,O,O
IZJLSTO,O,O,X,X,X,X,X,O,O
IZJLSOT,O,O,X,O,X,X,X,X,X
IZJLOTS,O,X,X,O,X,X,X,X,O
IZJLOST,O,X,X,O,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,O,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X
IZJSLOT,O,O,O,O,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X,X
IZJSOLT,O,X,O,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,O,X,X,X
IZJOTSL,O,X,O,X,X,O,X,X,X
IZJOLTS,O,X,X,O,X,O,X,X,X
IZJOLST,O,X,X,O,X,O,X,X,X
IZJOSTL,O,X,X,X,X,O,X,X,X
IZJOSLT,O,X,O,X,X,O,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,O,X,X
IZSTJLO,O,O,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,O,X,O,X,X
IZSTOLJ,O,X,X,X,O,O,O,X,X
IZSTOJL,O,X,X,X,O,O,O,X,X
IZSLTJO,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,O,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X
IZSLJOT,O,O,O,O,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,X,O,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X
IZSJLOT,O,O,O,O,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,O,O,X,X
IZSOTJL,O,X,X,X,X,O,O,X,X
IZSOLTJ,O,X,X,X,X,O,X,X,X
IZSOLJT,O,X,O,X,X,O,X,X,X
IZSOJTL,O,X,X,X,X,O,X,X,X
IZSOJLT,O,X,O,X,X,O,X,X,X
IZOTLJS,O,O,X,X,X,O,X,X,X
IZOTLSJ,O,O,X,X,X,O,X,X,X
IZOTJLS,O,O,X,X,X,O,X,X,X
IZOTJSL,O,O,O,X,X,O,X,X,X
IZOTSLJ,O,O,O,X,X,O,X,X,X
IZOTSJL,O,O,O,X,X,O,X,X,X
IZOLTJS,O,X,X,O,X,O,X,X,X
IZOLTSJ,O,X,X,X,X,O,X,X,X
IZOLJTS,O,X,X,O,X,O,X,X,X
IZOLJST,O,O,X,O,X,O,X,X,X
IZOLSTJ,O,X,X,X,X,O,X,X,X
IZOLSJT,O,O,X,O,X,O,X,X,X
IZOJTLS,O,O,X,X,X,O,X,X,X
IZOJTSL,O,O,O,X,X,O,X,X,X
IZOJLTS,O,X,X,O,X,O,X,X,X
IZOJLST,O,O,X,O,X,O,X,X,X
IZOJSTL,O,O,X,X,X,O,X,X,X
IZOJSLT,O,O,O,X,X,O,X,X,X
IZOSTLJ,O,O,X,X,X,O,X,X,X
IZOSTJL,O,O,X,X,X,O,X,X,X
IZOSLTJ,O,X,X,X,X,O,X,X,X
IZOSLJT,O,O,O,X,X,O,X,X,X
IZOSJTL,O,O,X,X,X,O,X,X,X
IZOSJLT,O,O,O,X,X,O,X,X,X
IOTLJSZ,X,O,O,X,O,X,O,O,O
IOTLJZS,X,O,X,O,O,X,X,O,O
IOTLSJZ,X,O,O,X,O,X,O,X,X
IOTLSZJ,X,O,O,O,O,X,O,X,X
IOTLZJS,X,O,X,O,O,X,X,X,X
IOTLZSJ,X,O,X,O,O,X,O,X,X
IOTJLSZ,X,O,O,X,O,X,O,O,O
IOTJLZS,X,O,X,X,O,X,X,O,O
IOTJSLZ,O,O,O,X,O,X,O,X,X
IOTJSZL,O,O,O,X,O,O,O,X,X
IOTJZLS,O,O,X,X,O,O,X,X,X
IOTJZSL,O,O,O,X,O,O,X,X,X
IOTSLJZ,O,O,O,X,O,X,O,X,X
IOTSLZJ,O,O,O,X,O,X,O,X,X
IOTSJLZ,O,O,O,X,O,X,O,X,X
IOTSJZL,O,O,O,X,O,O,O,X,X
IOTSZLJ,O,O,O,X,O,O,O,X,X
IOTSZJL,O,O,O,X,O,O,O,X,X
IOTZLJS,O,O,X,O,O,O,X,X,X
IOTZLSJ,O,O,X,O,O,O,O,X,X
IOTZJLS,O,O,X,O,O,O,X,X,X
IOTZJSL,O,O,O,X,O,O,X,X,X
IOTZSLJ,O,O,O,X,O,O,O,X,X
IOTZSJL,O,O,O,X,O,O,O,X,X
IOLTJSZ,X,O,O,X,X,X,X,O,O
IOLTJZS,X,O,X,O,X,X,X,O,O
IOLTSJZ,X,O,O,X,X,X,X,X,X
IOLTSZJ,X,O,O,O,X,X,X,X,X
IOLTZJS,X,O,X,O,X,X,X,X,X
IOLTZSJ,X,O,X,O,X,X,X,X,X
IOLJTSZ,X,O,O,X,X,X,X,O,O
IOLJTZS,X,O,X,O,X,X,X,O,O
IOLJSTZ,X,O,O,X,X,X,X,O,X
IOLJSZT,X,O,O,X,X,O,X,X,X
IOLJZTS,X,X,X,O,X,O,X,X,O
IOLJZST,X,O,X,O,X,O,X,X,X
IOLSTJZ,X,O,O,X,X,X,X,X,X
IOLSTZJ,X,O,X,O,X,X,X,X,X
IOLSJTZ,X,O,O,X,X,X,X,X,X
IOLSJZT,X,O,O,X,X,O,X,X,X
IOLSZTJ,X,X,X,X,X,O,X,X,X
IOLSZJT,X,O,O,O,X,O,X,X,X
IOLZTJS,X,X,X,O,X,O,X,X,X
IOLZTSJ,X,X,X,O,X,O,X,X,X
IOLZJTS,X,X,X,O,X,O,X,X,X
IOLZJST,X,O,X,O,X,O,X,X,X
IOLZSTJ,X,X,X,X,X,O,X,X,X
IOLZSJT,X,O,X,O,X,O,X,X,X
IOJTLSZ,X,O,O,X,O,X,X,X,X
IOJTLZS,X,O,X,X,O,X,X,X,X
IOJTSLZ,O,O,O,X,O,X,X,X,X
IOJTSZL,O,O,O,X,O,O,X,X,X
IOJTZLS,O,O,X,X,O,O,X,X,X
IOJTZSL,O,O,O,X,O,O,X,X,X
IOJLTSZ,X,O,O,X,X,X,X,O,O
IOJLTZS,X,O,X,X,X,X,X,O,O
IOJLSTZ,X,O,O,X,X,X,X,O,X
IOJLSZT,X,O,O,X,X,O,X,X,X
IOJLZTS,X,X,X,X,X,O,X,X,O
IOJLZST,X,O,X,X,X,O,X,X,X
IOJSTLZ,X,O,O,X,O,X,X,X,X
IOJSTZL,X,O,O,X,O,O,X,X,X
IOJSLTZ,X,O,O,X,X,X,X,X,X
IOJSLZT,O,O,O,X,X,O,X,X,X
IOJSZTL,O,O,X,X,X,O,X,X,X
IOJSZLT,O,O,O,X,X,O,X,X,X
IOJZTLS,O,O,X,X,X,O,X,X,X
IOJZTSL,O,O,O,X,X,O,X,X,X
IOJZLTS,O,X,X,X,X,O,X,X,X
IOJZLST,O,O,X,X,X,O,X,X,X
IOJZSTL,O,O,X,X,X,O,X,X,X
IOJZSLT,O,O,O,X,X,O,X,X,X
IOSTLJZ,X,O,O,X,O,X,O,X,X
IOSTLZJ,X,O,O,X,O,X,O,X,X
IOSTJLZ,X,O,O,X,O,X,O,X,X
IOSTJZL,X,O,O,X,O,O,O,X,X
IOSTZLJ,X,O,O,X,O,O,O,X,X
IOSTZJL,X,O,O,X,O,O,O,X,X
IOSLTJZ,X,O,O,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,O,O,X,X,X,X,X,X
IOSLJZT,O,O,O,X,X,O,X,X,X
IOSLZTJ,O,X,X,X,X,O,X,X,X
IOSLZJT,O,O,O,X,X,O,X,X,X
IOSJTLZ,X,O,O,X,O,X,X,X,X
IOSJTZL,X,O,O,X,O,O,X,X,X
IOSJLTZ,X,O,O,X,X,X,X,X,X
IOSJLZT,O,O,O,X,X,O,X,X,X
IOSJZTL,O,O,X,X,X,O,X,X,X
IOSJZLT,O,O,O,X,X,O,X,X,X
IOSZTLJ,O,O,X,X,X,O,O,X,X
IOSZTJL,O,O,X,X,X,O,O,X,X
IOSZLTJ,O,X,X,X,X,O,X,X,X
IOSZLJT,O,O,O,X,X,O,X,X,X
IOSZJTL,O,O,X,X,X,O,X,X,X
IOSZJLT,O,O,O,X,X,O,X,X,X
IOZTLJS,O,O,X,X,X,O,X,X,X
IOZTLSJ,O,O,X,X,X,O,X,X,X
IOZTJLS,O,O,X,X,X,O,X,X,X
IOZTJSL,O,O,O,X,X,O,X,X,X
IOZTSLJ,O,O,O,X,X,O,X,X,X
IOZTSJL,O,O,O,X,X,O,X,X,X
IOZLTJS,O,X,X,O,X,O,X,X,X
IOZLTSJ,O,X,X,X,X,O,X,X,X
IOZLJTS,O,X,X,O,X,O,X,X,X
IOZLJST,O,O,X,O,X,O,X,X,X
IOZLSTJ,O,X,X,X,X,O,X,X,X
IOZLSJT,O,O,X,O,X,O,X,X,X
IOZJTLS,O,O,X,X,X,O,X,X,X
IOZJTSL,O,O,O,X,X,O,X,X,X
IOZJLTS,O,X,X,O,X,O,X,X,X
IOZJLST,O,O,X,O,X,O,X,X,X
IOZJSTL,O,O,X,X,X,O,X,X,X
IOZJSLT,O,O,O,X,X,O,X,X,X
IOZSTLJ,O,O,X,X,X,O,X,X,X
IOZSTJL,O,O,X,X,X,O,X,X,X
IOZSLTJ,O,X,X,X,X,O,X,X,X
IOZSLJT,O,O,O,X,X,O,X,X,X
IOZSJTL,O,O,X,X,X,O,X,X,X
IOZSJLT,O,O,O,X,X,O,X,X,X
LTIJSZO,O,O,O,X,X,X,X,O,O
LTIJSOZ,O,O,O,X,O,X,X,O,O
LTIJZSO,O,O,X,O,X,X,X,O,O
LTIJZOS,O,X,X,O,X,X,X,O,O
LTIJOSZ,X,O,O,X,O,X,X,O,O
LTIJOZS,X,O,X,O,O,X,X,O,O
LTISJZO,O,O,O,X,X,X,X,O,O
LTISJOZ,O,O,O,X,O,X,X,O,O
LTISZJO,O,O,O,O,X,X,X,X,X
LTISZOJ,O,X,O,O,X,X,O,X,X
LTISOJZ,O,O,O,X,O,X,O,X,X
LTISOZJ,O,O,O,O,O,X,O,X,X
LTIZJSO,O,O,X,O,X,X,X,O,O
LTIZJOS,O,X,X,O,X,X,X,O,O
LTIZSJO,O,O,X,O,X,X,X,X,X
LTIZSOJ,O,X,X,O,X,X,X,X,X
LTIZOJS,O,O,X,O,X,X,X,X,X
LTIZOSJ,O,O,X,O,X,X,X,X,X
LTIOJSZ,X,O,O,X,O,X,O,O,O
LTIOJZS,X,O,X,O,O,X,X,O,O
LTIOSJZ,X,O,O,X,O,X,O,X,X
LTIOSZJ,X,O,O,O,O,X,O,X,X
LTIOZJS,X,O,X,O,O,X,X,X,X
LTIOZSJ,X,O,X,O,O,X,O,X,X
LTJISZO,O,O,O,X,X,X,X,O,O
LTJISOZ,O,O,O,X,O,X,X,O,O
LTJIZSO,O,O,X,O,X,X,X,O,O
LTJIZOS,O,X,X,O,X,X,X,O,O
LTJIOSZ,X,O,O,X,O,X,X,O,O
LTJIOZS,X,O,X,O,O,X,X,O,O
LTJSIZO,O,O,O,X,X,X,X,O,O
LTJSIOZ,O,O,O,X,O,X,X,O,O
LTJSZIO,O,O,O,X,X,X,X,X,X
LTJSZOI,O,X,O,X,X,X,X,X,X
LTJSOIZ,O,O,O,X,O,X,X,X,X
LTJSOZI,O,X,O,X,O,X,X,X,X
LTJZISO,O,O,X,O,X,X,X,O,O
LTJZIOS,O,X,X,O,X,X,X,O,O
LTJZSIO,O,O,X,O,X,X,X,X,X
LTJZSOI,O,X,X,O,X,X,X,X,X
LTJZOIS,O,X,X,O,X,X,X,X,X
LTJZOSI,O,X,X,O,X,X,X,X,X
LTJOISZ,X,O,O,X,O,X,X,O,O
LTJOIZS,X,O,X,O,O,X,X,O,O
LTJOSIZ,X,O,O,X,O,X,X,X,X
LTJOSZI,X,O,O,X,O,X,X,X,X
LTJOZIS,X,O,X,O,O,X,X,X,X
LTJOZSI,X,O,X,O,O,X,X,X,X
LTSIJZO,O,O,O,X,X,X,X,O,O
LTSIJOZ,O,O,O,X,O,X,X,O,O
LTSIZJO,O,O,O,O,X,X,X,X,X
LTSIZOJ,O,X,O,O,X,X,O,X,X
LTSIOJZ,O,O,O,X,O,X,O,X,X
LTSIOZJ,O,O,O,O,O,X,O,X,X
LTSJIZO,O,O,O,X,X,X,X,O,O
LTSJIOZ,O,O,O,X,O,X,X,O,O
LTSJZIO,O,O,O,X,X,X,X,X,X
LTSJZOI,O,X,O,X,X,X,X,X,X
LTSJOIZ,O,O,O,X,O,X,X,X,X
LTSJOZI,O,X,O,X,O,X,X,X,X
LTSZIJO,O,O,O,O,X,X,X,X,X
LTSZIOJ,O,X,O,O,X,X,O,X,X
LTSZJIO,O,O,O,O,X,X,X,X,X
