sequence,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFzcBGeBUjBF?nB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeF8IvhF0dB6jB3hBm?nBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JecBJvhFTdB6jBeoBF?nB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFFdB6jBziBm?mB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFGdBTeBFnBX?oBUsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFFdBXeBWnBc?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFGeBiiB3hBF?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeG9IvhFTeBihBUnBF?oB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhBcnBTjB3?sByvBGrB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhB3iBcoBT?sByvBGrB
ILOTJSZ,X,O,X,X,O,O,O,X,X,X
ILOTJZS,O,O,X,X,X,O,O,X,X,X
ILOTSJZ,X,O,X,X,O,X,O,X,X,X
ILOTSZJ,O,O,X,X,O,X,O,X,X,X
ILOTZJS,O,O,X,X,X,O,O,X,X,X
ILOTZSJ,O,O,X,X,X,O,O,X,X,X
ILOJTSZ,X,O,O,X,X,O,X,X,X,X
ILOJTZS,X,O,O,O,X,O,O,X,X,X
ILOJSTZ,X,O,X,O,X,O,X,X,X,X
ILOJSZT,X,O,X,O,X,O,O,X,X,X
ILOJZTS,X,O,O,O,X,O,O,O,X,X
ILOJZST,X,O,X,O,X,O,O,X,X,X
ILOSTJZ,O,O,X,O,O,X,X,X,X,X
ILOSTZJ,O,O,X,O,O,X,X,X,X,X
ILOSJTZ,X,O,X,O,O,O,X,X,X,X
ILOSJZT,X,O,X,O,X,O,O,X,X,X
ILOSZTJ,O,O,X,O,O,O,X,X,X,X
ILOSZJT,O,O,X,O,X,O,O,X,X,X
ILOZTJS,O,O,X,O,X,O,O,O,X,X
ILOZTSJ,O,O,X,O,X,O,O,O,X,X
ILOZJTS,O,O,O,O,X,O,O,O,X,X
ILOZJST,O,O,X,O,X,O,O,X,X,X
ILOZSTJ,O,O,X,O,X,O,X,X,X,X
ILOZSJT,O,O,X,O,X,O,O,X,X,X
IJTLSZO,X,O,O,O,O,O,O,X,X,X
IJTLSOZ,X,O,O,O,O,X,X,X,X,X
IJTLZSO,O,O,O,O,O,O,O,X,X,X
IJTLZOS,O,O,O,O,X,O,O,X,X,X
IJTLOSZ,X,O,O,X,O,X,X,X,X,X
IJTLOZS,O,O,O,O,X,O,O,X,X,X
IJTSLZO,X,O,O,O,O,O,O,X,X,X
IJTSLOZ,X,O,O,X,O,X,X,X,X,X
IJTSZLO,X,O,O,O,O,O,O,X,X,X
IJTSZOL,X,O,O,X,O,O,X,X,X,X
IJTSOLZ,X,O,O,X,O,X,X,X,X,X
IJTSOZL,X,O,O,X,O,X,X,X,X,X
IJTZLSO,O,O,O,O,O,O,O,O,X,X
IJTZLOS,O,O,O,O,X,O,O,O,X,X
IJTZSLO,O,O,O,O,O,O,O,O,X,X
IJTZSOL,O,O,O,X,O,O,X,O,X,X
IJTZOLS,O,O,O,O,X,O,O,O,X,X
IJTZOSL,O,X,O,X,X,O,X,O,X,X
IJTOLSZ,X,O,O,X,O,X,X,X,X,X
IJTOLZS,O,O,O,O,X,O,O,X,X,X
IJTOSLZ,X,O,O,X,O,X,X,X,X,X
IJTOSZL,X,O,O,X,O,X,X,X,X,X
IJTOZLS,O,O,O,O,X,O,O,O,X,X
IJTOZSL,O,O,O,X,X,O,X,O,X,X
IJLTSZO,X,O,O,O,O,O,X,X,X,X
IJLTSOZ,X,O,O,O,O,X,X,X,X,X
IJLTZSO,O,O,O,O,O,O,X,O,X,X
IJLTZOS,O,O,O,O,X,O,X,O,X,X
IJLTOSZ,X,O,O,X,O,X,X,X,X,X
IJLTOZS,O,O,O,O,X,O,X,X,X,X
IJLSTZO,O,O,O,O,O,O,X,X,X,X
IJLSTOZ,O,O,O,O,O,X,X,X,X,X
IJLSZTO,O,O,O,O,X,O,X,O,X,X
IJLSZOT,O,O,X,O,X,O,X,X,X,X
IJLSOTZ,X,O,X,O,O,X,X,X,X,X
IJLSOZT,X,O,X,O,X,X,X,X,X,X
IJLZTSO,O,O,O,O,X,O,X,O,X,X
IJLZTOS,O,O,O,O,X,O,X,O,X,X
IJLZSTO,O,O,O,O,X,O,X,O,X,X
IJLZSOT,O,O,X,O,X,O,X,X,X,X
IJLZOTS,O,O,O,O,X,O,X,O,X,X
IJLZOST,O,O,X,O,X,O,X,X,X,X
IJLOTSZ,X,O,O,X,X,O,X,X,X,X
IJLOTZS,X,O,O,O,X,O,X,X,X,X
IJLOSTZ,X,O,X,O,X,O,X,X,X,X
IJLOSZT,X,O,X,O,X,O,X,X,X,X
IJLOZTS,X,O,O,O,X,O,X,O,X,X
IJLOZST,X,O,X,O,X,O,X,X,X,X
IJSTLZO,O,O,O,O,O,O,X,X,X,X
IJSTLOZ,O,O,O,O,O,X,X,X,X,X
IJSTZLO,O,O,O,O,O,O,X,X,X,X
IJSTZOL,O,O,O,O,O,O,X,X,X,X
IJSTOLZ,O,O,O,O,O,X,X,X,X,X
IJSTOZL,O,O,O,O,O,X,X,X,X,X
IJSLTZO,O,O,O,O,O,O,X,X,X,X
IJSLTOZ,O,O,O,O,O,X,X,X,X,X
IJSLZTO,O,O,O,O,X,O,X,X,X,X
IJSLZOT,O,O,X,O,X,O,X,X,X,X
IJSLOTZ,X,O,X,O,O,X,X,X,X,X
IJSLOZT,X,O,X,O,X,X,X,X,X,X
IJSZTLO,O,O,O,O,X,O,X,X,X,X
IJSZTOL,O,O,O,O,X,O,X,X,X,X
IJSZLTO,O,O,O,O,X,O,X,X,X,X
IJSZLOT,O,O,X,O,X,O,X,X,X,X
IJSZOTL,O,O,X,O,X,O,X,X,X,X
IJSZOLT,O,O,X,O,X,O,X,X,X,X
IJSOTLZ,X,O,X,O,O,X,X,X,X,X
IJSOTZL,X,O,X,O,O,X,X,X,X,X
IJSOLTZ,X,O,X,O,O,X,X,X,X,X
IJSOLZT,X,O,X,O,X,X,X,X,X,X
IJSOZTL,X,O,X,O,X,X,X,X,X,X
IJSOZLT,X,O,X,O,X,X,X,X,X,X
IJZTLSO,O,O,O,O,X,O,O,O,X,X
IJZTLOS,O,O,O,O,X,O,O,O,X,X
IJZTSLO,O,O,O,O,X,O,O,O,X,X
IJZTSOL,O,O,O,O,X,O,X,O,X,X
IJZTOLS,O,O,O,O,X,O,O,O,X,X
IJZTOSL,O,X,O,X,X,O,X,O,X,X
IJZLTSO,O,O,O,O,X,O,X,O,X,X
IJZLTOS,O,O,O,O,X,O,X,O,X,X
IJZLSTO,O,O,O,O,X,O,X,O,X,X
IJZLSOT,O,O,X,O,X,O,X,X,X,X
IJZLOTS,O,O,O,O,X,O,X,O,X,X
IJZLOST,O,O,X,O,X,O,X,X,X,X
IJZSTLO,O,O,O,O,X,O,X,X,X,X
IJZSTOL,O,O,O,O,X,O,X,X,X,X
IJZSLTO,O,O,O,O,X,O,X,X,X,X
IJZSLOT,O,O,X,O,X,O,X,X,X,X
IJZSOTL,O,O,X,O,X,O,X,X,X,X
IJZSOLT,O,O,X,O,X,O,X,X,X,X
IJZOTLS,O,O,O,O,X,O,O,X,X,X
IJZOTSL,O,X,O,X,X,O,O,X,X,X
IJZOLTS,O,O,O,O,X,O,O,X,X,X
IJZOLST,O,O,X,O,X,O,O,X,X,X
IJZOSTL,O,O,X,X,X,O,X,X,X,X
IJZOSLT,O,O,X,X,X,O,X,X,X,X
IJOTLSZ,X,O,O,X,X,O,O,X,X,X
IJOTLZS,X,O,O,O,X,O,O,X,X,X
IJOTSLZ,X,O,O,X,X,O,O,X,X,X
IJOTSZL,X,O,O,X,X,O,O,X,X,X
IJOTZLS,X,O,O,O,X,O,O,X,X,X
IJOTZSL,X,O,O,X,X,O,O,X,X,X
IJOLTSZ,X,O,O,X,X,O,X,X,X,X
IJOLTZS,X,O,O,O,X,O,O,X,X,X
IJOLSTZ,X,O,X,O,X,O,X,X,X,X
IJOLSZT,X,O,X,O,X,O,O,X,X,X
IJOLZTS,X,O,O,O,X,O,O,X,X,X
IJOLZST,X,O,X,O,X,O,O,X,X,X
IJOSTLZ,X,O,X,X,X,O,X,X,X,X
IJOSTZL,X,O,X,X,X,O,X,X,X,X
IJOSLTZ,X,O,X,X,X,O,X,X,X,X
IJOSLZT,X,O,X,X,X,O,X,X,X,X
IJOSZTL,X,O,X,X,X,O,X,X,X,X
IJOSZLT,X,O,X,X,X,O,X,X,X,X
IJOZTLS,X,O,O,O,X,O,O,X,X,X
IJOZTSL,X,O,O,X,X,O,O,X,X,X
IJOZLTS,X,O,O,O,X,O,O,X,X,X
IJOZLST,X,O,X,O,X,O,O,X,X,X
IJOZSTL,X,O,X,X,X,O,X,X,X,X
IJOZSLT,X,O,X,X,X,O,X,X,X,X
ISTLJZO,O,O,X,O,O,X,O,X,X,X
ISTLJOZ,O,O,X,O,O,X,X,X,X,X
ISTLZJO,O,O,X,O,O,X,O,X,X,X
ISTLZOJ,O,O,X,O,O,X,X,X,X,X
ISTLOJZ,O,O,X,O,O,X,X,X,X,X
ISTLOZJ,O,O,X,O,O,X,X,X,X,X
ISTJLZO,O,O,O,O,O,X,O,X,X,X
ISTJLOZ,O,O,O,O,O,X,X,X,X,X
ISTJZLO,O,O,O,O,O,X,O,X,X,X
ISTJZOL,O,O,O,O,O,X,X,X,X,X
ISTJOLZ,O,O,O,O,O,X,X,X,X,X
ISTJOZL,O,O,O,O,O,X,X,X,X,X
ISTZLJO,O,O,X,O,O,X,O,O,X,X
ISTZLOJ,O,O,X,O,O,X,X,O,X,X
ISTZJLO,O,O,O,O,O,X,O,O,X,X
ISTZJOL,O,O,O,O,O,X,X,O,X,X
ISTZOLJ,O,O,X,O,O,X,X,O,X,X
ISTZOJL,O,O,O,O,O,X,X,O,X,X
ISTOLJZ,O,O,X,O,O,X,X,X,X,X
ISTOLZJ,O,O,X,O,O,X,X,X,X,X
ISTOJLZ,O,O,O,O,O,X,X,X,X,X
ISTOJZL,O,O,O,O,O,X,X,X,X,X
ISTOZLJ,O,O,X,O,O,X,X,O,X,X
ISTOZJL,O,O,O,O,O,X,X,O,X,X
ISLTJZO,O,O,X,O,O,X,X,X,X,X
ISLTJOZ,O,O,X,O,O,X,X,X,X,X
ISLTZJO,O,O,X,O,O,X,X,X,X,X
ISLTZOJ,O,O,X,O,O,X,X,X,X,X
ISLTOJZ,O,O,X,O,O,X,X,X,X,X
ISLTOZJ,O,O,X,O,O,X,X,X,X,X
ISLJTZO,O,O,O,O,O,O,X,X,X,X
ISLJTOZ,O,O,O,O,O,X,X,X,X,X
ISLJZTO,O,O,O,O,X,O,X,O,X,X
ISLJZOT,O,O,X,O,X,O,X,X,X,X
ISLJOTZ,X,O,X,O,O,X,X,X,X,X
ISLJOZT,X,O,X,O,X,X,X,X,X,X
ISLZTJO,O,O,X,O,O,O,X,O,X,X
ISLZTOJ,O,O,X,O,O,O,X,O,X,X
ISLZJTO,O,O,O,O,X,O,X,O,X,X
ISLZJOT,O,X,X,O,X,O,X,X,X,X
ISLZOTJ,O,O,X,O,O,O,X,X,X,X
ISLZOJT,O,X,X,O,X,O,X,X,X,X
ISLOTJZ,O,O,X,O,O,X,X,X,X,X
ISLOTZJ,O,O,X,O,O,X,X,X,X,X
ISLOJTZ,X,O,X,O,O,O,X,X,X,X
ISLOJZT,X,O,X,O,X,O,X,X,X,X
ISLOZTJ,O,O,X,O,O,O,X,X,X,X
ISLOZJT,O,O,X,O,X,O,X,X,X,X
ISJTLZO,O,O,O,O,O,O,X,X,X,X
ISJTLOZ,O,O,O,O,O,X,X,X,X,X
ISJTZLO,O,O,O,O,O,O,X,X,X,X
ISJTZOL,O,O,O,O,O,O,X,X,X,X
ISJTOLZ,O,O,O,O,O,X,X,X,X,X
ISJTOZL,O,O,O,O,O,X,X,X,X,X
ISJLTZO,O,O,O,O,O,O,X,X,X,X
ISJLTOZ,O,O,O,O,O,X,X,X,X,X
ISJLZTO,O,O,O,O,X,O,X,X,X,X
ISJLZOT,O,O,X,O,X,O,X,X,X,X
ISJLOTZ,X,O,X,O,O,X,X,X,X,X
ISJLOZT,X,O,X,O,X,X,X,X,X,X
ISJZTLO,O,O,O,O,X,O,X,X,X,X
ISJZTOL,O,O,O,O,X,O,X,X,X,X
ISJZLTO,O,O,O,O,X,O,X,X,X,X
ISJZLOT,O,O,X,O,X,O,X,X,X,X
ISJZOTL,O,O,X,O,X,O,X,X,X,X
ISJZOLT,O,O,X,O,X,O,X,X,X,X
ISJOTLZ,X,O,X,O,O,X,X,X,X,X
ISJOTZL,X,O,X,O,O,X,X,X,X,X
ISJOLTZ,X,O,X,O,O,X,X,X,X,X
ISJOLZT,X,O,X,O,X,X,X,X,X,X
ISJOZTL,X,O,X,O,X,X,X,X,X,X
ISJOZLT,X,O,X,O,X,X,X,X,X,X
ISZTLJO,O,O,X,O,O,O,O,O,X,X
ISZTLOJ,O,O,X,O,O,O,X,O,X,X
ISZTJLO,O,O,O,O,O,O,O,O,X,X
ISZTJOL,O,O,O,O,O,O,X,O,X,X
ISZTOLJ,O,O,X,O,O,O,X,O,O,X
ISZTOJL,O,O,O,O,O,X,X,O,O,X
ISZLTJO,O,O,X,O,O,O,X,O,X,X
ISZLTOJ,O,O,X,O,O,O,X,O,O,X
ISZLJTO,O,O,O,O,X,O,X,O,X,X
ISZLJOT,O,X,X,O,X,O,X,X,X,X
ISZLOTJ,O,O,X,O,O,O,X,X,O,X
ISZLOJT,O,X,X,O,X,O,X,X,O,X
ISZJTLO,O,O,O,O,X,O,X,X,X,X
ISZJTOL,O,O,O,O,X,O,X,X,X,X
ISZJLTO,O,O,O,O,X,O,X,X,X,X
ISZJLOT,O,O,X,O,X,O,X,X,X,X
ISZJOTL,O,O,X,O,X,O,X,X,X,X
ISZJOLT,O,O,X,O,X,O,X,X,X,X
ISZOTLJ,O,O,X,O,O,O,O,X,O,X
ISZOTJL,O,O,X,O,O,O,O,X,O,X
ISZOLTJ,O,O,X,O,O,O,X,X,O,X
ISZOLJT,O,O,X,O,X,O,O,X,O,X
ISZOJTL,O,O,X,O,X,O,X,X,O,X
ISZOJLT,O,O,X,O,X,O,X,X,O,X
ISOTLJZ,O,O,X,O,O,X,O,X,X,X
ISOTLZJ,O,O,X,O,O,X,O,X,X,X
ISOTJLZ,O,O,X,O,O,X,O,X,X,X
ISOTJZL,O,O,X,O,O,X,O,X,X,X
ISOTZLJ,O,O,X,O,O,X,O,X,O,X
ISOTZJL,O,O,X,O,O,X,O,X,O,X
ISOLTJZ,O,O,X,O,O,X,X,X,X,X
ISOLTZJ,O,O,X,O,O,X,X,X,X,X
ISOLJTZ,X,O,X,O,O,O,X,X,X,X
ISOLJZT,X,O,X,O,X,O,O,X,X,X
ISOLZTJ,O,O,X,O,O,O,X,X,O,X
ISOLZJT,O,O,X,O,X,O,O,X,O,X
ISOJTLZ,X,O,X,O,O,O,X,X,X,X
ISOJTZL,X,O,X,O,O,O,X,X,X,X
ISOJLTZ,X,O,X,O,O,O,X,X,X,X
ISOJLZT,X,O,X,O,X,O,X,X,X,X
ISOJZTL,X,O,X,O,X,O,X,X,O,X
ISOJZLT,X,O,X,O,X,O,X,X,O,X
ISOZTLJ,O,O,X,O,O,O,O,X,O,X
ISOZTJL,O,O,X,O,O,O,O,X,O,X
ISOZLTJ,O,O,X,O,O,O,X,X,O,X
ISOZLJT,O,O,X,O,X,O,O,X,O,X
ISOZJTL,O,O,X,O,X,O,X,X,O,X
ISOZJLT,O,O,X,O,X,O,X,X,O,X
IZTLJSO,O,O,O,O,O,O,O,O,X,X
IZTLJOS,O,O,O,O,X,O,O,O,X,X
IZTLSJO,O,O,X,O,O,O,O,O,X,X
IZTLSOJ,O,O,X,O,O,O,X,O,X,X
IZTLOJS,O,O,O,O,X,O,O,O,X,X
IZTLOSJ,O,O,X,O,X,O,X,O,X,X
IZTJLSO,O,O,O,O,O,O,O,O,X,X
IZTJLOS,O,O,O,O,X,O,O,O,X,X
IZTJSLO,O,O,O,O,O,O,O,O,X,X
IZTJSOL,O,X,O,O,O,O,X,O,X,X
IZTJOLS,O,O,O,O,X,O,O,O,X,X
IZTJOSL,O,X,O,X,X,O,X,O,X,X
IZTSLJO,O,O,X,O,O,O,O,O,X,X
IZTSLOJ,O,O,X,O,O,O,X,O,X,X
IZTSJLO,O,O,O,O,O,O,O,O,X,X
IZTSJOL,O,O,O,O,O,O,X,O,X,X
IZTSOLJ,O,O,X,O,O,O,X,O,X,X
IZTSOJL,O,O,O,O,O,X,X,O,X,X
IZTOLJS,O,O,O,O,X,O,O,O,X,X
IZTOLSJ,O,O,X,O,X,O,O,O,X,X
IZTOJLS,O,O,O,O,X,O,O,O,X,X
IZTOJSL,O,O,O,X,X,O,O,O,X,X
IZTOSLJ,O,O,X,O,X,O,O,O,X,O
IZTOSJL,O,O,O,O,X,O,O,O,X,O
IZLTJSO,O,O,O,O,O,O,O,O,X,X
IZLTJOS,O,O,O,O,X,O,O,O,X,X
IZLTSJO,O,O,X,O,O,O,O,O,X,X
IZLTSOJ,O,O,X,O,O,O,X,O,X,X
IZLTOJS,O,O,O,O,X,O,O,O,X,X
IZLTOSJ,O,O,X,O,X,O,X,O,X,X
IZLJTSO,O,O,O,O,X,O,X,O,X,X
IZLJTOS,O,O,O,O,X,O,X,O,X,X
IZLJSTO,O,O,O,O,X,O,X,O,X,X
IZLJSOT,O,O,X,O,X,O,X,X,X,X
IZLJOTS,O,O,O,O,X,O,X,O,X,X
IZLJOST,O,O,X,O,X,O,X,X,X,X
IZLSTJO,O,O,X,O,O,O,X,O,X,X
IZLSTOJ,O,O,X,O,O,O,X,O,X,X
IZLSJTO,O,O,O,O,X,O,X,O,X,X
IZLSJOT,O,X,X,O,X,O,X,X,X,X
IZLSOTJ,O,O,X,O,O,O,X,X,X,X
IZLSOJT,O,X,X,O,X,O,X,X,X,X
IZLOTJS,O,O,X,O,X,O,O,O,X,X
IZLOTSJ,O,O,X,O,X,O,O,O,X,X
IZLOJTS,O,O,O,O,X,O,O,O,X,X
IZLOJST,O,O,X,O,X,O,O,X,X,X
IZLOSTJ,O,O,X,O,X,O,X,X,X,O
IZLOSJT,O,O,X,O,X,O,O,X,X,O
IZJTLSO,O,O,O,O,X,O,O,O,X,X
IZJTLOS,O,O,O,O,X,O,O,O,X,X
IZJTSLO,O,O,O,O,X,O,O,O,X,X
IZJTSOL,O,O,O,O,X,O,X,O,X,X
IZJTOLS,O,O,O,O,X,O,O,O,X,X
IZJTOSL,O,X,O,X,X,O,X,O,X,X
IZJLTSO,O,O,O,O,X,O,X,O,X,X
IZJLTOS,O,O,O,O,X,O,X,O,X,X
IZJLSTO,O,O,O,O,X,O,X,O,X,X
IZJLSOT,O,O,X,O,X,O,X,X,X,X
IZJLOTS,O,O,O,O,X,O,X,O,X,X
IZJLOST,O,O,X,O,X,O,X,X,X,X
IZJSTLO,O,O,O,O,X,O,X,X,X,X
IZJSTOL,O,O,O,O,X,O,X,X,X,X
IZJSLTO,O,O,O,O,X,O,X,X,X,X
IZJSLOT,O,O,X,O,X,O,X,X,X,X
IZJSOTL,O,O,X,O,X,O,X,X,X,X
IZJSOLT,O,O,X,O,X,O,X,X,X,X
IZJOTLS,O,O,O,O,X,O,O,X,X,X
IZJOTSL,O,X,O,X,X,O,O,X,X,X
IZJOLTS,O,O,O,O,X,O,O,X,X,X
IZJOLST,O,O,X,O,X,O,O,X,X,X
IZJOSTL,O,O,X,X,X,O,X,X,X,O
IZJOSLT,O,O,X,X,X,O,X,X,X,O
IZSTLJO,O,O,X,O,O,O,O,O,X,X
IZSTLOJ,O,O,X,O,O,O,X,O,X,X
IZSTJLO,O,O,O,O,O,O,O,O,X,X
IZSTJOL,O,O,O,O,O,O,X,O,X,X
IZSTOLJ,O,O,X,O,O,O,X,O,X,X
IZSTOJL,O,O,O,O,O,X,X,O,X,X
IZSLTJO,O,O,X,O,O,O,X,O,X,X
IZSLTOJ,O,O,X,O,O,O,X,O,X,X
IZSLJTO,O,O,O,O,X,O,X,O,X,X
IZSLJOT,O,X,X,O,X,O,X,X,X,X
IZSLOTJ,O,O,X,O,O,O,X,X,X,X
IZSLOJT,O,X,X,O,X,O,X,X,X,X
IZSJTLO,O,O,O,O,X,O,X,X,X,X
IZSJTOL,O,O,O,O,X,O,X,X,X,X
IZSJLTO,O,O,O,O,X,O,X,X,X,X
IZSJLOT,O,O,X,O,X,O,X,X,X,X
IZSJOTL,O,O,X,O,X,O,X,X,X,X
IZSJOLT,O,O,X,O,X,O,X,X,X,X
IZSOTLJ,O,O,X,O,O,O,O,X,X,O
IZSOTJL,O,O,X,O,O,O,O,X,X,O
IZSOLTJ,O,O,X,O,O,O,X,X,X,O
IZSOLJT,O,O,X,O,X,O,O,X,X,O
IZSOJTL,O,O,X,O,X,O,X,X,X,O
IZSOJLT,O,O,X,O,X,O,X,X,X,O
IZOTLJS,O,O,O,O,X,O,O,O,X,X
IZOTLSJ,O,O,X,O,X,O,O,O,X,X
IZOTJLS,O,O,O,O,X,O,O,O,X,X
IZOTJSL,O,O,O,X,X,O,O,O,X,X
IZOTSLJ,O,O,X,O,X,O,O,O,X,O
IZOTSJL,O,O,O,O,X,O,O,O,X,O
IZOLTJS,O,O,X,O,X,O,O,O,X,X
IZOLTSJ,O,O,X,O,X,O,O,O,X,X
IZOLJTS,O,O,O,O,X,O,O,O,X,X
IZOLJST,O,O,X,O,X,O,O,X,X,X
IZOLSTJ,O,O,X,O,X,O,X,X,X,O
IZOLSJT,O,O,X,O,X,O,O,X,X,O
IZOJTLS,O,O,O,O,X,O,O,X,X,X
IZOJTSL,O,O,O,X,X,O,O,X,X,X
IZOJLTS,O,O,O,O,X,O,O,X,X,X
IZOJLST,O,O,X,O,X,O,O,X,X,X
IZOJSTL,O,O,X,X,X,O,X,X,X,O
IZOJSLT,O,O,X,X,X,O,X,X,X,O
IZOSTLJ,O,O,X,O,X,O,O,X,X,O
IZOSTJL,O,O,X,O,X,O,O,X,X,O
IZOSLTJ,O,O,X,O,X,O,X,X,X,O
IZOSLJT,O,O,X,O,X,O,O,X,X,O
IZOSJTL,O,O,X,O,X,O,X,X,X,O
IZOSJLT,O,O,X,O,X,O,X,X,X,O
IOTLJSZ,X,O,O,X,O,O,O,X,X,X
IOTLJZS,O,O,O,X,X,O,O,X,X,X
IOTLSJZ,X,O,X,X,O,X,O,X,X,X
IOTLSZJ,O,O,X,X,O,X,O,X,X,X
IOTLZJS,O,O,O,X,X,O,O,O,X,X
IOTLZSJ,O,O,X,X,X,O,O,O,X,X
IOTJLSZ,X,O,O,X,O,O,O,X,X,X
IOTJLZS,O,O,O,X,X,O,O,X,X,X
IOTJSLZ,X,O,O,X,O,O,O,X,X,X
IOTJSZL,X,O,O,X,O,O,O,X,X,X
IOTJZLS,O,O,O,X,X,O,O,O,X,X
IOTJZSL,O,O,O,X,X,O,O,O,X,X
IOTSLJZ,X,O,X,X,O,X,O,X,X,X
IOTSLZJ,O,O,X,X,O,X,O,X,X,X
IOTSJLZ,X,O,O,X,O,X,O,X,X,X
IOTSJZL,X,O,O,X,O,X,O,X,X,X
IOTSZLJ,O,O,X,X,O,X,O,O,O,X
IOTSZJL,O,O,O,X,O,X,O,O,O,X
IOTZLJS,O,O,O,X,X,O,O,O,X,X
IOTZLSJ,O,O,X,X,X,O,O,O,X,X
IOTZJLS,O,O,O,X,X,O,O,O,X,X
IOTZJSL,O,O,O,X,X,O,O,O,X,X
IOTZSLJ,O,O,X,X,X,O,O,O,X,O
IOTZSJL,O,O,O,X,X,O,O,O,X,O
IOLTJSZ,X,O,X,X,O,O,O,X,X,X
IOLTJZS,O,O,X,X,X,O,O,X,X,X
IOLTSJZ,X,O,X,X,O,X,O,X,X,X
IOLTSZJ,O,O,X,X,O,X,O,X,X,X
IOLTZJS,O,O,X,X,X,O,O,X,X,X
IOLTZSJ,O,O,X,X,X,O,O,X,X,X
IOLJTSZ,X,O,O,X,X,O,X,X,X,X
IOLJTZS,X,O,O,O,X,O,O,X,X,X
IOLJSTZ,X,O,X,O,X,O,X,X,X,X
IOLJSZT,X,O,X,O,X,O,O,X,X,X
IOLJZTS,X,O,O,O,X,O,O,O,X,X
IOLJZST,X,O,X,O,X,O,O,X,X,X
IOLSTJZ,O,O,X,O,O,X,X,X,X,X
IOLSTZJ,O,O,X,O,O,X,X,X,X,X
IOLSJTZ,X,O,X,O,O,O,X,X,X,X
IOLSJZT,X,O,X,O,X,O,O,X,X,X
IOLSZTJ,O,O,X,O,O,O,X,X,O,X
IOLSZJT,O,O,X,O,X,O,O,X,O,X
IOLZTJS,O,O,X,O,X,O,O,O,X,X
IOLZTSJ,O,O,X,O,X,O,O,O,X,X
IOLZJTS,O,O,O,O,X,O,O,O,X,X
IOLZJST,O,O,X,O,X,O,O,X,X,X
IOLZSTJ,O,O,X,O,X,O,X,X,X,X
IOLZSJT,O,O,X,O,X,O,O,X,X,X
IOJTLSZ,X,O,O,X,X,O,O,X,X,X
IOJTLZS,X,O,O,O,X,O,O,X,X,X
IOJTSLZ,X,O,O,X,X,O,O,X,X,X
IOJTSZL,X,O,O,X,X,O,O,X,X,X
IOJTZLS,X,O,O,O,X,O,O,X,X,X
IOJTZSL,X,O,O,X,X,O,O,X,X,X
IOJLTSZ,X,O,O,X,X,O,X,X,X,X
IOJLTZS,X,O,O,O,X,O,O,X,X,X
IOJLSTZ,X,O,X,O,X,O,X,X,X,X
IOJLSZT,X,O,X,O,X,O,O,X,X,X
IOJLZTS,X,O,O,O,X,O,O,X,X,X
IOJLZST,X,O,X,O,X,O,O,X,X,X
IOJSTLZ,X,O,X,X,X,O,X,X,X,X
IOJSTZL,X,O,X,X,X,O,X,X,X,X
IOJSLTZ,X,O,X,X,X,O,X,X,X,X
IOJSLZT,X,O,X,X,X,O,X,X,X,X
IOJSZTL,X,O,X,X,X,O,X,X,O,X
IOJSZLT,X,O,X,X,X,O,X,X,O,X
IOJZTLS,X,O,O,O,X,O,O,X,X,X
IOJZTSL,X,O,O,X,X,O,O,X,X,X
IOJZLTS,X,O,O,O,X,O,O,X,X,X
IOJZLST,X,O,X,O,X,O,O,X,X,X
IOJZSTL,X,O,X,X,X,O,X,X,X,X
IOJZSLT,X,O,X,X,X,O,X,X,X,X
IOSTLJZ,O,O,X,O,O,X,O,X,X,X
IOSTLZJ,O,O,X,O,O,X,O,X,X,X
IOSTJLZ,O,O,X,O,O,X,O,X,X,X
IOSTJZL,O,O,X,O,O,X,O,X,X,X
IOSTZLJ,O,O,X,O,O,X,O,X,O,X
IOSTZJL,O,O,X,O,O,X,O,X,O,X
IOSLTJZ,O,O,X,O,O,X,X,X,X,X
IOSLTZJ,O,O,X,O,O,X,X,X,X,X
IOSLJTZ,X,O,X,O,O,O,X,X,X,X
IOSLJZT,X,O,X,O,X,O,O,X,X,X
IOSLZTJ,O,O,X,O,O,O,X,X,O,X
IOSLZJT,O,O,X,O,X,O,O,X,O,X
IOSJTLZ,X,O,X,O,O,O,X,X,X,X
IOSJTZL,X,O,X,O,O,O,X,X,X,X
IOSJLTZ,X,O,X,O,O,O,X,X,X,X
IOSJLZT,X,O,X,O,X,O,X,X,X,X
IOSJZTL,X,O,X,O,X,O,X,X,O,X
IOSJZLT,X,O,X,O,X,O,X,X,O,X
IOSZTLJ,O,O,X,O,O,O,O,X,O,X
