sequence,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFqfBTbBmcB1?qBXrB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBmcBflBC?hBzqB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFCbB2hBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhF3bBzcBckBV?mB2qBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFGbBzfBFmB0?qB/rBasB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhF2gB8hBikB3?lBFmBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBFlBX?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckB3hBT?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBzcBflBC?mB2wB8qB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFzaB3cBUlBF?mBuqBywB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhFxbB8hBikB3?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFufB3bBlhBy?qB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Je2/IvhFRbBfmBlhBi?kB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckBlgB/?qBOrBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei8IvhFxkBXmBOkBF?lBzrB0qB
JSILTZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSILTOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
JSILZTO,X,X,O,O,X,X,X,O,O,O,X,O,O,X,X,X
JSILZOT,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X
JSILOTZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSILOZT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSIZTLO,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X
JSIZTOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSIZLTO,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O,X
JSIZLOT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSIZOTL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIZOLT,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JSIOTLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSIOTZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSIOLTZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSIOLZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSIOZTL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOZLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSLTIZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JSLTIOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSLTZIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
JSLTZOI,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
JSLTOIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSLTOZI,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JSLITZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSLITOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSLIZTO,X,X,O,O,X,X,X,O,O,O,X,O,O,X,X,X
JSLIZOT,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X
JSLIOTZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSLIOZT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSLZTIO,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X
JSLZTOI,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JSLZITO,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O,X
JSLZIOT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSLZOTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSLZOIT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSLOTIZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSLOTZI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLOITZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSLOIZT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSLOZTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSLOZIT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSZTILO,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X
JSZTIOL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JSZTLIO,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X
JSZTLOI,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X
JSZTOIL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JSZTOLI,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JSZITLO,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X
JSZITOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JSZILTO,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O,X
JSZILOT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSZIOTL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZIOLT,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JSZLTIO,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X
JSZLTOI,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JSZLITO,X,X,O,O,O,X,X,O,O,O,X,O,X,X,O,X
JSZLIOT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSZLOTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSZLOIT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSZOTIL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSZOTLI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSZOITL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOILT,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JSZOLTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSZOLIT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSOTILZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOTIZL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSOTLIZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOTLZI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTZIL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSOTZLI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JSOITLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOITZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOILTZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOILZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOIZTL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOIZLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOLTIZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOLTZI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOLITZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOLIZT,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSOLZTI,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSOLZIT,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSOZTIL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSOZTLI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSOZITL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZILT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JSOZLTI,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSOZLIT,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JZTILSO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTILOS,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JZTISLO,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZTISOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTIOLS,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JZTIOSL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JZTLISO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTLSIO,X,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X
JZTLSOI,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X
JZTLOIS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTLOSI,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X
JZTSILO,X,X,O,O,O,X,X,O,O,X,O,O,X,X,O,X
JZTSIOL,X,X,O,O,O,X,X,O,X,X,O,X,X,X,O,X
JZTSLIO,X,X,O,O,O,X,X,O,O,X,X,O,X,X,O,X
JZTSLOI,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X
JZTSOIL,X,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X
JZTSOLI,X,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X
JZTOILS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
JZTOISL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZTOLIS,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTOSIL,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JZTOSLI,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JZITLSO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZITLOS,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
JZITSLO,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZITSOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZITOLS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
JZITOSL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZILTSO,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZILTOS,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X
JZILSTO,X,X,O,X,O,X,X,X,O,O,X,O,O,X,O,X
JZILSOT,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
JZILOTS,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JZILOST,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
JZISTLO,X,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X
JZISTOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
JZISLTO,X,X,O,O,O,X,X,O,O,O,X,O,X,X,O,X
JZISLOT,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZISOTL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISOLT,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZIOTLS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
JZIOTSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZIOLTS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZIOLST,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZIOSTL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZIOSLT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZLTISO,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZLTIOS,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLTSIO,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X
JZLTSOI,X,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X
JZLTOIS,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLTOSI,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X
JZLITSO,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JZLITOS,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X
JZLISTO,X,X,O,X,O,X,O,X,O,O,X,O,O,O,O,X
JZLISOT,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X
JZLIOTS,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
JZLIOST,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X
JZLSTIO,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X
JZLSTOI,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X
JZLSITO,X,X,O,X,O,X,X,X,O,O,X,O,X,O,O,X
JZLSIOT,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X
JZLSOTI,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
JZLSOIT,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X
JZLOTIS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLOTSI,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
JZLOITS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JZLOIST,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X
JZLOSTI,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
JZLOSIT,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X
JZSTILO,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X
JZSTIOL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JZSTLIO,X,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X
JZSTLOI,X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X
JZSTOIL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JZSTOLI,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JZSITLO,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X
JZSITOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZSILTO,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O,X
JZSILOT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JZSIOTL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSIOLT,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZSLTIO,X,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X
JZSLTOI,X,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X
JZSLITO,X,X,O,O,O,X,X,O,O,O,X,O,X,O,O,X
JZSLIOT,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X
JZSLOTI,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
JZSLOIT,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X
JZSOTIL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSOTLI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSOITL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSOILT,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZSOLTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JZSOLIT,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JZOTILS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOTISL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOTLIS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTLSI,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZOTSIL,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X
JZOTSLI,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZOITLS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOITSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOILTS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZOILST,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZOISTL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOISLT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZOLTIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOLTSI,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
JZOLITS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZOLIST,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZOLSTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X
JZOLSIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZOSTIL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JZOSTLI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JZOSITL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOSILT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JZOSLTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X
JZOSLIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOTILSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTILZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTISZL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZSL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLSZI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTSIZL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTSLIZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTSLZI,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTSZIL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTSZLI,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTZILS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZISL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTZSIL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOTZSLI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOITLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILTSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILSZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILZTS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JOILZST,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOISTLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISTZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISLTZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOISLZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOISZTL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOISZLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOIZTLS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOIZSTL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOIZSLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOLTISZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSZI,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTZIS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTZSI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLITSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLITZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLISZT,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOLIZTS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JOLIZST,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
JOLSTIZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSTZI,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSITZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSIZT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOLSZTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLSZIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOLZTIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLZTSI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLZITS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLZIST,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOLZSTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLZSIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOSTILZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSTIZL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JOSTLIZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSTLZI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSTZIL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JOSTZLI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JOSITLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSITZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSILTZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSILZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSIZTL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSIZLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSLTIZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSLTZI,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLITZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSLIZT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOSLZTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOSLZIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOSZTIL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JOSZTLI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JOSZITL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSZILT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOSZLTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X
JOSZLIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOZTILS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTISL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTLIS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTLSI,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JOZTSIL,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JOZTSLI,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JOZITLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZITSL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZILTS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZILST,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOZISTL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZISLT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOZLTIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZLTSI,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
JOZLITS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZLIST,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOZLSTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X
JOZLSIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOZSTIL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JOZSTLI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JOZSITL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZSILT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
JOZSLTI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X
JOZSLIT,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X
