sequence,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBFiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBTdBcmBynBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXdBamBziB0hBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBasBGr?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFFhBXiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsB6r?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBSrBes?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFKiBfjBFhBWsBzq?B0rB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsBCr?BTrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF6hB0dB2nBVrBXs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF0dB3hBlnBuqBTm?BywB
ILJSZOT,X,O,X,O,X,X,O,X,O,X,X
ILJSOTZ,X,O,O,X,X,X,X,X,X,X,X
ILJSOZT,X,O,O,X,X,X,X,X,X,X,X
ILJZTSO,O,O,X,O,X,X,O,X,X,X,X
ILJZTOS,X,O,O,O,X,X,O,X,X,X,X
ILJZSTO,O,O,X,O,X,X,O,X,X,O,X
ILJZSOT,X,O,X,O,X,X,O,X,X,X,X
ILJZOTS,X,O,O,O,X,X,O,X,X,X,X
ILJZOST,X,O,O,O,X,X,O,X,X,X,X
ILJOTSZ,X,O,O,X,X,X,X,X,X,X,X
ILJOTZS,X,O,O,O,X,X,O,X,X,X,X
ILJOSTZ,X,O,O,X,X,X,X,X,X,X,X
ILJOSZT,X,O,O,X,X,X,X,X,X,X,X
ILJOZTS,X,O,O,O,X,X,O,X,X,X,X
ILJOZST,X,O,O,O,X,X,O,X,X,X,X
ILSTJZO,X,X,X,X,X,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,X,X,X,X,X,O,X
ILSTZJO,O,O,X,X,X,X,X,X,O,O,X
ILSTZOJ,O,O,X,O,X,X,X,X,X,X,X
ILSTOJZ,X,X,O,X,X,X,X,X,X,O,X
ILSTOZJ,X,O,O,X,X,X,X,X,X,X,X
ILSJTZO,X,O,X,O,X,X,X,X,X,O,X
ILSJTOZ,X,O,O,X,X,X,X,X,X,O,X
ILSJZTO,O,O,X,O,X,X,X,X,O,O,X
ILSJZOT,X,O,X,O,X,X,X,X,O,X,X
ILSJOTZ,X,O,O,X,X,X,X,X,X,X,X
ILSJOZT,X,O,O,X,X,X,X,X,X,X,X
ILSZTJO,O,X,X,X,X,X,X,X,O,X,X
ILSZTOJ,O,X,X,O,X,X,X,X,X,X,X
ILSZJTO,O,X,X,O,X,O,X,X,O,X,X
ILSZJOT,X,X,X,O,X,X,X,X,O,X,X
ILSZOTJ,O,X,X,O,X,X,X,X,X,X,X
ILSZOJT,X,X,X,O,X,O,X,X,O,X,X
ILSOTJZ,X,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,O,X,X,X,X,X,X,X,X
ILSOJTZ,X,O,O,X,X,X,X,O,X,X,X
ILSOJZT,O,O,O,X,X,X,X,O,X,X,X
ILSOZTJ,O,X,O,X,X,X,X,X,X,X,X
ILSOZJT,O,X,O,X,X,O,X,X,O,X,X
ILZTJSO,O,O,X,O,X,X,X,X,X,X,X
ILZTJOS,X,O,X,O,X,X,O,X,X,X,X
ILZTSJO,O,O,X,X,O,X,X,X,X,X,X
ILZTSOJ,O,O,X,O,O,X,X,X,X,X,X
ILZTOJS,O,O,X,O,X,X,X,X,X,X,X
ILZTOSJ,O,O,O,O,X,X,X,X,X,X,X
ILZJTSO,O,O,X,O,X,X,O,X,X,X,X
ILZJTOS,X,O,O,O,X,X,O,X,X,X,X
ILZJSTO,O,O,X,O,X,X,O,X,X,X,X
ILZJSOT,X,O,X,O,X,X,O,X,X,X,X
ILZJOTS,X,O,O,O,X,X,O,X,X,X,X
ILZJOST,X,O,O,O,X,X,O,X,X,X,X
ILZSTJO,O,X,X,X,O,X,X,X,O,X,X
ILZSTOJ,O,X,X,O,O,X,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X,X,O,X,X
ILZSJOT,X,X,X,O,X,X,X,X,O,X,X
ILZSOTJ,O,X,X,O,X,X,X,X,X,X,X
ILZSOJT,X,X,X,O,X,X,X,X,O,X,X
ILZOTJS,O,O,X,O,X,X,X,X,X,X,X
ILZOTSJ,O,O,O,O,O,X,X,X,X,X,X
ILZOJTS,O,O,O,O,X,X,O,X,X,X,X
ILZOJST,O,O,O,O,X,X,O,X,X,X,X
ILZOSTJ,O,X,O,O,O,X,X,X,X,X,X
ILZOSJT,O,X,O,O,X,X,X,X,X,X,X
ILOTJSZ,X,O,O,X,X,X,X,O,X,X,X
ILOTJZS,X,O,O,X,X,X,X,X,X,X,X
ILOTSJZ,X,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X,X,X,X
ILOTZSJ,O,O,O,O,O,X,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,X,O,X,X,X
ILOJTZS,X,O,O,O,X,X,X,X,X,X,X
ILOJSTZ,X,O,O,X,X,X,X,O,X,X,X
ILOJSZT,O,O,O,X,X,X,X,O,X,X,X
ILOJZTS,O,O,O,O,X,X,X,X,X,X,X
ILOJZST,O,O,O,O,X,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,O,X,X,X,X,X,X,X,X
ILOSJTZ,X,O,O,X,X,X,X,O,X,X,X
ILOSJZT,O,O,O,X,X,X,X,O,X,X,X
ILOSZTJ,O,X,O,X,X,X,X,X,X,X,X
ILOSZJT,O,X,O,X,X,O,X,X,O,X,X
ILOZTJS,O,O,X,O,X,X,X,X,X,X,X
ILOZTSJ,O,O,O,O,O,X,X,X,X,X,X
ILOZJTS,O,O,O,O,X,X,X,X,X,X,X
ILOZJST,O,O,O,O,X,X,X,X,X,X,X
ILOZSTJ,O,X,O,O,O,X,X,X,X,X,X
ILOZSJT,O,X,O,O,X,X,X,X,X,X,X
IJTLSZO,X,O,X,O,X,X,O,X,X,X,X
IJTLSOZ,X,O,O,X,X,X,X,X,X,X,X
IJTLZSO,X,O,X,O,X,X,O,X,X,X,X
IJTLZOS,X,O,O,O,X,X,O,X,X,X,X
IJTLOSZ,X,O,O,X,X,X,X,X,X,X,X
IJTLOZS,X,O,O,O,X,X,O,X,X,X,X
IJTSLZO,X,O,X,X,X,X,X,X,X,O,O
IJTSLOZ,X,O,X,X,X,X,X,O,X,O,X
IJTSZLO,X,O,X,X,X,X,X,X,X,O,O
IJTSZOL,X,O,X,X,X,X,O,X,X,O,O
IJTSOLZ,X,X,X,X,X,X,X,X,X,O,X
IJTSOZL,X,X,X,X,X,X,X,X,X,O,O
IJTZLSO,X,O,X,O,X,X,O,X,X,X,X
IJTZLOS,X,O,X,O,X,X,O,X,X,X,X
IJTZSLO,X,O,X,X,O,X,X,X,X,O,O
IJTZSOL,X,O,X,X,O,X,O,X,X,O,O
IJTZOLS,X,O,X,O,X,X,O,X,X,X,X
IJTZOSL,X,O,X,X,X,X,O,X,X,X,X
IJTOLSZ,X,O,O,X,X,X,X,O,X,X,X
IJTOLZS,X,O,O,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,O,X,X,X,X,O,X,X,X
IJTOSZL,X,X,X,X,X,X,X,O,X,X,X
IJTOZLS,X,O,X,X,X,X,O,X,X,X,X
IJTOZSL,X,O,X,X,O,X,O,O,X,X,X
IJLTSZO,X,O,X,O,X,X,O,X,X,X,X
IJLTSOZ,X,O,O,X,X,X,X,X,X,X,X
IJLTZSO,X,O,X,O,X,X,O,X,X,X,X
IJLTZOS,X,O,O,O,X,X,O,X,X,X,X
IJLTOSZ,X,O,O,X,X,X,X,X,X,X,X
IJLTOZS,X,O,O,O,X,X,O,X,X,X,X
IJLSTZO,X,O,X,O,X,X,O,X,X,O,X
IJLSTOZ,X,O,O,X,X,X,X,X,X,O,X
IJLSZTO,O,O,X,O,X,X,O,X,O,O,X
IJLSZOT,X,O,X,O,X,X,O,X,O,X,X
IJLSOTZ,X,O,O,X,X,X,X,X,X,X,X
IJLSOZT,X,O,O,X,X,X,X,X,X,X,X
IJLZTSO,O,O,X,O,X,X,O,X,X,X,X
IJLZTOS,X,O,O,O,X,X,O,X,X,X,X
IJLZSTO,O,O,X,O,X,X,O,X,X,O,X
IJLZSOT,X,O,X,O,X,X,O,X,X,X,X
IJLZOTS,X,O,O,O,X,X,O,X,X,X,X
IJLZOST,X,O,O,O,X,X,O,X,X,X,X
IJLOTSZ,X,O,O,X,X,X,X,X,X,X,X
IJLOTZS,X,O,O,O,X,X,O,X,X,X,X
IJLOSTZ,X,O,O,X,X,X,X,X,X,X,X
IJLOSZT,X,O,O,X,X,X,X,X,X,X,X
IJLOZTS,X,O,O,O,X,X,O,X,X,X,X
IJLOZST,X,O,O,O,X,X,O,X,X,X,X
IJSTLZO,X,O,X,X,X,X,X,X,X,O,X
IJSTLOZ,X,O,X,X,X,X,X,O,X,O,X
IJSTZLO,X,O,X,X,X,X,X,X,X,O,X
IJSTZOL,X,O,X,X,X,X,O,X,X,O,X
IJSTOLZ,X,X,X,X,X,X,X,X,X,O,X
IJSTOZL,X,X,X,X,X,X,X,X,X,O,X
IJSLTZO,X,O,X,O,X,X,O,X,X,O,X
IJSLTOZ,X,O,O,X,X,X,X,O,X,O,X
IJSLZTO,O,O,X,O,X,X,O,X,O,O,X
IJSLZOT,X,O,X,O,X,X,O,X,O,X,X
IJSLOTZ,X,O,O,X,X,X,X,X,X,X,X
IJSLOZT,X,O,O,X,X,X,X,X,X,X,X
IJSZTLO,X,O,X,X,X,O,X,X,O,O,X
IJSZTOL,X,O,X,X,X,O,O,X,O,O,X
IJSZLTO,O,O,X,O,X,O,O,X,O,O,X
IJSZLOT,X,O,X,O,X,X,O,X,O,X,X
IJSZOTL,X,O,X,X,X,O,O,X,O,O,X
IJSZOLT,X,O,X,X,X,O,O,X,O,X,X
IJSOTLZ,X,X,X,X,X,X,X,O,X,O,X
IJSOTZL,X,X,X,X,X,X,X,O,X,O,X
IJSOLTZ,X,X,O,X,X,X,X,O,X,X,X
IJSOLZT,O,X,O,X,X,X,X,O,X,X,X
IJSOZTL,X,O,X,X,X,O,X,O,X,O,X
IJSOZLT,O,O,X,X,X,O,X,O,X,X,X
IJZTLSO,X,O,X,O,X,X,O,X,X,X,X
IJZTLOS,X,O,X,O,X,X,O,X,X,X,X
IJZTSLO,X,O,X,X,O,X,X,X,X,O,X
IJZTSOL,X,O,X,X,O,X,O,X,X,O,X
IJZTOLS,X,O,X,O,X,X,O,X,X,X,X
IJZTOSL,X,O,X,X,X,X,O,X,X,X,X
IJZLTSO,O,O,X,O,X,X,O,X,X,X,X
IJZLTOS,X,O,O,O,X,X,O,X,X,X,X
IJZLSTO,O,O,X,O,X,X,O,X,X,O,X
IJZLSOT,X,O,X,O,X,X,O,X,X,X,X
IJZLOTS,X,O,O,O,X,X,O,X,X,X,X
IJZLOST,X,O,O,O,X,X,O,X,X,X,X
IJZSTLO,X,O,X,X,O,X,X,X,X,O,X
IJZSTOL,X,O,X,X,O,X,O,X,X,O,X
IJZSLTO,O,O,X,O,X,X,O,X,X,O,X
IJZSLOT,X,O,X,O,X,X,O,X,X,X,X
IJZSOTL,X,O,X,X,X,X,O,X,X,O,X
IJZSOLT,X,O,X,X,X,X,O,X,X,X,X
IJZOTLS,X,O,X,O,X,X,O,X,X,X,X
IJZOTSL,X,O,X,X,O,X,O,X,X,X,X
IJZOLTS,O,O,O,O,X,X,O,X,X,X,X
IJZOLST,O,O,O,O,X,X,O,X,X,X,X
IJZOSTL,X,O,X,X,O,X,O,X,X,O,X
IJZOSLT,O,O,X,X,X,X,O,X,X,X,X
IJOTLSZ,X,O,O,X,X,X,X,O,X,X,X
IJOTLZS,X,O,O,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,O,X,X,X,X,O,X,X,X
IJOTSZL,X,X,X,X,X,X,X,O,X,X,X
IJOTZLS,X,O,X,X,X,X,O,X,X,X,X
IJOTZSL,X,O,X,X,O,X,O,O,X,X,X
IJOLTSZ,X,O,O,X,X,X,X,O,X,X,X
IJOLTZS,X,O,O,O,X,X,O,X,X,X,X
IJOLSTZ,X,O,O,X,X,X,X,O,X,X,X
IJOLSZT,O,O,O,X,X,X,X,O,X,X,X
IJOLZTS,O,O,O,O,X,X,O,X,X,X,X
IJOLZST,O,O,O,O,X,X,O,X,X,X,X
IJOSTLZ,X,X,X,X,X,X,X,O,X,O,X
IJOSTZL,X,X,X,X,X,X,X,O,X,O,X
IJOSLTZ,X,X,O,X,X,X,X,O,X,X,X
IJOSLZT,O,X,O,X,X,X,X,O,X,X,X
IJOSZTL,X,O,X,X,X,O,X,O,X,O,X
IJOSZLT,O,O,X,X,X,O,X,O,X,X,X
IJOZTLS,X,O,X,X,X,X,O,X,X,X,X
IJOZTSL,X,O,X,X,O,X,O,O,X,X,X
IJOZLTS,O,O,O,O,X,X,O,X,X,X,X
IJOZLST,O,O,O,O,X,X,O,X,X,X,X
IJOZSTL,X,O,X,X,O,X,O,O,X,O,X
IJOZSLT,O,O,X,X,X,X,O,O,X,X,X
ISTLJZO,X,X,X,X,X,X,X,X,X,O,O
ISTLJOZ,X,X,X,X,X,X,X,X,X,O,X
ISTLZJO,O,O,X,X,X,X,X,X,O,O,O
ISTLZOJ,O,O,X,O,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,X,X,X,X,X,X,O,X
ISTLOZJ,X,O,X,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,X,X,X,X,X,X,O,O
ISTJLOZ,X,X,X,X,X,X,X,X,X,O,X
ISTJZLO,X,O,X,X,X,X,X,X,X,O,O
ISTJZOL,X,O,X,X,X,X,O,X,X,O,O
ISTJOLZ,X,X,X,X,X,X,X,X,X,O,X
ISTJOZL,X,X,X,X,X,X,X,X,X,O,O
ISTZLJO,O,O,X,X,O,X,X,X,O,O,O
ISTZLOJ,O,O,X,X,O,X,X,X,X,X,X
ISTZJLO,X,O,X,X,O,O,X,X,O,O,O
ISTZJOL,X,X,X,X,O,O,O,X,O,O,O
ISTZOLJ,X,O,X,O,O,X,X,X,X,X,X
ISTZOJL,X,X,X,X,O,O,X,X,X,X,O
ISTOLJZ,X,X,X,X,X,X,X,X,X,O,X
ISTOLZJ,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,X,X,X,O,X,O,X
ISTOJZL,X,X,X,X,X,X,X,O,X,O,O
ISTOZLJ,O,X,X,X,O,X,X,X,X,X,X
ISTOZJL,X,X,X,X,O,O,X,X,X,X,O
ISLTJZO,X,X,X,X,X,X,X,X,X,O,X
ISLTJOZ,X,X,X,X,X,X,X,X,X,O,X
ISLTZJO,O,O,X,X,X,X,X,X,O,O,X
ISLTZOJ,O,O,X,O,X,X,X,X,X,X,X
ISLTOJZ,X,X,O,X,X,X,X,X,X,O,X
ISLTOZJ,X,O,O,X,X,X,X,X,X,X,X
ISLJTZO,X,O,X,O,X,X,X,X,X,O,X
ISLJTOZ,X,O,O,X,X,X,X,X,X,O,X
ISLJZTO,O,O,X,O,X,X,X,X,O,O,X
ISLJZOT,X,O,X,O,X,X,X,X,O,X,X
ISLJOTZ,X,O,O,X,X,X,X,X,X,X,X
ISLJOZT,X,O,O,X,X,X,X,X,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X,O,X,X
ISLZTOJ,O,X,X,O,X,X,X,X,X,X,X
ISLZJTO,O,X,X,O,X,O,X,X,O,X,X
ISLZJOT,X,X,X,O,X,X,X,X,O,X,X
ISLZOTJ,O,X,X,O,X,X,X,X,X,X,X
ISLZOJT,X,X,X,O,X,O,X,X,O,X,X
ISLOTJZ,X,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,O,X,X,X,X,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,X,O,X,X,X
ISLOJZT,O,O,O,X,X,X,X,O,X,X,X
ISLOZTJ,O,X,O,X,X,X,X,X,X,X,X
ISLOZJT,O,X,O,X,X,O,X,X,O,X,X
ISJTLZO,X,O,X,X,X,X,X,X,X,O,X
ISJTLOZ,X,O,X,X,X,X,X,O,X,O,X
ISJTZLO,X,O,X,X,X,X,X,X,X,O,X
ISJTZOL,X,O,X,X,X,X,O,X,X,O,X
ISJTOLZ,X,X,X,X,X,X,X,X,X,O,X
ISJTOZL,X,X,X,X,X,X,X,X,X,O,X
ISJLTZO,X,O,X,O,X,X,O,X,X,O,X
ISJLTOZ,X,O,O,X,X,X,X,O,X,O,X
ISJLZTO,O,O,X,O,X,X,O,X,O,O,X
ISJLZOT,X,O,X,O,X,X,O,X,O,X,X
ISJLOTZ,X,O,O,X,X,X,X,X,X,X,X
ISJLOZT,X,O,O,X,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,X,O,X,X,O,O,X
ISJZTOL,X,O,X,X,X,O,O,X,O,O,X
ISJZLTO,O,O,X,O,X,O,O,X,O,O,X
ISJZLOT,X,O,X,O,X,X,O,X,O,X,X
ISJZOTL,X,O,X,X,X,O,O,X,O,O,X
ISJZOLT,X,O,X,X,X,O,O,X,O,X,X
ISJOTLZ,X,X,X,X,X,X,X,O,X,O,X
ISJOTZL,X,X,X,X,X,X,X,O,X,O,X
ISJOLTZ,X,X,O,X,X,X,X,O,X,X,X
ISJOLZT,O,X,O,X,X,X,X,O,X,X,X
ISJOZTL,X,O,X,X,X,O,X,O,X,O,X
ISJOZLT,O,O,X,X,X,O,X,O,X,X,X
ISZTLJO,O,X,X,X,O,X,X,X,O,O,X
ISZTLOJ,O,X,X,X,O,X,X,X,X,X,X
ISZTJLO,X,X,X,X,O,O,X,X,O,O,X
ISZTJOL,X,X,X,X,O,O,O,X,O,O,X
ISZTOLJ,X,X,X,O,O,X,X,X,X,X,X
ISZTOJL,X,X,X,X,O,O,X,X,X,X,X
ISZLTJO,O,X,X,X,O,X,X,X,O,X,X
ISZLTOJ,O,X,X,O,O,X,X,X,X,X,X
ISZLJTO,O,X,X,O,X,O,X,X,O,X,X
ISZLJOT,X,X,X,O,X,X,X,X,O,X,X
ISZLOTJ,O,X,X,O,X,X,X,X,X,X,X
ISZLOJT,X,X,X,O,X,O,X,X,O,X,X
ISZJTLO,X,O,X,X,O,O,X,X,O,O,X
ISZJTOL,X,O,X,X,O,O,O,X,O,O,X
ISZJLTO,O,O,X,O,X,O,O,X,O,O,X
ISZJLOT,X,O,X,O,X,X,O,X,O,X,X
ISZJOTL,X,O,X,X,X,O,O,X,O,O,X
ISZJOLT,X,O,X,X,X,O,O,X,O,X,X
ISZOTLJ,O,X,X,O,O,X,X,X,X,X,X
ISZOTJL,X,X,X,X,O,O,X,X,X,X,X
ISZOLTJ,O,X,X,O,O,X,X,X,X,X,X
ISZOLJT,O,X,X,O,X,O,X,X,O,X,X
ISZOJTL,X,X,X,X,O,O,O,O,O,X,X
ISZOJLT,O,X,X,X,X,O,O,O,O,X,X
ISOTLJZ,X,X,X,X,X,X,X,X,X,O,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,X,X,X,O,X,O,X
ISOTJZL,X,X,X,X,X,X,X,O,X,O,X
ISOTZLJ,O,X,X,X,O,X,X,X,X,X,X
ISOTZJL,X,X,X,X,O,O,X,X,X,X,X
ISOLTJZ,X,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,O,X,X,X,X,O,X,X,X
ISOLJZT,O,X,O,X,X,X,X,O,X,X,X
ISOLZTJ,O,X,O,X,X,X,X,X,X,X,X
ISOLZJT,O,X,O,X,X,O,X,X,O,X,X
ISOJTLZ,X,X,X,X,X,X,X,O,X,O,X
ISOJTZL,X,X,X,X,X,X,X,O,X,O,X
ISOJLTZ,X,X,O,X,X,X,X,O,X,X,X
ISOJLZT,O,X,O,X,X,X,X,O,X,X,X
ISOJZTL,X,O,X,X,X,O,X,O,X,O,X
ISOJZLT,O,O,X,X,X,O,X,O,X,X,X
ISOZTLJ,O,X,X,X,O,X,X,X,X,X,X
ISOZTJL,X,X,X,X,O,O,X,X,X,X,X
ISOZLTJ,O,X,X,X,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,O,X,X,O,X,X
ISOZJTL,X,X,X,X,O,O,X,O,O,X,X
ISOZJLT,O,X,X,X,X,O,X,O,O,X,X
IZTLJSO,O,O,X,O,X,X,X,X,X,X,X
IZTLJOS,X,O,X,O,X,X,O,X,X,X,X
IZTLSJO,O,O,X,X,O,X,X,X,X,X,O
IZTLSOJ,O,O,X,O,O,X,X,X,X,X,X
IZTLOJS,O,O,X,O,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,O,X,X,X,X,X,X,X
IZTJLSO,X,O,X,O,X,X,O,X,X,X,X
IZTJLOS,X,O,X,O,X,X,O,X,X,X,X
IZTJSLO,X,O,X,X,O,X,X,X,X,X,O
IZTJSOL,X,X,X,X,O,X,O,X,X,X,O
IZTJOLS,X,X,X,O,X,X,O,X,X,X,X
IZTJOSL,X,X,X,X,X,X,O,X,X,X,X
IZTSLJO,O,O,X,X,O,X,X,X,X,X,O
IZTSLOJ,O,O,X,X,O,X,X,X,X,X,X
IZTSJLO,X,O,X,X,O,X,X,X,X,X,O
IZTSJOL,X,X,X,X,O,X,O,X,X,X,O
IZTSOLJ,X,O,X,O,O,X,X,X,X,X,X
IZTSOJL,X,X,X,X,O,X,X,X,X,X,O
IZTOLJS,O,O,X,O,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,O,O,X,X,X,X,X,X
IZTOJLS,X,X,X,O,X,X,O,X,X,X,X
IZTOJSL,X,X,X,X,O,X,O,O,X,X,X
IZTOSLJ,O,O,X,O,O,X,X,X,X,X,X
IZTOSJL,X,X,X,X,O,X,X,X,X,X,O
IZLTJSO,O,O,X,O,X,X,X,X,X,X,X
IZLTJOS,X,O,X,O,X,X,O,X,X,X,X
IZLTSJO,O,O,X,X,O,X,X,X,X,X,X
IZLTSOJ,O,O,X,O,O,X,X,X,X,X,X
IZLTOJS,O,O,X,O,X,X,X,X,X,X,X
IZLTOSJ,O,O,O,O,X,X,X,X,X,X,X
IZLJTSO,O,O,X,O,X,X,O,X,X,X,X
IZLJTOS,X,O,O,O,X,X,O,X,X,X,X
IZLJSTO,O,O,X,O,X,X,O,X,X,X,X
IZLJSOT,X,O,X,O,X,X,O,X,X,X,X
IZLJOTS,X,O,O,O,X,X,O,X,X,X,X
IZLJOST,X,O,O,O,X,X,O,X,X,X,X
IZLSTJO,O,X,X,X,O,X,X,X,O,X,X
IZLSTOJ,O,X,X,O,O,X,X,X,X,X,X
IZLSJTO,O,X,X,O,X,X,X,X,O,X,X
IZLSJOT,X,X,X,O,X,X,X,X,O,X,X
IZLSOTJ,O,X,X,O,X,X,X,X,X,X,X
IZLSOJT,X,X,X,O,X,X,X,X,O,X,X
IZLOTJS,O,O,X,O,X,X,X,X,X,X,X
IZLOTSJ,O,O,O,O,O,X,X,X,X,X,X
IZLOJTS,O,O,O,O,X,X,O,X,X,X,X
IZLOJST,O,O,O,O,X,X,O,X,X,X,X
IZLOSTJ,O,X,O,O,O,X,X,X,X,X,X
IZLOSJT,O,X,O,O,X,X,X,X,X,X,X
IZJTLSO,X,O,X,O,X,X,O,X,X,X,X
IZJTLOS,X,O,X,O,X,X,O,X,X,X,X
IZJTSLO,X,O,X,X,O,X,X,X,X,O,X
IZJTSOL,X,O,X,X,O,X,O,X,X,O,X
IZJTOLS,X,O,X,O,X,X,O,X,X,X,X
IZJTOSL,X,O,X,X,X,X,O,X,X,X,X
IZJLTSO,O,O,X,O,X,X,O,X,X,X,X
IZJLTOS,X,O,O,O,X,X,O,X,X,X,X
IZJLSTO,O,O,X,O,X,X,O,X,X,O,X
IZJLSOT,X,O,X,O,X,X,O,X,X,X,X
IZJLOTS,X,O,O,O,X,X,O,X,X,X,X
IZJLOST,X,O,O,O,X,X,O,X,X,X,X
IZJSTLO,X,O,X,X,O,X,X,X,X,O,X
IZJSTOL,X,O,X,X,O,X,O,X,X,O,X
IZJSLTO,O,O,X,O,X,X,O,X,X,O,X
IZJSLOT,X,O,X,O,X,X,O,X,X,X,X
IZJSOTL,X,O,X,X,X,X,O,X,X,O,X
IZJSOLT,X,O,X,X,X,X,O,X,X,X,X
IZJOTLS,X,O,X,O,X,X,O,X,X,X,X
IZJOTSL,X,O,X,X,O,X,O,X,X,X,X
IZJOLTS,O,O,O,O,X,X,O,X,X,X,X
IZJOLST,O,O,O,O,X,X,O,X,X,X,X
IZJOSTL,X,O,X,X,O,X,O,X,X,O,X
IZJOSLT,O,O,X,X,X,X,O,X,X,X,X
IZSTLJO,O,X,X,X,O,X,X,X,O,O,X
IZSTLOJ,O,X,X,X,O,X,X,X,X,X,X
IZSTJLO,X,X,X,X,O,O,X,X,O,O,X
IZSTJOL,X,X,X,X,O,O,O,X,O,O,X
IZSTOLJ,X,X,X,O,O,X,X,X,X,X,X
IZSTOJL,X,X,X,X,O,O,X,X,X,X,X
IZSLTJO,O,X,X,X,O,X,X,X,O,X,X
IZSLTOJ,O,X,X,O,O,X,X,X,X,X,X
IZSLJTO,O,X,X,O,X,O,X,X,O,X,X
IZSLJOT,X,X,X,O,X,X,X,X,O,X,X
IZSLOTJ,O,X,X,O,X,X,X,X,X,X,X
IZSLOJT,X,X,X,O,X,O,X,X,O,X,X
IZSJTLO,X,O,X,X,O,O,X,X,O,O,X
IZSJTOL,X,O,X,X,O,O,O,X,O,O,X
IZSJLTO,O,O,X,O,X,O,O,X,O,O,X
IZSJLOT,X,O,X,O,X,X,O,X,O,X,X
IZSJOTL,X,O,X,X,X,O,O,X,O,O,X
IZSJOLT,X,O,X,X,X,O,O,X,O,X,X
IZSOTLJ,O,X,X,O,O,X,X,X,X,X,X
IZSOTJL,X,X,X,X,O,O,X,X,X,X,X
IZSOLTJ,O,X,X,O,O,X,X,X,X,X,X
IZSOLJT,O,X,X,O,X,O,X,X,O,X,X
IZSOJTL,X,X,X,X,O,O,O,O,O,X,X
IZSOJLT,O,X,X,X,X,O,O,O,O,X,X
IZOTLJS,O,X,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,O,O,X,X,X,X,X,X
IZOTJLS,X,X,X,O,X,X,O,X,X,X,X
IZOTJSL,X,X,X,X,O,X,O,O,X,X,X
IZOTSLJ,O,X,X,O,O,X,X,X,X,X,X
IZOTSJL,X,X,X,X,O,X,X,X,X,X,X
IZOLTJS,O,X,X,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,O,O,X,X,X,X,X,X
IZOLJTS,O,X,O,O,X,X,O,X,X,X,X
IZOLJST,O,X,O,O,X,X,O,X,X,X,X
IZOLSTJ,O,X,O,O,O,X,X,X,X,X,X
IZOLSJT,O,X,O,O,X,X,X,X,X,X,X
IZOJTLS,X,X,X,O,X,X,O,X,X,X,X
IZOJTSL,X,X,X,X,O,X,O,O,X,X,X
IZOJLTS,O,X,O,O,X,X,O,X,X,X,X
IZOJLST,O,X,O,O,X,X,O,X,X,X,X
IZOJSTL,X,X,X,X,O,X,O,O,X,X,X
IZOJSLT,O,X,X,X,X,X,O,O,X,X,X
IZOSTLJ,O,X,X,O,O,X,X,X,X,X,X
IZOSTJL,X,X,X,X,O,O,X,X,X,X,X
IZOSLTJ,O,X,X,O,O,X,X,X,X,X,X
