sequence,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCcBXdB8lBGn?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBCdBUhB/nBTl?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCdBulB/nBUh?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFxcBKlBGhB/nB0g?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBclBXmBTnBlm?BCsB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFOgB8gB5mB/sByv?BFsB,v115@7gB8GeE8FeD8FeG8AeD8Jei6IvhFxcBUgBThB/nB+l?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Jex6IvhFXcBmfBUiB1qB6r?BTsB
ISLTZOJ,O,O,O,O,X,O,O,X
ISLTOJZ,O,O,O,O,X,X,X,X
ISLTOZJ,O,X,O,O,X,O,X,X
ISLJTZO,O,O,O,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,X,X
ISLJZTO,O,O,X,X,X,O,X,X
ISLJZOT,O,O,O,X,X,O,X,X
ISLJOTZ,O,O,O,X,X,X,X,X
ISLJOZT,O,O,O,X,X,O,X,X
ISLZTJO,X,X,O,X,X,O,X,X
ISLZTOJ,O,X,O,X,X,O,O,X
ISLZJTO,X,X,X,X,X,O,X,X
ISLZJOT,O,X,O,X,X,O,X,X
ISLZOTJ,O,X,O,X,X,O,X,X
ISLZOJT,O,X,O,X,X,O,X,X
ISLOTJZ,O,X,O,O,X,X,X,X
ISLOTZJ,O,X,O,O,X,O,X,X
ISLOJTZ,O,O,O,X,X,X,X,X
ISLOJZT,O,O,O,X,X,O,X,X
ISLOZTJ,O,X,O,X,X,O,X,X
ISLOZJT,O,X,O,X,X,O,X,X
ISJTLZO,O,O,O,O,X,X,X,X
ISJTLOZ,O,O,O,O,X,X,X,X
ISJTZLO,O,O,O,O,X,X,X,X
ISJTZOL,O,O,O,X,X,X,X,X
ISJTOLZ,O,O,O,O,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X
ISJLTZO,O,O,O,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,X,X
ISJLZTO,O,O,X,X,X,O,X,X
ISJLZOT,O,O,O,X,X,O,X,X
ISJLOTZ,O,O,O,X,X,X,X,X
ISJLOZT,O,O,O,X,X,O,X,X
ISJZTLO,O,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X,X
ISJZOLT,O,X,O,X,X,X,X,X
ISJOTLZ,O,O,O,O,X,X,X,X
ISJOTZL,O,O,O,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,X,X,X
ISJOLZT,O,O,O,X,X,O,X,X
ISJOZTL,O,O,X,X,X,X,X,X
ISJOZLT,O,O,O,X,X,X,X,X
ISZTLJO,O,X,O,O,X,X,X,X
ISZTLOJ,O,X,O,O,X,X,O,X
ISZTJLO,O,X,O,O,X,X,X,X
ISZTJOL,O,X,O,X,X,X,X,X
ISZTOLJ,O,X,O,O,X,X,O,X
ISZTOJL,O,X,O,X,X,X,O,X
ISZLTJO,X,X,O,X,X,O,X,X
ISZLTOJ,O,X,O,X,X,O,O,X
ISZLJTO,O,X,X,X,X,O,X,X
ISZLJOT,O,X,O,X,X,O,X,X
ISZLOTJ,O,X,O,X,X,O,X,X
ISZLOJT,O,X,O,X,X,O,X,X
ISZJTLO,O,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,X,X
ISZJLTO,O,X,X,X,X,X,X,X
ISZJLOT,O,X,O,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,X
ISZJOLT,O,X,O,X,X,X,X,X
ISZOTLJ,O,X,O,O,X,X,X,X
ISZOTJL,O,X,O,X,X,X,X,X
ISZOLTJ,O,X,O,X,X,O,X,X
ISZOLJT,O,X,O,X,X,O,X,X
ISZOJTL,O,X,X,X,X,X,X,X
ISZOJLT,O,X,O,X,X,X,X,X
ISOTLJZ,O,O,O,O,X,X,X,X
ISOTLZJ,O,X,O,O,X,O,X,X
ISOTJLZ,O,O,O,O,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X
ISOTZLJ,O,O,O,O,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,X
ISOLTJZ,O,X,O,O,X,X,X,X
ISOLTZJ,O,X,O,O,X,O,X,X
ISOLJTZ,O,O,O,X,X,X,X,X
ISOLJZT,O,O,O,X,X,O,X,X
ISOLZTJ,O,X,O,X,X,O,X,X
ISOLZJT,O,X,O,X,X,O,X,X
ISOJTLZ,O,O,O,O,X,X,X,X
ISOJTZL,O,O,O,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X,X
ISOJLZT,O,O,O,X,X,O,X,X
ISOJZTL,O,O,X,X,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X,X
ISOZTLJ,O,O,O,O,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,O,X,X
ISOZLJT,O,O,O,X,X,O,X,X
ISOZJTL,O,O,X,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X,X
IZTLJSO,O,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X,O,X
IZTLOJS,O,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,O,X
IZTJLSO,O,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,X
IZTJSLO,O,X,O,X,X,X,X,X
IZTJSOL,O,X,O,X,X,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X
IZTJOSL,O,X,O,X,O,X,X,X
IZTSLJO,O,X,O,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,O,X
IZTSJLO,O,X,O,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,O,X
IZTSOJL,O,X,O,X,X,X,O,X
IZTOLJS,O,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X,O,X
IZTOJLS,O,X,X,X,X,X,X,X
IZTOJSL,O,X,O,X,O,X,X,X
IZTOSLJ,O,X,O,X,O,X,O,X
IZTOSJL,O,X,O,X,O,X,O,X
IZLTJSO,O,X,X,X,X,O,X,X
IZLTJOS,O,X,X,X,X,O,X,X
IZLTSJO,O,X,X,X,X,O,X,X
IZLTSOJ,O,X,X,X,X,O,O,X
IZLTOJS,O,X,X,X,X,O,X,X
IZLTOSJ,O,X,X,X,X,O,O,X
IZLJTSO,O,X,X,X,X,O,X,X
IZLJTOS,O,X,X,X,X,O,X,X
IZLJSTO,O,X,X,X,X,O,X,X
IZLJSOT,O,X,X,X,X,O,X,X
IZLJOTS,O,X,X,X,X,O,X,X
IZLJOST,O,X,X,X,O,O,X,X
IZLSTJO,X,X,O,X,X,O,X,X
IZLSTOJ,O,X,O,X,X,O,O,X
IZLSJTO,O,X,X,X,X,O,X,X
IZLSJOT,O,X,O,X,X,O,X,X
IZLSOTJ,O,X,O,X,X,O,X,X
IZLSOJT,O,X,O,X,X,O,X,X
IZLOTJS,O,X,X,X,X,O,X,X
IZLOTSJ,O,X,X,X,X,O,X,X
IZLOJTS,O,X,X,X,X,O,X,X
IZLOJST,O,X,X,X,O,O,X,X
IZLOSTJ,O,X,O,X,O,O,X,X
IZLOSJT,O,X,O,X,O,O,X,X
IZJTLSO,O,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X
IZJTSLO,O,X,O,X,X,X,X,X
IZJTSOL,O,X,O,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,X,X
IZJTOSL,O,X,O,X,O,X,X,X
IZJLTSO,O,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,O,X,X,X
IZJSTLO,O,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,X,X,X
IZJSLTO,O,X,X,X,X,X,X,X
IZJSLOT,O,X,O,X,X,X,X,X
IZJSOTL,O,X,X,X,O,X,X,X
IZJSOLT,O,X,O,X,O,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X
IZJOTSL,O,X,O,X,O,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,O,X,X,X
IZJOSTL,O,X,X,X,O,X,X,X
IZJOSLT,O,X,O,X,O,X,X,X
IZSTLJO,O,X,O,O,X,X,X,X
IZSTLOJ,O,X,O,O,X,X,O,X
IZSTJLO,O,X,O,O,X,X,X,X
IZSTJOL,O,X,O,X,X,X,X,X
IZSTOLJ,O,X,O,O,X,X,O,X
IZSTOJL,O,X,O,X,X,X,O,X
IZSLTJO,X,X,O,X,X,O,X,X
IZSLTOJ,O,X,O,X,X,O,O,X
IZSLJTO,O,X,X,X,X,O,X,X
IZSLJOT,O,X,O,X,X,O,X,X
IZSLOTJ,O,X,O,X,X,O,X,X
IZSLOJT,O,X,O,X,X,O,X,X
IZSJTLO,O,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X,X,X
IZSJLOT,O,X,O,X,X,X,X,X
IZSJOTL,O,X,X,X,O,X,X,X
IZSJOLT,O,X,O,X,O,X,X,X
IZSOTLJ,O,X,O,O,O,X,X,X
IZSOTJL,O,X,O,X,O,X,X,X
IZSOLTJ,O,X,O,X,O,O,X,X
IZSOLJT,O,X,O,X,O,O,X,X
IZSOJTL,O,X,X,X,O,X,X,X
IZSOJLT,O,X,O,X,O,X,X,X
IZOTLJS,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X,X,X
IZOTJSL,O,X,O,X,O,X,X,X
IZOTSLJ,O,X,O,X,O,X,X,X
IZOTSJL,O,X,O,X,O,X,X,X
IZOLTJS,O,X,X,X,X,O,X,X
IZOLTSJ,O,X,X,X,X,O,X,X
IZOLJTS,O,X,X,X,X,O,X,X
IZOLJST,O,X,X,X,O,O,X,X
IZOLSTJ,O,X,O,X,O,O,X,X
IZOLSJT,O,X,O,X,O,O,X,X
IZOJTLS,O,X,X,X,X,X,X,X
IZOJTSL,O,X,O,X,O,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,O,X,X,X
IZOJSTL,O,X,X,X,O,X,X,X
IZOJSLT,O,X,O,X,O,X,X,X
IZOSTLJ,O,X,O,O,O,X,X,X
IZOSTJL,O,X,O,X,O,X,X,X
IZOSLTJ,O,X,O,X,O,O,X,X
IZOSLJT,O,X,O,X,O,O,X,X
IZOSJTL,O,X,X,X,O,X,X,X
IZOSJLT,O,X,O,X,O,X,X,X
IOTLJSZ,O,X,O,O,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X
IOTLSJZ,O,X,O,O,X,X,X,X
IOTLSZJ,O,X,O,O,X,O,X,X
IOTLZJS,O,X,X,X,X,O,X,X
IOTLZSJ,O,X,X,X,X,O,X,X
IOTJLSZ,O,O,O,X,X,X,X,X
IOTJLZS,O,O,X,X,X,X,X,X
IOTJSLZ,O,O,O,X,X,X,X,X
IOTJSZL,O,O,O,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X,X,X
IOTJZSL,O,O,O,X,X,X,X,X
IOTSLJZ,O,O,O,O,X,X,X,X
IOTSLZJ,O,X,O,O,X,O,X,X
IOTSJLZ,O,O,O,O,X,X,X,X
IOTSJZL,O,O,O,X,X,X,X,X
IOTSZLJ,O,O,O,O,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X
IOTZJLS,O,O,X,X,X,X,X,X
IOTZJSL,O,O,O,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X,X
IOLTJSZ,O,X,O,O,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,O,X,X,X,X
IOLTSZJ,O,X,O,O,X,O,X,X
IOLTZJS,O,X,X,X,X,O,X,X
IOLTZSJ,O,X,X,X,X,O,X,X
IOLJTSZ,O,X,O,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X
IOLJSTZ,O,X,O,X,X,X,X,X
IOLJSZT,O,X,O,X,X,O,X,X
IOLJZTS,O,X,X,X,X,O,X,X
IOLJZST,O,X,X,X,X,O,X,X
IOLSTJZ,O,X,O,O,X,X,X,X
IOLSTZJ,O,X,O,O,X,O,X,X
IOLSJTZ,O,X,O,X,X,X,X,X
IOLSJZT,O,X,O,X,X,O,X,X
IOLSZTJ,O,X,O,X,X,O,X,X
IOLSZJT,O,X,O,X,X,O,X,X
IOLZTJS,O,X,X,X,X,O,X,X
IOLZTSJ,O,X,X,X,X,O,X,X
IOLZJTS,O,X,X,X,X,O,X,X
IOLZJST,O,X,X,X,X,O,X,X
IOLZSTJ,O,X,O,X,X,O,X,X
IOLZSJT,O,X,O,X,X,O,X,X
IOJTLSZ,O,O,O,X,X,X,X,X
IOJTLZS,O,O,X,X,X,X,X,X
IOJTSLZ,O,O,O,X,X,X,X,X
IOJTSZL,O,O,O,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X
IOJTZSL,O,O,O,X,O,X,X,X
IOJLTSZ,O,O,O,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,X,X
IOJLSZT,O,O,O,X,X,O,X,X
IOJLZTS,O,X,X,X,X,O,X,X
IOJLZST,O,O,X,X,O,O,X,X
IOJSTLZ,O,O,O,O,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X,X
IOJSLZT,O,O,O,X,X,O,X,X
IOJSZTL,O,O,X,X,O,X,X,X
IOJSZLT,O,O,O,X,O,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X
IOJZTSL,O,O,O,X,O,X,X,X
IOJZLTS,O,X,X,X,X,X,X,X
IOJZLST,O,O,X,X,O,X,X,X
IOJZSTL,O,O,X,X,O,X,X,X
IOJZSLT,O,O,O,X,O,X,X,X
IOSTLJZ,O,O,O,O,X,X,X,X
IOSTLZJ,O,X,O,O,X,O,X,X
IOSTJLZ,O,O,O,O,X,X,X,X
IOSTJZL,O,O,O,X,X,X,X,X
IOSTZLJ,O,O,O,O,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X,X
IOSLTJZ,O,X,O,O,X,X,X,X
IOSLTZJ,O,X,O,O,X,O,X,X
IOSLJTZ,O,O,O,X,X,X,X,X
IOSLJZT,O,O,O,X,X,O,X,X
IOSLZTJ,O,X,O,X,X,O,X,X
IOSLZJT,O,X,O,X,X,O,X,X
IOSJTLZ,O,O,O,O,X,X,X,X
IOSJTZL,O,O,O,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X,X
IOSJLZT,O,O,O,X,X,O,X,X
IOSJZTL,O,O,X,X,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X,X
IOSZTLJ,O,O,O,O,O,X,X,X
IOSZTJL,O,O,O,X,O,X,X,X
IOSZLTJ,O,O,O,X,O,O,X,X
IOSZLJT,O,O,O,X,O,O,X,X
IOSZJTL,O,O,X,X,O,X,X,X
IOSZJLT,O,O,O,X,O,X,X,X
IOZTLJS,O,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,X,X,X
IOZTJLS,O,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,O,X,X,X
IOZTSLJ,O,O,O,X,O,X,X,X
IOZTSJL,O,O,O,X,O,X,X,X
IOZLTJS,O,X,X,X,X,O,X,X
IOZLTSJ,O,X,X,X,X,O,X,X
IOZLJTS,O,X,X,X,X,O,X,X
IOZLJST,O,O,X,X,O,O,X,X
IOZLSTJ,O,O,O,X,O,O,X,X
IOZLSJT,O,O,O,X,O,O,X,X
IOZJTLS,O,X,X,X,X,X,X,X
IOZJTSL,O,O,O,X,O,X,X,X
IOZJLTS,O,X,X,X,X,X,X,X
IOZJLST,O,O,X,X,O,X,X,X
IOZJSTL,O,O,X,X,O,X,X,X
IOZJSLT,O,O,O,X,O,X,X,X
IOZSTLJ,O,O,O,O,O,X,X,X
IOZSTJL,O,O,O,X,O,X,X,X
IOZSLTJ,O,O,O,X,O,O,X,X
IOZSLJT,O,O,O,X,O,O,X,X
IOZSJTL,O,O,X,X,O,X,X,X
IOZSJLT,O,O,O,X,O,X,X,X
LTIJSZO,O,X,O,O,X,X,X,O
LTIJSOZ,O,X,O,O,X,X,X,O
LTIJZSO,O,X,X,X,X,X,X,O
LTIJZOS,O,X,X,X,X,X,X,O
LTIJOSZ,O,X,O,O,X,X,X,O
LTIJOZS,O,X,X,X,X,X,X,O
LTISJZO,O,X,O,O,X,X,X,O
LTISJOZ,O,X,O,O,X,X,X,O
LTISZJO,O,X,O,O,X,O,X,O
LTISZOJ,O,X,O,O,X,O,O,X
LTISOJZ,O,X,O,O,X,X,X,X
LTISOZJ,O,X,O,O,X,O,X,X
LTIZJSO,O,X,X,X,X,O,X,O
LTIZJOS,O,X,X,X,X,O,X,O
LTIZSJO,O,X,X,X,X,O,X,O
LTIZSOJ,O,X,X,X,X,O,O,X
LTIZOJS,O,X,X,X,X,O,X,X
LTIZOSJ,O,X,X,X,X,O,O,X
LTIOJSZ,O,X,O,O,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X
LTIOSJZ,O,X,O,O,X,X,X,X
LTIOSZJ,O,X,O,O,X,O,X,X
LTIOZJS,O,X,X,X,X,O,X,X
LTIOZSJ,O,X,X,X,X,O,X,X
LTJISZO,O,O,O,O,X,X,X,O
LTJISOZ,O,O,O,O,X,X,X,O
LTJIZSO,O,O,X,X,X,X,X,O
LTJIZOS,O,X,X,X,X,X,X,O
LTJIOSZ,O,X,O,O,X,X,X,O
LTJIOZS,O,X,X,X,X,X,X,O
LTJSIZO,O,O,O,O,X,X,X,O
LTJSIOZ,O,O,O,O,X,X,X,O
LTJSZIO,O,O,O,O,X,X,X,O
LTJSZOI,O,O,O,O,X,X,O,O
LTJSOIZ,O,O,O,O,X,X,X,O
LTJSOZI,O,O,O,O,X,X,X,O
LTJZISO,O,O,X,X,X,X,X,O
LTJZIOS,O,X,X,X,X,X,X,O
LTJZSIO,O,O,X,O,X,X,X,O
LTJZSOI,O,O,X,O,X,X,O,O
LTJZOIS,O,X,X,X,X,X,X,O
LTJZOSI,O,X,X,O,X,X,O,O
LTJOISZ,O,X,O,O,X,X,X,O
LTJOIZS,O,X,X,X,X,X,X,O
LTJOSIZ,O,X,O,O,X,X,X,O
LTJOSZI,O,X,O,O,X,X,X,O
LTJOZIS,O,X,X,X,X,X,X,O
LTJOZSI,O,X,X,O,X,X,X,O
LTSIJZO,O,O,O,O,X,X,X,O
LTSIJOZ,O,O,O,O,X,X,X,O
LTSIZJO,O,O,O,O,X,O,X,O
LTSIZOJ,O,O,O,O,X,O,O,X
LTSIOJZ,O,O,O,O,X,X,X,X
LTSIOZJ,O,X,O,O,X,O,X,X
LTSJIZO,O,O,O,O,X,X,X,O
LTSJIOZ,O,O,O,O,X,X,X,O
LTSJZIO,O,O,O,O,X,X,X,O
LTSJZOI,O,O,O,O,X,X,O,O
LTSJOIZ,O,O,O,O,X,X,X,O
LTSJOZI,O,O,O,O,X,X,X,O
LTSZIJO,O,O,O,O,X,O,X,O
LTSZIOJ,O,O,O,O,X,O,O,X
LTSZJIO,O,O,O,O,X,O,X,O
LTSZJOI,O,O,O,O,X,O,O,O
LTSZOIJ,O,O,O,O,X,O,O,X
LTSZOJI,O,O,O,O,X,O,O,O
LTSOIJZ,O,O,O,O,X,X,X,X
LTSOIZJ,O,X,O,O,X,O,X,X
LTSOJIZ,O,O,O,O,X,X,X,O
LTSOJZI,O,O,O,O,X,X,X,O
LTSOZIJ,O,O,O,O,X,O,O,X
LTSOZJI,O,O,O,O,X,O,O,O
LTZIJSO,O,O,X,X,X,O,X,O
LTZIJOS,O,X,X,X,X,O,X,O
LTZISJO,O,O,X,X,X,O,X,O
LTZISOJ,O,O,X,X,X,O,O,X
LTZIOJS,O,X,X,X,X,O,X,X
LTZIOSJ,O,X,X,X,X,O,O,X
LTZJISO,O,O,X,X,X,O,X,O
LTZJIOS,O,X,X,X,X,O,X,O
LTZJSIO,O,O,X,O,X,O,X,O
LTZJSOI,O,O,X,O,X,O,O,O
LTZJOIS,O,X,X,X,X,O,X,O
LTZJOSI,O,X,X,O,X,O,O,O
LTZSIJO,O,O,X,O,X,O,X,O
LTZSIOJ,O,O,X,O,X,O,O,X
LTZSJIO,O,O,X,O,X,O,X,O
LTZSJOI,O,O,X,O,X,O,O,O
LTZSOIJ,O,O,X,O,X,O,O,X
LTZSOJI,O,O,X,O,X,O,O,O
LTZOIJS,O,X,X,X,X,O,X,X
LTZOISJ,O,X,X,X,X,O,O,X
LTZOJIS,O,X,X,X,X,O,X,O
LTZOJSI,O,X,X,O,X,O,O,O
LTZOSIJ,O,X,X,O,X,O,O,X
LTZOSJI,O,X,X,O,X,O,O,O
LTOIJSZ,O,X,O,O,X,X,X,X
LTOIJZS,O,X,X,X,X,X,X,X
LTOISJZ,O,X,O,O,X,X,X,X
LTOISZJ,O,X,O,O,X,O,X,X
LTOIZJS,O,X,X,X,X,O,X,X
LTOIZSJ,O,X,X,X,X,O,X,X
LTOJISZ,O,O,O,O,X,X,X,O
LTOJIZS,O,O,X,X,X,X,X,O
LTOJSIZ,O,O,O,O,X,X,X,O
LTOJSZI,O,O,O,O,X,X,X,O
LTOJZIS,O,O,X,X,X,X,X,O
LTOJZSI,O,O,X,O,X,X,X,O
LTOSIJZ,O,O,O,O,X,X,X,X
LTOSIZJ,O,X,O,O,X,O,X,X
LTOSJIZ,O,O,O,O,X,X,X,O
LTOSJZI,O,O,O,O,X,X,X,O
LTOSZIJ,O,O,O,O,X,O,O,X
LTOSZJI,O,O,O,O,X,O,O,O
LTOZIJS,O,O,X,X,X,O,X,X
LTOZISJ,O,O,X,X,X,O,O,X
LTOZJIS,O,O,X,X,X,O,X,O
LTOZJSI,O,O,X,O,X,O,O,O
LTOZSIJ,O,O,X,O,X,O,O,X
LTOZSJI,O,O,X,O,X,O,O,O
LITJSZO,O,X,O,O,X,X,X,O
LITJSOZ,O,X,O,O,X,X,X,O
LITJZSO,O,X,X,X,X,X,X,O
LITJZOS,O,X,X,X,X,X,X,O
LITJOSZ,O,X,O,O,X,X,X,O
LITJOZS,O,X,X,X,X,X,X,O
LITSJZO,O,X,O,O,X,X,X,O
LITSJOZ,O,X,O,O,X,X,X,O
LITSZJO,O,X,O,O,X,O,X,O
LITSZOJ,O,X,O,O,X,O,O,X
LITSOJZ,O,X,O,O,X,X,X,X
LITSOZJ,O,X,O,O,X,O,X,X
LITZJSO,O,X,X,X,X,O,X,O
LITZJOS,O,X,X,X,X,O,X,O
LITZSJO,O,X,X,X,X,O,X,O
LITZSOJ,O,X,X,X,X,O,O,X
LITZOJS,O,X,X,X,X,O,X,X
LITZOSJ,O,X,X,X,X,O,O,X
LITOJSZ,O,X,O,O,X,X,X,X
LITOJZS,O,X,X,X,X,X,X,X
LITOSJZ,O,X,O,O,X,X,X,X
LITOSZJ,O,X,O,O,X,O,X,X
LITOZJS,O,X,X,X,X,O,X,X
LITOZSJ,O,X,X,X,X,O,X,X
LIJTSZO,O,O,O,X,X,X,X,X
LIJTSOZ,O,O,O,X,X,X,X,X
LIJTZSO,O,X,X,X,X,X,X,X
LIJTZOS,O,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,X,X,X,X,X
LIJTOZS,O,X,X,X,X,X,X,X
LIJSTZO,O,O,O,X,X,X,X,X
LIJSTOZ,O,O,O,X,X,X,X,X
LIJSZTO,O,O,X,X,X,O,X,X
LIJSZOT,O,O,O,X,X,O,X,X
LIJSOTZ,O,O,O,X,X,X,X,X
LIJSOZT,O,O,O,X,X,O,X,X
LIJZTSO,O,X,X,X,X,O,X,X
LIJZTOS,O,X,X,X,X,O,X,X
LIJZSTO,O,O,X,X,X,O,X,X
LIJZSOT,O,O,X,X,X,O,X,X
LIJZOTS,O,X,X,X,X,O,X,X
LIJZOST,O,X,X,X,X,O,X,X
LIJOTSZ,O,X,O,X,X,X,X,X
LIJOTZS,O,X,X,X,X,X,X,X
LIJOSTZ,O,O,O,X,X,X,X,X
LIJOSZT,O,O,O,X,X,O,X,X
LIJOZTS,O,X,X,X,X,O,X,X
LIJOZST,O,X,X,X,X,O,X,X
LISTJZO,O,O,O,O,X,X,X,X
LISTJOZ,O,O,O,O,X,X,X,X
LISTZJO,O,O,O,O,X,O,X,X
LISTZOJ,O,O,O,O,X,O,O,X
LISTOJZ,O,O,O,O,X,X,X,X
LISTOZJ,O,X,O,O,X,O,X,X
LISJTZO,O,O,O,X,X,X,X,X
LISJTOZ,O,O,O,X,X,X,X,X
LISJZTO,O,O,X,X,X,O,X,X
LISJZOT,O,O,O,X,X,O,X,X
LISJOTZ,O,O,O,X,X,X,X,X
LISJOZT,O,O,O,X,X,O,X,X
LISZTJO,X,X,O,X,X,O,X,X
LISZTOJ,O,X,O,X,X,O,O,X
LISZJTO,X,X,X,X,X,O,X,X
LISZJOT,O,X,O,X,X,O,X,X
LISZOTJ,O,X,O,X,X,O,X,X
LISZOJT,O,X,O,X,X,O,X,X
LISOTJZ,O,X,O,O,X,X,X,X
LISOTZJ,O,X,O,O,X,O,X,X
LISOJTZ,O,O,O,X,X,X,X,X
LISOJZT,O,O,O,X,X,O,X,X
LISOZTJ,O,X,O,X,X,O,X,X
LISOZJT,O,X,O,X,X,O,X,X
LIZTJSO,O,X,X,X,X,O,X,O
LIZTJOS,O,X,X,X,X,O,X,O
LIZTSJO,O,X,X,X,X,O,X,O
LIZTSOJ,O,X,X,X,X,O,O,X
LIZTOJS,O,X,X,X,X,O,X,X
LIZTOSJ,O,X,X,X,X,O,O,X
LIZJTSO,O,X,X,X,X,O,X,X
LIZJTOS,O,X,X,X,X,O,X,X
LIZJSTO,O,X,X,X,X,O,X,X
LIZJSOT,O,X,X,X,X,O,X,X
LIZJOTS,O,X,X,X,X,O,X,X
LIZJOST,O,X,X,X,X,O,X,X
LIZSTJO,X,X,O,X,X,O,X,X
LIZSTOJ,O,X,O,X,X,O,O,X
LIZSJTO,O,X,X,X,X,O,X,X
LIZSJOT,O,X,O,X,X,O,X,X
LIZSOTJ,O,X,O,X,X,O,X,X
LIZSOJT,O,X,O,X,X,O,X,X
LIZOTJS,O,X,X,X,X,O,X,X
LIZOTSJ,O,X,X,X,X,O,X,X
LIZOJTS,O,X,X,X,X,O,X,X
LIZOJST,O,X,X,X,X,O,X,X
LIZOSTJ,O,X,O,X,X,O,X,X
LIZOSJT,O,X,O,X,X,O,X,X
LIOTJSZ,O,X,O,O,X,X,X,X
LIOTJZS,O,X,X,X,X,X,X,X
LIOTSJZ,O,X,O,O,X,X,X,X
LIOTSZJ,O,X,O,O,X,O,X,X
LIOTZJS,O,X,X,X,X,O,X,X
LIOTZSJ,O,X,X,X,X,O,X,X
LIOJTSZ,O,X,O,X,X,X,X,X
LIOJTZS,O,X,X,X,X,X,X,X
LIOJSTZ,O,X,O,X,X,X,X,X
LIOJSZT,O,X,O,X,X,O,X,X
LIOJZTS,O,X,X,X,X,O,X,X
LIOJZST,O,X,X,X,X,O,X,X
