sequence,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBcmB6nBT?jBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB2mBTjBc?sBXrBCsB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBumB9nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBOmBXiBT?jBcsBSwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeX9IvhF6jBziBxlBN?sBUmBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFUhB9nBTjB6?qBmrB3rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3hB9nBTjB6?qBmrBUrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFihB9nBTjB0?lBfsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBtmB+nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gB9nBTjB8?qB+rBasB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JedCJvhFfjB6jBxlBc?sBGrBzqB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je6DJvhF3gBRiB0iBT?mBNsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF3gBcmBxnB6?nBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je09IvhF6jB9lBmhBT?mB3nBRwB
JTZISLO,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X
JTZISOL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JTZIOLS,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JTZIOSL,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JTZLISO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JTZLIOS,O,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JTZLSIO,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JTZLSOI,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JTZLOIS,O,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JTZLOSI,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSILO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JTZSIOL,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSLIO,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JTZSLOI,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JTZSOIL,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSOLI,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JTZOILS,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JTZOISL,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JTZOLIS,O,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JTZOLSI,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZOSIL,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZOSLI,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JTOILSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JTOILZS,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JTOISLZ,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOISZL,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JTOIZLS,O,O,O,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JTOIZSL,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JTOLISZ,O,O,O,X,O,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JTOLIZS,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JTOLSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JTOLSZI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOLZIS,O,O,O,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JTOLZSI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JTOSILZ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JTOSIZL,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JTOSLIZ,O,O,O,X,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JTOSLZI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSZIL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSZLI,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZILS,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JTOZISL,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JTOZLIS,O,O,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JTOZLSI,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZSIL,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZSLI,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JITLSZO,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JITLSOZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JITLZSO,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JITLZOS,O,O,O,X,O,O,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JITLOSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JITLOZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,O
JITSLZO,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JITSLOZ,X,X,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
JITSZLO,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O
JITSZOL,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O
JITSOLZ,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JITSOZL,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O
JITZLSO,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
JITZLOS,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X
JITZSLO,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
JITZSOL,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JITZOLS,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
JITZOSL,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JITOLSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JITOLZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,O
JITOSLZ,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JITOSZL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O
JITOZLS,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O
JITOZSL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O
JILTSZO,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JILTSOZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JILTZSO,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JILTZOS,O,O,O,X,O,O,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JILTOSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JILTOZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
JILSTZO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JILSTOZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JILSZTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JILSZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JILSOTZ,O,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JILSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JILZTSO,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JILZTOS,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JILZSTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JILZSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JILZOTS,O,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JILZOST,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JILOTSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JILOTZS,O,O,O,X,O,O,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JILOSTZ,O,O,O,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JILOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JILOZTS,O,O,O,X,X,O,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JILOZST,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JISTLZO,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JISTLOZ,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JISTZLO,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,O
JISTZOL,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JISTOLZ,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JISTOZL,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JISLTZO,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JISLTOZ,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JISLZTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JISLZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JISLOTZ,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JISLOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JISZTLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JISZTOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JISZLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JISZLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JISZOTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JISZOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JISOTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JISOTZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JISOLTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JISOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JISOZTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JISOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JIZTLSO,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X
JIZTLOS,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JIZTSLO,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X
JIZTSOL,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JIZTOLS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JIZTOSL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JIZLTSO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JIZLTOS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZLSTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZLSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZLOTS,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZLOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZSTLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JIZSTOL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JIZSLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZSLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZSOTL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZSOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZOTLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZOTSL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JIZOLTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZOSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZOSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOTLSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JIOTLZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JIOTSLZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOTSZL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOTZLS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOTZSL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOLTSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JIOLTZS,O,O,O,X,O,O,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JIOLSTZ,O,O,O,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JIOLSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOLZTS,O,O,O,X,X,O,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JIOLZST,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JIOSTLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSTZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOSLTZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOSZTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOZTLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOZTSL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JIOZLTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOZLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOZSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JIOZSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLTISZO,O,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JLTISOZ,O,X,O,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JLTIZSO,O,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JLTIZOS,O,O,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JLTIOSZ,O,O,O,X,X,X,X,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
JLTIOZS,O,O,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,O
JLTSIZO,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
JLTSIOZ,O,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X
JLTSZIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JLTSZOI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTSOIZ,O,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X
JLTSOZI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JLTZISO,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JLTZIOS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JLTZSIO,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSOI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLTZOIS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JLTZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLTOISZ,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
JLTOIZS,O,O,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
JLTOSIZ,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLTOSZI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOZIS,O,O,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JLTOZSI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLITSZO,O,O,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JLITSOZ,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JLITZSO,O,O,O,X,X,O,X,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JLITZOS,O,O,O,X,O,O,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JLITOSZ,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JLITOZS,O,O,O,X,O,O,X,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
JLISTZO,O,O,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JLISTOZ,O,O,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JLISZTO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JLISZOT,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLISOTZ,O,O,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JLISOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JLIZTSO,O,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JLIZTOS,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLIZSTO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLIZSOT,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLIZOTS,O,O,O,X,X,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLIZOST,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLIOTSZ,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLIOTZS,O,O,O,X,O,O,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
