sequence,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBSjB8mBziB+t?BlsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBciBTeBWsBFo?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mB/oBTn?BVyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF8iB+jBlhB/sBCn?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mBVoB/s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBFeBTiBcoBWs?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFFdBXeB0hBSoBGs?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBCtBct?BGtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFGdBlhB6oBXnB8s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFXeBSoBUnBlmBTt?BGsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBGtBct?BCtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFlhBcnBTjBCnBGt?BXtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF+jBlhB3iBzmBCt?BUtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cB+jBliBzmBCt?BUtB
JLOSTIZ,X,X,X,X,O,O,O,X,X,X,X,X,O,O
JLOSTZI,X,X,X,X,O,O,O,X,X,X,X,X,O,O
JLOSITZ,X,X,X,X,O,O,O,X,X,X,X,X,O,O
JLOSIZT,X,O,X,X,O,O,O,O,X,X,O,X,X,O
JLOSZTI,X,O,X,X,O,O,O,O,X,X,O,X,X,O
JLOSZIT,X,O,X,X,O,O,O,O,X,X,O,X,X,O
JLOZTIS,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JLOZTSI,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JLOZITS,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JLOZIST,O,O,X,X,X,O,O,O,X,X,O,X,X,O
JLOZSTI,O,O,X,X,X,O,O,O,X,X,O,X,X,O
JLOZSIT,O,O,X,X,X,O,O,O,X,X,O,X,X,O
JSTILZO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSTILOZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTIZLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSTIZOL,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSTIOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSTIOZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JSTLIZO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSTLIOZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTLZIO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSTLZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSTLOIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTLOZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTZILO,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSTZIOL,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSTZLIO,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSTZLOI,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSTZOIL,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSTZOLI,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JSTOILZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSTOIZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JSTOLIZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSTOLZI,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSTOZIL,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JSTOZLI,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSITLZO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JSITLOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSITZOL,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSITOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSITOZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JSILTZO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSILTOZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSILZTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSILZOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JSILOZT,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSIZTLO,O,O,X,X,O,X,O,X,O,X,X,X,X,X
JSIZTOL,O,O,X,X,O,X,O,X,O,X,X,O,X,X
JSIZLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSIZLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSIZOTL,O,O,X,X,O,X,O,X,X,X,X,O,X,X
JSIZOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSIOTZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSIOLTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JSIOLZT,X,O,X,O,X,O,O,O,X,X,O,X,X,X
JSIOZTL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JSIOZLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JSLTIZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLTIOZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLTZIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLTZOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLTOIZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLTOZI,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JSLITZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLITOZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLIZTO,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLIZOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JSLIOZT,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLZTIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLZTOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLZITO,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLZIOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLZOTI,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLZOIT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLOTIZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JSLOTZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSLOITZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JSLOIZT,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLOZTI,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSLOZIT,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JSZTILO,O,O,X,X,O,X,O,X,O,X,X,X,X,X
JSZTIOL,O,O,X,X,O,X,O,X,O,X,X,O,X,X
JSZTLIO,O,O,X,X,O,X,O,X,O,X,X,X,X,X
JSZTLOI,O,O,X,X,X,X,O,X,O,X,X,X,X,X
JSZTOIL,O,O,X,X,O,X,O,X,O,X,X,O,X,X
JSZTOLI,O,O,X,X,X,X,O,X,O,X,X,O,X,X
JSZITLO,O,O,X,X,O,X,O,X,O,X,X,X,X,X
JSZITOL,O,O,X,X,O,X,O,X,O,X,X,O,X,X
JSZILTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSZILOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZIOTL,O,O,X,X,O,X,O,X,X,X,X,O,X,X
JSZIOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZLTIO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSZLTOI,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSZLITO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JSZLIOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZLOTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZLOIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZOTIL,O,O,X,X,O,X,O,X,X,X,X,O,X,X
JSZOTLI,O,O,X,X,O,X,O,X,X,X,X,O,X,X
JSZOITL,O,O,X,X,O,X,O,X,X,X,X,O,X,X
JSZOILT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZOLTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZOLIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JSOTILZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSOTIZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOTLIZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSOTLZI,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSOTZIL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOTZLI,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOITLZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSOITZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOILTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JSOILZT,X,O,X,O,X,O,O,O,X,X,O,X,X,X
JSOIZTL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JSOIZLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JSOLTIZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JSOLTZI,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JSOLITZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JSOLIZT,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JSOLZTI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JSOLZIT,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JSOZTIL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JSOZTLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JSOZITL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JSOZILT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JSOZLTI,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JSOZLIT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JZTILSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTILOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTISLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTISOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTIOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTIOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTLISO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTLIOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTLSIO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTLSOI,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTLOIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTLOSI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTSILO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTSIOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTSLIO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTSLOI,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZTSOIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTSOLI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTOILS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTOISL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTOLIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTOLSI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTOSIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTOSLI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZITLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZITLOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZITSLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZITSOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZITOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZITOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZILTSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZILTOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JZILSTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZILSOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZILOTS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
JZILOST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
JZISTOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
JZISLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZISLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZISOTL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZISOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZIOTSL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZIOLTS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
JZIOLST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JZIOSTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZIOSLT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZLTISO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLTIOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLTSIO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLTSOI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLTOIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLTOSI,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLITSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLITOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLISTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZLISOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLIOTS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLIOST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLSTIO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZLSTOI,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZLSITO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZLSIOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLSOTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLSOIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLOTIS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLOTSI,X,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLOITS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLOIST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLOSTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLOSIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSTILO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSTIOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
JZSTLIO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSTLOI,O,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSTOIL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
JZSTOLI,O,O,X,X,X,X,O,X,O,X,X,O,X,X
JZSITLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
JZSITOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
JZSILTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZSILOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSIOTL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZSIOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSLTIO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZSLTOI,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZSLITO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
JZSLIOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSLOTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSLOIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSOTIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZSOTLI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZSOITL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZSOILT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSOLTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSOLIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZOTILS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOTISL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOTLIS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOTLSI,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOTSIL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOTSLI,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOITLS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOITSL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOILTS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
JZOILST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JZOISTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOISLT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZOLTIS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
JZOLTSI,X,O,X,X,X,O,O,X,X,O,O,O,X,X
JZOLITS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
JZOLIST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JZOLSTI,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JZOLSIT,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JZOSTIL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOSTLI,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOSITL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
JZOSILT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZOSLTI,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JZOSLIT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JOTILSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOTILZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JOTISLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOTISZL,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOTIZLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOTIZSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOTLISZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X
JOTLIZS,O,O,O,O,X,O,O,X,X,X,X,X,X,X
JOTLSIZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X
JOTLSZI,X,X,O,X,O,O,O,X,X,X,X,X,X,X
JOTLZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,X
JOTLZSI,O,O,O,O,X,O,O,X,X,X,X,X,X,X
JOTSILZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOTSIZL,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOTSLIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOTSLZI,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOTSZIL,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOTSZLI,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOTZILS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOTZISL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOTZLIS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOTZLSI,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOTZSIL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOTZSLI,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOITLSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JOITLZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JOITSLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOITSZL,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOITZLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOITZSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOILTSZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOILTZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JOILSTZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOILSZT,X,O,X,O,O,O,O,O,X,O,O,X,X,X
JOILZTS,X,O,X,O,X,O,O,O,X,O,O,O,X,X
JOILZST,O,O,X,X,X,O,O,O,X,O,O,X,X,X
JOISTLZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JOISTZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOISLTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JOISLZT,X,O,X,O,X,O,O,O,X,X,O,X,X,X
JOISZTL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JOISZLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOIZTLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOIZTSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOIZLTS,X,O,X,O,X,O,O,X,X,O,O,O,X,X
JOIZLST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JOIZSTL,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOIZSLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOLTISZ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOLTIZS,O,O,O,O,X,O,O,X,X,X,X,X,X,X
JOLTSIZ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOLTSZI,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOLTZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,X
JOLTZSI,O,O,O,O,X,O,O,X,X,X,X,X,X,X
JOLITSZ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOLITZS,O,O,O,O,X,O,O,X,X,X,X,X,X,X
JOLISTZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOLISZT,X,O,X,O,O,O,O,O,X,O,O,X,X,X
JOLIZTS,X,O,O,O,X,O,O,O,X,O,O,O,X,X
JOLIZST,O,O,X,X,X,O,O,O,X,O,O,X,X,X
JOLSTIZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOLSTZI,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOLSITZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOLSIZT,X,O,X,O,O,O,O,O,X,O,O,X,X,X
JOLSZTI,X,O,X,O,O,O,O,O,X,O,O,X,X,X
JOLSZIT,X,O,X,O,O,O,O,O,X,O,O,X,X,X
JOLZTIS,X,O,O,O,X,O,O,O,X,O,O,O,X,X
JOLZTSI,X,O,O,O,X,O,O,O,X,O,O,O,X,X
JOLZITS,X,O,O,O,X,O,O,O,X,O,O,O,X,X
JOLZIST,O,O,X,X,X,O,O,O,X,O,O,X,X,X
JOLZSTI,O,O,X,X,X,O,O,O,X,O,O,X,X,X
JOLZSIT,O,O,X,X,X,O,O,O,X,O,O,X,X,X
JOSTILZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JOSTIZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOSTLIZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JOSTLZI,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JOSTZIL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOSTZLI,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOSITLZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JOSITZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOSILTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JOSILZT,X,O,X,O,X,O,O,O,X,X,O,X,X,X
JOSIZTL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JOSIZLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSLTIZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOSLTZI,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOSLITZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOSLIZT,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JOSLZTI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JOSLZIT,X,O,X,O,O,O,O,O,X,X,O,X,X,X
JOSZTIL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JOSZTLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JOSZITL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
JOSZILT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSZLTI,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOSZLIT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOZTILS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZTISL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOZTLIS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZTLSI,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZTSIL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOZTSLI,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOZITLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZITSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
JOZILTS,X,O,X,O,X,O,O,X,X,O,O,O,X,X
JOZILST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JOZISTL,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZISLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOZLTIS,X,O,X,O,X,O,O,X,X,O,O,O,X,X
JOZLTSI,X,O,X,O,X,O,O,X,X,O,O,O,X,X
JOZLITS,X,O,X,O,X,O,O,X,X,O,O,O,X,X
JOZLIST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JOZLSTI,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JOZLSIT,O,O,X,X,X,O,O,X,X,O,O,X,X,X
JOZSTIL,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZSTLI,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZSITL,O,O,X,O,X,X,O,X,X,X,O,O,X,X
JOZSILT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOZSLTI,O,O,X,O,X,O,O,X,X,X,O,X,X,X
JOZSLIT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
