sequence,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8JeO/IvhF8fBTcB?idB5jB3iBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhFTcBOiB?8iB5jB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Je2/IvhFicBzdB?5jBUiB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhF2hBzdB?5jB3fBUiBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei8IvhFzdB5jB?lfBUiB/pBmpB
TOLJIZS,X,X,O,X,X
TOLJSIZ,X,X,X,O,X
TOLJSZI,X,X,X,O,X
TOLJZIS,X,X,O,X,X
TOLJZSI,X,X,O,X,X
TOLSIJZ,O,O,X,O,X
TOLSIZJ,O,O,X,O,X
TOLSJIZ,O,O,X,O,X
TOLSJZI,O,O,X,O,X
TOLSZIJ,O,O,X,O,X
TOLSZJI,O,O,X,O,X
TOLZIJS,O,O,O,X,X
TOLZISJ,O,O,O,X,X
TOLZJIS,O,O,O,X,X
TOLZJSI,O,O,O,X,X
TOLZSIJ,O,O,O,X,X
TOLZSJI,O,O,O,X,X
TOJILSZ,X,X,X,O,X
TOJILZS,X,X,O,X,X
TOJISLZ,O,O,X,O,X
TOJISZL,O,O,X,O,X
TOJIZLS,O,O,O,X,X
TOJIZSL,O,O,O,O,X
TOJLISZ,X,X,X,O,X
TOJLIZS,X,X,O,X,X
TOJLSIZ,X,X,X,O,X
TOJLSZI,X,X,X,O,X
TOJLZIS,X,X,O,X,X
TOJLZSI,X,X,O,X,X
TOJSILZ,O,O,X,O,X
TOJSIZL,O,O,X,O,X
TOJSLIZ,O,O,X,O,X
TOJSLZI,O,O,X,O,X
TOJSZIL,O,O,X,O,X
TOJSZLI,O,O,X,O,X
TOJZILS,O,O,O,X,X
TOJZISL,O,O,O,O,X
TOJZLIS,O,O,O,X,X
TOJZLSI,O,O,O,X,X
TOJZSIL,O,O,O,O,X
TOJZSLI,O,O,O,O,X
TOSILJZ,O,O,X,O,X
TOSILZJ,O,O,X,O,X
TOSIJLZ,O,O,X,O,X
TOSIJZL,O,O,X,O,X
TOSIZLJ,O,O,X,O,X
TOSIZJL,O,O,X,O,X
TOSLIJZ,O,O,X,O,X
TOSLIZJ,O,O,X,O,X
TOSLJIZ,O,O,X,O,X
TOSLJZI,O,O,X,O,X
TOSLZIJ,O,O,X,O,X
TOSLZJI,O,O,X,O,X
TOSJILZ,O,O,X,O,X
TOSJIZL,O,O,X,O,X
TOSJLIZ,O,O,X,O,X
TOSJLZI,O,O,X,O,X
TOSJZIL,O,O,X,O,X
TOSJZLI,O,O,X,O,X
TOSZILJ,O,O,X,O,X
TOSZIJL,O,O,X,O,X
