sequence,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBOr?BzrB,v115@EhC8BeA8CeH8CeG8CeC8Jem6IvhFtgB0cBxdBTfBKr?BfsB,v115@EhC8BeA8CeH8CeG8CeC8JeK/IvhFzaBtgBxdB3hB0m?B2wB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFzbBthBxdB3fBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBthBxdBfmBzr?BarB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBmr?BTrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFzbBthB3fBxiBUm?BywB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFthBxdB3fBzgBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBzbBxdBarBfs?BtrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFtgB0cB3fBxiBTm?BywB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBtgBxdB3hBTm?BywB
ILJSZOT,X,X,O,O,X,O,X,X,X,X,O
ILJSOTZ,O,O,O,O,X,O,X,O,X,O,X
ILJSOZT,X,X,O,O,X,O,X,X,X,X,X
ILJZTSO,O,X,O,O,X,O,O,X,X,O,O
ILJZTOS,X,X,O,O,X,X,O,X,X,O,O
ILJZSTO,X,X,O,O,X,X,O,X,X,X,O
ILJZSOT,X,X,O,O,X,X,X,X,X,X,O
ILJZOTS,X,X,O,X,X,X,O,X,X,O,O
ILJZOST,X,X,O,X,X,X,X,X,X,X,O
ILJOTSZ,X,X,O,X,X,O,X,X,X,O,X
ILJOTZS,X,X,O,X,X,O,O,X,X,O,X
ILJOSTZ,X,X,O,X,X,O,X,X,X,O,X
ILJOSZT,X,X,O,X,X,O,X,X,X,X,X
ILJOZTS,X,X,O,X,X,O,O,X,X,O,X
ILJOZST,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,O,X,O,O,O,X,O,O
ILSTJOZ,O,O,O,O,X,O,X,O,X,X,X
ILSTZJO,O,O,X,X,X,O,X,X,O,O,O
ILSTZOJ,O,O,O,X,X,O,X,O,X,X,O
ILSTOJZ,O,O,O,X,X,X,X,O,X,X,X
ILSTOZJ,O,O,O,X,X,O,X,O,X,X,O
ILSJTZO,O,O,O,O,X,O,O,O,X,O,O
ILSJTOZ,O,O,O,O,X,O,X,O,X,X,X
ILSJZTO,O,O,O,O,X,O,O,O,O,X,O
ILSJZOT,X,O,O,O,X,O,X,X,O,X,O
ILSJOTZ,O,O,O,O,X,O,X,O,X,O,X
ILSJOZT,O,O,O,O,X,O,X,X,X,X,X
ILSZTJO,O,O,X,X,X,O,O,X,O,O,O
ILSZTOJ,O,O,O,X,X,O,O,O,X,X,O
ILSZJTO,O,O,X,O,X,O,O,O,O,X,O
ILSZJOT,X,O,X,O,X,O,X,X,O,X,O
ILSZOTJ,O,O,O,X,X,X,X,X,X,X,O
ILSZOJT,O,O,X,X,X,X,X,X,O,X,O
ILSOTJZ,O,O,O,X,X,X,X,O,X,O,X
ILSOTZJ,O,O,O,X,X,O,X,O,X,O,O
ILSOJTZ,O,O,O,O,X,O,X,O,X,O,X
ILSOJZT,O,O,O,O,X,O,X,X,X,X,X
ILSOZTJ,O,O,O,X,X,X,X,X,X,O,O
ILSOZJT,O,O,X,X,X,X,X,X,O,X,O
ILZTJSO,X,X,X,X,X,X,O,X,X,O,O
ILZTJOS,X,X,X,X,X,X,O,X,X,O,O
ILZTSJO,O,X,X,X,X,O,O,X,X,O,O
ILZTSOJ,O,X,O,X,X,O,O,X,X,X,O
ILZTOJS,X,X,X,X,X,X,O,X,X,O,O
ILZTOSJ,X,X,O,X,X,X,O,X,X,X,O
ILZJTSO,X,X,O,X,X,X,O,X,X,O,O
ILZJTOS,X,X,O,X,X,X,O,X,X,O,O
ILZJSTO,X,X,O,X,X,X,O,X,O,X,O
ILZJSOT,X,X,O,X,X,X,X,X,O,X,O
ILZJOTS,X,X,O,X,O,X,O,X,X,O,O
ILZJOST,X,X,O,X,O,X,X,X,O,X,O
ILZSTJO,X,X,X,X,X,X,O,X,O,O,O
ILZSTOJ,X,X,O,X,X,X,O,X,X,X,O
ILZSJTO,X,X,X,X,X,X,O,X,O,X,O
ILZSJOT,X,X,X,X,X,X,X,X,O,X,O
ILZSOTJ,X,X,O,X,X,X,X,X,X,X,O
ILZSOJT,X,X,X,X,X,X,X,X,O,X,O
ILZOTJS,X,X,X,X,O,X,O,X,X,O,O
ILZOTSJ,X,X,O,X,O,X,O,X,X,O,O
ILZOJTS,X,X,O,X,O,X,O,X,X,O,O
ILZOJST,X,X,O,X,O,X,X,X,O,X,O
ILZOSTJ,X,X,O,X,O,X,X,X,X,O,O
ILZOSJT,X,X,X,X,O,X,X,X,O,X,O
ILOTJSZ,X,O,O,X,X,X,X,X,X,O,X
ILOTJZS,X,X,O,X,X,X,O,X,X,O,X
ILOTSJZ,O,O,O,X,X,X,X,X,X,O,X
ILOTSZJ,O,O,O,X,O,X,X,X,X,O,O
ILOTZJS,X,X,X,X,O,X,X,X,X,O,O
ILOTZSJ,O,X,O,X,O,X,X,X,X,O,O
ILOJTSZ,O,O,O,X,X,X,X,X,X,O,X
ILOJTZS,O,X,O,X,X,X,O,X,X,O,X
ILOJSTZ,O,O,O,X,X,X,X,X,X,O,X
ILOJSZT,O,O,O,X,X,X,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,O,X,X,O,X
ILOJZST,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,O,O,X,X,X,X,X,X,O,X
ILOSTZJ,O,O,O,X,O,X,X,X,X,O,O
ILOSJTZ,O,O,O,X,X,X,X,X,X,O,X
ILOSJZT,O,O,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,O,O,X,O,X,X,X,X,O,O
ILOSZJT,O,O,X,X,O,X,X,X,O,X,O
ILOZTJS,X,X,X,X,O,X,O,X,X,O,O
ILOZTSJ,O,X,O,X,O,X,O,X,X,O,O
ILOZJTS,X,X,O,X,O,X,O,X,X,O,O
ILOZJST,X,X,O,X,O,X,X,X,O,X,O
ILOZSTJ,X,X,O,X,O,X,X,X,X,O,O
ILOZSJT,X,X,X,X,O,X,X,X,O,X,O
IJTLSZO,O,X,O,O,X,O,O,O,X,O,X
IJTLSOZ,O,X,O,O,X,O,X,O,X,X,X
IJTLZSO,O,X,O,X,X,O,O,X,X,O,X
IJTLZOS,X,X,O,X,X,X,O,X,X,O,X
IJTLOSZ,X,X,O,X,X,X,X,O,X,O,X
IJTLOZS,X,X,O,X,X,X,O,X,X,O,X
IJTSLZO,O,O,O,O,X,O,O,O,X,X,X
IJTSLOZ,O,O,O,O,X,O,X,O,X,X,X
IJTSZLO,O,X,O,O,X,O,X,O,X,O,O
IJTSZOL,O,X,X,O,X,O,O,O,X,O,O
IJTSOLZ,O,X,O,O,X,O,X,O,X,X,X
IJTSOZL,O,X,X,O,X,O,X,O,X,X,X
IJTZLSO,O,X,O,O,X,O,O,X,X,O,O
IJTZLOS,X,X,O,O,X,X,O,X,X,X,X
IJTZSLO,O,X,O,O,X,O,X,O,X,O,O
IJTZSOL,O,X,X,O,X,O,O,O,X,O,O
IJTZOLS,X,X,X,O,X,X,O,X,X,X,X
IJTZOSL,O,X,X,O,X,O,O,O,X,O,O
IJTOLSZ,X,X,O,X,X,O,X,O,X,X,X
IJTOLZS,X,X,O,X,X,O,O,X,X,X,X
IJTOSLZ,O,X,O,O,X,O,X,O,X,X,X
IJTOSZL,O,X,X,O,X,O,X,O,X,X,X
IJTOZLS,X,X,X,X,X,O,O,X,X,X,X
IJTOZSL,O,X,X,X,X,O,O,O,X,O,X
IJLTSZO,O,O,O,O,X,O,O,O,X,O,O
IJLTSOZ,O,O,O,O,X,O,X,O,X,X,X
IJLTZSO,O,X,O,X,X,O,O,X,X,O,O
IJLTZOS,X,X,O,X,X,X,O,X,X,O,O
IJLTOSZ,X,X,O,X,X,X,X,O,X,O,X
IJLTOZS,X,X,O,X,X,X,O,X,X,O,X
IJLSTZO,O,O,O,O,X,O,O,O,X,O,O
IJLSTOZ,O,O,O,O,X,O,X,O,X,X,X
IJLSZTO,O,O,O,O,X,O,O,O,X,X,O
IJLSZOT,X,X,O,O,X,O,X,X,X,X,O
IJLSOTZ,O,O,O,O,X,O,X,O,X,O,X
IJLSOZT,X,X,O,O,X,O,X,X,X,X,X
IJLZTSO,O,X,O,O,X,O,O,X,X,O,O
IJLZTOS,X,X,O,O,X,X,O,X,X,O,O
IJLZSTO,X,X,O,O,X,X,O,X,X,X,O
IJLZSOT,X,X,O,O,X,X,X,X,X,X,O
IJLZOTS,X,X,O,X,X,X,O,X,X,O,O
IJLZOST,X,X,O,X,X,X,X,X,X,X,O
IJLOTSZ,X,X,O,X,X,O,X,X,X,O,X
IJLOTZS,X,X,O,X,X,O,O,X,X,O,X
IJLOSTZ,X,X,O,X,X,O,X,X,X,O,X
IJLOSZT,X,X,O,X,X,O,X,X,X,X,X
IJLOZTS,X,X,O,X,X,O,O,X,X,O,X
IJLOZST,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,O,O,X,O,O,O,X,X,X
IJSTLOZ,O,O,O,O,X,O,X,O,X,X,X
IJSTZLO,O,X,O,O,X,O,X,O,X,O,O
IJSTZOL,O,X,X,O,X,O,O,O,X,O,O
IJSTOLZ,O,X,O,O,X,O,X,O,X,X,X
IJSTOZL,O,X,X,O,X,O,X,O,X,X,X
IJSLTZO,O,O,O,O,X,O,O,O,X,O,X
IJSLTOZ,O,O,O,O,X,O,X,O,X,X,X
IJSLZTO,O,O,O,O,X,O,O,O,O,X,X
IJSLZOT,X,O,O,O,X,O,X,X,O,X,X
IJSLOTZ,O,O,O,O,X,O,X,O,X,O,X
IJSLOZT,O,O,O,O,X,O,X,X,X,X,X
IJSZTLO,O,X,O,O,X,O,X,O,O,X,O
IJSZTOL,O,X,X,O,X,O,O,O,X,X,O
IJSZLTO,O,O,O,O,X,O,X,O,O,X,O
IJSZLOT,X,X,O,O,X,O,X,X,O,X,X
IJSZOTL,X,X,X,O,X,O,X,X,X,X,O
IJSZOLT,X,X,X,O,X,O,X,X,O,X,X
IJSOTLZ,O,O,O,O,X,O,X,O,X,X,X
IJSOTZL,O,X,X,O,X,O,X,O,X,X,X
IJSOLTZ,O,O,O,O,X,O,X,O,X,X,X
IJSOLZT,O,O,O,O,X,O,X,X,X,X,X
IJSOZTL,O,X,X,O,X,O,X,X,X,X,X
IJSOZLT,O,O,X,O,X,O,X,X,X,X,X
IJZTLSO,O,X,O,O,X,O,O,X,X,O,O
IJZTLOS,X,X,O,O,X,X,O,X,X,X,O
IJZTSLO,O,X,O,O,X,O,X,O,O,O,O
IJZTSOL,O,X,X,O,X,O,O,O,X,O,O
IJZTOLS,X,X,X,O,O,X,O,X,X,X,X
IJZTOSL,O,X,X,O,O,O,O,O,X,O,O
IJZLTSO,O,X,O,O,X,O,O,X,X,O,O
IJZLTOS,X,X,O,O,X,X,O,X,X,O,O
IJZLSTO,X,X,O,O,X,X,O,X,O,X,O
IJZLSOT,X,X,O,O,X,X,X,X,O,X,O
IJZLOTS,X,X,O,X,O,X,O,X,X,O,O
IJZLOST,X,X,O,X,O,X,X,X,X,X,O
IJZSTLO,O,X,O,O,X,O,X,O,O,X,O
IJZSTOL,O,X,X,O,X,O,O,O,X,X,O
IJZSLTO,O,O,O,O,X,O,X,O,O,X,O
IJZSLOT,X,X,O,O,X,O,X,X,O,X,O
IJZSOTL,X,X,X,O,O,O,X,X,X,X,O
IJZSOLT,X,X,X,O,O,O,X,X,O,X,X
IJZOTLS,X,X,X,O,O,O,O,X,X,X,X
IJZOTSL,O,X,X,O,O,O,O,X,X,X,O
IJZOLTS,X,X,X,X,O,O,X,X,X,X,O
IJZOLST,X,X,X,X,O,X,X,X,X,X,O
IJZOSTL,X,X,X,O,O,O,X,X,X,X,O
IJZOSLT,X,X,X,O,O,O,X,X,O,X,X
IJOTLSZ,O,X,O,X,X,O,X,O,X,X,X
IJOTLZS,O,X,O,X,X,O,O,X,X,X,X
IJOTSLZ,O,O,O,O,X,O,X,O,X,X,X
IJOTSZL,O,X,X,O,O,O,X,O,X,X,X
IJOTZLS,O,X,X,X,O,O,O,X,X,X,X
IJOTZSL,O,X,X,X,O,O,O,O,X,O,X
IJOLTSZ,O,X,O,X,X,O,X,X,X,O,X
IJOLTZS,O,X,O,X,X,O,O,X,X,O,X
IJOLSTZ,O,O,O,X,X,O,X,X,X,O,X
IJOLSZT,O,O,O,X,X,O,X,X,X,X,X
IJOLZTS,O,X,O,X,X,O,O,X,X,O,X
IJOLZST,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,O,O,O,O,X,O,X,O,X,X,X
IJOSTZL,O,X,X,O,O,O,X,O,X,X,X
IJOSLTZ,O,O,O,O,X,O,X,O,X,X,X
IJOSLZT,O,O,O,O,X,O,X,X,X,X,X
IJOSZTL,O,X,X,O,O,O,X,X,X,X,X
IJOSZLT,O,O,X,O,O,O,X,X,X,X,X
IJOZTLS,O,X,X,O,O,O,O,X,X,X,X
IJOZTSL,O,X,X,O,O,O,O,X,X,X,X
IJOZLTS,O,X,X,X,O,O,X,X,X,X,X
IJOZLST,X,X,X,X,O,X,X,X,X,X,X
IJOZSTL,O,X,X,O,O,O,X,X,X,X,X
IJOZSLT,O,O,X,O,O,O,X,X,X,X,X
ISTLJZO,O,O,X,O,X,O,O,O,X,X,X
ISTLJOZ,O,O,O,O,X,O,X,O,X,X,X
ISTLZJO,O,O,X,X,X,O,X,X,O,X,O
ISTLZOJ,O,O,O,X,X,O,X,O,X,X,X
ISTLOJZ,O,O,O,X,X,X,X,O,X,X,X
ISTLOZJ,O,O,O,X,X,O,X,O,X,X,X
ISTJLZO,O,O,X,O,X,O,O,O,X,X,X
ISTJLOZ,O,O,O,O,X,O,X,O,X,X,X
ISTJZLO,O,X,X,O,X,O,X,O,X,O,O
ISTJZOL,O,X,X,O,X,O,O,O,X,O,O
ISTJOLZ,O,X,X,O,X,O,X,O,X,X,X
ISTJOZL,O,X,X,O,X,O,X,O,X,X,X
ISTZLJO,O,X,X,X,X,O,X,X,O,X,O
ISTZLOJ,O,X,O,X,X,O,X,O,X,X,X
ISTZJLO,O,X,X,X,X,O,X,X,O,O,O
ISTZJOL,X,X,X,X,X,X,X,X,X,O,O
ISTZOLJ,O,X,X,X,X,O,X,O,X,X,X
ISTZOJL,X,X,X,X,X,X,X,X,X,X,O
ISTOLJZ,O,O,O,X,X,X,X,O,X,X,X
ISTOLZJ,O,O,O,X,X,O,X,O,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,O,X,X,X
ISTOJZL,O,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,X,X,X,O,X,O,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X,X,X,O
ISLTJZO,O,O,X,O,X,O,O,O,X,O,O
ISLTJOZ,O,O,O,O,X,O,X,O,X,X,X
ISLTZJO,O,O,X,X,X,O,X,X,O,O,O
ISLTZOJ,O,O,O,X,X,O,X,O,X,X,O
ISLTOJZ,O,O,O,X,X,X,X,O,X,X,X
ISLTOZJ,O,O,O,X,X,O,X,O,X,X,O
ISLJTZO,O,O,O,O,X,O,O,O,X,O,O
ISLJTOZ,O,O,O,O,X,O,X,O,X,X,X
ISLJZTO,O,O,O,O,X,O,O,O,O,X,O
ISLJZOT,X,O,O,O,X,O,X,X,O,X,O
ISLJOTZ,O,O,O,O,X,O,X,O,X,O,X
ISLJOZT,O,O,O,O,X,O,X,X,X,X,X
ISLZTJO,O,O,X,X,X,O,O,X,O,O,O
ISLZTOJ,O,O,O,X,X,O,O,O,X,X,O
ISLZJTO,O,O,X,O,X,O,O,O,O,X,O
ISLZJOT,X,O,X,O,X,O,X,X,O,X,O
ISLZOTJ,O,O,O,X,X,X,X,X,X,X,O
ISLZOJT,O,O,X,X,X,X,X,X,O,X,O
ISLOTJZ,O,O,O,X,X,X,X,O,X,O,X
ISLOTZJ,O,O,O,X,X,O,X,O,X,O,O
ISLOJTZ,O,O,O,O,X,O,X,O,X,O,X
ISLOJZT,O,O,O,O,X,O,X,X,X,X,X
ISLOZTJ,O,O,O,X,X,X,X,X,X,O,O
ISLOZJT,O,O,X,X,X,X,X,X,O,X,O
ISJTLZO,O,O,O,O,X,O,O,O,X,X,X
ISJTLOZ,O,O,O,O,X,O,X,O,X,X,X
ISJTZLO,O,X,O,O,X,O,X,O,X,O,O
ISJTZOL,O,X,X,O,X,O,O,O,X,O,O
ISJTOLZ,O,X,O,O,X,O,X,O,X,X,X
ISJTOZL,O,X,X,O,X,O,X,O,X,X,X
ISJLTZO,O,O,O,O,X,O,O,O,X,O,X
ISJLTOZ,O,O,O,O,X,O,X,O,X,X,X
ISJLZTO,O,O,O,O,X,O,O,O,O,X,X
ISJLZOT,X,O,O,O,X,O,X,X,O,X,X
ISJLOTZ,O,O,O,O,X,O,X,O,X,O,X
ISJLOZT,O,O,O,O,X,O,X,X,X,X,X
ISJZTLO,O,X,O,O,X,O,X,O,O,X,O
ISJZTOL,O,X,X,O,X,O,O,O,X,X,O
ISJZLTO,O,O,O,O,X,O,X,O,O,X,O
ISJZLOT,X,X,O,O,X,O,X,X,O,X,X
ISJZOTL,X,X,X,O,X,O,X,X,X,X,O
ISJZOLT,X,X,X,O,X,O,X,X,O,X,X
ISJOTLZ,O,O,O,O,X,O,X,O,X,X,X
ISJOTZL,O,X,X,O,X,O,X,O,X,X,X
ISJOLTZ,O,O,O,O,X,O,X,O,X,X,X
ISJOLZT,O,O,O,O,X,O,X,X,X,X,X
ISJOZTL,O,X,X,O,X,O,X,X,X,X,X
ISJOZLT,O,O,X,O,X,O,X,X,X,X,X
ISZTLJO,O,X,X,X,X,O,X,X,O,X,O
ISZTLOJ,O,X,O,X,X,O,X,O,X,X,X
ISZTJLO,O,X,X,X,X,O,X,X,O,O,O
ISZTJOL,X,X,X,X,X,X,O,X,X,O,O
ISZTOLJ,O,X,X,X,X,O,X,O,X,X,X
ISZTOJL,X,X,X,X,X,X,O,X,X,X,O
ISZLTJO,O,O,X,X,X,O,X,X,O,X,O
ISZLTOJ,O,O,O,X,X,O,X,O,X,X,O
ISZLJTO,O,O,X,O,X,O,X,O,O,X,O
ISZLJOT,X,O,X,O,X,O,X,X,O,X,O
ISZLOTJ,O,O,O,X,X,X,X,X,X,X,O
ISZLOJT,O,O,X,X,X,X,X,X,O,X,O
ISZJTLO,O,X,X,O,X,O,X,O,O,X,O
ISZJTOL,O,X,X,O,X,O,O,O,X,X,O
ISZJLTO,O,O,X,O,X,O,X,O,O,X,O
ISZJLOT,X,X,X,O,X,O,X,X,O,X,O
ISZJOTL,X,X,X,O,O,O,X,X,X,X,O
ISZJOLT,X,X,X,O,O,O,X,X,O,X,X
ISZOTLJ,O,X,X,X,O,X,X,X,X,X,X
ISZOTJL,O,X,X,X,O,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,O,X,X,X,X,X,X
ISZOLJT,O,O,X,X,O,X,X,X,O,X,X
ISZOJTL,O,X,X,X,O,X,X,X,X,X,O
ISZOJLT,O,O,X,X,O,X,X,X,O,X,X
ISOTLJZ,O,O,O,X,X,X,X,O,X,X,X
ISOTLZJ,O,O,O,X,O,O,X,O,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,O,X,X,X
ISOTJZL,O,X,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,O,O,X,O,X,X,X
ISOTZJL,O,X,X,X,O,X,X,X,X,X,O
ISOLTJZ,O,O,O,X,X,X,X,O,X,X,X
ISOLTZJ,O,O,O,X,O,O,X,O,X,X,X
ISOLJTZ,O,O,O,O,X,O,X,O,X,X,X
ISOLJZT,O,O,X,O,X,O,X,X,X,X,X
ISOLZTJ,O,O,O,X,O,X,X,X,X,X,X
ISOLZJT,O,O,X,X,O,X,X,X,O,X,X
ISOJTLZ,O,O,X,O,X,O,X,O,X,X,X
ISOJTZL,O,X,X,O,O,O,X,O,X,X,X
ISOJLTZ,O,O,X,O,X,O,X,O,X,X,X
ISOJLZT,O,O,X,O,X,O,X,X,X,X,X
ISOJZTL,O,X,X,O,O,O,X,X,X,X,X
ISOJZLT,O,O,X,O,O,O,X,X,X,X,X
ISOZTLJ,O,X,X,X,O,X,X,X,X,X,X
ISOZTJL,O,X,X,X,O,X,X,X,X,X,O
ISOZLTJ,O,O,X,X,O,X,X,X,X,X,X
ISOZLJT,O,O,X,X,O,X,X,X,O,X,X
ISOZJTL,O,X,X,X,O,X,X,X,X,X,O
ISOZJLT,O,O,X,X,O,X,X,X,O,X,X
IZTLJSO,X,X,X,X,X,X,O,X,X,O,O
IZTLJOS,X,X,X,X,X,X,O,X,X,X,O
IZTLSJO,O,X,X,X,X,O,X,X,X,X,O
IZTLSOJ,O,X,O,X,X,O,X,X,X,X,O
IZTLOJS,X,X,X,X,X,X,O,X,X,X,O
IZTLOSJ,X,X,O,X,X,X,X,X,X,X,O
IZTJLSO,X,X,X,X,X,X,O,X,X,O,O
IZTJLOS,X,X,X,X,X,X,O,X,X,X,O
IZTJSLO,O,X,X,X,X,O,X,X,O,O,O
IZTJSOL,X,X,X,X,X,X,O,X,X,O,O
IZTJOLS,X,X,X,X,O,X,O,X,X,X,X
IZTJOSL,X,X,X,X,O,X,O,X,X,O,O
IZTSLJO,O,X,X,X,X,O,X,X,O,X,O
IZTSLOJ,O,X,O,X,X,O,X,O,X,X,X
IZTSJLO,O,X,X,X,X,O,X,X,O,O,O
IZTSJOL,X,X,X,X,X,X,O,X,X,O,O
IZTSOLJ,O,X,X,X,X,O,X,O,X,X,X
IZTSOJL,X,X,X,X,X,X,O,X,X,X,O
IZTOLJS,X,X,X,X,O,X,O,X,X,X,X
IZTOLSJ,X,X,X,X,O,X,X,X,X,X,X
IZTOJLS,X,X,X,X,O,X,O,X,X,X,X
IZTOJSL,X,X,X,X,O,X,O,X,X,O,O
IZTOSLJ,O,X,X,X,O,O,X,O,X,X,X
IZTOSJL,X,X,X,X,O,X,O,X,X,X,O
IZLTJSO,X,X,X,X,X,X,O,X,X,O,O
IZLTJOS,X,X,X,X,X,X,O,X,X,O,O
IZLTSJO,O,X,X,X,X,O,O,X,X,O,O
IZLTSOJ,O,X,O,X,X,O,O,X,X,X,O
IZLTOJS,X,X,X,X,X,X,O,X,X,O,O
IZLTOSJ,X,X,O,X,X,X,O,X,X,X,O
IZLJTSO,X,X,O,X,X,X,O,X,X,O,O
IZLJTOS,X,X,O,X,X,X,O,X,X,O,O
IZLJSTO,X,X,O,X,X,X,O,X,O,X,O
IZLJSOT,X,X,O,X,X,X,X,X,O,X,O
IZLJOTS,X,X,O,X,O,X,O,X,X,O,O
IZLJOST,X,X,O,X,O,X,X,X,O,X,O
IZLSTJO,X,X,X,X,X,X,O,X,O,O,O
IZLSTOJ,X,X,O,X,X,X,O,X,X,X,O
IZLSJTO,X,X,X,X,X,X,O,X,O,X,O
IZLSJOT,X,X,X,X,X,X,X,X,O,X,O
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,O
IZLSOJT,X,X,X,X,X,X,X,X,O,X,O
IZLOTJS,X,X,X,X,O,X,O,X,X,O,O
IZLOTSJ,X,X,O,X,O,X,O,X,X,O,O
IZLOJTS,X,X,O,X,O,X,O,X,X,O,O
IZLOJST,X,X,O,X,O,X,X,X,O,X,O
IZLOSTJ,X,X,O,X,O,X,X,X,X,O,O
IZLOSJT,X,X,X,X,O,X,X,X,O,X,O
IZJTLSO,O,X,O,O,X,O,O,X,X,O,O
IZJTLOS,X,X,O,O,X,X,O,X,X,X,O
IZJTSLO,O,X,O,O,X,O,X,O,O,O,O
IZJTSOL,O,X,X,O,X,O,O,O,X,O,O
IZJTOLS,X,X,X,O,O,X,O,X,X,X,X
IZJTOSL,O,X,X,O,O,O,O,O,X,O,O
IZJLTSO,O,X,O,O,X,O,O,X,X,O,O
IZJLTOS,X,X,O,O,X,X,O,X,X,O,O
IZJLSTO,X,X,O,O,X,X,O,X,O,X,O
IZJLSOT,X,X,O,O,X,X,X,X,O,X,O
IZJLOTS,X,X,O,X,O,X,O,X,X,O,O
IZJLOST,X,X,O,X,O,X,X,X,O,X,O
IZJSTLO,O,X,O,O,X,O,X,O,O,X,O
IZJSTOL,O,X,X,O,X,O,O,O,X,X,O
IZJSLTO,O,O,O,O,X,O,X,O,O,X,O
IZJSLOT,X,X,O,O,X,O,X,X,O,X,O
IZJSOTL,X,X,X,O,O,O,X,X,X,X,O
IZJSOLT,X,X,X,O,O,O,X,X,O,X,X
IZJOTLS,X,X,X,O,O,O,O,X,X,X,X
IZJOTSL,O,X,X,O,O,O,O,X,X,X,O
IZJOLTS,X,X,X,X,O,O,X,X,X,X,O
IZJOLST,X,X,X,X,O,X,X,X,X,X,O
IZJOSTL,X,X,X,O,O,O,X,X,X,X,O
IZJOSLT,X,X,X,O,O,O,X,X,O,X,X
IZSTLJO,O,X,X,X,X,O,X,X,O,X,O
IZSTLOJ,O,X,O,X,X,O,X,O,X,X,X
IZSTJLO,O,X,X,X,X,O,X,X,O,O,O
IZSTJOL,X,X,X,X,X,X,O,X,X,O,O
IZSTOLJ,O,X,X,X,X,O,X,O,X,X,X
IZSTOJL,X,X,X,X,X,X,O,X,X,X,O
IZSLTJO,O,O,X,X,X,O,X,X,O,X,O
IZSLTOJ,O,O,O,X,X,O,X,O,X,X,O
IZSLJTO,O,O,X,O,X,O,X,O,O,X,O
IZSLJOT,X,O,X,O,X,O,X,X,O,X,O
IZSLOTJ,O,O,O,X,X,X,X,X,X,X,O
IZSLOJT,O,O,X,X,X,X,X,X,O,X,O
IZSJTLO,O,X,X,O,X,O,X,O,O,X,O
IZSJTOL,O,X,X,O,X,O,O,O,X,X,O
IZSJLTO,O,O,X,O,X,O,X,O,O,X,O
IZSJLOT,X,X,X,O,X,O,X,X,O,X,O
IZSJOTL,X,X,X,O,O,O,X,X,X,X,O
IZSJOLT,X,X,X,O,O,O,X,X,O,X,X
IZSOTLJ,O,X,X,X,O,X,X,X,X,X,X
IZSOTJL,O,X,X,X,O,X,X,X,X,X,O
IZSOLTJ,O,O,X,X,O,X,X,X,X,X,X
IZSOLJT,O,O,X,X,O,X,X,X,O,X,X
IZSOJTL,O,X,X,X,O,X,X,X,X,X,O
IZSOJLT,O,O,X,X,O,X,X,X,O,X,X
IZOTLJS,X,X,X,X,O,X,O,X,X,X,X
IZOTLSJ,O,X,X,X,O,X,X,X,X,X,X
IZOTJLS,X,X,X,X,O,X,O,X,X,X,X
IZOTJSL,O,X,X,X,O,X,O,X,X,O,O
IZOTSLJ,O,X,X,X,O,O,X,X,X,X,X
IZOTSJL,O,X,X,X,O,X,O,X,X,X,O
IZOLTJS,X,X,X,X,O,X,X,X,X,X,O
IZOLTSJ,O,X,X,X,O,X,X,X,X,X,O
IZOLJTS,X,X,X,X,O,X,X,X,X,X,O
IZOLJST,X,X,X,X,O,X,X,X,X,X,O
IZOLSTJ,X,X,X,X,O,X,X,X,X,X,O
IZOLSJT,X,X,X,X,O,X,X,X,X,X,O
IZOJTLS,O,X,X,X,O,X,O,X,X,X,X
IZOJTSL,O,X,X,X,O,X,O,X,X,X,O
IZOJLTS,O,X,X,X,O,X,X,X,X,X,O
IZOJLST,X,X,X,X,O,X,X,X,X,X,O
IZOJSTL,O,X,X,X,O,X,X,X,X,X,O
IZOJSLT,O,O,X,X,O,X,X,X,O,X,X
IZOSTLJ,O,X,X,X,O,X,X,X,X,X,X
IZOSTJL,O,X,X,X,O,X,X,X,X,X,O
IZOSLTJ,O,O,X,X,O,X,X,X,X,X,X
