sequence,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhF6gBxcBzfB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFzaB+gBxcB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8Je06IvhFxbBXdB2kBzgBCn?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBCgB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFWgBxcB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBflBlgBUiBTm?B6qB,v115@7gB8GeC8HeD8DeG8AeF8Jem6IvhFFcBXdBTfBclBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhF/gBUcBFdBmkBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhFxbBXdBlgBmkB8q?BCsB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFXbBRhB6mBTiBFl?B8qB
ILOTZJS,X,X,X,X,X,X,O,X,X,X
ILOTZSJ,X,X,X,X,X,X,O,O,X,X
ILOJTSZ,O,X,X,X,X,X,X,O,X,X
ILOJTZS,X,X,X,X,X,X,X,O,X,X
ILOJSTZ,O,X,X,X,X,X,X,O,X,X
ILOJSZT,O,X,X,X,X,X,O,O,X,X
ILOJZTS,X,X,X,X,X,X,O,O,X,X
ILOJZST,O,X,X,X,X,X,O,O,X,X
ILOSTJZ,X,O,X,X,X,X,X,O,X,X
ILOSTZJ,X,X,X,X,X,X,O,O,X,X
ILOSJTZ,O,X,X,X,X,X,X,O,X,X
ILOSJZT,O,X,X,X,X,X,O,O,X,X
ILOSZTJ,X,X,X,X,X,X,O,O,X,X
ILOSZJT,X,X,X,X,X,X,O,O,X,X
ILOZTJS,X,X,X,X,X,X,O,X,X,X
ILOZTSJ,X,X,X,X,X,X,O,O,X,X
ILOZJTS,X,X,X,X,X,X,O,X,X,X
ILOZJST,O,X,X,X,X,X,O,X,X,X
ILOZSTJ,X,O,X,X,O,X,O,O,X,X
ILOZSJT,X,X,X,X,O,X,O,O,X,X
IJTLSZO,O,O,X,O,X,X,O,O,X,X
IJTLSOZ,O,O,X,X,X,X,X,O,X,X
IJTLZSO,O,X,X,X,X,X,O,O,X,X
IJTLZOS,O,O,X,X,X,X,O,O,X,X
IJTLOSZ,O,O,X,X,X,X,X,O,X,X
IJTLOZS,O,O,X,X,X,X,X,O,X,X
IJTSLZO,O,O,O,O,X,X,O,O,X,X
IJTSLOZ,O,O,X,X,X,X,X,O,X,X
IJTSZLO,O,O,O,O,X,X,O,O,X,X
IJTSZOL,O,X,O,O,X,X,O,O,X,X
IJTSOLZ,O,O,O,X,X,X,X,O,X,X
IJTSOZL,O,X,O,X,X,X,X,O,X,X
IJTZLSO,O,X,O,X,X,X,O,O,X,X
IJTZLOS,O,O,X,X,X,X,X,O,X,X
IJTZSLO,O,X,O,O,X,X,O,O,X,X
IJTZSOL,O,X,O,O,X,X,O,O,X,X
IJTZOLS,O,X,O,X,X,X,O,O,X,X
IJTZOSL,X,X,O,X,X,O,O,O,X,X
IJTOLSZ,O,O,O,X,X,X,X,O,X,X
IJTOLZS,O,O,O,X,X,X,X,O,X,X
IJTOSLZ,O,X,O,X,X,X,X,O,X,X
IJTOSZL,O,X,O,X,X,X,X,O,X,X
IJTOZLS,O,X,O,X,X,X,X,O,X,X
IJTOZSL,X,X,O,X,X,X,X,O,X,X
IJLTSZO,O,O,O,O,X,X,O,O,X,X
IJLTSOZ,O,O,O,X,X,X,X,O,X,X
IJLTZSO,O,X,O,X,X,X,O,O,X,X
IJLTZOS,O,O,O,X,X,X,O,O,X,X
IJLTOSZ,O,O,O,X,X,X,X,O,X,X
IJLTOZS,O,O,O,X,X,X,X,O,X,X
IJLSTZO,O,O,O,X,X,X,O,O,X,X
IJLSTOZ,O,O,O,X,X,X,X,O,O,X
IJLSZTO,X,X,O,O,X,X,O,O,O,X
IJLSZOT,X,X,O,O,X,X,O,O,O,X
IJLSOTZ,O,X,X,X,X,X,X,O,O,X
IJLSOZT,O,X,O,X,X,X,O,O,O,X
IJLZTSO,X,X,O,X,X,X,O,O,O,X
IJLZTOS,X,X,O,X,X,X,O,O,O,X
IJLZSTO,O,O,O,O,O,X,O,O,O,X
IJLZSOT,O,X,O,O,O,X,O,O,O,X
IJLZOTS,X,X,X,X,X,X,O,O,O,X
IJLZOST,X,X,O,X,X,O,O,O,O,X
IJLOTSZ,O,X,X,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,X,X,X,O,X,X
IJLOSTZ,O,X,X,X,X,X,X,O,O,X
IJLOSZT,O,X,X,X,X,X,O,O,O,X
IJLOZTS,X,X,X,X,X,X,O,O,O,X
IJLOZST,O,X,X,X,X,X,O,O,O,X
IJSTLZO,O,O,O,O,X,X,O,O,X,X
IJSTLOZ,O,O,X,X,X,X,X,O,X,X
IJSTZLO,O,O,O,O,X,X,O,O,X,X
IJSTZOL,O,X,O,O,X,O,O,O,X,X
IJSTOLZ,O,O,O,X,X,X,X,O,O,X
IJSTOZL,O,X,O,X,X,X,X,O,O,X
IJSLTZO,O,O,O,X,X,X,O,O,X,X
IJSLTOZ,O,O,O,X,X,X,X,O,O,X
IJSLZTO,X,X,O,O,X,X,O,O,O,X
IJSLZOT,X,X,O,O,X,X,O,O,O,X
IJSLOTZ,O,X,X,X,X,X,X,O,O,X
IJSLOZT,O,X,O,X,X,X,O,O,O,X
IJSZTLO,O,X,O,O,X,X,O,O,O,X
IJSZTOL,O,X,O,O,X,O,O,O,O,X
IJSZLTO,O,X,O,O,X,X,O,O,X,X
IJSZLOT,O,X,O,O,X,X,X,O,O,X
IJSZOTL,O,X,O,O,X,O,O,O,O,X
IJSZOLT,O,X,O,O,X,O,O,O,O,X
IJSOTLZ,O,X,X,X,X,X,X,O,O,X
IJSOTZL,O,X,X,X,X,O,O,O,O,X
IJSOLTZ,O,X,X,X,X,X,X,O,O,X
IJSOLZT,O,X,X,X,X,X,O,O,O,X
IJSOZTL,O,X,O,X,X,O,O,O,O,X
IJSOZLT,O,X,O,X,X,O,O,O,O,X
IJZTLSO,O,X,O,X,X,X,O,O,O,O
IJZTLOS,O,X,X,X,X,X,X,O,O,X
IJZTSLO,O,X,O,O,X,X,O,O,O,O
IJZTSOL,O,X,O,O,X,X,O,O,O,O
IJZTOLS,O,X,O,X,X,X,O,O,O,X
IJZTOSL,X,X,O,X,X,O,O,O,O,O
IJZLTSO,X,X,O,X,X,X,O,O,O,X
IJZLTOS,X,X,O,X,X,X,X,O,O,X
IJZLSTO,O,O,O,O,O,X,O,O,O,O
IJZLSOT,O,X,O,O,O,X,X,O,O,O
IJZLOTS,X,X,X,X,X,X,X,O,O,X
IJZLOST,X,X,O,X,X,O,X,O,O,X
IJZSTLO,O,O,O,O,O,X,O,O,O,O
IJZSTOL,O,O,O,O,X,O,O,O,O,O
IJZSLTO,O,O,O,O,O,X,O,O,X,O
IJZSLOT,O,X,O,O,O,X,X,O,O,O
IJZSOTL,O,X,O,O,X,O,O,O,O,O
IJZSOLT,O,X,O,O,X,O,O,O,O,O
IJZOTLS,X,X,X,X,X,X,O,O,O,X
IJZOTSL,X,X,X,X,X,O,O,O,O,X
IJZOLTS,X,X,X,X,X,X,O,O,O,X
IJZOLST,O,X,O,X,X,O,O,O,O,X
IJZOSTL,O,X,O,O,X,O,O,O,O,O
IJZOSLT,O,X,O,O,X,O,O,O,O,O
IJOTLSZ,O,X,X,X,X,X,X,O,X,X
IJOTLZS,O,X,X,X,X,X,X,O,X,X
IJOTSLZ,O,X,X,X,X,X,X,O,X,X
IJOTSZL,O,X,X,X,X,X,O,O,X,X
IJOTZLS,O,X,X,X,X,X,O,O,X,X
IJOTZSL,X,X,X,X,X,X,O,O,X,X
IJOLTSZ,O,X,X,X,X,X,X,O,X,X
IJOLTZS,X,X,X,X,X,X,X,O,X,X
IJOLSTZ,O,X,X,X,X,X,X,O,O,X
IJOLSZT,O,X,X,X,X,X,O,O,O,X
IJOLZTS,X,X,X,X,X,X,O,O,O,X
IJOLZST,O,X,X,X,X,X,O,O,O,X
IJOSTLZ,O,X,X,X,X,X,X,O,O,X
IJOSTZL,O,X,X,X,X,O,O,O,O,X
IJOSLTZ,O,X,X,X,X,X,X,O,O,X
IJOSLZT,O,X,X,X,X,X,O,O,O,X
IJOSZTL,O,X,X,X,X,O,O,O,O,X
IJOSZLT,O,X,X,X,X,O,O,O,O,X
IJOZTLS,X,X,X,X,X,X,O,O,O,X
IJOZTSL,X,X,X,X,X,O,O,O,O,X
IJOZLTS,X,X,X,X,X,X,O,O,O,X
IJOZLST,O,X,X,X,X,O,O,O,O,X
IJOZSTL,O,X,X,O,X,O,O,O,O,X
IJOZSLT,O,X,X,O,X,O,O,O,O,X
ISTLJZO,O,O,O,O,O,X,O,O,X,X
ISTLJOZ,O,O,O,X,X,X,X,O,O,X
ISTLZJO,O,O,O,O,O,X,O,O,O,X
ISTLZOJ,O,O,O,O,O,X,O,O,O,X
ISTLOJZ,O,O,O,X,X,X,X,O,X,X
ISTLOZJ,O,O,O,X,X,X,O,O,X,X
ISTJLZO,O,O,O,O,X,X,O,O,X,X
ISTJLOZ,O,O,X,X,X,X,X,O,X,X
ISTJZLO,O,O,O,O,X,X,O,O,X,X
ISTJZOL,O,O,O,O,X,O,O,O,X,X
ISTJOLZ,O,O,O,X,X,X,X,O,O,X
ISTJOZL,O,X,O,X,X,X,X,O,O,X
ISTZLJO,O,O,X,O,O,X,O,O,O,X
ISTZLOJ,O,O,X,O,O,X,O,O,X,X
ISTZJLO,O,O,O,O,O,X,O,X,O,X
ISTZJOL,O,O,O,O,X,O,O,X,O,X
ISTZOLJ,O,O,X,O,O,X,O,X,X,X
ISTZOJL,O,O,O,O,X,X,O,X,O,X
ISTOLJZ,O,O,O,X,X,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,X,O,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X,X,X
ISTOJZL,O,X,O,X,X,X,O,X,X,X
ISTOZLJ,O,X,X,X,X,X,O,X,X,X
ISTOZJL,O,X,O,X,X,X,O,X,X,X
ISLTJZO,O,O,O,X,O,X,O,O,X,X
ISLTJOZ,O,O,O,X,X,X,X,O,O,X
ISLTZJO,O,O,O,X,O,X,O,O,O,X
ISLTZOJ,O,O,O,X,O,X,O,O,O,X
ISLTOJZ,O,O,O,X,X,X,X,O,X,X
ISLTOZJ,O,O,O,X,X,X,O,O,X,X
ISLJTZO,O,O,O,X,X,X,O,O,X,X
ISLJTOZ,O,O,O,X,X,X,X,O,O,X
ISLJZTO,X,X,O,O,O,X,O,O,O,X
ISLJZOT,X,X,O,O,O,X,O,O,O,X
ISLJOTZ,O,X,X,X,X,X,X,O,O,X
ISLJOZT,O,X,O,X,X,X,O,O,O,X
ISLZTJO,X,O,O,O,O,X,O,O,O,X
ISLZTOJ,X,O,O,X,O,X,O,O,O,X
ISLZJTO,X,O,O,O,O,X,O,O,O,X
ISLZJOT,X,X,O,O,O,X,O,O,O,X
ISLZOTJ,X,O,X,X,O,X,O,O,O,X
ISLZOJT,X,X,X,O,O,X,O,O,O,X
ISLOTJZ,O,O,O,X,X,X,X,O,X,X
ISLOTZJ,X,X,O,X,X,X,O,O,X,X
ISLOJTZ,O,X,X,X,X,X,X,O,O,X
ISLOJZT,O,X,O,X,X,X,O,O,O,X
ISLOZTJ,X,X,X,X,X,X,O,O,O,X
ISLOZJT,O,X,X,X,X,X,O,O,O,X
ISJTLZO,O,O,O,O,X,X,O,O,X,X
ISJTLOZ,O,O,X,X,X,X,X,O,X,X
ISJTZLO,O,O,O,O,X,X,O,O,X,X
ISJTZOL,O,X,O,O,X,O,O,O,X,X
ISJTOLZ,O,O,O,X,X,X,X,O,O,X
ISJTOZL,O,X,O,X,X,X,X,O,O,X
ISJLTZO,O,O,O,X,X,X,O,O,X,X
ISJLTOZ,O,O,O,X,X,X,X,O,O,X
ISJLZTO,X,X,O,O,X,X,O,O,O,X
ISJLZOT,X,X,O,O,X,X,O,O,O,X
ISJLOTZ,O,X,X,X,X,X,X,O,O,X
ISJLOZT,O,X,O,X,X,X,O,O,O,X
ISJZTLO,O,X,O,O,X,X,O,O,O,X
ISJZTOL,O,X,O,O,X,O,O,O,O,X
ISJZLTO,O,X,O,O,X,X,O,O,X,X
ISJZLOT,O,X,O,O,X,X,X,O,O,X
ISJZOTL,O,X,O,O,X,O,O,O,O,X
ISJZOLT,O,X,O,O,X,O,O,O,O,X
ISJOTLZ,O,X,X,X,X,X,X,O,O,X
ISJOTZL,O,X,X,X,X,O,O,O,O,X
ISJOLTZ,O,X,X,X,X,X,X,O,O,X
ISJOLZT,O,X,X,X,X,X,O,O,O,X
ISJOZTL,O,X,O,X,X,O,O,O,O,X
ISJOZLT,O,X,O,X,X,O,O,O,O,X
ISZTLJO,O,O,X,O,O,X,O,O,O,X
ISZTLOJ,O,O,X,O,O,X,O,O,X,X
ISZTJLO,O,O,O,O,O,X,O,X,O,X
ISZTJOL,O,O,O,O,X,O,O,X,O,X
ISZTOLJ,O,O,X,O,O,X,O,X,X,X
ISZTOJL,O,O,O,O,X,X,O,X,O,X
ISZLTJO,O,O,O,O,O,X,O,O,O,X
ISZLTOJ,O,O,O,O,O,X,O,O,O,X
ISZLJTO,O,O,O,O,O,X,O,O,O,X
ISZLJOT,O,X,O,O,O,X,O,O,O,X
ISZLOTJ,O,O,X,X,O,X,O,O,O,X
ISZLOJT,O,X,X,O,O,X,O,O,O,X
ISZJTLO,O,O,O,O,O,X,O,X,O,X
ISZJTOL,O,O,O,O,X,O,O,X,O,X
ISZJLTO,O,O,O,O,O,X,O,X,X,X
ISZJLOT,O,X,O,O,O,X,O,X,O,X
ISZJOTL,O,X,O,O,X,O,O,X,O,X
ISZJOLT,O,X,O,O,X,O,O,X,O,X
ISZOTLJ,O,O,X,O,O,O,O,X,X,X
ISZOTJL,O,O,X,O,X,O,O,X,O,X
ISZOLTJ,O,O,X,X,O,O,O,X,X,X
ISZOLJT,O,X,X,O,O,O,O,X,X,X
ISZOJTL,O,X,X,O,X,O,O,X,O,X
ISZOJLT,O,X,X,O,X,O,O,X,O,X
ISOTLJZ,O,O,O,X,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,O,X,X,X
ISOTJLZ,O,O,O,X,X,X,X,X,X,X
ISOTJZL,O,X,O,X,X,O,O,X,X,X
ISOTZLJ,O,X,X,X,X,O,O,X,X,X
ISOTZJL,O,X,O,X,X,O,O,X,X,X
ISOLTJZ,O,O,O,X,X,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,O,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X,O,X
ISOLJZT,O,X,O,X,X,X,O,X,O,X
ISOLZTJ,O,X,X,X,X,X,O,X,O,X
ISOLZJT,O,X,X,X,X,X,O,X,O,X
ISOJTLZ,O,X,X,X,X,X,X,X,O,X
ISOJTZL,O,X,X,X,X,O,O,X,O,X
ISOJLTZ,O,X,X,X,X,X,X,X,O,X
ISOJLZT,O,X,X,X,X,X,O,X,O,X
ISOJZTL,O,X,O,X,X,O,O,X,O,X
ISOJZLT,O,X,O,X,X,O,O,X,O,X
ISOZTLJ,O,X,X,X,X,O,O,X,X,X
ISOZTJL,O,X,X,X,X,O,O,X,O,X
ISOZLTJ,O,X,X,X,X,O,O,X,X,X
ISOZLJT,O,X,X,X,X,O,O,X,X,X
ISOZJTL,O,X,X,X,X,O,O,X,O,X
ISOZJLT,O,X,X,X,X,O,O,X,O,X
IZTLJSO,O,X,X,X,X,X,O,O,O,O
IZTLJOS,O,O,X,X,X,X,O,O,O,X
IZTLSJO,X,O,X,X,O,X,O,O,O,O
IZTLSOJ,X,O,X,X,O,X,O,O,O,X
IZTLOJS,O,X,X,X,X,X,O,X,O,X
IZTLOSJ,X,X,X,X,X,X,O,O,O,X
IZTJLSO,O,X,X,X,X,X,O,O,O,O
IZTJLOS,O,O,X,X,X,X,X,O,O,X
IZTJSLO,O,X,X,O,X,X,O,O,O,O
IZTJSOL,O,X,X,O,X,X,O,O,O,O
IZTJOLS,O,X,X,X,X,X,O,O,O,X
IZTJOSL,X,X,X,X,X,O,O,O,O,O
IZTSLJO,O,O,X,O,O,X,O,O,O,O
IZTSLOJ,O,O,X,O,O,X,O,O,X,X
IZTSJLO,O,O,X,O,O,X,O,X,O,O
IZTSJOL,O,O,X,O,X,X,O,X,O,O
IZTSOLJ,O,O,X,O,O,X,O,X,X,X
IZTSOJL,O,O,X,O,X,X,O,X,O,O
IZTOLJS,O,X,X,X,X,X,O,X,X,X
IZTOLSJ,X,X,X,X,X,X,O,O,X,X
IZTOJLS,O,X,X,X,X,X,O,X,O,X
IZTOJSL,X,X,X,X,X,O,O,X,O,O
IZTOSLJ,X,X,X,X,X,O,O,X,X,X
IZTOSJL,X,X,X,X,X,O,O,X,O,O
IZLTJSO,X,X,X,X,X,X,O,O,O,O
IZLTJOS,X,O,X,X,X,X,O,O,O,X
IZLTSJO,X,O,X,X,O,X,O,O,O,O
IZLTSOJ,X,O,X,X,O,X,O,O,O,X
IZLTOJS,X,X,X,X,X,X,O,X,O,X
IZLTOSJ,X,X,X,X,X,X,O,O,O,X
IZLJTSO,X,X,X,X,X,X,O,O,O,X
IZLJTOS,X,X,X,X,X,X,O,O,O,X
IZLJSTO,O,O,X,O,O,X,O,O,O,O
IZLJSOT,O,X,X,O,O,X,O,O,O,O
IZLJOTS,X,X,X,X,X,X,O,O,O,X
IZLJOST,X,X,X,X,X,O,O,O,O,X
IZLSTJO,O,O,X,O,O,X,O,O,O,X
IZLSTOJ,O,O,X,O,O,X,O,O,O,X
IZLSJTO,O,O,X,O,O,X,O,O,O,O
IZLSJOT,O,X,X,O,O,X,O,O,O,O
IZLSOTJ,O,O,X,X,O,X,O,O,O,X
IZLSOJT,O,X,X,O,O,X,O,O,O,X
IZLOTJS,X,X,X,X,X,X,O,X,X,X
IZLOTSJ,X,X,X,X,X,X,O,O,X,X
IZLOJTS,X,X,X,X,X,X,O,X,X,X
IZLOJST,X,X,X,X,X,O,O,X,X,X
IZLOSTJ,X,O,X,X,O,O,O,O,X,X
IZLOSJT,X,X,X,X,O,O,O,O,X,X
IZJTLSO,O,X,X,X,X,X,O,O,O,O
IZJTLOS,O,X,X,X,X,X,X,O,O,X
IZJTSLO,O,X,X,O,X,X,O,O,O,O
IZJTSOL,O,X,X,O,X,X,O,O,O,O
IZJTOLS,O,X,X,X,X,X,O,O,O,X
IZJTOSL,X,X,X,X,X,O,O,O,O,O
IZJLTSO,X,X,X,X,X,X,O,O,O,X
IZJLTOS,X,X,X,X,X,X,X,O,O,X
IZJLSTO,O,O,X,O,O,X,O,O,O,O
IZJLSOT,O,X,X,O,O,X,X,O,O,O
IZJLOTS,X,X,X,X,X,X,X,O,O,X
IZJLOST,X,X,X,X,X,O,X,O,O,X
IZJSTLO,O,O,X,O,O,X,O,O,O,O
IZJSTOL,O,O,X,O,X,O,O,O,O,O
IZJSLTO,O,O,X,O,O,X,O,O,X,O
IZJSLOT,O,X,X,O,O,X,O,O,O,O
IZJSOTL,O,X,X,O,X,O,O,O,O,O
IZJSOLT,O,X,X,O,X,O,O,O,O,O
IZJOTLS,X,X,X,X,X,X,O,O,O,X
IZJOTSL,X,X,X,X,X,O,O,O,O,X
IZJOLTS,X,X,X,X,X,X,O,O,O,X
IZJOLST,O,X,X,X,X,O,O,O,O,X
IZJOSTL,O,X,X,O,X,O,O,O,O,O
IZJOSLT,O,X,X,O,X,O,O,O,O,O
IZSTLJO,O,O,X,O,O,X,O,O,O,O
IZSTLOJ,O,O,X,O,O,X,O,O,X,X
IZSTJLO,O,O,X,O,O,X,O,X,O,O
IZSTJOL,O,O,X,O,X,O,O,X,O,O
IZSTOLJ,O,O,X,O,O,X,O,X,X,X
IZSTOJL,O,O,X,O,X,X,O,X,O,O
IZSLTJO,O,O,X,O,O,X,O,O,O,X
IZSLTOJ,O,O,X,O,O,X,O,O,X,X
IZSLJTO,O,O,X,O,O,X,O,O,X,O
IZSLJOT,O,X,X,O,O,X,O,O,O,O
IZSLOTJ,O,O,X,X,O,X,O,O,X,X
IZSLOJT,O,X,X,O,O,X,O,O,X,X
IZSJTLO,O,O,X,O,O,X,O,X,O,O
IZSJTOL,O,O,X,O,X,O,O,X,O,O
IZSJLTO,O,O,X,O,O,X,O,X,X,O
IZSJLOT,O,X,X,O,O,X,O,X,O,O
IZSJOTL,O,X,X,O,X,O,O,X,O,O
IZSJOLT,O,X,X,O,X,O,O,X,O,O
IZSOTLJ,O,O,X,O,O,O,O,X,X,X
IZSOTJL,O,O,X,O,X,O,O,X,O,X
IZSOLTJ,O,O,X,X,O,O,O,X,X,X
IZSOLJT,O,X,X,O,O,O,O,X,X,X
IZSOJTL,O,X,X,O,X,O,O,X,O,O
IZSOJLT,O,X,X,O,X,O,O,X,O,O
IZOTLJS,X,X,X,X,X,X,O,X,X,X
IZOTLSJ,X,X,X,X,X,X,O,O,X,X
IZOTJLS,X,X,X,X,X,X,O,X,X,X
IZOTJSL,X,X,X,X,X,O,O,X,X,O
IZOTSLJ,X,X,X,X,X,O,O,X,X,X
IZOTSJL,X,X,X,X,X,O,O,X,X,O
IZOLTJS,X,X,X,X,X,X,O,X,X,X
IZOLTSJ,X,X,X,X,X,X,O,O,X,X
IZOLJTS,X,X,X,X,X,X,O,X,X,X
IZOLJST,O,X,X,X,X,O,O,X,X,X
IZOLSTJ,X,O,X,X,O,O,O,O,X,X
IZOLSJT,X,X,X,X,O,O,O,O,X,X
IZOJTLS,X,X,X,X,X,X,O,X,X,X
IZOJTSL,X,X,X,X,X,O,O,X,X,X
IZOJLTS,X,X,X,X,X,X,O,X,X,X
IZOJLST,O,X,X,X,X,O,O,X,X,X
IZOJSTL,O,X,X,O,X,O,O,X,X,O
IZOJSLT,O,X,X,O,X,O,O,X,X,O
IZOSTLJ,O,O,X,O,O,O,O,X,X,X
IZOSTJL,O,O,X,O,X,O,O,X,X,X
IZOSLTJ,O,O,X,X,O,O,O,X,X,X
IZOSLJT,O,X,X,O,O,O,O,X,X,X
IZOSJTL,O,X,X,O,X,O,O,X,X,O
IZOSJLT,O,X,X,O,X,O,O,X,X,O
IOTLJSZ,O,O,X,X,X,X,X,O,X,X
IOTLJZS,O,O,X,X,X,X,X,O,X,X
IOTLSJZ,O,O,X,X,X,X,X,O,X,X
IOTLSZJ,O,X,X,X,X,X,O,O,X,X
IOTLZJS,O,X,X,X,X,X,O,X,X,X
IOTLZSJ,X,X,X,X,X,X,O,O,X,X
IOTJLSZ,O,O,X,X,X,X,X,O,X,X
IOTJLZS,O,O,X,X,X,X,X,O,X,X
IOTJSLZ,O,X,X,X,X,X,X,O,X,X
IOTJSZL,O,X,X,X,X,X,O,O,X,X
IOTJZLS,O,X,X,X,X,X,O,O,X,X
IOTJZSL,X,X,X,X,X,X,O,O,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X,O,X,X,X
IOTSZLJ,O,X,X,X,X,X,O,X,X,X
IOTSZJL,O,X,X,X,X,X,O,X,X,X
IOTZLJS,O,X,X,X,X,X,O,X,X,X
IOTZLSJ,X,X,X,X,X,X,O,O,X,X
IOTZJLS,O,X,X,X,X,X,O,X,X,X
IOTZJSL,X,X,X,X,X,X,O,X,X,X
IOTZSLJ,X,X,X,X,X,X,O,X,X,X
IOTZSJL,X,X,X,X,X,X,O,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,O,X,X
IOLTJZS,X,O,X,X,X,X,X,O,X,X
IOLTSJZ,X,O,X,X,X,X,X,O,X,X
IOLTSZJ,X,X,X,X,X,X,O,O,X,X
IOLTZJS,X,X,X,X,X,X,O,X,X,X
IOLTZSJ,X,X,X,X,X,X,O,O,X,X
IOLJTSZ,O,X,X,X,X,X,X,O,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X,X
IOLJSTZ,O,X,X,X,X,X,X,O,X,X
IOLJSZT,O,X,X,X,X,X,O,O,X,X
IOLJZTS,X,X,X,X,X,X,O,O,X,X
IOLJZST,O,X,X,X,X,X,O,O,X,X
IOLSTJZ,O,O,X,X,X,X,X,O,X,X
IOLSTZJ,X,X,X,X,X,X,O,O,X,X
IOLSJTZ,O,X,X,X,X,X,X,O,X,X
IOLSJZT,O,X,X,X,X,X,O,O,X,X
IOLSZTJ,O,X,X,X,X,X,O,O,X,X
IOLSZJT,O,X,X,X,X,X,O,O,X,X
IOLZTJS,X,X,X,X,X,X,O,X,X,X
IOLZTSJ,X,X,X,X,X,X,O,O,X,X
IOLZJTS,X,X,X,X,X,X,O,X,X,X
IOLZJST,O,X,X,X,X,X,O,X,X,X
IOLZSTJ,X,O,X,X,O,X,O,O,X,X
IOLZSJT,X,X,X,X,O,X,O,O,X,X
IOJTLSZ,O,X,X,X,X,X,X,O,X,X
IOJTLZS,O,X,X,X,X,X,X,O,X,X
IOJTSLZ,O,X,X,X,X,X,X,O,X,X
IOJTSZL,O,X,X,X,X,X,O,O,X,X
IOJTZLS,O,X,X,X,X,X,O,O,X,X
IOJTZSL,X,X,X,X,X,X,O,O,X,X
IOJLTSZ,O,X,X,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X
IOJLSTZ,O,X,X,X,X,X,X,O,X,X
IOJLSZT,O,X,X,X,X,X,O,O,X,X
IOJLZTS,X,X,X,X,X,X,O,O,X,X
IOJLZST,O,X,X,X,X,X,O,O,X,X
IOJSTLZ,O,X,X,X,X,X,X,O,X,X
IOJSTZL,O,X,X,X,X,O,O,O,X,X
IOJSLTZ,O,X,X,X,X,X,X,O,X,X
IOJSLZT,O,X,X,X,X,X,O,O,X,X
IOJSZTL,O,X,X,X,X,O,O,O,X,X
IOJSZLT,O,X,X,X,X,O,O,O,X,X
IOJZTLS,X,X,X,X,X,X,O,O,X,X
IOJZTSL,X,X,X,X,X,O,O,O,X,X
IOJZLTS,X,X,X,X,X,X,O,O,X,X
IOJZLST,O,X,X,X,X,O,O,O,X,X
IOJZSTL,O,X,X,O,X,O,O,O,X,X
IOJZSLT,O,X,X,O,X,O,O,O,X,X
IOSTLJZ,O,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,X,O,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,O,O,X,X,X
IOSTZLJ,O,X,X,X,X,O,O,X,X,X
IOSTZJL,O,X,X,X,X,O,O,X,X,X
IOSLTJZ,O,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,O,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,O,X,X,X
IOSLZTJ,O,X,X,X,X,X,O,X,X,X
IOSLZJT,O,X,X,X,X,X,O,X,X,X
IOSJTLZ,O,X,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,X,O,O,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,O,X,X,X
IOSJZTL,O,X,X,X,X,O,O,X,X,X
IOSJZLT,O,X,X,X,X,O,O,X,X,X
IOSZTLJ,O,X,X,X,X,O,O,X,X,X
IOSZTJL,O,X,X,X,X,O,O,X,X,X
IOSZLTJ,O,X,X,X,X,O,O,X,X,X
IOSZLJT,O,X,X,X,X,O,O,X,X,X
IOSZJTL,O,X,X,X,X,O,O,X,X,X
IOSZJLT,O,X,X,X,X,O,O,X,X,X
IOZTLJS,X,X,X,X,X,X,O,X,X,X
