sequence,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeaBJvhFWiBxdB?TgBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFRdBcjB?ylBzhB+nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFcjBmgB?CiB3gBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFRdBcjB?2lBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFGdBTeB?ylBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFCdB2lB?xiBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFqiBTeB?mhBxlBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBRdB?SjBzhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFSjBTgB?mhBUhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhFxdB2lB?0hBXjBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeSCJvhFTeBmgB?3gBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR8IvhFCeBTgB?2mBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeG+IvhFxgBymB?ziB3gBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBzcB?SjBRnB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBTeB?RnBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhF2lB0hB?xiBXjBTnBFqB
JSZTLOI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZTOIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZTOLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZITLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O
JSZILOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JSZIOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZIOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZLTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLITO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JSZLIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
JSZLOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZOTIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZOTLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZOITL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZOILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZOLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZOLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JSOTILZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTLZI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOTZIL,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOTZLI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOITLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSOILZT,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
JSOIZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOLTIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOLTZI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOLITZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JSOLIZT,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JSOLZTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOLZIT,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOZTIL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOZTLI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOZITL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOZILT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JSOZLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSOZLIT,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTILSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZTILOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZTLIOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLSOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLOIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTSIOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTSLOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTSOIL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTSOLI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTOILS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
JZTOLSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZITLOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZILTOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JZILSOT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JZILOTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILOST,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
JZISTLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZISTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O
JZISLOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JZISOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZISOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZIOTLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
JZIOSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZLTIOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLTSOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLTOIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZLITOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JZLISOT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JZLIOTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZLSTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLSTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLSITO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JZLSIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
JZLSOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLSOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLOTIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZLOSTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOSIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZSTILO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSTIOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSTLOI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSTOIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSTOLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSITLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O
JZSILOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JZSIOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSIOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZSLTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSLTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSLITO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JZSLIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
JZSLOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSLOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZSOTIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSOTLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSOITL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZSOLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSOLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOTILS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOTLSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOILTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOILST,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
JZOISTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOLTIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOLTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O
JZOLSTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOLSIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOSTIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOSTLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOSITL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOSILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOSLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOSLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOTILSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JOTILZS,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOTISLZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOTISZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTIZLS,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X
JOTIZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JOTLISZ,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOTLIZS,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOTLSIZ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTLSZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTLZSI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTSILZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTSIZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSLZI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X
JOTZISL,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
JOTZLIS,X,O,O,X,X,O,X,O,X,X,X,X,O,X,O,X
JOTZLSI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTZSIL,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
JOTZSLI,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOITLSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JOITLZS,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JOITSLZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOITSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X
JOITZSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOILTSZ,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JOILTZS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JOILSTZ,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JOILSZT,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JOILZTS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILZST,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
JOISTLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
JOISLZT,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOISZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O
JOIZSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOLTISZ,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLTIZS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLTSIZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLTSZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOLTZSI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X
JOLITZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLISTZ,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X
JOLISZT,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JOLIZTS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
JOLSTIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLSTZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLSIZT,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X
JOLSZTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLSZIT,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLZTIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOLZTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLZIST,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O
JOLZSTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLZSIT,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOSTILZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTLZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JOSILZT,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
JOSIZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSLTIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLTZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JOSLIZT,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JOSLZTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSLZIT,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSZTIL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSZTLI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSZITL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSZILT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOSZLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSZLIT,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOZTILS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZTISL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOZTLSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSLI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZITLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZITSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZILTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZILST,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
JOZISTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZISLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOZLTIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOZLTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZLIST,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O
JOZLSTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZLSIT,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOZSTIL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZSTLI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZSITL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZSILT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOZSLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZSLIT,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
STILJZO,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
STILJOZ,O,X,X,O,O,O,O,X,O,O,O,O,X,X,X,X
STILZJO,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X
STILZOJ,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
STILOJZ,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
STILOZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
STIJLZO,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
STIJLOZ,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
STIJZLO,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
STIJZOL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
STIJOLZ,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
STIJOZL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
STIZLJO,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X
STIZLOJ,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
STIZJLO,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,X
STIZJOL,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,X
STIZOLJ,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
STIZOJL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
STIOLJZ,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
STIOLZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
STIOJLZ,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X
STIOJZL,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
STIOZLJ,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
STIOZJL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
STLIJZO,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X
STLIJOZ,O,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X
STLIZJO,O,O,X,O,O,X,O,O,X,O,X,X,X,O,X,X
STLIZOJ,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
STLIOJZ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X
STLIOZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
STLJIZO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
STLJIOZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
STLJZIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
STLJZOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
STLJOIZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
STLJOZI,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X
STLZIJO,O,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X
STLZIOJ,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
STLZJIO,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X
STLZJOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
STLZOIJ,O,O,X,O,O,X,X,O,O,O,X,O,X,X,X,X
STLZOJI,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
STLOIJZ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X
STLOIZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
