sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
TJSZILO,O,O,O,O,O,X,X,X,X,X
TJSZIOL,O,O,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,O,O,X,X,O,X,X
TJSZLOI,O,O,O,O,O,X,X,O,X,X
TJSZOIL,O,O,O,O,O,X,X,X,X,X
TJSZOLI,O,O,O,O,O,X,X,O,X,X
TJSOILZ,O,O,X,X,O,X,X,O,X,X
TJSOIZL,O,O,X,X,O,X,X,X,X,X
TJSOLIZ,O,O,X,X,O,X,X,O,X,X
TJSOLZI,O,O,X,X,O,X,X,O,X,X
TJSOZIL,O,O,O,X,O,X,X,X,X,X
TJSOZLI,O,O,O,X,O,X,X,O,X,X
TJZILSO,X,O,O,O,X,O,X,X,X,X
TJZILOS,O,O,O,O,X,O,X,X,X,X
TJZISLO,O,O,O,O,X,O,X,X,X,X
TJZISOL,O,O,O,O,X,O,X,X,X,X
TJZIOLS,O,O,O,O,X,O,X,X,X,X
TJZIOSL,O,O,O,O,X,O,X,X,X,X
TJZLISO,X,O,O,O,X,O,X,O,X,X
TJZLIOS,O,O,O,O,X,O,X,X,X,X
TJZLSIO,O,O,O,O,X,O,X,O,X,X
TJZLSOI,O,O,O,O,X,O,X,O,X,X
TJZLOIS,O,O,O,O,X,O,X,X,X,X
TJZLOSI,O,O,O,O,X,O,X,X,X,X
TJZSILO,O,O,O,O,X,O,X,X,X,X
TJZSIOL,O,O,O,O,X,O,X,X,X,X
TJZSLIO,O,O,O,O,X,O,X,O,X,X
TJZSLOI,O,O,O,O,X,O,X,O,X,X
TJZSOIL,O,O,O,O,X,O,X,X,X,X
TJZSOLI,O,O,O,O,X,O,X,O,X,X
TJZOILS,O,O,O,O,X,O,X,X,X,X
TJZOISL,O,O,O,O,X,O,X,X,X,X
TJZOLIS,O,O,O,O,X,O,X,O,X,X
TJZOLSI,O,O,O,O,X,O,X,O,X,X
TJZOSIL,O,O,O,O,X,O,X,X,X,X
TJZOSLI,O,O,O,O,X,O,X,O,X,X
TJOILSZ,X,O,X,X,O,X,X,O,X,X
TJOILZS,X,O,X,X,X,O,X,O,X,X
TJOISLZ,O,O,X,X,O,X,X,O,X,X
TJOISZL,O,O,X,X,O,X,X,X,X,X
TJOIZLS,O,O,O,X,X,O,X,X,X,X
TJOIZSL,O,O,O,X,X,O,X,X,X,X
TJOLISZ,X,O,X,X,O,X,X,O,X,X
TJOLIZS,X,O,X,X,X,O,X,O,X,X
TJOLSIZ,O,O,X,O,O,X,X,O,X,X
TJOLSZI,O,O,X,O,O,X,X,O,X,X
TJOLZIS,O,O,O,O,X,O,X,O,X,X
TJOLZSI,O,O,O,O,X,O,X,O,X,X
TJOSILZ,O,O,X,X,O,X,X,O,X,X
TJOSIZL,O,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,X,X,O,X,X,O,X,X
TJOSLZI,O,O,X,X,O,X,X,O,X,X
TJOSZIL,O,O,O,X,O,X,X,X,X,X
TJOSZLI,O,O,O,X,O,X,X,O,X,X
TJOZILS,O,O,O,O,X,O,X,X,X,X
TJOZISL,O,O,O,X,X,O,X,X,X,X
TJOZLIS,O,O,O,O,X,O,X,O,X,X
TJOZLSI,O,O,O,O,X,O,X,O,X,X
TJOZSIL,O,O,O,X,X,O,X,X,X,X
TJOZSLI,O,O,O,O,X,O,X,O,X,X
TSILJZO,O,O,X,X,O,X,X,O,O,X
TSILJOZ,O,O,X,O,O,X,X,O,O,X
TSILZJO,O,O,X,O,O,O,X,O,O,X
TSILZOJ,O,O,X,O,O,O,X,X,O,X
TSILOJZ,O,O,X,O,O,X,X,O,O,X
TSILOZJ,O,O,X,O,O,O,X,X,O,X
TSIJLZO,O,O,X,X,O,X,X,O,X,X
TSIJLOZ,O,O,X,O,O,X,X,O,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X,X
TSIJZOL,O,X,X,X,O,X,X,X,X,X
TSIJOLZ,O,O,X,X,O,X,X,O,X,X
TSIJOZL,O,O,X,X,O,X,X,X,X,X
TSIZLJO,X,O,X,O,O,O,O,X,X,X
TSIZLOJ,X,O,X,O,O,O,O,X,X,X
TSIZJLO,O,X,X,O,O,O,X,X,X,X
TSIZJOL,O,X,X,O,O,O,X,X,X,X
TSIZOLJ,X,X,X,O,O,O,O,X,X,X
TSIZOJL,O,X,X,X,O,O,X,X,X,X
TSIOLJZ,O,O,X,O,O,X,X,O,O,X
TSIOLZJ,O,O,X,O,O,O,X,O,O,X
TSIOJLZ,O,X,X,X,O,X,X,O,X,X
TSIOJZL,O,X,X,X,O,X,X,X,X,X
TSIOZLJ,X,X,X,X,O,O,O,X,X,X
TSIOZJL,O,X,X,X,O,O,X,X,X,X
TSLIJZO,O,O,X,X,O,X,X,O,O,X
TSLIJOZ,O,O,X,O,O,X,X,O,O,X
TSLIZJO,O,O,X,O,O,O,X,O,O,X
TSLIZOJ,O,O,X,O,O,O,X,X,O,X
TSLIOJZ,O,O,X,O,O,X,X,O,O,X
TSLIOZJ,O,O,X,O,O,O,X,X,O,X
TSLJIZO,O,O,X,X,O,X,X,O,O,X
TSLJIOZ,O,O,X,O,O,X,X,O,O,X
TSLJZIO,O,O,X,O,O,X,X,O,O,X
TSLJZOI,O,O,X,O,O,X,X,O,O,X
TSLJOIZ,O,O,X,O,O,X,X,O,O,X
TSLJOZI,O,O,X,O,O,X,X,O,O,X
TSLZIJO,O,O,X,O,O,O,X,O,O,X
TSLZIOJ,O,O,X,O,O,O,X,X,O,X
TSLZJIO,O,O,X,O,O,O,X,O,O,X
TSLZJOI,O,O,X,O,O,O,X,O,O,X
TSLZOIJ,O,O,X,O,O,O,X,X,O,X
