sequence,v115@8gA8IeA8FeD8AeC8AeJ8BeC8Jex6IvhFyhBzdBOkBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFCbBmcBzdBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBTcBy?iBFmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBzdBF?mB/rBasB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBFcByiBT?gBcmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFzaBFcBmdBS?lBcmBXsB
LZOTIJS,X,X,O,O,O,O
LZOTISJ,X,X,O,X,O,O
LZOTJIS,X,X,O,O,O,O
LZOTJSI,X,X,O,X,O,O
LZOTSIJ,X,X,O,X,O,O
LZOTSJI,X,X,O,X,O,O
LZOITJS,X,X,O,O,O,O
LZOITSJ,X,X,O,X,O,O
LZOIJTS,X,X,O,O,O,O
LZOIJST,X,X,X,X,O,O
LZOISTJ,X,X,X,X,O,O
LZOISJT,X,X,X,X,O,O
LZOJTIS,X,X,O,O,O,O
LZOJTSI,O,X,O,X,O,O
LZOJITS,X,X,O,O,O,O
LZOJIST,X,X,X,X,O,O
LZOJSTI,O,X,X,X,O,O
LZOJSIT,O,X,X,X,O,O
LZOSTIJ,X,X,X,X,O,O
LZOSTJI,X,X,X,X,O,O
LZOSITJ,X,X,X,X,O,O
LZOSIJT,X,X,X,X,O,O
LZOSJTI,O,X,X,X,O,O
LZOSJIT,O,X,X,X,O,O
LOTIJSZ,O,O,X,X,X,X
LOTIJZS,X,X,O,X,O,O
LOTISJZ,O,O,X,X,X,X
LOTISZJ,X,O,O,X,X,X
LOTIZJS,X,X,O,O,O,O
LOTIZSJ,X,X,O,X,O,O
LOTJISZ,O,O,X,X,X,X
LOTJIZS,X,X,O,X,O,O
LOTJSIZ,O,O,X,X,X,X
LOTJSZI,O,O,X,X,X,X
LOTJZIS,X,X,O,X,O,O
LOTJZSI,O,X,O,X,O,O
LOTSIJZ,O,O,X,X,X,X
LOTSIZJ,X,O,O,X,X,X
LOTSJIZ,O,O,X,X,X,X
LOTSJZI,O,O,X,X,X,X
LOTSZIJ,X,O,O,X,X,X
LOTSZJI,O,O,O,X,X,X
LOTZIJS,X,X,O,O,O,O
LOTZISJ,X,X,O,X,O,O
LOTZJIS,X,X,O,O,O,O
LOTZJSI,O,X,O,X,O,O
LOTZSIJ,X,X,O,X,O,O
LOTZSJI,O,X,O,X,O,O
LOITJSZ,X,O,X,X,X,X
LOITJZS,X,X,O,X,O,O
LOITSJZ,X,O,X,X,X,X
LOITSZJ,X,O,O,X,X,X
LOITZJS,X,X,O,O,O,O
LOITZSJ,X,X,O,X,O,O
LOIJTSZ,O,O,X,X,X,X
LOIJTZS,X,X,X,X,O,O
LOIJSTZ,O,O,X,X,X,X
LOIJSZT,O,O,X,X,O,O
LOIJZTS,X,X,O,O,O,O
LOIJZST,X,X,X,X,O,O
LOISTJZ,X,O,X,X,X,X
LOISTZJ,X,O,X,X,X,X
LOISJTZ,O,O,X,X,X,X
LOISJZT,O,O,X,X,O,O
LOISZTJ,X,O,X,X,O,O
LOISZJT,X,O,X,X,O,O
LOIZTJS,X,X,O,O,O,O
LOIZTSJ,X,X,O,X,O,O
LOIZJTS,X,X,O,O,O,O
LOIZJST,X,X,X,X,O,O
LOIZSTJ,X,X,X,X,O,O
LOIZSJT,X,X,X,X,O,O
LOJTISZ,O,O,X,X,X,X
LOJTIZS,X,X,X,X,O,O
LOJTSIZ,O,O,X,X,X,X
LOJTSZI,O,O,X,X,X,X
LOJTZIS,X,X,X,X,O,O
LOJTZSI,O,X,X,X,O,O
LOJITSZ,O,O,X,X,X,X
LOJITZS,X,X,X,X,O,O
LOJISTZ,O,O,X,X,X,X
LOJISZT,O,O,X,X,O,O
LOJIZTS,X,X,O,O,O,O
LOJIZST,X,X,X,X,O,O
LOJSTIZ,O,O,X,X,X,X
LOJSTZI,O,X,X,X,X,X
LOJSITZ,O,O,X,X,X,X
LOJSIZT,O,O,X,X,O,O
LOJSZTI,O,X,X,X,O,O
LOJSZIT,O,O,X,X,O,O
LOJZTIS,X,X,O,O,O,O
LOJZTSI,O,X,O,X,O,O
LOJZITS,X,X,O,O,O,O
LOJZIST,X,X,X,X,O,O
LOJZSTI,O,X,X,X,O,O
LOJZSIT,O,X,X,X,O,O
LOSTIJZ,O,O,X,X,X,X
LOSTIZJ,X,O,X,X,X,X
LOSTJIZ,O,O,X,X,X,X
LOSTJZI,O,O,X,X,X,X
LOSTZIJ,X,O,X,X,X,X
LOSTZJI,O,O,X,X,X,X
LOSITJZ,X,O,X,X,X,X
LOSITZJ,X,O,X,X,X,X
LOSIJTZ,O,O,X,X,X,X
LOSIJZT,O,O,X,X,O,O
LOSIZTJ,X,O,X,X,O,O
LOSIZJT,X,O,X,X,O,O
LOSJTIZ,O,O,X,X,X,X
LOSJTZI,O,O,X,X,X,X
LOSJITZ,O,O,X,X,X,X
LOSJIZT,O,O,X,X,O,O
LOSJZTI,O,X,X,X,O,O
LOSJZIT,O,O,X,X,O,O
LOSZTIJ,X,O,X,X,O,O
LOSZTJI,X,O,X,X,O,O
LOSZITJ,X,O,X,X,O,O
LOSZIJT,X,O,X,X,O,O
LOSZJTI,O,X,X,X,O,O
LOSZJIT,O,O,X,X,O,O
LOZTIJS,X,X,O,O,O,O
LOZTISJ,X,X,O,X,O,O
LOZTJIS,X,X,O,O,O,O
LOZTJSI,X,X,O,X,O,O
LOZTSIJ,X,X,O,X,O,O
LOZTSJI,X,X,O,X,O,O
LOZITJS,X,X,O,O,O,O
LOZITSJ,X,X,O,X,O,O
LOZIJTS,X,X,O,O,O,O
LOZIJST,X,X,X,X,O,O
LOZISTJ,X,X,X,X,O,O
LOZISJT,X,X,X,X,O,O
LOZJTIS,X,X,O,O,O,O
LOZJTSI,O,X,O,X,O,O
LOZJITS,X,X,O,O,O,O
LOZJIST,X,X,X,X,O,O
LOZJSTI,O,X,X,X,O,O
LOZJSIT,O,X,X,X,O,O
LOZSTIJ,X,X,X,X,O,O
LOZSTJI,X,X,X,X,O,O
LOZSITJ,X,X,X,X,O,O
LOZSIJT,X,X,X,X,O,O
LOZSJTI,O,X,X,X,O,O
LOZSJIT,O,X,X,X,O,O
JTILSZO,O,O,X,X,X,X
JTILSOZ,O,O,X,X,X,X
JTILZSO,X,X,O,X,X,O
JTILZOS,X,X,O,X,X,O
JTILOSZ,O,O,X,X,X,X
JTILOZS,X,X,O,X,O,O
JTISLZO,O,O,X,X,X,X
JTISLOZ,O,O,X,X,X,X
JTISZLO,O,O,X,X,X,X
JTISZOL,O,O,X,X,X,X
JTISOLZ,O,O,X,X,X,X
JTISOZL,O,O,X,X,X,X
JTIZLSO,X,X,O,O,X,O
JTIZLOS,X,X,O,O,X,O
JTIZSLO,X,O,O,O,X,O
JTIZSOL,X,O,O,O,X,X
JTIZOLS,X,X,O,O,X,O
JTIZOSL,X,O,O,O,X,X
JTIOLSZ,O,O,X,X,X,X
JTIOLZS,X,X,O,X,O,X
JTIOSLZ,O,O,X,X,X,X
JTIOSZL,O,O,X,X,X,X
JTIOZLS,X,X,O,O,O,X
JTIOZSL,X,O,O,O,O,X
JTLISZO,O,O,X,X,X,X
JTLISOZ,O,O,X,X,X,X
JTLIZSO,X,X,O,X,X,O
JTLIZOS,X,X,O,X,X,O
JTLIOSZ,O,O,X,X,X,X
JTLIOZS,X,X,O,X,O,O
JTLSIZO,O,O,X,X,X,X
JTLSIOZ,O,O,X,X,X,X
JTLSZIO,O,O,X,X,X,X
JTLSZOI,O,O,X,X,X,X
JTLSOIZ,O,O,X,X,X,X
JTLSOZI,O,O,X,X,X,X
JTLZISO,X,X,O,X,X,O
JTLZIOS,X,X,O,X,X,O
JTLZSIO,O,X,O,X,X,O
JTLZSOI,O,X,O,X,X,O
JTLZOIS,X,X,O,X,X,O
JTLZOSI,O,X,O,X,X,O
JTLOISZ,O,O,X,X,X,X
JTLOIZS,X,X,O,X,O,O
JTLOSIZ,O,O,X,X,X,X
JTLOSZI,O,O,X,X,X,X
JTLOZIS,X,X,O,X,O,O
JTLOZSI,O,X,O,X,O,O
JTSILZO,O,O,X,X,X,X
JTSILOZ,O,O,X,X,X,X
JTSIZLO,O,O,X,X,X,X
JTSIZOL,O,O,X,X,X,X
JTSIOLZ,O,O,X,X,X,X
JTSIOZL,O,O,X,X,X,X
JTSLIZO,O,O,X,X,X,X
JTSLIOZ,O,O,X,X,X,X
JTSLZIO,O,O,X,X,X,X
JTSLZOI,O,O,X,X,X,X
JTSLOIZ,O,O,X,X,X,X
JTSLOZI,O,O,X,X,X,X
JTSZILO,O,O,X,X,X,X
JTSZIOL,O,O,X,X,X,X
JTSZLIO,O,O,X,X,X,X
JTSZLOI,O,O,X,X,X,X
JTSZOIL,O,O,X,X,X,X
JTSZOLI,O,O,X,X,X,X
JTSOILZ,O,O,X,X,X,X
JTSOIZL,O,O,X,X,X,X
JTSOLIZ,O,O,X,X,X,X
JTSOLZI,O,O,X,X,X,X
JTSOZIL,O,O,X,X,X,X
JTSOZLI,O,O,X,X,X,X
JTZILSO,X,X,O,O,X,O
JTZILOS,X,X,O,O,X,O
JTZISLO,X,O,O,O,X,O
JTZISOL,X,O,O,O,X,X
JTZIOLS,X,X,O,O,X,O
JTZIOSL,X,O,O,O,X,X
JTZLISO,X,X,O,O,X,O
JTZLIOS,X,X,O,O,X,O
JTZLSIO,O,X,O,X,X,O
JTZLSOI,O,X,O,X,X,O
JTZLOIS,X,X,O,O,X,O
JTZLOSI,O,X,O,X,X,O
JTZSILO,O,O,O,O,X,O
JTZSIOL,O,O,O,O,X,X
JTZSLIO,O,O,O,X,X,O
JTZSLOI,O,O,O,X,X,O
JTZSOIL,O,O,O,O,X,X
JTZSOLI,O,O,O,X,X,X
JTZOILS,X,X,O,O,X,O
JTZOISL,X,O,O,O,X,X
JTZOLIS,X,X,O,O,X,O
JTZOLSI,O,X,O,X,X,O
JTZOSIL,O,O,O,O,X,X
JTZOSLI,O,O,O,X,X,X
JTOILSZ,O,O,X,X,X,X
JTOILZS,X,X,O,X,O,X
JTOISLZ,O,O,X,X,X,X
JTOISZL,O,O,X,X,X,X
JTOIZLS,X,X,O,O,O,X
JTOIZSL,X,O,O,O,O,X
JTOLISZ,O,O,X,X,X,X
JTOLIZS,X,X,O,X,O,X
JTOLSIZ,O,O,X,X,X,X
JTOLSZI,O,O,X,X,X,X
JTOLZIS,X,X,O,X,O,X
JTOLZSI,O,X,O,X,O,X
JTOSILZ,O,O,X,X,X,X
JTOSIZL,O,O,X,X,X,X
JTOSLIZ,O,O,X,X,X,X
JTOSLZI,O,O,X,X,X,X
JTOSZIL,O,O,X,X,X,X
JTOSZLI,O,O,X,X,X,X
JTOZILS,X,X,O,O,O,X
JTOZISL,X,O,O,O,O,X
JTOZLIS,X,X,O,O,O,X
JTOZLSI,O,X,O,X,O,X
JTOZSIL,O,O,O,O,O,X
JTOZSLI,O,O,O,X,O,X
JITLSZO,O,O,X,X,X,X
JITLSOZ,O,O,X,X,X,X
JITLZSO,X,X,O,X,X,O
JITLZOS,X,X,O,X,X,O
JITLOSZ,O,O,X,X,X,X
JITLOZS,X,X,O,X,O,O
JITSLZO,O,O,X,X,X,X
JITSLOZ,O,O,X,X,X,X
JITSZLO,O,O,X,X,X,X
JITSZOL,O,O,X,X,X,X
JITSOLZ,O,O,X,X,X,X
JITSOZL,O,O,X,X,X,X
JITZLSO,X,X,O,O,X,O
JITZLOS,X,X,O,O,X,O
JITZSLO,X,O,O,O,X,O
JITZSOL,X,O,O,O,X,X
JITZOLS,X,X,O,O,X,O
JITZOSL,X,O,O,O,X,X
JITOLSZ,O,O,X,X,X,X
JITOLZS,X,X,O,X,O,X
JITOSLZ,O,O,X,X,X,X
JITOSZL,O,O,X,X,X,X
JITOZLS,X,X,O,O,O,X
JITOZSL,X,O,O,O,O,X
JILTSZO,O,O,X,X,X,X
JILTSOZ,O,O,X,X,X,X
JILTZSO,X,X,O,X,X,O
JILTZOS,X,X,O,X,X,O
JILTOSZ,O,O,X,X,X,X
JILTOZS,X,X,O,X,O,O
JILSTZO,O,X,X,X,X,X
JILSTOZ,O,O,X,X,X,X
JILSZTO,X,X,O,X,X,O
JILSZOT,O,O,X,X,X,O
JILSOTZ,O,O,X,X,X,X
JILSOZT,O,O,X,X,O,O
JILZTSO,X,X,O,O,X,O
JILZTOS,X,X,O,O,O,O
JILZSTO,X,X,O,X,X,O
JILZSOT,X,X,X,X,X,O
JILZOTS,X,X,O,O,O,O
JILZOST,X,X,X,X,O,O
JILOTSZ,O,O,X,X,X,X
JILOTZS,X,X,X,X,O,O
JILOSTZ,O,O,X,X,X,X
JILOSZT,O,O,X,X,O,O
JILOZTS,X,X,O,O,O,O
JILOZST,X,X,X,X,O,O
JISTLZO,O,O,X,X,X,X
JISTLOZ,O,O,X,X,X,X
JISTZLO,O,O,X,X,X,X
JISTZOL,O,O,X,X,X,X
JISTOLZ,O,O,X,X,X,X
JISTOZL,O,O,X,X,X,X
JISLTZO,O,O,X,X,X,X
JISLTOZ,O,O,X,X,X,X
JISLZTO,X,X,O,X,X,O
JISLZOT,O,O,X,X,X,O
JISLOTZ,O,O,X,X,X,X
JISLOZT,O,O,X,X,O,O
JISZTLO,O,X,O,O,X,O
JISZTOL,O,X,O,O,X,X
JISZLTO,X,X,O,X,X,O
JISZLOT,O,O,X,X,X,O
JISZOTL,O,X,X,O,X,X
JISZOLT,O,O,X,X,X,X
JISOTLZ,O,O,X,X,X,X
JISOTZL,O,O,X,X,X,X
JISOLTZ,O,O,X,X,X,X
JISOLZT,O,O,X,X,O,X
JISOZTL,O,X,X,O,O,X
JISOZLT,O,O,X,X,O,X
JIZTLSO,X,X,O,O,X,O
JIZTLOS,X,X,O,O,O,O
JIZTSLO,X,O,O,O,X,O
JIZTSOL,X,O,O,O,X,X
JIZTOLS,X,X,O,O,O,O
JIZTOSL,X,O,O,O,O,X
JIZLTSO,X,X,O,O,X,O
JIZLTOS,X,X,O,O,O,O
JIZLSTO,X,X,O,X,X,O
JIZLSOT,X,X,X,X,X,O
JIZLOTS,X,X,O,O,O,O
JIZLOST,X,X,X,X,O,O
JIZSTLO,O,X,O,O,X,O
JIZSTOL,O,X,O,O,X,X
JIZSLTO,X,X,O,X,X,O
JIZSLOT,O,O,X,X,X,O
JIZSOTL,O,X,X,O,X,X
JIZSOLT,O,O,X,X,X,X
JIZOTLS,X,X,O,O,O,O
JIZOTSL,X,O,O,O,O,X
JIZOLTS,X,X,O,O,O,O
JIZOLST,X,X,X,X,O,O
JIZOSTL,O,X,X,O,O,X
JIZOSLT,O,O,X,X,O,X
JIOTLSZ,O,O,X,X,X,X
JIOTLZS,X,X,X,X,O,X
JIOTSLZ,O,O,X,X,X,X
JIOTSZL,O,O,X,X,X,X
JIOTZLS,X,X,X,O,O,X
JIOTZSL,X,O,X,O,O,X
JIOLTSZ,O,O,X,X,X,X
JIOLTZS,X,X,X,X,O,O
JIOLSTZ,O,O,X,X,X,X
JIOLSZT,O,O,X,X,O,O
JIOLZTS,X,X,O,O,O,O
JIOLZST,X,X,X,X,O,O
JIOSTLZ,O,O,X,X,X,X
JIOSTZL,O,O,X,X,X,X
JIOSLTZ,O,O,X,X,X,X
JIOSLZT,O,O,X,X,O,X
JIOSZTL,O,X,X,O,O,X
JIOSZLT,O,O,X,X,O,X
JIOZTLS,X,X,O,O,O,O
JIOZTSL,X,O,O,O,O,X
JIOZLTS,X,X,O,O,O,O
JIOZLST,X,X,X,X,O,O
JIOZSTL,O,X,X,O,O,X
JIOZSLT,O,O,X,X,O,X
JLTISZO,O,O,X,X,X,X
JLTISOZ,O,O,X,X,X,X
JLTIZSO,X,X,O,X,X,O
JLTIZOS,X,X,O,X,X,O
JLTIOSZ,O,O,X,X,X,X
JLTIOZS,X,X,O,X,O,O
JLTSIZO,O,O,X,X,X,X
JLTSIOZ,O,O,X,X,X,X
JLTSZIO,O,O,X,X,X,X
JLTSZOI,O,O,X,X,X,X
JLTSOIZ,O,O,X,X,X,X
JLTSOZI,O,O,X,X,X,X
JLTZISO,X,X,O,X,X,O
JLTZIOS,X,X,O,X,X,O
JLTZSIO,O,X,O,X,X,O
JLTZSOI,O,X,O,X,X,O
JLTZOIS,X,X,O,X,X,O
JLTZOSI,O,X,O,X,X,O
JLTOISZ,O,O,X,X,X,X
JLTOIZS,X,X,O,X,O,O
JLTOSIZ,O,O,X,X,X,X
JLTOSZI,O,O,X,X,X,X
JLTOZIS,X,X,O,X,O,O
JLTOZSI,O,X,O,X,O,O
JLITSZO,O,O,X,X,X,X
JLITSOZ,O,O,X,X,X,X
JLITZSO,X,X,O,X,X,O
JLITZOS,X,X,O,X,X,O
JLITOSZ,O,O,X,X,X,X
JLITOZS,X,X,O,X,O,O
JLISTZO,O,X,X,X,X,X
JLISTOZ,O,O,X,X,X,X
JLISZTO,X,X,O,X,X,O
JLISZOT,O,O,X,X,X,O
JLISOTZ,O,O,X,X,X,X
JLISOZT,O,O,X,X,O,O
JLIZTSO,X,X,O,O,X,O
JLIZTOS,X,X,O,O,O,O
JLIZSTO,X,X,O,X,X,O
JLIZSOT,X,X,X,X,X,O
JLIZOTS,X,X,O,O,O,O
JLIZOST,X,X,X,X,O,O
JLIOTSZ,O,O,X,X,X,X
JLIOTZS,X,X,X,X,O,O
JLIOSTZ,O,O,X,X,X,X
JLIOSZT,O,O,X,X,O,O
JLIOZTS,X,X,O,O,O,O
JLIOZST,X,X,X,X,O,O
JLSTIZO,O,X,X,X,X,X
JLSTIOZ,O,O,X,X,X,X
JLSTZIO,O,X,X,X,X,X
JLSTZOI,O,X,X,X,X,X
JLSTOIZ,O,O,X,X,X,X
JLSTOZI,O,X,X,X,X,X
JLSITZO,O,X,X,X,X,X
JLSITOZ,O,O,X,X,X,X
JLSIZTO,X,X,O,X,X,O
JLSIZOT,O,O,X,X,X,O
JLSIOTZ,O,O,X,X,X,X
JLSIOZT,O,O,X,X,O,O
JLSZTIO,X,X,O,X,X,O
JLSZTOI,X,X,O,X,X,O
JLSZITO,X,X,O,X,X,O
JLSZIOT,O,O,X,X,X,O
JLSZOTI,O,X,X,X,X,O
JLSZOIT,O,O,X,X,X,O
JLSOTIZ,O,O,X,X,X,X
JLSOTZI,O,X,X,X,X,X
JLSOITZ,O,O,X,X,X,X
JLSOIZT,O,O,X,X,O,O
JLSOZTI,O,X,X,X,O,O
JLSOZIT,O,O,X,X,O,O
JLZTISO,X,X,O,O,X,O
JLZTIOS,X,X,O,O,O,O
JLZTSIO,O,X,O,X,X,O
JLZTSOI,O,X,O,X,X,O
JLZTOIS,X,X,O,O,O,O
JLZTOSI,O,X,O,X,O,O
JLZITSO,X,X,O,O,X,O
JLZITOS,X,X,O,O,O,O
JLZISTO,X,X,O,X,X,O
JLZISOT,X,X,X,X,X,O
JLZIOTS,X,X,O,O,O,O
JLZIOST,X,X,X,X,O,O
JLZSTIO,X,X,O,X,X,O
JLZSTOI,X,X,O,X,X,O
JLZSITO,X,X,O,X,X,O
JLZSIOT,O,X,X,X,X,O
JLZSOTI,O,X,X,X,X,O
JLZSOIT,O,X,X,X,X,O
JLZOTIS,X,X,O,O,O,O
JLZOTSI,O,X,O,X,O,O
JLZOITS,X,X,O,O,O,O
JLZOIST,X,X,X,X,O,O
JLZOSTI,O,X,X,X,O,O
JLZOSIT,O,X,X,X,O,O
JLOTISZ,O,O,X,X,X,X
JLOTIZS,X,X,X,X,O,O
JLOTSIZ,O,O,X,X,X,X
JLOTSZI,O,O,X,X,X,X
JLOTZIS,X,X,X,X,O,O
JLOTZSI,O,X,X,X,O,O
JLOITSZ,O,O,X,X,X,X
JLOITZS,X,X,X,X,O,O
JLOISTZ,O,O,X,X,X,X
JLOISZT,O,O,X,X,O,O
JLOIZTS,X,X,O,O,O,O
JLOIZST,X,X,X,X,O,O
JLOSTIZ,O,O,X,X,X,X
JLOSTZI,O,X,X,X,X,X
JLOSITZ,O,O,X,X,X,X
JLOSIZT,O,O,X,X,O,O
JLOSZTI,O,X,X,X,O,O
JLOSZIT,O,O,X,X,O,O
JLOZTIS,X,X,O,O,O,O
JLOZTSI,O,X,O,X,O,O
JLOZITS,X,X,O,O,O,O
JLOZIST,X,X,X,X,O,O
JLOZSTI,O,X,X,X,O,O
JLOZSIT,O,X,X,X,O,O
JSTILZO,O,O,X,X,X,X
JSTILOZ,O,O,X,X,X,X
JSTIZLO,O,O,X,X,X,X
JSTIZOL,O,O,X,X,X,X
JSTIOLZ,O,O,X,X,X,X
JSTIOZL,O,O,X,X,X,X
JSTLIZO,O,O,X,X,X,X
JSTLIOZ,O,O,X,X,X,X
JSTLZIO,O,O,X,X,X,X
JSTLZOI,O,O,X,X,X,X
JSTLOIZ,O,O,X,X,X,X
JSTLOZI,O,O,X,X,X,X
JSTZILO,O,O,X,X,X,X
JSTZIOL,O,O,X,X,X,X
JSTZLIO,O,O,X,X,X,X
JSTZLOI,O,O,X,X,X,X
JSTZOIL,O,O,X,X,X,X
JSTZOLI,O,O,X,X,X,X
JSTOILZ,O,O,X,X,X,X
JSTOIZL,O,O,X,X,X,X
JSTOLIZ,O,O,X,X,X,X
JSTOLZI,O,O,X,X,X,X
JSTOZIL,O,O,X,X,X,X
JSTOZLI,O,O,X,X,X,X
JSITLZO,O,O,X,X,X,X
JSITLOZ,O,O,X,X,X,X
JSITZLO,O,O,X,X,X,X
JSITZOL,O,O,X,X,X,X
JSITOLZ,O,O,X,X,X,X
JSITOZL,O,O,X,X,X,X
JSILTZO,O,O,X,X,X,X
JSILTOZ,O,O,X,X,X,X
JSILZTO,X,X,O,X,X,O
JSILZOT,O,O,X,X,X,O
JSILOTZ,O,O,X,X,X,X
JSILOZT,O,O,X,X,O,O
JSIZTLO,O,X,O,O,X,O
JSIZTOL,O,X,O,O,X,X
JSIZLTO,X,X,O,X,X,O
JSIZLOT,O,O,X,X,X,O
JSIZOTL,O,X,X,O,X,X
JSIZOLT,O,O,X,X,X,X
JSIOTLZ,O,O,X,X,X,X
JSIOTZL,O,O,X,X,X,X
JSIOLTZ,O,O,X,X,X,X
JSIOLZT,O,O,X,X,O,X
JSIOZTL,O,X,X,O,O,X
JSIOZLT,O,O,X,X,O,X
JSLTIZO,O,O,X,X,X,X
JSLTIOZ,O,O,X,X,X,X
JSLTZIO,O,O,X,X,X,X
JSLTZOI,O,O,X,X,X,X
JSLTOIZ,O,O,X,X,X,X
JSLTOZI,O,O,X,X,X,X
JSLITZO,O,O,X,X,X,X
JSLITOZ,O,O,X,X,X,X
JSLIZTO,X,X,O,X,X,O
JSLIZOT,O,O,X,X,X,O
JSLIOTZ,O,O,X,X,X,X
JSLIOZT,O,O,X,X,O,O
JSLZTIO,X,X,O,X,X,O
JSLZTOI,X,X,O,X,X,O
JSLZITO,X,X,O,X,X,O
JSLZIOT,O,O,X,X,X,O
JSLZOTI,O,X,X,X,X,O
JSLZOIT,O,O,X,X,X,O
JSLOTIZ,O,O,X,X,X,X
JSLOTZI,O,O,X,X,X,X
JSLOITZ,O,O,X,X,X,X
JSLOIZT,O,O,X,X,O,O
JSLOZTI,O,X,X,X,O,O
JSLOZIT,O,O,X,X,O,O
JSZTILO,O,X,O,O,X,O
JSZTIOL,O,X,O,O,X,X
JSZTLIO,O,X,O,X,X,O
JSZTLOI,O,X,O,X,X,O
JSZTOIL,O,X,O,O,X,X
JSZTOLI,O,X,O,X,X,X
JSZITLO,O,X,O,O,X,O
JSZITOL,O,X,O,O,X,X
JSZILTO,X,X,O,X,X,O
JSZILOT,O,O,X,X,X,O
JSZIOTL,O,X,X,O,X,X
JSZIOLT,O,O,X,X,X,X
JSZLTIO,X,X,O,X,X,O
JSZLTOI,X,X,O,X,X,O
JSZLITO,X,X,O,X,X,O
JSZLIOT,O,O,X,X,X,O
JSZLOTI,O,X,X,X,X,O
JSZLOIT,O,O,X,X,X,O
JSZOTIL,O,X,X,O,X,X
JSZOTLI,O,X,X,X,X,X
JSZOITL,O,X,X,O,X,X
JSZOILT,O,O,X,X,X,X
JSZOLTI,O,X,X,X,X,X
JSZOLIT,O,O,X,X,X,X
JSOTILZ,O,O,X,X,X,X
JSOTIZL,O,O,X,X,X,X
JSOTLIZ,O,O,X,X,X,X
JSOTLZI,O,O,X,X,X,X
JSOTZIL,O,O,X,X,X,X
JSOTZLI,O,O,X,X,X,X
JSOITLZ,O,O,X,X,X,X
JSOITZL,O,O,X,X,X,X
JSOILTZ,O,O,X,X,X,X
JSOILZT,O,O,X,X,O,X
JSOIZTL,O,X,X,O,O,X
JSOIZLT,O,O,X,X,O,X
JSOLTIZ,O,O,X,X,X,X
JSOLTZI,O,O,X,X,X,X
JSOLITZ,O,O,X,X,X,X
JSOLIZT,O,O,X,X,O,X
JSOLZTI,O,X,X,X,O,X
JSOLZIT,O,O,X,X,O,X
JSOZTIL,O,X,X,O,O,X
JSOZTLI,O,X,X,X,O,X
JSOZITL,O,X,X,O,O,X
JSOZILT,O,O,X,X,O,X
JSOZLTI,O,X,X,X,O,X
JSOZLIT,O,O,X,X,O,X
JZTILSO,X,X,O,O,X,O
JZTILOS,X,X,O,O,O,O
JZTISLO,X,O,O,O,X,O
JZTISOL,X,O,O,O,X,X
JZTIOLS,X,X,O,O,O,O
JZTIOSL,X,O,O,O,O,X
JZTLISO,X,X,O,O,X,O
JZTLIOS,X,X,O,O,O,O
JZTLSIO,O,X,O,X,X,O
JZTLSOI,O,X,O,X,X,O
JZTLOIS,X,X,O,O,O,O
JZTLOSI,O,X,O,X,O,O
JZTSILO,O,O,O,O,X,O
JZTSIOL,O,O,O,O,X,X
JZTSLIO,O,O,O,X,X,O
JZTSLOI,O,O,O,X,X,O
JZTSOIL,O,O,O,O,X,X
JZTSOLI,O,O,O,X,X,X
JZTOILS,X,X,O,O,O,O
JZTOISL,X,O,O,O,O,X
JZTOLIS,X,X,O,O,O,O
JZTOLSI,O,X,O,X,O,O
JZTOSIL,O,O,O,O,O,X
JZTOSLI,O,O,O,X,O,X
JZITLSO,X,X,O,O,X,O
JZITLOS,X,X,O,O,O,O
JZITSLO,X,O,O,O,X,O
JZITSOL,X,O,O,O,X,X
JZITOLS,X,X,O,O,O,O
JZITOSL,X,O,O,O,O,X
JZILTSO,X,X,O,O,X,O
JZILTOS,X,X,O,O,O,O
JZILSTO,X,X,O,X,X,O
JZILSOT,X,X,X,X,X,O
JZILOTS,X,X,O,O,O,O
JZILOST,X,X,X,X,O,O
JZISTLO,O,X,O,O,X,O
JZISTOL,O,X,O,O,X,X
JZISLTO,X,X,O,X,X,O
JZISLOT,O,O,X,X,X,O
JZISOTL,O,X,X,O,X,X
JZISOLT,O,O,X,X,X,X
JZIOTLS,X,X,O,O,O,O
JZIOTSL,X,O,O,O,O,X
JZIOLTS,X,X,O,O,O,O
JZIOLST,X,X,X,X,O,O
JZIOSTL,O,X,X,O,O,X
JZIOSLT,O,O,X,X,O,X
JZLTISO,X,X,O,O,X,O
JZLTIOS,X,X,O,O,O,O
JZLTSIO,O,X,O,X,X,O
JZLTSOI,O,X,O,X,X,O
JZLTOIS,X,X,O,O,O,O
JZLTOSI,O,X,O,X,O,O
JZLITSO,X,X,O,O,X,O
JZLITOS,X,X,O,O,O,O
JZLISTO,X,X,O,X,X,O
JZLISOT,X,X,X,X,X,O
JZLIOTS,X,X,O,O,O,O
JZLIOST,X,X,X,X,O,O
JZLSTIO,X,X,O,X,X,O
JZLSTOI,X,X,O,X,X,O
JZLSITO,X,X,O,X,X,O
JZLSIOT,O,X,X,X,X,O
JZLSOTI,O,X,X,X,X,O
