sequence,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?fiB6iBTjBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFibBGdB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?zcBSjB3iBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhF2gBSiB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Jez7IvhFfiBxdB?ukBCjBUgBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeR7IvhFzcBGeB?qkB3iB0lBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeSCJvhFTeBRgB?ukB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeC7IvhFzcBGeB?VlB3iBRqB8qB
ISTOJLZ,O,O,X,O,O,X,X,O
ISTOJZL,O,O,X,X,X,X,X,O
ISTOZLJ,O,O,O,X,X,X,X,O
ISTOZJL,O,O,O,X,X,X,X,O
ISLTJZO,O,X,X,X,O,X,X,O
ISLTJOZ,O,X,X,O,O,O,X,O
ISLTZJO,O,O,O,X,O,X,X,O
ISLTZOJ,O,O,O,X,O,X,X,O
ISLTOJZ,O,X,X,O,O,O,X,O
ISLTOZJ,O,O,O,X,O,X,X,O
ISLJTZO,O,X,X,X,O,X,X,O
ISLJTOZ,O,X,X,X,O,O,X,O
ISLJZTO,O,O,X,X,X,O,X,X
ISLJZOT,O,O,X,X,O,O,X,X
ISLJOTZ,O,X,X,O,O,O,X,O
ISLJOZT,O,O,X,O,O,O,X,X
ISLZTJO,O,O,X,X,O,O,X,X
ISLZTOJ,O,O,X,X,O,O,X,X
ISLZJTO,O,O,X,X,X,O,X,X
ISLZJOT,O,O,O,X,O,O,X,X
ISLZOTJ,O,O,X,X,O,O,X,X
ISLZOJT,O,O,O,X,O,O,X,X
ISLOTJZ,O,X,X,O,O,O,O,O
ISLOTZJ,O,O,O,X,O,X,O,O
ISLOJTZ,O,X,X,O,O,O,O,O
ISLOJZT,O,O,X,O,O,O,O,X
ISLOZTJ,O,O,X,X,O,O,O,X
ISLOZJT,O,O,O,X,O,O,O,X
ISJTLZO,O,X,X,X,X,X,X,O
ISJTLOZ,O,X,X,X,X,X,X,O
ISJTZLO,O,X,X,X,X,X,X,O
ISJTZOL,O,X,X,X,X,X,X,O
ISJTOLZ,O,X,X,X,X,X,X,O
ISJTOZL,O,X,X,X,X,X,X,O
ISJLTZO,O,X,X,X,X,X,X,O
ISJLTOZ,O,X,X,X,O,O,X,O
ISJLZTO,O,O,X,X,X,O,X,X
ISJLZOT,O,O,X,X,O,O,X,X
ISJLOTZ,O,X,X,O,O,O,X,O
ISJLOZT,O,O,X,O,O,O,X,X
ISJZTLO,O,O,X,X,X,X,X,O
ISJZTOL,O,O,X,X,X,X,X,O
ISJZLTO,O,O,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,X,O
ISJZOLT,O,O,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,O
ISJOTZL,O,X,X,X,X,X,X,O
ISJOLTZ,O,X,X,O,O,O,X,O
ISJOLZT,O,O,X,O,O,O,X,X
ISJOZTL,O,O,X,X,X,X,X,O
ISJOZLT,O,O,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,O
ISZTLOJ,O,O,X,X,X,X,X,O
ISZTJLO,O,O,X,X,X,X,X,O
ISZTJOL,O,O,X,X,X,X,X,O
ISZTOLJ,O,O,X,X,X,X,X,O
ISZTOJL,O,O,X,X,X,X,X,O
ISZLTJO,O,O,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,O
ISZJTOL,O,O,X,X,X,X,X,O
ISZJLTO,O,O,X,X,X,X,X,X
ISZJLOT,O,O,O,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X,O
ISZJOLT,O,O,O,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,O
ISZOTJL,O,O,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X,O
ISZOJLT,O,O,O,X,X,X,X,X
ISOTLJZ,O,O,X,O,O,X,X,O
ISOTLZJ,O,O,O,X,O,X,X,O
ISOTJLZ,O,O,X,O,O,X,X,O
ISOTJZL,O,O,X,X,X,X,X,O
ISOTZLJ,O,O,O,X,X,X,X,O
ISOTZJL,O,O,O,X,X,X,X,O
ISOLTJZ,O,X,X,O,O,O,O,O
ISOLTZJ,O,O,O,X,O,X,O,O
ISOLJTZ,O,X,X,O,O,O,O,O
ISOLJZT,O,O,X,O,O,O,O,X
ISOLZTJ,O,O,X,X,O,O,O,X
ISOLZJT,O,O,O,X,O,O,O,X
ISOJTLZ,O,X,X,X,X,X,X,O
ISOJTZL,O,X,X,X,X,X,X,O
ISOJLTZ,O,X,X,O,O,O,X,O
ISOJLZT,O,O,X,O,O,O,X,X
ISOJZTL,O,O,X,X,X,X,X,O
ISOJZLT,O,O,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,O
ISOZTJL,O,O,X,X,X,X,X,O
ISOZLTJ,O,O,X,X,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,O
ISOZJLT,O,O,O,X,X,X,X,X
IZTLJSO,O,O,O,X,X,X,X,X
IZTLJOS,O,O,O,O,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,X,X
IZTLOJS,O,O,O,O,X,X,X,X
IZTLOSJ,O,O,O,X,X,X,X,X
IZTJLSO,O,O,O,X,X,X,X,X
IZTJLOS,O,O,O,O,X,X,X,X
IZTJSLO,O,O,O,X,X,X,X,O
IZTJSOL,O,O,O,X,X,X,X,O
IZTJOLS,O,O,O,O,X,X,X,X
IZTJOSL,O,O,O,X,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X,O
IZTSLOJ,O,O,O,X,X,X,X,O
IZTSJLO,O,O,O,X,X,X,X,O
IZTSJOL,O,O,O,X,X,X,X,O
IZTSOLJ,O,O,O,X,X,X,X,O
IZTSOJL,O,O,O,X,X,X,X,O
IZTOLJS,O,O,O,O,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X
IZTOJLS,O,O,O,O,X,X,X,X
IZTOJSL,O,O,O,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X
IZLTJSO,X,O,O,X,X,X,X,X
IZLTJOS,X,O,O,O,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,X,X
IZLTOJS,X,O,O,O,X,X,X,X
IZLTOSJ,X,O,O,X,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X
IZLJTOS,X,O,O,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X
IZLJSOT,O,O,O,X,X,X,X,X
IZLJOTS,X,O,O,O,X,X,X,X
IZLJOST,O,O,O,O,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,X
IZLOTJS,X,O,O,O,X,X,O,X
IZLOTSJ,X,O,O,X,X,X,O,X
IZLOJTS,X,O,O,O,X,X,O,X
IZLOJST,O,O,O,O,X,X,O,X
IZLOSTJ,O,O,X,X,X,X,O,X
IZLOSJT,O,O,O,X,X,X,O,X
IZJTLSO,X,O,X,X,X,X,X,X
IZJTLOS,X,O,O,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X,O
IZJTSOL,O,O,X,X,X,X,X,O
IZJTOLS,X,O,O,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X
IZJLTSO,X,O,X,X,X,X,X,X
IZJLTOS,X,O,O,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,X,X
IZJLOTS,X,O,O,O,X,X,X,X
IZJLOST,O,O,O,O,X,X,X,X
IZJSTLO,O,O,X,X,X,X,X,O
IZJSTOL,O,O,X,X,X,X,X,O
IZJSLTO,O,O,X,X,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X,X
IZJSOTL,O,O,X,X,X,X,X,O
IZJSOLT,O,O,O,X,X,X,X,X
IZJOTLS,X,O,O,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X
IZJOLTS,X,O,O,O,X,X,X,X
IZJOLST,O,O,O,O,X,X,X,X
IZJOSTL,O,O,X,X,X,X,X,X
IZJOSLT,O,O,O,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,O
IZSTLOJ,O,O,X,X,X,X,X,O
IZSTJLO,O,O,X,X,X,X,X,O
IZSTJOL,O,O,X,X,X,X,X,O
IZSTOLJ,O,O,X,X,X,X,X,O
IZSTOJL,O,O,X,X,X,X,X,O
IZSLTJO,O,O,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X
IZSLJOT,O,O,O,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,O
IZSJTOL,O,O,X,X,X,X,X,O
IZSJLTO,O,O,X,X,X,X,X,X
IZSJLOT,O,O,O,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,X,O
IZSJOLT,O,O,O,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,O
IZSOTJL,O,O,X,X,X,X,X,O
IZSOLTJ,O,O,X,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,O
IZSOJLT,O,O,O,X,X,X,X,X
IZOTLJS,O,O,O,O,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X
IZOTJLS,O,O,O,O,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X,X
IZOLTJS,X,O,O,O,X,X,O,X
IZOLTSJ,X,O,O,X,X,X,O,X
IZOLJTS,X,O,O,O,X,X,O,X
IZOLJST,O,O,O,O,X,X,O,X
IZOLSTJ,O,O,X,X,X,X,O,X
IZOLSJT,O,O,O,X,X,X,O,X
IZOJTLS,X,O,O,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X
IZOJLTS,X,O,O,O,X,X,X,X
IZOJLST,O,O,O,O,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X,X
IZOJSLT,O,O,O,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X,X
IOTLJSZ,X,X,X,O,O,X,O,X
IOTLJZS,X,X,O,O,X,X,O,X
IOTLSJZ,O,O,X,O,O,X,O,X
IOTLSZJ,O,O,O,X,O,X,O,X
IOTLZJS,O,O,O,O,X,X,O,X
IOTLZSJ,O,O,O,X,X,X,O,X
IOTJLSZ,X,X,X,O,O,X,O,X
IOTJLZS,X,X,O,O,X,X,O,X
IOTJSLZ,O,O,X,O,O,X,X,O
IOTJSZL,O,O,X,X,X,X,X,O
IOTJZLS,O,O,O,O,X,X,X,X
IOTJZSL,O,O,O,X,X,X,X,X
IOTSLJZ,O,O,X,O,O,X,O,O
IOTSLZJ,O,O,O,X,O,X,O,O
IOTSJLZ,O,O,X,O,O,X,X,O
IOTSJZL,O,O,X,X,X,X,X,O
IOTSZLJ,O,O,O,X,X,X,X,O
IOTSZJL,O,O,O,X,X,X,X,O
IOTZLJS,O,O,O,O,X,X,O,X
IOTZLSJ,O,O,O,X,X,X,O,X
IOTZJLS,O,O,O,O,X,X,X,X
IOTZJSL,O,O,O,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X,X
IOLTJSZ,X,X,X,O,O,O,O,X
IOLTJZS,X,X,O,O,X,O,O,X
IOLTSJZ,O,O,X,O,O,X,O,X
IOLTSZJ,O,O,O,X,O,X,O,X
IOLTZJS,O,O,O,O,X,X,O,X
IOLTZSJ,O,O,O,X,X,X,O,X
IOLJTSZ,X,X,X,O,X,O,O,X
IOLJTZS,X,X,O,O,X,O,O,X
IOLJSTZ,X,X,X,O,O,O,O,X
IOLJSZT,X,X,X,O,O,O,O,X
IOLJZTS,X,X,O,O,X,O,O,X
IOLJZST,X,X,O,O,X,O,O,X
IOLSTJZ,O,X,X,O,O,X,O,X
IOLSTZJ,O,O,O,X,O,X,O,X
IOLSJTZ,O,X,X,O,O,O,O,X
IOLSJZT,O,O,X,O,O,O,O,X
IOLSZTJ,O,O,X,X,O,X,O,X
IOLSZJT,O,O,O,X,O,X,O,X
IOLZTJS,X,O,O,O,X,O,O,X
IOLZTSJ,X,O,O,X,X,X,O,X
IOLZJTS,X,O,O,O,X,O,O,X
IOLZJST,O,O,O,O,X,O,O,X
IOLZSTJ,O,O,X,X,X,X,O,X
IOLZSJT,O,O,O,X,X,O,O,X
IOJTLSZ,X,X,X,O,X,X,X,X
IOJTLZS,X,X,O,O,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,O
IOJTSZL,O,O,X,X,X,X,X,O
IOJTZLS,O,O,O,O,X,X,X,X
IOJTZSL,O,O,O,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,O,O,X
IOJLTZS,X,X,O,O,X,O,O,X
IOJLSTZ,X,X,X,O,O,O,O,X
IOJLSZT,X,X,X,O,O,O,O,X
IOJLZTS,X,X,O,O,X,O,O,X
IOJLZST,X,X,O,O,X,O,O,X
IOJSTLZ,O,X,X,X,X,X,X,O
IOJSTZL,O,X,X,X,X,X,X,O
IOJSLTZ,O,X,X,O,O,X,X,O
IOJSLZT,O,O,X,O,O,X,X,X
IOJSZTL,O,O,X,X,X,X,X,O
IOJSZLT,O,O,X,X,X,X,X,X
IOJZTLS,X,O,O,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X
IOJZLTS,X,O,O,O,X,X,X,X
IOJZLST,O,O,O,O,X,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X,X
IOSTLJZ,O,O,X,O,O,X,X,O
IOSTLZJ,O,O,O,X,O,X,X,O
IOSTJLZ,O,O,X,O,O,X,X,O
IOSTJZL,O,O,X,X,X,X,X,O
IOSTZLJ,O,O,O,X,X,X,X,O
IOSTZJL,O,O,O,X,X,X,X,O
IOSLTJZ,O,X,X,O,O,X,O,O
IOSLTZJ,O,O,O,X,O,X,O,O
IOSLJTZ,O,X,X,O,O,X,O,O
IOSLJZT,O,O,X,O,O,X,O,X
IOSLZTJ,O,O,X,X,O,X,O,X
IOSLZJT,O,O,O,X,O,X,O,X
IOSJTLZ,O,X,X,X,X,X,X,O
IOSJTZL,O,X,X,X,X,X,X,O
IOSJLTZ,O,X,X,O,O,X,X,O
IOSJLZT,O,O,X,O,O,X,X,X
IOSJZTL,O,O,X,X,X,X,X,O
IOSJZLT,O,O,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,O
IOSZTJL,O,O,X,X,X,X,X,O
IOSZLTJ,O,O,X,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,O
IOSZJLT,O,O,O,X,X,X,X,X
IOZTLJS,O,O,O,O,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,X
IOZTJLS,O,O,O,O,X,X,X,X
IOZTJSL,O,O,O,X,X,X,X,X
IOZTSLJ,O,O,O,X,X,X,X,X
IOZTSJL,O,O,O,X,X,X,X,X
IOZLTJS,X,O,O,O,X,X,O,X
IOZLTSJ,X,O,O,X,X,X,O,X
IOZLJTS,X,O,O,O,X,X,O,X
IOZLJST,O,O,O,O,X,X,O,X
IOZLSTJ,O,O,X,X,X,X,O,X
IOZLSJT,O,O,O,X,X,X,O,X
IOZJTLS,X,O,O,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X
IOZJLTS,X,O,O,O,X,X,X,X
IOZJLST,O,O,O,O,X,X,X,X
IOZJSTL,O,O,X,X,X,X,X,X
IOZJSLT,O,O,O,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X,X
LTIJSZO,X,X,X,X,O,X,X,X
LTIJSOZ,X,X,X,O,O,O,X,X
LTIJZSO,X,X,O,X,X,X,X,X
LTIJZOS,X,X,O,O,X,X,X,X
LTIJOSZ,X,X,X,O,O,O,O,X
LTIJOZS,X,X,O,O,X,O,O,X
LTISJZO,O,O,X,X,O,X,X,X
LTISJOZ,O,O,X,O,O,O,X,X
LTISZJO,O,O,O,X,O,X,X,X
LTISZOJ,O,O,O,X,O,X,X,X
LTISOJZ,O,O,X,O,O,O,O,X
LTISOZJ,O,O,O,X,O,X,O,X
LTIZJSO,O,O,O,X,X,X,X,X
LTIZJOS,O,O,O,O,X,X,X,X
LTIZSJO,O,O,O,X,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X,X
LTIZOJS,O,O,O,O,X,X,O,X
LTIZOSJ,O,O,O,X,X,X,O,X
LTIOJSZ,X,X,X,O,O,O,O,X
LTIOJZS,X,X,O,O,X,O,O,X
LTIOSJZ,O,O,X,O,O,X,O,X
LTIOSZJ,O,O,O,X,O,X,O,X
LTIOZJS,O,O,O,O,X,X,O,X
LTIOZSJ,O,O,O,X,X,X,O,X
LTJISZO,X,X,X,X,O,X,X,X
LTJISOZ,X,X,X,O,O,O,X,X
LTJIZSO,X,X,O,X,X,X,X,X
LTJIZOS,X,X,O,O,X,X,X,X
LTJIOSZ,X,X,X,O,O,O,O,X
LTJIOZS,X,X,O,O,X,O,O,X
LTJSIZO,X,X,X,X,O,X,X,X
LTJSIOZ,X,X,X,O,O,O,X,X
LTJSZIO,X,X,X,X,O,O,X,X
LTJSZOI,X,X,X,X,O,O,X,X
LTJSOIZ,X,X,X,O,O,O,X,X
LTJSOZI,X,X,X,X,O,O,X,X
LTJZISO,X,X,O,X,X,O,X,X
LTJZIOS,X,X,O,O,X,O,X,X
LTJZSIO,X,X,O,X,O,O,X,X
LTJZSOI,X,X,O,X,O,O,X,X
LTJZOIS,X,X,O,O,X,O,X,X
LTJZOSI,X,X,O,X,O,X,X,X
LTJOISZ,X,X,X,O,O,O,O,X
LTJOIZS,X,X,O,O,X,O,O,X
LTJOSIZ,X,X,X,O,O,X,X,X
LTJOSZI,X,X,X,X,O,X,X,X
LTJOZIS,X,X,O,O,X,O,X,X
LTJOZSI,X,X,O,X,O,X,X,X
LTSIJZO,O,O,X,X,O,X,X,X
LTSIJOZ,O,O,X,O,O,O,X,X
LTSIZJO,O,O,O,X,O,X,X,X
LTSIZOJ,O,O,O,X,O,X,X,X
LTSIOJZ,O,O,X,O,O,O,O,X
LTSIOZJ,O,O,O,X,O,X,O,X
LTSJIZO,O,O,X,X,O,X,X,X
LTSJIOZ,O,O,X,O,O,O,X,X
LTSJZIO,O,O,X,X,O,O,X,X
LTSJZOI,O,O,X,X,O,O,X,X
LTSJOIZ,O,O,X,O,O,O,X,X
LTSJOZI,O,O,X,X,O,O,X,X
LTSZIJO,O,O,O,X,O,O,X,X
LTSZIOJ,O,O,O,X,O,O,X,X
LTSZJIO,O,O,O,X,O,O,X,X
LTSZJOI,O,O,O,X,O,O,X,X
LTSZOIJ,O,O,O,X,O,O,X,X
LTSZOJI,O,O,O,X,O,O,X,X
LTSOIJZ,O,O,X,O,O,O,O,X
LTSOIZJ,O,O,O,X,O,X,O,X
LTSOJIZ,O,O,X,O,O,O,X,X
LTSOJZI,O,O,X,X,O,O,X,X
LTSOZIJ,O,O,O,X,O,O,X,X
LTSOZJI,O,O,O,X,O,O,X,X
LTZIJSO,O,O,O,X,X,O,X,X
LTZIJOS,O,O,O,O,X,O,X,X
LTZISJO,O,O,O,X,X,O,X,X
LTZISOJ,O,O,O,X,X,O,X,X
LTZIOJS,O,O,O,O,X,O,O,X
LTZIOSJ,O,O,O,X,X,X,O,X
LTZJISO,O,O,O,X,X,O,X,X
LTZJIOS,O,O,O,O,X,O,X,X
LTZJSIO,O,O,O,X,O,O,X,X
LTZJSOI,O,O,O,X,O,O,X,X
LTZJOIS,O,O,O,O,X,O,X,X
LTZJOSI,O,O,O,X,O,X,X,X
LTZSIJO,O,O,O,X,O,O,X,X
LTZSIOJ,O,O,O,X,O,O,X,X
LTZSJIO,O,O,O,X,O,O,X,X
LTZSJOI,O,O,O,X,O,O,X,X
LTZSOIJ,O,O,O,X,O,O,X,X
LTZSOJI,O,O,O,X,O,O,X,X
LTZOIJS,O,O,O,O,X,O,O,X
LTZOISJ,O,O,O,X,X,X,O,X
LTZOJIS,O,O,O,O,X,O,X,X
LTZOJSI,O,O,O,X,O,X,X,X
LTZOSIJ,O,O,O,X,O,X,X,X
LTZOSJI,O,O,O,X,O,X,X,X
LTOIJSZ,X,X,X,O,O,O,O,X
LTOIJZS,X,X,O,O,X,O,O,X
LTOISJZ,O,O,X,O,O,X,O,X
LTOISZJ,O,O,O,X,O,X,O,X
LTOIZJS,O,O,O,O,X,X,O,X
LTOIZSJ,O,O,O,X,X,X,O,X
LTOJISZ,X,X,X,O,O,O,O,X
LTOJIZS,X,X,O,O,X,O,O,X
LTOJSIZ,X,X,X,O,O,X,X,X
LTOJSZI,X,X,X,X,O,X,X,X
LTOJZIS,X,X,O,O,X,O,X,X
LTOJZSI,X,X,O,X,O,X,X,X
LTOSIJZ,O,O,X,O,O,X,O,X
LTOSIZJ,O,O,O,X,O,X,O,X
LTOSJIZ,O,O,X,O,O,X,X,X
LTOSJZI,O,O,X,X,O,X,X,X
LTOSZIJ,O,O,O,X,O,X,X,X
LTOSZJI,O,O,O,X,O,X,X,X
LTOZIJS,O,O,O,O,X,O,O,X
LTOZISJ,O,O,O,X,X,X,O,X
LTOZJIS,O,O,O,O,X,O,X,X
LTOZJSI,O,O,O,X,O,X,X,X
LTOZSIJ,O,O,O,X,O,X,X,X
LTOZSJI,O,O,O,X,O,X,X,X
LITJSZO,X,X,X,X,O,X,X,O
LITJSOZ,X,X,X,O,O,O,X,O
LITJZSO,X,X,O,X,X,X,X,X
LITJZOS,X,X,O,O,X,X,X,X
LITJOSZ,X,X,X,O,O,O,O,X
LITJOZS,X,X,O,O,X,O,O,X
LITSJZO,O,O,X,X,O,X,X,O
LITSJOZ,O,O,X,O,O,O,X,O
LITSZJO,O,O,O,X,O,X,X,O
LITSZOJ,O,O,O,X,O,X,X,O
LITSOJZ,O,O,X,O,O,O,O,O
LITSOZJ,O,O,O,X,O,X,O,O
LITZJSO,O,O,O,X,X,X,X,X
LITZJOS,O,O,O,O,X,X,X,X
LITZSJO,O,O,O,X,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X,X
LITZOJS,O,O,O,O,X,X,O,X
LITZOSJ,O,O,O,X,X,X,O,X
LITOJSZ,X,X,X,O,O,O,O,X
LITOJZS,X,X,O,O,X,O,O,X
LITOSJZ,O,O,X,O,O,X,O,X
LITOSZJ,O,O,O,X,O,X,O,X
LITOZJS,O,O,O,O,X,X,O,X
LITOZSJ,O,O,O,X,X,X,O,X
LIJTSZO,X,X,X,X,X,X,X,O
LIJTSOZ,X,X,X,O,X,O,X,O
LIJTZSO,X,X,O,X,X,X,X,X
LIJTZOS,X,X,O,O,X,X,X,X
LIJTOSZ,X,X,X,O,X,O,X,X
LIJTOZS,X,X,O,O,X,O,X,X
LIJSTZO,X,X,X,X,X,X,X,O
LIJSTOZ,X,X,X,X,O,O,X,O
LIJSZTO,X,X,X,X,X,O,X,X
LIJSZOT,X,X,X,X,O,O,X,X
LIJSOTZ,X,X,X,O,O,O,X,O
LIJSOZT,X,X,X,O,O,O,X,X
LIJZTSO,X,X,X,X,X,O,X,X
LIJZTOS,X,X,O,X,X,O,X,X
LIJZSTO,X,X,X,X,X,O,X,X
LIJZSOT,X,X,O,X,X,O,X,X
LIJZOTS,X,X,O,O,X,O,X,X
LIJZOST,X,X,O,O,X,O,X,X
LIJOTSZ,X,X,X,O,X,O,O,X
LIJOTZS,X,X,O,O,X,O,O,X
LIJOSTZ,X,X,X,O,O,O,O,X
LIJOSZT,X,X,X,O,O,O,O,X
LIJOZTS,X,X,O,O,X,O,O,X
LIJOZST,X,X,O,O,X,O,O,X
LISTJZO,O,X,X,X,O,X,X,O
LISTJOZ,O,X,X,O,O,O,X,O
LISTZJO,O,O,O,X,O,X,X,O
LISTZOJ,O,O,O,X,O,X,X,O
LISTOJZ,O,X,X,O,O,O,X,O
LISTOZJ,O,O,O,X,O,X,X,O
LISJTZO,O,X,X,X,O,X,X,O
LISJTOZ,O,X,X,X,O,O,X,O
LISJZTO,O,O,X,X,X,O,X,X
LISJZOT,O,O,X,X,O,O,X,X
LISJOTZ,O,X,X,O,O,O,X,O
LISJOZT,O,O,X,O,O,O,X,X
LISZTJO,O,O,X,X,O,O,X,X
LISZTOJ,O,O,X,X,O,O,X,X
LISZJTO,O,O,X,X,X,O,X,X
LISZJOT,O,O,O,X,O,O,X,X
LISZOTJ,O,O,X,X,O,O,X,X
LISZOJT,O,O,O,X,O,O,X,X
LISOTJZ,O,X,X,O,O,O,O,O
LISOTZJ,O,O,O,X,O,X,O,O
LISOJTZ,O,X,X,O,O,O,O,O
LISOJZT,O,O,X,O,O,O,O,X
LISOZTJ,O,O,X,X,O,O,O,X
LISOZJT,O,O,O,X,O,O,O,X
LIZTJSO,X,O,O,X,X,O,X,X
LIZTJOS,X,O,O,O,X,O,X,X
LIZTSJO,X,O,O,X,X,O,X,X
LIZTSOJ,X,O,O,X,X,O,X,X
LIZTOJS,X,O,O,O,X,O,X,X
LIZTOSJ,X,O,O,X,X,X,X,X
LIZJTSO,X,O,X,X,X,O,X,X
LIZJTOS,X,O,O,X,X,O,X,X
LIZJSTO,O,O,X,X,X,O,X,X
LIZJSOT,O,O,O,X,X,O,X,X
LIZJOTS,X,O,O,O,X,O,X,X
LIZJOST,O,O,O,O,X,O,X,X
LIZSTJO,O,O,X,X,X,O,X,X
LIZSTOJ,O,O,X,X,X,O,X,X
LIZSJTO,O,O,X,X,X,O,X,X
LIZSJOT,O,O,O,X,X,O,X,X
LIZSOTJ,O,O,X,X,X,O,X,X
LIZSOJT,O,O,O,X,X,O,X,X
LIZOTJS,X,O,O,O,X,O,O,X
LIZOTSJ,X,O,O,X,X,X,O,X
LIZOJTS,X,O,O,O,X,O,O,X
LIZOJST,O,O,O,O,X,O,O,X
LIZOSTJ,O,O,X,X,X,O,O,X
LIZOSJT,O,O,O,X,X,O,O,X
LIOTJSZ,X,X,X,O,O,O,O,X
LIOTJZS,X,X,O,O,X,O,O,X
