sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhF3bBzcBOpBx?lBtpB8qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB
JILTOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JILSTZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JILSTOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JILSZTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSOTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JILSOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZTSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JILZTOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JILZSTO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZOTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JILZOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOTSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JILOTZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JILOSTZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JILOSZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JILOZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTLZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISTLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISTZLO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISTZOL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISTOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISTOZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISLTZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISLTOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISLZTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLOTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISLOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZTLO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISZTOL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISZLTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZOTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISZOLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOTLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISOTZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISOLTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISOLZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOZTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISOZLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JIZTLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JIZTSLO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JIZTSOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZTOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JIZTOSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZLTSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JIZLTOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JIZLSTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLOTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZLOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSTLO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZSTOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZSLTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZSOLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZOTSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZOLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZOLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOSTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZOSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOTLSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JIOTLZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JIOTSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOTSZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JIOTZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOTZSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOLTSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JIOLTZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
JIOLSTZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JIOLSZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JIOLZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSTLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOSTZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOSLTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOSLZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOSZLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOZTSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOZLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOZSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTISZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLTISOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLTIZSO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
JLTIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JLTIOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLTSIZO,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLTSIOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLTSZIO,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
JLTSZOI,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
JLTSOIZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLTSOZI,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLTZISO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JLTZIOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
JLTZSIO,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O
JLTZSOI,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
JLTZOIS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
JLTZOSI,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
JLTOISZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTOIZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLTOSIZ,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLTOSZI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLTOZIS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTOZSI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLITSZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLITSOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLITZSO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JLITZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JLITOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLITOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLISTZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLISTOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLISZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLISZOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLISOTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLISOZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JLIZTOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLIZSTO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLIZSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLIZOTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JLIZOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLIOTSZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIOTZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLIOSTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLIOSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLIOZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSTIZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSTIOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSTZIO,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JLSTZOI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JLSTOIZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSTOZI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSITZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLSITOZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLSIZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSIZOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSIOTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLSIOZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTIO,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSZTOI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSZITO,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSZIOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSZOTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSZOIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSOTIZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOTZI,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOITZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLSOIZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOZIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTISO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JLZTIOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
JLZTSIO,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JLZTSOI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTOIS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
JLZTOSI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZITSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
JLZITOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JLZISTO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLZISOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLZIOTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JLZIOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLZSTIO,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JLZSTOI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZSITO,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLZSIOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLZSOTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZSOIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLZOTIS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
JLZOTSI,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZOITS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JLZOIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLZOSTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZOSIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLOTISZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOTIZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOTSIZ,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLOTSZI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLOTZIS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTZSI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JLOITSZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOISTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOISZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOIZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLOSTIZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSTZI,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSITZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLOSIZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSZIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOZTIS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JLOZTSI,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOZITS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JLOZIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLOZSTI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
