sequence,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je07IvhFxcBXeB2lBz?hBSoBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF2hBfjB6jBU?iBxlBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jex7IvhF8iB+jBTgBi?hBXiBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jex7IvhF6jBTgB/mBF?iB8nBOsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeKAJvhFfhBxcB8iB+?jBzhBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhFzcBGeB3gBU?jBxmBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF0cBxdBylBG?jBfsBlsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhFWiBxdB3gBT?jBlmBcsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeOAJvhFxcB6jBzgBF?iB8nBfsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeOAJvhF8gBzcBfjB6?jBxmBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je0AJvhFxhBXjBigBz?hBGjBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhF3cBTeB1lBW?sBxsBcsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF6jBOnB8nBx?lB/mBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je2AJvhFCdBxiB3gBT?jBlmBcsB
TLSOZIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TLSOZJI,O,X,X,O,O,X,O,O,O,X,X,X,X,X
TLZIJSO,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TLZIJOS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TLZISJO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TLZISOJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TLZIOJS,X,O,X,X,X,O,O,X,X,O,X,O,O,X
TLZIOSJ,X,O,X,X,X,O,O,X,X,O,X,X,X,X
TLZJISO,O,X,X,X,O,O,X,X,X,O,X,O,O,X
TLZJIOS,O,X,O,X,O,O,O,X,X,O,X,O,O,X
TLZJSIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
TLZJSOI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLZJOIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLZJOSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,O,X,O,O,O,X,X,X
TLZSIOJ,O,O,X,O,X,X,O,X,O,O,O,X,X,X
TLZSJIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
TLZSJOI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TLZSOJI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
TLZOIJS,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLZOISJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLZOJSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLZOSIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TLZOSJI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
TLOIJSZ,O,O,O,X,O,X,O,X,O,X,X,O,X,X
TLOIJZS,O,O,O,X,O,X,X,X,O,X,X,O,X,X
TLOISJZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLOISZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,X,O,X,O,X,O,X,X,O,X,X
TLOJIZS,O,X,O,X,O,X,O,X,O,X,X,O,X,X
TLOJSIZ,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLOJSZI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLOJZIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLOJZSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLOSIJZ,O,O,O,X,O,X,O,O,O,O,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,O,X,X,O,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLOSJZI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TLOSZJI,O,X,X,O,O,X,O,O,O,X,X,X,X,X
TLOZIJS,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOZISJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOZJIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLOZJSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLOZSIJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TLOZSJI,O,X,X,O,O,X,O,X,O,X,X,X,X,X
TJILSZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TJILSOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TJILZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TJILZOS,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TJILOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TJILOZS,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TJISLZO,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TJISLOZ,X,O,X,X,X,O,O,O,X,O,X,O,X,X
TJISZLO,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TJISZOL,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TJISOLZ,X,O,X,X,X,O,O,O,X,O,X,O,X,X
TJISOZL,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TJIZLSO,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TJIZLOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJIZSLO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TJIZSOL,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TJIZOLS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJIZOSL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJIOLSZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TJIOLZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TJIOSLZ,O,O,O,X,X,O,X,O,X,O,X,O,X,X
TJIOSZL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJIOZLS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
