sequence,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB3gBcmBy?nBWwBFsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB8nBllBa?sBXrBGrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhF3gBFiB8nB6?rBOsBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFOiBFhBziB6?qBcrBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFOiBziBllBx?rBqrBXrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB8nBllBm?rB3rBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFOiBziBllBc?rBXsBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhF0dB1lBmhBq?rB3nBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeX8IvhFFiB8nBxlB6?qBOsBTrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhF5hB1lBiiB0?iBzqBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFmiBllBxrBq?rBTnBXrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jel7IvhFCdB/mBmiB0?lBTnBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFeiBfjBllBc?sBTrBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFxcBmiBllBT?nBXrBqrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeX8IvhFmiBllBxrBq?rBTnB0qB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhF0dB1lBRnBz?qBCsBfsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex8IvhFmiBllB3mBc?sB6qBTrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFmiBllBcrBT?nBCrBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFXdB1lBziBU?nBSrBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFzcBfjBylBW?wBxrBFsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je/BJvhFGdBZnB8nBl?lBTrB6qB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFaiBfjB1lB5?mBcsBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFTdB1lBfnB8?nBSrBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFfjBWnBllBK?nB0rBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeC9IvhF3gB8qBRnBl?nBzrBmqB
JTSLZIO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JTSLZOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JTSLOIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSLOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JTSZILO,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X
JTSZIOL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X
JTSZLIO,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JTSZLOI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JTSZOIL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JTSZOLI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JTSOILZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JTSOIZL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JTSOLIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JTSOLZI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JTSOZIL,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JTSOZLI,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JTZILSO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JTZILOS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZISLO,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JTZISOL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JTZIOLS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JTZIOSL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JTZLISO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JTZLIOS,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZLSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JTZLSOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JTZLOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZLOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSILO,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X
JTZSIOL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,X,X
JTZSLIO,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JTZSLOI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JTZSOIL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JTZSOLI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JTZOILS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JTZOISL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JTZOLIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JTZOLSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTZOSIL,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JTZOSLI,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
JTOILSZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JTOILZS,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JTOISLZ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JTOISZL,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JTOIZLS,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JTOIZSL,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JTOLISZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JTOLIZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JTOLSIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTOLSZI,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JTOLZIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTOLZSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSILZ,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JTOSIZL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JTOSLIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JTOSLZI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JTOSZIL,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JTOSZLI,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JTOZILS,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JTOZISL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JTOZLIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JTOZLSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTOZSIL,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JTOZSLI,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JITLSZO,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JITLSOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JITLZSO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JITLZOS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JITLOSZ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JITLOZS,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JITSLZO,X,O,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X
JITSLOZ,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JITSZLO,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JITSZOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JITSOLZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JITSOZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X
JITZLSO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JITZLOS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JITZSLO,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JITZSOL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JITZOLS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JITZOSL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JITOLSZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JITOLZS,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JITOSLZ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JITOSZL,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JITOZLS,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JITOZSL,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JILTSZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JILTSOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JILTZSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JILTZOS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILTOSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JILTOZS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JILSTZO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JILSTOZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JILSZTO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JILSZOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSOTZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSOZT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JILZTOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZSTO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JILZSOT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZOTS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZOST,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOTSZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOTZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JILOSTZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOSZT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOZTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOZST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTLZO,X,O,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X
JISTLOZ,O,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JISTZLO,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JISTZOL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JISTOLZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JISTOZL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X
JISLTZO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JISLTOZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JISLZTO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JISLZOT,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLOTZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLOZT,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZTLO,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JISZTOL,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JISZLTO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JISZLOT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZOTL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JISZOLT,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOTLZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JISOTZL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JISOLTZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOLZT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOZTL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JISOZLT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTLSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JIZTLOS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTSLO,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JIZTSOL,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JIZTOLS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JIZTOSL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JIZLTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JIZLTOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLSTO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZLSOT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLOTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLOST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSTLO,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JIZSTOL,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JIZSLTO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZSLOT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSOTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
JIZSOLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOTLS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JIZOTSL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JIZOLTS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOSTL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JIZOSLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOTLSZ,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JIOTLZS,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JIOTSLZ,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOTSZL,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JIOTZLS,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JIOTZSL,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JIOLTSZ,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLTZS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JIOLSTZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLSZT,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSTLZ,X,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JIOSTZL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JIOSLTZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSLZT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZTL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JIOSZLT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTLS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JIOZTSL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JIOZLTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZLST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSTL,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O
JIOZSLT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTISZO,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JLTISOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTIZSO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JLTIZOS,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIOSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JLTIOZS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLTSIZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSZIO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLTSZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLTSOIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLTZISO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLTZIOS,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZOIS,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZOSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOISZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTOIZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLTOSIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTOSZI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLTOZIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTOZSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITSZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JLITSOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITZSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JLITZOS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITOSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITOZS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLISTZO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLISTOZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLISZTO,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLISZOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOTZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
