sequence,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBWqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jex6IvhFXcBldB6kB2?lBUiBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBTiBf?qBllBGqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRbB3dBFhBU?iBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFXcBldBUiBR?lBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jem6IvhFRdB0fBFhBT?iBSqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRdBFhBTiBC?lB3lBUqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBWqB3qB
ILOTJSZ,X,O,O,X,X,X,X,X,O,X
ILOTJZS,O,O,O,X,X,X,X,O,O,O
ILOTSJZ,O,X,O,O,X,X,X,X,O,X
ILOTSZJ,O,X,X,O,X,O,X,O,X,X
ILOTZJS,O,O,O,X,X,X,X,O,O,X
ILOTZSJ,O,X,O,O,X,X,X,O,X,X
ILOJTSZ,X,O,O,X,X,X,X,X,O,X
ILOJTZS,O,O,O,X,X,X,X,O,O,O
ILOJSTZ,O,O,O,O,X,X,X,X,O,X
ILOJSZT,O,O,O,O,X,O,X,X,X,O
ILOJZTS,O,O,O,X,X,X,X,O,O,O
ILOJZST,O,O,O,O,X,X,X,O,X,O
ILOSTJZ,O,X,O,O,X,X,X,X,O,X
ILOSTZJ,O,X,X,O,X,O,X,O,X,X
ILOSJTZ,O,O,O,O,X,X,X,X,O,X
ILOSJZT,O,O,O,O,X,O,X,X,X,O
ILOSZTJ,O,X,O,O,X,O,X,O,X,X
ILOSZJT,O,O,O,O,X,O,X,O,X,X
ILOZTJS,O,O,O,X,X,X,X,O,O,X
ILOZTSJ,O,X,O,O,X,X,X,O,X,X
ILOZJTS,O,O,O,X,X,X,X,O,O,O
ILOZJST,O,O,O,O,X,X,X,O,X,O
ILOZSTJ,O,X,O,O,X,O,X,O,X,X
ILOZSJT,O,O,O,O,X,O,X,O,X,X
IJTLSZO,X,O,O,X,O,X,X,X,X,X
IJTLSOZ,X,O,O,X,X,X,X,X,X,X
IJTLZSO,O,O,O,X,X,X,X,X,X,X
IJTLZOS,O,O,X,X,X,X,X,X,X,X
IJTLOSZ,X,O,O,X,X,X,X,X,X,X
IJTLOZS,X,O,X,X,X,X,X,X,X,X
IJTSLZO,O,O,O,X,O,X,X,X,X,X
IJTSLOZ,O,O,O,X,O,X,X,X,X,X
IJTSZLO,O,O,O,X,O,X,O,X,X,X
IJTSZOL,O,O,O,X,O,X,O,X,X,X
IJTSOLZ,O,O,O,X,O,X,X,X,X,X
IJTSOZL,O,O,O,X,O,X,X,X,X,X
IJTZLSO,O,O,O,X,X,X,O,X,X,X
IJTZLOS,O,O,X,X,X,X,X,X,X,O
IJTZSLO,O,O,O,X,O,X,O,X,X,X
IJTZSOL,O,O,O,X,O,X,O,X,X,X
IJTZOLS,X,O,X,X,X,X,X,X,X,O
IJTZOSL,X,O,O,X,X,X,O,X,X,O
IJTOLSZ,X,O,X,X,X,X,X,X,O,X
IJTOLZS,X,O,X,X,X,X,X,X,O,O
IJTOSLZ,X,O,O,X,X,X,X,X,O,X
IJTOSZL,X,O,O,X,O,X,X,X,X,O
IJTOZLS,X,O,X,X,X,X,X,X,O,O
IJTOZSL,X,O,X,X,X,X,X,X,X,O
IJLTSZO,X,O,O,X,O,X,X,X,X,X
IJLTSOZ,X,O,O,X,O,X,X,X,X,X
IJLTZSO,O,O,O,X,O,X,X,X,X,X
IJLTZOS,O,O,O,X,X,X,X,X,X,X
IJLTOSZ,X,O,O,X,O,X,X,X,O,X
IJLTOZS,X,O,X,X,X,X,X,X,O,X
IJLSTZO,O,O,O,O,O,X,X,X,X,X
IJLSTOZ,O,O,O,X,O,X,X,X,X,X
IJLSZTO,O,O,O,O,X,X,O,X,X,X
IJLSZOT,O,O,O,O,X,X,X,X,X,X
IJLSOTZ,O,O,O,X,X,X,X,X,X,X
IJLSOZT,O,O,O,X,X,X,X,X,X,X
IJLZTSO,O,O,O,X,X,X,O,X,X,X
IJLZTOS,O,O,O,X,X,X,X,X,X,O
IJLZSTO,O,O,O,O,X,X,O,X,X,X
IJLZSOT,O,O,O,O,X,X,X,X,X,X
IJLZOTS,O,O,O,X,X,X,X,X,X,O
IJLZOST,O,O,O,O,X,X,X,X,X,O
IJLOTSZ,X,O,O,X,X,X,X,X,O,X
IJLOTZS,O,O,X,X,X,X,X,X,O,O
IJLOSTZ,X,O,O,X,X,X,X,X,O,X
IJLOSZT,O,O,O,X,X,X,X,X,X,O
IJLOZTS,O,O,O,X,X,X,X,X,O,O
IJLOZST,O,O,O,X,X,X,X,X,X,O
IJSTLZO,O,O,O,O,O,X,X,X,X,X
IJSTLOZ,O,O,O,X,O,X,X,X,X,X
IJSTZLO,O,O,O,O,O,X,O,X,X,X
IJSTZOL,O,O,O,X,O,X,O,X,X,X
IJSTOLZ,O,O,O,X,O,X,X,X,X,X
IJSTOZL,O,O,O,X,O,X,X,X,X,X
IJSLTZO,O,O,O,O,O,X,X,X,X,X
IJSLTOZ,O,O,O,X,O,X,X,X,X,X
IJSLZTO,O,O,O,O,X,X,O,X,X,X
IJSLZOT,O,O,O,O,X,X,X,X,X,X
IJSLOTZ,O,O,O,X,X,X,X,X,X,X
IJSLOZT,O,O,O,X,X,X,X,X,X,X
IJSZTLO,O,O,O,X,X,X,O,X,X,X
IJSZTOL,O,O,O,X,X,X,O,X,X,X
IJSZLTO,O,O,O,O,X,X,O,X,X,X
IJSZLOT,O,O,O,O,X,X,X,X,X,X
IJSZOTL,O,O,O,X,X,X,O,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X,X,X
IJSOZTL,O,O,O,X,X,X,O,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X,X,X
IJZTLSO,O,O,O,X,X,X,O,X,X,X
IJZTLOS,O,O,O,X,X,X,X,X,X,O
IJZTSLO,O,O,O,X,X,X,O,X,X,X
IJZTSOL,O,O,O,X,X,X,O,X,X,X
IJZTOLS,X,O,X,X,X,X,O,X,X,O
IJZTOSL,X,O,O,X,X,X,O,X,X,O
IJZLTSO,O,O,O,X,X,X,O,X,X,X
IJZLTOS,O,O,O,X,X,X,X,X,X,O
IJZLSTO,O,O,O,O,X,X,O,X,X,X
IJZLSOT,O,O,O,O,X,X,X,X,X,X
IJZLOTS,O,O,O,X,X,X,X,X,X,O
IJZLOST,O,O,O,O,X,X,X,X,X,O
IJZSTLO,O,O,O,X,X,X,O,X,X,X
IJZSTOL,O,O,O,X,X,X,O,X,X,X
IJZSLTO,O,O,O,O,X,X,O,X,X,X
IJZSLOT,O,O,O,O,X,X,X,X,X,X
IJZSOTL,O,O,O,X,X,X,O,X,X,X
IJZSOLT,O,O,X,X,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,O,X,X,O
IJZOTSL,O,O,O,X,X,X,O,X,X,O
IJZOLTS,O,O,X,X,X,X,O,X,X,O
IJZOLST,O,O,X,X,X,X,O,X,X,O
IJZOSTL,O,O,O,X,X,X,O,X,X,O
IJZOSLT,O,O,X,X,X,X,O,X,X,O
IJOTLSZ,X,O,X,X,X,X,X,X,O,X
IJOTLZS,O,O,X,X,X,X,X,X,O,O
IJOTSLZ,O,O,O,X,X,X,X,X,O,X
IJOTSZL,O,O,O,X,X,X,X,X,X,O
IJOTZLS,O,O,X,X,X,X,X,X,O,O
IJOTZSL,O,O,X,X,X,X,X,X,X,O
IJOLTSZ,X,O,X,X,X,X,X,X,O,X
IJOLTZS,O,O,X,X,X,X,X,X,O,O
IJOLSTZ,O,O,X,X,X,X,X,X,O,X
IJOLSZT,O,O,X,X,X,X,X,X,X,O
IJOLZTS,O,O,X,X,X,X,X,X,O,O
IJOLZST,O,O,X,X,X,X,X,X,X,O
IJOSTLZ,O,O,O,X,X,X,X,X,O,X
IJOSTZL,O,O,O,X,X,X,X,X,X,O
IJOSLTZ,O,O,X,X,X,X,X,X,O,X
IJOSLZT,O,O,X,X,X,X,X,X,X,O
IJOSZTL,O,O,O,X,X,X,O,X,X,O
IJOSZLT,O,O,X,X,X,X,X,X,X,O
IJOZTLS,O,O,X,X,X,X,X,X,O,O
IJOZTSL,O,O,O,X,X,X,O,X,X,O
IJOZLTS,O,O,X,X,X,X,X,X,O,O
IJOZLST,O,O,X,X,X,X,X,X,X,O
IJOZSTL,O,O,O,X,X,X,O,X,X,O
IJOZSLT,O,O,X,X,X,X,X,X,X,O
ISTLJZO,O,X,X,O,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,O,X,X,X,X,X
ISTLZJO,O,X,X,O,O,X,X,X,X,X
ISTLZOJ,O,X,X,O,X,X,X,X,X,X
ISTLOJZ,O,X,X,O,O,X,X,X,X,X
ISTLOZJ,O,X,X,O,X,X,X,X,X,X
ISTJLZO,O,X,X,O,O,X,X,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,X,X,X
ISTJZLO,O,X,X,O,O,X,O,X,X,X
ISTJZOL,O,X,X,X,O,X,O,X,X,X
ISTJOLZ,O,X,X,X,O,X,X,X,X,X
ISTJOZL,O,X,X,X,O,X,X,X,X,X
ISTZLJO,O,X,X,O,X,X,O,X,X,X
ISTZLOJ,O,X,X,O,X,O,X,X,X,X
ISTZJLO,O,X,X,O,O,X,O,X,X,X
ISTZJOL,X,X,X,X,O,X,O,X,X,X
ISTZOLJ,O,X,X,O,X,O,X,X,X,X
ISTZOJL,O,X,X,O,X,O,O,X,X,X
ISTOLJZ,O,X,X,O,O,X,X,X,X,X
ISTOLZJ,O,X,X,O,O,O,X,X,X,X
ISTOJLZ,O,X,X,O,O,X,X,X,X,X
ISTOJZL,O,X,X,O,O,O,X,X,X,X
ISTOZLJ,O,X,X,O,X,O,X,X,X,X
ISTOZJL,O,X,X,O,O,O,X,X,X,X
ISLTJZO,O,X,X,O,O,X,X,X,X,X
ISLTJOZ,O,X,X,X,O,X,X,X,X,X
ISLTZJO,O,X,X,O,O,X,X,X,X,X
ISLTZOJ,O,X,X,O,X,X,X,X,X,X
ISLTOJZ,O,X,X,O,O,X,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,X
ISLJTZO,O,O,X,O,O,X,X,X,X,X
ISLJTOZ,O,O,X,X,O,X,X,X,X,X
ISLJZTO,O,O,X,O,X,X,O,X,X,X
ISLJZOT,O,O,X,O,X,X,X,X,X,X
ISLJOTZ,O,O,X,X,X,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,X,X,X,X
ISLZTJO,O,X,X,O,X,X,O,X,X,X
ISLZTOJ,O,X,X,O,X,O,X,X,X,X
ISLZJTO,O,O,X,O,X,X,O,X,X,X
ISLZJOT,O,O,X,O,X,X,X,X,X,X
ISLZOTJ,O,X,X,O,X,O,X,X,X,X
ISLZOJT,O,O,X,O,X,O,X,X,X,X
ISLOTJZ,O,X,X,O,X,X,X,X,X,X
ISLOTZJ,O,X,X,O,X,O,X,X,X,X
ISLOJTZ,O,X,X,O,X,X,X,X,X,X
ISLOJZT,O,X,X,O,X,O,X,X,X,X
ISLOZTJ,O,X,X,O,X,O,X,X,X,X
ISLOZJT,O,X,X,O,X,O,X,X,X,X
ISJTLZO,O,O,X,O,O,X,X,X,X,X
ISJTLOZ,O,O,X,X,O,X,X,X,X,X
ISJTZLO,O,O,X,O,O,X,O,X,X,X
ISJTZOL,O,O,X,X,O,X,O,X,X,X
ISJTOLZ,O,O,X,X,O,X,X,X,X,X
ISJTOZL,O,O,X,X,O,X,X,X,X,X
ISJLTZO,O,O,X,O,O,X,X,X,X,X
ISJLTOZ,O,O,X,X,O,X,X,X,X,X
ISJLZTO,O,O,X,O,X,X,O,X,X,X
ISJLZOT,O,O,X,O,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,O,X,X,X
ISJZTOL,O,O,X,X,X,X,O,X,X,X
ISJZLTO,O,O,X,O,X,X,O,X,X,X
ISJZLOT,O,O,X,O,X,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,O,X,X,X
ISJZOLT,O,O,X,X,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,O,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X,X,X
ISZTLJO,O,X,X,O,X,X,O,X,X,X
ISZTLOJ,O,X,X,O,X,O,X,X,X,X
ISZTJLO,O,X,X,O,X,X,O,X,X,X
ISZTJOL,X,X,X,X,X,X,O,X,X,X
ISZTOLJ,O,X,X,O,X,O,O,X,X,X
ISZTOJL,O,X,X,X,X,O,O,X,X,X
ISZLTJO,O,X,X,O,X,X,O,X,X,X
ISZLTOJ,O,X,X,O,X,O,X,X,X,X
ISZLJTO,O,O,X,O,X,X,O,X,X,X
ISZLJOT,O,O,X,O,X,X,X,X,X,X
ISZLOTJ,O,X,X,O,X,O,X,X,X,X
ISZLOJT,O,O,X,O,X,O,X,X,X,X
ISZJTLO,O,O,X,X,X,X,O,X,X,X
ISZJTOL,O,O,X,X,X,X,O,X,X,X
ISZJLTO,O,O,X,O,X,X,O,X,X,X
ISZJLOT,O,O,X,O,X,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,O,X,X,X
ISZJOLT,O,O,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,O,X,O,O,X,X,X
ISZOTJL,O,X,X,X,X,O,O,X,X,X
ISZOLTJ,O,X,X,O,X,O,O,X,X,X
ISZOLJT,O,X,X,O,X,O,O,X,X,X
ISZOJTL,O,X,X,X,X,O,O,X,X,X
ISZOJLT,O,X,X,O,X,O,O,X,X,X
ISOTLJZ,O,X,X,O,O,X,X,X,X,X
ISOTLZJ,O,X,X,O,O,O,X,X,X,X
ISOTJLZ,O,X,X,O,O,X,X,X,X,X
ISOTJZL,O,X,X,O,O,O,X,X,X,X
ISOTZLJ,O,X,X,O,X,O,X,X,X,X
ISOTZJL,O,X,X,O,O,O,X,X,X,X
ISOLTJZ,O,X,X,O,O,X,X,X,X,X
ISOLTZJ,O,X,X,O,O,O,X,X,X,X
ISOLJTZ,O,X,X,O,O,X,X,X,X,X
ISOLJZT,O,X,X,O,X,O,X,X,X,X
ISOLZTJ,O,X,X,O,X,O,X,X,X,X
ISOLZJT,O,X,X,O,X,O,X,X,X,X
ISOJTLZ,O,X,X,O,O,X,X,X,X,X
ISOJTZL,O,X,X,O,O,O,X,X,X,X
ISOJLTZ,O,X,X,O,O,X,X,X,X,X
ISOJLZT,O,X,X,O,X,O,X,X,X,X
ISOJZTL,O,X,X,X,X,O,O,X,X,X
ISOJZLT,O,X,X,O,X,O,X,X,X,X
ISOZTLJ,O,X,X,O,X,O,X,X,X,X
ISOZTJL,O,X,X,O,X,O,O,X,X,X
ISOZLTJ,O,X,X,O,X,O,X,X,X,X
ISOZLJT,O,X,X,O,X,O,X,X,X,X
ISOZJTL,O,X,X,X,X,O,O,X,X,X
ISOZJLT,O,X,X,O,X,O,X,X,X,X
IZTLJSO,O,O,O,X,X,X,O,X,X,X
IZTLJOS,O,O,O,X,X,X,X,X,X,X
IZTLSJO,O,X,O,O,X,X,O,X,X,X
IZTLSOJ,O,X,O,O,X,X,X,X,X,X
IZTLOJS,O,O,O,X,X,X,O,X,X,X
IZTLOSJ,O,X,O,O,X,X,O,X,X,X
IZTJLSO,O,O,O,X,X,X,O,X,X,X
IZTJLOS,O,O,O,X,X,X,X,X,X,X
IZTJSLO,O,O,O,X,X,X,O,X,X,X
IZTJSOL,O,O,O,X,X,X,O,X,X,X
IZTJOLS,X,O,X,X,X,X,O,X,X,X
IZTJOSL,X,X,O,X,X,X,O,X,X,X
IZTSLJO,O,X,O,O,X,X,O,X,X,X
IZTSLOJ,O,X,O,O,X,X,X,X,X,X
IZTSJLO,O,X,O,X,X,X,O,X,X,X
IZTSJOL,X,X,O,X,X,X,O,X,X,X
IZTSOLJ,O,X,O,X,X,X,O,X,X,X
IZTSOJL,X,X,O,X,X,X,O,X,X,X
IZTOLJS,X,X,O,X,X,X,O,X,X,X
IZTOLSJ,X,X,O,X,X,X,O,X,X,X
IZTOJLS,X,X,O,X,X,X,O,X,X,X
IZTOJSL,X,X,O,X,X,X,O,X,X,X
IZTOSLJ,X,X,O,X,X,X,O,X,X,X
IZTOSJL,X,X,O,X,X,X,O,X,X,X
IZLTJSO,O,O,O,X,X,X,O,X,X,X
IZLTJOS,O,O,O,X,X,X,X,O,X,X
IZLTSJO,O,X,O,O,X,X,O,X,X,X
IZLTSOJ,O,X,O,O,X,X,X,X,X,X
IZLTOJS,O,O,O,X,X,X,O,O,X,X
IZLTOSJ,O,X,O,O,X,X,O,O,X,X
IZLJTSO,O,O,O,X,X,X,O,X,X,X
IZLJTOS,O,O,O,X,X,X,X,O,X,X
IZLJSTO,O,O,O,O,X,X,O,X,X,X
IZLJSOT,O,O,O,O,X,X,X,X,X,X
IZLJOTS,O,O,O,X,X,X,X,O,X,X
IZLJOST,O,O,O,O,X,X,X,O,X,X
IZLSTJO,O,X,O,O,X,X,O,X,X,X
IZLSTOJ,O,X,O,O,X,X,X,X,X,X
IZLSJTO,O,O,O,O,X,X,O,X,X,X
IZLSJOT,O,O,O,O,X,X,X,X,X,X
IZLSOTJ,O,X,O,O,X,X,X,X,X,X
IZLSOJT,O,O,X,O,X,X,X,X,X,X
IZLOTJS,O,O,O,X,X,X,O,O,X,X
IZLOTSJ,O,X,O,O,X,X,O,O,X,X
IZLOJTS,O,O,O,X,X,X,O,O,X,X
IZLOJST,O,O,O,O,X,X,O,O,X,X
IZLOSTJ,O,X,O,O,X,X,O,O,X,X
IZLOSJT,O,O,O,O,X,X,O,O,X,X
IZJTLSO,O,O,O,X,X,X,O,X,X,X
IZJTLOS,O,O,O,X,X,X,X,X,X,X
IZJTSLO,O,O,O,X,X,X,O,X,X,X
IZJTSOL,O,O,O,X,X,X,O,X,X,X
IZJTOLS,X,O,X,X,X,X,O,X,X,X
IZJTOSL,X,O,O,X,X,X,O,X,X,X
IZJLTSO,O,O,O,X,X,X,O,X,X,X
IZJLTOS,O,O,O,X,X,X,X,X,X,X
IZJLSTO,O,O,O,O,X,X,O,X,X,X
IZJLSOT,O,O,O,O,X,X,X,X,X,X
IZJLOTS,O,O,O,X,X,X,X,X,X,X
IZJLOST,O,O,O,O,X,X,X,X,X,X
IZJSTLO,O,O,O,X,X,X,O,X,X,X
IZJSTOL,O,O,O,X,X,X,O,X,X,X
IZJSLTO,O,O,O,O,X,X,O,X,X,X
IZJSLOT,O,O,O,O,X,X,X,X,X,X
IZJSOTL,O,O,O,X,X,X,O,X,X,X
IZJSOLT,O,O,X,X,X,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,O,X,X,X
IZJOTSL,O,O,O,X,X,X,O,X,X,X
IZJOLTS,O,O,X,X,X,X,O,X,X,X
IZJOLST,O,O,X,X,X,X,O,X,X,X
IZJOSTL,O,O,O,X,X,X,O,X,X,X
IZJOSLT,O,O,X,X,X,X,O,X,X,X
IZSTLJO,O,X,O,O,X,X,O,X,X,X
IZSTLOJ,O,X,O,O,X,X,X,X,X,X
IZSTJLO,O,X,O,O,X,X,O,X,X,X
IZSTJOL,X,X,O,X,X,X,O,X,X,X
IZSTOLJ,O,X,O,O,X,X,O,X,X,X
IZSTOJL,O,X,O,X,X,X,O,X,X,X
IZSLTJO,O,X,O,O,X,X,O,X,X,X
IZSLTOJ,O,X,O,O,X,X,X,X,X,X
IZSLJTO,O,O,O,O,X,X,O,X,X,X
IZSLJOT,O,O,O,O,X,X,X,X,X,X
IZSLOTJ,O,X,O,O,X,X,X,X,X,X
IZSLOJT,O,O,X,O,X,X,X,X,X,X
IZSJTLO,O,O,O,X,X,X,O,X,X,X
IZSJTOL,O,O,O,X,X,X,O,X,X,X
IZSJLTO,O,O,O,O,X,X,O,X,X,X
IZSJLOT,O,O,O,O,X,X,X,X,X,X
IZSJOTL,O,O,O,X,X,X,O,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,O,O,X,X,O,X,X,X
IZSOTJL,O,X,O,X,X,X,O,X,X,X
IZSOLTJ,O,X,O,O,X,X,O,X,X,X
IZSOLJT,O,X,O,O,X,X,O,X,X,X
IZSOJTL,O,X,O,X,X,X,O,X,X,X
IZSOJLT,O,X,O,O,X,X,O,X,X,X
IZOTLJS,O,O,O,X,X,X,O,O,X,X
IZOTLSJ,O,X,O,O,X,X,O,O,X,X
IZOTJLS,O,O,O,X,X,X,O,X,X,X
IZOTJSL,O,O,O,X,X,X,O,X,X,X
IZOTSLJ,O,X,O,O,X,X,O,X,X,X
IZOTSJL,O,X,O,X,X,X,O,X,X,X
IZOLTJS,O,O,O,X,X,X,O,O,X,X
IZOLTSJ,O,X,O,O,X,X,O,O,X,X
IZOLJTS,O,O,O,X,X,X,O,O,X,X
IZOLJST,O,O,O,O,X,X,O,O,X,X
IZOLSTJ,O,X,O,O,X,X,O,O,X,X
IZOLSJT,O,O,O,O,X,X,O,O,X,X
IZOJTLS,O,O,O,X,X,X,O,X,X,X
IZOJTSL,O,O,O,X,X,X,O,X,X,X
IZOJLTS,O,O,O,X,X,X,O,O,X,X
IZOJLST,O,O,O,O,X,X,O,O,X,X
IZOJSTL,O,O,O,X,X,X,O,X,X,X
IZOJSLT,O,O,O,O,X,X,O,X,X,X
IZOSTLJ,O,X,O,O,X,X,O,X,X,X
IZOSTJL,O,X,O,X,X,X,O,X,X,X
IZOSLTJ,O,X,O,O,X,X,O,O,X,X
IZOSLJT,O,O,O,O,X,X,O,O,X,X
IZOSJTL,O,O,O,X,X,X,O,X,X,X
IZOSJLT,O,O,O,O,X,X,O,X,X,X
IOTLJSZ,X,O,O,X,O,X,X,X,O,X
IOTLJZS,O,O,O,X,O,X,X,O,O,O
IOTLSJZ,O,X,O,O,O,X,X,X,O,X
IOTLSZJ,O,X,X,O,O,O,X,O,X,X
IOTLZJS,O,O,O,X,O,X,X,O,O,X
IOTLZSJ,O,X,X,O,O,X,X,O,X,X
IOTJLSZ,X,O,O,X,O,X,X,X,O,X
IOTJLZS,O,O,O,X,X,X,X,O,O,O
IOTJSLZ,O,O,O,X,O,X,X,X,O,X
IOTJSZL,O,O,O,X,O,O,O,X,X,O
IOTJZLS,O,O,X,X,X,X,O,X,O,O
IOTJZSL,O,O,O,X,O,X,O,X,X,O
IOTSLJZ,O,X,X,O,O,X,X,X,O,X
IOTSLZJ,O,X,X,O,O,O,X,O,X,X
IOTSJLZ,O,X,X,O,O,X,X,X,O,X
IOTSJZL,O,X,X,O,O,O,O,X,X,O
IOTSZLJ,O,X,X,O,X,O,O,X,X,X
IOTSZJL,O,X,X,O,O,O,O,X,X,X
IOTZLJS,O,O,X,X,X,X,O,O,O,X
IOTZLSJ,O,X,X,O,X,X,O,O,X,X
IOTZJLS,O,O,X,X,X,X,O,X,O,O
IOTZJSL,O,O,X,X,O,X,O,X,X,O
IOTZSLJ,O,X,X,O,X,O,O,X,X,X
IOTZSJL,O,X,X,X,O,O,O,X,X,X
IOLTJSZ,X,O,O,X,O,X,X,X,O,X
IOLTJZS,O,O,O,X,O,X,X,O,O,O
IOLTSJZ,O,X,O,O,O,X,X,X,O,X
IOLTSZJ,O,X,X,O,O,O,X,O,X,X
IOLTZJS,O,O,O,X,O,X,X,O,O,X
IOLTZSJ,O,X,O,O,O,X,X,O,X,X
IOLJTSZ,X,O,O,X,O,X,X,X,O,X
IOLJTZS,O,O,O,X,O,X,X,O,O,O
IOLJSTZ,O,O,O,O,O,X,X,X,O,X
IOLJSZT,O,O,O,O,X,O,O,X,X,O
IOLJZTS,O,O,O,X,X,X,O,O,O,O
IOLJZST,O,O,O,O,X,X,O,O,X,O
IOLSTJZ,O,X,O,O,O,X,X,X,O,X
IOLSTZJ,O,X,X,O,O,O,X,O,X,X
IOLSJTZ,O,O,O,O,O,X,X,X,O,X
IOLSJZT,O,O,O,O,X,O,O,X,X,O
IOLSZTJ,O,X,O,O,X,O,O,O,X,X
IOLSZJT,O,O,O,O,X,O,O,O,X,X
IOLZTJS,O,O,O,X,X,X,O,O,O,X
IOLZTSJ,O,X,O,O,X,X,O,O,X,X
IOLZJTS,O,O,O,X,X,X,O,O,O,O
IOLZJST,O,O,O,O,X,X,O,O,X,O
IOLZSTJ,O,X,O,O,X,O,O,O,X,X
IOLZSJT,O,O,O,O,X,O,O,O,X,X
IOJTLSZ,X,O,O,X,O,X,X,X,O,X
IOJTLZS,O,O,O,X,X,X,X,O,O,O
IOJTSLZ,O,O,O,X,O,X,X,X,O,X
IOJTSZL,O,O,O,X,O,O,O,X,X,O
IOJTZLS,O,O,O,X,X,X,O,X,O,O
IOJTZSL,O,O,O,X,O,X,O,X,X,O
IOJLTSZ,X,O,O,X,O,X,X,X,O,X
IOJLTZS,O,O,O,X,O,X,X,O,O,O
IOJLSTZ,O,O,O,O,O,X,X,X,O,X
IOJLSZT,O,O,O,O,X,O,O,X,X,O
IOJLZTS,O,O,O,X,X,X,O,O,O,O
IOJLZST,O,O,O,O,X,X,O,O,X,O
IOJSTLZ,O,O,O,O,O,X,X,X,O,X
IOJSTZL,O,O,O,O,O,O,O,X,X,O
IOJSLTZ,O,O,O,O,O,X,X,X,O,X
IOJSLZT,O,O,O,O,X,O,O,X,X,O
IOJSZTL,O,O,O,X,X,O,O,X,X,O
IOJSZLT,O,O,O,O,X,O,O,X,X,O
IOJZTLS,O,O,O,X,X,X,O,X,O,O
IOJZTSL,O,O,O,X,X,X,O,X,X,O
IOJZLTS,O,O,O,X,X,X,O,O,O,O
IOJZLST,O,O,O,O,X,X,O,O,X,O
IOJZSTL,O,O,O,X,X,X,O,X,X,O
IOJZSLT,O,O,O,O,X,X,O,X,X,O
IOSTLJZ,O,X,X,O,O,X,X,X,O,X
IOSTLZJ,O,X,X,O,O,O,X,O,X,X
IOSTJLZ,O,X,X,O,O,X,X,X,O,X
IOSTJZL,O,X,X,O,O,O,O,X,X,O
IOSTZLJ,O,X,X,O,X,O,O,X,X,X
IOSTZJL,O,X,X,O,O,O,O,X,X,X
IOSLTJZ,O,X,X,O,O,X,X,X,O,X
IOSLTZJ,O,X,X,O,O,O,X,O,X,X
IOSLJTZ,O,O,X,O,O,X,X,X,O,X
IOSLJZT,O,O,X,O,X,O,O,X,X,O
IOSLZTJ,O,X,X,O,X,O,O,O,X,X
IOSLZJT,O,O,X,O,X,O,O,O,X,X
IOSJTLZ,O,O,X,O,O,X,X,X,O,X
IOSJTZL,O,O,X,O,O,O,O,X,X,O
IOSJLTZ,O,O,X,O,O,X,X,X,O,X
IOSJLZT,O,O,X,O,X,O,O,X,X,O
IOSJZTL,O,O,X,X,X,O,O,X,X,O
IOSJZLT,O,O,X,O,X,O,O,X,X,O
IOSZTLJ,O,X,X,O,X,O,O,X,X,X
