sequence,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfB3?hBlnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBGeBRiBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFRdBcjB3fBG?iBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeO/IvhF8fBCdBxiBX?jBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhFGeBRiBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFzcBcjB3fBx?mBFsBusB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfB5nBl?mBfnBisB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Je2/IvhFzcBFjB3fBx?mBCoBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBfiBxdBF?jB0mB+sB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF1mBxiBTfBX?jBGnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF+hBxiBTfB/?nBFjBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfBxmBS?sBfsBlsB
ITJZSLO,X,X,X,O,O,X,O,X,X,O,X,X,X
ITJZSOL,X,X,X,O,X,X,O,X,X,O,X,X,X
ITJZOLS,X,X,X,X,O,X,X,O,X,X,X,X,X
ITJZOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
ITJOLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
ITJOLZS,X,X,X,X,X,X,X,O,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X
ITJOSZL,X,X,X,X,X,X,O,O,O,X,X,X,X
ITJOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X
ITJOZSL,X,X,X,X,X,X,O,O,O,X,X,X,X
ITSLJZO,X,O,O,O,X,O,O,X,X,X,X,X,X
ITSLJOZ,X,O,O,X,X,O,O,X,X,X,O,X,X
ITSLZJO,X,O,O,O,O,O,O,X,X,X,X,X,X
ITSLZOJ,X,O,O,O,X,X,O,X,X,X,O,X,X
ITSLOJZ,X,O,O,X,X,O,O,X,X,X,O,X,X
ITSLOZJ,X,O,O,X,X,X,O,X,X,X,O,X,X
ITSJLZO,X,O,O,O,X,O,O,X,X,X,X,X,X
ITSJLOZ,X,O,O,X,X,O,O,X,X,X,X,X,X
ITSJZLO,X,X,O,O,X,O,O,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSJOLZ,X,X,O,X,X,O,O,X,O,X,X,X,X
ITSJOZL,X,X,X,X,X,X,O,X,O,X,X,X,X
ITSZLJO,X,X,O,O,O,O,O,X,X,X,X,X,X
ITSZLOJ,X,X,O,O,X,X,O,X,X,X,X,X,X
ITSZJLO,X,X,O,O,O,O,O,X,X,X,X,X,X
ITSZJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSZOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITSZOJL,X,X,X,X,X,X,O,O,X,X,X,X,X
ITSOLJZ,X,O,O,X,X,O,O,X,X,X,X,X,X
ITSOLZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,O,O,X,X,O,O,X,O,X,X,X,X
ITSOJZL,X,O,X,X,X,X,O,O,O,X,X,X,X
ITSOZLJ,X,O,X,X,X,X,O,O,X,X,X,X,X
ITSOZJL,X,O,X,X,X,X,O,O,X,X,X,X,X
ITZLJSO,X,X,X,X,O,X,X,X,X,X,O,X,X
ITZLJOS,X,X,X,X,O,X,X,X,X,X,O,X,X
ITZLSJO,X,X,X,O,O,X,O,X,X,X,O,X,X
ITZLSOJ,X,X,X,O,X,X,O,X,X,X,O,X,X
ITZLOJS,X,X,X,X,O,X,X,O,X,X,O,X,X
ITZLOSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
ITZJLSO,X,X,X,O,O,X,X,X,X,X,O,X,X
ITZJLOS,X,X,X,X,O,X,X,X,X,X,O,X,X
ITZJSLO,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZJSOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZJOLS,X,X,X,X,O,X,X,O,X,X,X,X,X
ITZJOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
ITZSLJO,X,X,X,O,O,X,O,X,X,X,O,X,X
ITZSLOJ,X,X,X,O,X,X,O,X,X,X,O,X,X
ITZSJLO,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZSJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITZSOJL,X,X,X,X,X,X,O,O,X,X,X,X,X
ITZOLJS,X,X,X,X,O,X,X,O,X,X,O,X,O
ITZOLSJ,X,X,X,X,X,X,O,O,X,X,O,X,O
ITZOJLS,X,X,X,X,O,X,X,O,X,X,X,X,O
ITZOJSL,X,X,X,X,X,X,O,O,O,X,X,X,X
ITZOSLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITZOSJL,X,X,X,X,X,X,O,O,X,X,X,X,X
ITOLJSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ITOLJZS,O,X,X,X,X,X,X,O,X,X,X,X,X
ITOLSJZ,O,X,X,X,X,X,O,X,X,X,O,X,X
ITOLSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
ITOLZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
ITOLZSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
ITOJLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ITOJLZS,O,X,X,X,X,X,X,O,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,O,X,O,X,X,X,X
ITOJSZL,X,O,X,X,X,X,O,O,O,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X,O,X,X,X,X,O
ITOJZSL,X,X,X,X,X,X,O,O,O,X,X,X,X
ITOSLJZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITOSLZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,O,X,O,X,X,X,X
ITOSJZL,X,O,X,X,X,X,O,O,O,X,X,X,X
ITOSZLJ,X,O,X,X,X,X,O,O,X,X,X,X,X
ITOSZJL,X,O,X,X,X,X,O,O,X,X,X,X,X
ITOZLJS,X,X,X,X,O,X,X,O,X,X,X,X,O
ITOZLSJ,X,X,X,X,X,X,O,O,X,X,X,X,O
ITOZJLS,X,X,X,X,O,X,X,O,X,X,X,X,O
ITOZJSL,X,X,X,X,X,X,O,O,O,X,X,X,X
ITOZSLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X,O,O,X,X,X,X,X
ILTJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
ILTJZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
ILTJZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILTJOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
ILTJOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILTSJZO,O,X,O,X,X,O,X,X,X,X,X,X,X
ILTSJOZ,O,X,O,X,X,O,X,X,X,X,O,X,X
ILTSZJO,O,X,O,X,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,X,O,X,X,X,X,X,X,X,O,X,X
ILTSOJZ,O,X,O,X,X,O,X,X,X,X,O,X,X
ILTSOZJ,O,X,O,X,X,X,X,X,X,X,O,X,X
ILTZJSO,O,X,X,X,O,X,X,X,X,X,O,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X,X,O,X,X
ILTZSJO,X,X,X,X,X,X,X,X,X,X,O,X,X
ILTZSOJ,X,X,X,X,X,X,X,X,X,X,O,X,X
ILTZOJS,O,X,X,X,X,X,X,O,X,X,O,X,X
ILTZOSJ,X,X,X,X,X,X,X,O,X,X,O,X,X
ILTOJSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
ILTOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,X,X,O,X,X
ILTOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X
ILTOZJS,O,X,X,X,X,X,X,O,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,O,X,X,O,X,X
ILJTSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJTSOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJTZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
ILJTZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILJTOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILJTOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILJSTZO,O,O,O,X,X,O,X,X,X,X,X,X,X
ILJSTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILJSZTO,O,O,X,X,X,O,X,X,X,X,X,O,X
ILJSZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
ILJSOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILJSOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
ILJZTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
ILJZTOS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILJZSTO,O,O,X,X,O,X,X,X,X,O,X,O,X
ILJZSOT,O,O,X,X,O,X,X,X,X,O,X,O,X
ILJZOTS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILJZOST,O,O,X,X,O,X,X,X,X,O,X,O,X
ILJOTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILJOTZS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILJOSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILJOSZT,O,O,O,X,X,X,X,X,X,X,X,O,X
ILJOZTS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILJOZST,O,O,X,X,X,X,X,X,X,O,X,O,X
ILSTJZO,X,O,O,X,X,O,X,X,X,X,X,X,X
ILSTJOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSTZJO,X,O,O,X,X,O,O,X,X,X,X,X,X
ILSTZOJ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILSTOJZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSTOZJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILSJTZO,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSJTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,X,O,O,X,X,X,X,O,X
ILSJZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
ILSJOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSJOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
ILSZTJO,X,X,X,X,X,X,O,X,X,X,X,X,X
ILSZTOJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILSZJTO,X,O,X,X,O,O,O,X,X,X,X,X,X
ILSZJOT,O,O,O,X,O,O,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILSOTZJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSOJZT,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X,X,X,X,X,X,X
ILZTJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
ILZTJOS,O,X,X,X,X,X,X,X,X,X,O,O,X
ILZTSJO,O,X,X,X,X,X,X,X,X,X,O,X,X
ILZTSOJ,O,X,X,X,X,X,X,X,X,X,O,X,X
ILZTOJS,O,X,X,X,X,X,X,O,X,X,O,X,X
ILZTOSJ,O,X,X,X,X,X,X,O,X,X,O,X,X
ILZJTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
ILZJTOS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILZJSTO,O,O,X,X,O,X,X,X,X,O,X,O,X
ILZJSOT,O,O,X,X,O,X,X,X,X,O,X,O,X
ILZJOTS,O,X,X,X,X,X,X,X,X,O,X,O,X
ILZJOST,O,O,X,X,O,X,X,X,X,O,X,O,X
ILZSTJO,O,X,X,X,X,X,O,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,O,X,X,O,X,X,X
ILZSJTO,O,X,X,X,O,X,O,X,X,O,X,O,X
ILZSJOT,O,X,X,X,O,X,X,X,X,O,X,O,X
ILZSOTJ,O,X,X,X,X,X,O,X,X,O,X,X,X
ILZSOJT,O,X,X,X,X,X,X,X,X,O,X,X,X
ILZOTJS,O,X,X,X,X,X,X,O,X,X,X,X,O
ILZOTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
ILZOJTS,O,X,X,X,X,X,X,O,X,O,X,O,O
ILZOJST,O,O,X,X,O,X,X,X,X,O,X,O,O
ILZOSTJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ILZOSJT,O,X,X,X,X,X,X,X,X,O,X,X,O
ILOTJSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,X,X,O,X,X,X,X,X
ILOTZSJ,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOJTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILOJTZS,O,X,X,X,X,X,X,O,X,O,X,O,X
ILOJSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILOJSZT,O,O,O,X,X,X,X,X,X,X,X,O,X
ILOJZTS,O,X,X,X,X,X,X,O,X,O,X,O,O
ILOJZST,O,O,X,X,X,X,X,X,X,O,X,O,O
ILOSTJZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILOSJZT,O,O,O,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X,X,X,X,X,X,X
ILOZTJS,O,X,X,X,X,X,X,O,X,X,X,X,O
ILOZTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
ILOZJTS,O,X,X,X,X,X,X,O,X,O,X,X,O
ILOZJST,O,O,X,X,O,X,X,X,X,O,X,X,O
ILOZSTJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ILOZSJT,O,X,X,X,X,X,X,X,X,O,X,X,O
IJTLSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTLZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
IJTLZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJTLOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJTSLZO,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTSZLO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTSZOL,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTSOZL,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTZLSO,X,X,X,X,X,X,X,X,X,O,X,X,X
IJTZLOS,X,X,X,X,X,X,X,X,X,O,X,X,X
IJTZSLO,X,X,X,X,X,X,X,X,X,O,X,X,X
IJTZSOL,X,X,X,X,X,X,X,X,X,O,X,X,X
IJTZOLS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJTZOSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJTOLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTOLZS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJTOSZL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJTOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJTOZSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJLTSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLTZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
IJLTZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJLTOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
IJLTOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJLSTZO,O,O,O,X,X,O,X,X,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
IJLSZTO,O,O,X,X,X,O,X,X,X,X,X,O,X
IJLSZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
IJLSOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
IJLSOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
IJLZTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
IJLZTOS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJLZSTO,O,O,X,X,O,X,X,X,X,O,X,O,X
IJLZSOT,O,O,X,X,O,X,X,X,X,O,X,O,X
IJLZOTS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJLZOST,O,O,X,X,O,X,X,X,X,O,X,O,X
IJLOTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
IJLOTZS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJLOSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
IJLOSZT,O,O,O,X,X,X,X,X,X,X,X,O,X
IJLOZTS,O,X,X,X,X,X,X,X,X,O,X,O,X
IJLOZST,O,O,X,X,X,X,X,X,X,O,X,O,X
IJSTLZO,O,O,O,X,X,O,X,X,X,X,X,X,X
IJSTLOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
IJSTZLO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSTZOL,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJSTOZL,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSLTZO,X,O,O,X,X,O,X,X,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
IJSLZTO,X,O,X,X,X,O,O,X,X,X,X,O,X
IJSLZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
IJSLOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
IJSLOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
IJSZTLO,O,X,X,X,X,X,O,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJSZLTO,O,X,X,X,X,O,O,X,X,X,X,X,X
IJSZLOT,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSOLTZ,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSOLZT,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,X,X,X,O,X,X,X,X,O,X,O,X
IJZTLOS,O,X,X,X,X,X,X,X,O,O,X,O,X
IJZTSLO,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZTOLS,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZTOSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZLTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
IJZLTOS,O,X,X,X,X,X,X,X,O,O,X,O,X
IJZLSTO,O,X,X,X,O,X,X,X,X,O,X,O,X
IJZLSOT,O,X,X,X,O,X,X,X,X,O,X,O,X
IJZLOTS,O,X,X,X,X,X,X,X,O,O,X,O,X
IJZLOST,O,X,X,X,O,X,X,X,X,O,X,O,X
IJZSTLO,O,X,X,X,X,X,O,X,X,O,X,X,X
IJZSTOL,O,X,X,X,X,X,O,X,O,O,X,X,X
IJZSLTO,O,X,X,X,O,X,O,X,X,O,X,O,X
IJZSLOT,O,X,X,X,O,X,X,X,X,O,X,O,X
IJZSOTL,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X,X,X,O,X,X,X
IJZOTLS,X,X,X,X,X,X,X,O,O,X,X,X,O
IJZOTSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZOLTS,X,X,X,X,X,X,X,O,O,X,X,O,O
IJZOLST,X,X,X,X,O,X,X,X,X,X,X,O,O
IJZOSTL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJZOSLT,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOTLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOTSZL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJOTZLS,X,X,X,X,X,X,X,O,X,X,X,X,O
IJOTZSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,O,X,X,X,O,X
IJOLSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X,X,O,X
IJOLZTS,X,X,X,X,X,X,X,O,X,X,X,O,O
IJOLZST,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOSTLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOSTZL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJOSLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOSZLT,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZTLS,X,X,X,X,X,X,X,O,X,X,X,X,O
IJOZTSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,O,X,X,X,X,O
IJOZLST,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZSTL,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZSLT,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTLJZO,O,O,O,O,X,O,O,X,X,X,X,X,X
ISTLJOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
ISTLZJO,O,O,O,O,X,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,O,O,X,X,O,X,X,X,X,X,X
ISTLOJZ,O,O,O,X,X,O,O,X,X,X,X,X,X
ISTLOZJ,O,O,O,X,X,X,O,X,X,X,X,X,X
ISTJLZO,O,O,O,O,X,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
ISTJZLO,O,X,O,O,X,O,O,X,X,X,X,X,X
ISTJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTJOLZ,O,X,O,X,X,O,O,X,O,X,X,X,X
ISTJOZL,O,X,X,X,X,X,O,X,O,X,X,X,X
ISTZLJO,O,X,O,O,X,O,O,X,X,X,X,X,X
ISTZLOJ,O,X,O,O,X,X,O,X,X,X,X,X,X
ISTZJLO,O,X,O,O,X,O,O,X,X,X,X,X,X
ISTZJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTZOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X,O,O,X,X,X,X,X
ISTOLJZ,O,O,O,X,X,O,O,X,X,X,X,X,X
ISTOLZJ,O,O,O,X,X,X,O,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,O,O,X,O,X,X,X,X
ISTOJZL,O,O,X,X,X,X,O,O,O,X,X,X,X
ISTOZLJ,O,O,X,X,X,X,O,O,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,O,O,X,X,X,X,X
ISLTJZO,X,O,O,O,X,O,O,X,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
ISLTZJO,X,O,O,O,X,O,O,X,X,X,X,X,X
ISLTZOJ,X,O,O,O,X,X,O,X,X,X,X,X,X
ISLTOJZ,O,O,O,X,X,O,O,X,X,X,X,X,X
ISLTOZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
ISLJTZO,X,O,O,X,X,O,X,X,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISLJZTO,X,O,X,X,X,O,O,X,X,X,X,O,X
ISLJZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
ISLJOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISLJOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
ISLZTJO,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZJTO,X,O,X,O,O,O,O,X,X,X,X,X,X
ISLZJOT,O,O,O,O,O,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZOJT,O,O,O,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,O,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISLOJZT,O,O,O,O,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLOZJT,O,O,O,O,X,X,X,X,X,X,X,X,X
ISJTLZO,O,O,O,X,X,O,X,X,X,X,X,X,X
ISJTLOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISJTZLO,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISJTOZL,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLTZO,X,O,O,X,X,O,X,X,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISJLZTO,X,O,X,X,X,O,O,X,X,X,X,O,X
ISJLZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
ISJLOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISJLOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
ISJZTLO,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJZLTO,O,X,X,X,X,O,O,X,X,X,X,X,X
ISJZLOT,O,X,O,X,X,O,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,X,X,X,X,X,X,X
