sequence,v115@4gA8IeE8FeD8EeG8CeE8Jei6IvhFzbBxdBckBelB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBifB3kBFmB0q?BmpB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhFXbBKhBxdB1pBzq?BcqB,v115@4gA8IeE8FeD8EeG8CeE8Jem6IvhFzbBxdBKkBFmB0q?BfqB,v115@4gA8IeE8FeD8EeG8CeE8Je37IvhFxdB0fBVmBifBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeK/IvhFfgBxdBUhBlgBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhF8fBzbBxiBypB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jey/IvhFzbB0fBxiB2pB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Je06IvhFzbBxdBKkBFlBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBKkBUgBlfBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8JeT6IvhFxdBlgBikBXmBUq?BmqB
ILJSZOT,O,X,X,X,X,O,O,X,X,O,X
ILJSOTZ,X,X,X,X,X,O,X,O,O,O,O
ILJSOZT,X,X,X,X,X,O,X,X,X,O,X
ILJZTSO,O,X,X,O,O,O,O,X,X,O,X
ILJZTOS,X,X,X,O,X,X,X,X,X,O,O
ILJZSTO,O,X,X,X,X,O,O,O,X,O,O
ILJZSOT,O,X,X,X,X,O,O,X,X,O,O
ILJZOTS,X,X,X,X,X,O,X,X,X,O,O
ILJZOST,O,X,X,X,X,O,O,X,X,O,O
ILJOTSZ,X,X,O,X,O,O,X,X,X,X,O
ILJOTZS,X,X,O,X,O,O,X,X,X,X,X
ILJOSTZ,X,X,X,X,X,O,X,O,X,O,O
ILJOSZT,X,X,X,X,X,O,X,X,X,O,X
ILJOZTS,X,X,X,X,X,O,X,X,X,O,O
ILJOZST,X,X,X,X,X,O,X,X,X,O,O
ILSTJZO,X,O,X,X,X,X,O,X,X,O,X
ILSTJOZ,X,X,X,X,X,X,O,X,X,O,O
ILSTZJO,X,O,X,X,X,X,O,X,X,X,X
ILSTZOJ,X,O,X,X,X,X,O,X,X,O,O
ILSTOJZ,X,X,X,X,X,X,O,X,O,X,O
ILSTOZJ,X,O,X,X,X,X,O,X,O,O,O
ILSJTZO,X,O,X,X,X,X,O,O,X,O,X
ILSJTOZ,X,X,X,X,X,X,O,O,X,O,O
ILSJZTO,O,O,X,X,X,X,O,O,X,O,X
ILSJZOT,O,X,X,X,X,X,O,X,X,O,X
ILSJOTZ,X,X,X,X,X,X,X,O,O,O,O
ILSJOZT,X,X,X,X,X,X,X,X,X,O,X
ILSZTJO,O,O,X,O,X,X,O,X,X,X,O
ILSZTOJ,X,O,X,O,X,X,O,X,X,O,O
ILSZJTO,O,O,X,X,X,X,O,X,X,O,O
ILSZJOT,O,X,X,X,X,X,O,X,X,O,O
ILSZOTJ,X,O,X,X,X,X,O,X,O,O,O
ILSZOJT,O,X,X,X,X,X,O,X,X,O,O
ILSOTJZ,X,X,O,X,X,X,O,X,O,X,O
ILSOTZJ,X,O,O,X,X,X,O,X,O,O,O
ILSOJTZ,X,X,X,X,X,X,X,X,O,O,O
ILSOJZT,X,X,X,X,X,X,X,X,X,O,X
ILSOZTJ,X,O,X,X,X,X,O,X,O,O,O
ILSOZJT,X,X,X,X,X,X,O,X,X,O,O
ILZTJSO,O,X,X,O,X,X,O,X,X,X,X
ILZTJOS,X,X,X,O,X,X,X,X,X,X,O
ILZTSJO,O,O,X,O,X,X,O,X,X,X,O
ILZTSOJ,X,O,X,O,X,X,O,X,X,X,O
ILZTOJS,X,X,X,O,X,X,X,X,X,X,O
ILZTOSJ,X,O,X,O,X,X,X,X,X,X,O
ILZJTSO,O,X,X,O,X,O,O,X,X,O,X
ILZJTOS,X,X,X,O,X,X,X,X,X,O,O
ILZJSTO,O,X,X,X,X,O,O,X,X,O,O
ILZJSOT,O,X,X,X,X,O,O,X,X,O,O
ILZJOTS,X,X,X,X,X,X,X,X,X,O,O
ILZJOST,O,X,X,X,X,O,O,X,X,O,O
ILZSTJO,O,O,X,O,X,X,O,X,X,X,O
ILZSTOJ,X,O,X,O,X,X,O,X,X,O,O
ILZSJTO,O,O,X,X,X,X,O,X,X,O,O
ILZSJOT,O,X,X,X,X,X,O,X,X,O,O
ILZSOTJ,X,O,X,X,X,X,O,X,O,O,O
ILZSOJT,O,X,X,X,X,X,O,X,X,O,O
ILZOTJS,X,X,O,O,X,X,X,X,X,X,O
ILZOTSJ,X,X,O,O,X,X,X,X,X,X,O
ILZOJTS,X,X,X,X,X,O,X,X,X,X,O
ILZOJST,O,X,X,X,X,O,O,X,X,X,O
ILZOSTJ,X,X,X,X,X,X,O,X,X,X,O
ILZOSJT,O,X,X,X,X,X,O,X,X,X,O
ILOTJSZ,X,X,O,X,O,X,X,X,X,X,O
ILOTJZS,X,X,O,X,O,X,X,X,X,X,X
ILOTSJZ,X,X,O,X,O,X,X,X,X,X,O
ILOTSZJ,X,X,O,X,X,X,X,X,X,X,O
ILOTZJS,X,X,O,X,X,X,X,X,X,X,O
ILOTZSJ,X,X,O,X,X,X,X,X,X,X,O
ILOJTSZ,X,X,O,X,O,O,X,X,X,X,O
ILOJTZS,X,X,O,X,O,O,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,O,X,X,X,O,O
ILOJSZT,X,X,X,X,X,O,X,X,X,O,X
ILOJZTS,X,X,X,X,X,O,X,X,X,O,O
ILOJZST,X,X,X,X,X,O,X,X,X,O,O
ILOSTJZ,X,X,O,X,X,X,O,X,O,X,O
ILOSTZJ,X,X,O,X,X,X,O,X,O,O,O
ILOSJTZ,X,X,X,X,X,X,X,X,O,O,O
ILOSJZT,X,X,X,X,X,X,X,X,X,O,X
ILOSZTJ,X,X,X,X,X,X,O,X,O,O,O
ILOSZJT,X,X,X,X,X,X,O,X,X,O,O
ILOZTJS,X,X,O,O,X,X,X,X,X,X,O
ILOZTSJ,X,X,O,O,X,X,X,X,X,X,O
ILOZJTS,X,X,X,X,X,O,X,X,X,X,O
ILOZJST,X,X,X,X,X,O,O,X,X,X,O
ILOZSTJ,X,X,X,X,X,X,O,X,X,X,O
ILOZSJT,X,X,X,X,X,X,O,X,X,X,O
IJTLSZO,X,X,X,X,O,O,X,O,X,O,X
IJTLSOZ,X,X,X,X,X,O,X,O,X,O,X
IJTLZSO,X,X,X,X,O,O,X,X,X,O,X
IJTLZOS,X,X,X,X,X,X,X,X,X,O,X
IJTLOSZ,X,X,O,X,X,O,X,X,X,X,X
IJTLOZS,X,X,O,X,X,O,X,X,X,X,X
IJTSLZO,X,O,X,X,O,X,X,O,X,O,X
IJTSLOZ,X,X,X,X,X,X,X,O,X,O,X
IJTSZLO,O,X,X,X,O,X,X,O,X,X,X
IJTSZOL,O,X,X,X,O,X,X,O,X,X,X
IJTSOLZ,X,X,O,X,X,X,X,O,X,O,X
IJTSOZL,X,X,O,X,O,X,X,O,X,X,X
IJTZLSO,O,X,X,O,O,O,X,X,X,X,X
IJTZLOS,X,X,X,O,X,X,X,X,X,X,X
IJTZSLO,O,O,X,X,O,X,X,X,X,X,X
IJTZSOL,O,O,X,X,O,X,X,X,X,X,X
IJTZOLS,X,X,O,O,X,X,X,X,X,X,X
IJTZOSL,X,O,O,X,O,X,X,X,X,X,X
IJTOLSZ,X,X,O,X,O,O,X,X,X,X,X
IJTOLZS,X,X,O,X,O,O,X,X,X,X,X
IJTOSLZ,X,X,O,X,O,X,X,X,X,X,X
IJTOSZL,X,X,O,X,O,X,X,X,X,X,X
IJTOZLS,X,X,O,O,O,O,X,X,X,X,X
IJTOZSL,X,O,O,X,O,X,X,X,X,X,X
IJLTSZO,X,X,X,X,O,O,X,O,X,O,X
IJLTSOZ,X,X,X,X,X,O,X,O,X,O,X
IJLTZSO,X,X,X,X,O,O,X,X,X,O,X
IJLTZOS,X,X,X,X,X,X,X,X,X,O,X
IJLTOSZ,X,X,X,X,X,O,X,X,X,X,O
IJLTOZS,X,X,X,X,X,O,X,X,X,X,X
IJLSTZO,X,X,X,X,X,O,O,O,X,O,X
IJLSTOZ,X,X,X,X,X,O,O,O,X,O,O
IJLSZTO,O,X,X,X,X,O,O,O,X,O,X
IJLSZOT,O,X,X,X,X,O,O,X,X,O,X
IJLSOTZ,X,X,X,X,X,O,X,O,O,O,O
IJLSOZT,X,X,X,X,X,O,X,X,X,O,X
IJLZTSO,O,X,X,O,O,O,O,X,X,O,X
IJLZTOS,X,X,X,O,X,X,X,X,X,O,O
IJLZSTO,O,X,X,X,X,O,O,O,X,O,O
IJLZSOT,O,X,X,X,X,O,O,X,X,O,O
IJLZOTS,X,X,X,X,X,O,X,X,X,O,O
IJLZOST,O,X,X,X,X,O,O,X,X,O,O
IJLOTSZ,X,X,O,X,O,O,X,X,X,X,O
IJLOTZS,X,X,O,X,O,O,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,O,X,O,X,O,O
IJLOSZT,X,X,X,X,X,O,X,X,X,O,X
IJLOZTS,X,X,X,X,X,O,X,X,X,O,O
IJLOZST,X,X,X,X,X,O,X,X,X,O,O
IJSTLZO,X,O,X,X,O,X,X,O,X,O,X
IJSTLOZ,X,X,X,X,X,X,X,O,X,O,O
IJSTZLO,O,X,X,X,O,X,X,O,X,X,X
IJSTZOL,O,X,X,X,O,X,X,O,X,X,X
IJSTOLZ,X,X,X,X,X,X,X,O,X,O,X
IJSTOZL,X,X,X,X,O,X,X,O,X,X,X
IJSLTZO,X,O,X,X,X,O,O,O,X,O,X
IJSLTOZ,X,X,X,X,X,O,O,O,X,O,O
IJSLZTO,O,O,X,X,X,O,O,O,X,O,X
IJSLZOT,O,X,X,X,X,O,O,X,X,O,X
IJSLOTZ,X,X,X,X,X,O,X,O,O,O,O
IJSLOZT,X,X,X,X,X,O,X,X,X,O,X
IJSZTLO,O,O,X,X,O,X,X,O,X,X,O
IJSZTOL,O,O,X,X,O,X,X,O,X,X,X
IJSZLTO,O,O,X,X,X,O,X,O,X,O,O
IJSZLOT,O,X,X,X,X,O,X,X,X,O,O
IJSZOTL,O,X,X,X,X,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X,X,X,O,X
IJSOTLZ,X,X,X,X,O,X,X,O,X,O,X
IJSOTZL,X,X,X,X,O,X,X,O,X,X,X
IJSOLTZ,X,X,X,X,X,O,X,O,O,O,X
IJSOLZT,X,X,X,X,X,O,X,X,X,O,X
IJSOZTL,O,X,X,X,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,X,O,X,X,X,O,X
IJZTLSO,O,X,X,O,O,O,X,X,X,X,X
IJZTLOS,X,X,X,O,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,O,X,X,X,X,X,X
IJZTSOL,O,O,X,X,O,X,X,X,X,X,X
IJZTOLS,X,X,X,O,X,X,X,X,X,X,X
IJZTOSL,X,O,X,X,O,X,X,X,X,X,X
IJZLTSO,O,X,X,O,O,O,X,X,X,O,X
IJZLTOS,X,X,X,O,X,X,X,X,X,O,O
IJZLSTO,O,X,X,X,X,O,X,O,X,O,O
IJZLSOT,O,X,X,X,X,O,X,X,X,O,O
IJZLOTS,X,X,X,X,X,O,X,X,X,O,O
IJZLOST,O,X,X,X,X,O,X,X,X,O,O
IJZSTLO,O,O,X,X,O,X,X,O,X,X,O
IJZSTOL,O,O,X,X,O,X,X,O,X,X,X
IJZSLTO,O,O,X,X,X,O,X,O,X,O,O
IJZSLOT,O,X,X,X,X,O,X,X,X,O,O
IJZSOTL,O,X,X,X,X,X,X,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X,X,X,O,X
IJZOTLS,X,X,X,X,O,O,X,X,X,X,X
IJZOTSL,X,X,X,X,O,X,X,X,X,X,X
IJZOLTS,X,X,X,X,X,O,X,X,X,X,X
IJZOLST,O,X,X,X,X,O,X,X,X,X,X
IJZOSTL,O,X,X,X,X,X,X,X,X,X,X
IJZOSLT,O,X,X,X,X,O,X,X,X,X,X
IJOTLSZ,X,X,O,X,O,O,X,X,X,X,X
IJOTLZS,X,X,O,X,O,O,X,X,X,X,X
IJOTSLZ,X,X,O,X,O,X,X,X,X,X,X
IJOTSZL,X,X,O,X,O,X,X,X,X,X,X
IJOTZLS,X,X,O,X,O,O,X,X,X,X,X
IJOTZSL,X,X,O,X,O,X,X,X,X,X,X
IJOLTSZ,X,X,O,X,O,O,X,X,X,X,X
IJOLTZS,X,X,O,X,O,O,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,O,X,O,X,O,X
IJOLSZT,X,X,X,X,X,O,X,X,X,O,X
IJOLZTS,X,X,X,X,X,O,X,X,X,O,X
IJOLZST,X,X,X,X,X,O,X,X,X,O,X
IJOSTLZ,X,X,X,X,O,X,X,O,X,O,X
IJOSTZL,X,X,X,X,O,X,X,O,X,X,X
IJOSLTZ,X,X,X,X,X,O,X,O,X,O,X
IJOSLZT,X,X,X,X,X,O,X,X,X,O,X
IJOSZTL,O,X,X,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,X,O,X,X,X,O,X
IJOZTLS,X,X,X,X,O,O,X,X,X,X,X
IJOZTSL,X,X,X,X,O,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,O,X,X,X,X,X
IJOZLST,O,X,X,X,X,O,X,X,X,X,X
IJOZSTL,O,X,X,X,X,X,X,X,X,X,X
IJOZSLT,O,X,X,X,X,O,X,X,X,X,X
ISTLJZO,X,O,X,X,O,X,O,X,X,O,X
ISTLJOZ,X,X,X,X,X,X,O,X,X,O,O
ISTLZJO,X,O,X,X,X,X,O,X,X,X,X
ISTLZOJ,X,O,X,X,X,X,O,X,X,O,O
ISTLOJZ,X,X,X,X,X,X,O,X,O,X,O
ISTLOZJ,X,O,X,X,X,X,O,X,O,O,O
ISTJLZO,X,O,X,X,O,X,X,O,X,O,X
ISTJLOZ,X,X,X,X,X,X,X,O,X,O,O
ISTJZLO,O,X,X,X,O,X,X,O,X,X,X
ISTJZOL,O,X,X,X,O,X,X,O,X,X,X
ISTJOLZ,X,X,O,X,X,X,X,O,X,O,X
ISTJOZL,X,X,O,X,O,X,X,O,X,X,X
ISTZLJO,O,O,X,O,X,X,X,X,X,X,O
ISTZLOJ,X,O,X,O,X,X,X,X,X,X,O
ISTZJLO,O,O,X,X,O,X,X,X,X,X,O
ISTZJOL,O,O,X,X,O,X,X,X,X,X,X
ISTZOLJ,X,O,X,O,X,X,X,X,X,X,O
ISTZOJL,X,O,X,X,X,X,X,X,X,X,X
ISTOLJZ,X,X,O,X,X,X,X,X,O,X,O
ISTOLZJ,X,O,O,X,X,X,X,X,O,O,O
ISTOJLZ,X,X,O,X,X,X,X,X,X,X,X
ISTOJZL,X,X,O,X,O,X,X,X,X,X,X
ISTOZLJ,X,O,O,O,X,X,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X,X,X
ISLTJZO,X,O,X,X,X,X,O,X,X,O,X
ISLTJOZ,X,X,X,X,X,X,O,X,X,O,O
ISLTZJO,X,O,X,X,X,X,O,X,X,X,X
ISLTZOJ,X,O,X,X,X,X,O,X,X,O,O
ISLTOJZ,X,X,X,X,X,X,O,X,O,X,O
ISLTOZJ,X,O,X,X,X,X,O,X,O,O,O
ISLJTZO,X,O,X,X,X,X,O,O,X,O,X
ISLJTOZ,X,X,X,X,X,X,O,O,X,O,O
ISLJZTO,O,O,X,X,X,X,O,O,X,O,X
ISLJZOT,O,X,X,X,X,X,O,X,X,O,X
ISLJOTZ,X,X,X,X,X,X,X,O,O,O,O
ISLJOZT,X,X,X,X,X,X,X,X,X,O,X
ISLZTJO,O,O,X,O,X,X,O,X,X,X,O
ISLZTOJ,X,O,X,O,X,X,O,X,X,O,O
ISLZJTO,O,O,X,X,X,X,O,X,X,O,O
ISLZJOT,O,X,X,X,X,X,O,X,X,O,O
ISLZOTJ,X,O,X,X,X,X,O,X,O,O,O
ISLZOJT,O,X,X,X,X,X,O,X,X,O,O
ISLOTJZ,X,X,O,X,X,X,O,X,O,X,O
ISLOTZJ,X,O,O,X,X,X,O,X,O,O,O
ISLOJTZ,X,X,X,X,X,X,X,X,O,O,O
ISLOJZT,X,X,X,X,X,X,X,X,X,O,X
ISLOZTJ,X,O,X,X,X,X,O,X,O,O,O
ISLOZJT,X,X,X,X,X,X,O,X,X,O,O
ISJTLZO,X,O,X,X,O,X,X,O,X,O,X
ISJTLOZ,X,X,X,X,X,X,X,O,X,O,O
ISJTZLO,O,X,X,X,O,X,X,O,X,X,X
ISJTZOL,O,X,X,X,O,X,X,O,X,X,X
ISJTOLZ,X,X,X,X,X,X,X,O,X,O,X
ISJTOZL,X,X,X,X,O,X,X,O,X,X,X
ISJLTZO,X,O,X,X,X,O,O,O,X,O,X
ISJLTOZ,X,X,X,X,X,O,O,O,X,O,O
ISJLZTO,O,O,X,X,X,O,O,O,X,O,X
ISJLZOT,O,X,X,X,X,O,O,X,X,O,X
ISJLOTZ,X,X,X,X,X,O,X,O,O,O,O
ISJLOZT,X,X,X,X,X,O,X,X,X,O,X
ISJZTLO,O,O,X,X,O,X,X,O,X,X,O
ISJZTOL,O,O,X,X,O,X,X,O,X,X,X
ISJZLTO,O,O,X,X,X,O,X,O,X,O,O
ISJZLOT,O,X,X,X,X,O,X,X,X,O,O
ISJZOTL,O,X,X,X,X,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X,X,X,O,X
ISJOTLZ,X,X,X,X,O,X,X,O,X,O,X
ISJOTZL,X,X,X,X,O,X,X,O,X,X,X
ISJOLTZ,X,X,X,X,X,O,X,O,O,O,X
ISJOLZT,X,X,X,X,X,O,X,X,X,O,X
ISJOZTL,O,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,O,X,X,X,O,X
ISZTLJO,O,O,X,O,X,X,X,X,X,X,O
ISZTLOJ,X,O,X,O,X,X,X,X,X,X,O
ISZTJLO,O,O,X,X,X,X,X,X,X,X,O
ISZTJOL,O,O,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,O,X,O,X,X,X,X,X,X,O
ISZTOJL,X,O,X,X,X,X,X,X,X,X,X
ISZLTJO,O,O,X,O,X,X,O,X,X,X,O
ISZLTOJ,X,O,X,O,X,X,O,X,X,O,O
ISZLJTO,O,O,X,X,X,X,O,X,X,O,O
ISZLJOT,O,X,X,X,X,X,O,X,X,O,O
ISZLOTJ,X,O,X,X,X,X,O,X,O,O,O
ISZLOJT,O,X,X,X,X,X,O,X,X,O,O
ISZJTLO,O,O,X,X,X,X,X,O,X,X,O
ISZJTOL,O,O,X,X,X,X,X,O,X,X,X
ISZJLTO,O,O,X,X,X,O,X,O,X,O,O
ISZJLOT,O,X,X,X,X,O,X,X,X,O,O
ISZJOTL,O,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X,X,X,O,X
ISZOTLJ,X,O,X,X,X,X,X,X,X,X,O
ISZOTJL,X,O,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,X,X,X,X,O,O,O
ISZOLJT,O,X,X,X,X,X,X,X,X,O,O
ISZOJTL,O,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,O,X,X,X,X,X
ISOTLJZ,X,X,O,X,O,X,X,X,O,X,O
ISOTLZJ,X,O,O,X,X,X,X,X,O,O,O
ISOTJLZ,X,X,O,X,O,X,X,X,X,X,X
ISOTJZL,X,X,O,X,O,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,X,X,X,X,X,X
ISOTZJL,X,X,O,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,O,X,X,X,O,X,O,X,O
ISOLTZJ,X,O,O,X,X,X,O,X,O,O,O
ISOLJTZ,X,X,X,X,X,X,X,X,O,O,O
ISOLJZT,X,X,X,X,X,X,X,X,X,O,X
ISOLZTJ,X,O,X,X,X,X,O,X,O,O,O
ISOLZJT,X,X,X,X,X,X,O,X,X,O,X
ISOJTLZ,X,X,X,X,O,X,X,O,X,O,X
ISOJTZL,X,X,X,X,O,X,X,O,X,X,X
ISOJLTZ,X,X,X,X,X,O,X,O,O,O,X
ISOJLZT,X,X,X,X,X,O,X,X,X,O,X
ISOJZTL,O,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,O,X,X,X,O,X
ISOZTLJ,X,O,X,X,X,X,X,X,X,X,O
ISOZTJL,X,O,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,X,X,X,X,O,O,O
ISOZLJT,O,X,X,X,X,X,X,X,X,O,O
ISOZJTL,O,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,O,X,X,X,X,X
IZTLJSO,O,X,X,O,X,X,X,X,X,X,X
IZTLJOS,X,X,X,O,X,X,X,X,X,X,O
IZTLSJO,O,O,X,O,X,X,X,X,X,X,O
IZTLSOJ,X,O,X,O,X,X,X,X,X,X,O
IZTLOJS,X,X,X,O,X,X,X,X,X,X,O
IZTLOSJ,X,O,X,O,X,X,X,X,X,X,O
IZTJLSO,O,X,X,O,O,O,X,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,X,X,X,X
IZTJSLO,O,O,X,X,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,O,X,X,X,X,X,X
IZTJOLS,X,X,O,O,X,X,X,X,X,X,X
IZTJOSL,X,O,O,X,O,X,X,X,X,X,X
IZTSLJO,O,O,X,O,X,X,X,X,X,X,O
IZTSLOJ,X,O,X,O,X,X,X,X,X,X,O
IZTSJLO,O,O,X,X,O,X,X,X,X,X,O
IZTSJOL,O,O,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,O,X,O,X,X,X,X,X,X,O
IZTSOJL,X,O,X,X,X,X,X,X,X,X,X
IZTOLJS,X,X,O,O,X,X,X,X,X,X,X
IZTOLSJ,X,O,O,O,X,X,X,X,X,X,X
IZTOJLS,X,X,O,O,X,O,X,X,X,X,X
IZTOJSL,X,O,O,X,X,X,X,X,X,X,X
IZTOSLJ,X,O,O,O,X,X,X,X,X,X,X
IZTOSJL,X,O,O,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,O,X,X,O,X,X,X,X
IZLTJOS,X,X,X,O,X,X,X,X,X,X,O
IZLTSJO,O,O,X,O,X,X,O,X,X,X,O
IZLTSOJ,X,O,X,O,X,X,O,X,X,X,O
IZLTOJS,X,X,X,O,X,X,X,X,X,X,O
IZLTOSJ,X,O,X,O,X,X,X,X,X,X,O
IZLJTSO,O,X,X,O,X,O,O,X,X,O,X
IZLJTOS,X,X,X,O,X,X,X,X,X,O,O
IZLJSTO,O,X,X,X,X,O,O,X,X,O,O
IZLJSOT,O,X,X,X,X,O,O,X,X,O,O
IZLJOTS,X,X,X,X,X,X,X,X,X,O,O
IZLJOST,O,X,X,X,X,O,O,X,X,O,O
IZLSTJO,O,O,X,O,X,X,O,X,X,X,O
IZLSTOJ,X,O,X,O,X,X,O,X,X,O,O
IZLSJTO,O,O,X,X,X,X,O,X,X,O,O
IZLSJOT,O,X,X,X,X,X,O,X,X,O,O
IZLSOTJ,X,O,X,X,X,X,O,X,O,O,O
IZLSOJT,O,X,X,X,X,X,O,X,X,O,O
IZLOTJS,X,X,O,O,X,X,X,X,X,X,O
IZLOTSJ,X,X,O,O,X,X,X,X,X,X,O
IZLOJTS,X,X,X,X,X,O,X,X,X,X,O
IZLOJST,O,X,X,X,X,O,O,X,X,X,O
IZLOSTJ,X,X,X,X,X,X,O,X,X,X,O
IZLOSJT,O,X,X,X,X,X,O,X,X,X,O
IZJTLSO,O,X,X,O,O,O,X,X,X,X,X
IZJTLOS,X,X,X,O,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,O,X,X,X,X,X,X
IZJTSOL,O,O,X,X,O,X,X,X,X,X,X
IZJTOLS,X,X,X,O,X,X,X,X,X,X,X
IZJTOSL,X,O,X,X,O,X,X,X,X,X,X
IZJLTSO,O,X,X,O,O,O,X,X,X,O,X
IZJLTOS,X,X,X,O,X,X,X,X,X,O,O
IZJLSTO,O,X,X,X,X,O,X,O,X,O,O
IZJLSOT,O,X,X,X,X,O,X,X,X,O,O
IZJLOTS,X,X,X,X,X,O,X,X,X,O,O
IZJLOST,O,X,X,X,X,O,X,X,X,O,O
IZJSTLO,O,O,X,X,O,X,X,O,X,X,O
IZJSTOL,O,O,X,X,O,X,X,O,X,X,X
IZJSLTO,O,O,X,X,X,O,X,O,X,O,O
IZJSLOT,O,X,X,X,X,O,X,X,X,O,O
IZJSOTL,O,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X,X,X,O,X
IZJOTLS,X,X,X,X,O,O,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,O,X,X,X,X,X
IZJOLST,O,X,X,X,X,O,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,O,X,X,X,X,X
IZSTLJO,O,O,X,O,X,X,X,X,X,X,O
IZSTLOJ,X,O,X,O,X,X,X,X,X,X,O
IZSTJLO,O,O,X,X,X,X,X,X,X,X,O
IZSTJOL,O,O,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,O,X,X,X,X,X,X,O
IZSTOJL,X,O,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,O,X,X,O,X,X,X,O
IZSLTOJ,X,O,X,O,X,X,O,X,X,O,O
IZSLJTO,O,O,X,X,X,X,O,X,X,O,O
IZSLJOT,O,X,X,X,X,X,O,X,X,O,O
IZSLOTJ,X,O,X,X,X,X,O,X,O,O,O
IZSLOJT,O,X,X,X,X,X,O,X,X,O,O
IZSJTLO,O,O,X,X,X,X,X,O,X,X,O
IZSJTOL,O,O,X,X,X,X,X,O,X,X,X
IZSJLTO,O,O,X,X,X,O,X,O,X,O,O
IZSJLOT,O,X,X,X,X,O,X,X,X,O,O
IZSJOTL,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,O,X,X,X,X,X,X,X,X,O
IZSOTJL,X,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,X,O,O,O
IZSOLJT,O,X,X,X,X,X,X,X,X,O,O
IZSOJTL,O,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,O,X,X,X,X,X
IZOTLJS,X,X,O,O,X,X,X,X,X,X,X
IZOTLSJ,X,O,O,O,X,X,X,X,X,X,X
IZOTJLS,X,X,O,O,O,O,X,X,X,X,X
IZOTJSL,X,O,O,X,O,X,X,X,X,X,X
IZOTSLJ,X,O,O,O,X,X,X,X,X,X,X
IZOTSJL,X,O,O,X,O,X,X,X,X,X,X
IZOLTJS,X,X,O,O,X,X,X,X,X,X,O
IZOLTSJ,X,X,O,O,X,X,X,X,X,X,O
IZOLJTS,X,X,X,X,X,O,X,X,X,X,O
IZOLJST,O,X,X,X,X,O,X,X,X,X,O
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,O
IZOLSJT,O,X,X,X,X,X,X,X,X,X,O
IZOJTLS,X,X,X,X,O,O,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,X,X,X,X
IZOJLTS,X,X,X,X,X,O,X,X,X,X,X
IZOJLST,O,X,X,X,X,O,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,X,O,X,X,X,X,X,X,X,X,O
IZOSTJL,X,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X,X,X,X,O
