sequence,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFxbBXdB?ylBFnBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhF5gBOhB?XdBKqBFnB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBOlB?VmBUiB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeX9IvhFRgBUgB?6rBOsBFmBTqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBUiB?OqBXmBzrBlqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBKmB?OqBFnB5lB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBylB?FnBxqB+qB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeU8IvhFFdBGgB?alBxmB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeR7IvhFShBUgB?/rBFnBTqBOsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFXdBylB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhF0cBylB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFXdBmgB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JefBJvhFxcBalB?WrBFnBzrBUqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeF9IvhFRgBWnB?3gB8qBaqBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhF0cBmgB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Je08IvhFzgBFnB?xqBaqBGqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeT8IvhFUgBVnB?2rB5lBaqBXsB
JIOSZLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTLS,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JIOZTSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JIOZLTS,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOZLST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSTL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOZSLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLTISZO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTISOZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLTIZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLTIZOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLTIOSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLTIOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLTSIZO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLTSZIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTSZOI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLTSOIZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLTSOZI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLTZISO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLTZIOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLTZSIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLTZSOI,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JLTZOIS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLTZOSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLTOISZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLTOIZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLTOSIZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLTOSZI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLTOZIS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLTOZSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLITSZO,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JLITSOZ,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X
JLITZSO,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X
JLITZOS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLITOSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLITOZS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLISTZO,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JLISTOZ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JLISZTO,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLISZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLISOZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTSO,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JLIZTOS,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLIZSTO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLIZSOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOTS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JLIZOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTSZ,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JLIOTZS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLIOSTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JLIOZST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSTZIO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSTOIZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSTOZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSITZO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSITOZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSIZTO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSZITO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOIT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTIZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSOTZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSOITZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSOIZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZIT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZTISO,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLZTIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTSOI,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JLZTOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTOSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZITSO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JLZITOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZISTO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZSITO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZOTSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOITS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZOIST,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOSIT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOTIZS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLOTSIZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JLOTSZI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLOTZIS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLOTZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLOITSZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLOISTZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOISZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOIZST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JLOSTZI,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLOSITZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOSIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLOZTSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLOZITS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JSTILOZ,X,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X
JSTIZLO,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JSTIZOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSTIOLZ,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X
JSTIOZL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JSTLIZO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTLZIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTLZOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSTLOIZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTLOZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTZILO,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSTZIOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSTZLIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTZLOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSTZOIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTOILZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTOIZL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTOLZI,O,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JSTOZIL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTOZLI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSITLZO,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
JSITLOZ,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JSITZLO,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JSITZOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSITOLZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSITOZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
JSILTOZ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JSILZTO,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSILZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIZTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIZLOT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIZOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIOZLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLTZIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTZOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSLTOIZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLTOZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLITZO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLITOZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLIZTO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLIZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLZITO,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLZIOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLOTZI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSLOITZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLOIZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOZIT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZTIOL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZTLIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZTOIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZITLO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZITOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSZILTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZIOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLITO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOTLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOITL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOILT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOTIZL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOTLZI,O,O,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
JSOTZIL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JSOTZLI,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JSOITLZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOITZL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOILTZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOILZT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOIZTL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOIZLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOLTZI,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JSOLITZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JSOZTLI,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JSOZITL,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JSOZILT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZTILOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTISLO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZTISOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZTIOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTIOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZTLISO,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZTLIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZTLSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JZTLOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZTLOSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTSIOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZTSLIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JZTSOIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTSOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTOISL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZTOLIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZTOLSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTOSLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
JZITLOS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZITSLO,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JZITSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZITOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZILTSO,O,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
JZILTOS,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZILSTO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZILSOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZILOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JZISTOL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZISLTO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZIOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZLTIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JZLTOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTOSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLITSO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZLITOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
