sequence,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFzbBfiBxdBGjBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcB8hBCeBmlBxs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcBxdBzhBSoBml?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFRcBGeBfmB0mBln?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhFFcBxdBzhBmlBft?B6tB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cBTgBliBimBct?BGtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFUcBFdBfmBGoBRs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFfiBigBGjB0iBFm?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cB+jBTgBliBim?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFxcB3gBcmBTnB6t?BOtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhF1hBziBimB5oB3l?BmsB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcB+jBigB3iBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcBigB3iBFmBct?BGtB
ITJOLZS,X,O,X,X,X,X,X,X,O,X,X,O,X
ITJOSLZ,X,X,X,X,X,X,O,X,X,X,X,O,X
ITJOSZL,X,X,X,X,X,X,O,X,X,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X,X,X,X,X,X
ITJOZSL,X,O,X,X,X,X,X,X,X,X,X,X,X
ITSLJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSLJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSLZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITSLZOJ,O,X,X,O,X,X,O,X,X,X,X,X,O
ITSLOJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ITSJLZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSJLOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSJZLO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSJOLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSJOZL,X,X,X,X,X,X,O,X,X,X,X,X,X
ITSZLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITSZLOJ,O,X,X,O,X,X,O,X,X,O,X,X,O
ITSZJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITSZJOL,O,O,X,O,X,X,O,X,X,O,X,X,X
ITSZOLJ,O,X,X,O,X,X,O,X,X,O,X,X,O
ITSZOJL,O,X,X,O,X,X,O,X,X,O,X,X,X
ITSOLJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ITSOJLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSOJZL,X,X,X,X,X,X,O,X,X,X,X,X,X
ITSOZLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
ITSOZJL,O,X,X,X,X,X,O,X,X,O,X,X,X
ITZLJSO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITZLJOS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITZLSOJ,O,X,X,X,X,X,O,X,X,X,X,X,O
ITZLOJS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITZJLSO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITZJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITZJSOL,O,O,X,X,X,X,O,X,X,X,X,X,X
ITZJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITZSLOJ,O,X,X,X,X,X,O,X,X,X,X,X,O
ITZSJLO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITZSJOL,O,O,X,X,X,X,O,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X,O,X,X,X,X,X,O
ITZSOJL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITZOJLS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITZOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,O,X,X,O,X,X,X,X,X,X
ITOLJZS,X,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,X,O,O,X,X,X,X,X,X
ITOLZJS,O,O,O,X,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,O
ITOJLSZ,X,X,O,O,X,X,O,X,O,X,X,X,X
ITOJLZS,X,X,O,X,X,X,X,X,O,X,X,X,X
ITOJSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOJSZL,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOJZSL,X,X,O,X,X,X,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,X,O,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ITOSJLZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITOSJZL,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
ITOSZJL,O,X,X,X,X,X,O,X,X,O,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITOZJLS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOZJSL,O,O,O,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITOZSJL,O,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSZO,X,O,O,O,X,X,O,O,X,X,X,X,X
ILTJSOZ,X,X,O,O,X,X,O,O,X,X,X,X,X
ILTJZSO,X,O,O,O,X,X,O,O,X,X,X,X,O
ILTJZOS,X,O,X,X,X,X,X,X,X,X,O,X,X
ILTJOSZ,X,X,O,O,X,X,O,O,X,X,X,X,X
ILTJOZS,X,O,O,X,X,X,X,X,X,X,O,X,X
ILTSJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ILTSZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
ILTSZOJ,O,X,X,O,X,X,O,X,X,X,O,X,O
ILTSOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
ILTZJSO,O,O,X,O,X,X,O,X,X,X,X,X,O
ILTZJOS,O,O,X,X,X,X,X,X,X,X,O,X,X
ILTZSJO,O,O,X,X,X,X,O,X,X,X,X,X,O
ILTZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,O
ILTZOJS,O,O,O,X,X,X,X,X,X,X,O,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,O
ILTOJSZ,X,X,O,O,X,X,O,X,X,X,X,X,X
ILTOJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
ILTOSJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
ILTOZJS,O,O,O,X,X,X,X,X,X,X,O,X,X
ILTOZSJ,O,X,X,X,X,X,X,X,X,X,O,X,O
ILJTSZO,O,O,O,X,X,X,O,O,X,X,X,O,X
ILJTSOZ,O,X,O,X,X,X,O,O,X,X,X,O,X
ILJTZSO,X,O,O,X,X,X,O,O,X,X,X,O,X
ILJTZOS,X,O,X,X,X,X,X,X,X,X,O,O,X
ILJTOSZ,O,X,O,X,X,X,O,O,X,X,X,O,X
ILJTOZS,X,O,O,X,X,X,X,X,X,X,O,O,X
ILJSTZO,O,O,O,X,X,X,O,O,X,X,X,O,X
ILJSTOZ,O,X,O,X,X,X,O,O,X,X,X,O,X
ILJSZTO,O,O,O,X,X,X,O,O,X,X,X,X,X
ILJSZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,X,O,X,X,X,X,O,X
ILJSOZT,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJZTSO,X,O,O,X,X,X,O,O,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X,X,X,X,O,X,X
ILJZSTO,O,O,O,X,X,X,O,X,X,X,X,X,X
ILJZSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ILJZOTS,X,O,X,X,X,X,X,X,X,X,O,X,X
ILJZOST,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,O,X,X,X,O,O,O,X,X,X,X
ILJOTZS,X,O,O,X,X,X,X,X,O,X,O,X,X
ILJOSTZ,O,X,O,X,X,X,O,X,O,X,X,X,X
ILJOSZT,X,X,O,X,X,X,O,X,O,X,X,X,X
ILJOZTS,X,O,O,X,X,X,X,X,O,X,O,X,X
ILJOZST,X,O,O,X,X,X,X,X,O,X,X,X,X
ILSTJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ILSTJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ILSTZJO,O,O,X,O,X,X,O,X,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
ILSTOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ILSTOZJ,O,X,X,O,X,X,O,X,X,X,O,X,X
ILSJTZO,O,O,O,O,X,X,O,O,X,X,X,X,X
ILSJTOZ,O,X,O,O,X,X,O,O,X,X,X,X,X
ILSJZTO,O,O,O,O,X,X,O,O,X,X,X,X,X
ILSJZOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ILSJOTZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ILSJOZT,X,X,X,O,X,X,O,X,X,X,X,X,X
ILSZTJO,X,O,X,O,X,X,O,X,X,X,X,X,X
ILSZTOJ,O,X,X,O,X,O,O,X,X,X,O,X,X
ILSZJTO,X,O,X,O,X,X,O,X,X,X,X,X,X
ILSZJOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ILSZOTJ,X,X,X,O,X,O,O,X,X,X,O,X,X
ILSZOJT,X,O,X,O,X,O,O,X,X,X,X,X,X
ILSOTJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ILSOTZJ,O,X,X,O,X,O,O,X,X,X,O,X,X
ILSOJTZ,X,X,O,O,X,X,O,X,X,X,X,X,X
ILSOJZT,X,X,O,O,X,O,O,X,X,X,X,X,X
ILSOZTJ,X,X,X,O,X,O,O,X,X,X,O,X,X
ILSOZJT,X,X,O,O,X,O,O,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,X,O,X,X,X,X,X,X
ILZTJOS,X,O,X,X,X,X,X,X,X,X,O,X,X
ILZTSJO,X,O,X,X,X,X,O,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ILZTOJS,X,O,O,X,X,O,X,X,X,X,O,X,X
ILZTOSJ,X,X,X,X,X,O,X,X,X,X,O,X,X
ILZJTSO,X,O,O,X,X,X,O,O,X,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X,X,X,X,O,X,X
ILZJSTO,X,O,O,X,X,X,O,X,X,X,X,X,X
ILZJSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ILZJOTS,X,O,X,X,X,X,X,X,X,X,O,X,X
ILZJOST,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZSTJO,X,O,X,X,X,X,O,X,X,X,X,X,X
ILZSTOJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ILZSJTO,X,O,X,X,X,X,O,X,X,X,X,X,X
ILZSJOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ILZSOTJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ILZSOJT,X,O,X,X,X,O,O,X,X,X,X,X,X
ILZOTJS,X,O,O,X,X,O,X,X,X,X,O,X,X
ILZOTSJ,X,X,X,X,X,O,X,X,X,X,O,X,X
ILZOJTS,X,O,O,X,X,O,X,X,X,X,O,X,X
ILZOJST,X,O,O,X,X,O,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,O,X,X,X,X,O,X,X
ILZOSJT,X,O,O,X,X,O,X,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOTJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
ILOTSJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ILOTZJS,X,O,O,X,X,O,X,X,X,X,O,X,X
ILOTZSJ,X,X,X,X,X,O,X,X,X,X,O,X,X
ILOJTSZ,X,X,O,X,X,X,O,O,O,X,X,X,X
ILOJTZS,X,O,O,X,X,X,X,X,O,X,O,X,X
ILOJSTZ,X,X,O,X,X,X,O,X,O,X,X,X,X
ILOJSZT,X,X,O,X,X,O,O,X,O,X,X,X,X
ILOJZTS,X,O,O,X,X,O,X,X,O,X,O,X,X
ILOJZST,X,O,O,X,X,O,X,X,O,X,X,X,X
ILOSTJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ILOSJTZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ILOSJZT,X,X,O,X,X,O,O,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ILOSZJT,X,X,O,X,X,O,O,X,X,X,X,X,X
ILOZTJS,X,O,O,X,X,O,X,X,X,X,O,X,X
ILOZTSJ,X,X,X,X,X,O,X,X,X,X,O,X,X
ILOZJTS,X,O,O,X,X,O,X,X,X,X,O,X,X
ILOZJST,X,O,O,X,X,O,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,X,X,O,X,X,X,X,O,X,X
ILOZSJT,X,O,O,X,X,O,X,X,X,X,X,X,X
IJTLSZO,O,O,O,X,X,X,O,O,X,X,X,O,X
IJTLSOZ,O,X,O,X,X,X,O,O,X,X,X,O,X
IJTLZSO,X,O,O,X,X,X,O,O,X,X,X,O,O
IJTLZOS,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTLOSZ,O,X,O,X,X,X,O,O,X,X,X,O,X
IJTLOZS,X,O,O,X,X,X,X,X,X,X,X,O,X
IJTSLZO,O,O,O,X,O,X,O,O,X,X,X,O,X
IJTSLOZ,O,X,O,X,O,X,O,O,X,X,X,O,X
IJTSZLO,O,O,X,X,O,X,O,X,X,X,X,O,X
IJTSZOL,O,O,X,X,O,X,O,X,X,X,X,X,X
IJTSOLZ,O,X,O,X,X,X,O,X,O,X,X,O,X
IJTSOZL,O,X,O,X,O,X,O,X,X,X,X,X,X
IJTZLSO,X,O,X,X,X,X,O,O,X,X,X,O,O
IJTZLOS,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTZSLO,X,O,X,X,O,X,O,X,X,X,X,O,O
IJTZSOL,X,O,X,X,O,X,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTZOSL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,O,X,X,X,O,O,O,X,X,O,X
IJTOLZS,X,O,O,X,O,X,X,X,O,X,X,O,X
IJTOSLZ,O,X,O,X,O,X,O,X,O,X,X,O,X
IJTOSZL,O,X,O,X,O,X,O,X,X,X,X,X,X
IJTOZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTOZSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,X,X,X,O,O,X,X,X,O,X
IJLTSOZ,O,X,O,X,X,X,O,O,O,X,X,O,X
IJLTZSO,X,O,O,X,X,X,O,O,X,X,X,O,X
IJLTZOS,X,O,X,X,X,X,X,X,X,X,X,O,X
IJLTOSZ,O,X,O,X,X,X,O,O,O,X,X,O,X
IJLTOZS,X,O,O,X,X,X,X,X,O,X,X,O,X
IJLSTZO,O,O,O,X,X,X,O,O,X,X,X,O,X
IJLSTOZ,O,X,O,X,X,X,O,O,O,X,X,O,X
IJLSZTO,O,O,O,X,X,X,O,O,X,X,X,X,X
IJLSZOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IJLSOTZ,O,X,O,X,X,X,O,X,O,X,X,O,X
IJLSOZT,X,X,X,X,X,X,O,X,O,X,X,X,X
IJLZTSO,X,O,O,X,X,X,O,O,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLZSTO,O,O,O,X,X,X,O,X,X,X,X,X,X
IJLZSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,X,O,O,O,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X,O,X,X,X,X
IJLOSTZ,O,X,O,X,X,X,O,X,O,X,X,X,X
IJLOSZT,X,X,O,X,X,X,O,X,O,X,X,X,X
IJLOZTS,X,O,O,X,X,X,X,X,O,X,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,O,X,X,X,X
IJSTLZO,O,O,O,X,O,X,O,O,X,X,X,O,X
IJSTLOZ,O,X,O,X,O,X,O,O,X,X,X,O,X
IJSTZLO,O,O,X,X,O,X,O,X,X,X,X,O,X
IJSTZOL,O,O,X,X,O,X,O,X,X,X,X,X,X
IJSTOLZ,O,X,O,X,X,X,O,X,X,X,X,O,X
IJSTOZL,O,X,O,X,O,X,O,X,X,X,X,X,X
IJSLTZO,O,O,O,X,O,X,O,O,X,X,X,O,X
IJSLTOZ,O,X,O,X,O,X,O,O,X,X,X,O,X
IJSLZTO,O,O,O,X,O,X,O,O,X,X,X,X,X
IJSLZOT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJSLOTZ,O,X,O,X,O,X,O,X,X,X,X,O,X
IJSLOZT,X,X,X,X,O,X,O,X,X,X,X,X,X
IJSZTLO,O,O,X,X,O,X,O,X,X,X,X,O,X
IJSZTOL,O,O,X,X,O,X,O,X,X,X,X,X,X
IJSZLTO,O,O,X,X,O,X,O,X,X,X,X,X,X
IJSZLOT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJSZOTL,X,O,X,X,O,X,O,X,X,X,X,X,X
IJSZOLT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJSOTLZ,O,X,O,X,O,X,O,X,X,X,X,O,X
IJSOTZL,O,X,O,X,O,X,O,X,X,X,X,X,X
IJSOLTZ,O,X,O,X,O,X,O,X,O,X,X,O,X
IJSOLZT,X,X,O,X,O,X,O,X,O,X,X,X,X
IJSOZTL,X,X,O,X,O,X,O,X,X,X,X,X,X
IJSOZLT,X,X,X,X,O,X,O,X,X,X,X,X,X
IJZTLSO,X,O,X,X,X,X,O,O,X,X,X,O,X
IJZTLOS,X,O,X,X,X,X,X,X,X,X,X,O,X
IJZTSLO,X,O,X,X,O,X,O,X,X,X,X,O,X
IJZTSOL,X,O,X,X,O,X,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZTOSL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,O,O,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,O,X,X,X,X,X,X
IJZLSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IJZLOTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,X,X,O,X,O,X,X,X,X,O,X
IJZSTOL,O,O,X,X,O,X,O,X,X,X,X,X,X
IJZSLTO,O,O,X,X,O,X,O,X,X,X,X,X,X
IJZSLOT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJZSOTL,X,O,X,X,O,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,X,O,X,O,X,X,X,X,X,X
IJZOTLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZOTSL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZOLTS,X,O,X,X,O,X,X,X,O,X,X,X,X
IJZOLST,X,O,X,X,X,X,X,X,O,X,X,X,X
IJZOSTL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZOSLT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,O,O,O,X,X,O,X
IJOTLZS,X,O,O,X,O,X,X,X,O,X,X,O,X
IJOTSLZ,X,X,O,X,O,X,O,X,O,X,X,O,X
IJOTSZL,X,X,O,X,O,X,O,X,X,X,X,X,X
IJOTZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJOTZSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,O,X,X,X,O,O,O,X,X,X,X
IJOLTZS,X,O,O,X,O,X,X,X,O,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,O,X,O,X,X,X,X
IJOLSZT,X,X,O,X,X,O,O,X,O,X,X,X,X
IJOLZTS,X,O,O,X,O,O,X,X,O,X,X,X,X
IJOLZST,X,O,O,X,X,O,X,X,O,X,X,X,X
IJOSTLZ,O,X,O,X,O,X,O,X,X,X,X,O,X
IJOSTZL,O,X,O,X,O,X,O,X,X,X,X,X,X
IJOSLTZ,O,X,O,X,O,X,O,X,O,X,X,X,X
IJOSLZT,X,X,O,X,O,X,O,X,O,X,X,X,X
IJOSZTL,X,X,O,X,O,X,O,X,X,X,X,X,X
IJOSZLT,X,X,X,X,O,X,O,X,X,X,X,X,X
IJOZTLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJOZTSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJOZLTS,X,O,X,X,O,X,X,X,O,X,X,X,X
IJOZLST,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOZSTL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJOZSLT,X,O,X,X,O,X,X,X,X,X,X,X,X
ISTLJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTLZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
ISTLZOJ,O,X,X,O,X,X,O,X,X,X,X,X,O
ISTLOJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTLOZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTJLZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTJZLO,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTJOLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTJOZL,X,X,X,X,X,X,O,X,X,X,X,X,X
ISTZLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
ISTZLOJ,O,X,X,O,X,X,O,X,X,O,X,X,O
ISTZJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
ISTZJOL,O,O,X,O,X,X,O,X,X,O,X,X,X
ISTZOLJ,O,X,X,O,X,X,O,X,X,O,X,X,O
ISTZOJL,O,X,X,O,X,X,O,X,X,O,X,X,X
ISTOLJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTOLZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTOJLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTOZLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
ISTOZJL,O,X,X,O,X,X,O,X,X,O,X,X,X
ISLTJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLTJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLTZJO,O,O,X,O,X,X,O,X,X,X,X,X,X
ISLTZOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLTOJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLJTZO,O,O,X,O,X,X,O,O,X,X,X,X,X
ISLJTOZ,O,X,X,O,X,X,O,O,X,X,X,X,X
ISLJZTO,O,O,X,O,X,X,O,O,X,X,X,X,X
ISLJZOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISLJOTZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLJOZT,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZTJO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLZJTO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISLZJOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZOJT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISLOTJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLOTZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLOJZT,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLOZTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLOZJT,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJTLZO,O,O,X,O,X,X,O,O,X,X,X,O,X
ISJTLOZ,O,X,X,O,X,X,O,O,X,X,X,O,X
ISJTZLO,O,O,X,O,X,X,O,X,X,X,X,O,X
ISJTZOL,O,O,X,X,X,X,O,X,X,X,X,X,X
ISJTOLZ,O,X,X,O,X,X,O,X,X,X,X,O,X
ISJTOZL,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJLTZO,O,O,X,O,X,X,O,O,X,X,X,O,X
ISJLTOZ,O,X,X,O,X,X,O,O,X,X,X,O,X
ISJLZTO,O,O,X,O,X,X,O,O,X,X,X,X,X
ISJLZOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJLOTZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISJLOZT,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJZTLO,O,O,X,O,X,X,O,X,X,X,X,O,X
ISJZTOL,O,O,X,O,X,X,O,X,X,X,X,X,X
ISJZLTO,O,O,X,O,X,X,O,X,X,X,X,X,X
ISJZLOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJZOTL,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJZOLT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISJOTLZ,O,X,X,O,X,X,O,X,X,X,X,O,X
ISJOTZL,O,X,X,O,X,X,O,X,X,X,X,X,X
ISJOLTZ,O,X,X,O,X,X,O,X,O,X,X,X,X
ISJOLZT,X,X,X,O,X,X,O,X,O,X,X,X,X
ISJOZTL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJOZLT,X,X,X,O,X,X,O,X,X,X,X,X,X
