sequence,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BfjB6jBUlBFmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BSjBUjBFlBXmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFKh?BGeBUjBFlBzqBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BTjBUlBFmBerBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFfj?B6jBUhBFlBzlBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BVlBTjBOrBXqB8qB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BlgB0fBXmBilBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez7IvhFSj?BVlBUjBXmBmkBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFCe?BVmBTjB0fB2qBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8JeZAJvhFzb?BGeBUjB3qB6pBFrB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFGe?BVmBUjBZlBzqB6pB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BZlBUhBfrB6pBlqB
ITZJSOL,O,O,X,X,O,X,X,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,X,X,X,X,X,X
ITZJOSL,O,X,X,O,O,X,X,X,X,X,X,O
ITZSLJO,O,O,X,X,O,X,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X,O,X,X,X,X
ITZSJLO,O,O,X,X,O,X,X,X,X,X,X,X
ITZSJOL,O,O,X,X,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,O,X,X,X,O,O,X,X,X
ITZSOJL,O,O,X,O,X,X,X,X,X,X,X,X
ITZOLJS,O,O,X,O,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,O,X,X,X,X,O,X,X,X
ITZOJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITZOJSL,O,X,X,O,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,O,X,X,X,X,O,X,X,X
ITZOSJL,O,X,X,O,X,X,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,X,X,X,O,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,X,X,O,O,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,O,O,X,X,X
ITOLZJS,X,O,X,O,X,X,X,X,X,X,X,X
ITOLZSJ,X,X,X,O,X,X,X,X,O,X,X,X
ITOJLSZ,O,O,X,X,X,X,X,X,O,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,O,X,X,X,O,X,X,X
ITOJSZL,O,O,X,X,O,X,X,X,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJZSL,O,X,X,X,O,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,O,X,X,O,O,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,O,O,X,X,X
ITOSJLZ,O,O,X,X,O,X,X,O,O,X,X,X
ITOSJZL,O,O,X,X,O,X,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,O,O,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,O,X,X,X,X,O,X,X,X
ITOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,X,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X,X,X,O,X,X,X
ITOZSJL,O,X,X,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,X,X,O,X,X,X,X,X,X,X
ILTJSOZ,O,O,X,X,O,X,X,O,X,X,X,X
ILTJZSO,X,O,X,X,O,X,X,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X,X,X,X,X
ILTJOSZ,O,O,X,X,X,X,X,X,X,X,X,X
ILTJOZS,X,O,X,X,X,X,X,X,X,X,X,X
ILTSJZO,O,O,X,X,O,X,X,X,X,X,X,X
ILTSJOZ,O,O,X,X,O,X,X,O,X,X,X,X
ILTSZJO,O,O,X,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,O,X,X,X,X
ILTSOJZ,O,O,X,X,O,X,X,O,O,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,O,O,X,X,X
ILTZJSO,O,O,X,X,X,X,X,X,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,O,X,X,X,X
ILTZOJS,O,O,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,X,X,X,O,X,X,X
ILTOJZS,X,O,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,O,X,X,X,X,X,O,O,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,O,O,X,X,X
ILTOZJS,X,O,X,X,X,X,X,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,X,O,X,X,X
ILJTSZO,O,O,X,X,O,X,X,X,X,X,X,X
ILJTSOZ,O,O,X,X,O,X,X,O,X,X,X,X
ILJTZSO,X,O,X,X,O,X,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X,X,X,X,X
ILJTOSZ,O,O,X,X,X,X,X,X,X,X,X,X
ILJTOZS,X,O,X,X,X,X,X,X,X,X,X,X
ILJSTZO,O,O,X,X,O,X,X,X,X,X,X,X
ILJSTOZ,O,O,X,X,O,X,O,O,X,X,X,X
ILJSZTO,O,X,X,X,O,X,X,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,X,X,X,X,X,X
ILJSOTZ,O,O,X,X,O,X,O,X,X,X,X,X
ILJSOZT,O,O,X,X,X,X,X,X,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X,X,X,X,X,X
ILJZTOS,O,O,O,X,X,X,X,X,X,X,X,X
ILJZSTO,O,X,X,X,X,X,X,X,X,X,X,X
ILJZSOT,O,O,O,X,X,X,X,X,X,X,X,X
ILJZOTS,X,X,O,X,X,X,X,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,X,X,X,X,X,O
ILJOTSZ,X,O,X,X,X,X,X,X,X,X,X,X
ILJOTZS,X,O,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,O,X,X,X,X,X
ILJOSZT,X,O,X,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,X,X,O
ILSTJZO,O,O,X,X,O,X,X,X,X,X,X,X
ILSTJOZ,O,O,X,X,O,X,O,O,X,X,X,X
ILSTZJO,O,O,X,X,O,X,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,O,X,X,X,X
ILSTOJZ,O,O,X,X,O,X,X,O,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,O,X,X,X,X
ILSJTZO,O,O,X,X,O,X,X,X,X,X,X,X
ILSJTOZ,O,O,X,X,O,X,O,O,X,X,X,X
ILSJZTO,O,X,X,X,O,X,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,O,O,X,X,O,X,O,X,X,X,X,X
ILSJOZT,O,O,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,O,X,X,O,X,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,O,X,X,X,X
ILSZJTO,O,X,X,X,O,X,X,X,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,O,X,X,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,O,X,X,X,X
ILSOJTZ,O,O,X,X,O,X,X,X,X,X,X,X
ILSOJZT,O,O,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,X,X,X,X,X,X
ILZTJOS,O,O,O,X,X,X,X,X,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,O,X,X,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,X,X,X,X,X
ILZJTSO,O,O,X,X,X,X,X,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X,X,X,X,X,X
ILZJSTO,O,X,X,X,X,X,X,X,X,X,X,X
ILZJSOT,O,O,O,X,X,X,X,X,X,X,X,X
ILZJOTS,X,X,O,X,X,X,X,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,X,X,X,X,X,O
ILZSTJO,O,O,X,X,X,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,O,X,X,X,X
ILZSJTO,O,X,X,X,X,X,X,X,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,X,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X,X,X,X,X
ILZOTJS,X,X,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,X,X,X,X,X,X
ILZOJTS,X,X,O,X,X,X,X,X,X,X,X,X
ILZOJST,X,X,O,X,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSJT,X,X,O,X,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,X,X,X,O,X,X,X
ILOTJZS,X,O,O,X,X,X,X,X,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,O,O,X,X,X
ILOTSZJ,X,O,O,X,X,X,X,O,O,X,X,X
ILOTZJS,X,O,O,X,X,X,X,X,X,X,X,X
ILOTZSJ,X,X,O,X,X,X,X,X,O,X,X,X
ILOJTSZ,X,O,X,X,X,X,X,X,O,X,X,X
ILOJTZS,X,O,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOJSZT,X,O,X,X,X,X,X,X,X,X,X,X
ILOJZTS,X,X,O,X,X,X,X,X,X,X,X,X
ILOJZST,X,X,O,X,X,X,X,X,X,X,X,X
ILOSTJZ,X,O,X,X,X,X,X,O,O,X,X,X
ILOSTZJ,X,O,X,X,X,X,X,O,O,X,X,X
ILOSJTZ,X,O,X,X,X,X,X,X,X,X,X,X
ILOSJZT,X,O,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,X,X,X,X,X,X,X
ILOSZJT,X,O,O,X,X,X,X,X,X,X,X,X
ILOZTJS,X,X,O,X,X,X,X,X,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,X,X,O,X,X,X
ILOZJTS,X,X,O,X,X,X,X,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSJT,X,X,O,X,X,X,X,X,X,X,X,X
IJTLSZO,O,O,X,X,O,X,X,X,X,X,X,X
IJTLSOZ,O,O,X,X,O,X,X,O,X,X,X,X
IJTLZSO,X,O,X,X,O,X,X,X,X,X,X,X
IJTLZOS,X,O,X,X,X,X,X,X,X,X,X,X
IJTLOSZ,O,O,X,X,X,X,X,X,X,X,X,X
IJTLOZS,X,O,X,X,X,X,X,X,X,X,X,X
IJTSLZO,O,O,X,X,O,X,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,O,X,O,O,X,X,X,X
IJTSZLO,O,O,X,X,O,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,O,X,O,X,X,X,X,X
IJTSOLZ,O,O,X,X,O,X,O,O,O,X,X,X
IJTSOZL,O,O,X,X,O,X,O,X,X,X,X,X
IJTZLSO,O,O,X,X,O,X,X,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,X,X,X,X,X,X
IJTZSLO,O,O,X,X,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,O,X,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X,X,X,X,X,X,X
IJTZOSL,O,X,X,X,O,X,X,X,X,X,X,O
IJTOLSZ,O,O,X,X,X,X,X,X,O,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,X,O,X,O,X,O,X,X,X
IJTOSZL,O,O,X,X,O,X,O,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X,X,X,X,X
IJTOZSL,O,X,X,X,O,X,X,X,X,X,X,O
IJLTSZO,O,O,X,X,O,X,X,X,X,X,X,X
IJLTSOZ,O,O,X,X,O,X,X,O,X,X,X,X
IJLTZSO,X,O,X,X,O,X,X,X,X,X,X,X
IJLTZOS,X,O,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,O,O,X,X,X,X,X,X,X,X,X,X
IJLTOZS,X,O,X,X,X,X,X,X,X,X,X,X
IJLSTZO,O,O,X,X,O,X,X,X,X,X,X,X
IJLSTOZ,O,O,X,X,O,X,O,O,X,X,X,X
IJLSZTO,O,X,X,X,O,X,X,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,O,O,X,X,O,X,O,X,X,X,X,X
IJLSOZT,O,O,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,O,X,X,X,X,X,X,X,X,X,X
IJLZTOS,O,O,X,X,X,X,X,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X,X,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,X,X,O
IJLOTSZ,X,O,X,X,X,X,X,X,X,X,X,X
IJLOTZS,X,O,X,X,X,X,X,X,X,X,X,X
IJLOSTZ,X,O,X,X,X,X,O,X,X,X,X,X
IJLOSZT,X,O,X,X,X,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,X,X,O
IJSTLZO,O,O,X,X,O,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,O,X,O,O,X,X,X,X
IJSTZLO,O,O,X,X,O,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,O,X,O,X,X,X,X,X
IJSTOLZ,O,O,X,X,O,O,O,O,X,X,X,X
IJSTOZL,O,O,X,X,O,O,O,X,X,X,X,X
IJSLTZO,O,O,X,X,O,X,X,X,X,X,X,X
IJSLTOZ,O,O,X,X,O,X,O,O,X,X,X,X
IJSLZTO,O,X,X,X,O,X,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,O,O,X,X,O,X,O,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,X,X,X,X,X,X
IJSZTLO,O,X,X,X,O,X,X,X,X,X,X,X
IJSZTOL,O,X,X,X,O,X,O,X,X,X,X,X
IJSZLTO,O,X,X,X,O,X,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,O,X,X,X,X,O
IJSZOLT,O,O,X,X,X,X,X,X,X,X,X,O
IJSOTLZ,O,O,X,X,O,O,O,X,X,X,X,X
IJSOTZL,O,X,X,X,O,O,O,X,X,X,X,X
IJSOLTZ,O,O,X,X,O,O,O,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,O,X,X,X,X,O
IJSOZLT,O,O,X,X,X,X,X,X,X,X,X,O
IJZTLSO,O,O,X,X,O,X,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X,X,X,X,X,X
IJZTSLO,O,O,X,X,O,X,X,X,X,X,X,X
IJZTSOL,O,O,X,X,O,X,X,X,X,X,X,X
IJZTOLS,O,O,X,X,X,X,X,X,X,X,X,X
IJZTOSL,O,X,X,X,O,X,X,X,X,X,X,O
IJZLTSO,O,O,X,X,X,X,X,X,X,X,X,X
IJZLTOS,O,O,X,X,X,X,X,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,X,X,X,O
IJZSTLO,O,X,X,X,O,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,O,X,O,X,X,X,X,X
IJZSLTO,O,X,X,X,O,X,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,O,X,X,X,X,O
IJZSOLT,O,O,X,X,X,X,X,X,X,X,X,O
IJZOTLS,O,X,X,X,X,X,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X,X,X,X,O
IJZOLTS,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,X,X,X,X,X,X,O
IJZOSTL,O,X,X,X,X,X,O,X,X,X,X,O
IJZOSLT,O,X,X,X,X,X,X,X,X,X,X,O
IJOTLSZ,O,O,X,X,X,X,X,X,O,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,X,O,X,O,X,O,X,X,X
IJOTSZL,O,O,X,X,O,X,O,X,X,X,X,X
IJOTZLS,X,O,X,X,X,X,X,X,X,X,X,X
IJOTZSL,O,X,X,X,O,X,X,X,X,X,X,O
IJOLTSZ,X,O,X,X,X,X,X,X,O,X,X,X
IJOLTZS,X,O,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,X,O,X,X,X,O,O,X,X,X,X,X
IJOLSZT,X,O,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,X,X,X,X,O
IJOSTLZ,O,O,X,X,O,O,O,X,X,X,X,X
IJOSTZL,O,X,X,X,O,O,O,X,X,X,X,X
IJOSLTZ,O,O,X,X,O,O,O,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,X,X,X,O,X,X,X,X,O
IJOSZLT,O,O,X,X,X,X,X,X,X,X,X,O
IJOZTLS,O,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,X,X,X,X,O
IJOZLTS,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,X,X,X,X,X,O
IJOZSTL,O,X,X,X,X,X,O,X,X,X,X,O
IJOZSLT,O,X,X,X,X,X,X,X,X,X,X,O
ISTLJZO,O,O,X,X,O,X,X,X,X,X,X,X
ISTLJOZ,O,O,X,X,O,X,O,O,X,X,X,X
ISTLZJO,O,O,X,X,O,X,X,X,X,O,X,X
ISTLZOJ,O,O,X,X,X,X,X,O,X,O,X,X
ISTLOJZ,O,O,X,X,O,X,X,O,O,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,O,O,O,X,X
ISTJLZO,O,O,X,X,O,X,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,O,X,O,O,X,X,X,X
ISTJZLO,O,O,X,X,O,X,X,X,X,O,X,X
ISTJZOL,O,O,X,X,O,X,O,X,X,O,X,X
ISTJOLZ,O,O,X,X,O,X,O,O,O,X,X,X
ISTJOZL,O,O,X,X,O,X,O,X,X,O,X,X
ISTZLJO,O,O,X,X,O,X,X,X,X,O,X,X
ISTZLOJ,O,O,X,X,X,X,X,O,X,O,X,X
ISTZJLO,O,O,X,X,O,X,X,X,X,O,X,X
ISTZJOL,O,O,X,X,O,X,O,X,X,O,X,X
ISTZOLJ,O,O,X,X,X,X,X,O,O,O,X,X
ISTZOJL,O,O,X,X,X,X,X,X,X,O,X,X
ISTOLJZ,O,O,X,X,O,X,X,O,O,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,O,O,O,X,X
ISTOJLZ,O,O,X,X,O,X,O,O,O,X,X,X
ISTOJZL,O,O,X,X,O,X,O,X,X,O,X,X
ISTOZLJ,O,O,X,X,X,X,X,O,O,O,X,X
ISTOZJL,O,O,X,X,X,X,X,X,X,O,X,X
ISLTJZO,O,O,X,X,O,X,X,X,X,X,X,X
ISLTJOZ,O,O,X,X,O,X,O,O,X,X,X,X
ISLTZJO,O,O,X,X,O,X,X,X,X,O,X,X
ISLTZOJ,O,O,X,X,X,X,X,O,X,O,X,X
ISLTOJZ,O,O,X,X,O,X,X,O,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,O,X,O,X,X
ISLJTZO,O,O,X,X,O,X,X,X,X,X,X,X
ISLJTOZ,O,O,X,X,O,X,O,O,X,X,X,X
ISLJZTO,O,X,X,X,O,X,X,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,O,X,X,O,X,O,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,X,O,X,X,X,X,O,X,X
ISLZTOJ,O,O,X,X,X,X,X,O,X,O,X,X
ISLZJTO,O,X,X,X,O,X,X,X,X,O,X,X
ISLZJOT,O,O,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,X,X,O,X,X,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X,O,X,X,X,X
ISLOJTZ,O,O,X,X,O,X,X,X,X,X,X,X
ISLOJZT,O,O,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,O,X,X,X,X,X,X,X,X,X,X
ISJTLZO,O,O,X,X,O,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,O,X,O,O,X,X,X,X
ISJTZLO,O,O,X,X,O,X,X,X,X,O,X,X
ISJTZOL,O,O,X,X,O,X,O,X,X,O,X,X
ISJTOLZ,O,O,X,X,O,X,O,O,X,X,X,X
ISJTOZL,O,O,X,X,O,X,O,X,X,O,X,X
ISJLTZO,O,O,X,X,O,X,X,X,X,X,X,X
ISJLTOZ,O,O,X,X,O,X,O,O,X,X,X,X
ISJLZTO,O,X,X,X,O,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,O,X,O,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,X,X,X,O,X,X,X,X,O,X,X
ISJZTOL,O,X,X,X,O,X,O,X,X,O,X,X
ISJZLTO,O,X,X,X,O,X,X,X,X,O,X,X
ISJZLOT,O,O,X,X,X,X,X,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,O,X,X,O,X,O
ISJZOLT,O,O,X,X,X,X,X,X,X,X,X,O
ISJOTLZ,O,O,X,X,O,X,O,X,X,X,X,X
ISJOTZL,O,X,X,X,O,X,O,X,X,X,X,X
ISJOLTZ,O,O,X,X,O,X,O,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,X,X,X,X,X,O,X,X,X,X,O
ISJOZLT,O,O,X,X,X,X,X,X,X,X,X,O
ISZTLJO,O,O,X,X,O,X,X,X,X,O,X,X
ISZTLOJ,O,O,X,X,X,X,X,O,X,O,X,X
ISZTJLO,O,O,X,X,O,X,X,X,X,O,X,X
ISZTJOL,O,O,X,X,O,X,O,X,X,O,X,X
ISZTOLJ,O,O,X,X,X,X,X,O,X,O,X,X
ISZTOJL,O,O,X,X,X,X,X,X,X,O,X,X
ISZLTJO,O,O,X,X,O,X,X,X,X,O,X,X
ISZLTOJ,O,O,X,X,X,X,X,O,X,O,X,X
ISZLJTO,O,X,X,X,O,X,X,X,X,O,X,X
ISZLJOT,O,O,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,X,X,O,X,X,X,X,O,X,X
ISZJTOL,O,X,X,X,O,X,O,X,X,O,X,X
ISZJLTO,O,X,X,X,O,X,X,X,X,O,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,O,X,X,O,X,O
ISZJOLT,O,O,X,X,X,X,X,X,X,X,X,O
ISZOTLJ,O,X,X,X,X,X,X,X,X,O,X,X
ISZOTJL,O,X,X,X,X,X,X,X,X,O,X,X
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X,X,X,O,X,X
ISZOJLT,O,O,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,O,X,X,O,O,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,O,O,O,X,X
ISOTJLZ,O,O,X,X,O,X,O,O,O,X,X,X
ISOTJZL,O,O,X,X,O,X,O,X,X,O,X,X
ISOTZLJ,O,O,X,X,X,X,X,O,O,O,X,X
ISOTZJL,O,O,X,X,X,X,X,X,X,O,X,X
ISOLTJZ,O,O,X,X,O,X,X,O,O,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,O,O,X,X,X
ISOLJTZ,O,O,X,X,O,X,X,X,X,X,X,X
ISOLJZT,O,O,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,O,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,O,X,O,X,X,X,X,X
ISOJTZL,O,X,X,X,O,X,O,X,X,X,X,X
ISOJLTZ,O,O,X,X,O,X,O,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,O,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,O,X,X
ISOZTJL,O,X,X,X,X,X,X,X,X,O,X,X
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X,X,O,X,X
ISOZJLT,O,O,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,O,X,X,X,X
IZTLOJS,O,O,X,O,X,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,O,X,X,O,X,X,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,X,X,X,X,X
IZTJSLO,O,O,X,X,O,X,X,X,X,X,X,X
IZTJSOL,O,O,X,X,O,X,X,X,X,X,X,X
