sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TLSOIJZ,X,O,O,O,O,X,O,O,X,X,X,X
TLSOIZJ,X,O,O,O,X,X,O,X,X,O,X,X
TLSOJIZ,X,O,X,O,O,X,O,O,X,X,X,X
TLSOJZI,X,O,X,O,O,X,O,O,X,X,X,X
TLSOZIJ,X,O,X,O,O,X,O,X,X,O,X,X
TLSOZJI,X,O,X,O,O,X,O,O,X,O,X,X
TLZIJSO,O,O,O,O,O,O,O,X,X,O,X,X
TLZIJOS,O,O,O,X,X,O,O,X,X,X,X,X
TLZISJO,O,O,O,X,X,O,X,X,X,O,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X,O,X,X
TLZIOJS,O,O,O,X,X,O,X,X,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,X,X,O,X,X
TLZJISO,O,O,O,O,O,O,O,X,X,O,X,X
TLZJIOS,O,O,O,X,X,O,O,X,X,X,X,X
TLZJSIO,O,O,O,O,O,O,O,X,X,O,X,X
TLZJSOI,O,O,X,O,O,O,X,X,X,O,X,X
TLZJOIS,O,O,O,X,X,O,O,X,X,X,X,X
TLZJOSI,O,O,X,X,X,O,O,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,O,X,X,O,X,X
TLZSIOJ,O,O,O,X,O,X,X,X,X,O,X,X
TLZSJIO,O,O,O,O,O,O,O,X,X,O,X,X
TLZSJOI,O,O,X,O,O,O,X,X,X,O,X,X
TLZSOIJ,O,O,X,O,O,X,X,X,X,O,X,X
TLZSOJI,O,O,X,O,O,X,X,O,X,O,X,X
TLZOIJS,O,O,O,X,X,O,O,X,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X,X,X,O,X,X
TLZOJIS,O,O,O,X,X,O,O,X,X,X,X,X
TLZOJSI,O,O,X,X,X,O,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,O,X,X,O,X,X
TLZOSJI,O,O,X,X,X,X,O,X,X,O,X,X
TLOIJSZ,X,O,X,O,O,O,O,X,X,X,X,X
TLOIJZS,O,X,O,X,X,O,O,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,O,X,X,X,X,X
