sequence,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxiBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oB0rBms?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBxiBesBStBXr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oBXrBms?B0rB,v115@9gC8GeB8HeC8GeC8DeA8LeRBJvhF3iB9oB6qBOrBzr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmB5oB8qBznByw?BmsB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoB0rBTt?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhF9mBSoBzqBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBSoBXrBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFmhBCjB0rBxsBXr?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmBziB5oB8qBms?BywB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoBXrBTt?B0rB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxnBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFzhB0rBxsBerBft?B6tB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBXjByrB+tB0n?BRwB,v115@9gC8GeB8HeC8GeC8DeA8Le9GJvhFxiB0lBesBftB6t?BzqB,v115@9gC8GeB8HeC8GeC8DeA8LemCJvhF5oB0lBdsBftBTr?BCrB
JSITLZO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
JSITLOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
JSITZLO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,O
JSITZOL,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
JSITOLZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSITOZL,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
JSILTZO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
JSILTOZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
JSILZTO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O
JSILZOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSILOTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JSILOZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSIZTLO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
JSIZTOL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JSIZLTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O
JSIZLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSIZOTL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSIZOLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSIOTLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOTZL,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSIOLTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOLZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JSIOZTL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSIOZLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSLTIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
JSLTIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
JSLTZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSLTZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLTOIZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLTOZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLITZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
JSLITOZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JSLIZTO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O
JSLIZOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSLIOTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JSLIOZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSLZTIO,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
JSLZTOI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSLZITO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
JSLZIOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSLZOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSLZOIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JSLOTIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLOTZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLOITZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLOIZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JSLOZTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSLOZIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JSZTILO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
JSZTIOL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JSZTLIO,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O
JSZTLOI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JSZTOIL,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JSZTOLI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JSZITLO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
JSZITOL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JSZILTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O
JSZILOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSZIOTL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSZIOLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSZLTIO,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
JSZLTOI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSZLITO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
JSZLIOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSZLOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSZLOIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JSZOTIL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSZOTLI,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JSZOITL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSZOILT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSZOLTI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSZOLIT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X
JSOTILZ,X,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JSOTIZL,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,O
JSOTLIZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOTLZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOTZIL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSOTZLI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
JSOITLZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOITZL,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,O
JSOILTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOILZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JSOIZTL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSOIZLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSOLTIZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOLTZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOLITZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOLIZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JSOLZTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JSOLZIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JSOZTIL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSOZTLI,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JSOZITL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JSOZILT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JSOZLTI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSOZLIT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X
JZTILSO,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X
JZTILOS,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
JZTISLO,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,O,O
JZTISOL,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O
JZTIOLS,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
JZTIOSL,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
JZTLISO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZTLIOS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLSIO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZTLSOI,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X
JZTLOIS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLOSI,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTSILO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
JZTSIOL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JZTSLIO,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O
JZTSLOI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X
JZTSOIL,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JZTSOLI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X
JZTOILS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTOISL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZTOLIS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTOLSI,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTOSIL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZTOSLI,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X
JZITLSO,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X
JZITLOS,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X
JZITSLO,O,O,X,O,O,X,X,X,X,O,O,X,X,O,O,O,O
JZITSOL,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O
JZITOLS,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
JZITOSL,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
JZILTSO,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
JZILTOS,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZILSTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZILSOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZILOTS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZILOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZISTLO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
JZISTOL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JZISLTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O
JZISLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZISOTL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JZISOLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZIOTLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZIOTSL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZIOLTS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZIOLST,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZIOSTL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZIOSLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZLTISO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLTIOS,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLTSIO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZLTSOI,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X
JZLTOIS,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLTOSI,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLITSO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLITOS,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLISTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLISOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLIOTS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLIOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLSTIO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZLSTOI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZLSITO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZLSIOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZLSOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZLSOIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JZLOTIS,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOTSI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOITS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOIST,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JZLOSTI,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOSIT,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JZSTILO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
JZSTIOL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JZSTLIO,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O
JZSTLOI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSTOIL,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JZSTOLI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSITLO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
JZSITOL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JZSILTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O
JZSILOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSIOTL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JZSIOLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZSLTIO,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
JZSLTOI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSLITO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
JZSLIOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSLOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSLOIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JZSOTIL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JZSOTLI,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZSOITL,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JZSOILT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZSOLTI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JZSOLIT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X
JZOTILS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOTISL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZOTLIS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOTLSI,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOTSIL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZOTSLI,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X
JZOITLS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOITSL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZOILTS,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOILST,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZOISTL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZOISLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZOLTIS,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOLTSI,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOLITS,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOLIST,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JZOLSTI,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOLSIT,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JZOSTIL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZOSTLI,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOSITL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZOSILT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JZOSLTI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JZOSLIT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X
JOTILSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOTISLZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTISZL,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JOTIZLS,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTIZSL,O,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
JOTLISZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLIZS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTLSIZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLSZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLZIS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTLZSI,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTSILZ,X,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JOTSIZL,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JOTSLIZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOTSLZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOTSZIL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOTSZLI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
JOTZILS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOTZISL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOTZLIS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOTZLSI,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOTZSIL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOTZSLI,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X
JOITLSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOITLZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
JOITSLZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOITSZL,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JOITZLS,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JOITZSL,O,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
JOILTSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOILTZS,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X
JOILSTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOILSZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOILZTS,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOILZST,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOISTLZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOISTZL,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JOISLTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOISLZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOISZTL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOISZLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOIZTLS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOIZTSL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOIZLTS,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOIZLST,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOIZSTL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOIZSLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOLTISZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTIZS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLTSIZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTSZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTZIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLTZSI,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLITSZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLITZS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLISTZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLISZT,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JOLIZTS,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLIZST,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JOLSTIZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSTZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSITZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSIZT,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JOLSZTI,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLSZIT,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JOLZTIS,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLZTSI,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLZITS,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JOLZIST,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JOLZSTI,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLZSIT,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JOSTILZ,X,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JOSTIZL,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JOSTLIZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOSTLZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOSTZIL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSTZLI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
JOSITLZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOSITZL,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JOSILTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOSILZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSIZTL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOSIZLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOSLTIZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOSLTZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOSLITZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOSLIZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JOSLZTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JOSLZIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JOSZTIL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOSZTLI,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JOSZITL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOSZILT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
JOSZLTI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JOSZLIT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X
JOZTILS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOZTISL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOZTLIS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
