sequence,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmB0sBXsB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFfiBldB5jB8nB6rB2xB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmBXsB0sB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFUdB5jBlmB3nBatBWxB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFRdB1mBGoBXnBSxBctB
JTZLSOI,O,X,X,X,O
JTZLOIS,O,X,O,X,X
JTZLOSI,O,X,X,X,O
JTZSILO,O,O,X,X,X
JTZSIOL,O,O,X,X,X
JTZSLIO,O,O,X,X,X
JTZSLOI,O,O,X,X,X
JTZSOIL,O,O,X,X,X
JTZSOLI,O,O,X,X,X
JTZOILS,O,X,O,X,X
JTZOISL,O,O,O,X,X
JTZOLIS,O,X,O,X,X
JTZOLSI,O,X,X,X,O
JTZOSIL,O,O,X,X,X
JTZOSLI,O,O,X,X,X
JTOILSZ,O,X,O,X,O
JTOILZS,O,X,O,X,X
JTOISLZ,O,X,O,O,X
JTOISZL,O,O,O,O,X
JTOIZLS,O,X,O,X,X
JTOIZSL,O,O,O,X,X
JTOLISZ,O,X,O,X,O
JTOLIZS,O,X,O,X,X
JTOLSIZ,O,X,O,X,O
JTOLSZI,X,X,X,X,O
JTOLZIS,O,X,O,X,X
JTOLZSI,O,X,X,X,O
JTOSILZ,O,X,O,O,X
JTOSIZL,O,O,O,O,X
JTOSLIZ,O,X,O,X,O
JTOSLZI,X,X,O,X,O
JTOSZIL,X,O,O,O,X
JTOSZLI,X,O,O,X,X
JTOZILS,O,X,O,X,X
JTOZISL,O,O,O,X,X
JTOZLIS,O,X,O,X,X
JTOZLSI,O,X,X,X,O
JTOZSIL,O,O,X,X,X
JTOZSLI,O,O,X,X,X
JITLSZO,X,X,O,X,O
JITLSOZ,O,X,O,X,O
JITLZSO,O,X,X,X,X
JITLZOS,O,X,O,X,X
JITLOSZ,O,X,O,X,O
JITLOZS,O,X,O,X,X
JITSLZO,X,X,O,O,X
JITSLOZ,O,X,O,O,X
JITSZLO,O,O,O,O,X
JITSZOL,O,O,O,O,X
JITSOLZ,O,X,O,O,X
JITSOZL,O,O,O,O,X
JITZLSO,O,X,X,X,X
JITZLOS,O,X,O,X,X
JITZSLO,O,O,O,X,X
JITZSOL,O,O,O,X,X
JITZOLS,O,X,O,X,X
JITZOSL,O,O,O,X,X
JITOLSZ,O,X,O,X,O
JITOLZS,O,X,O,X,X
JITOSLZ,O,X,O,O,X
JITOSZL,O,O,O,O,X
JITOZLS,O,X,O,X,X
JITOZSL,O,O,O,X,X
JILTSZO,X,O,O,X,O
JILTSOZ,O,O,O,X,O
JILTZSO,O,O,X,X,X
JILTZOS,O,O,O,X,X
JILTOSZ,O,O,O,X,O
JILTOZS,O,O,O,X,X
JILSTZO,X,O,O,X,X
JILSTOZ,X,O,O,X,X
JILSZTO,X,O,X,X,X
JILSZOT,X,O,X,X,X
JILSOTZ,X,O,O,X,X
JILSOZT,X,O,X,X,X
JILZTSO,O,O,X,X,X
JILZTOS,O,O,X,X,X
JILZSTO,X,O,X,X,X
JILZSOT,X,O,X,X,X
JILZOTS,O,O,X,X,X
JILZOST,X,O,X,X,X
JILOTSZ,O,O,O,X,O
JILOTZS,O,O,O,X,X
JILOSTZ,X,O,O,X,X
JILOSZT,X,O,X,X,X
JILOZTS,O,O,X,X,X
JILOZST,X,O,X,X,X
JISTLZO,X,X,O,O,X
JISTLOZ,O,X,O,O,X
JISTZLO,O,O,O,O,X
JISTZOL,O,O,O,O,X
JISTOLZ,O,X,O,O,X
JISTOZL,O,O,O,O,X
JISLTZO,X,X,O,X,X
JISLTOZ,X,X,O,X,X
JISLZTO,X,O,X,X,X
JISLZOT,X,O,X,X,X
JISLOTZ,X,X,O,X,X
JISLOZT,X,O,X,X,X
JISZTLO,O,O,O,X,X
JISZTOL,O,O,O,X,X
JISZLTO,X,O,X,X,X
JISZLOT,X,O,X,X,X
JISZOTL,O,O,O,X,X
JISZOLT,X,O,X,X,X
JISOTLZ,O,X,O,O,X
JISOTZL,O,O,O,O,X
JISOLTZ,X,X,O,X,X
JISOLZT,X,O,X,X,X
JISOZTL,O,O,O,X,X
JISOZLT,X,O,X,X,X
JIZTLSO,O,X,X,X,X
JIZTLOS,O,X,O,X,X
JIZTSLO,O,O,O,X,X
JIZTSOL,O,O,O,X,X
JIZTOLS,O,X,O,X,X
JIZTOSL,O,O,O,X,X
JIZLTSO,O,X,X,X,X
JIZLTOS,O,X,X,X,X
JIZLSTO,X,O,X,X,X
JIZLSOT,X,O,X,X,X
JIZLOTS,O,X,X,X,X
JIZLOST,X,O,X,X,X
JIZSTLO,O,O,O,X,X
JIZSTOL,O,O,O,X,X
JIZSLTO,X,O,X,X,X
JIZSLOT,X,O,X,X,X
JIZSOTL,O,O,O,X,X
JIZSOLT,X,O,X,X,X
JIZOTLS,O,X,O,X,X
JIZOTSL,O,O,O,X,X
JIZOLTS,O,X,X,X,X
JIZOLST,X,O,X,X,X
JIZOSTL,O,O,O,X,X
JIZOSLT,X,O,X,X,X
JIOTLSZ,O,X,O,X,O
JIOTLZS,O,X,O,X,X
JIOTSLZ,O,X,O,O,X
JIOTSZL,O,O,O,O,X
JIOTZLS,O,X,O,X,X
JIOTZSL,O,O,O,X,X
JIOLTSZ,O,O,O,X,O
JIOLTZS,O,O,O,X,X
JIOLSTZ,X,O,O,X,X
JIOLSZT,X,O,X,X,X
JIOLZTS,O,O,X,X,X
JIOLZST,X,O,X,X,X
JIOSTLZ,O,X,O,O,X
JIOSTZL,O,O,O,O,X
JIOSLTZ,X,X,O,X,X
JIOSLZT,X,O,X,X,X
JIOSZTL,O,O,O,X,X
JIOSZLT,X,O,X,X,X
JIOZTLS,O,X,O,X,X
JIOZTSL,O,O,O,X,X
JIOZLTS,O,X,X,X,X
JIOZLST,X,O,X,X,X
JIOZSTL,O,O,O,X,X
JIOZSLT,X,O,X,X,X
JLTISZO,X,O,O,X,O
JLTISOZ,O,O,O,X,O
JLTIZSO,O,O,X,X,X
JLTIZOS,O,O,O,X,X
JLTIOSZ,O,O,O,X,O
JLTIOZS,O,O,O,X,X
JLTSIZO,X,O,X,X,O
JLTSIOZ,O,O,O,X,O
JLTSZIO,X,O,X,X,O
JLTSZOI,X,O,X,X,O
JLTSOIZ,O,O,O,X,O
JLTSOZI,X,O,X,X,O
JLTZISO,X,O,X,X,X
JLTZIOS,O,O,O,X,X
JLTZSIO,X,O,X,X,O
JLTZSOI,X,O,X,X,O
JLTZOIS,O,O,O,X,X
JLTZOSI,X,O,X,X,O
JLTOISZ,O,O,O,X,O
JLTOIZS,O,O,O,X,X
JLTOSIZ,O,O,O,X,O
JLTOSZI,X,O,X,X,O
JLTOZIS,O,O,O,X,X
JLTOZSI,X,O,X,X,O
JLITSZO,X,O,O,X,O
JLITSOZ,O,O,O,X,O
JLITZSO,O,O,X,X,X
JLITZOS,O,O,O,X,X
JLITOSZ,O,O,O,X,O
JLITOZS,O,O,O,X,X
JLISTZO,X,O,O,X,X
JLISTOZ,X,O,O,X,X
JLISZTO,X,O,X,X,X
JLISZOT,X,O,X,X,X
JLISOTZ,X,O,O,X,X
JLISOZT,X,O,X,X,X
JLIZTSO,O,O,X,X,X
JLIZTOS,O,O,X,X,X
JLIZSTO,X,O,X,X,X
JLIZSOT,X,O,X,X,X
JLIZOTS,O,O,X,X,X
JLIZOST,X,O,X,X,X
JLIOTSZ,O,O,O,X,O
JLIOTZS,O,O,O,X,X
JLIOSTZ,X,O,O,X,X
JLIOSZT,X,O,X,X,X
JLIOZTS,O,O,X,X,X
JLIOZST,X,O,X,X,X
JLSTIZO,X,O,O,X,O
JLSTIOZ,X,O,O,X,O
JLSTZIO,X,O,O,X,O
JLSTZOI,X,O,O,X,O
JLSTOIZ,X,O,O,X,O
JLSTOZI,X,O,O,X,O
JLSITZO,X,O,O,X,X
JLSITOZ,X,O,O,X,X
JLSIZTO,X,O,X,X,X
JLSIZOT,X,O,X,X,X
JLSIOTZ,X,O,O,X,X
JLSIOZT,X,O,X,X,X
JLSZTIO,X,O,X,X,X
JLSZTOI,X,O,X,X,X
JLSZITO,X,O,X,X,X
JLSZIOT,X,O,X,X,X
JLSZOTI,X,O,X,X,X
JLSZOIT,X,O,X,X,X
JLSOTIZ,X,O,O,X,O
JLSOTZI,X,O,O,X,O
JLSOITZ,X,O,O,X,X
JLSOIZT,X,O,X,X,X
JLSOZTI,X,O,X,X,X
JLSOZIT,X,O,X,X,X
JLZTISO,O,O,X,X,X
JLZTIOS,O,O,X,X,X
JLZTSIO,O,O,X,X,O
JLZTSOI,O,O,X,X,O
JLZTOIS,O,O,X,X,X
JLZTOSI,O,O,X,X,O
JLZITSO,O,O,X,X,X
JLZITOS,O,O,X,X,X
JLZISTO,X,O,X,X,X
JLZISOT,X,O,X,X,X
JLZIOTS,O,O,X,X,X
JLZIOST,X,O,X,X,X
JLZSTIO,X,O,X,X,X
JLZSTOI,X,O,X,X,X
JLZSITO,X,O,X,X,X
JLZSIOT,X,O,X,X,X
JLZSOTI,X,O,X,X,X
JLZSOIT,X,O,X,X,X
JLZOTIS,O,O,X,X,X
JLZOTSI,O,O,X,X,O
JLZOITS,O,O,X,X,X
JLZOIST,X,O,X,X,X
JLZOSTI,X,O,X,X,X
JLZOSIT,X,O,X,X,X
JLOTISZ,O,O,O,X,O
JLOTIZS,O,O,O,X,X
JLOTSIZ,O,O,O,X,O
JLOTSZI,X,O,X,X,O
JLOTZIS,O,O,O,X,X
JLOTZSI,X,O,X,X,O
JLOITSZ,O,O,O,X,O
JLOITZS,O,O,O,X,X
JLOISTZ,X,O,O,X,X
JLOISZT,X,O,X,X,X
JLOIZTS,O,O,X,X,X
JLOIZST,X,O,X,X,X
JLOSTIZ,X,O,O,X,O
JLOSTZI,X,O,O,X,O
JLOSITZ,X,O,O,X,X
JLOSIZT,X,O,X,X,X
JLOSZTI,X,O,X,X,X
JLOSZIT,X,O,X,X,X
JLOZTIS,O,O,X,X,X
JLOZTSI,O,O,X,X,O
JLOZITS,O,O,X,X,X
JLOZIST,X,O,X,X,X
JLOZSTI,X,O,X,X,X
JLOZSIT,X,O,X,X,X
JSTILZO,X,X,O,O,X
JSTILOZ,O,X,O,O,X
JSTIZLO,O,O,O,O,X
JSTIZOL,O,O,O,O,X
JSTIOLZ,O,X,O,O,X
JSTIOZL,O,O,O,O,X
JSTLIZO,X,X,O,X,O
JSTLIOZ,O,X,O,X,O
JSTLZIO,X,X,O,X,O
JSTLZOI,X,X,O,X,O
JSTLOIZ,O,X,O,X,O
JSTLOZI,X,X,O,X,O
JSTZILO,X,O,O,O,X
JSTZIOL,X,O,O,O,X
JSTZLIO,X,O,O,X,X
JSTZLOI,X,O,O,X,X
JSTZOIL,X,O,O,O,X
JSTZOLI,X,O,O,X,X
JSTOILZ,O,X,O,O,X
JSTOIZL,O,O,O,O,X
JSTOLIZ,O,X,O,X,O
JSTOLZI,X,X,O,X,O
JSTOZIL,X,O,O,O,X
JSTOZLI,X,O,O,X,X
JSITLZO,X,X,O,O,X
JSITLOZ,O,X,O,O,X
JSITZLO,O,O,O,O,X
JSITZOL,O,O,O,O,X
JSITOLZ,O,X,O,O,X
JSITOZL,O,O,O,O,X
JSILTZO,X,X,O,X,X
JSILTOZ,X,X,O,X,X
JSILZTO,X,O,X,X,X
JSILZOT,X,O,X,X,X
JSILOTZ,X,X,O,X,X
JSILOZT,X,O,X,X,X
JSIZTLO,O,O,O,X,X
JSIZTOL,O,O,O,X,X
JSIZLTO,X,O,X,X,X
JSIZLOT,X,O,X,X,X
JSIZOTL,O,O,O,X,X
JSIZOLT,X,O,X,X,X
JSIOTLZ,O,X,O,O,X
JSIOTZL,O,O,O,O,X
JSIOLTZ,X,X,O,X,X
JSIOLZT,X,O,X,X,X
JSIOZTL,O,O,O,X,X
JSIOZLT,X,O,X,X,X
JSLTIZO,X,X,O,X,O
JSLTIOZ,X,X,O,X,O
JSLTZIO,X,X,O,X,O
JSLTZOI,X,X,O,X,O
JSLTOIZ,X,X,O,X,O
JSLTOZI,X,X,O,X,O
JSLITZO,X,X,O,X,X
JSLITOZ,X,X,O,X,X
JSLIZTO,X,O,X,X,X
JSLIZOT,X,O,X,X,X
JSLIOTZ,X,X,O,X,X
JSLIOZT,X,O,X,X,X
JSLZTIO,X,O,X,X,X
JSLZTOI,X,O,X,X,X
JSLZITO,X,O,X,X,X
JSLZIOT,X,O,X,X,X
JSLZOTI,X,O,X,X,X
JSLZOIT,X,O,X,X,X
JSLOTIZ,X,X,O,X,O
JSLOTZI,X,X,O,X,O
JSLOITZ,X,X,O,X,X
JSLOIZT,X,O,X,X,X
JSLOZTI,X,O,X,X,X
JSLOZIT,X,O,X,X,X
JSZTILO,O,O,O,X,X
JSZTIOL,O,O,O,X,X
JSZTLIO,O,O,O,X,X
JSZTLOI,O,O,O,X,X
JSZTOIL,O,O,O,X,X
JSZTOLI,O,O,O,X,X
JSZITLO,O,O,O,X,X
JSZITOL,O,O,O,X,X
JSZILTO,X,O,X,X,X
JSZILOT,X,O,X,X,X
JSZIOTL,O,O,O,X,X
JSZIOLT,X,O,X,X,X
JSZLTIO,X,O,X,X,X
JSZLTOI,X,O,X,X,X
JSZLITO,X,O,X,X,X
JSZLIOT,X,O,X,X,X
JSZLOTI,X,O,X,X,X
JSZLOIT,X,O,X,X,X
JSZOTIL,O,O,O,X,X
JSZOTLI,O,O,O,X,X
JSZOITL,O,O,O,X,X
JSZOILT,X,O,X,X,X
JSZOLTI,X,O,X,X,X
JSZOLIT,X,O,X,X,X
JSOTILZ,O,X,O,O,X
JSOTIZL,O,O,O,O,X
JSOTLIZ,O,X,O,X,O
JSOTLZI,X,X,O,X,O
JSOTZIL,X,O,O,O,X
JSOTZLI,X,O,O,X,X
JSOITLZ,O,X,O,O,X
JSOITZL,O,O,O,O,X
JSOILTZ,X,X,O,X,X
JSOILZT,X,O,X,X,X
JSOIZTL,O,O,O,X,X
JSOIZLT,X,O,X,X,X
JSOLTIZ,X,X,O,X,O
JSOLTZI,X,X,O,X,O
JSOLITZ,X,X,O,X,X
JSOLIZT,X,O,X,X,X
JSOLZTI,X,O,X,X,X
JSOLZIT,X,O,X,X,X
JSOZTIL,O,O,O,X,X
JSOZTLI,O,O,O,X,X
JSOZITL,O,O,O,X,X
JSOZILT,X,O,X,X,X
JSOZLTI,X,O,X,X,X
JSOZLIT,X,O,X,X,X
JZTILSO,O,X,X,X,X
JZTILOS,O,X,O,X,X
JZTISLO,O,O,O,X,X
JZTISOL,O,O,O,X,X
JZTIOLS,O,X,O,X,X
JZTIOSL,O,O,O,X,X
JZTLISO,O,X,X,X,X
JZTLIOS,O,X,O,X,X
JZTLSIO,O,X,X,X,O
JZTLSOI,O,X,X,X,O
JZTLOIS,O,X,O,X,X
JZTLOSI,O,X,X,X,O
JZTSILO,O,O,X,X,X
JZTSIOL,O,O,X,X,X
JZTSLIO,O,O,X,X,X
JZTSLOI,O,O,X,X,X
JZTSOIL,O,O,X,X,X
JZTSOLI,O,O,X,X,X
JZTOILS,O,X,O,X,X
JZTOISL,O,O,O,X,X
JZTOLIS,O,X,O,X,X
JZTOLSI,O,X,X,X,O
JZTOSIL,O,O,X,X,X
JZTOSLI,O,O,X,X,X
JZITLSO,O,X,X,X,X
JZITLOS,O,X,O,X,X
JZITSLO,O,O,O,X,X
JZITSOL,O,O,O,X,X
JZITOLS,O,X,O,X,X
JZITOSL,O,O,O,X,X
JZILTSO,O,X,X,X,X
JZILTOS,O,X,X,X,X
JZILSTO,X,O,X,X,X
JZILSOT,X,O,X,X,X
JZILOTS,O,X,X,X,X
JZILOST,X,O,X,X,X
JZISTLO,O,O,O,X,X
JZISTOL,O,O,O,X,X
JZISLTO,X,O,X,X,X
JZISLOT,X,O,X,X,X
JZISOTL,O,O,O,X,X
JZISOLT,X,O,X,X,X
JZIOTLS,O,X,O,X,X
JZIOTSL,O,O,O,X,X
JZIOLTS,O,X,X,X,X
JZIOLST,X,O,X,X,X
JZIOSTL,O,O,O,X,X
JZIOSLT,X,O,X,X,X
JZLTISO,O,X,X,X,X
JZLTIOS,O,X,X,X,X
JZLTSIO,O,X,X,X,O
JZLTSOI,O,X,X,X,O
JZLTOIS,O,X,X,X,X
JZLTOSI,O,X,X,X,O
JZLITSO,O,X,X,X,X
JZLITOS,O,X,X,X,X
JZLISTO,X,O,X,X,X
JZLISOT,X,O,X,X,X
JZLIOTS,O,X,X,X,X
JZLIOST,X,O,X,X,X
JZLSTIO,X,O,X,X,X
JZLSTOI,X,O,X,X,X
JZLSITO,X,O,X,X,X
JZLSIOT,X,O,X,X,X
JZLSOTI,X,O,X,X,X
JZLSOIT,X,O,X,X,X
JZLOTIS,O,X,X,X,X
JZLOTSI,O,X,X,X,O
JZLOITS,O,X,X,X,X
JZLOIST,X,O,X,X,X
JZLOSTI,X,O,X,X,X
JZLOSIT,X,O,X,X,X
JZSTILO,O,O,O,X,X
JZSTIOL,O,O,O,X,X
JZSTLIO,O,O,O,X,X
JZSTLOI,O,O,O,X,X
JZSTOIL,O,O,O,X,X
JZSTOLI,O,O,O,X,X
JZSITLO,O,O,O,X,X
JZSITOL,O,O,O,X,X
JZSILTO,X,O,X,X,X
JZSILOT,X,O,X,X,X
JZSIOTL,O,O,O,X,X
JZSIOLT,X,O,X,X,X
JZSLTIO,X,O,X,X,X
JZSLTOI,X,O,X,X,X
JZSLITO,X,O,X,X,X
JZSLIOT,X,O,X,X,X
JZSLOTI,X,O,X,X,X
JZSLOIT,X,O,X,X,X
JZSOTIL,O,O,O,X,X
JZSOTLI,O,O,O,X,X
JZSOITL,O,O,O,X,X
JZSOILT,X,O,X,X,X
JZSOLTI,X,O,X,X,X
JZSOLIT,X,O,X,X,X
JZOTILS,O,X,O,X,X
JZOTISL,O,O,O,X,X
JZOTLIS,O,X,O,X,X
JZOTLSI,O,X,X,X,O
JZOTSIL,O,O,X,X,X
JZOTSLI,O,O,X,X,X
JZOITLS,O,X,O,X,X
JZOITSL,O,O,O,X,X
JZOILTS,O,X,X,X,X
JZOILST,X,O,X,X,X
JZOISTL,O,O,O,X,X
JZOISLT,X,O,X,X,X
JZOLTIS,O,X,X,X,X
JZOLTSI,O,X,X,X,O
JZOLITS,O,X,X,X,X
JZOLIST,X,O,X,X,X
JZOLSTI,X,O,X,X,X
JZOLSIT,X,O,X,X,X
JZOSTIL,O,O,O,X,X
JZOSTLI,O,O,O,X,X
JZOSITL,O,O,O,X,X
JZOSILT,X,O,X,X,X
JZOSLTI,X,O,X,X,X
JZOSLIT,X,O,X,X,X
JOTILSZ,O,X,O,X,O
JOTILZS,O,X,O,X,X
JOTISLZ,O,X,O,O,X
JOTISZL,O,O,O,O,X
JOTIZLS,O,X,O,X,X
JOTIZSL,O,O,O,X,X
JOTLISZ,O,X,O,X,O
JOTLIZS,O,X,O,X,X
JOTLSIZ,O,X,O,X,O
JOTLSZI,X,X,X,X,O
JOTLZIS,O,X,O,X,X
JOTLZSI,O,X,X,X,O
JOTSILZ,O,X,O,O,X
JOTSIZL,O,O,O,O,X
JOTSLIZ,O,X,O,X,O
JOTSLZI,X,X,O,X,O
JOTSZIL,X,O,O,O,X
JOTSZLI,X,O,O,X,X
JOTZILS,O,X,O,X,X
JOTZISL,O,O,O,X,X
JOTZLIS,O,X,O,X,X
JOTZLSI,O,X,X,X,O
JOTZSIL,O,O,X,X,X
JOTZSLI,O,O,X,X,X
JOITLSZ,O,X,O,X,O
JOITLZS,O,X,O,X,X
JOITSLZ,O,X,O,O,X
JOITSZL,O,O,O,O,X
JOITZLS,O,X,O,X,X
JOITZSL,O,O,O,X,X
JOILTSZ,O,O,O,X,O
JOILTZS,O,O,O,X,X
JOILSTZ,X,O,O,X,X
JOILSZT,X,O,X,X,X
JOILZTS,O,O,X,X,X
JOILZST,X,O,X,X,X
JOISTLZ,O,X,O,O,X
JOISTZL,O,O,O,O,X
JOISLTZ,X,X,O,X,X
JOISLZT,X,O,X,X,X
JOISZTL,O,O,O,X,X
JOISZLT,X,O,X,X,X
JOIZTLS,O,X,O,X,X
JOIZTSL,O,O,O,X,X
JOIZLTS,O,X,X,X,X
JOIZLST,X,O,X,X,X
JOIZSTL,O,O,O,X,X
JOIZSLT,X,O,X,X,X
JOLTISZ,O,O,O,X,O
JOLTIZS,O,O,O,X,X
JOLTSIZ,O,O,O,X,O
JOLTSZI,X,O,X,X,O
JOLTZIS,O,O,O,X,X
JOLTZSI,X,O,X,X,O
JOLITSZ,O,O,O,X,O
JOLITZS,O,O,O,X,X
JOLISTZ,X,O,O,X,X
JOLISZT,X,O,X,X,X
JOLIZTS,O,O,X,X,X
JOLIZST,X,O,X,X,X
JOLSTIZ,X,O,O,X,O
JOLSTZI,X,O,O,X,O
JOLSITZ,X,O,O,X,X
JOLSIZT,X,O,X,X,X
JOLSZTI,X,O,X,X,X
JOLSZIT,X,O,X,X,X
JOLZTIS,O,O,X,X,X
JOLZTSI,O,O,X,X,O
JOLZITS,O,O,X,X,X
JOLZIST,X,O,X,X,X
JOLZSTI,X,O,X,X,X
JOLZSIT,X,O,X,X,X
JOSTILZ,O,X,O,O,X
JOSTIZL,O,O,O,O,X
JOSTLIZ,O,X,O,X,O
JOSTLZI,X,X,O,X,O
JOSTZIL,X,O,O,O,X
JOSTZLI,X,O,O,X,X
JOSITLZ,O,X,O,O,X
JOSITZL,O,O,O,O,X
JOSILTZ,X,X,O,X,X
JOSILZT,X,O,X,X,X
JOSIZTL,O,O,O,X,X
JOSIZLT,X,O,X,X,X
JOSLTIZ,X,X,O,X,O
JOSLTZI,X,X,O,X,O
JOSLITZ,X,X,O,X,X
JOSLIZT,X,O,X,X,X
JOSLZTI,X,O,X,X,X
JOSLZIT,X,O,X,X,X
JOSZTIL,O,O,O,X,X
JOSZTLI,O,O,O,X,X
JOSZITL,O,O,O,X,X
JOSZILT,X,O,X,X,X
JOSZLTI,X,O,X,X,X
JOSZLIT,X,O,X,X,X
JOZTILS,O,X,O,X,X
JOZTISL,O,O,O,X,X
JOZTLIS,O,X,O,X,X
JOZTLSI,O,X,X,X,O
JOZTSIL,O,O,X,X,X
JOZTSLI,O,O,X,X,X
JOZITLS,O,X,O,X,X
JOZITSL,O,O,O,X,X
JOZILTS,O,X,X,X,X
JOZILST,X,O,X,X,X
JOZISTL,O,O,O,X,X
JOZISLT,X,O,X,X,X
JOZLTIS,O,X,X,X,X
JOZLTSI,O,X,X,X,O
JOZLITS,O,X,X,X,X
JOZLIST,X,O,X,X,X
JOZLSTI,X,O,X,X,X
JOZLSIT,X,O,X,X,X
JOZSTIL,O,O,O,X,X
JOZSTLI,O,O,O,X,X
JOZSITL,O,O,O,X,X
JOZSILT,X,O,X,X,X
JOZSLTI,X,O,X,X,X
JOZSLIT,X,O,X,X,X
STILJZO,X,X,O,O,X
STILJOZ,O,X,O,O,X
STILZJO,X,X,X,O,X
STILZOJ,X,X,X,O,X
STILOJZ,O,X,O,O,X
STILOZJ,X,X,X,O,X
STIJLZO,X,X,O,O,X
STIJLOZ,O,X,O,O,X
STIJZLO,O,X,O,O,X
STIJZOL,O,X,O,O,X
STIJOLZ,O,X,O,O,X
STIJOZL,O,X,O,O,X
STIZLJO,O,X,X,O,X
STIZLOJ,O,X,X,O,X
STIZJLO,O,X,X,O,X
STIZJOL,O,X,X,O,X
STIZOLJ,O,X,X,O,X
STIZOJL,O,X,X,O,X
STIOLJZ,O,X,O,O,X
STIOLZJ,X,X,X,O,X
STIOJLZ,O,X,O,O,X
STIOJZL,O,X,O,O,X
STIOZLJ,O,X,X,O,X
STIOZJL,O,X,X,O,X
STLIJZO,X,X,O,O,X
STLIJOZ,O,X,O,O,X
STLIZJO,X,X,X,O,X
STLIZOJ,X,X,X,O,X
STLIOJZ,O,X,O,O,X
STLIOZJ,X,X,X,O,X
STLJIZO,X,X,O,X,O
STLJIOZ,O,X,O,X,O
STLJZIO,X,X,O,X,O
STLJZOI,X,X,O,X,O
STLJOIZ,O,X,O,X,O
STLJOZI,X,X,O,X,O
STLZIJO,O,X,X,O,X
STLZIOJ,O,X,X,O,X
STLZJIO,O,X,O,X,X
STLZJOI,O,X,O,X,X
STLZOIJ,O,X,X,O,X
STLZOJI,O,X,O,X,X
STLOIJZ,O,X,O,O,X
STLOIZJ,X,X,X,O,X
STLOJIZ,O,X,O,X,O
STLOJZI,X,X,O,X,O
STLOZIJ,O,X,X,O,X
STLOZJI,O,X,O,X,X
STJILZO,X,X,O,O,X
STJILOZ,O,X,O,O,X
STJIZLO,O,X,O,O,X
STJIZOL,O,X,O,O,X
STJIOLZ,O,X,O,O,X
STJIOZL,O,X,O,O,X
STJLIZO,X,X,O,X,O
STJLIOZ,O,X,O,X,O
STJLZIO,X,X,O,X,O
STJLZOI,X,X,O,X,O
STJLOIZ,O,X,O,X,O
STJLOZI,X,X,O,X,O
STJZILO,X,X,O,O,X
STJZIOL,X,X,O,O,X
STJZLIO,X,X,O,X,X
STJZLOI,X,X,O,X,X
STJZOIL,X,X,O,O,X
STJZOLI,X,X,O,X,X
STJOILZ,O,X,O,O,X
STJOIZL,O,X,O,O,X
STJOLIZ,O,X,O,X,O
STJOLZI,X,X,O,X,O
STJOZIL,X,X,O,O,X
STJOZLI,X,X,O,X,X
STZILJO,O,X,X,O,X
STZILOJ,O,X,X,O,X
STZIJLO,O,X,X,O,X
STZIJOL,O,X,X,O,X
STZIOLJ,O,X,X,O,X
STZIOJL,O,X,X,O,X
STZLIJO,O,X,X,O,X
STZLIOJ,O,X,X,O,X
STZLJIO,O,X,O,X,X
STZLJOI,O,X,O,X,X
STZLOIJ,O,X,X,O,X
STZLOJI,O,X,O,X,X
STZJILO,O,X,O,O,X
STZJIOL,O,X,O,O,X
STZJLIO,O,X,O,X,X
STZJLOI,O,X,O,X,X
STZJOIL,O,X,O,O,X
STZJOLI,O,X,O,X,X
STZOILJ,O,X,X,O,X
STZOIJL,O,X,X,O,X
STZOLIJ,O,X,X,O,X
STZOLJI,O,X,O,X,X
STZOJIL,O,X,O,O,X
STZOJLI,O,X,O,X,X
STOILJZ,O,X,O,O,X
STOILZJ,X,X,X,O,X
STOIJLZ,O,X,O,O,X
STOIJZL,O,X,O,O,X
STOIZLJ,O,X,X,O,X
STOIZJL,O,X,X,O,X
STOLIJZ,O,X,O,O,X
STOLIZJ,X,X,X,O,X
STOLJIZ,O,X,O,X,O
STOLJZI,X,X,O,X,O
STOLZIJ,O,X,X,O,X
STOLZJI,O,X,O,X,X
STOJILZ,O,X,O,O,X
STOJIZL,O,X,O,O,X
STOJLIZ,O,X,O,X,O
STOJLZI,X,X,O,X,O
STOJZIL,X,X,O,O,X
STOJZLI,X,X,O,X,X
STOZILJ,O,X,X,O,X
STOZIJL,O,X,X,O,X
STOZLIJ,O,X,X,O,X
STOZLJI,O,X,O,X,X
STOZJIL,O,X,O,O,X
STOZJLI,O,X,O,X,X
SITLJZO,X,X,O,O,X
SITLJOZ,O,X,O,O,X
SITLZJO,X,X,X,O,X
SITLZOJ,X,X,X,O,X
SITLOJZ,O,X,O,O,X
SITLOZJ,X,X,X,O,X
SITJLZO,X,X,O,O,X
SITJLOZ,O,X,O,O,X
SITJZLO,O,X,O,O,X
SITJZOL,O,X,O,O,X
SITJOLZ,O,X,O,O,X
SITJOZL,O,X,O,O,X
SITZLJO,O,X,X,O,X
SITZLOJ,O,X,X,O,X
SITZJLO,O,X,X,O,X
