sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
OJIZSLT,X,X,X,O,X,X,X,X,X,O,X
OJLTISZ,O,X,X,X,X,X,O,O,X,O,O
OJLTIZS,O,X,X,X,X,X,O,O,X,O,O
OJLTSIZ,O,X,X,X,X,X,O,O,X,O,X
OJLTSZI,O,X,X,X,X,X,X,O,X,O,X
OJLTZIS,O,X,X,X,X,X,O,O,X,O,X
OJLTZSI,O,X,X,X,X,X,X,O,X,O,X
OJLITSZ,O,X,X,X,X,X,O,O,X,O,O
OJLITZS,O,X,X,X,X,X,O,O,X,O,O
OJLISTZ,O,X,X,O,X,X,X,O,X,O,O
OJLISZT,O,X,X,O,X,X,X,O,X,O,O
OJLIZTS,O,X,X,X,X,X,X,X,X,O,O
OJLIZST,O,X,X,X,X,X,X,X,X,O,O
OJLSTIZ,O,X,X,O,X,X,X,O,X,O,X
OJLSTZI,O,X,X,O,X,X,X,O,X,O,X
OJLSITZ,O,X,X,O,X,X,X,O,X,O,O
OJLSIZT,O,X,O,O,X,X,X,O,X,O,O
OJLSZTI,O,X,O,X,X,X,X,O,X,O,X
OJLSZIT,O,X,O,X,X,X,X,O,X,O,X
OJLZTIS,O,X,X,X,X,X,X,O,X,O,X
OJLZTSI,O,X,O,X,X,X,X,O,X,O,X
OJLZITS,O,X,X,X,X,X,X,X,X,O,O
OJLZIST,O,X,O,X,X,X,X,X,X,O,O
OJLZSTI,O,X,O,X,X,X,X,O,X,O,X
OJLZSIT,O,X,O,X,X,X,X,O,X,O,X
OJSTILZ,O,X,O,O,O,O,O,O,X,O,X
OJSTIZL,O,X,O,O,O,O,X,O,X,O,X
OJSTLIZ,O,X,O,O,O,O,O,O,X,O,X
OJSTLZI,O,X,O,O,O,O,X,O,X,O,X
OJSTZIL,O,X,O,O,O,O,X,O,X,O,X
OJSTZLI,O,X,O,O,O,O,X,O,X,O,X
OJSITLZ,X,X,O,O,O,O,O,O,X,O,X
