sequence,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBiiB5oBcsBet?BzqB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBiiB5oBcsBet?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBOnB8nB5oBXr?ByxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGjBXrBCt?BUtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBZnBunBcoBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBmiB5oBzqBis?B0sB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB5oBXrBms?BUsB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFxhBTjB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBxiB0nB6tBXr?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBKnBGjBUoBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThB0iB6oB2sBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB+oBUnBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBRnBctBXrBTs?BGtB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGoBXrBUt?BCtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBxiB0nB6tBzq?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne3CJvhFcoBxlBGmBNsBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFTjBxmB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mB5oBmnBzqB0s?BisB,v115@9gC8GeB8HeC8GeC8BeA8Ne9GJvhFmiB5oB0lBKsBft?BzqB
TLJOSIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJOSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJOZIS,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJOZSI,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLSIJZO,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLSIJOZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLSIZJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TLSIZOJ,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLSIOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLSIOZJ,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLSJIZO,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLSJIOZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TLSJZIO,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLSJZOI,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLSJOIZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TLSJOZI,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLSZIJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TLSZIOJ,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSZJIO,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLSZJOI,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLSZOIJ,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSZOJI,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSOIJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLSOIZJ,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLSOJIZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TLSOJZI,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLSOZIJ,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSOZJI,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLZIJSO,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZIJOS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
TLZISOJ,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O
TLZIOJS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
