sequence,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBTeBmfBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFRb?B0dB6jB3gBznBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFOg?B8gBxdBCjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFzb?BxdBUgBWoBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFib?BxdB3gBunBcoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBmfBTjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFzb?BxdBCjBUgBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFTe?BRgBWoB3gB0nBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFxd?B3gBqnBTjBFlB8qB
IJLOSZT,X,O,X,O,X,X,X,O,O
IJLOZTS,X,O,X,O,X,O,X,X,X
IJLOZST,X,O,X,O,X,O,X,O,O
IJSTLZO,X,O,X,O,X,X,X,X,X
IJSTLOZ,X,X,X,O,X,X,X,X,X
IJSTZLO,X,O,X,O,X,X,X,X,X
IJSTZOL,X,X,X,O,X,X,X,X,X
IJSTOLZ,X,O,X,O,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X,X
IJSLTZO,X,O,X,O,X,X,X,X,X
IJSLTOZ,X,X,X,O,X,X,O,X,X
IJSLZTO,O,O,X,O,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,O,X,X
IJSLOTZ,X,O,X,X,X,X,O,O,O
IJSLOZT,O,O,X,O,O,X,O,O,O
IJSZTLO,O,O,X,O,X,X,X,X,X
IJSZTOL,O,X,X,O,X,X,X,X,X
IJSZLTO,O,O,X,O,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,X,X
IJSZOTL,O,O,X,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X,X
IJSOTLZ,X,O,X,X,X,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,O,O,X
IJSOLZT,O,O,X,O,O,X,O,O,X
IJSOZTL,O,O,X,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,X,X,X,X,X
IJZTLOS,X,X,X,O,X,O,X,X,X
IJZTSLO,O,X,X,O,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X,X
IJZTOLS,X,X,X,O,X,O,X,X,X
IJZTOSL,X,X,O,O,X,X,X,X,X
IJZLTSO,O,O,X,O,X,X,X,X,X
IJZLTOS,X,X,X,O,X,O,X,X,X
IJZLSTO,O,O,X,O,X,X,X,X,X
IJZLSOT,O,O,X,O,X,O,X,X,X
IJZLOTS,X,X,X,O,X,O,X,X,X
IJZLOST,O,O,O,O,X,O,X,O,X
IJZSTLO,O,O,X,O,X,X,X,X,X
IJZSTOL,O,X,X,O,X,X,X,X,X
IJZSLTO,O,O,X,O,X,X,X,X,X
IJZSLOT,O,O,X,O,X,O,X,X,X
IJZSOTL,O,X,O,O,X,X,X,X,X
IJZSOLT,O,O,O,O,X,O,X,X,X
IJZOTLS,X,O,X,O,X,O,X,X,X
IJZOTSL,X,X,O,O,X,X,X,X,X
IJZOLTS,X,O,X,O,X,O,X,X,X
IJZOLST,O,O,O,O,X,O,X,O,X
IJZOSTL,O,X,O,X,X,X,X,X,X
IJZOSLT,O,O,O,X,X,O,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,O,X
IJOTLZS,X,O,X,O,X,X,X,O,X
IJOTSLZ,X,X,X,O,O,X,X,O,X
IJOTSZL,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,O,O,X,X,X,O,X
IJOTZSL,X,X,O,O,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,O,X
IJOLTZS,X,O,X,O,X,X,X,O,X
IJOLSTZ,X,O,X,X,X,X,X,O,X
IJOLSZT,X,O,X,O,X,X,X,O,X
IJOLZTS,X,O,X,O,X,O,X,X,X
IJOLZST,X,O,X,O,X,O,X,O,X
IJOSTLZ,X,O,X,X,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,X,O,O,X
IJOSLZT,X,O,X,O,O,X,O,O,X
IJOSZTL,X,O,X,X,X,X,X,X,X
IJOSZLT,X,O,X,X,X,X,X,X,X
IJOZTLS,X,O,X,O,X,O,X,X,X
IJOZTSL,X,X,O,O,X,X,X,X,X
IJOZLTS,X,O,X,O,X,O,X,X,X
IJOZLST,X,O,O,O,X,O,X,O,X
IJOZSTL,X,O,O,X,X,X,X,X,X
IJOZSLT,X,O,O,X,X,O,X,X,X
ISTLJZO,O,O,O,X,X,X,O,X,X
ISTLJOZ,O,X,O,X,O,X,O,X,X
ISTLZJO,O,O,O,X,X,X,O,X,X
ISTLZOJ,O,X,O,O,O,X,O,X,X
ISTLOJZ,O,X,O,O,O,X,O,X,X
ISTLOZJ,O,X,O,O,O,X,O,X,X
ISTJLZO,O,O,X,X,X,X,O,X,X
ISTJLOZ,O,X,X,X,O,X,O,X,X
ISTJZLO,O,O,O,X,X,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,O,X,O,X,X
ISTJOZL,O,O,O,X,X,X,X,X,X
ISTZLJO,O,O,O,X,X,X,X,X,X
ISTZLOJ,O,X,O,O,O,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X,X,X
ISTZOLJ,O,X,O,O,O,X,X,X,X
ISTZOJL,O,X,O,X,X,X,X,X,X
ISTOLJZ,O,O,O,O,O,X,O,X,X
ISTOLZJ,O,O,O,O,O,X,O,X,X
ISTOJLZ,O,O,X,X,O,X,O,X,X
ISTOJZL,O,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,O,X,O,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X,X,X
ISLTJZO,O,O,O,X,X,X,O,X,X
ISLTJOZ,O,X,O,X,X,X,O,X,X
ISLTZJO,O,O,O,X,X,X,O,X,X
ISLTZOJ,O,X,O,O,X,X,O,X,X
ISLTOJZ,O,X,O,O,X,X,O,X,X
ISLTOZJ,O,X,O,O,O,X,O,X,X
ISLJTZO,X,O,O,X,X,X,O,X,X
ISLJTOZ,X,X,O,X,X,X,O,X,X
ISLJZTO,O,O,O,X,X,X,X,X,X
ISLJZOT,O,O,O,X,X,X,O,X,X
ISLJOTZ,X,O,O,X,X,X,O,O,O
ISLJOZT,O,O,O,X,O,X,O,O,O
ISLZTJO,X,O,O,X,X,X,O,X,X
ISLZTOJ,O,X,O,X,O,X,O,X,X
ISLZJTO,O,O,O,X,O,X,X,X,X
ISLZJOT,O,O,O,X,O,X,O,X,X
ISLZOTJ,O,X,O,X,O,X,X,X,X
ISLZOJT,O,O,O,O,O,X,O,X,X
ISLOTJZ,O,O,O,X,X,X,O,X,O
ISLOTZJ,O,O,O,X,O,X,O,X,X
ISLOJTZ,X,O,O,X,X,X,O,X,O
ISLOJZT,O,O,O,O,O,X,O,X,O
ISLOZTJ,O,O,O,X,O,X,X,X,X
ISLOZJT,O,O,O,O,O,X,O,X,O
ISJTLZO,X,O,X,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,X,X,X
ISJTZLO,X,O,O,X,X,X,X,X,X
ISJTZOL,X,X,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X
ISJTOZL,X,O,O,X,X,X,X,X,X
ISJLTZO,X,O,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,O,X,X
ISJLZTO,O,O,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,O,X,X
ISJLOTZ,X,O,X,X,X,X,O,O,O
ISJLOZT,O,O,X,X,O,X,O,O,O
ISJZTLO,O,O,X,X,X,X,X,X,X
ISJZTOL,O,X,O,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,O,O,X
ISJOLZT,O,O,X,X,O,X,O,O,X
ISJOZTL,O,O,O,X,X,X,X,X,X
ISJOZLT,O,O,O,X,X,X,X,X,X
ISZTLJO,X,O,O,X,X,X,X,X,X
ISZTLOJ,O,X,O,X,O,X,X,X,X
ISZTJLO,X,O,O,X,X,X,X,X,X
ISZTJOL,X,X,O,X,X,X,X,X,X
ISZTOLJ,O,X,O,X,O,X,X,X,X
ISZTOJL,X,X,O,X,X,X,X,X,X
ISZLTJO,X,O,O,X,X,X,X,X,X
ISZLTOJ,O,X,O,X,O,X,X,X,X
ISZLJTO,O,O,O,X,O,X,X,X,X
ISZLJOT,O,O,O,X,O,X,X,X,X
ISZLOTJ,O,X,O,X,O,X,X,X,X
ISZLOJT,O,O,O,O,O,X,X,X,X
ISZJTLO,O,O,X,X,O,X,X,X,X
ISZJTOL,O,X,O,X,O,X,X,X,X
ISZJLTO,O,O,O,X,O,X,X,X,X
ISZJLOT,O,O,O,X,O,X,X,X,X
ISZJOTL,O,O,O,X,O,X,X,X,X
ISZJOLT,O,O,O,X,O,X,X,X,X
ISZOTLJ,O,O,O,X,O,X,X,X,X
ISZOTJL,X,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,O,X,X,X,X
ISZOLJT,O,O,O,O,O,X,X,X,X
ISZOJTL,O,O,O,X,O,X,X,X,X
ISZOJLT,O,O,O,X,O,X,X,X,X
ISOTLJZ,O,O,O,X,O,X,X,X,X
ISOTLZJ,O,O,O,X,O,X,X,X,X
ISOTJLZ,O,O,X,X,O,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,O,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,X,X,O,X,X
ISOLTZJ,O,O,O,X,O,X,X,X,X
ISOLJTZ,X,O,O,X,X,X,O,X,X
ISOLJZT,O,O,O,O,O,X,O,X,X
ISOLZTJ,O,O,O,X,O,X,X,X,X
ISOLZJT,O,O,O,O,O,X,O,X,X
ISOJTLZ,X,O,X,X,X,X,X,X,X
ISOJTZL,X,O,O,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,O,X,X
ISOJLZT,O,O,X,X,O,X,O,X,X
ISOJZTL,O,O,O,X,X,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,O,X,X,X,X
ISOZTJL,X,O,O,X,X,X,X,X,X
ISOZLTJ,O,O,O,X,O,X,X,X,X
ISOZLJT,O,O,O,X,O,X,X,X,X
ISOZJTL,O,O,O,X,O,X,X,X,X
ISOZJLT,O,O,O,X,O,X,X,X,X
IZTLJSO,X,O,X,X,X,X,X,X,X
IZTLJOS,X,O,O,O,X,X,X,X,X
IZTLSJO,X,O,X,X,O,X,X,X,X
IZTLSOJ,O,O,X,O,O,X,X,X,X
IZTLOJS,X,X,O,O,X,X,X,X,X
IZTLOSJ,X,X,X,O,O,X,X,X,X
IZTJLSO,X,O,X,X,O,X,X,X,X
IZTJLOS,X,O,O,O,O,X,X,X,X
IZTJSLO,X,O,X,X,O,X,X,X,X
IZTJSOL,X,O,O,X,O,X,X,X,X
IZTJOLS,X,O,O,O,O,X,X,X,X
IZTJOSL,X,X,O,X,O,X,X,X,X
IZTSLJO,X,O,X,X,O,X,X,X,X
IZTSLOJ,O,O,X,O,O,X,X,X,X
IZTSJLO,X,O,X,X,O,X,X,X,X
IZTSJOL,X,O,O,X,O,X,X,X,X
IZTSOLJ,O,O,X,O,O,X,X,X,X
IZTSOJL,X,O,O,X,O,X,X,X,X
IZTOLJS,X,X,O,O,X,X,X,X,X
IZTOLSJ,X,X,X,O,O,X,X,X,X
IZTOJLS,X,X,O,O,O,X,X,X,X
IZTOJSL,X,X,O,X,O,X,X,X,X
IZTOSLJ,X,X,X,O,O,X,X,X,X
IZTOSJL,X,X,O,X,O,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X,X
IZLTJOS,X,O,X,O,X,X,X,X,X
IZLTSJO,X,O,X,X,O,X,X,X,X
IZLTSOJ,O,O,X,O,O,X,X,X,X
IZLTOJS,X,X,X,O,X,X,X,X,X
IZLTOSJ,X,X,X,O,O,X,X,X,X
IZLJTSO,O,O,X,O,X,X,X,X,X
IZLJTOS,X,X,X,O,X,O,X,X,X
IZLJSTO,O,O,X,O,X,X,X,X,X
IZLJSOT,O,O,X,O,X,O,X,X,X
IZLJOTS,X,X,X,O,X,O,X,X,X
IZLJOST,O,O,O,O,X,O,X,O,X
IZLSTJO,X,O,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,O,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,X
IZLSOJT,O,O,X,O,O,X,X,X,X
IZLOTJS,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X
IZLOJTS,X,X,X,O,X,O,X,X,X
IZLOJST,X,X,O,O,X,O,X,X,X
IZLOSTJ,O,X,X,X,O,X,X,X,X
IZLOSJT,O,X,X,O,O,X,X,X,X
IZJTLSO,O,O,X,O,O,X,X,X,X
IZJTLOS,X,X,X,O,O,O,X,X,X
IZJTSLO,O,X,X,O,O,X,X,X,X
IZJTSOL,O,X,X,O,O,X,X,X,X
IZJTOLS,X,X,X,O,O,O,X,X,X
IZJTOSL,X,X,O,O,O,X,X,X,X
IZJLTSO,O,O,X,O,O,X,X,X,X
IZJLTOS,X,X,X,O,O,O,X,X,X
IZJLSTO,O,O,X,O,O,X,X,X,X
IZJLSOT,O,O,X,O,O,O,X,X,X
IZJLOTS,X,X,X,O,O,O,X,X,X
IZJLOST,O,O,O,O,O,O,X,O,X
IZJSTLO,O,O,X,O,O,X,X,X,X
IZJSTOL,O,X,O,O,O,X,X,X,X
IZJSLTO,O,O,O,O,O,X,X,X,X
IZJSLOT,O,O,O,O,O,O,X,X,X
IZJSOTL,O,X,O,O,O,X,X,X,X
IZJSOLT,O,O,O,O,O,O,X,X,X
IZJOTLS,X,X,X,O,O,O,X,X,X
IZJOTSL,X,X,O,O,O,X,X,X,X
IZJOLTS,X,X,X,O,O,O,X,X,X
IZJOLST,O,O,O,O,O,O,X,O,X
IZJOSTL,O,X,O,X,O,X,X,X,X
IZJOSLT,O,X,O,X,O,O,X,X,X
IZSTLJO,X,O,X,X,O,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,X,X,X
IZSTJLO,X,O,X,X,O,X,X,X,X
IZSTJOL,X,X,O,X,O,X,X,X,X
IZSTOLJ,O,X,X,X,O,X,X,X,X
IZSTOJL,X,X,O,X,O,X,X,X,X
IZSLTJO,X,O,O,X,X,X,X,X,X
IZSLTOJ,O,X,O,X,O,X,X,X,X
IZSLJTO,O,O,O,X,O,X,X,X,X
IZSLJOT,O,O,O,X,O,X,X,X,X
IZSLOTJ,O,X,O,X,O,X,X,X,X
IZSLOJT,O,O,O,O,O,X,X,X,X
IZSJTLO,O,O,X,X,O,X,X,X,X
IZSJTOL,O,X,O,X,O,X,X,X,X
IZSJLTO,O,O,O,X,O,X,X,X,X
IZSJLOT,O,O,O,X,O,X,X,X,X
IZSJOTL,O,X,O,X,O,X,X,X,X
IZSJOLT,O,O,O,X,O,X,X,X,X
IZSOTLJ,O,X,X,X,O,X,X,X,X
IZSOTJL,X,X,O,X,O,X,X,X,X
IZSOLTJ,O,X,O,X,O,X,X,X,X
IZSOLJT,O,O,O,O,O,X,X,X,X
IZSOJTL,O,X,O,X,O,X,X,X,X
IZSOJLT,O,O,O,X,O,X,X,X,X
IZOTLJS,X,X,O,O,X,X,X,X,X
IZOTLSJ,X,X,X,X,O,X,X,X,X
IZOTJLS,X,X,O,X,O,X,X,X,X
IZOTJSL,X,X,O,X,O,X,X,X,X
IZOTSLJ,X,X,X,X,O,X,X,X,X
IZOTSJL,X,X,O,X,O,X,X,X,X
IZOLTJS,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X
IZOLJTS,X,X,X,O,X,O,X,X,X
IZOLJST,X,X,O,O,X,O,X,X,X
IZOLSTJ,O,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,O,O,X,X,X,X
IZOJTLS,X,X,X,O,O,O,X,X,X
IZOJTSL,X,X,O,X,O,X,X,X,X
IZOJLTS,X,X,X,O,O,O,X,X,X
IZOJLST,X,X,O,O,O,O,X,X,X
IZOJSTL,X,X,O,O,O,X,X,X,X
IZOJSLT,X,X,O,O,O,O,X,X,X
IZOSTLJ,O,X,X,X,O,X,X,X,X
IZOSTJL,X,X,O,X,O,X,X,X,X
IZOSLTJ,O,X,O,X,O,X,X,X,X
IZOSLJT,O,X,O,O,O,X,X,X,X
IZOSJTL,X,X,O,X,O,X,X,X,X
IZOSJLT,O,X,O,X,O,X,X,X,X
IOTLJSZ,X,O,X,O,X,X,X,X,X
IOTLJZS,X,O,X,O,X,O,X,X,X
IOTLSJZ,X,O,X,O,O,X,X,X,X
IOTLSZJ,X,O,X,O,O,X,X,X,X
IOTLZJS,X,O,O,O,X,O,X,X,X
IOTLZSJ,X,O,X,O,X,X,X,X,X
IOTJLSZ,X,O,X,O,X,X,X,X,X
IOTJLZS,X,O,X,O,X,O,X,X,X
IOTJSLZ,X,O,X,X,O,X,X,X,X
IOTJSZL,X,O,X,X,X,X,X,X,X
IOTJZLS,X,O,O,X,X,O,X,X,X
IOTJZSL,X,O,O,X,X,O,X,X,X
IOTSLJZ,X,O,O,O,O,X,X,X,X
IOTSLZJ,X,O,O,O,O,X,X,X,X
IOTSJLZ,X,O,X,X,O,X,X,X,X
IOTSJZL,X,O,O,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,O,X,X,X,X
IOTSZJL,X,O,O,X,O,X,X,X,X
IOTZLJS,X,O,O,O,X,O,X,X,X
IOTZLSJ,X,O,X,O,O,X,X,X,X
IOTZJLS,X,O,O,O,O,O,X,X,X
IOTZJSL,X,O,O,X,O,O,X,X,X
IOTZSLJ,X,O,O,O,O,X,X,X,X
IOTZSJL,X,O,O,X,O,X,X,X,X
IOLTJSZ,X,O,X,O,X,X,X,X,X
IOLTJZS,X,O,X,O,X,O,X,X,X
IOLTSJZ,X,O,X,O,O,X,X,X,X
IOLTSZJ,X,O,X,O,O,X,X,X,X
IOLTZJS,X,O,O,O,X,O,X,X,X
IOLTZSJ,X,O,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X
IOLJTZS,X,O,X,O,X,X,X,X,X
IOLJSTZ,X,O,X,X,X,X,X,O,X
IOLJSZT,X,O,X,O,X,X,X,O,X
IOLJZTS,X,O,X,O,X,O,X,X,X
IOLJZST,X,O,X,O,X,O,X,O,X
IOLSTJZ,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,O,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,X,X,X
IOLSJZT,X,O,X,O,O,X,X,X,X
IOLSZTJ,X,O,X,X,O,X,X,X,X
IOLSZJT,X,O,X,O,O,X,X,X,X
IOLZTJS,X,O,X,O,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,X
IOLZJTS,X,O,X,O,X,O,X,X,X
IOLZJST,X,O,O,O,X,O,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,X,X
IOLZSJT,X,O,X,O,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,O,X
IOJTLZS,X,O,X,O,X,X,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X,X
IOJTSZL,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,O,X,X,X,X,X,X
IOJTZSL,X,X,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X
IOJLTZS,X,O,X,O,X,X,X,X,X
IOJLSTZ,X,O,X,X,X,X,X,O,X
IOJLSZT,X,O,X,O,X,X,X,O,X
IOJLZTS,X,O,X,O,X,O,X,X,X
IOJLZST,X,O,X,O,X,O,X,O,X
IOJSTLZ,X,O,X,X,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,O,X,X,X,X,O,O,X
IOJSLZT,X,O,X,O,O,X,O,O,X
IOJSZTL,X,O,X,X,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,X,O,X,X,X
IOJZTSL,X,X,O,X,X,X,X,X,X
IOJZLTS,X,O,X,O,X,O,X,X,X
IOJZLST,X,O,O,O,X,O,X,O,X
IOJZSTL,X,O,O,X,X,X,X,X,X
IOJZSLT,X,O,O,X,X,O,X,X,X
IOSTLJZ,X,O,O,X,O,X,X,X,X
IOSTLZJ,X,O,O,X,O,X,X,X,X
IOSTJLZ,X,O,X,X,O,X,X,X,X
IOSTJZL,X,O,O,X,X,X,X,X,X
IOSTZLJ,X,O,O,X,O,X,X,X,X
IOSTZJL,X,O,O,X,X,X,X,X,X
IOSLTJZ,X,O,O,X,X,X,O,X,X
IOSLTZJ,X,O,O,X,O,X,X,X,X
IOSLJTZ,X,O,O,X,X,X,O,X,X
IOSLJZT,X,O,O,O,O,X,O,X,X
IOSLZTJ,X,O,O,X,O,X,X,X,X
IOSLZJT,X,O,O,O,O,X,O,X,X
IOSJTLZ,X,O,X,X,X,X,X,X,X
IOSJTZL,X,O,O,X,X,X,X,X,X
IOSJLTZ,X,O,X,X,X,X,O,X,X
IOSJLZT,X,O,X,X,O,X,O,X,X
IOSJZTL,X,O,O,X,X,X,X,X,X
IOSJZLT,X,O,O,X,X,X,X,X,X
IOSZTLJ,X,O,O,X,O,X,X,X,X
IOSZTJL,X,O,O,X,X,X,X,X,X
IOSZLTJ,X,O,O,X,O,X,X,X,X
IOSZLJT,X,O,O,X,O,X,X,X,X
IOSZJTL,X,O,O,X,O,X,X,X,X
IOSZJLT,X,O,O,X,O,X,X,X,X
IOZTLJS,X,O,O,O,X,X,X,X,X
IOZTLSJ,X,O,X,X,O,X,X,X,X
IOZTJLS,X,O,O,X,O,X,X,X,X
IOZTJSL,X,O,O,X,O,X,X,X,X
IOZTSLJ,X,O,X,X,O,X,X,X,X
IOZTSJL,X,O,O,X,O,X,X,X,X
IOZLTJS,X,O,X,O,X,X,X,X,X
IOZLTSJ,X,O,X,X,O,X,X,X,X
IOZLJTS,X,O,X,O,X,O,X,X,X
IOZLJST,X,O,O,O,X,O,X,X,X
IOZLSTJ,X,O,X,X,O,X,X,X,X
IOZLSJT,X,O,X,O,O,X,X,X,X
IOZJTLS,X,O,X,X,O,O,X,X,X
IOZJTSL,X,X,O,X,O,X,X,X,X
IOZJLTS,X,O,X,O,O,O,X,X,X
IOZJLST,X,O,O,O,O,O,X,X,X
IOZJSTL,X,O,O,X,O,X,X,X,X
IOZJSLT,X,O,O,X,O,O,X,X,X
IOZSTLJ,X,O,X,X,O,X,X,X,X
IOZSTJL,X,O,O,X,O,X,X,X,X
IOZSLTJ,X,O,O,X,O,X,X,X,X
IOZSLJT,X,O,O,O,O,X,X,X,X
IOZSJTL,X,O,O,X,O,X,X,X,X
IOZSJLT,X,O,O,X,O,X,X,X,X
LTIJSZO,O,O,X,O,X,X,X,X,X
LTIJSOZ,O,O,X,O,X,X,X,O,X
LTIJZSO,O,O,X,O,X,O,X,X,X
LTIJZOS,O,O,X,O,X,O,X,O,X
LTIJOSZ,X,X,X,O,X,X,X,O,X
LTIJOZS,X,O,X,O,X,O,X,O,X
LTISJZO,O,O,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,O,X,X,O,X
LTISZJO,O,O,X,X,X,X,X,X,X
LTISZOJ,O,O,X,O,O,X,X,X,X
LTISOJZ,O,O,X,O,O,X,X,X,X
LTISOZJ,O,O,X,O,O,X,X,X,X
LTIZJSO,O,O,X,O,X,O,X,X,X
LTIZJOS,O,O,O,O,X,O,X,O,X
LTIZSJO,O,O,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,O,X,X,X,X,X
LTIZOJS,X,X,O,O,X,O,X,X,X
LTIZOSJ,O,X,X,O,X,X,X,X,X
LTIOJSZ,X,X,X,O,X,X,X,O,X
LTIOJZS,X,X,X,O,X,O,X,O,X
LTIOSJZ,X,X,X,O,O,X,X,X,X
LTIOSZJ,X,X,X,O,O,X,X,X,X
LTIOZJS,X,X,O,O,X,O,X,X,X
LTIOZSJ,X,X,X,O,X,X,X,X,X
LTJISZO,O,O,X,O,X,X,X,X,X
LTJISOZ,O,O,X,O,X,X,X,O,X
LTJIZSO,O,O,X,O,X,O,X,X,X
LTJIZOS,O,O,X,O,X,O,X,O,X
LTJIOSZ,X,O,X,O,X,X,X,O,X
LTJIOZS,X,O,X,O,X,O,X,O,X
LTJSIZO,O,O,X,O,X,X,O,X,X
LTJSIOZ,O,O,X,O,X,X,O,O,X
LTJSZIO,O,O,X,O,X,O,O,X,X
LTJSZOI,O,O,X,O,X,O,O,X,X
LTJSOIZ,O,O,X,O,X,X,O,O,O
LTJSOZI,O,O,X,X,X,O,O,X,O
LTJZISO,O,O,X,O,X,O,X,X,X
LTJZIOS,O,O,X,O,X,O,X,O,X
LTJZSIO,O,O,X,O,X,O,X,X,X
LTJZSOI,O,O,X,O,X,O,X,X,X
LTJZOIS,O,O,X,O,X,O,X,O,X
LTJZOSI,O,O,X,O,X,O,X,X,X
LTJOISZ,X,O,X,O,X,X,X,O,O
LTJOIZS,X,O,X,O,X,O,X,O,X
LTJOSIZ,O,O,X,O,X,X,O,O,O
LTJOSZI,O,O,X,X,X,O,O,X,O
LTJOZIS,O,O,X,O,X,O,X,O,X
LTJOZSI,O,O,X,O,X,O,X,X,X
LTSIJZO,O,O,O,X,X,X,O,X,X
LTSIJOZ,O,O,O,X,O,X,O,O,X
LTSIZJO,O,O,O,X,O,X,O,X,X
LTSIZOJ,O,O,O,O,O,X,O,X,X
LTSIOJZ,O,O,O,O,O,X,O,X,X
LTSIOZJ,O,O,O,O,O,X,O,X,X
LTSJIZO,O,O,O,O,X,X,O,X,X
LTSJIOZ,O,O,O,O,O,X,O,O,X
LTSJZIO,O,O,O,O,O,O,O,X,X
LTSJZOI,O,O,O,O,O,O,O,X,X
LTSJOIZ,O,O,O,O,O,X,O,O,O
LTSJOZI,O,O,O,X,O,O,O,X,O
LTSZIJO,O,O,O,X,O,X,O,X,X
LTSZIOJ,O,O,O,O,O,X,O,X,X
LTSZJIO,O,O,O,O,O,O,O,X,X
LTSZJOI,O,O,O,O,O,O,O,X,X
LTSZOIJ,O,O,O,O,O,X,O,X,X
LTSZOJI,O,O,O,O,O,O,O,X,X
LTSOIJZ,O,O,O,O,O,X,O,X,O
LTSOIZJ,O,O,O,O,O,X,O,X,X
LTSOJIZ,O,O,O,O,O,X,O,X,O
LTSOJZI,O,O,O,X,O,O,O,X,O
LTSOZIJ,O,O,O,X,O,X,O,X,X
LTSOZJI,O,O,O,X,O,O,O,X,X
LTZIJSO,O,O,X,O,X,O,X,X,X
LTZIJOS,O,O,O,O,X,O,X,O,X
LTZISJO,O,O,X,X,O,X,X,X,X
LTZISOJ,O,O,X,O,O,X,X,X,X
