sequence,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjBylB+?mBTiBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjB6mBT?iBmlBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaBJvhFRdBcjBTgBG?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFuiBcjBTgBi?hB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBO?mBCnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBK?mBWnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC8IvhFTeB2lBxhB0?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFCeBTgBOmB8?mBXjBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR9IvhFcjBigBGiBz?gB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBTgBKmBf?nBliB8sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaCJvhFuiBcjBxgB3?gBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez8IvhFWjBigBXjBR?mBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFWjBigBzhBX?jBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez7IvhFRdBcjB2lBS?nB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBigBfnBU?mBznBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFaiBuiBcjBx?lBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBGeBynBF?mBRsB/sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBxdBOoBF?mBXnB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFTeBxlBmnBc?mBVsB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC+IvhF2lBRhBXjBz?hBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFmcBCeBXjBR?mBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je1AJvhFzcBSjB3iBx?lB8sB2wB
JZSTLIO,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X
JZSTLOI,O,O,X,X,O,O,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X
JZSTOIL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZSTOLI,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZSITLO,X,O,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X
JZSITOL,X,O,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,O,X
JZSILTO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZSILOT,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JZSIOTL,X,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
JZSIOLT,X,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JZSLTIO,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZSLTOI,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSLITO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
JZSLIOT,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JZSLOTI,O,O,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSLOIT,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZSOTIL,X,O,O,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JZSOTLI,X,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZSOITL,X,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZSOILT,X,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JZSOLTI,X,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSOLIT,X,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOTILS,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZOTISL,O,O,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZOTLIS,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
JZOTLSI,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
JZOTSIL,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X
JZOTSLI,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZOITLS,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X
JZOITSL,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JZOILTS,X,X,O,X,O,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
JZOILST,O,X,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JZOISTL,X,O,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JZOISLT,X,O,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JZOLTIS,O,O,O,X,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JZOLTSI,O,O,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JZOLITS,X,X,O,X,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JZOLIST,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JZOLSTI,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZOLSIT,O,O,O,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JZOSTIL,X,O,O,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JZOSTLI,X,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZOSITL,X,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZOSILT,X,O,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZOSLTI,X,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOSLIT,X,O,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOTILSZ,O,O,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,O,X,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X
JOTISLZ,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOTISZL,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTIZLS,O,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X
JOTIZSL,O,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JOTLISZ,O,O,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,O,X,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X
JOTLSIZ,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLSZI,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTLZIS,O,O,O,X,O,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOTLZSI,O,O,O,X,O,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOTSILZ,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTSIZL,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTSLZI,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTSZIL,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTZILS,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTZISL,O,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTZLIS,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOTZLSI,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOTZSIL,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTZSLI,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JOITSLZ,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOITSZL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOITZLS,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JOITZSL,X,X,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JOILTSZ,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOILSTZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
JOILZTS,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOILZST,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JOISTLZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISLTZ,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOISLZT,X,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JOISZTL,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JOISZLT,X,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOIZTLS,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X
JOIZTSL,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JOIZLTS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
JOIZLST,X,X,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JOIZSTL,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JOIZSLT,X,X,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOLTISZ,O,O,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOLTIZS,O,O,O,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
JOLTSIZ,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLTSZI,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOLTZIS,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOLTZSI,O,O,O,X,O,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JOLISTZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
JOLIZTS,X,X,X,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JOLIZST,X,X,X,X,O,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
JOLSTIZ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLSZTI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLSZIT,O,O,O,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLZTIS,O,O,O,X,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOLZTSI,O,O,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOLZITS,X,X,O,X,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOLZIST,O,O,O,X,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOLZSTI,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOLZSIT,O,O,O,X,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSTILZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSTIZL,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSTLZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSTZIL,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSTZLI,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSITLZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSILTZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSILZT,X,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOSIZTL,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JOSIZLT,X,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOSLTIZ,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSLTZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSLIZT,X,X,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSLZTI,X,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSLZIT,X,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSZTIL,X,O,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JOSZTLI,X,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JOSZITL,X,O,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JOSZILT,X,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSZLTI,X,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSZLIT,X,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOZTILS,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JOZTISL,O,O,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JOZTLIS,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
JOZTLSI,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
JOZTSIL,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X
JOZTSLI,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JOZITLS,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X
JOZITSL,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JOZILTS,X,X,O,X,O,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
JOZILST,O,X,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOZISTL,X,O,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JOZISLT,X,O,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOZLTIS,O,O,O,X,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOZLTSI,O,O,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X
JOZLITS,X,X,O,X,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
JOZLIST,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JOZLSTI,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOZLSIT,O,O,O,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOZSTIL,X,O,O,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JOZSTLI,X,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JOZSITL,X,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JOZSILT,X,O,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOZSLTI,X,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOZSLIT,X,O,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
STILJZO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
STILJOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
STILZJO,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
STILZOJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
STILOJZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STILOZJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIJLZO,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
STIJLOZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
STIJZLO,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
STIJZOL,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
STIJOLZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
STIJOZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZLJO,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STIZLOJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
STIZJLO,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STIZJOL,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STIZOLJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
STIZOJL,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STIOLJZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOLZJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOJLZ,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIOJZL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIOZJL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLIJZO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
STLIJOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
STLIZJO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STLIZOJ,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
STLIOJZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
STLIOZJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLJIZO,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STLJIOZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
STLJZIO,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
STLJZOI,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STLJOIZ,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
STLJOZI,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STLZIJO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
STLZIOJ,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
STLZJIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X
STLZJOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
STLZOIJ,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
STLZOJI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
STLOIJZ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLOIZJ,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOJIZ,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
STLOJZI,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STLOZIJ,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
STLOZJI,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STJILZO,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STJILOZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
STJIZLO,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
STJIZOL,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
STJIOLZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
STJIOZL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLIZO,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STJLIOZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
STJLZIO,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
STJLZOI,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STJLOIZ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
STJLOZI,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STJZILO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X
STJZIOL,X,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,X
STJZLIO,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,O,O,X
STJZLOI,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X
STJZOIL,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
STJZOLI,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
STJOILZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STJOIZL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOLIZ,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
STJOLZI,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STJOZIL,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STJOZLI,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STZILJO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
STZILOJ,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
STZIJLO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X
STZIJOL,X,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X
STZIOLJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
STZIOJL,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X
STZLIJO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
STZLIOJ,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
STZLJIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X
STZLJOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X
