sequence,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBCiBllBe?sBznBXrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFUhBFiB6qBz?nBXnB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBllBcrBm?nBXsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBGiBllBy?sBXrBzrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFGdB/mBanB0?lBznBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBFhB6qBc?rBmnBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFzcBqiB/mB0?lB2sBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBXiBllBz?nBmrBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFFiBxlBznB0?lBOsBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFThBZnBfoB0?lBGnBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFTdBllBmnBx?rBqrB0qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFSiBllB3mBz?nBmmBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeG9IvhFZnBllBcrBz?nB6qB/rB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFOnBllBcrBz?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeT8IvhFOiBfoBxlBU?rBFsB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je0BJvhFfoBllBxrB6?qBOsBTrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFllBcrBmnBT?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhFXiBllBznB0?mB2wB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFfoBllBUnBT?rBOsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhF1lB0hBznBX?nB6qB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBOnBllBz?nBXrBqrB
JZIOLST,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTOSI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZLITSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTIOL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTLIO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTLOI,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSTOLI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSITLO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X
JZOTISL,O,X,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZOTLIS,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZOTLSI,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X
JZOTSIL,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JZOTSLI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,O,X
JZOITLS,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X
JZOITSL,O,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOILTS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOILST,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOLTSI,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLITS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLIST,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSTLI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JZOSITL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSILT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTISLZ,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTISZL,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JOTIZLS,O,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTIZSL,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JOTLISZ,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLZIS,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTLZSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOTSILZ,O,X,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JOTSIZL,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTSLIZ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JOTSLZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
JOTSZIL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOTSZLI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
JOTZILS,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X
JOTZISL,O,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOTZLIS,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JOTZLSI,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JOTZSIL,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOTZSLI,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X
JOITLSZ,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOITSLZ,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JOITZLS,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOITZSL,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JOILTSZ,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILTZS,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOILSTZ,O,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOILSZT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZST,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O
JOISTZL,O,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JOISLTZ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISLZT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,O,O,X,X,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOIZTSL,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOIZLTS,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZLST,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLTZIS,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLTZSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLITSZ,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLITZS,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLISTZ,O,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLISZT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLIZST,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLSTZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
JOLSITZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOLZTSI,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZITS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLZIST,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSTIZL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSTLZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
JOSTZIL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOSTZLI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
JOSITLZ,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSITZL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSILTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLTZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
JOSLITZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSZTLI,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
JOSZITL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X
JOZTISL,O,X,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOZTLIS,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JOZTLSI,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X
JOZTSIL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
JOZTSLI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,O,X
JOZITLS,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X
JOZITSL,O,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOZILTS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZILST,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISTL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISLT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTIS,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZLTSI,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLITS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZLIST,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSTI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSTIL,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZSTLI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
JOZSITL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSILT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLTI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLIT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STILJZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STILJOZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STILZJO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STILZOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
STILOJZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STILOZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJLZO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
STIJLOZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIJZLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STIJZOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STIJOLZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STIJOZL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIZLJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STIZLOJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
STIZJLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STIZJOL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STIZOLJ,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X
STIZOJL,O,X,X,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X
STIOLJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STIOLZJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STIOJLZ,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
STIOJZL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
STIOZLJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
STIOZJL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
STLIJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLIJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIZJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STLIZOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
STLIOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLJIOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLJZOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJOZI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZIJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STLZIOJ,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
STLZJIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STLZJOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLZOIJ,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLZOJI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLOIJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLOIZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLOJIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STLOJZI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STLOZIJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOZJI,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STJILZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
STJILOZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STJIZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STJIZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STJIOLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STJIOZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJLIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJLIOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLZIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJLZOI,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STJLOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLOZI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZILO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STJZIOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
STJZLIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STJZLOI,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
