sequence,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFagBGcBxdBzgB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFegBCcBxdBXhB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFCcBxdBXhB0iBzf?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jem6IvhFRcBSiB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFRbBchBTdBSlBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jey/IvhFGdBRhB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jei6IvhFWhBxdBzfB0iBXh?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFShBxdB2lB0iBfq?BlqB,v115@FhC8DeB8BeB8CeH8AeG8JeT9IvhF6kBxgBmfBFhBXj?BcqB,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFTcBxdB2lB0iBSq?BFqB
ILOTZJS,X,X,X,O,X,X,X,X,O,X
ILOTZSJ,X,X,X,O,X,X,X,X,O,X
ILOJTSZ,O,X,X,X,X,O,X,X,X,X
ILOJTZS,X,X,X,O,X,O,X,X,X,X
ILOJSTZ,O,X,X,X,X,O,X,X,X,X
ILOJSZT,O,X,X,X,X,O,X,X,O,X
ILOJZTS,X,X,X,O,X,O,X,X,O,X
ILOJZST,X,X,X,O,X,O,X,X,O,X
ILOSTJZ,O,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,O,X,X,X,X,O,X
ILOSJTZ,O,X,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,O,X
ILOSZTJ,X,X,X,X,X,X,X,X,O,X
ILOSZJT,O,X,X,O,X,X,X,X,O,X
ILOZTJS,X,X,X,O,X,X,X,X,O,X
ILOZTSJ,X,X,X,O,X,X,X,X,O,X
ILOZJTS,X,X,X,O,X,X,X,X,O,X
ILOZJST,X,X,X,O,X,X,X,X,O,X
ILOZSTJ,X,X,X,X,X,X,X,X,O,X
ILOZSJT,X,X,X,O,X,X,X,X,O,X
IJTLSZO,O,O,X,X,X,O,X,X,X,X
IJTLSOZ,O,O,X,X,X,O,X,X,X,X
IJTLZSO,X,X,X,X,O,O,X,X,X,X
IJTLZOS,X,X,X,X,O,O,X,X,X,X
IJTLOSZ,O,O,X,X,X,O,X,X,X,X
IJTLOZS,X,X,X,X,O,O,X,X,X,X
IJTSLZO,O,O,O,X,X,O,X,X,X,X
IJTSLOZ,O,O,X,X,X,O,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X,X,X
IJTZLSO,O,X,O,X,O,O,X,X,X,X
IJTZLOS,O,X,X,X,O,O,O,X,X,X
IJTZSLO,O,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,O,X,X,X,O,X,X,X
IJTZOLS,O,X,X,X,O,X,O,X,X,X
IJTZOSL,O,O,O,X,X,X,O,X,X,X
IJTOLSZ,O,O,X,X,X,O,X,X,X,X
IJTOLZS,X,X,X,X,O,O,O,X,X,X
IJTOSLZ,O,O,X,X,X,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,O,X,O,X,X,X
IJTOZSL,O,O,X,X,X,X,O,X,X,X
IJLTSZO,O,X,X,X,X,O,X,X,X,X
IJLTSOZ,O,X,X,X,X,O,X,X,X,X
IJLTZSO,X,X,X,X,X,O,X,X,X,X
IJLTZOS,X,X,X,X,X,O,X,X,X,X
IJLTOSZ,O,X,X,X,X,O,X,X,X,X
IJLTOZS,X,X,X,X,X,O,X,X,X,X
IJLSTZO,O,X,X,X,X,O,X,X,X,X
IJLSTOZ,O,X,X,X,X,O,X,X,X,X
IJLSZTO,O,X,X,X,X,O,X,X,X,X
IJLSZOT,O,X,X,X,X,O,X,X,X,X
IJLSOTZ,O,X,X,X,X,O,X,X,X,X
IJLSOZT,O,X,X,X,X,O,X,X,X,X
IJLZTSO,X,X,X,X,X,O,X,X,X,X
IJLZTOS,X,X,X,X,X,O,X,X,X,X
IJLZSTO,X,X,X,X,X,O,X,X,X,X
IJLZSOT,X,X,X,X,X,O,X,X,X,X
IJLZOTS,X,X,X,X,X,O,X,X,X,X
IJLZOST,X,X,X,X,X,O,X,X,X,X
IJLOTSZ,O,X,X,X,X,O,X,X,X,X
IJLOTZS,X,X,X,X,X,O,X,X,X,X
IJLOSTZ,O,X,X,X,X,O,X,X,X,X
IJLOSZT,O,X,X,X,X,O,X,X,O,X
IJLOZTS,X,X,X,X,X,O,X,X,O,X
IJLOZST,X,X,X,X,X,O,X,X,O,X
IJSTLZO,O,O,X,X,X,O,X,X,X,X
IJSTLOZ,O,O,X,X,X,O,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,X,X,X,X,X,X,X
IJSTOZL,O,O,X,X,X,X,X,X,X,X
IJSLTZO,O,O,X,X,X,O,X,X,X,X
IJSLTOZ,O,O,X,X,X,O,X,X,X,X
IJSLZTO,O,X,O,X,X,O,X,X,X,X
IJSLZOT,O,X,O,X,X,O,X,X,X,X
IJSLOTZ,O,X,X,X,X,O,X,X,X,X
IJSLOZT,O,X,X,X,X,O,X,X,X,X
IJSZTLO,O,X,O,X,X,X,X,X,X,O
IJSZTOL,X,X,X,X,X,X,X,X,X,O
IJSZLTO,O,X,O,X,X,X,X,X,X,O
IJSZLOT,O,X,O,X,X,X,X,X,X,O
IJSZOTL,X,X,X,X,X,X,X,X,X,O
IJSZOLT,O,X,O,X,X,X,X,X,X,O
IJSOTLZ,O,X,X,X,X,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,X,X,X,O
IJSOZLT,O,X,X,X,X,X,X,X,X,O
IJZTLSO,O,X,O,X,X,O,X,X,X,X
IJZTLOS,O,X,X,X,X,O,O,X,X,X
IJZTSLO,O,X,O,X,X,X,X,X,X,O
IJZTSOL,O,X,O,X,X,X,O,X,X,O
IJZTOLS,O,X,X,X,X,X,O,X,X,X
IJZTOSL,O,X,O,X,X,X,O,X,X,O
IJZLTSO,O,X,O,X,X,O,X,X,X,X
IJZLTOS,O,X,X,X,X,O,O,X,X,X
IJZLSTO,O,X,O,X,X,O,X,X,X,O
IJZLSOT,O,X,O,X,X,O,X,X,X,O
IJZLOTS,O,X,X,X,X,O,X,X,X,X
IJZLOST,O,X,X,X,X,O,X,X,X,O
IJZSTLO,O,X,O,X,X,X,X,X,X,O
IJZSTOL,O,X,O,X,X,X,O,X,X,O
IJZSLTO,O,X,O,X,X,X,X,X,X,O
IJZSLOT,O,X,O,X,X,X,X,X,X,O
IJZSOTL,O,X,X,X,X,X,X,X,X,O
IJZSOLT,O,X,O,X,X,X,X,X,X,O
IJZOTLS,O,X,X,X,X,X,O,X,X,X
IJZOTSL,O,X,O,X,X,X,O,X,X,O
IJZOLTS,O,X,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,O
IJZOSTL,O,X,X,X,X,X,X,X,X,O
IJZOSLT,O,X,O,X,X,X,X,X,X,O
IJOTLSZ,O,O,X,X,X,O,X,X,X,X
IJOTLZS,X,X,X,X,O,O,X,X,X,X
IJOTSLZ,O,O,X,X,X,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X,X,X
IJOTZLS,O,X,X,X,O,X,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,O,X,X,X,X
IJOLTZS,X,X,X,X,X,O,X,X,X,X
IJOLSTZ,O,X,X,X,X,O,X,X,X,X
IJOLSZT,O,X,X,X,X,O,X,X,O,X
IJOLZTS,X,X,X,X,X,O,X,X,O,X
IJOLZST,X,X,X,X,X,O,X,X,O,X
IJOSTLZ,O,X,X,X,X,X,X,X,X,X
IJOSTZL,O,X,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X,X,X,O
IJOSZLT,O,X,X,X,X,X,X,X,X,O
IJOZTLS,O,X,X,X,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,X,X,O
IJOZLTS,O,X,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,X,X,X,O
IJOZSTL,O,X,X,X,X,X,X,X,X,O
IJOZSLT,O,X,X,X,X,X,X,X,X,O
ISTLJZO,O,O,O,X,X,O,X,X,X,X
ISTLJOZ,O,O,X,X,X,O,X,X,X,X
ISTLZJO,O,O,O,X,X,X,X,X,X,X
ISTLZOJ,O,O,O,X,X,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,X,X,X,X,X,X,X,X
ISTJLZO,O,O,O,X,X,O,X,X,X,X
ISTJLOZ,O,O,X,X,X,O,X,X,X,X
ISTJZLO,O,O,O,X,X,X,X,X,X,X
ISTJZOL,O,O,O,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,X
ISTJOZL,O,O,X,X,X,X,X,X,X,X
ISTZLJO,O,O,O,X,X,X,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X,X,X,X
ISLTJZO,O,O,O,X,X,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X,X,X,X
ISLTZJO,O,O,O,X,X,X,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,X,X,X
ISLJTZO,O,O,X,X,X,O,X,X,X,X
ISLJTOZ,O,O,X,X,X,O,X,X,X,X
ISLJZTO,O,X,O,X,X,O,X,O,X,X
ISLJZOT,O,X,O,X,X,O,X,O,X,X
ISLJOTZ,O,X,X,X,X,O,X,X,X,X
ISLJOZT,O,X,X,X,X,O,X,O,X,X
ISLZTJO,O,O,O,X,X,X,X,O,X,X
ISLZTOJ,O,O,O,X,X,X,X,O,X,X
ISLZJTO,O,O,O,X,X,X,X,O,X,X
ISLZJOT,O,X,O,X,X,X,X,O,X,X
ISLZOTJ,O,O,O,X,X,X,X,O,X,X
ISLZOJT,O,X,O,X,X,X,X,O,X,X
ISLOTJZ,O,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,O,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,O,O,X
ISLOZTJ,O,X,X,X,X,X,X,O,O,X
ISLOZJT,O,X,X,X,X,X,X,O,O,X
ISJTLZO,O,O,X,X,X,O,X,X,X,X
ISJTLOZ,O,O,X,X,X,O,X,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,X,X,X,X,X
ISJTOZL,O,O,X,X,X,X,X,X,X,X
ISJLTZO,O,O,X,X,X,O,X,X,X,X
ISJLTOZ,O,O,X,X,X,O,X,X,X,X
ISJLZTO,O,X,O,X,X,O,X,O,X,X
ISJLZOT,O,X,O,X,X,O,X,O,X,X
ISJLOTZ,O,X,X,X,X,O,X,X,X,X
ISJLOZT,O,X,X,X,X,O,X,O,X,X
ISJZTLO,O,X,O,X,X,X,X,O,X,O
ISJZTOL,X,X,X,X,X,X,X,O,X,O
ISJZLTO,O,X,O,X,X,X,X,O,X,O
ISJZLOT,O,X,O,X,X,X,X,O,X,O
ISJZOTL,X,X,X,X,X,X,X,O,X,O
ISJZOLT,O,X,O,X,X,X,X,O,X,O
ISJOTLZ,O,X,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,O,X,X
ISJOZTL,X,X,X,X,X,X,X,O,X,O
ISJOZLT,O,X,X,X,X,X,X,O,X,O
ISZTLJO,O,O,O,X,X,X,X,O,X,X
ISZTLOJ,O,O,O,X,X,X,X,O,X,X
ISZTJLO,O,O,O,X,X,X,X,O,X,O
ISZTJOL,O,O,O,X,X,X,X,O,X,O
ISZTOLJ,O,O,O,X,X,X,X,O,X,X
ISZTOJL,O,O,O,X,X,X,X,O,X,O
ISZLTJO,O,O,O,X,X,X,X,O,X,X
ISZLTOJ,O,O,O,X,X,X,X,O,X,X
ISZLJTO,O,O,O,X,X,X,X,O,X,O
ISZLJOT,O,X,O,X,X,X,X,O,X,O
ISZLOTJ,O,O,O,X,X,X,X,O,X,X
ISZLOJT,O,X,O,X,X,X,X,O,X,O
ISZJTLO,O,O,O,X,X,X,X,O,X,O
ISZJTOL,O,O,O,X,X,X,X,O,X,O
ISZJLTO,O,O,O,X,X,X,X,O,X,O
ISZJLOT,O,X,O,X,X,X,X,O,X,O
ISZJOTL,O,X,X,X,X,X,X,O,X,O
ISZJOLT,O,X,O,X,X,X,X,O,X,O
ISZOTLJ,O,O,O,X,X,X,X,O,X,X
ISZOTJL,O,O,O,X,X,X,X,O,X,O
ISZOLTJ,O,O,O,X,X,X,X,O,X,X
ISZOLJT,O,X,O,X,X,X,X,O,X,O
ISZOJTL,O,X,X,X,X,X,X,O,X,O
ISZOJLT,O,X,O,X,X,X,X,O,X,O
ISOTLJZ,O,O,X,X,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,O,X
ISOLJTZ,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,O,O,X
ISOLZTJ,O,X,X,X,X,X,X,O,O,X
ISOLZJT,O,X,X,X,X,X,X,O,O,X
ISOJTLZ,O,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,O,X,X
ISOJZTL,O,X,X,X,X,X,X,O,X,O
ISOJZLT,O,X,X,X,X,X,X,O,X,O
ISOZTLJ,O,X,X,X,X,X,X,O,X,X
ISOZTJL,O,X,X,X,X,X,X,O,X,O
ISOZLTJ,O,X,X,X,X,X,X,O,X,X
ISOZLJT,O,X,X,X,X,X,X,O,X,O
ISOZJTL,O,X,X,X,X,X,X,O,X,O
ISOZJLT,O,X,X,X,X,X,X,O,X,O
IZTLJSO,O,O,O,X,O,O,X,X,X,X
IZTLJOS,O,O,X,X,O,O,O,X,X,X
IZTLSJO,O,O,O,X,O,X,X,O,X,X
IZTLSOJ,O,O,O,X,O,X,O,O,X,X
IZTLOJS,O,O,X,X,O,X,O,X,O,X
IZTLOSJ,O,O,X,X,O,X,O,X,O,X
IZTJLSO,O,O,O,X,O,O,X,X,X,X
IZTJLOS,O,O,X,X,O,O,O,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X,X,O
IZTJSOL,O,O,O,X,X,X,O,X,X,O
IZTJOLS,O,O,X,X,O,X,O,X,X,X
IZTJOSL,O,O,O,X,X,X,O,X,X,O
IZTSLJO,O,O,O,X,X,X,X,O,X,X
IZTSLOJ,O,O,O,X,X,X,O,O,X,X
IZTSJLO,O,O,O,X,X,X,X,O,X,O
IZTSJOL,O,O,O,X,X,X,O,O,X,O
IZTSOLJ,O,O,O,X,X,X,O,O,X,X
IZTSOJL,O,O,O,X,X,X,O,O,X,O
IZTOLJS,O,O,X,X,O,X,O,X,O,X
IZTOLSJ,O,O,X,X,O,X,O,X,O,X
IZTOJLS,O,O,X,X,O,X,O,X,X,X
IZTOJSL,O,O,O,X,X,X,O,X,X,O
IZTOSLJ,O,O,O,X,X,X,O,O,X,X
IZTOSJL,O,O,O,X,X,X,O,O,X,O
IZLTJSO,O,O,O,X,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,O,X,X,X
IZLTSJO,O,O,O,X,X,X,X,O,X,X
IZLTSOJ,O,O,O,X,X,X,O,O,X,X
IZLTOJS,O,O,X,X,X,X,O,X,O,X
IZLTOSJ,O,O,X,X,X,X,O,X,O,X
IZLJTSO,O,X,O,X,X,O,X,X,X,X
IZLJTOS,O,X,X,X,X,O,O,X,X,X
IZLJSTO,O,X,O,X,X,O,X,O,X,O
IZLJSOT,O,X,O,X,X,O,X,O,X,O
IZLJOTS,O,X,X,O,X,O,X,X,O,X
IZLJOST,O,X,X,O,X,O,X,X,O,O
IZLSTJO,O,O,O,X,X,X,X,O,X,X
IZLSTOJ,O,O,O,X,X,X,O,O,X,X
IZLSJTO,O,O,O,X,X,X,X,O,X,O
IZLSJOT,O,X,O,X,X,X,X,O,X,O
IZLSOTJ,O,O,O,X,X,X,X,O,O,X
IZLSOJT,O,X,O,X,X,X,X,O,O,O
IZLOTJS,O,O,X,O,X,X,O,X,O,X
IZLOTSJ,O,O,X,X,X,X,O,X,O,X
IZLOJTS,O,X,X,O,X,X,X,X,O,X
IZLOJST,O,X,X,O,X,X,X,X,O,O
IZLOSTJ,O,X,X,X,X,X,X,O,O,X
IZLOSJT,O,X,X,O,X,X,X,O,O,O
IZJTLSO,O,O,O,X,X,O,X,X,X,X
IZJTLOS,O,O,X,X,X,O,O,X,X,X
IZJTSLO,O,O,O,X,X,X,X,X,X,O
IZJTSOL,O,O,O,X,X,X,O,X,X,O
IZJTOLS,O,O,X,X,X,X,O,X,X,X
IZJTOSL,O,O,O,X,X,X,O,X,X,O
IZJLTSO,O,X,O,X,X,O,X,X,X,X
IZJLTOS,O,X,X,X,X,O,O,X,X,X
IZJLSTO,O,X,O,X,X,O,X,O,X,O
IZJLSOT,O,X,O,X,X,O,X,O,X,O
IZJLOTS,O,X,X,O,X,O,X,X,O,X
IZJLOST,O,X,X,O,X,O,X,X,O,O
IZJSTLO,O,O,O,X,X,X,X,O,X,O
IZJSTOL,O,O,O,X,X,X,O,O,X,O
IZJSLTO,O,O,O,X,X,X,X,O,X,O
IZJSLOT,O,X,O,X,X,X,X,O,X,O
IZJSOTL,O,X,X,X,X,X,X,O,X,O
IZJSOLT,O,X,O,X,X,X,X,O,X,O
IZJOTLS,O,O,X,O,X,X,O,X,X,X
IZJOTSL,O,O,O,X,X,X,O,X,X,O
IZJOLTS,O,X,X,O,X,X,X,X,O,X
IZJOLST,O,X,X,O,X,X,X,X,O,O
IZJOSTL,O,X,X,X,X,X,X,O,X,O
IZJOSLT,O,X,O,O,X,X,X,O,X,O
IZSTLJO,O,O,O,X,X,X,X,O,X,X
IZSTLOJ,O,O,O,X,X,X,O,O,X,X
IZSTJLO,O,O,O,X,X,X,X,O,X,O
IZSTJOL,O,O,O,X,X,X,O,O,X,O
IZSTOLJ,O,O,O,X,X,X,O,O,X,X
IZSTOJL,O,O,O,X,X,X,O,O,X,O
IZSLTJO,O,O,O,X,X,X,X,O,X,X
IZSLTOJ,O,O,O,X,X,X,O,O,X,X
IZSLJTO,O,O,O,X,X,X,X,O,X,O
IZSLJOT,O,X,O,X,X,X,X,O,X,O
IZSLOTJ,O,O,O,X,X,X,X,O,O,X
IZSLOJT,O,X,O,X,X,X,X,O,O,O
IZSJTLO,O,O,O,X,X,X,X,O,X,O
IZSJTOL,O,O,O,X,X,X,O,O,X,O
IZSJLTO,O,O,O,X,X,X,X,O,X,O
IZSJLOT,O,X,O,X,X,X,X,O,X,O
IZSJOTL,O,X,X,X,X,X,X,O,X,O
IZSJOLT,O,X,O,X,X,X,X,O,X,O
IZSOTLJ,O,O,O,X,X,X,X,O,X,X
IZSOTJL,O,O,O,X,X,X,X,O,X,O
IZSOLTJ,O,O,O,X,X,X,X,O,O,X
IZSOLJT,O,X,O,X,X,X,X,O,O,O
IZSOJTL,O,X,X,X,X,X,X,O,X,O
IZSOJLT,O,X,O,X,X,X,X,O,X,O
IZOTLJS,O,O,X,O,O,X,O,X,O,X
IZOTLSJ,O,O,X,X,O,X,O,X,O,X
IZOTJLS,O,O,X,O,O,X,O,X,X,X
IZOTJSL,O,O,O,X,X,X,O,X,X,O
IZOTSLJ,O,O,O,X,X,X,O,O,X,X
IZOTSJL,O,O,O,X,X,X,O,O,X,O
IZOLTJS,O,O,X,O,X,X,O,X,O,X
IZOLTSJ,O,O,X,X,X,X,O,X,O,X
IZOLJTS,O,X,X,O,X,X,X,X,O,X
IZOLJST,O,X,X,O,X,X,X,X,O,O
IZOLSTJ,O,X,X,X,X,X,X,O,O,X
IZOLSJT,O,X,X,O,X,X,X,O,O,O
IZOJTLS,O,O,X,O,X,X,O,X,X,X
IZOJTSL,O,O,O,X,X,X,O,X,X,O
IZOJLTS,O,X,X,O,X,X,X,X,O,X
IZOJLST,O,X,X,O,X,X,X,X,O,O
IZOJSTL,O,X,X,X,X,X,X,O,X,O
IZOJSLT,O,X,O,O,X,X,X,O,X,O
IZOSTLJ,O,O,O,X,X,X,X,O,X,X
IZOSTJL,O,O,O,X,X,X,X,O,X,O
IZOSLTJ,O,O,O,X,X,X,X,O,O,X
IZOSLJT,O,X,O,O,X,X,X,O,O,O
IZOSJTL,O,X,X,X,X,X,X,O,X,O
IZOSJLT,O,X,O,O,X,X,X,O,X,O
IOTLJSZ,O,O,X,X,X,O,X,X,X,X
IOTLJZS,X,X,X,O,O,O,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,O,X,X,X,X,O,X
IOTLZJS,X,X,X,O,O,X,X,X,O,X
IOTLZSJ,X,X,X,O,O,X,X,X,O,X
IOTJLSZ,O,O,X,X,X,O,X,X,X,X
IOTJLZS,X,X,X,O,O,O,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X,X,X
IOTJZLS,O,O,X,O,O,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,O,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,O,X,X,X,X,X,X
IOTSZJL,O,O,X,O,X,X,X,X,X,X
IOTZLJS,O,O,X,O,O,X,X,X,X,X
IOTZLSJ,O,O,X,O,O,X,X,X,X,X
IOTZJLS,O,O,X,O,O,X,X,X,X,X
IOTZJSL,O,O,X,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,O,X,X,X,X,X,X
IOTZSJL,O,O,X,O,X,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,X,X,X,X,O,X
IOLTZJS,X,X,X,O,X,X,X,X,O,X
IOLTZSJ,X,X,X,O,X,X,X,X,O,X
IOLJTSZ,O,X,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,O,X,O,X,X,X,X
IOLJSTZ,O,X,X,X,X,O,X,X,X,X
IOLJSZT,O,X,X,X,X,O,X,X,O,X
IOLJZTS,X,X,X,O,X,O,X,X,O,X
IOLJZST,X,X,X,O,X,O,X,X,O,X
IOLSTJZ,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,O,X,X,X,X,O,X
IOLSJTZ,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,O,X
IOLSZTJ,X,X,X,X,X,X,X,X,O,X
IOLSZJT,O,X,X,O,X,X,X,X,O,X
IOLZTJS,X,X,X,O,X,X,X,X,O,X
IOLZTSJ,X,X,X,O,X,X,X,X,O,X
IOLZJTS,X,X,X,O,X,X,X,X,O,X
IOLZJST,X,X,X,O,X,X,X,X,O,X
IOLZSTJ,X,X,X,X,X,X,X,X,O,X
IOLZSJT,X,X,X,O,X,X,X,X,O,X
IOJTLSZ,O,O,X,X,X,O,X,X,X,X
IOJTLZS,X,X,X,O,O,O,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,O,O,X,X,X,X,X
IOJTZSL,O,O,X,O,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,O,X,O,X,X,X,X
IOJLSTZ,O,X,X,X,X,O,X,X,X,X
IOJLSZT,O,X,X,X,X,O,X,X,O,X
IOJLZTS,X,X,X,O,X,O,X,X,O,X
IOJLZST,X,X,X,O,X,O,X,X,O,X
IOJSTLZ,O,X,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,X,O
IOJSZLT,O,X,X,X,X,X,X,X,X,O
IOJZTLS,O,X,X,O,X,X,X,X,X,X
IOJZTSL,O,X,X,X,X,X,X,X,X,O
IOJZLTS,O,X,X,O,X,X,X,X,X,X
IOJZLST,O,X,X,O,X,X,X,X,X,O
IOJZSTL,O,X,X,X,X,X,X,X,X,O
IOJZSLT,O,X,X,O,X,X,X,X,X,O
IOSTLJZ,O,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,O,X,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,O,X,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,X,X,X
IOSLTJZ,O,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,O,X,X,X,X,O,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,O,O,X
IOSLZTJ,O,X,X,X,X,X,X,O,O,X
IOSLZJT,O,X,X,O,X,X,X,O,O,X
IOSJTLZ,O,X,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,O,X,X
IOSJZTL,O,X,X,X,X,X,X,O,X,O
IOSJZLT,O,X,X,X,X,X,X,O,X,O
IOSZTLJ,O,X,X,X,X,X,X,O,X,X
IOSZTJL,O,X,X,X,X,X,X,O,X,O
IOSZLTJ,O,X,X,X,X,X,X,O,X,X
IOSZLJT,O,X,X,O,X,X,X,O,X,O
IOSZJTL,O,X,X,X,X,X,X,O,X,O
IOSZJLT,O,X,X,O,X,X,X,O,X,O
IOZTLJS,O,O,X,O,O,X,X,X,O,X
