sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
TJIZOLS,O,X,X,O,X,X,X,X,X,X,X,X
TJIZOSL,O,O,X,O,X,X,X,X,X,O,X,X
TJIOLSZ,X,O,X,O,O,X,X,X,O,X,X,X
TJIOLZS,X,O,X,O,X,X,O,X,X,X,X,X
TJIOSLZ,O,O,X,O,O,X,X,X,O,X,X,X
TJIOSZL,O,O,X,O,O,X,X,X,O,X,X,X
TJIOZLS,O,O,X,O,X,X,X,X,X,X,X,X
TJIOZSL,O,O,X,O,O,X,X,X,X,O,X,X
TJLISZO,X,O,X,X,X,O,O,O,X,X,X,X
TJLISOZ,X,O,X,X,X,O,X,O,O,X,X,X
TJLIZSO,X,O,X,X,X,O,O,X,X,X,X,X
TJLIZOS,X,X,X,O,X,O,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,X,O,X,O,O,X,X,X
TJLIOZS,X,X,X,O,X,O,O,X,X,X,X,X
TJLSIZO,O,O,O,X,X,O,X,O,X,X,X,X
TJLSIOZ,X,O,X,X,X,O,X,O,O,X,X,X
TJLSZIO,O,O,O,X,X,O,X,O,X,X,X,X
TJLSZOI,O,O,O,X,X,O,X,O,O,X,X,X
TJLSOIZ,O,O,O,X,X,O,X,O,O,X,X,X
TJLSOZI,O,O,O,X,X,O,X,O,O,X,X,X
TJLZISO,O,O,O,X,X,O,O,X,X,X,X,X
TJLZIOS,O,X,O,O,X,O,O,X,X,X,X,X
TJLZSIO,O,O,O,X,X,O,X,O,X,X,X,X
TJLZSOI,O,O,O,X,X,O,X,O,O,X,X,X
TJLZOIS,O,X,O,X,X,O,O,X,X,X,X,X
TJLZOSI,O,X,O,X,X,O,X,O,O,X,X,X
TJLOISZ,X,X,X,O,X,X,O,O,O,X,X,X
TJLOIZS,X,X,X,O,X,X,O,X,X,X,X,X
TJLOSIZ,O,X,O,O,X,X,X,O,O,X,X,X
TJLOSZI,O,X,O,O,X,X,X,O,O,X,X,X
TJLOZIS,O,X,O,O,X,X,O,X,X,X,X,X
TJLOZSI,O,X,O,O,X,X,X,O,O,X,X,X
TJSILZO,O,O,O,X,X,O,X,O,X,X,X,O
TJSILOZ,X,O,X,X,O,O,X,O,O,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X,X,X,X,O
TJSIZOL,O,O,X,O,X,X,X,X,O,X,X,O
TJSIOLZ,O,O,O,O,O,X,X,O,O,X,X,X
TJSIOZL,O,X,X,O,O,X,X,X,O,X,X,O
TJSLIZO,O,O,O,X,X,O,X,O,X,X,X,O
TJSLIOZ,X,O,X,X,O,O,X,O,O,X,X,X
TJSLZIO,O,O,O,X,X,O,X,O,X,X,X,O
TJSLZOI,O,O,O,X,X,O,X,O,O,X,X,X
TJSLOIZ,O,O,O,X,O,O,X,O,O,X,X,X
TJSLOZI,O,O,O,X,O,O,X,O,O,X,X,X
TJSZILO,O,O,X,X,X,X,X,X,X,X,X,O
TJSZIOL,O,O,X,O,X,X,X,X,O,X,X,O
TJSZLIO,O,O,X,X,X,O,X,X,X,X,X,O
TJSZLOI,O,O,X,X,X,O,X,X,O,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X,O,X,X,O
TJSZOLI,O,O,X,X,X,X,X,X,O,X,X,X
TJSOILZ,O,O,O,O,O,X,X,O,O,X,X,X
TJSOIZL,O,O,X,O,O,X,X,X,O,X,X,O
TJSOLIZ,O,O,O,O,O,O,X,O,O,X,X,X
TJSOLZI,O,O,O,O,O,O,X,O,O,X,X,X
TJSOZIL,O,O,X,O,O,X,X,X,O,X,X,O
TJSOZLI,O,O,X,O,O,X,X,X,O,X,X,X
TJZILSO,O,O,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,X,X,O,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,O,X,O,X,X,X,X,X,X,X,X
TJZIOLS,O,X,X,O,X,X,X,X,X,X,X,X
TJZIOSL,O,O,X,O,X,X,X,X,X,O,X,X
TJZLISO,O,O,X,X,X,X,X,X,X,X,X,X
TJZLIOS,O,X,X,O,X,X,X,X,X,X,X,X
TJZLSIO,O,O,X,X,X,X,X,X,X,X,X,X
TJZLSOI,O,O,X,X,X,X,X,X,O,X,X,X
TJZLOIS,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,O,X,X,X
TJZSILO,O,O,X,X,X,X,X,X,X,X,X,X
TJZSIOL,O,O,X,O,X,X,X,X,O,X,X,X
TJZSLIO,O,O,X,X,X,X,X,X,X,X,X,X
TJZSLOI,O,O,X,X,X,X,X,X,O,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X,O,X,X,X
TJZSOLI,O,O,X,X,X,X,X,X,O,X,X,X
TJZOILS,O,O,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,X,O,X,X,X,X,X,O,X,X
TJZOLIS,O,O,X,O,X,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X,O,X,X,X
