sequence,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBlmBcs?BCsB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhFXdBTeBifB+nBlm?B0rB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhF0cBTeBifB+nBlm?BXsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBFiBSs?B0rB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB0cBSjBxmBln?BzrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB5iBTeB0mBas?BlrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBlcBTeBxmBCs?BcsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBViBTeBxmBSs?B0rB
ISLTZOJ,X,X,X,O,X,X,X,X
ISLTOJZ,X,X,X,O,X,X,O,O
ISLTOZJ,X,X,X,O,X,X,X,X
ISLJTZO,X,X,X,O,O,X,O,X
ISLJTOZ,X,X,X,O,O,X,O,X
ISLJZTO,X,X,X,O,O,O,O,X
ISLJZOT,X,X,X,O,O,O,O,X
ISLJOTZ,X,X,X,O,O,X,O,X
ISLJOZT,O,X,X,O,O,O,O,X
ISLZTJO,X,X,X,O,O,O,X,X
ISLZTOJ,X,X,X,O,X,O,X,X
ISLZJTO,X,X,X,O,O,O,O,X
ISLZJOT,X,X,X,O,O,O,O,X
ISLZOTJ,X,X,X,O,X,O,X,X
ISLZOJT,X,X,X,O,O,O,O,X
ISLOTJZ,X,X,X,O,X,X,O,O
ISLOTZJ,X,X,X,O,X,X,X,X
ISLOJTZ,X,X,X,O,O,X,O,X
ISLOJZT,O,X,X,O,O,O,O,X
ISLOZTJ,X,X,X,O,X,O,X,X
ISLOZJT,X,X,X,O,O,O,O,X
ISJTLZO,X,X,X,X,O,X,O,X
ISJTLOZ,X,X,X,O,O,X,O,O
ISJTZLO,X,X,X,X,O,O,X,X
ISJTZOL,X,X,X,X,X,O,X,O
ISJTOLZ,X,X,X,O,O,X,O,O
ISJTOZL,O,X,X,X,O,O,X,O
ISJLTZO,X,X,X,O,O,X,O,X
ISJLTOZ,X,X,X,O,O,X,O,X
ISJLZTO,X,X,X,O,O,O,O,X
ISJLZOT,X,X,X,O,O,O,O,X
ISJLOTZ,X,X,X,O,O,X,O,X
ISJLOZT,O,X,X,O,O,O,O,X
ISJZTLO,O,X,X,X,O,O,X,X
ISJZTOL,O,X,X,X,X,O,X,X
ISJZLTO,X,X,X,X,O,O,O,X
ISJZLOT,O,X,X,O,O,O,O,X
ISJZOTL,O,X,X,X,O,O,X,X
ISJZOLT,O,X,X,O,O,O,O,X
ISJOTLZ,X,X,X,O,O,X,O,O
ISJOTZL,O,X,X,X,O,O,X,O
ISJOLTZ,X,X,X,O,O,X,O,X
ISJOLZT,O,X,X,O,O,O,O,X
ISJOZTL,O,X,X,X,O,O,X,X
ISJOZLT,O,X,X,O,O,O,O,X
ISZTLJO,O,X,X,X,O,O,X,X
ISZTLOJ,O,X,X,X,X,O,X,X
ISZTJLO,O,X,X,X,O,O,X,X
ISZTJOL,O,X,X,X,X,O,X,O
ISZTOLJ,O,X,X,X,X,O,X,X
ISZTOJL,O,X,X,X,X,O,X,O
ISZLTJO,X,X,X,X,O,O,X,X
ISZLTOJ,X,X,X,X,X,O,X,X
ISZLJTO,X,X,X,X,O,O,X,X
ISZLJOT,O,X,X,O,O,O,X,X
ISZLOTJ,X,X,X,X,X,O,X,X
ISZLOJT,O,X,X,O,O,O,X,X
ISZJTLO,O,X,X,X,O,O,X,X
ISZJTOL,O,X,X,X,X,O,X,X
ISZJLTO,X,X,X,X,O,O,O,X
ISZJLOT,O,X,X,O,O,O,O,X
ISZJOTL,O,X,X,X,O,O,X,X
ISZJOLT,O,X,X,O,O,O,O,X
ISZOTLJ,O,X,X,X,X,O,X,X
ISZOTJL,O,X,X,X,X,O,X,O
ISZOLTJ,X,X,X,X,X,O,X,X
ISZOLJT,O,X,X,X,O,O,X,X
ISZOJTL,O,X,X,X,X,O,X,X
ISZOJLT,O,X,X,O,O,O,O,X
ISOTLJZ,X,X,X,X,O,X,X,O
ISOTLZJ,X,X,X,X,O,X,X,X
ISOTJLZ,X,X,X,O,O,X,O,O
ISOTJZL,O,X,X,X,O,O,X,O
ISOTZLJ,X,X,X,X,O,O,X,X
ISOTZJL,X,X,X,X,O,O,X,O
ISOLTJZ,X,X,X,O,O,X,O,O
ISOLTZJ,X,X,X,O,O,X,X,X
ISOLJTZ,X,X,X,O,O,X,O,X
ISOLJZT,O,X,X,O,O,O,O,X
ISOLZTJ,X,X,X,O,O,O,X,X
ISOLZJT,X,X,X,O,O,O,O,X
ISOJTLZ,X,X,X,O,O,X,O,O
ISOJTZL,O,X,X,X,O,O,X,O
ISOJLTZ,X,X,X,O,O,X,O,X
ISOJLZT,O,X,X,O,O,O,O,X
ISOJZTL,O,X,X,X,O,O,X,X
ISOJZLT,O,X,X,O,O,O,O,X
ISOZTLJ,O,X,X,X,O,O,X,X
ISOZTJL,O,X,X,X,O,O,X,O
ISOZLTJ,X,X,X,X,O,O,X,X
ISOZLJT,O,X,X,X,O,O,X,X
ISOZJTL,O,X,X,X,O,O,X,X
ISOZJLT,O,X,X,O,O,O,O,X
IZTLJSO,O,X,X,X,O,O,X,X
IZTLJOS,O,X,X,X,X,O,X,X
IZTLSJO,O,X,X,X,O,O,X,X
IZTLSOJ,O,X,X,X,X,O,X,X
IZTLOJS,O,X,X,X,X,O,X,X
IZTLOSJ,O,X,X,X,X,O,X,X
IZTJLSO,O,X,X,X,O,O,X,X
IZTJLOS,O,X,X,X,X,O,X,X
IZTJSLO,O,X,X,X,O,O,X,X
IZTJSOL,O,X,X,X,X,O,X,O
IZTJOLS,O,X,X,X,X,O,X,X
IZTJOSL,O,X,X,X,X,O,X,O
IZTSLJO,O,X,X,X,O,O,X,X
IZTSLOJ,O,X,X,X,X,O,X,X
IZTSJLO,O,X,X,X,O,O,X,X
IZTSJOL,O,X,X,X,X,O,X,O
IZTSOLJ,O,X,X,X,X,O,X,X
IZTSOJL,O,X,X,X,X,O,X,O
IZTOLJS,O,X,X,X,X,O,X,X
IZTOLSJ,O,X,X,X,X,O,X,X
IZTOJLS,O,X,X,X,X,O,X,X
IZTOJSL,O,X,X,X,X,O,X,O
IZTOSLJ,O,X,X,X,X,O,X,X
IZTOSJL,O,X,X,X,X,O,X,O
IZLTJSO,X,X,X,X,O,O,X,X
IZLTJOS,X,X,X,X,X,O,X,X
IZLTSJO,X,X,X,X,O,O,X,X
IZLTSOJ,X,X,X,X,X,O,X,X
IZLTOJS,X,X,X,X,X,O,X,X
IZLTOSJ,X,X,X,X,X,O,X,X
IZLJTSO,X,X,X,X,O,O,X,X
IZLJTOS,X,X,X,X,X,O,X,X
IZLJSTO,X,X,X,X,O,O,X,X
IZLJSOT,O,X,X,O,O,O,X,X
IZLJOTS,X,X,X,X,O,O,X,X
IZLJOST,O,X,X,O,O,O,X,X
IZLSTJO,X,X,X,X,O,O,X,X
IZLSTOJ,X,X,X,X,X,O,X,X
IZLSJTO,X,X,X,X,O,O,X,X
IZLSJOT,O,X,X,O,O,O,X,X
IZLSOTJ,X,X,X,X,X,O,X,X
IZLSOJT,O,X,X,O,O,O,X,X
IZLOTJS,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,X,O,X,X
IZLOJTS,X,X,X,X,X,O,X,X
IZLOJST,O,X,X,O,O,O,X,X
IZLOSTJ,X,X,X,X,X,O,X,X
IZLOSJT,O,X,X,O,O,O,X,X
IZJTLSO,O,X,X,X,O,O,X,X
IZJTLOS,O,X,X,X,X,O,X,X
IZJTSLO,O,X,X,X,O,O,X,X
IZJTSOL,O,X,X,X,X,O,X,X
IZJTOLS,O,X,X,X,X,O,X,X
IZJTOSL,O,X,X,X,X,O,X,X
IZJLTSO,X,X,X,X,O,O,O,X
IZJLTOS,X,X,X,X,X,O,O,X
IZJLSTO,X,X,X,X,O,O,O,X
IZJLSOT,O,X,X,O,O,O,O,X
IZJLOTS,X,X,X,X,O,O,O,X
IZJLOST,O,X,X,O,O,O,O,X
IZJSTLO,O,X,X,X,O,O,X,X
IZJSTOL,O,X,X,X,X,O,X,X
IZJSLTO,X,X,X,X,O,O,O,X
IZJSLOT,O,X,X,O,O,O,O,X
IZJSOTL,O,X,X,X,O,O,X,X
IZJSOLT,O,X,X,O,O,O,O,X
IZJOTLS,O,X,X,X,O,O,X,X
IZJOTSL,O,X,X,X,O,O,X,X
IZJOLTS,X,X,X,X,O,O,O,X
IZJOLST,O,X,X,X,O,O,O,X
IZJOSTL,O,X,X,X,O,O,X,X
IZJOSLT,O,X,X,O,O,O,O,X
IZSTLJO,O,X,X,X,O,O,X,X
IZSTLOJ,O,X,X,X,X,O,X,X
IZSTJLO,O,X,X,X,O,O,X,X
IZSTJOL,O,X,X,X,X,O,X,O
IZSTOLJ,O,X,X,X,X,O,X,X
IZSTOJL,O,X,X,X,X,O,X,O
IZSLTJO,X,X,X,X,O,O,X,X
IZSLTOJ,X,X,X,X,X,O,X,X
IZSLJTO,X,X,X,X,O,O,X,X
IZSLJOT,O,X,X,O,O,O,X,X
IZSLOTJ,X,X,X,X,X,O,X,X
IZSLOJT,O,X,X,O,O,O,X,X
IZSJTLO,O,X,X,X,O,O,X,X
IZSJTOL,O,X,X,X,X,O,X,X
IZSJLTO,X,X,X,X,O,O,O,X
IZSJLOT,O,X,X,O,O,O,O,X
IZSJOTL,O,X,X,X,O,O,X,X
IZSJOLT,O,X,X,O,O,O,O,X
IZSOTLJ,O,X,X,X,X,O,X,X
IZSOTJL,O,X,X,X,X,O,X,O
IZSOLTJ,X,X,X,X,X,O,X,X
IZSOLJT,O,X,X,X,O,O,X,X
IZSOJTL,O,X,X,X,X,O,X,X
IZSOJLT,O,X,X,O,O,O,O,X
IZOTLJS,O,X,X,X,X,O,X,X
IZOTLSJ,O,X,X,X,X,O,X,X
IZOTJLS,O,X,X,X,X,O,X,X
IZOTJSL,O,X,X,X,X,O,X,O
IZOTSLJ,O,X,X,X,X,O,X,X
IZOTSJL,O,X,X,X,X,O,X,O
IZOLTJS,X,X,X,X,X,O,X,X
IZOLTSJ,X,X,X,X,X,O,X,X
IZOLJTS,X,X,X,X,X,O,X,X
IZOLJST,O,X,X,X,O,O,X,X
IZOLSTJ,X,X,X,X,X,O,X,X
IZOLSJT,O,X,X,X,O,O,X,X
IZOJTLS,O,X,X,X,X,O,X,X
IZOJTSL,O,X,X,X,X,O,X,X
IZOJLTS,X,X,X,X,X,O,O,X
IZOJLST,O,X,X,X,O,O,O,X
IZOJSTL,O,X,X,X,X,O,X,X
IZOJSLT,O,X,X,O,O,O,O,X
IZOSTLJ,O,X,X,X,X,O,X,X
IZOSTJL,O,X,X,X,X,O,X,O
IZOSLTJ,X,X,X,X,X,O,X,X
IZOSLJT,O,X,X,X,O,O,X,X
IZOSJTL,O,X,X,X,X,O,X,X
IZOSJLT,O,X,X,O,O,O,O,X
IOTLJSZ,X,X,X,X,O,X,X,O
IOTLJZS,X,X,X,X,O,X,X,X
IOTLSJZ,X,X,X,X,O,X,X,O
IOTLSZJ,X,X,X,X,O,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X
IOTLZSJ,X,X,X,X,O,X,X,X
IOTJLSZ,X,X,X,X,O,X,O,O
IOTJLZS,X,X,X,X,O,X,O,X
IOTJSLZ,X,X,X,O,O,X,O,O
IOTJSZL,O,X,X,X,O,O,X,O
IOTJZLS,X,X,X,X,O,O,X,X
IOTJZSL,X,X,X,X,O,O,X,O
IOTSLJZ,X,X,X,X,O,X,X,O
IOTSLZJ,X,X,X,X,O,X,X,X
IOTSJLZ,X,X,X,O,O,X,O,O
IOTSJZL,O,X,X,X,O,O,X,O
IOTSZLJ,X,X,X,X,O,O,X,X
IOTSZJL,X,X,X,X,O,O,X,O
IOTZLJS,X,X,X,X,O,O,X,X
IOTZLSJ,X,X,X,X,O,O,X,X
IOTZJLS,X,X,X,X,O,O,X,X
IOTZJSL,X,X,X,X,O,O,X,O
IOTZSLJ,X,X,X,X,O,O,X,X
IOTZSJL,X,X,X,X,O,O,X,O
IOLTJSZ,X,O,O,O,O,X,O,O
IOLTJZS,X,O,O,O,O,X,O,X
IOLTSJZ,X,X,X,O,O,X,O,O
IOLTSZJ,X,X,X,O,O,X,X,X
IOLTZJS,X,X,X,O,O,X,X,X
IOLTZSJ,X,X,X,O,O,X,X,X
IOLJTSZ,X,O,O,O,O,X,O,X
IOLJTZS,X,O,O,O,O,X,O,X
IOLJSTZ,X,O,O,O,O,X,O,X
IOLJSZT,O,O,X,O,O,O,O,X
IOLJZTS,X,O,O,O,O,O,O,X
IOLJZST,X,O,X,O,O,O,O,X
IOLSTJZ,X,X,X,O,O,X,O,O
IOLSTZJ,X,X,X,O,O,X,X,X
IOLSJTZ,X,O,O,O,O,X,O,X
IOLSJZT,O,O,X,O,O,O,O,X
IOLSZTJ,X,X,X,O,O,O,X,X
IOLSZJT,X,X,X,O,O,O,O,X
IOLZTJS,X,X,X,O,O,O,X,X
IOLZTSJ,X,X,X,O,O,O,X,X
IOLZJTS,X,O,O,O,O,O,O,X
IOLZJST,X,O,X,O,O,O,O,X
IOLZSTJ,X,X,X,O,O,O,X,X
IOLZSJT,X,X,X,O,O,O,O,X
IOJTLSZ,X,O,O,X,O,X,O,O
IOJTLZS,X,O,O,X,O,X,O,X
IOJTSLZ,X,O,X,O,O,X,O,O
IOJTSZL,O,X,X,X,O,O,X,O
IOJTZLS,X,X,O,X,O,O,X,X
IOJTZSL,X,X,X,X,O,O,X,O
IOJLTSZ,X,O,O,O,O,X,O,X
IOJLTZS,X,O,O,O,O,X,O,X
IOJLSTZ,X,O,O,O,O,X,O,X
IOJLSZT,O,O,X,O,O,O,O,X
IOJLZTS,X,O,O,O,O,O,O,X
IOJLZST,X,O,X,O,O,O,O,X
IOJSTLZ,X,X,X,O,O,X,O,O
IOJSTZL,O,X,X,X,O,O,X,O
IOJSLTZ,X,O,X,O,O,X,O,X
IOJSLZT,O,O,X,O,O,O,O,X
IOJSZTL,O,X,X,X,O,O,X,X
IOJSZLT,O,X,X,O,O,O,O,X
IOJZTLS,O,X,X,X,O,O,X,X
IOJZTSL,O,X,X,X,O,O,X,X
IOJZLTS,X,X,X,X,O,O,O,X
IOJZLST,O,X,X,X,O,O,O,X
IOJZSTL,O,X,X,X,O,O,X,X
IOJZSLT,O,X,X,O,O,O,O,X
IOSTLJZ,X,X,X,X,O,X,X,O
IOSTLZJ,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,X,O,O,X,O,O
IOSTJZL,O,X,X,X,O,O,X,O
IOSTZLJ,X,X,X,X,O,O,X,X
IOSTZJL,X,X,X,X,O,O,X,O
IOSLTJZ,X,X,X,O,O,X,O,O
IOSLTZJ,X,X,X,O,O,X,X,X
IOSLJTZ,X,X,X,O,O,X,O,X
IOSLJZT,O,X,X,O,O,O,O,X
IOSLZTJ,X,X,X,O,O,O,X,X
IOSLZJT,X,X,X,O,O,O,O,X
IOSJTLZ,X,X,X,O,O,X,O,O
IOSJTZL,O,X,X,X,O,O,X,O
IOSJLTZ,X,X,X,O,O,X,O,X
IOSJLZT,O,X,X,O,O,O,O,X
IOSJZTL,O,X,X,X,O,O,X,X
IOSJZLT,O,X,X,O,O,O,O,X
IOSZTLJ,O,X,X,X,O,O,X,X
IOSZTJL,O,X,X,X,O,O,X,O
IOSZLTJ,X,X,X,X,O,O,X,X
IOSZLJT,O,X,X,X,O,O,X,X
IOSZJTL,O,X,X,X,O,O,X,X
IOSZJLT,O,X,X,O,O,O,O,X
IOZTLJS,O,X,X,X,O,O,X,X
IOZTLSJ,O,X,X,X,O,O,X,X
IOZTJLS,O,X,X,X,O,O,X,X
IOZTJSL,O,X,X,X,O,O,X,O
IOZTSLJ,O,X,X,X,O,O,X,X
IOZTSJL,O,X,X,X,O,O,X,O
IOZLTJS,X,X,X,X,O,O,X,X
IOZLTSJ,X,X,X,X,O,O,X,X
IOZLJTS,X,X,X,X,O,O,X,X
IOZLJST,O,X,X,X,O,O,X,X
IOZLSTJ,X,X,X,X,O,O,X,X
IOZLSJT,O,X,X,X,O,O,X,X
IOZJTLS,O,X,X,X,O,O,X,X
IOZJTSL,O,X,X,X,O,O,X,X
IOZJLTS,X,X,X,X,O,O,O,X
IOZJLST,O,X,X,X,O,O,O,X
IOZJSTL,O,X,X,X,O,O,X,X
IOZJSLT,O,X,X,O,O,O,O,X
IOZSTLJ,O,X,X,X,O,O,X,X
IOZSTJL,O,X,X,X,O,O,X,O
IOZSLTJ,X,X,X,X,O,O,X,X
IOZSLJT,O,X,X,X,O,O,X,X
IOZSJTL,O,X,X,X,O,O,X,X
IOZSJLT,O,X,X,O,O,O,O,X
LTIJSZO,X,O,O,O,O,X,O,X
LTIJSOZ,X,O,O,O,O,X,O,X
LTIJZSO,X,O,O,O,O,X,O,X
LTIJZOS,X,O,O,O,X,X,O,X
LTIJOSZ,X,O,O,O,O,X,O,X
LTIJOZS,X,O,O,O,O,X,O,X
LTISJZO,X,O,O,O,O,X,O,X
LTISJOZ,X,O,O,O,O,X,O,X
LTISZJO,X,X,O,O,O,X,X,X
LTISZOJ,X,X,X,O,X,X,X,X
LTISOJZ,X,X,X,O,X,X,O,X
LTISOZJ,X,X,X,O,X,X,X,X
LTIZJSO,X,O,O,O,O,X,X,X
LTIZJOS,X,O,O,O,X,X,X,X
LTIZSJO,X,X,O,O,O,X,X,X
LTIZSOJ,X,X,X,O,X,X,X,X
LTIZOJS,X,X,O,O,X,X,X,X
LTIZOSJ,X,X,X,O,X,X,X,X
LTIOJSZ,X,O,O,O,X,X,O,X
LTIOJZS,X,O,O,O,X,X,O,X
LTIOSJZ,X,X,X,O,X,X,O,X
LTIOSZJ,X,X,X,O,X,X,X,X
LTIOZJS,X,X,O,O,X,X,X,X
LTIOZSJ,X,X,X,O,X,X,X,X
LTJISZO,X,O,O,O,O,X,O,X
LTJISOZ,X,O,O,O,O,X,O,X
LTJIZSO,X,O,O,O,O,X,O,X
LTJIZOS,X,O,O,O,X,X,O,X
LTJIOSZ,X,O,O,O,O,X,O,X
LTJIOZS,X,O,O,O,O,X,O,X
LTJSIZO,X,O,O,O,O,X,O,X
LTJSIOZ,X,O,O,O,O,X,O,X
LTJSZIO,X,O,O,O,O,X,X,X
LTJSZOI,X,O,O,O,O,X,X,X
LTJSOIZ,X,O,O,O,X,X,O,X
LTJSOZI,X,O,O,O,O,X,X,X
LTJZISO,X,O,O,O,X,X,X,X
LTJZIOS,X,O,O,O,X,X,X,X
LTJZSIO,X,O,O,O,O,X,X,X
LTJZSOI,X,O,O,O,O,X,X,X
LTJZOIS,X,O,O,O,X,X,X,X
LTJZOSI,X,O,O,O,X,X,X,X
LTJOISZ,X,O,O,O,X,X,O,X
LTJOIZS,X,O,O,O,X,X,O,X
LTJOSIZ,X,O,O,O,X,X,O,X
LTJOSZI,X,O,O,O,O,X,X,X
LTJOZIS,X,O,O,O,X,X,X,X
LTJOZSI,X,O,O,O,O,X,X,X
LTSIJZO,X,O,O,O,O,X,O,X
LTSIJOZ,X,O,O,O,O,X,O,X
LTSIZJO,X,X,O,O,O,X,X,X
LTSIZOJ,X,X,X,O,X,X,X,X
LTSIOJZ,X,X,X,O,X,X,O,X
LTSIOZJ,X,X,X,O,X,X,X,X
LTSJIZO,X,O,O,O,O,X,O,X
LTSJIOZ,X,O,O,O,O,X,O,X
LTSJZIO,X,O,O,O,O,X,X,X
LTSJZOI,X,O,O,O,O,X,X,X
LTSJOIZ,X,O,O,O,X,X,O,X
LTSJOZI,X,O,O,O,O,X,X,X
LTSZIJO,X,X,O,O,X,X,X,X
LTSZIOJ,X,X,X,O,X,X,X,X
LTSZJIO,X,X,O,O,O,X,X,X
LTSZJOI,X,X,O,O,O,X,X,X
LTSZOIJ,X,X,X,O,X,X,X,X
LTSZOJI,X,X,X,O,X,X,X,X
LTSOIJZ,X,X,X,O,X,X,O,X
LTSOIZJ,X,X,X,O,X,X,X,X
LTSOJIZ,X,X,X,O,X,X,O,X
LTSOJZI,X,X,X,O,O,X,X,X
LTSOZIJ,X,X,X,O,X,X,X,X
LTSOZJI,X,X,X,O,O,X,X,X
LTZIJSO,X,O,O,O,X,X,X,X
LTZIJOS,X,O,O,O,X,X,X,X
LTZISJO,X,X,O,O,X,X,X,X
LTZISOJ,X,X,X,O,X,X,X,X
LTZIOJS,X,X,O,O,X,X,X,X
LTZIOSJ,X,X,X,O,X,X,X,X
LTZJISO,X,O,O,O,X,X,X,X
LTZJIOS,X,O,O,O,X,X,X,X
LTZJSIO,X,O,O,O,O,X,X,X
LTZJSOI,X,O,O,O,O,X,X,X
LTZJOIS,X,O,O,O,X,X,X,X
LTZJOSI,X,O,O,O,X,X,X,X
LTZSIJO,X,X,O,O,X,X,X,X
LTZSIOJ,X,X,X,O,X,X,X,X
LTZSJIO,X,X,O,O,O,X,X,X
LTZSJOI,X,X,O,O,O,X,X,X
LTZSOIJ,X,X,X,O,X,X,X,X
LTZSOJI,X,X,X,O,X,X,X,X
LTZOIJS,X,X,O,O,X,X,X,X
LTZOISJ,X,X,X,O,X,X,X,X
LTZOJIS,X,X,O,O,X,X,X,X
LTZOJSI,X,X,O,O,X,X,X,X
LTZOSIJ,X,X,X,O,X,X,X,X
LTZOSJI,X,X,X,O,X,X,X,X
LTOIJSZ,X,O,O,O,X,X,O,X
LTOIJZS,X,O,O,O,X,X,O,X
LTOISJZ,X,X,X,O,X,X,O,X
LTOISZJ,X,X,X,O,X,X,X,X
LTOIZJS,X,X,O,O,X,X,X,X
LTOIZSJ,X,X,X,O,X,X,X,X
LTOJISZ,X,O,O,O,X,X,O,X
LTOJIZS,X,O,O,O,X,X,O,X
LTOJSIZ,X,O,O,O,X,X,O,X
LTOJSZI,X,O,O,O,O,X,X,X
LTOJZIS,X,O,O,O,X,X,X,X
LTOJZSI,X,O,O,O,O,X,X,X
LTOSIJZ,X,X,X,O,X,X,O,X
LTOSIZJ,X,X,X,O,X,X,X,X
LTOSJIZ,X,X,X,O,X,X,O,X
LTOSJZI,X,X,X,O,O,X,X,X
LTOSZIJ,X,X,X,O,X,X,X,X
LTOSZJI,X,X,X,O,O,X,X,X
LTOZIJS,X,X,O,O,X,X,X,X
LTOZISJ,X,X,X,O,X,X,X,X
LTOZJIS,X,X,O,O,X,X,X,X
LTOZJSI,X,X,O,O,O,X,X,X
LTOZSIJ,X,X,X,O,X,X,X,X
LTOZSJI,X,X,X,O,O,X,X,X
LITJSZO,X,O,O,O,O,X,O,X
LITJSOZ,X,O,O,O,O,X,O,O
LITJZSO,X,O,O,O,O,X,O,X
LITJZOS,X,O,O,O,X,X,O,X
LITJOSZ,X,O,O,O,O,X,O,O
LITJOZS,X,O,O,O,O,X,O,X
LITSJZO,X,O,O,O,O,X,O,X
LITSJOZ,X,O,O,O,O,X,O,O
LITSZJO,X,X,O,O,O,X,X,X
LITSZOJ,X,X,X,O,X,X,X,X
LITSOJZ,X,X,X,O,X,X,O,O
LITSOZJ,X,X,X,O,X,X,X,X
LITZJSO,X,O,O,O,O,X,X,X
LITZJOS,X,O,O,O,X,X,X,X
LITZSJO,X,X,O,O,O,X,X,X
LITZSOJ,X,X,X,O,X,X,X,X
LITZOJS,X,X,O,O,X,X,X,X
LITZOSJ,X,X,X,O,X,X,X,X
LITOJSZ,X,O,O,O,X,X,O,O
LITOJZS,X,O,O,O,X,X,O,X
LITOSJZ,X,X,X,O,X,X,O,O
LITOSZJ,X,X,X,O,X,X,X,X
LITOZJS,X,X,O,O,X,X,X,X
LITOZSJ,X,X,X,O,X,X,X,X
LIJTSZO,X,O,O,O,O,X,O,X
LIJTSOZ,X,O,O,O,O,X,O,X
LIJTZSO,X,O,O,O,O,X,O,X
LIJTZOS,X,O,O,O,X,X,O,X
LIJTOSZ,X,O,O,O,O,X,O,X
LIJTOZS,X,O,O,O,O,X,O,X
LIJSTZO,X,O,O,O,O,X,O,X
LIJSTOZ,X,O,O,O,O,X,O,X
LIJSZTO,X,X,X,O,O,O,O,X
LIJSZOT,X,O,X,O,O,O,O,X
LIJSOTZ,X,O,O,O,O,X,O,X
LIJSOZT,O,O,X,O,O,O,O,X
LIJZTSO,X,O,O,O,O,O,O,X
LIJZTOS,X,O,O,O,X,O,O,X
LIJZSTO,X,X,X,O,O,O,O,X
LIJZSOT,X,O,X,O,O,O,O,X
LIJZOTS,X,O,O,O,O,O,O,X
LIJZOST,X,O,X,O,O,O,O,X
LIJOTSZ,X,O,O,O,O,X,O,X
LIJOTZS,X,O,O,O,O,X,O,X
LIJOSTZ,X,O,O,O,O,X,O,X
LIJOSZT,O,O,X,O,O,O,O,X
LIJOZTS,X,O,O,O,O,O,O,X
LIJOZST,X,O,X,O,O,O,O,X
LISTJZO,X,O,O,O,O,X,O,X
LISTJOZ,X,O,O,O,O,X,O,O
LISTZJO,X,X,O,O,O,X,X,X
LISTZOJ,X,X,X,O,X,X,X,X
LISTOJZ,X,X,X,O,X,X,O,O
LISTOZJ,X,X,X,O,X,X,X,X
LISJTZO,X,O,O,O,O,X,O,X
LISJTOZ,X,O,O,O,O,X,O,X
LISJZTO,X,X,X,O,O,O,O,X
LISJZOT,X,O,X,O,O,O,O,X
LISJOTZ,X,O,O,O,O,X,O,X
LISJOZT,O,O,X,O,O,O,O,X
LISZTJO,X,X,X,O,O,O,X,X
LISZTOJ,X,X,X,O,X,O,X,X
LISZJTO,X,X,X,O,O,O,O,X
LISZJOT,X,X,X,O,O,O,O,X
LISZOTJ,X,X,X,O,X,O,X,X
LISZOJT,X,X,X,O,O,O,O,X
LISOTJZ,X,X,X,O,X,X,O,O
LISOTZJ,X,X,X,O,X,X,X,X
LISOJTZ,X,O,O,O,O,X,O,X
LISOJZT,O,O,X,O,O,O,O,X
LISOZTJ,X,X,X,O,X,O,X,X
LISOZJT,X,X,X,O,O,O,O,X
LIZTJSO,X,O,O,O,O,O,X,X
LIZTJOS,X,O,O,O,X,O,X,X
LIZTSJO,X,X,O,O,O,O,X,X
LIZTSOJ,X,X,X,O,X,O,X,X
LIZTOJS,X,X,O,O,X,O,X,X
LIZTOSJ,X,X,X,O,X,O,X,X
LIZJTSO,X,O,O,O,O,O,O,X
LIZJTOS,X,O,O,O,X,O,O,X
LIZJSTO,X,X,X,O,O,O,O,X
LIZJSOT,X,O,X,O,O,O,O,X
LIZJOTS,X,O,O,O,O,O,O,X
LIZJOST,X,O,X,O,O,O,O,X
LIZSTJO,X,X,X,O,O,O,X,X
LIZSTOJ,X,X,X,O,X,O,X,X
LIZSJTO,X,X,X,O,O,O,O,X
LIZSJOT,X,X,X,O,O,O,O,X
LIZSOTJ,X,X,X,O,X,O,X,X
LIZSOJT,X,X,X,O,O,O,O,X
LIZOTJS,X,X,X,O,X,O,X,X
LIZOTSJ,X,X,X,O,X,O,X,X
LIZOJTS,X,O,O,O,X,O,O,X
LIZOJST,X,O,X,O,O,O,O,X
LIZOSTJ,X,X,X,O,X,O,X,X
LIZOSJT,X,X,X,O,O,O,O,X
LIOTJSZ,X,O,O,O,X,X,O,O
LIOTJZS,X,O,O,O,X,X,O,X
LIOTSJZ,X,X,X,O,X,X,O,O
LIOTSZJ,X,X,X,O,X,X,X,X
LIOTZJS,X,X,O,O,X,X,X,X
LIOTZSJ,X,X,X,O,X,X,X,X
LIOJTSZ,X,O,O,O,O,X,O,X
LIOJTZS,X,O,O,O,O,X,O,X
LIOJSTZ,X,O,O,O,O,X,O,X
LIOJSZT,O,O,X,O,O,O,O,X
LIOJZTS,X,O,O,O,O,O,O,X
LIOJZST,X,O,X,O,O,O,O,X
