sequence,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBFnB0rBirB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxdB?lhB3iB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBxdB?lhB3iBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxdBTfB?lhB3iBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBTcB?xdBliB3mBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxcB?XeBVnB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBVnBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Je2/IvhFxdB0hB?liB3fBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jei6IvhFxdB3fB?0hBliBmrBTrB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFXeBTfB?UiBqrBZmBFsB
ILZOTSJ,X,X,X,X,O,X,X,X,X,O
ILZOJTS,X,X,X,X,O,X,X,X,X,O
ILZOJST,X,O,O,O,O,X,X,X,X,O
ILZOSTJ,X,O,O,O,O,X,X,X,X,O
ILZOSJT,X,O,O,O,O,X,X,X,X,O
ILOTJSZ,X,O,X,O,X,O,O,X,X,X
ILOTJZS,X,X,X,X,O,O,O,O,X,X
ILOTSJZ,X,O,X,O,O,O,O,X,X,X
ILOTSZJ,X,O,X,O,O,O,O,X,X,X
ILOTZJS,X,X,X,X,O,X,O,O,X,X
ILOTZSJ,X,X,X,X,O,O,O,X,X,X
ILOJTSZ,X,O,X,O,X,O,O,X,X,X
ILOJTZS,X,X,X,X,X,O,O,O,X,X
ILOJSTZ,X,O,X,O,X,O,O,X,X,X
ILOJSZT,X,O,X,O,X,O,O,X,X,O
ILOJZTS,X,X,X,X,O,X,X,X,X,O
ILOJZST,X,O,X,O,O,X,X,X,X,O
ILOSTJZ,X,O,X,O,X,O,O,X,X,X
ILOSTZJ,X,O,O,O,O,O,O,X,X,X
ILOSJTZ,X,O,X,O,X,O,O,X,X,X
ILOSJZT,X,O,X,O,O,O,O,X,X,O
ILOSZTJ,X,O,O,O,O,O,X,X,X,O
ILOSZJT,X,O,O,O,O,O,O,X,X,O
ILOZTJS,X,X,X,X,O,X,X,X,X,O
ILOZTSJ,X,X,X,X,O,X,X,X,X,O
ILOZJTS,X,X,X,X,O,X,X,X,X,O
ILOZJST,X,O,O,O,O,X,X,X,X,O
ILOZSTJ,X,O,O,O,O,X,X,X,X,O
ILOZSJT,X,O,O,O,O,X,X,X,X,O
IJTLSZO,X,O,X,X,O,O,X,O,O,X
IJTLSOZ,X,O,X,X,O,O,O,X,O,X
IJTLZSO,X,X,X,X,O,O,X,O,O,X
IJTLZOS,X,X,X,X,O,O,X,O,X,X
IJTLOSZ,X,O,X,X,X,O,X,X,X,X
IJTLOZS,X,X,X,X,O,O,X,O,X,X
IJTSLZO,X,O,X,X,X,O,X,O,O,X
IJTSLOZ,O,O,X,X,X,O,O,X,O,X
IJTSZLO,X,O,X,X,X,O,X,O,O,X
IJTSZOL,O,X,X,X,X,X,O,O,O,X
IJTSOLZ,O,O,X,X,X,O,O,X,O,X
IJTSOZL,O,X,X,X,X,X,O,X,O,X
IJTZLSO,X,X,X,X,O,O,X,O,O,X
IJTZLOS,X,X,X,X,O,O,X,O,X,X
IJTZSLO,X,X,X,X,O,O,X,O,O,X
IJTZSOL,X,X,X,X,O,X,O,O,O,X
IJTZOLS,X,X,X,X,O,X,X,X,X,X
IJTZOSL,X,X,X,X,O,X,X,O,O,X
IJTOLSZ,X,X,X,X,X,O,X,X,X,X
IJTOLZS,X,X,X,X,X,O,X,O,X,X
IJTOSLZ,X,X,X,X,X,O,O,X,O,X
IJTOSZL,X,X,X,X,X,X,O,X,O,X
IJTOZLS,X,X,X,X,O,X,X,X,X,X
IJTOZSL,X,X,X,X,O,X,X,O,O,X
IJLTSZO,X,O,X,X,O,O,O,O,O,X
IJLTSOZ,X,O,X,X,O,O,O,X,O,X
IJLTZSO,X,X,X,X,O,O,O,O,O,X
IJLTZOS,X,X,X,X,O,O,X,O,X,X
IJLTOSZ,X,O,X,X,X,O,O,X,X,X
IJLTOZS,X,X,X,X,O,O,X,O,X,X
IJLSTZO,X,O,O,X,X,O,O,O,O,X
IJLSTOZ,X,O,X,O,X,O,O,X,O,X
IJLSZTO,X,O,O,X,O,X,O,X,O,X
IJLSZOT,X,O,O,X,O,O,O,X,X,X
IJLSOTZ,X,O,X,O,X,O,O,X,O,X
IJLSOZT,X,O,X,O,O,O,O,X,X,X
IJLZTSO,X,X,O,X,O,X,X,O,X,X
IJLZTOS,X,X,X,X,O,X,X,O,X,X
IJLZSTO,X,O,O,X,O,X,X,X,X,X
IJLZSOT,X,O,O,X,O,X,X,X,X,X
IJLZOTS,X,X,X,X,O,X,X,X,X,X
IJLZOST,X,O,O,X,O,X,X,X,X,X
IJLOTSZ,X,O,X,O,X,O,X,X,X,X
IJLOTZS,X,X,X,X,X,O,X,O,X,X
IJLOSTZ,X,O,X,O,X,O,X,X,X,X
IJLOSZT,X,O,X,O,X,O,X,X,X,X
IJLOZTS,X,X,X,X,O,X,X,X,X,X
IJLOZST,X,O,X,O,O,X,X,X,X,X
IJSTLZO,X,O,X,X,X,O,O,O,O,X
IJSTLOZ,O,O,X,X,X,O,O,X,O,X
IJSTZLO,O,O,O,X,X,O,X,O,O,X
IJSTZOL,O,X,O,X,X,X,O,O,O,X
IJSTOLZ,O,O,X,O,X,O,O,X,O,X
IJSTOZL,O,X,X,O,X,X,O,X,O,X
IJSLTZO,X,O,O,X,X,O,O,O,O,X
IJSLTOZ,O,O,X,O,X,O,O,X,O,X
IJSLZTO,O,O,O,X,X,X,O,X,O,X
IJSLZOT,O,O,O,X,X,O,O,X,X,X
IJSLOTZ,O,O,X,O,X,O,O,X,O,X
IJSLOZT,O,O,X,O,X,O,O,X,X,X
IJSZTLO,O,O,O,X,X,X,X,X,O,X
IJSZTOL,O,X,O,X,X,X,O,X,O,X
IJSZLTO,O,O,O,X,X,X,O,X,O,X
IJSZLOT,O,O,O,X,X,O,O,X,X,X
IJSZOTL,O,X,O,X,X,X,O,X,X,X
IJSZOLT,O,X,O,X,X,X,O,X,X,X
IJSOTLZ,O,O,X,O,X,X,O,X,O,X
IJSOTZL,O,X,X,O,X,X,O,X,O,X
IJSOLTZ,O,O,X,O,X,O,O,X,O,X
IJSOLZT,O,O,X,O,X,O,O,X,X,X
IJSOZTL,O,X,X,O,X,X,O,X,X,X
IJSOZLT,O,X,X,O,X,X,O,X,X,X
IJZTLSO,X,X,O,X,O,X,X,O,O,X
IJZTLOS,X,X,X,X,O,X,X,O,X,X
IJZTSLO,O,X,O,X,O,X,X,O,O,X
IJZTSOL,O,X,O,X,O,X,X,O,O,X
IJZTOLS,X,X,X,X,O,X,X,X,X,X
IJZTOSL,X,X,X,X,O,X,X,O,O,X
IJZLTSO,X,X,O,X,O,X,X,O,X,X
IJZLTOS,X,X,X,X,O,X,X,O,X,X
IJZLSTO,X,O,O,X,O,X,X,X,X,X
IJZLSOT,X,O,O,X,O,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X,X,X,X,X
IJZLOST,X,O,O,X,O,X,X,X,X,X
IJZSTLO,O,O,O,X,O,X,X,X,O,X
IJZSTOL,O,X,O,X,O,X,X,X,O,X
IJZSLTO,O,O,O,X,O,X,X,X,O,X
IJZSLOT,O,O,O,X,O,X,X,X,X,X
IJZSOTL,O,X,O,X,O,X,X,X,X,X
IJZSOLT,O,X,O,X,X,X,X,X,X,X
IJZOTLS,X,X,X,X,O,X,X,X,X,X
IJZOTSL,X,X,X,X,O,X,X,X,X,X
IJZOLTS,X,X,X,X,O,X,X,X,X,X
IJZOLST,X,X,O,X,O,X,X,X,X,X
IJZOSTL,X,X,O,X,O,X,X,X,X,X
IJZOSLT,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,O,X,X
IJOTSLZ,X,X,X,O,X,X,X,X,O,X
IJOTSZL,X,X,X,O,X,X,X,X,O,X
IJOTZLS,X,X,X,X,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,X,O,O,X
IJOLTSZ,X,O,X,O,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,O,X,X
IJOLSTZ,X,O,X,O,X,X,X,X,X,X
IJOLSZT,X,O,X,O,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X,X,X,X,X
IJOLZST,X,O,X,O,X,X,X,X,X,X
IJOSTLZ,X,O,X,O,X,X,X,X,O,X
IJOSTZL,X,X,X,O,X,X,X,X,O,X
IJOSLTZ,X,O,X,O,X,X,X,X,O,X
IJOSLZT,X,O,X,O,X,X,X,X,X,X
IJOSZTL,X,X,X,O,X,X,X,X,X,X
IJOSZLT,X,X,X,O,X,X,X,X,X,X
IJOZTLS,X,X,X,X,O,X,X,X,X,X
IJOZTSL,X,X,X,X,O,X,X,X,X,X
IJOZLTS,X,X,X,X,O,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X,X,X
IJOZSTL,X,X,X,O,O,X,X,X,X,X
IJOZSLT,X,X,X,O,X,X,X,X,X,X
ISTLJZO,X,O,O,X,O,O,X,O,O,X
ISTLJOZ,O,O,X,O,O,O,O,X,O,X
ISTLZJO,X,X,O,X,O,X,X,O,O,X
ISTLZOJ,X,O,O,O,O,O,X,X,O,X
ISTLOJZ,O,O,X,O,O,O,O,X,X,X
ISTLOZJ,X,O,O,O,O,O,X,X,O,X
ISTJLZO,X,O,X,X,X,X,O,O,O,X
ISTJLOZ,O,O,X,X,X,O,O,X,O,X
ISTJZLO,O,O,O,X,X,X,X,O,O,X
ISTJZOL,O,X,O,X,X,X,O,O,O,X
ISTJOLZ,O,O,X,O,X,X,O,X,O,X
ISTJOZL,O,X,X,O,X,X,O,X,O,X
ISTZLJO,X,X,O,X,O,X,X,X,O,X
ISTZLOJ,X,O,O,X,O,O,X,X,O,X
ISTZJLO,X,X,O,X,O,X,X,O,O,X
ISTZJOL,O,X,O,X,O,X,O,O,X,X
ISTZOLJ,X,X,X,X,X,X,X,X,O,X
ISTZOJL,O,X,O,O,O,X,O,X,X,X
ISTOLJZ,O,O,X,O,X,O,O,X,X,X
ISTOLZJ,X,O,X,O,X,O,O,X,O,X
ISTOJLZ,O,X,X,O,X,X,O,X,X,X
ISTOJZL,O,X,X,O,X,X,O,X,X,X
ISTOZLJ,O,X,X,X,X,X,X,X,O,X
ISTOZJL,O,X,O,O,O,X,O,X,X,X
ISLTJZO,X,O,O,X,O,O,O,O,O,X
ISLTJOZ,X,O,X,O,O,O,O,X,O,X
ISLTZJO,X,X,O,X,O,X,O,O,O,X
ISLTZOJ,X,O,O,O,O,O,O,X,O,X
ISLTOJZ,X,O,X,O,O,O,O,X,X,X
ISLTOZJ,X,O,O,O,O,O,O,X,O,X
ISLJTZO,X,O,O,X,X,O,O,O,O,X
ISLJTOZ,O,O,X,O,X,O,O,X,O,X
ISLJZTO,O,O,O,X,O,X,O,X,O,X
ISLJZOT,O,O,O,X,O,O,O,X,X,X
ISLJOTZ,O,O,X,O,X,O,O,X,O,X
ISLJOZT,O,O,X,O,O,O,O,X,X,X
ISLZTJO,X,X,O,X,O,X,X,X,O,X
ISLZTOJ,X,O,O,O,O,X,X,X,O,X
ISLZJTO,X,O,O,X,O,X,O,X,O,X
ISLZJOT,X,O,O,X,O,X,O,X,X,X
ISLZOTJ,X,O,O,O,O,O,X,X,X,O
ISLZOJT,X,O,O,O,O,O,O,X,X,O
ISLOTJZ,X,O,X,O,X,O,O,X,X,X
ISLOTZJ,X,O,O,O,O,O,O,X,O,X
ISLOJTZ,O,O,X,O,X,O,O,X,O,X
ISLOJZT,O,O,X,O,O,O,O,X,X,O
ISLOZTJ,X,O,O,O,O,O,X,X,X,O
ISLOZJT,X,O,O,O,O,O,O,X,X,O
ISJTLZO,X,O,X,X,X,O,O,O,O,X
ISJTLOZ,O,O,X,X,X,O,O,X,O,X
ISJTZLO,O,O,O,X,X,O,X,O,O,X
ISJTZOL,O,X,O,X,X,X,O,O,O,X
ISJTOLZ,O,O,X,O,X,O,O,X,O,X
ISJTOZL,O,X,X,O,X,X,O,X,O,X
ISJLTZO,X,O,O,X,X,O,O,O,O,X
ISJLTOZ,O,O,X,O,X,O,O,X,O,X
ISJLZTO,O,O,O,X,X,X,O,X,O,X
ISJLZOT,O,O,O,X,X,O,O,X,X,X
ISJLOTZ,O,O,X,O,X,O,O,X,O,X
ISJLOZT,O,O,X,O,X,O,O,X,X,X
ISJZTLO,O,O,O,X,X,X,X,X,O,X
ISJZTOL,O,X,O,X,X,X,O,X,O,X
ISJZLTO,O,O,O,X,X,X,O,X,O,X
ISJZLOT,O,O,O,X,X,O,O,X,X,X
ISJZOTL,O,X,O,X,X,X,O,X,X,X
ISJZOLT,O,X,O,X,X,X,O,X,X,X
ISJOTLZ,O,O,X,O,X,X,O,X,O,X
ISJOTZL,O,X,X,O,X,X,O,X,O,X
ISJOLTZ,O,O,X,O,X,O,O,X,O,X
ISJOLZT,O,O,X,O,X,O,O,X,X,X
ISJOZTL,O,X,X,O,X,X,O,X,X,X
ISJOZLT,O,X,X,O,X,X,O,X,X,X
ISZTLJO,O,X,O,X,O,X,X,X,O,X
ISZTLOJ,O,O,O,X,O,X,X,X,O,X
ISZTJLO,O,X,O,X,O,X,X,X,O,X
ISZTJOL,O,X,O,X,O,X,X,X,X,X
ISZTOLJ,O,X,X,X,X,X,X,X,O,X
ISZTOJL,O,X,O,O,O,X,X,X,X,X
ISZLTJO,X,X,O,X,O,X,X,X,O,X
ISZLTOJ,X,O,O,O,O,X,X,X,O,X
ISZLJTO,O,O,O,X,O,X,X,X,O,X
ISZLJOT,O,O,O,X,O,X,X,X,X,X
ISZLOTJ,X,O,O,O,O,O,X,X,X,X
ISZLOJT,O,O,O,O,O,O,X,X,X,X
ISZJTLO,O,O,O,X,O,X,X,X,O,X
ISZJTOL,O,X,O,X,O,X,O,X,O,X
ISZJLTO,O,O,O,X,O,X,O,X,O,X
ISZJLOT,O,O,O,X,O,X,O,X,X,X
ISZJOTL,O,X,O,X,O,X,O,X,X,X
ISZJOLT,O,X,O,X,X,X,O,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X
ISZOTJL,O,X,O,O,X,X,X,X,X,X
ISZOLTJ,X,X,O,O,X,X,X,X,X,X
ISZOLJT,O,X,O,O,X,X,X,X,X,X
ISZOJTL,O,X,O,O,O,X,O,X,X,X
ISZOJLT,O,X,O,O,X,X,O,X,X,X
ISOTLJZ,O,O,X,O,X,X,O,X,X,X
ISOTLZJ,X,O,X,O,X,X,O,X,O,X
ISOTJLZ,O,X,X,O,X,X,O,X,X,X
ISOTJZL,O,X,X,O,X,X,O,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,X,O,X
ISOTZJL,O,X,O,O,X,X,O,X,X,X
ISOLTJZ,X,O,X,O,X,O,O,X,X,X
ISOLTZJ,X,O,O,O,X,O,O,X,O,X
ISOLJTZ,O,O,X,O,X,O,O,X,O,X
ISOLJZT,O,O,X,O,X,O,O,X,X,O
ISOLZTJ,X,O,O,O,X,O,X,X,X,O
ISOLZJT,X,O,O,O,X,O,O,X,X,O
ISOJTLZ,O,O,X,O,X,X,O,X,O,X
ISOJTZL,O,X,X,O,X,X,O,X,O,X
ISOJLTZ,O,O,X,O,X,X,O,X,O,X
ISOJLZT,O,O,X,O,X,X,O,X,X,O
ISOJZTL,O,X,X,O,X,X,O,X,X,X
ISOJZLT,O,X,X,O,X,X,O,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,X
ISOZTJL,O,X,O,O,X,X,X,X,X,X
ISOZLTJ,X,X,O,O,X,X,X,X,X,X
ISOZLJT,O,X,O,O,X,X,X,X,X,X
ISOZJTL,O,X,O,O,O,X,O,X,X,X
ISOZJLT,O,X,O,O,X,X,O,X,X,X
IZTLJSO,X,X,O,X,O,X,X,O,X,X
IZTLJOS,X,X,X,X,O,X,X,O,X,X
IZTLSJO,X,X,O,X,O,X,X,O,O,X
IZTLSOJ,X,X,O,X,O,X,X,X,O,X
IZTLOJS,X,X,X,X,O,X,X,O,X,X
IZTLOSJ,X,X,X,X,O,X,X,X,X,X
IZTJLSO,X,X,O,X,O,X,X,O,X,X
IZTJLOS,X,X,X,X,O,X,X,O,X,X
IZTJSLO,O,X,O,X,O,X,X,O,O,X
IZTJSOL,O,X,O,X,O,X,X,O,X,X
IZTJOLS,X,X,X,X,O,X,X,X,X,X
IZTJOSL,X,X,X,X,O,X,X,O,X,X
IZTSLJO,O,X,O,X,O,X,X,X,O,X
IZTSLOJ,O,X,O,X,O,X,X,X,O,X
IZTSJLO,O,X,O,X,O,X,X,O,O,X
IZTSJOL,O,X,O,X,O,X,X,O,X,X
IZTSOLJ,O,X,X,X,X,X,X,X,O,X
IZTSOJL,O,X,O,X,O,X,X,X,X,X
IZTOLJS,O,X,X,X,O,X,X,X,X,X
IZTOLSJ,O,X,X,X,O,X,X,X,X,X
IZTOJLS,O,X,X,X,O,X,X,X,X,X
IZTOJSL,O,X,X,X,O,X,X,O,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,O,X
IZTOSJL,O,X,X,X,O,X,X,X,X,X
IZLTJSO,X,X,O,X,O,X,X,O,X,X
IZLTJOS,X,X,X,X,O,X,X,O,X,X
IZLTSJO,X,X,O,X,O,X,X,O,X,X
IZLTSOJ,X,X,O,X,O,X,X,X,X,X
IZLTOJS,X,X,X,X,O,X,X,O,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X
IZLJTSO,X,X,O,X,O,X,X,O,X,X
IZLJTOS,X,X,X,X,O,X,X,O,X,X
IZLJSTO,X,O,O,X,O,X,X,X,X,X
IZLJSOT,X,O,O,X,O,X,X,X,X,X
IZLJOTS,X,X,X,X,O,X,X,X,X,X
IZLJOST,X,O,O,X,O,X,X,X,X,X
IZLSTJO,X,X,O,X,O,X,X,X,X,X
IZLSTOJ,X,O,O,O,O,X,X,X,X,X
IZLSJTO,X,O,O,X,O,X,X,X,X,X
IZLSJOT,X,O,O,X,O,X,X,X,X,X
IZLSOTJ,X,O,O,O,O,X,X,X,X,X
IZLSOJT,X,O,O,O,O,X,X,X,X,X
IZLOTJS,X,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X
IZLOJTS,X,X,X,X,O,X,X,X,X,X
IZLOJST,X,O,O,O,O,X,X,X,X,X
IZLOSTJ,X,O,O,O,O,X,X,X,X,X
IZLOSJT,X,O,O,O,O,X,X,X,X,X
IZJTLSO,X,X,O,X,O,X,X,O,O,X
IZJTLOS,X,X,X,X,O,X,X,O,X,X
IZJTSLO,O,X,O,X,O,X,X,O,O,X
IZJTSOL,O,X,O,X,O,X,X,O,O,X
IZJTOLS,X,X,X,X,O,X,X,X,X,X
IZJTOSL,X,X,X,X,O,X,X,O,O,X
IZJLTSO,X,X,O,X,O,X,X,O,X,X
IZJLTOS,X,X,X,X,O,X,X,O,X,X
IZJLSTO,X,O,O,X,O,X,X,X,X,X
IZJLSOT,X,O,O,X,O,X,X,X,X,X
IZJLOTS,X,X,X,X,O,X,X,X,X,X
IZJLOST,X,O,O,X,O,X,X,X,X,X
IZJSTLO,O,O,O,X,O,X,X,X,O,X
IZJSTOL,O,X,O,X,O,X,X,X,O,X
IZJSLTO,O,O,O,X,O,X,X,X,O,X
IZJSLOT,O,O,O,X,O,X,X,X,X,X
IZJSOTL,O,X,O,X,O,X,X,X,X,X
IZJSOLT,O,X,O,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,O,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,X,X,X
IZJOLTS,X,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,O,X,O,X,X,X,X,X
IZJOSTL,X,X,O,X,O,X,X,X,X,X
IZJOSLT,X,X,O,X,X,X,X,X,X,X
IZSTLJO,O,X,O,X,O,X,X,X,O,X
IZSTLOJ,O,O,O,X,O,X,X,X,O,X
IZSTJLO,O,X,O,X,O,X,X,X,O,X
IZSTJOL,O,X,O,X,O,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,X,X,O,X
IZSTOJL,O,X,O,O,O,X,X,X,X,X
IZSLTJO,X,X,O,X,O,X,X,X,O,X
IZSLTOJ,X,O,O,O,O,X,X,X,O,X
IZSLJTO,O,O,O,X,O,X,X,X,O,X
IZSLJOT,O,O,O,X,O,X,X,X,X,X
IZSLOTJ,X,O,O,O,O,X,X,X,X,X
IZSLOJT,O,O,O,O,O,X,X,X,X,X
IZSJTLO,O,O,O,X,O,X,X,X,O,X
IZSJTOL,O,X,O,X,O,X,X,X,O,X
IZSJLTO,O,O,O,X,O,X,X,X,O,X
IZSJLOT,O,O,O,X,O,X,X,X,X,X
IZSJOTL,O,X,O,X,O,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,O,O,X,X,X,X,X,X
IZSOLTJ,X,X,O,O,X,X,X,X,X,X
IZSOLJT,O,X,O,O,X,X,X,X,X,X
IZSOJTL,O,X,O,O,O,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,X,X,X,X
IZOTLJS,O,X,X,X,O,X,X,X,X,X
IZOTLSJ,O,X,X,X,O,X,X,X,X,X
IZOTJLS,O,X,X,X,O,X,X,X,X,X
IZOTJSL,O,X,X,X,O,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,X,X,O,X,X,X,X,X
IZOLTJS,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X,X
IZOLJTS,X,X,X,X,O,X,X,X,X,X
IZOLJST,X,X,O,O,O,X,X,X,X,X
IZOLSTJ,X,X,O,O,O,X,X,X,X,X
IZOLSJT,X,X,O,O,O,X,X,X,X,X
IZOJTLS,O,X,X,X,O,X,X,X,X,X
IZOJTSL,O,X,X,X,O,X,X,X,X,X
IZOJLTS,X,X,X,X,O,X,X,X,X,X
IZOJLST,X,X,O,O,O,X,X,X,X,X
IZOJSTL,O,X,O,O,O,X,X,X,X,X
IZOJSLT,O,X,O,O,X,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,O,O,X,X,X,X,X,X
IZOSLTJ,X,X,O,O,X,X,X,X,X,X
IZOSLJT,O,X,O,O,X,X,X,X,X,X
IZOSJTL,O,X,O,O,O,X,X,X,X,X
IZOSJLT,O,X,O,O,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,O,X,X,X
IOTLJZS,X,X,X,X,O,X,O,O,X,X
IOTLSJZ,X,X,X,O,O,X,O,X,X,X
IOTLSZJ,X,X,X,O,O,X,O,X,X,X
IOTLZJS,X,X,X,X,O,X,O,O,X,X
IOTLZSJ,X,X,X,X,O,X,O,X,X,X
IOTJLSZ,X,X,X,O,X,X,O,X,X,X
IOTJLZS,X,X,X,X,X,X,O,O,X,X
IOTJSLZ,O,X,X,O,X,X,O,X,X,X
IOTJSZL,O,X,X,O,X,X,O,X,X,X
IOTJZLS,O,X,X,X,O,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,O,O,X,X
IOTSLJZ,O,X,X,O,X,X,O,X,X,X
IOTSLZJ,X,X,X,O,X,X,O,X,O,X
IOTSJLZ,O,X,X,O,X,X,O,X,X,X
IOTSJZL,O,X,X,O,X,X,O,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,X,O,X
IOTSZJL,O,X,X,O,O,X,O,X,X,X
IOTZLJS,O,X,X,X,O,X,X,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,X,X,X
IOTZJLS,O,X,X,X,O,X,X,X,X,X
IOTZJSL,O,X,X,X,O,X,O,O,X,X
IOTZSLJ,O,X,X,X,X,X,X,X,O,X
IOTZSJL,O,X,X,X,O,X,O,X,X,X
IOLTJSZ,X,O,X,O,X,X,O,X,X,X
IOLTJZS,X,X,X,X,O,X,O,O,X,X
IOLTSJZ,X,O,X,O,O,X,O,X,X,X
IOLTSZJ,X,O,X,O,O,X,O,X,X,X
IOLTZJS,X,X,X,X,O,X,O,O,X,X
IOLTZSJ,X,X,X,X,O,X,O,X,X,X
IOLJTSZ,X,O,X,O,X,X,O,X,X,X
IOLJTZS,X,X,X,X,X,X,O,O,X,X
IOLJSTZ,X,O,X,O,X,X,O,X,X,X
IOLJSZT,X,O,X,O,X,X,O,X,X,O
IOLJZTS,X,X,X,X,O,X,X,X,X,O
IOLJZST,X,O,X,O,O,X,X,X,X,O
IOLSTJZ,X,O,X,O,X,X,O,X,X,X
IOLSTZJ,X,O,O,O,O,X,O,X,X,X
IOLSJTZ,X,O,X,O,X,X,O,X,X,X
IOLSJZT,X,O,X,O,O,X,O,X,X,O
IOLSZTJ,X,O,O,O,O,X,X,X,X,O
IOLSZJT,X,O,O,O,O,X,O,X,X,O
IOLZTJS,X,X,X,X,O,X,X,X,X,O
IOLZTSJ,X,X,X,X,O,X,X,X,X,O
IOLZJTS,X,X,X,X,O,X,X,X,X,O
IOLZJST,X,O,O,O,O,X,X,X,X,O
IOLZSTJ,X,O,O,O,O,X,X,X,X,O
IOLZSJT,X,O,O,O,O,X,X,X,X,O
IOJTLSZ,X,X,X,O,X,X,O,X,X,X
IOJTLZS,X,X,X,X,X,X,O,O,X,X
IOJTSLZ,O,X,X,O,X,X,O,X,O,X
IOJTSZL,O,X,X,O,X,X,O,X,O,X
IOJTZLS,O,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,O,O,O,X
IOJLTSZ,X,O,X,O,X,X,O,X,X,X
IOJLTZS,X,X,X,X,X,X,O,O,X,X
IOJLSTZ,X,O,X,O,X,X,O,X,X,X
IOJLSZT,X,O,X,O,X,X,O,X,X,O
IOJLZTS,X,X,X,X,X,X,X,X,X,O
IOJLZST,X,O,X,O,X,X,X,X,X,O
IOJSTLZ,O,O,X,O,X,X,O,X,O,X
IOJSTZL,O,X,X,O,X,X,O,X,O,X
IOJSLTZ,O,O,X,O,X,X,O,X,O,X
IOJSLZT,O,O,X,O,X,X,O,X,X,O
IOJSZTL,O,X,X,O,X,X,O,X,X,X
IOJSZLT,O,X,X,O,X,X,O,X,X,X
IOJZTLS,O,X,X,X,O,X,X,X,X,X
IOJZTSL,O,X,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,X,O,X,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X,X,X
IOJZSTL,O,X,X,O,O,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,X
IOSTLJZ,O,O,X,O,X,X,O,X,X,X
IOSTLZJ,X,O,X,O,X,X,O,X,O,X
IOSTJLZ,O,X,X,O,X,X,O,X,X,X
IOSTJZL,O,X,X,O,X,X,O,X,X,X
IOSTZLJ,O,X,X,X,X,X,X,X,O,X
IOSTZJL,O,X,O,O,X,X,O,X,X,X
IOSLTJZ,X,O,X,O,X,X,O,X,X,X
IOSLTZJ,X,O,O,O,X,X,O,X,O,X
IOSLJTZ,O,O,X,O,X,X,O,X,O,X
IOSLJZT,O,O,X,O,X,X,O,X,X,O
IOSLZTJ,X,O,O,O,X,X,X,X,X,O
IOSLZJT,X,O,O,O,X,X,O,X,X,O
IOSJTLZ,O,O,X,O,X,X,O,X,O,X
