sequence,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFygBuhB0fBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBUdBKlBz?gBWnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBmgBCiBU?iBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBzcBOlB8?lBSnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFibBUdBWnBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem7IvhFzcBxfBSnB0?fB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFegBUdBChBx?mB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBqhB/iBz?gBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBChBTiB3?hBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFmcB0fBXhBS?nBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhF2gBCiBUiBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem6IvhFRcB0fBSmBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jei6IvhFzfBWmBxhBU?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFzbBqhB/iBR?lBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFqhB/iBRlBO?lB8lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem8IvhFxfBXhBSnB0?fBTlBlsB
JSITOZL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JSILTOZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILZOT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O
JSILOTZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O
JSIZTLO,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JSIZTOL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSIZLTO,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIZLOT,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSIZOTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JSIOTLZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSIOTZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSIOLZT,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X
JSIOZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JSLTIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSLTZOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSLTOIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JSLITOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JSLIZOT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JSLIOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLIOZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JSLZTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSLZTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSLZITO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
JSLZIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
JSLZOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSLZOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JSLOTIZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLOIZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JSLOZTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSLOZIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZTILO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSZTIOL,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZTLIO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSZTOIL,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZTOLI,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JSZITLO,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JSZITOL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSZILTO,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZILOT,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JSZIOTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZLTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLITO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZLOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZLOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JSZOTIL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZOTLI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZOITL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZOLTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JSOTIZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JSOTLZI,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSOTZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOITLZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOILZT,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X
JSOIZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSOLTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSOLZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZTIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOZLTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JZTILOS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
JZTISLO,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X
JZTISOL,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
JZTIOLS,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X
JZTIOSL,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
JZTLISO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JZTLIOS,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JZTLSIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
JZTLSOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JZTLOIS,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JZTLOSI,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X
JZTSILO,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X
JZTSIOL,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZTSLIO,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X
JZTSLOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTSOIL,O,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X
JZTSOLI,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZTOILS,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X
JZTOISL,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
JZTOLIS,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X
JZTOLSI,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZTOSIL,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZTOSLI,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZITLSO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JZITLOS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
JZITSLO,O,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X
JZITSOL,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
JZITOLS,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JZITOSL,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JZILTSO,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZILTOS,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JZILSTO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JZILSOT,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZILOST,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JZISTLO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZISTOL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZISLTO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZISLOT,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JZISOTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JZIOTLS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZIOTSL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZIOLTS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZIOLST,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZIOSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JZLTIOS,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
JZLTSIO,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
JZLTSOI,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZLTOIS,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
JZLTOSI,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZLITSO,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZLITOS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLISTO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JZLISOT,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZLIOTS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLIOST,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZLSTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLSTOI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLSITO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZLSIOT,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLSOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLSOIT,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOTIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOIST,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZLOSTI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOSIT,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSTILO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JZSTIOL,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZSTLIO,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JZSTLOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTOIL,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZSTOLI,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZSITLO,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSITOL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZSILTO,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSILOT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSIOTL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSLTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSLTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSLITO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZSLIOT,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSLOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSLOIT,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZSOTIL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOTLI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSOLTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X
JZOTISL,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
JZOTLIS,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X
JZOTLSI,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZOTSIL,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZOTSLI,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZOITLS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOITSL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOILTS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JZOILST,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZOISTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOLTSI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOLITS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZOLIST,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZOLSTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOSTLI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOSITL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSILT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOTILZS,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOTISLZ,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
JOTISZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTIZLS,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
JOTIZSL,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JOTLISZ,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOTLIZS,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOTLSIZ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTLSZI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTLZIS,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JOTLZSI,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTSILZ,X,X,O,X,O,X,O,O,X,X,X,X,O,O,O,X
JOTSIZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSLIZ,X,O,O,X,X,X,X,O,X,X,X,X,O,O,O,X
JOTSLZI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTSZIL,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTSZLI,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTZILS,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X
JOTZISL,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
JOTZLIS,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JOTZLSI,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTZSIL,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTZSLI,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOITLSZ,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOITLZS,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOITSLZ,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
JOITSZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JOITZLS,X,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X
JOITZSL,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JOILTZS,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOILSTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOILZTS,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOILZST,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOISTLZ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOISTZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOISZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JOIZTSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOIZLTS,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
JOIZLST,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOIZSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOLTISZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLTIZS,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOLTSIZ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOLTSZI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOLTZIS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLTZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLITZS,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
JOLISTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JOLIZTS,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
JOLIZST,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JOLSTIZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLSTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLSZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLZTSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLZIST,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLZSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOSTIZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOSTLZI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSTZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSITLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JOSIZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JOZTISL,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
JOZTLIS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JOZTLSI,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOZTSIL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOZTSLI,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOZITLS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZITSL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOZILTS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOZILST,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOZISTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZISLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOZLTIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZLTSI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZLITS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZLIST,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOZLSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSTIL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZSTLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOZSITL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZSILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZSLTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
