sequence,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhF6gBxcBXeBemBzh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFxbBOiBXeBqlBTh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFlbBXeB6mBZnBzq?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Jel6IvhFUcBXeB6lBZnBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFehBXeBzhB6lBxr?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFVhBXeBZnB6qBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFTcBFeBRmB6lB/n?BmrB,v115@9gA8HeD8DeF8EeH8AeC8Jex6IvhFTcBFeBUmBasB/s?BGqB
TJLSOIZ,O,O,X,O,X,X,X,X
TJLSOZI,O,O,X,O,X,X,X,X
TJLZISO,O,O,X,X,X,X,X,X
TJLZIOS,O,O,X,X,X,X,X,X
TJLZSIO,O,O,X,X,X,X,X,X
TJLZSOI,O,O,X,X,X,X,X,X
TJLZOIS,O,O,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X
TJLOISZ,O,O,X,O,X,X,X,X
TJLOIZS,O,O,X,O,X,X,X,X
TJLOSIZ,O,O,X,O,X,X,X,X
TJLOSZI,O,O,X,O,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X,X
TJLOZSI,O,O,X,O,X,X,X,X
TJSILZO,O,O,X,X,X,X,X,X
TJSILOZ,O,O,X,O,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X
TJSLIZO,O,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,O,X,X,X,X
TJSLZIO,O,O,X,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X,X
TJSLOIZ,O,O,X,O,X,X,X,X
TJSLOZI,O,O,X,O,X,X,X,X
TJSZILO,O,O,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X,X
TJZILSO,O,O,X,X,X,X,O,X
TJZILOS,O,O,X,X,X,X,O,X
TJZISLO,O,O,X,X,X,X,O,X
TJZISOL,O,O,X,X,X,X,O,X
TJZIOLS,O,X,X,X,X,X,O,X
TJZIOSL,O,O,X,X,X,X,O,X
TJZLISO,O,O,X,X,X,X,X,X
TJZLIOS,O,O,X,X,X,X,X,X
TJZLSIO,O,O,X,X,X,X,X,X
TJZLSOI,O,O,X,X,X,X,X,X
TJZLOIS,O,O,X,X,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X,X
TJZSILO,O,O,X,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,X
TJZSLOI,O,O,X,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X
TJZSOLI,O,O,X,X,X,X,X,X
TJZOILS,O,X,X,X,X,X,X,X
TJZOISL,O,O,X,X,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,X
TJZOLSI,O,O,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X,X,X
TJZOSLI,O,O,X,X,X,X,X,X
TJOILSZ,O,O,X,X,X,X,X,X
TJOILZS,O,O,X,X,X,X,X,X
TJOISLZ,O,O,X,X,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X
TJOIZLS,O,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X
TJOLISZ,O,O,X,X,X,X,X,X
TJOLIZS,O,O,X,X,X,X,X,X
TJOLSIZ,O,O,X,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X
TJOSILZ,O,O,X,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,X
TJOSLIZ,O,O,X,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X
TJOZSLI,O,O,X,X,X,X,X,X
TSILJZO,O,O,X,X,X,X,X,X
TSILJOZ,O,O,X,O,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X
TSILZOJ,O,O,X,O,X,X,X,X
TSILOJZ,X,O,X,O,X,X,X,X
TSILOZJ,X,O,X,O,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X
TSIJLOZ,O,O,X,O,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X
TSIJZOL,O,O,X,X,O,X,X,X
TSIJOLZ,O,O,X,X,O,X,X,X
TSIJOZL,O,X,X,X,O,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X
TSIZLOJ,O,O,X,O,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X
TSIZJOL,O,O,X,X,O,X,X,X
TSIZOLJ,O,O,O,X,X,O,X,X
TSIZOJL,O,O,X,X,O,O,X,X
TSIOLJZ,X,O,O,O,X,X,X,X
TSIOLZJ,X,O,O,O,X,O,X,X
TSIOJLZ,O,O,X,X,O,X,X,X
TSIOJZL,O,X,X,X,O,O,X,X
TSIOZLJ,O,X,O,X,X,O,X,X
TSIOZJL,O,X,X,X,O,O,X,X
TSLIJZO,O,O,X,X,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,O,X,X,X,X
TSLIOJZ,X,O,X,O,X,X,X,X
TSLIOZJ,X,O,X,O,X,X,X,X
TSLJIZO,O,O,X,X,X,X,X,X
TSLJIOZ,O,O,X,O,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X,X
TSLJZOI,O,O,X,X,X,X,X,X
TSLJOIZ,O,O,X,O,X,X,X,X
TSLJOZI,O,O,X,O,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X
TSLZOIJ,O,O,X,O,X,X,X,X
TSLZOJI,O,O,X,O,X,X,X,X
TSLOIJZ,X,O,X,O,X,X,X,X
TSLOIZJ,X,O,X,O,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X
TSLOZIJ,X,O,X,O,X,X,X,X
TSLOZJI,O,O,X,O,X,X,X,X
TSJILZO,O,O,X,X,X,X,X,X
TSJILOZ,O,O,X,O,X,X,X,X
TSJIZLO,O,O,X,X,X,X,X,X
TSJIZOL,O,O,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X
TSJLIZO,O,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X,X
TSJLOIZ,O,O,X,O,X,X,X,X
TSJLOZI,O,O,X,O,X,X,X,X
TSJZILO,O,O,X,X,X,X,X,X
TSJZIOL,O,O,X,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X,X
TSJOILZ,O,O,X,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X
TSZILOJ,O,O,X,O,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X
TSZIJOL,O,O,X,X,O,X,X,X
TSZIOLJ,O,O,O,X,X,O,X,X
TSZIOJL,O,O,X,X,O,O,X,X
TSZLIJO,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,X,O,X,X,X,X
TSZLJIO,O,O,X,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X,X
TSZLOIJ,O,O,O,O,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,X,X
TSZJLOI,O,O,X,X,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X
TSZOILJ,O,O,O,X,X,O,X,X
TSZOIJL,O,O,X,X,X,O,X,X
TSZOLIJ,O,O,O,X,X,O,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,X,X,X,O,X,X
TSZOJLI,O,O,O,X,X,X,X,X
TSOILJZ,X,O,O,O,X,X,X,X
TSOILZJ,X,O,O,O,X,O,X,X
TSOIJLZ,O,O,X,X,X,X,X,X
TSOIJZL,O,X,X,X,X,O,X,X
TSOIZLJ,O,X,O,X,X,O,X,X
TSOIZJL,O,X,X,X,X,O,X,X
TSOLIJZ,X,O,O,O,X,X,X,X
TSOLIZJ,X,O,O,O,X,O,X,X
TSOLJIZ,O,O,O,O,X,X,X,X
TSOLJZI,O,O,O,O,X,X,X,X
TSOLZIJ,X,O,O,O,X,O,X,X
TSOLZJI,O,O,O,O,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X
TSOJIZL,O,X,X,X,X,O,X,X
TSOJLIZ,O,O,O,X,X,X,X,X
TSOJLZI,O,O,O,X,X,X,X,X
TSOJZIL,O,O,X,X,X,O,X,X
TSOJZLI,O,O,O,X,X,X,X,X
TSOZILJ,O,O,O,X,X,O,X,X
TSOZIJL,O,O,X,X,X,O,X,X
TSOZLIJ,O,O,O,X,X,O,X,X
TSOZLJI,O,O,O,X,X,X,X,X
TSOZJIL,O,O,X,X,X,O,X,X
TSOZJLI,O,O,O,X,X,X,X,X
TZILJSO,O,O,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,O
TZILSOJ,O,O,X,O,X,X,X,O
TZILOJS,X,O,X,O,X,X,X,X
TZILOSJ,X,O,X,O,X,X,X,O
TZIJLSO,O,O,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,O,X,X,X
TZIJOLS,O,X,X,X,O,X,X,X
TZIJOSL,O,O,X,X,O,X,X,X
TZISLJO,O,O,X,X,X,X,X,X
TZISLOJ,O,O,X,O,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X
TZISJOL,O,O,X,X,O,X,X,X
TZISOLJ,O,O,O,X,X,O,X,X
