sequence,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je07IvhFmcB5iBTeBf?nBilBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhFRdBSjBclB3?hBTnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhF5iBTeBclBa?nB3hBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFTeBclBihB+?nBXiBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JeR9IvhFSjB/nBTlB0?mBFmBmqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JefCJvhF6iBTeBclBZ?mBWxBlqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFGeBclBThB3?iBKnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je08IvhFxdB3gBCjBO?rBVxBTqB
ISLTJZO,O,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X
ISLTZJO,O,X,O,X,X,X,X,X
ISLTZOJ,O,X,O,X,X,X,X,X
ISLTOJZ,O,X,X,X,X,X,X,X
ISLTOZJ,O,X,O,X,O,X,X,X
ISLJTZO,O,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,O,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,X,X
ISLZJTO,O,X,X,X,X,X,X,X
ISLZJOT,O,X,O,X,X,X,X,X
ISLZOTJ,O,X,X,X,O,X,X,X
ISLZOJT,O,X,O,X,O,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X
ISLOTZJ,O,X,O,X,O,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,O,X,X,X
ISLOZTJ,O,X,X,X,O,X,X,X
ISLOZJT,O,X,O,X,O,X,X,X
ISJTLZO,O,X,X,X,X,O,X,X
ISJTLOZ,O,X,X,X,X,O,X,X
ISJTZLO,O,X,X,X,X,O,X,X
ISJTZOL,O,X,X,X,X,O,O,X
ISJTOLZ,O,X,X,X,X,O,X,X
ISJTOZL,O,X,X,X,X,O,O,X
ISJLTZO,O,X,X,X,X,O,X,X
ISJLTOZ,O,X,X,X,X,O,X,X
ISJLZTO,O,X,X,X,X,O,X,X
ISJLZOT,O,X,X,X,X,O,X,X
ISJLOTZ,O,X,X,X,X,O,X,X
ISJLOZT,O,X,X,X,O,O,X,X
ISJZTLO,X,X,O,X,X,O,X,X
ISJZTOL,O,X,O,X,X,O,O,X
ISJZLTO,O,X,X,X,X,O,X,X
ISJZLOT,O,X,O,X,X,O,X,X
ISJZOTL,O,X,O,X,X,O,X,X
ISJZOLT,O,X,O,X,X,O,X,X
ISJOTLZ,O,X,X,X,X,O,X,X
ISJOTZL,O,X,X,X,X,O,X,X
ISJOLTZ,O,X,X,X,X,O,X,X
ISJOLZT,O,X,X,X,O,O,X,X
ISJOZTL,O,X,O,X,O,O,X,X
ISJOZLT,O,X,O,X,O,O,X,X
ISZTLJO,O,X,O,O,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,X,X
ISZTJLO,O,X,O,O,X,X,X,X
ISZTJOL,O,X,O,O,X,X,O,X
ISZTOLJ,O,X,O,X,X,X,O,X
ISZTOJL,O,X,O,O,X,X,O,X
ISZLTJO,O,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X
ISZLJTO,O,X,X,X,X,X,X,X
ISZLJOT,O,X,O,X,X,X,X,X
ISZLOTJ,O,X,X,X,O,X,X,X
ISZLOJT,O,X,O,X,O,X,X,X
ISZJTLO,X,X,O,X,X,O,X,X
ISZJTOL,O,X,O,X,X,O,O,X
ISZJLTO,O,X,X,X,X,O,X,X
ISZJLOT,O,X,O,X,X,O,X,X
ISZJOTL,O,X,O,X,X,O,X,X
ISZJOLT,O,X,O,X,X,O,X,X
ISZOTLJ,O,X,O,X,O,X,X,X
ISZOTJL,O,X,O,O,O,X,X,X
ISZOLTJ,O,X,X,X,O,X,X,X
ISZOLJT,O,X,O,X,O,X,X,X
ISZOJTL,O,X,O,X,O,O,X,X
ISZOJLT,O,X,O,X,O,O,X,X
ISOTLJZ,O,X,X,X,X,X,X,X
ISOTLZJ,O,X,O,X,O,X,X,X
ISOTJLZ,O,X,X,X,X,X,X,X
ISOTJZL,O,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,X,O,X,X,X
ISOTZJL,O,X,O,X,O,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,X,O,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,O,X,X,X
ISOLZTJ,O,X,X,X,O,X,X,X
ISOLZJT,O,X,O,X,O,X,X,X
ISOJTLZ,O,X,X,X,X,O,X,X
ISOJTZL,O,X,X,X,X,O,X,X
ISOJLTZ,O,X,X,X,X,O,X,X
ISOJLZT,O,X,X,X,O,O,X,X
ISOJZTL,O,X,O,X,O,O,X,X
ISOJZLT,O,X,O,X,O,O,X,X
ISOZTLJ,O,X,O,X,O,X,X,X
ISOZTJL,O,X,O,O,O,X,X,X
ISOZLTJ,O,X,X,X,O,X,X,X
ISOZLJT,O,X,O,X,O,X,X,X
ISOZJTL,O,X,O,X,O,O,X,X
ISOZJLT,O,X,O,X,O,O,X,X
IZTLJSO,O,O,O,O,X,X,X,X
IZTLJOS,O,O,O,O,X,X,X,X
IZTLSJO,O,O,O,O,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,X,X
IZTLOJS,O,O,O,O,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,X,X
IZTJLSO,O,O,O,O,X,X,X,X
IZTJLOS,O,O,O,O,X,X,X,X
IZTJSLO,O,O,O,O,X,O,X,X
IZTJSOL,O,O,O,O,X,O,O,X
IZTJOLS,O,O,O,O,X,X,X,X
IZTJOSL,O,X,O,O,X,O,X,X
IZTSLJO,O,O,O,O,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,X
IZTSJLO,O,O,O,O,X,X,X,X
IZTSJOL,O,O,O,O,X,X,O,X
IZTSOLJ,O,O,O,X,X,X,O,X
IZTSOJL,O,O,O,O,X,X,O,X
IZTOLJS,O,O,O,O,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X
IZTOJLS,O,O,O,O,X,X,X,X
IZTOJSL,O,X,O,O,X,O,X,X
IZTOSLJ,O,O,O,X,X,X,O,X
IZTOSJL,O,O,O,O,X,X,O,X
IZLTJSO,O,O,O,O,X,X,X,X
IZLTJOS,O,O,O,O,X,X,X,X
IZLTSJO,O,O,O,O,X,X,X,X
IZLTSOJ,O,O,O,X,X,X,X,X
IZLTOJS,O,O,O,O,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X,X
IZLJSTO,O,O,X,X,X,O,X,X
IZLJSOT,O,O,O,X,X,O,X,X
IZLJOTS,O,O,O,X,X,X,X,X
IZLJOST,O,O,O,X,X,O,X,X
IZLSTJO,O,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,X,X
IZLOTJS,O,O,O,O,X,X,X,X
IZLOTSJ,O,O,O,X,X,X,X,X
IZLOJTS,O,O,O,X,X,X,X,X
IZLOJST,O,O,O,X,X,O,X,X
IZLOSTJ,O,O,X,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X,X
IZJTLSO,O,O,O,O,X,X,X,X
IZJTLOS,O,O,O,O,X,X,X,X
IZJTSLO,O,O,O,O,X,O,X,X
IZJTSOL,O,O,O,O,X,O,O,X
IZJTOLS,O,O,O,O,X,X,X,X
IZJTOSL,O,X,O,O,X,O,X,X
IZJLTSO,O,O,O,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,X,X
IZJLSTO,O,O,X,X,X,O,X,X
IZJLSOT,O,O,O,X,X,O,X,X
IZJLOTS,O,O,O,X,X,X,X,X
IZJLOST,O,O,O,X,X,O,X,X
IZJSTLO,X,X,O,X,X,O,X,X
IZJSTOL,O,X,O,X,X,O,O,X
IZJSLTO,X,X,X,X,X,O,X,X
IZJSLOT,O,X,O,X,X,O,X,X
IZJSOTL,O,X,O,X,X,O,X,X
IZJSOLT,O,X,O,X,X,O,X,X
IZJOTLS,O,X,O,O,X,X,X,X
IZJOTSL,O,X,O,O,X,O,X,X
IZJOLTS,O,O,O,X,X,X,X,X
IZJOLST,O,O,O,X,X,O,X,X
IZJOSTL,O,X,O,X,X,O,X,X
IZJOSLT,O,X,O,X,X,O,X,X
IZSTLJO,O,X,O,O,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,X,X
IZSTJLO,O,X,O,O,X,X,X,X
IZSTJOL,O,X,O,O,X,X,O,X
IZSTOLJ,O,X,O,X,X,X,O,X
IZSTOJL,O,X,O,O,X,X,O,X
IZSLTJO,O,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X
IZSLJTO,O,X,X,X,X,X,X,X
IZSLJOT,O,X,O,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X
IZSLOJT,O,X,O,X,X,X,X,X
IZSJTLO,X,X,O,X,X,O,X,X
IZSJTOL,O,X,O,X,X,O,O,X
IZSJLTO,O,X,X,X,X,O,X,X
IZSJLOT,O,X,O,X,X,O,X,X
IZSJOTL,O,X,O,X,X,O,X,X
IZSJOLT,O,X,O,X,X,O,X,X
IZSOTLJ,O,X,O,X,X,X,X,X
IZSOTJL,O,X,O,O,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,X,X
IZSOLJT,O,X,O,X,X,X,X,X
IZSOJTL,O,X,O,X,X,O,X,X
IZSOJLT,O,X,O,X,X,O,X,X
IZOTLJS,O,O,O,O,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X
IZOTJLS,O,O,O,O,X,X,X,X
IZOTJSL,O,X,O,O,X,O,X,X
IZOTSLJ,O,O,O,X,X,X,X,X
IZOTSJL,O,O,O,O,X,X,X,X
IZOLTJS,O,O,O,O,X,X,X,X
IZOLTSJ,O,O,O,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X,X
IZOLJST,O,O,O,X,X,O,X,X
IZOLSTJ,O,O,X,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X,X
IZOJTLS,O,X,O,O,X,X,X,X
IZOJTSL,O,X,O,O,X,O,X,X
IZOJLTS,O,O,O,X,X,X,X,X
IZOJLST,O,O,O,X,X,O,X,X
IZOJSTL,O,X,O,X,X,O,X,X
IZOJSLT,O,X,O,X,X,O,X,X
IZOSTLJ,O,O,O,X,X,X,X,X
IZOSTJL,O,O,O,O,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X
IZOSJTL,O,O,O,X,X,O,X,X
IZOSJLT,O,O,O,X,X,O,X,X
IOTLJSZ,O,O,X,X,X,X,X,X
IOTLJZS,O,O,O,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X
IOTLSZJ,O,O,O,X,X,X,X,X
IOTLZJS,O,O,O,X,X,X,X,X
IOTLZSJ,O,O,O,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,X,X
IOTJLZS,O,X,O,O,X,X,X,X
IOTJSLZ,O,X,X,X,X,O,X,X
IOTJSZL,O,X,X,X,X,O,X,X
IOTJZLS,O,X,O,O,X,X,X,X
IOTJZSL,O,X,O,O,X,O,X,X
IOTSLJZ,O,O,X,X,X,X,X,X
IOTSLZJ,O,O,O,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X
IOTZLJS,O,O,O,O,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,X,X
IOTZJLS,O,O,O,O,X,X,X,X
IOTZJSL,O,X,O,O,X,O,X,X
IOTZSLJ,O,O,O,X,X,X,X,X
IOTZSJL,O,O,O,O,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,O,X,X,X
IOLTZJS,O,O,O,X,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X
IOLJTZS,O,O,O,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,O,X,X
IOLJSZT,O,O,X,X,O,O,X,X
IOLJZTS,O,O,O,X,X,X,X,X
IOLJZST,O,O,O,X,X,O,X,X
IOLSTJZ,O,O,X,X,X,X,X,X
IOLSTZJ,O,O,O,X,O,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,O,X,X,X
IOLSZTJ,O,O,X,X,O,X,X,X
IOLSZJT,O,O,O,X,O,X,X,X
IOLZTJS,O,O,O,O,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X
IOLZJST,O,O,O,X,X,O,X,X
IOLZSTJ,O,O,X,X,O,X,X,X
IOLZSJT,O,O,O,X,O,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,X
IOJTLZS,O,X,O,O,X,X,X,X
IOJTSLZ,O,X,X,X,X,O,X,X
IOJTSZL,O,X,X,X,X,O,X,X
IOJTZLS,O,X,O,O,X,X,X,X
IOJTZSL,O,X,O,O,X,O,X,X
IOJLTSZ,O,X,X,X,X,X,X,X
IOJLTZS,O,X,O,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,O,X,X
IOJLSZT,O,X,X,X,X,O,X,X
IOJLZTS,O,X,O,X,X,X,X,X
IOJLZST,O,X,O,X,X,O,X,X
IOJSTLZ,O,X,X,X,X,O,X,X
IOJSTZL,O,X,X,X,X,O,X,X
IOJSLTZ,O,X,X,X,X,O,X,X
IOJSLZT,O,X,X,X,X,O,X,X
IOJSZTL,O,X,O,X,X,O,X,X
IOJSZLT,O,X,O,X,X,O,X,X
IOJZTLS,O,X,O,O,X,X,X,X
IOJZTSL,O,X,O,O,X,O,X,X
IOJZLTS,O,X,O,X,X,X,X,X
IOJZLST,O,X,O,X,X,O,X,X
IOJZSTL,O,X,O,X,X,O,X,X
IOJZSLT,O,X,O,X,X,O,X,X
IOSTLJZ,O,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,X,O,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X
IOSTZLJ,O,O,O,X,O,X,X,X
IOSTZJL,O,O,O,X,O,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,X
IOSLTZJ,O,O,O,X,O,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X
IOSLJZT,O,O,X,X,O,X,X,X
IOSLZTJ,O,O,X,X,O,X,X,X
IOSLZJT,O,O,O,X,O,X,X,X
IOSJTLZ,O,X,X,X,X,O,X,X
IOSJTZL,O,X,X,X,X,O,X,X
IOSJLTZ,O,X,X,X,X,O,X,X
IOSJLZT,O,O,X,X,O,O,X,X
IOSJZTL,O,O,O,X,O,O,X,X
IOSJZLT,O,O,O,X,O,O,X,X
IOSZTLJ,O,O,O,X,O,X,X,X
IOSZTJL,O,O,O,O,O,X,X,X
IOSZLTJ,O,O,X,X,O,X,X,X
IOSZLJT,O,O,O,X,O,X,X,X
IOSZJTL,O,O,O,X,O,O,X,X
IOSZJLT,O,O,O,X,O,O,X,X
IOZTLJS,O,O,O,O,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,X
IOZTJLS,O,O,O,O,X,X,X,X
IOZTJSL,O,X,O,O,X,O,X,X
IOZTSLJ,O,O,O,X,X,X,X,X
IOZTSJL,O,O,O,O,X,X,X,X
IOZLTJS,O,O,O,O,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X
IOZLJST,O,O,O,X,X,O,X,X
IOZLSTJ,O,O,X,X,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X,X
IOZJTLS,O,X,O,O,X,X,X,X
IOZJTSL,O,X,O,O,X,O,X,X
IOZJLTS,O,O,O,X,X,X,X,X
IOZJLST,O,O,O,X,X,O,X,X
IOZJSTL,O,X,O,X,X,O,X,X
IOZJSLT,O,X,O,X,X,O,X,X
IOZSTLJ,O,O,O,X,O,X,X,X
IOZSTJL,O,O,O,O,O,X,X,X
IOZSLTJ,O,O,X,X,O,X,X,X
IOZSLJT,O,O,O,X,O,X,X,X
IOZSJTL,O,O,O,X,O,O,X,X
IOZSJLT,O,O,O,X,O,O,X,X
LTIJSZO,O,O,X,X,X,X,X,O
LTIJSOZ,O,X,X,X,X,X,X,O
LTIJZSO,O,O,O,O,X,X,X,O
LTIJZOS,O,O,O,O,X,X,X,O
LTIJOSZ,O,X,X,X,X,X,X,O
LTIJOZS,O,X,O,O,X,X,X,O
LTISJZO,O,O,X,X,X,X,X,O
LTISJOZ,O,X,X,X,X,X,X,O
LTISZJO,O,O,O,X,X,X,X,X
LTISZOJ,O,O,O,X,X,X,X,X
LTISOJZ,O,X,X,X,X,X,X,X
LTISOZJ,O,O,O,X,O,X,X,X
LTIZJSO,O,O,O,O,X,X,X,O
LTIZJOS,O,O,O,O,X,X,X,O
LTIZSJO,O,O,O,O,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X,X
LTIZOJS,O,O,O,O,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,X
LTIOJSZ,O,O,X,X,X,X,X,O
LTIOJZS,O,O,O,X,X,X,X,O
LTIOSJZ,O,O,X,X,X,X,X,X
LTIOSZJ,O,O,O,X,O,X,X,X
LTIOZJS,O,O,O,X,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,X,X
LTJISZO,O,O,X,X,X,X,X,O
LTJISOZ,O,X,X,X,X,X,X,O
LTJIZSO,O,O,O,O,X,X,X,O
LTJIZOS,O,O,O,O,X,X,X,O
LTJIOSZ,O,X,X,X,X,X,X,O
LTJIOZS,O,X,O,O,X,X,X,O
LTJSIZO,O,O,X,X,X,X,X,O
LTJSIOZ,O,X,X,X,X,X,X,O
LTJSZIO,O,O,X,O,X,X,X,O
LTJSZOI,O,O,X,O,X,X,O,O
LTJSOIZ,O,X,X,X,X,X,X,O
LTJSOZI,O,X,X,O,X,X,O,O
LTJZISO,O,O,O,O,X,X,X,O
LTJZIOS,O,O,O,O,X,X,X,O
LTJZSIO,O,O,O,O,X,X,X,O
LTJZSOI,O,O,O,O,X,X,O,O
LTJZOIS,O,O,O,O,X,X,X,O
LTJZOSI,O,O,O,O,X,X,X,O
LTJOISZ,O,X,X,X,X,X,X,O
LTJOIZS,O,X,O,O,X,X,X,O
LTJOSIZ,O,X,X,X,X,X,X,O
LTJOSZI,O,X,X,O,X,X,X,O
LTJOZIS,O,X,O,O,X,X,X,O
LTJOZSI,O,X,O,O,X,X,X,O
LTSIJZO,O,O,X,X,X,X,X,O
LTSIJOZ,O,X,X,X,X,X,X,O
LTSIZJO,O,O,O,X,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X,X
LTSIOJZ,O,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,X,O,X,X,X
LTSJIZO,O,O,X,X,X,X,X,O
LTSJIOZ,O,X,X,X,X,X,X,O
LTSJZIO,O,O,X,O,X,X,X,O
LTSJZOI,O,O,X,O,X,X,O,O
LTSJOIZ,O,X,X,X,X,X,X,O
LTSJOZI,O,X,X,O,X,X,O,O
LTSZIJO,O,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,X,X,X,X,X
LTSZJIO,O,O,O,O,X,X,X,X
LTSZJOI,O,O,O,O,X,X,O,X
LTSZOIJ,O,O,O,X,X,X,O,X
LTSZOJI,O,O,O,X,X,X,O,X
LTSOIJZ,O,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,O,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,X
LTSOJZI,O,X,X,X,X,X,O,X
LTSOZIJ,O,O,O,X,O,X,O,X
LTSOZJI,O,O,O,X,O,X,O,X
LTZIJSO,O,O,O,O,X,X,X,O
LTZIJOS,O,O,O,O,X,X,X,O
LTZISJO,O,O,O,O,X,X,X,X
LTZISOJ,O,O,O,X,X,X,X,X
LTZIOJS,O,O,O,O,X,X,X,X
LTZIOSJ,O,X,O,X,X,X,X,X
LTZJISO,O,O,O,O,X,X,X,O
LTZJIOS,O,O,O,O,X,X,X,O
LTZJSIO,O,O,O,O,X,X,X,O
LTZJSOI,O,O,O,O,X,X,O,O
LTZJOIS,O,O,O,O,X,X,X,O
LTZJOSI,O,O,O,O,X,X,X,O
LTZSIJO,O,O,O,O,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X,X
LTZSJIO,O,O,O,O,X,X,X,X
LTZSJOI,O,O,O,O,X,X,O,X
LTZSOIJ,O,O,O,X,X,X,O,X
LTZSOJI,O,O,O,X,X,X,O,X
LTZOIJS,O,O,O,O,X,X,X,X
LTZOISJ,O,O,O,X,X,X,X,X
LTZOJIS,O,O,O,O,X,X,X,X
LTZOJSI,O,O,O,O,X,X,X,X
LTZOSIJ,O,O,O,X,X,X,O,X
LTZOSJI,O,O,O,X,X,X,O,X
LTOIJSZ,O,O,X,X,X,X,X,O
LTOIJZS,O,O,O,X,X,X,X,O
LTOISJZ,O,O,X,X,X,X,X,X
LTOISZJ,O,O,O,X,O,X,X,X
LTOIZJS,O,O,O,X,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,X,X
LTOJISZ,O,O,X,X,X,X,X,O
LTOJIZS,O,O,O,O,X,X,X,O
LTOJSIZ,O,O,X,X,X,X,X,O
LTOJSZI,O,O,X,O,X,X,X,O
LTOJZIS,O,O,O,O,X,X,X,O
LTOJZSI,O,O,O,O,X,X,X,O
LTOSIJZ,O,O,X,X,X,X,X,X
LTOSIZJ,O,O,O,X,O,X,X,X
LTOSJIZ,O,O,X,X,X,X,X,X
LTOSJZI,O,O,X,X,X,X,O,X
LTOSZIJ,O,O,O,X,O,X,O,X
LTOSZJI,O,O,O,X,O,X,O,X
LTOZIJS,O,O,O,O,X,X,X,X
LTOZISJ,O,O,O,X,X,X,X,X
LTOZJIS,O,O,O,O,X,X,X,X
LTOZJSI,O,O,O,O,X,X,X,X
LTOZSIJ,O,O,O,X,X,X,O,X
LTOZSJI,O,O,O,X,X,X,O,X
LITJSZO,O,O,X,X,X,X,X,O
LITJSOZ,O,X,X,X,X,X,X,O
LITJZSO,O,O,O,X,X,X,X,O
LITJZOS,O,O,O,X,X,X,X,O
LITJOSZ,O,X,X,X,X,X,X,O
LITJOZS,O,X,O,X,X,X,X,O
LITSJZO,O,O,X,X,X,X,X,O
LITSJOZ,O,X,X,X,X,X,X,O
LITSZJO,O,O,O,X,X,X,X,X
LITSZOJ,O,O,O,X,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,X
LITSOZJ,O,O,O,X,O,X,X,X
LITZJSO,O,O,O,X,X,X,X,O
LITZJOS,O,O,O,X,X,X,X,O
LITZSJO,O,O,O,X,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X,X
LITZOJS,O,O,O,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X
LITOJSZ,O,O,X,X,X,X,X,O
LITOJZS,O,O,O,X,X,X,X,O
LITOSJZ,O,O,X,X,X,X,X,X
LITOSZJ,O,O,O,X,O,X,X,X
LITOZJS,O,O,O,X,X,X,X,X
LITOZSJ,O,O,O,X,X,X,X,X
LIJTSZO,O,O,X,X,X,X,X,O
LIJTSOZ,O,X,X,X,X,X,X,O
LIJTZSO,O,O,O,X,X,X,X,O
LIJTZOS,O,O,O,X,X,X,X,O
LIJTOSZ,O,X,X,X,X,X,X,O
LIJTOZS,O,X,O,X,X,X,X,O
LIJSTZO,O,X,X,X,X,O,X,X
LIJSTOZ,O,X,X,X,X,O,X,X
LIJSZTO,O,O,X,X,X,O,X,X
LIJSZOT,O,O,X,X,X,O,X,X
LIJSOTZ,O,X,X,X,X,O,X,X
LIJSOZT,O,X,X,X,O,O,X,X
LIJZTSO,O,O,O,X,X,X,X,X
LIJZTOS,O,O,O,X,X,X,X,X
LIJZSTO,O,O,X,X,X,O,X,X
LIJZSOT,O,O,O,X,X,O,X,X
LIJZOTS,O,O,O,X,X,X,X,X
LIJZOST,O,O,O,X,X,O,X,X
LIJOTSZ,O,O,X,X,X,X,X,X
LIJOTZS,O,O,O,X,X,X,X,X
LIJOSTZ,O,X,X,X,X,O,X,X
LIJOSZT,O,O,X,X,O,O,X,X
LIJOZTS,O,O,O,X,X,X,X,X
LIJOZST,O,O,O,X,X,O,X,X
LISTJZO,O,O,X,X,X,X,X,O
LISTJOZ,O,X,X,X,X,X,X,O
LISTZJO,O,O,O,X,X,X,X,X
LISTZOJ,O,O,O,X,X,X,X,X
LISTOJZ,O,X,X,X,X,X,X,X
LISTOZJ,O,O,O,X,O,X,X,X
LISJTZO,O,X,X,X,X,X,X,X
LISJTOZ,O,X,X,X,X,X,X,X
LISJZTO,O,O,X,X,X,X,X,X
LISJZOT,O,O,X,X,X,X,X,X
LISJOTZ,O,X,X,X,X,X,X,X
LISJOZT,O,X,X,X,O,X,X,X
LISZTJO,O,X,X,X,X,X,X,X
LISZTOJ,O,X,X,X,X,X,X,X
LISZJTO,O,O,X,X,X,X,X,X
LISZJOT,O,O,O,X,X,X,X,X
LISZOTJ,O,X,X,X,O,X,X,X
LISZOJT,O,X,O,X,O,X,X,X
LISOTJZ,O,O,X,X,X,X,X,X
LISOTZJ,O,O,O,X,O,X,X,X
LISOJTZ,O,X,X,X,X,X,X,X
LISOJZT,O,O,X,X,O,X,X,X
LISOZTJ,O,O,X,X,O,X,X,X
LISOZJT,O,O,O,X,O,X,X,X
LIZTJSO,O,O,O,O,X,X,X,O
LIZTJOS,O,O,O,O,X,X,X,O
LIZTSJO,O,O,O,O,X,X,X,X
LIZTSOJ,O,O,O,X,X,X,X,X
LIZTOJS,O,O,O,O,X,X,X,X
LIZTOSJ,O,X,O,X,X,X,X,X
LIZJTSO,O,O,O,X,X,X,X,X
LIZJTOS,O,O,O,X,X,X,X,X
LIZJSTO,O,O,X,X,X,O,X,X
LIZJSOT,O,O,O,X,X,O,X,X
LIZJOTS,O,O,O,X,X,X,X,X
LIZJOST,O,O,O,X,X,O,X,X
LIZSTJO,O,X,X,X,X,X,X,X
LIZSTOJ,O,X,X,X,X,X,X,X
LIZSJTO,O,O,X,X,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X,X
LIZSOTJ,O,X,X,X,O,X,X,X
LIZSOJT,O,X,O,X,O,X,X,X
LIZOTJS,O,O,O,O,X,X,X,X
LIZOTSJ,O,O,O,X,X,X,X,X
LIZOJTS,O,O,O,X,X,X,X,X
LIZOJST,O,O,O,X,X,O,X,X
LIZOSTJ,O,O,X,X,O,X,X,X
LIZOSJT,O,O,O,X,O,X,X,X
LIOTJSZ,O,O,X,X,X,X,X,O
LIOTJZS,O,O,O,X,X,X,X,O
LIOTSJZ,O,O,X,X,X,X,X,X
LIOTSZJ,O,O,O,X,O,X,X,X
LIOTZJS,O,O,O,X,X,X,X,X
LIOTZSJ,O,O,O,X,X,X,X,X
LIOJTSZ,O,O,X,X,X,X,X,X
LIOJTZS,O,O,O,X,X,X,X,X
