sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFxdBTfBChB/qB0rBFrB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB
IZTOLJS,O,O,O,O,X,O,X
IZTOLSJ,O,O,O,O,X,X,O
IZTOJLS,O,O,O,O,X,O,X
IZTOJSL,O,O,X,O,X,O,O
IZTOSLJ,O,O,X,O,O,O,O
IZTOSJL,O,O,X,O,O,O,O
IZLTJSO,O,O,X,X,X,X,X
IZLTJOS,O,O,O,O,X,O,X
IZLTSJO,O,O,X,X,X,X,X
IZLTSOJ,O,O,O,O,X,X,X
IZLTOJS,O,O,O,O,X,O,X
IZLTOSJ,O,O,O,O,X,X,X
IZLJTSO,O,O,X,X,X,X,X
IZLJTOS,O,O,O,X,X,O,X
IZLJSTO,O,O,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X
IZLJOTS,O,O,O,O,X,X,X
IZLJOST,O,O,O,O,X,X,X
IZLSTJO,O,O,X,X,X,X,X
IZLSTOJ,O,O,O,X,O,X,X
IZLSJTO,O,O,X,X,X,X,X
IZLSJOT,O,O,X,X,O,X,X
IZLSOTJ,O,O,X,X,O,X,X
IZLSOJT,O,O,O,O,O,X,X
IZLOTJS,O,O,O,O,X,X,X
IZLOTSJ,O,O,O,O,X,X,X
IZLOJTS,O,O,O,O,X,X,X
IZLOJST,O,O,O,O,X,X,X
IZLOSTJ,O,O,X,X,O,X,X
IZLOSJT,O,O,O,O,O,X,X
IZJTLSO,O,O,X,X,X,X,X
IZJTLOS,O,O,O,O,X,O,X
IZJTSLO,O,O,X,X,X,O,X
IZJTSOL,O,O,X,X,X,O,X
IZJTOLS,O,O,O,O,X,O,X
IZJTOSL,O,O,X,O,X,O,X
IZJLTSO,O,O,X,X,X,X,X
IZJLTOS,O,O,O,X,X,O,X
IZJLSTO,O,O,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X
IZJLOTS,O,O,O,O,X,X,X
IZJLOST,O,O,O,O,X,X,X
IZJSTLO,O,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X
IZJSLOT,O,O,X,X,O,X,X
IZJSOTL,O,X,X,X,O,X,X
IZJSOLT,O,O,X,X,O,X,X
IZJOTLS,O,O,O,O,X,X,X
IZJOTSL,O,O,X,O,X,X,X
IZJOLTS,O,O,O,O,X,X,X
IZJOLST,O,O,O,O,X,X,X
IZJOSTL,O,X,X,X,O,X,X
IZJOSLT,O,O,X,O,O,X,X
IZSTLJO,O,O,X,X,X,X,X
IZSTLOJ,O,O,X,O,O,X,X
IZSTJLO,O,O,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X
IZSTOLJ,O,O,X,O,O,X,X
IZSTOJL,O,O,X,O,O,X,X
IZSLTJO,O,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,O,X,X
IZSLJTO,O,O,X,X,X,X,X
IZSLJOT,O,O,X,X,O,X,X
IZSLOTJ,O,O,X,X,O,X,O
IZSLOJT,O,O,X,O,O,X,X
IZSJTLO,O,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X
IZSJLOT,O,O,X,X,O,X,X
IZSJOTL,O,X,X,X,O,X,X
IZSJOLT,O,O,X,X,O,X,X
IZSOTLJ,O,X,X,O,O,X,O
IZSOTJL,O,X,X,O,O,X,O
IZSOLTJ,O,O,X,X,O,X,O
IZSOLJT,O,O,X,O,O,X,X
IZSOJTL,O,X,X,X,O,X,X
IZSOJLT,O,O,X,O,O,X,X
IZOTLJS,O,O,O,O,X,X,X
IZOTLSJ,O,O,O,O,X,X,O
IZOTJLS,O,O,O,O,X,X,X
IZOTJSL,O,O,X,O,X,X,O
IZOTSLJ,O,O,X,O,O,X,O
IZOTSJL,O,O,X,O,O,X,O
IZOLTJS,O,O,O,O,X,X,X
IZOLTSJ,O,O,O,O,X,X,X
IZOLJTS,O,O,O,O,X,X,X
IZOLJST,O,O,O,O,X,X,X
IZOLSTJ,O,O,X,X,O,X,X
IZOLSJT,O,O,O,O,O,X,X
IZOJTLS,O,O,O,O,X,X,X
IZOJTSL,O,O,X,O,X,X,X
IZOJLTS,O,O,O,O,X,X,X
IZOJLST,O,O,O,O,X,X,X
IZOJSTL,O,X,X,X,O,X,X
IZOJSLT,O,O,X,O,O,X,X
IZOSTLJ,O,X,X,O,O,X,O
IZOSTJL,O,X,X,O,O,X,O
IZOSLTJ,O,O,X,X,O,X,O
IZOSLJT,O,O,X,O,O,X,X
IZOSJTL,O,X,X,X,O,X,X
IZOSJLT,O,O,X,O,O,X,X
IOTLJSZ,O,O,O,X,X,O,X
IOTLJZS,O,X,O,X,X,O,X
IOTLSJZ,O,O,O,X,X,O,O
IOTLSZJ,O,O,O,X,X,O,O
IOTLZJS,O,X,O,X,X,O,X
IOTLZSJ,O,O,O,X,X,X,O
IOTJLSZ,O,X,O,X,X,O,X
IOTJLZS,O,X,O,X,X,O,X
IOTJSLZ,X,X,O,X,O,O,O
IOTJSZL,X,X,X,X,O,O,O
IOTJZLS,X,X,O,O,X,O,X
IOTJZSL,X,X,X,X,X,O,O
IOTSLJZ,X,O,O,X,O,O,O
IOTSLZJ,X,O,O,X,X,O,O
IOTSJLZ,X,O,O,X,O,O,O
IOTSJZL,X,X,X,X,O,O,O
IOTSZLJ,X,X,X,X,O,O,O
IOTSZJL,X,X,X,X,O,O,O
IOTZLJS,X,X,O,O,X,O,X
IOTZLSJ,X,X,O,O,X,X,O
IOTZJLS,X,X,O,O,X,O,X
IOTZJSL,X,X,X,O,X,O,O
IOTZSLJ,X,X,X,O,O,O,O
IOTZSJL,X,X,X,O,O,O,O
IOLTJSZ,O,O,O,X,X,O,X
IOLTJZS,O,X,O,X,X,O,X
IOLTSJZ,O,O,O,X,X,O,O
IOLTSZJ,O,O,O,X,X,X,O
IOLTZJS,O,O,O,X,X,O,X
IOLTZSJ,O,O,O,X,X,X,O
IOLJTSZ,O,O,O,X,X,O,X
IOLJTZS,O,X,O,X,X,O,X
IOLJSTZ,O,X,O,X,O,X,X
IOLJSZT,O,X,O,X,O,X,X
IOLJZTS,O,O,O,O,X,X,X
IOLJZST,O,O,O,O,X,X,X
IOLSTJZ,O,O,O,X,O,X,O
IOLSTZJ,O,O,O,X,X,X,O
IOLSJTZ,O,X,O,X,O,X,O
IOLSJZT,O,X,O,X,O,X,X
IOLSZTJ,O,X,X,X,O,X,O
IOLSZJT,O,O,O,X,O,X,X
IOLZTJS,O,O,O,O,X,X,X
IOLZTSJ,O,O,O,O,X,X,X
IOLZJTS,O,O,O,O,X,X,X
IOLZJST,O,O,O,O,X,X,X
IOLZSTJ,O,O,X,X,O,X,X
IOLZSJT,O,O,O,O,O,X,X
IOJTLSZ,O,X,O,X,X,O,X
IOJTLZS,O,X,O,X,X,O,X
IOJTSLZ,X,X,O,X,O,O,O
IOJTSZL,X,X,X,X,O,O,O
IOJTZLS,X,X,O,O,X,O,X
IOJTZSL,X,X,X,X,X,O,O
IOJLTSZ,O,X,O,X,X,O,X
IOJLTZS,O,X,O,X,X,O,X
IOJLSTZ,O,X,O,X,O,X,X
IOJLSZT,O,X,O,X,O,X,X
IOJLZTS,O,X,O,O,X,X,X
IOJLZST,O,X,O,O,X,X,X
IOJSTLZ,X,X,O,X,O,X,O
IOJSTZL,X,X,X,X,O,X,O
IOJSLTZ,X,X,O,X,O,X,O
IOJSLZT,X,X,O,X,O,X,X
IOJSZTL,X,X,X,X,O,X,X
IOJSZLT,X,X,X,O,O,X,X
IOJZTLS,O,X,O,O,X,X,X
IOJZTSL,O,X,X,O,X,X,X
IOJZLTS,O,X,O,O,X,X,X
IOJZLST,O,X,O,O,X,X,X
IOJZSTL,O,X,X,X,O,X,X
IOJZSLT,O,X,X,O,O,X,X
IOSTLJZ,X,X,O,X,O,X,O
IOSTLZJ,X,X,O,X,X,X,O
IOSTJLZ,X,X,O,X,O,X,O
IOSTJZL,X,X,X,X,O,X,O
IOSTZLJ,X,X,X,X,O,X,O
IOSTZJL,X,X,X,X,O,X,O
IOSLTJZ,X,X,O,X,O,X,O
IOSLTZJ,X,X,O,X,X,X,O
IOSLJTZ,X,X,O,X,O,X,O
IOSLJZT,X,X,O,X,O,X,X
IOSLZTJ,X,X,X,X,O,X,O
IOSLZJT,X,X,O,X,O,X,X
IOSJTLZ,X,X,O,X,O,X,O
IOSJTZL,X,X,X,X,O,X,O
IOSJLTZ,X,X,O,X,O,X,O
IOSJLZT,X,X,O,X,O,X,X
IOSJZTL,X,X,X,X,O,X,X
IOSJZLT,X,X,X,O,O,X,X
IOSZTLJ,X,X,X,O,O,X,O
IOSZTJL,X,X,X,O,O,X,O
IOSZLTJ,X,X,X,X,O,X,O
IOSZLJT,X,X,X,O,O,X,X
IOSZJTL,X,X,X,X,O,X,X
IOSZJLT,X,X,X,O,O,X,X
IOZTLJS,O,O,O,O,X,X,X
IOZTLSJ,O,O,O,O,X,X,O
IOZTJLS,O,O,O,O,X,X,X
IOZTJSL,O,O,X,O,X,X,O
IOZTSLJ,O,O,X,O,O,X,O
IOZTSJL,O,O,X,O,O,X,O
IOZLTJS,O,O,O,O,X,X,X
IOZLTSJ,O,O,O,O,X,X,X
IOZLJTS,O,O,O,O,X,X,X
IOZLJST,O,O,O,O,X,X,X
IOZLSTJ,O,O,X,X,O,X,X
IOZLSJT,O,O,O,O,O,X,X
IOZJTLS,O,O,O,O,X,X,X
IOZJTSL,O,O,X,O,X,X,X
IOZJLTS,O,O,O,O,X,X,X
IOZJLST,O,O,O,O,X,X,X
IOZJSTL,O,X,X,X,O,X,X
IOZJSLT,O,O,X,O,O,X,X
IOZSTLJ,O,X,X,O,O,X,O
IOZSTJL,O,X,X,O,O,X,O
IOZSLTJ,O,O,X,X,O,X,O
IOZSLJT,O,O,X,O,O,X,X
IOZSJTL,O,X,X,X,O,X,X
IOZSJLT,O,O,X,O,O,X,X
LTIJSZO,O,O,X,X,X,O,X
LTIJSOZ,O,O,O,X,X,O,X
LTIJZSO,O,X,X,X,X,X,X
LTIJZOS,O,X,O,X,X,O,X
LTIJOSZ,O,O,O,X,X,O,X
LTIJOZS,O,X,O,X,X,O,X
LTISJZO,O,O,X,X,X,O,X
LTISJOZ,O,O,O,X,X,O,X
LTISZJO,O,O,X,X,X,O,X
LTISZOJ,O,O,O,X,X,O,X
LTISOJZ,O,O,O,X,X,O,X
LTISOZJ,O,O,O,X,X,O,X
LTIZJSO,O,O,X,X,X,X,X
LTIZJOS,O,O,O,X,X,O,X
LTIZSJO,O,O,X,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X
LTIZOJS,O,O,O,X,X,O,X
LTIZOSJ,O,O,O,X,X,X,O
LTIOJSZ,O,O,O,X,X,O,X
LTIOJZS,O,X,O,X,X,O,X
LTIOSJZ,O,O,O,X,X,O,O
LTIOSZJ,O,O,O,X,X,O,O
LTIOZJS,O,O,O,X,X,O,X
LTIOZSJ,O,O,O,X,X,X,O
LTJISZO,O,O,X,X,X,O,X
LTJISOZ,O,O,O,X,X,O,X
LTJIZSO,O,X,X,X,X,X,X
LTJIZOS,O,X,O,X,X,O,X
LTJIOSZ,O,O,O,X,X,O,X
LTJIOZS,O,X,O,X,X,O,X
LTJSIZO,O,O,X,X,X,O,X
LTJSIOZ,O,O,O,X,X,O,X
LTJSZIO,O,O,X,X,X,O,X
LTJSZOI,O,O,X,X,X,O,X
LTJSOIZ,O,O,O,X,X,O,X
LTJSOZI,O,O,O,X,X,O,X
LTJZISO,O,X,X,X,X,X,X
LTJZIOS,O,X,O,X,X,O,X
LTJZSIO,O,X,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X,X
LTJZOIS,O,X,O,X,X,O,X
LTJZOSI,O,X,O,X,X,O,X
LTJOISZ,O,O,O,X,X,O,X
LTJOIZS,O,X,O,X,X,O,X
LTJOSIZ,O,O,O,X,X,O,X
LTJOSZI,O,O,O,X,X,O,X
LTJOZIS,O,X,O,X,X,O,X
LTJOZSI,O,X,O,X,X,O,X
LTSIJZO,O,O,X,X,X,O,X
LTSIJOZ,O,O,O,X,X,O,X
LTSIZJO,O,O,X,X,X,O,X
LTSIZOJ,O,O,O,X,X,O,X
LTSIOJZ,O,O,O,X,X,O,X
LTSIOZJ,O,O,O,X,X,O,X
LTSJIZO,O,O,X,X,X,O,X
LTSJIOZ,O,O,O,X,X,O,X
LTSJZIO,O,O,X,X,X,O,X
LTSJZOI,O,O,X,X,X,O,X
LTSJOIZ,O,O,O,X,X,O,X
LTSJOZI,O,O,O,X,X,O,X
LTSZIJO,O,O,X,X,X,O,X
LTSZIOJ,O,O,O,X,X,O,X
LTSZJIO,O,O,X,X,X,O,X
LTSZJOI,O,O,X,X,X,O,X
LTSZOIJ,O,O,O,X,X,O,X
LTSZOJI,O,O,O,X,X,O,X
LTSOIJZ,O,O,O,X,X,O,X
LTSOIZJ,O,O,O,X,X,O,X
LTSOJIZ,O,O,O,X,X,O,X
LTSOJZI,O,O,O,X,X,O,X
LTSOZIJ,O,O,O,X,X,O,X
LTSOZJI,O,O,O,X,X,O,X
LTZIJSO,O,O,X,X,X,X,X
LTZIJOS,O,O,O,X,X,O,X
LTZISJO,O,O,X,X,X,X,X
LTZISOJ,O,O,O,X,X,X,X
LTZIOJS,O,O,O,X,X,O,X
LTZIOSJ,O,O,O,X,X,X,O
LTZJISO,O,O,X,X,X,X,X
LTZJIOS,O,O,O,X,X,O,X
LTZJSIO,O,O,X,X,X,X,X
LTZJSOI,O,O,X,X,X,X,X
LTZJOIS,O,O,O,X,X,O,X
LTZJOSI,O,O,O,X,X,O,X
LTZSIJO,O,O,X,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,X,X
LTZSOJI,O,O,O,X,X,X,X
LTZOIJS,O,O,O,X,X,O,X
LTZOISJ,O,O,O,X,X,X,O
LTZOJIS,O,O,O,X,X,O,X
LTZOJSI,O,O,O,X,X,O,X
LTZOSIJ,O,O,O,X,X,X,O
LTZOSJI,O,O,O,X,X,X,O
LTOIJSZ,O,O,O,X,X,O,X
LTOIJZS,O,X,O,X,X,O,X
LTOISJZ,O,O,O,X,X,O,O
LTOISZJ,O,O,O,X,X,O,O
LTOIZJS,O,O,O,X,X,O,X
LTOIZSJ,O,O,O,X,X,X,O
LTOJISZ,O,O,O,X,X,O,X
LTOJIZS,O,X,O,X,X,O,X
LTOJSIZ,O,O,O,X,X,O,X
LTOJSZI,O,O,O,X,X,O,X
LTOJZIS,O,X,O,X,X,O,X
LTOJZSI,O,X,O,X,X,O,X
LTOSIJZ,O,O,O,X,X,O,O
LTOSIZJ,O,O,O,X,X,O,O
LTOSJIZ,O,O,O,X,X,O,O
LTOSJZI,O,O,O,X,X,O,O
LTOSZIJ,O,O,O,X,X,O,O
LTOSZJI,O,O,O,X,X,O,O
LTOZIJS,O,O,O,X,X,O,X
LTOZISJ,O,O,O,X,X,X,O
LTOZJIS,O,O,O,X,X,O,X
LTOZJSI,O,X,O,X,X,O,X
LTOZSIJ,O,O,O,X,X,X,O
LTOZSJI,O,O,O,X,X,X,O
LITJSZO,O,O,X,X,X,O,X
LITJSOZ,O,O,O,X,X,O,X
LITJZSO,O,X,X,X,X,X,X
LITJZOS,O,X,O,X,X,O,X
LITJOSZ,O,O,O,X,X,O,X
LITJOZS,O,X,O,X,X,O,X
LITSJZO,O,O,X,X,X,O,X
LITSJOZ,O,O,O,X,X,O,X
LITSZJO,O,O,X,X,X,O,X
LITSZOJ,O,O,O,X,X,O,X
LITSOJZ,O,O,O,X,X,O,X
LITSOZJ,O,O,O,X,X,O,X
LITZJSO,O,O,X,X,X,X,X
LITZJOS,O,O,O,X,X,O,X
LITZSJO,O,O,X,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X
LITZOJS,O,O,O,X,X,O,X
LITZOSJ,O,O,O,X,X,X,O
LITOJSZ,O,O,O,X,X,O,X
LITOJZS,O,X,O,X,X,O,X
LITOSJZ,O,O,O,X,X,O,O
LITOSZJ,O,O,O,X,X,O,O
LITOZJS,O,O,O,X,X,O,X
LITOZSJ,O,O,O,X,X,X,O
LIJTSZO,O,O,X,X,X,O,X
LIJTSOZ,O,O,O,X,X,O,X
LIJTZSO,O,X,X,X,X,X,X
LIJTZOS,O,X,O,X,X,O,X
LIJTOSZ,O,O,O,X,X,O,X
LIJTOZS,O,X,O,X,X,O,X
LIJSTZO,O,X,X,X,X,X,X
LIJSTOZ,O,X,O,X,X,O,X
LIJSZTO,O,X,X,X,X,X,X
LIJSZOT,O,X,X,X,X,X,X
LIJSOTZ,O,X,O,X,X,X,X
LIJSOZT,O,X,O,X,X,X,X
LIJZTSO,O,O,X,X,X,X,X
LIJZTOS,O,O,O,X,X,O,X
LIJZSTO,O,O,X,X,X,X,X
LIJZSOT,O,O,X,X,X,X,X
LIJZOTS,O,O,O,X,X,X,X
LIJZOST,O,O,O,X,X,X,X
LIJOTSZ,O,O,O,X,X,O,X
LIJOTZS,O,X,O,X,X,O,X
LIJOSTZ,O,X,O,X,X,X,X
LIJOSZT,O,X,O,X,X,X,X
LIJOZTS,O,O,O,X,X,X,X
LIJOZST,O,O,O,X,X,X,X
LISTJZO,O,O,X,X,X,X,X
LISTJOZ,O,O,O,X,X,O,X
LISTZJO,O,O,X,X,X,X,X
LISTZOJ,O,O,O,X,X,X,X
LISTOJZ,O,O,O,X,O,O,O
LISTOZJ,O,O,O,X,X,X,O
LISJTZO,O,X,X,X,X,X,X
LISJTOZ,O,X,O,X,X,O,X
LISJZTO,O,X,X,X,X,X,X
LISJZOT,O,X,X,X,X,X,X
LISJOTZ,O,X,O,X,O,X,O
LISJOZT,O,X,O,X,O,X,X
LISZTJO,O,O,X,X,X,X,X
LISZTOJ,O,O,O,X,O,X,X
LISZJTO,O,O,X,X,X,X,X
LISZJOT,O,O,X,X,O,X,X
LISZOTJ,O,O,X,X,O,X,O
LISZOJT,O,O,O,X,O,X,X
LISOTJZ,O,O,O,X,O,X,O
LISOTZJ,O,O,O,X,X,X,O
LISOJTZ,O,X,O,X,O,X,O
LISOJZT,O,X,O,X,O,X,X
LISOZTJ,O,X,X,X,O,X,O
LISOZJT,O,O,O,X,O,X,X
LIZTJSO,O,O,X,X,X,X,X
LIZTJOS,O,O,O,O,X,O,X
LIZTSJO,O,O,X,X,X,X,X
LIZTSOJ,O,O,O,O,X,X,X
LIZTOJS,O,O,O,O,X,O,X
LIZTOSJ,O,O,O,O,X,X,X
LIZJTSO,O,O,X,X,X,X,X
LIZJTOS,O,O,O,X,X,O,X
LIZJSTO,O,O,X,X,X,X,X
LIZJSOT,O,O,X,X,X,X,X
LIZJOTS,O,O,O,O,X,X,X
LIZJOST,O,O,O,O,X,X,X
LIZSTJO,O,O,X,X,X,X,X
LIZSTOJ,O,O,O,X,O,X,X
LIZSJTO,O,O,X,X,X,X,X
LIZSJOT,O,O,X,X,O,X,X
LIZSOTJ,O,O,X,X,O,X,X
LIZSOJT,O,O,O,O,O,X,X
LIZOTJS,O,O,O,O,X,X,X
LIZOTSJ,O,O,O,O,X,X,X
LIZOJTS,O,O,O,O,X,X,X
LIZOJST,O,O,O,O,X,X,X
LIZOSTJ,O,O,X,X,O,X,X
LIZOSJT,O,O,O,O,O,X,X
LIOTJSZ,O,O,O,X,X,O,X
LIOTJZS,O,X,O,X,X,O,X
LIOTSJZ,O,O,O,X,X,O,O
LIOTSZJ,O,O,O,X,X,X,O
LIOTZJS,O,O,O,X,X,O,X
LIOTZSJ,O,O,O,X,X,X,O
LIOJTSZ,O,O,O,X,X,O,X
LIOJTZS,O,X,O,X,X,O,X
LIOJSTZ,O,X,O,X,O,X,X
LIOJSZT,O,X,O,X,O,X,X
LIOJZTS,O,O,O,O,X,X,X
LIOJZST,O,O,O,O,X,X,X
LIOSTJZ,O,O,O,X,O,X,O
LIOSTZJ,O,O,O,X,X,X,O
LIOSJTZ,O,X,O,X,O,X,O
LIOSJZT,O,X,O,X,O,X,X
LIOSZTJ,O,X,X,X,O,X,O
LIOSZJT,O,O,O,X,O,X,X
LIOZTJS,O,O,O,O,X,X,X
LIOZTSJ,O,O,O,O,X,X,X
LIOZJTS,O,O,O,O,X,X,X
LIOZJST,O,O,O,O,X,X,X
LIOZSTJ,O,O,X,X,O,X,X
LIOZSJT,O,O,O,O,O,X,X
LJTISZO,O,O,X,X,X,O,X
LJTISOZ,O,O,O,X,X,O,X
LJTIZSO,O,X,X,X,X,X,X
LJTIZOS,O,X,O,X,X,O,X
LJTIOSZ,O,O,O,X,X,O,X
LJTIOZS,O,X,O,X,X,O,X
LJTSIZO,O,O,X,X,X,O,X
LJTSIOZ,O,O,O,X,X,O,X
LJTSZIO,O,O,X,X,X,O,X
LJTSZOI,O,O,X,X,X,O,X
LJTSOIZ,O,O,O,X,X,O,X
LJTSOZI,O,O,O,X,X,O,X
LJTZISO,O,X,X,X,X,X,X
LJTZIOS,O,X,O,X,X,O,X
LJTZSIO,O,X,X,X,X,X,X
LJTZSOI,O,X,X,X,X,X,X
LJTZOIS,O,X,O,X,X,O,X
LJTZOSI,O,X,O,X,X,O,X
LJTOISZ,O,O,O,X,X,O,X
LJTOIZS,O,X,O,X,X,O,X
LJTOSIZ,O,O,O,X,X,O,X
LJTOSZI,O,O,O,X,X,O,X
LJTOZIS,O,X,O,X,X,O,X
LJTOZSI,O,X,O,X,X,O,X
LJITSZO,O,O,X,X,X,O,X
LJITSOZ,O,O,O,X,X,O,X
LJITZSO,O,X,X,X,X,X,X
LJITZOS,O,X,O,X,X,O,X
LJITOSZ,O,O,O,X,X,O,X
LJITOZS,O,X,O,X,X,O,X
LJISTZO,O,X,X,X,X,X,X
LJISTOZ,O,X,O,X,X,O,X
LJISZTO,O,X,X,X,X,X,X
LJISZOT,O,X,X,X,X,X,X
LJISOTZ,O,X,O,X,X,X,X
LJISOZT,O,X,O,X,X,X,X
LJIZTSO,O,O,X,X,X,X,X
LJIZTOS,O,O,O,X,X,O,X
LJIZSTO,O,O,X,X,X,X,X
LJIZSOT,O,O,X,X,X,X,X
LJIZOTS,O,O,O,X,X,X,X
LJIZOST,O,O,O,X,X,X,X
LJIOTSZ,O,O,O,X,X,O,X
LJIOTZS,O,X,O,X,X,O,X
LJIOSTZ,O,X,O,X,X,X,X
LJIOSZT,O,X,O,X,X,X,X
LJIOZTS,O,O,O,X,X,X,X
LJIOZST,O,O,O,X,X,X,X
LJSTIZO,O,X,X,X,X,X,X
LJSTIOZ,O,X,O,X,X,O,X
LJSTZIO,O,X,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X,X
LJSTOIZ,O,X,O,X,X,O,X
LJSTOZI,O,X,O,X,X,O,X
LJSITZO,O,X,X,X,X,X,X
LJSITOZ,O,X,O,X,X,O,X
LJSIZTO,O,X,X,X,X,X,X
LJSIZOT,O,X,X,X,X,X,X
LJSIOTZ,O,X,O,X,X,X,X
LJSIOZT,O,X,O,X,X,X,X
LJSZTIO,O,X,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X,X
LJSZITO,O,X,X,X,X,X,X
LJSZIOT,O,X,X,X,X,X,X
LJSZOTI,O,X,X,X,X,X,X
LJSZOIT,O,X,X,X,X,X,X
LJSOTIZ,O,X,O,X,X,X,X
LJSOTZI,O,X,O,X,X,X,X
LJSOITZ,O,X,O,X,X,X,X
LJSOIZT,O,X,O,X,X,X,X
LJSOZTI,O,X,O,X,X,X,X
LJSOZIT,O,X,O,X,X,X,X
LJZTISO,O,O,X,X,X,X,X
LJZTIOS,O,O,O,X,X,O,X
LJZTSIO,O,O,X,X,X,X,X
LJZTSOI,O,O,X,X,X,X,X
LJZTOIS,O,O,O,X,X,O,X
LJZTOSI,O,O,O,X,X,O,X
LJZITSO,O,O,X,X,X,X,X
LJZITOS,O,O,O,X,X,O,X
LJZISTO,O,O,X,X,X,X,X
LJZISOT,O,O,X,X,X,X,X
LJZIOTS,O,O,O,X,X,X,X
LJZIOST,O,O,O,X,X,X,X
LJZSTIO,O,O,X,X,X,X,X
LJZSTOI,O,O,X,X,X,X,X
LJZSITO,O,O,X,X,X,X,X
LJZSIOT,O,O,X,X,X,X,X
LJZSOTI,O,O,X,X,X,X,X
LJZSOIT,O,O,X,X,X,X,X
LJZOTIS,O,O,O,X,X,X,X
LJZOTSI,O,O,O,X,X,X,X
LJZOITS,O,O,O,X,X,X,X
LJZOIST,O,O,O,X,X,X,X
LJZOSTI,O,O,O,X,X,X,X
LJZOSIT,O,O,O,X,X,X,X
LJOTISZ,O,O,O,X,X,O,X
LJOTIZS,O,X,O,X,X,O,X
LJOTSIZ,O,O,O,X,X,O,X
LJOTSZI,O,O,O,X,X,O,X
LJOTZIS,O,X,O,X,X,O,X
LJOTZSI,O,X,O,X,X,O,X
LJOITSZ,O,O,O,X,X,O,X
LJOITZS,O,X,O,X,X,O,X
LJOISTZ,O,X,O,X,X,X,X
LJOISZT,O,X,O,X,X,X,X
LJOIZTS,O,O,O,X,X,X,X
LJOIZST,O,O,O,X,X,X,X
LJOSTIZ,O,X,O,X,X,X,X
LJOSTZI,O,X,O,X,X,X,X
LJOSITZ,O,X,O,X,X,X,X
LJOSIZT,O,X,O,X,X,X,X
LJOSZTI,O,X,O,X,X,X,X
LJOSZIT,O,X,O,X,X,X,X
LJOZTIS,O,O,O,X,X,X,X
LJOZTSI,O,X,O,X,X,X,X
LJOZITS,O,O,O,X,X,X,X
LJOZIST,O,O,O,X,X,X,X
LJOZSTI,O,X,O,X,X,X,X
LJOZSIT,O,O,O,X,X,X,X
LSTIJZO,O,O,X,X,X,X,X
LSTIJOZ,O,O,O,X,X,O,X
LSTIZJO,O,O,X,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X
LSTIOJZ,O,O,O,X,O,O,O
LSTIOZJ,O,O,O,X,X,X,O
LSTJIZO,O,O,X,X,X,X,X
LSTJIOZ,O,O,O,X,X,O,X
LSTJZIO,O,O,X,X,X,X,X
LSTJZOI,O,O,X,X,X,X,X
LSTJOIZ,O,O,O,X,X,O,X
LSTJOZI,O,O,O,X,X,O,X
LSTZIJO,O,O,X,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X
LSTZJIO,O,O,X,X,X,X,X
LSTZJOI,O,O,X,X,X,X,X
LSTZOIJ,O,O,O,X,X,X,X
LSTZOJI,O,O,O,X,X,X,X
LSTOIJZ,O,O,O,X,O,O,O
LSTOIZJ,O,O,O,X,X,X,O
LSTOJIZ,O,O,O,X,O,O,O
LSTOJZI,O,O,O,X,O,O,O
LSTOZIJ,O,O,O,X,X,X,O
LSTOZJI,O,O,O,X,X,X,O
LSITJZO,O,O,X,X,X,X,X
LSITJOZ,O,O,O,X,X,O,X
LSITZJO,O,O,X,X,X,X,X
LSITZOJ,O,O,O,X,X,X,X
LSITOJZ,O,O,O,X,O,O,O
LSITOZJ,O,O,O,X,X,X,O
LSIJTZO,O,X,X,X,X,X,X
LSIJTOZ,O,X,O,X,X,O,X
LSIJZTO,O,X,X,X,X,X,X
LSIJZOT,O,X,X,X,X,X,X
LSIJOTZ,O,X,O,X,O,X,O
LSIJOZT,O,X,O,X,O,X,X
