sequence,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgB3hBOsB0?lBzpBSwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBmgBqqBF?nBzpB0rB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je/AJvhFUcBFdBTmBO?sBCqBxvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhFFdBulBcmBX?nBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFxcB3lBFnBW?vB0rBirB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBOrBX?lBSvBzrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBKrBf?sBTlBWvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXlBO?sBSvBTrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXnBC?qB2wBTqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdB0gBFnBz?pBCrB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmB6qBX?nBzpB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBTlBW?vBirBXsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFOhBXdBSqBF?nB0rBRvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je2AJvhFXdBUmBFnBC?mBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBzgBFnBC?qB0rB2vB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBTmBG?qBywBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeC9IvhF0gBVnBZmBG?qBzrBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBUmBFnBC?qBTqB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhF5lB/rBFnBz?pBcrBOsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhF6lB/rBFnBz?pBmrB0qB
JSZLOTI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSZOTLI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSZOILT,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOLTI,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOTIZL,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOTLIZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOTLZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JSOTZIL,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
JSOTZLI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JSOITLZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOITZL,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOILTZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOILZT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOIZTL,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOIZLT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOLTIZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOLTZI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOLIZT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOLZTI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOZTLI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOZILT,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZLTI,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTILOS,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JZTISLO,X,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTISOL,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTIOLS,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
JZTIOSL,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
JZTLISO,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTLIOS,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JZTLSIO,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTLSOI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTLOIS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
JZTLOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZTSILO,O,O,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JZTSIOL,O,X,O,X,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X
JZTSLIO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTSLOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTSOIL,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
JZTSOLI,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTOILS,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
JZTOISL,X,X,X,X,O,O,X,X,O,O,O,O,X,X,O,X,O,X,X,X
JZTOLIS,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X
JZTOLSI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JZTOSIL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZTOSLI,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZITLSO,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JZITLOS,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JZITSLO,X,X,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JZITSOL,X,X,O,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JZITOLS,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
JZITOSL,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X
JZILTSO,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JZILTOS,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
JZILSTO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JZISTOL,O,X,O,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JZISLTO,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZIOTSL,X,X,O,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JZIOLTS,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLTIOS,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZLTSIO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLTSOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTOIS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
JZLTOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZLITSO,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLITOS,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZLISTO,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLISOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLIOST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLOTSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLOITS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOIST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOSIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSTILO,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTIOL,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTLIO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSTOIL,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZSTOLI,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZSITLO,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSITOL,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSILTO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSLITO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOTLI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTISL,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZOTLIS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JZOTLSI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JZOTSIL,O,O,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X
JZOTSLI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOITLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOITSL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOILTS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOILST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOISLT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOLTSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOLITS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOSTLI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOSILT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTILZS,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JOTISLZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTISZL,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JOTIZLS,X,X,O,O,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JOTIZSL,X,O,O,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JOTLISZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOTLSIZ,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTLSZI,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOTLZIS,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X
JOTLZSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JOTSILZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
JOTSIZL,O,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X
JOTSLIZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O
JOTSLZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
JOTSZIL,O,O,O,O,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JOTSZLI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JOTZILS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
JOTZISL,X,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X
JOTZLIS,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X
JOTZLSI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JOTZSIL,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JOTZSLI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JOITLSZ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITLZS,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JOITSLZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOITSZL,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JOITZLS,X,X,O,O,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JOITZSL,X,O,O,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JOILTSZ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOILTZS,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOILSTZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOILSZT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOILZTS,X,O,O,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X
JOILZST,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISTLZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
JOISTZL,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
JOISLTZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOISLZT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISZTL,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JOISZLT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZTLS,X,X,O,O,X,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
JOIZTSL,X,X,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
JOIZLTS,X,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JOIZLST,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZSTL,O,O,O,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JOIZSLT,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLTISZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X
JOLTSIZ,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOLTSZI,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X
JOLTZIS,X,O,X,X,X,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X
JOLTZSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JOLITSZ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLITZS,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
JOLISTZ,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLISZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,O,O,O,X,O,X,O,O,X,O,O,X,O,X,O,X,X,X,X
JOLIZST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSTIZ,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOLSTZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLSITZ,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSZIT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLZTIS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLZTSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLZITS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLZIST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLZSTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLZSIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSTILZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
JOSTIZL,O,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X
JOSTLIZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O
JOSTLZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
JOSTZIL,O,O,O,O,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JOSTZLI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JOSITLZ,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
JOSITZL,O,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X
JOSILTZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSILZT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSIZTL,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JOSIZLT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSLTIZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JOSLTZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLITZ,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSLIZT,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSLZTI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSZTLI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,O,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSZILT,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZLTI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOZTISL,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOZTLIS,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X
JOZTLSI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JOZTSIL,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JOZTSLI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JOZITLS,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOZITSL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOZILTS,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOZILST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISTL,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOZISLT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTIS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZLTSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZLITS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSTIL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZSTLI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSITL,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZSILT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
