sequence,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCbBXcBTeB8kBGm?BlqB,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCcBTeBukB/mBUg?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Jex7IvhFTeBKkBGgB/mB0f?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Je//IvhFUbBFcBTeB2pBxl?BCrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhF8fBTeB5lB/rByu?BFrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhFTeBRgB0gB6mB3k?BlqB
IOTZJSL,O,O,X,X,X,X
IOTZSLJ,O,O,X,X,X,X
IOTZSJL,O,O,X,X,X,X
IOLTJSZ,O,O,O,O,X,X
IOLTJZS,O,X,X,O,X,X
IOLTSJZ,O,O,O,O,X,X
IOLTSZJ,O,O,O,X,O,X
IOLTZJS,O,X,X,O,O,X
IOLTZSJ,O,X,X,X,O,X
IOLJTSZ,O,O,X,O,X,X
IOLJTZS,O,X,X,O,X,X
IOLJSTZ,O,O,X,O,X,X
IOLJSZT,O,O,X,O,O,X
IOLJZTS,O,X,X,O,O,X
IOLJZST,O,X,X,O,O,X
IOLSTJZ,O,O,O,O,X,X
IOLSTZJ,O,O,O,X,O,X
IOLSJTZ,O,O,X,O,X,X
IOLSJZT,O,O,X,O,O,X
IOLSZTJ,O,O,X,X,O,X
IOLSZJT,O,O,X,X,O,X
IOLZTJS,O,X,X,O,O,X
IOLZTSJ,O,X,X,X,O,X
IOLZJTS,O,X,X,O,O,X
IOLZJST,O,X,X,O,O,X
IOLZSTJ,O,O,X,X,O,X
IOLZSJT,O,O,X,X,O,X
IOJTLSZ,O,O,X,O,X,X
IOJTLZS,O,X,X,O,X,X
IOJTSLZ,O,O,X,O,X,X
IOJTSZL,O,O,X,O,X,X
IOJTZLS,O,X,X,X,X,X
IOJTZSL,O,O,X,O,X,X
IOJLTSZ,O,O,X,O,X,X
IOJLTZS,O,X,X,O,X,X
IOJLSTZ,O,O,X,O,X,X
IOJLSZT,O,O,X,O,O,X
IOJLZTS,O,X,X,O,O,X
IOJLZST,O,X,X,O,O,X
IOJSTLZ,O,O,O,O,X,X
IOJSTZL,O,O,X,O,X,X
IOJSLTZ,O,O,X,O,X,X
IOJSLZT,O,O,X,O,O,X
IOJSZTL,O,X,X,O,X,X
IOJSZLT,O,O,X,O,X,X
IOJZTLS,O,X,X,X,X,X
IOJZTSL,O,O,X,O,X,X
IOJZLTS,O,X,X,X,X,X
IOJZLST,O,X,X,X,X,X
IOJZSTL,O,X,X,O,X,X
IOJZSLT,O,O,X,O,X,X
IOSTLJZ,O,O,O,X,X,O
IOSTLZJ,O,O,O,X,O,X
IOSTJLZ,O,O,O,X,X,O
IOSTJZL,O,O,X,X,X,O
IOSTZLJ,O,O,O,X,X,X
IOSTZJL,O,O,X,X,X,O
IOSLTJZ,O,O,O,X,X,X
IOSLTZJ,O,O,O,X,O,X
IOSLJTZ,O,O,X,X,X,O
IOSLJZT,O,O,X,X,O,O
IOSLZTJ,O,O,X,X,O,X
IOSLZJT,O,O,X,X,O,X
IOSJTLZ,O,O,O,X,X,O
IOSJTZL,O,O,X,X,X,O
IOSJLTZ,O,O,X,X,X,O
IOSJLZT,O,O,X,X,O,O
IOSJZTL,O,X,X,X,X,O
IOSJZLT,O,O,X,X,X,O
IOSZTLJ,O,O,O,X,X,X
IOSZTJL,O,O,X,X,X,X
IOSZLTJ,O,O,X,X,O,X
IOSZLJT,O,O,X,X,O,X
IOSZJTL,O,X,X,X,X,O
IOSZJLT,O,O,X,X,X,O
IOZTLJS,O,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,X
IOZTJLS,O,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X
IOZTSLJ,O,O,X,X,X,X
IOZTSJL,O,O,X,X,X,X
IOZLTJS,O,X,X,X,O,X
IOZLTSJ,O,X,X,X,O,X
IOZLJTS,O,X,X,X,O,X
IOZLJST,O,X,X,X,O,X
IOZLSTJ,O,O,X,X,O,X
IOZLSJT,O,O,X,X,O,X
IOZJTLS,O,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X
IOZJLTS,O,X,X,X,X,X
IOZJLST,O,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X
IOZSTLJ,O,O,O,X,X,X
IOZSTJL,O,O,X,X,X,X
IOZSLTJ,O,O,X,X,O,X
IOZSLJT,O,O,X,X,O,X
IOZSJTL,O,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X
LTIJSZO,O,O,O,O,X,X
LTIJSOZ,O,O,O,O,X,X
LTIJZSO,O,X,X,O,X,X
LTIJZOS,O,X,X,O,X,X
LTIJOSZ,O,O,O,O,X,X
LTIJOZS,O,X,X,O,X,X
LTISJZO,O,O,O,O,X,X
LTISJOZ,O,O,O,O,X,X
LTISZJO,O,O,O,X,O,X
LTISZOJ,O,O,O,X,O,X
LTISOJZ,O,O,O,O,X,X
LTISOZJ,O,O,O,X,O,X
LTIZJSO,O,X,X,O,O,X
LTIZJOS,O,X,X,O,O,X
LTIZSJO,O,X,X,X,O,X
LTIZSOJ,O,X,X,X,O,X
LTIZOJS,O,X,X,O,O,X
LTIZOSJ,O,X,X,X,O,X
LTIOJSZ,O,O,O,O,X,X
LTIOJZS,O,X,X,O,X,X
LTIOSJZ,O,O,O,O,X,X
LTIOSZJ,O,O,O,X,O,X
LTIOZJS,O,X,X,O,O,X
LTIOZSJ,O,X,X,X,O,X
LTJISZO,O,O,O,O,X,X
LTJISOZ,O,O,O,O,X,X
LTJIZSO,O,X,X,O,X,X
LTJIZOS,O,X,X,O,X,X
LTJIOSZ,O,O,O,O,X,X
LTJIOZS,O,X,X,O,X,X
LTJSIZO,O,O,O,O,X,X
LTJSIOZ,O,O,O,O,X,X
LTJSZIO,O,O,O,O,X,X
LTJSZOI,O,O,O,O,X,X
LTJSOIZ,O,O,O,O,X,X
LTJSOZI,O,O,O,O,X,X
LTJZISO,O,X,X,O,X,X
LTJZIOS,O,X,X,O,X,X
LTJZSIO,O,X,O,O,X,X
LTJZSOI,O,X,O,O,X,X
LTJZOIS,O,X,X,O,X,X
LTJZOSI,O,X,O,O,X,X
LTJOISZ,O,O,O,O,X,X
LTJOIZS,O,X,X,O,X,X
LTJOSIZ,O,O,O,O,X,X
LTJOSZI,O,O,O,O,X,X
LTJOZIS,O,X,X,O,X,X
LTJOZSI,O,X,O,O,X,X
LTSIJZO,O,O,O,O,X,X
LTSIJOZ,O,O,O,O,X,O
LTSIZJO,O,O,O,X,O,X
LTSIZOJ,O,O,O,X,O,X
LTSIOJZ,O,O,O,O,X,O
LTSIOZJ,O,O,O,X,O,X
LTSJIZO,O,O,O,O,X,X
LTSJIOZ,O,O,O,O,X,O
LTSJZIO,O,O,O,O,X,X
LTSJZOI,O,O,O,O,X,X
LTSJOIZ,O,O,O,O,X,O
LTSJOZI,O,O,O,O,X,X
LTSZIJO,O,O,O,X,O,X
LTSZIOJ,O,O,O,X,O,X
LTSZJIO,O,O,O,X,O,X
LTSZJOI,O,O,O,X,O,X
LTSZOIJ,O,O,O,X,O,X
LTSZOJI,O,O,O,X,O,X
LTSOIJZ,O,O,O,O,X,O
LTSOIZJ,O,O,O,X,O,X
LTSOJIZ,O,O,O,O,X,O
LTSOJZI,O,O,O,O,X,X
LTSOZIJ,O,O,O,X,O,X
LTSOZJI,O,O,O,X,O,X
LTZIJSO,O,X,X,O,O,X
LTZIJOS,O,X,X,O,O,X
LTZISJO,O,X,X,X,O,X
LTZISOJ,O,X,X,X,O,X
LTZIOJS,O,X,X,O,O,X
LTZIOSJ,O,X,X,X,O,X
LTZJISO,O,X,X,O,O,X
LTZJIOS,O,X,X,O,O,X
LTZJSIO,O,X,O,O,O,X
LTZJSOI,O,X,O,O,O,X
LTZJOIS,O,X,X,O,O,X
LTZJOSI,O,X,O,O,O,X
LTZSIJO,O,X,O,X,O,X
LTZSIOJ,O,X,O,X,O,X
LTZSJIO,O,X,O,X,O,X
LTZSJOI,O,X,O,X,O,X
LTZSOIJ,O,X,O,X,O,X
LTZSOJI,O,X,O,X,O,X
LTZOIJS,O,X,X,O,O,X
LTZOISJ,O,X,X,X,O,X
LTZOJIS,O,X,X,O,O,X
LTZOJSI,O,X,O,O,O,X
LTZOSIJ,O,X,O,X,O,X
LTZOSJI,O,X,O,X,O,X
LTOIJSZ,O,O,O,O,X,X
LTOIJZS,O,X,X,O,X,X
LTOISJZ,O,O,O,O,X,X
LTOISZJ,O,O,O,X,O,X
LTOIZJS,O,X,X,O,O,X
LTOIZSJ,O,X,X,X,O,X
LTOJISZ,O,O,O,O,X,X
LTOJIZS,O,X,X,O,X,X
LTOJSIZ,O,O,O,O,X,X
LTOJSZI,O,O,O,O,X,X
LTOJZIS,O,X,X,O,X,X
LTOJZSI,O,X,O,O,X,X
LTOSIJZ,O,O,O,O,X,O
LTOSIZJ,O,O,O,X,O,X
LTOSJIZ,O,O,O,O,X,O
LTOSJZI,O,O,O,O,X,X
LTOSZIJ,O,O,O,X,O,X
LTOSZJI,O,O,O,X,O,X
LTOZIJS,O,X,X,O,O,X
LTOZISJ,O,X,X,X,O,X
LTOZJIS,O,X,X,O,O,X
LTOZJSI,O,X,O,O,O,X
LTOZSIJ,O,X,O,X,O,X
LTOZSJI,O,X,O,X,O,X
LITJSZO,O,O,O,O,X,X
LITJSOZ,O,O,O,O,X,X
LITJZSO,O,X,X,O,X,X
LITJZOS,O,X,X,O,X,X
LITJOSZ,O,O,O,O,X,X
LITJOZS,O,X,X,O,X,X
LITSJZO,O,O,O,O,X,X
LITSJOZ,O,O,O,O,X,X
LITSZJO,O,O,O,X,O,X
LITSZOJ,O,O,O,X,O,X
LITSOJZ,O,O,O,O,X,X
LITSOZJ,O,O,O,X,O,X
LITZJSO,O,X,X,O,O,X
LITZJOS,O,X,X,O,O,X
LITZSJO,O,X,X,X,O,X
LITZSOJ,O,X,X,X,O,X
LITZOJS,O,X,X,O,O,X
LITZOSJ,O,X,X,X,O,X
LITOJSZ,O,O,O,O,X,X
LITOJZS,O,X,X,O,X,X
LITOSJZ,O,O,O,O,X,X
LITOSZJ,O,O,O,X,O,X
LITOZJS,O,X,X,O,O,X
LITOZSJ,O,X,X,X,O,X
LIJTSZO,O,O,X,O,X,X
LIJTSOZ,O,O,X,O,X,X
LIJTZSO,O,X,X,O,X,X
LIJTZOS,O,X,X,O,X,X
LIJTOSZ,O,O,X,O,X,X
LIJTOZS,O,X,X,O,X,X
LIJSTZO,O,O,X,O,X,X
LIJSTOZ,O,O,X,O,X,X
LIJSZTO,O,X,X,O,O,X
LIJSZOT,O,O,X,O,O,X
LIJSOTZ,O,O,X,O,X,X
LIJSOZT,O,O,X,O,O,X
LIJZTSO,O,X,X,O,O,X
LIJZTOS,O,X,X,O,O,X
LIJZSTO,O,X,X,O,O,X
LIJZSOT,O,X,X,O,O,X
LIJZOTS,O,X,X,O,O,X
LIJZOST,O,X,X,O,O,X
LIJOTSZ,O,O,X,O,X,X
LIJOTZS,O,X,X,O,X,X
LIJOSTZ,O,O,X,O,X,X
LIJOSZT,O,O,X,O,O,X
LIJOZTS,O,X,X,O,O,X
LIJOZST,O,X,X,O,O,X
LISTJZO,O,O,O,O,X,X
LISTJOZ,O,O,O,O,X,X
LISTZJO,O,O,O,X,O,X
LISTZOJ,O,O,O,X,O,X
LISTOJZ,O,O,O,O,X,X
LISTOZJ,O,O,O,X,O,X
LISJTZO,O,O,X,O,X,X
LISJTOZ,O,O,X,O,X,X
LISJZTO,O,X,X,O,O,X
LISJZOT,O,O,X,O,O,X
LISJOTZ,O,O,X,O,X,X
LISJOZT,O,O,X,O,O,X
LISZTJO,X,O,X,X,O,X
LISZTOJ,O,O,X,X,O,X
LISZJTO,X,X,X,X,O,X
LISZJOT,O,O,X,X,O,X
LISZOTJ,O,O,X,X,O,X
LISZOJT,O,O,X,X,O,X
LISOTJZ,O,O,O,O,X,X
LISOTZJ,O,O,O,X,O,X
LISOJTZ,O,O,X,O,X,X
LISOJZT,O,O,X,O,O,X
LISOZTJ,O,O,X,X,O,X
LISOZJT,O,O,X,X,O,X
LIZTJSO,O,X,X,O,O,X
LIZTJOS,O,X,X,O,O,X
LIZTSJO,O,X,X,X,O,X
LIZTSOJ,O,X,X,X,O,X
LIZTOJS,O,X,X,O,O,X
LIZTOSJ,O,X,X,X,O,X
LIZJTSO,O,X,X,O,O,X
LIZJTOS,O,X,X,O,O,X
LIZJSTO,O,X,X,O,O,X
LIZJSOT,O,X,X,O,O,X
LIZJOTS,O,X,X,O,O,X
LIZJOST,O,X,X,O,O,X
LIZSTJO,X,O,X,X,O,X
LIZSTOJ,O,O,X,X,O,X
LIZSJTO,O,X,X,X,O,X
LIZSJOT,O,O,X,X,O,X
LIZSOTJ,O,O,X,X,O,X
LIZSOJT,O,O,X,X,O,X
LIZOTJS,O,X,X,O,O,X
LIZOTSJ,O,X,X,X,O,X
LIZOJTS,O,X,X,O,O,X
LIZOJST,O,X,X,O,O,X
LIZOSTJ,O,O,X,X,O,X
LIZOSJT,O,O,X,X,O,X
LIOTJSZ,O,O,O,O,X,X
LIOTJZS,O,X,X,O,X,X
LIOTSJZ,O,O,O,O,X,X
LIOTSZJ,O,O,O,X,O,X
LIOTZJS,O,X,X,O,O,X
LIOTZSJ,O,X,X,X,O,X
LIOJTSZ,O,O,X,O,X,X
LIOJTZS,O,X,X,O,X,X
LIOJSTZ,O,O,X,O,X,X
LIOJSZT,O,O,X,O,O,X
LIOJZTS,O,X,X,O,O,X
LIOJZST,O,X,X,O,O,X
LIOSTJZ,O,O,O,O,X,X
LIOSTZJ,O,O,O,X,O,X
LIOSJTZ,O,O,X,O,X,X
LIOSJZT,O,O,X,O,O,X
LIOSZTJ,O,O,X,X,O,X
LIOSZJT,O,O,X,X,O,X
LIOZTJS,O,X,X,O,O,X
LIOZTSJ,O,X,X,X,O,X
LIOZJTS,O,X,X,O,O,X
LIOZJST,O,X,X,O,O,X
LIOZSTJ,O,O,X,X,O,X
LIOZSJT,O,O,X,X,O,X
LJTISZO,X,O,O,O,X,X
LJTISOZ,X,O,O,O,X,X
LJTIZSO,X,X,X,O,X,X
LJTIZOS,X,X,X,O,X,X
LJTIOSZ,X,O,O,O,X,X
LJTIOZS,X,X,X,O,X,X
LJTSIZO,X,O,O,O,X,X
LJTSIOZ,X,O,O,O,X,X
LJTSZIO,X,O,O,O,X,X
LJTSZOI,X,O,O,O,X,X
LJTSOIZ,X,O,O,O,X,X
LJTSOZI,X,O,O,O,X,X
LJTZISO,X,X,X,O,X,X
LJTZIOS,X,X,X,O,X,X
LJTZSIO,X,X,O,O,X,X
LJTZSOI,X,X,O,O,X,X
LJTZOIS,X,X,X,O,X,X
LJTZOSI,X,X,O,O,X,X
LJTOISZ,X,O,O,O,X,X
LJTOIZS,X,X,X,O,X,X
LJTOSIZ,X,O,O,O,X,X
LJTOSZI,X,O,O,O,X,X
LJTOZIS,X,X,X,O,X,X
LJTOZSI,X,X,O,O,X,X
LJITSZO,O,O,X,O,X,X
LJITSOZ,O,O,X,O,X,X
LJITZSO,O,X,X,O,X,X
LJITZOS,O,X,X,O,X,X
LJITOSZ,O,O,X,O,X,X
LJITOZS,O,X,X,O,X,X
LJISTZO,O,O,X,O,X,X
LJISTOZ,O,O,X,O,X,X
LJISZTO,O,X,X,O,O,X
LJISZOT,O,O,X,O,O,X
LJISOTZ,O,O,X,O,X,X
LJISOZT,O,O,X,O,O,X
LJIZTSO,O,X,X,O,O,X
LJIZTOS,O,X,X,O,O,X
LJIZSTO,O,X,X,O,O,X
LJIZSOT,O,X,X,O,O,X
LJIZOTS,O,X,X,O,O,X
LJIZOST,O,X,X,O,O,X
LJIOTSZ,O,O,X,O,X,X
LJIOTZS,O,X,X,O,X,X
LJIOSTZ,O,O,X,O,X,X
LJIOSZT,O,O,X,O,O,X
LJIOZTS,O,X,X,O,O,X
LJIOZST,O,X,X,O,O,X
LJSTIZO,X,O,O,O,X,X
LJSTIOZ,X,O,O,O,X,X
LJSTZIO,X,O,O,O,X,X
LJSTZOI,X,O,O,O,X,X
LJSTOIZ,X,O,O,O,X,X
LJSTOZI,X,O,O,O,X,X
LJSITZO,O,O,X,O,X,X
LJSITOZ,O,O,X,O,X,X
LJSIZTO,O,X,X,O,O,X
LJSIZOT,O,O,X,O,O,X
LJSIOTZ,O,O,X,O,X,X
LJSIOZT,O,O,X,O,O,X
LJSZTIO,O,X,X,O,O,X
LJSZTOI,O,X,X,O,O,X
LJSZITO,O,X,X,O,O,X
LJSZIOT,O,O,X,O,O,X
LJSZOTI,O,X,X,O,O,X
LJSZOIT,O,O,X,O,O,X
LJSOTIZ,X,O,O,O,X,X
LJSOTZI,X,O,O,O,X,X
LJSOITZ,O,O,X,O,X,X
LJSOIZT,O,O,X,O,O,X
LJSOZTI,O,X,X,O,O,X
LJSOZIT,O,O,X,O,O,X
LJZTISO,O,X,X,O,O,X
LJZTIOS,O,X,X,O,O,X
LJZTSIO,O,X,X,O,O,X
LJZTSOI,O,X,X,O,O,X
LJZTOIS,O,X,X,O,O,X
LJZTOSI,O,X,X,O,O,X
LJZITSO,O,X,X,O,O,X
LJZITOS,O,X,X,O,O,X
LJZISTO,O,X,X,O,O,X
LJZISOT,O,X,X,O,O,X
LJZIOTS,O,X,X,O,O,X
LJZIOST,O,X,X,O,O,X
LJZSTIO,O,X,X,O,O,X
LJZSTOI,O,X,X,O,O,X
LJZSITO,O,X,X,O,O,X
LJZSIOT,O,X,X,O,O,X
LJZSOTI,O,X,X,O,O,X
LJZSOIT,O,X,X,O,O,X
LJZOTIS,O,X,X,O,O,X
LJZOTSI,O,X,X,O,O,X
LJZOITS,O,X,X,O,O,X
LJZOIST,O,X,X,O,O,X
LJZOSTI,O,X,X,O,O,X
LJZOSIT,O,X,X,O,O,X
LJOTISZ,X,O,O,O,X,X
LJOTIZS,X,X,X,O,X,X
LJOTSIZ,X,O,O,O,X,X
LJOTSZI,X,O,O,O,X,X
LJOTZIS,X,X,X,O,X,X
LJOTZSI,X,X,O,O,X,X
LJOITSZ,O,O,X,O,X,X
LJOITZS,O,X,X,O,X,X
LJOISTZ,O,O,X,O,X,X
LJOISZT,O,O,X,O,O,X
LJOIZTS,O,X,X,O,O,X
LJOIZST,O,X,X,O,O,X
LJOSTIZ,X,O,O,O,X,X
LJOSTZI,X,O,O,O,X,X
LJOSITZ,O,O,X,O,X,X
LJOSIZT,O,O,X,O,O,X
LJOSZTI,O,X,X,O,O,X
LJOSZIT,O,O,X,O,O,X
LJOZTIS,O,X,X,O,O,X
LJOZTSI,O,X,X,O,O,X
LJOZITS,O,X,X,O,O,X
LJOZIST,O,X,X,O,O,X
LJOZSTI,O,X,X,O,O,X
LJOZSIT,O,X,X,O,O,X
LSTIJZO,O,O,O,O,X,X
LSTIJOZ,O,O,O,O,X,O
LSTIZJO,O,O,O,X,O,X
LSTIZOJ,O,O,O,X,O,X
LSTIOJZ,O,O,O,O,X,O
LSTIOZJ,O,O,O,X,O,X
LSTJIZO,O,O,O,O,X,X
LSTJIOZ,O,O,O,O,X,O
LSTJZIO,O,O,O,O,X,X
LSTJZOI,O,O,O,O,X,X
LSTJOIZ,O,O,O,O,X,O
LSTJOZI,O,O,O,O,X,X
LSTZIJO,O,O,O,X,O,X
LSTZIOJ,O,O,O,X,O,X
LSTZJIO,O,O,O,X,O,X
LSTZJOI,O,O,O,X,O,X
LSTZOIJ,O,O,O,X,O,X
LSTZOJI,O,O,O,X,O,X
LSTOIJZ,O,O,O,O,X,O
LSTOIZJ,O,O,O,X,O,X
LSTOJIZ,O,O,O,O,X,O
LSTOJZI,O,O,O,O,X,X
LSTOZIJ,O,O,O,X,O,X
LSTOZJI,O,O,O,X,O,X
LSITJZO,O,O,O,O,X,X
LSITJOZ,O,O,O,O,X,X
LSITZJO,O,O,O,X,O,X
LSITZOJ,O,O,O,X,O,X
LSITOJZ,O,O,O,O,X,X
LSITOZJ,O,O,O,X,O,X
LSIJTZO,O,O,X,O,X,X
LSIJTOZ,O,O,X,O,X,X
LSIJZTO,O,X,X,O,O,X
LSIJZOT,O,O,X,O,O,X
LSIJOTZ,O,O,X,O,X,O
LSIJOZT,O,O,X,O,O,O
LSIZTJO,X,O,X,X,O,X
LSIZTOJ,O,O,X,X,O,X
LSIZJTO,X,X,X,X,O,X
LSIZJOT,O,O,X,X,O,X
LSIZOTJ,O,O,X,X,O,X
LSIZOJT,O,O,X,X,O,X
LSIOTJZ,O,O,O,O,X,X
LSIOTZJ,O,O,O,X,O,X
LSIOJTZ,O,O,X,O,X,O
LSIOJZT,O,O,X,O,O,O
LSIOZTJ,O,O,X,X,O,X
LSIOZJT,O,O,X,X,O,X
LSJTIZO,X,O,O,O,X,X
LSJTIOZ,X,O,O,O,X,O
LSJTZIO,X,O,O,O,X,X
LSJTZOI,X,O,O,O,X,X
LSJTOIZ,X,O,O,O,X,O
LSJTOZI,X,O,O,O,X,X
LSJITZO,O,O,X,O,X,X
LSJITOZ,O,O,X,O,X,X
LSJIZTO,O,X,X,O,O,X
LSJIZOT,O,O,X,O,O,X
LSJIOTZ,O,O,X,O,X,O
LSJIOZT,O,O,X,O,O,O
LSJZTIO,O,X,X,O,O,X
LSJZTOI,O,X,X,O,O,X
LSJZITO,O,X,X,O,O,X
LSJZIOT,O,O,X,O,O,X
LSJZOTI,O,X,X,O,O,X
LSJZOIT,O,O,X,O,O,X
LSJOTIZ,X,O,O,O,X,O
LSJOTZI,X,O,O,O,X,X
LSJOITZ,O,O,X,O,X,O
LSJOIZT,O,O,X,O,O,O
LSJOZTI,O,X,X,O,O,X
LSJOZIT,O,O,X,O,O,X
LSZTIJO,X,O,O,X,O,X
LSZTIOJ,O,O,O,X,O,X
LSZTJIO,X,O,O,X,O,X
LSZTJOI,X,O,O,X,O,X
LSZTOIJ,O,O,O,X,O,X
LSZTOJI,X,O,O,X,O,X
LSZITJO,X,O,X,X,O,X
LSZITOJ,O,O,X,X,O,X
LSZIJTO,X,X,X,X,O,X
LSZIJOT,O,O,X,X,O,X
LSZIOTJ,O,O,X,X,O,X
LSZIOJT,O,O,X,X,O,X
LSZJTIO,X,X,X,X,O,X
LSZJTOI,X,X,X,X,O,X
LSZJITO,X,X,X,X,O,X
LSZJIOT,O,O,X,X,O,X
LSZJOTI,X,X,X,X,O,X
LSZJOIT,O,O,X,X,O,X
LSZOTIJ,O,O,O,X,O,X
LSZOTJI,X,O,O,X,O,X
LSZOITJ,O,O,X,X,O,X
LSZOIJT,O,O,X,X,O,X
LSZOJTI,X,X,X,X,O,X
LSZOJIT,O,O,X,X,O,X
LSOTIJZ,O,O,O,O,X,O
LSOTIZJ,O,O,O,X,O,X
LSOTJIZ,O,O,O,O,X,O
LSOTJZI,O,O,O,O,X,X
LSOTZIJ,O,O,O,X,O,X
LSOTZJI,O,O,O,X,O,X
LSOITJZ,O,O,O,O,X,X
LSOITZJ,O,O,O,X,O,X
LSOIJTZ,O,O,X,O,X,O
LSOIJZT,O,O,X,O,O,O
LSOIZTJ,O,O,X,X,O,X
LSOIZJT,O,O,X,X,O,X
LSOJTIZ,X,O,O,O,X,O
LSOJTZI,X,O,O,O,X,X
LSOJITZ,O,O,X,O,X,O
LSOJIZT,O,O,X,O,O,O
LSOJZTI,O,X,X,O,O,X
LSOJZIT,O,O,X,O,O,X
LSOZTIJ,O,O,O,X,O,X
LSOZTJI,X,O,O,X,O,X
LSOZITJ,O,O,X,X,O,X
LSOZIJT,O,O,X,X,O,X
LSOZJTI,X,X,X,X,O,X
LSOZJIT,O,O,X,X,O,X
LZTIJSO,O,X,X,O,O,X
LZTIJOS,O,X,X,O,O,X
LZTISJO,O,X,X,X,O,X
LZTISOJ,O,X,X,X,O,X
LZTIOJS,O,X,X,O,O,X
LZTIOSJ,O,X,X,X,O,X
LZTJISO,O,X,X,O,O,X
LZTJIOS,O,X,X,O,O,X
LZTJSIO,O,X,O,O,O,X
LZTJSOI,O,X,O,O,O,X
LZTJOIS,O,X,X,O,O,X
LZTJOSI,O,X,O,O,O,X
LZTSIJO,O,X,O,X,O,X
LZTSIOJ,O,X,O,X,O,X
LZTSJIO,O,X,O,X,O,X
LZTSJOI,O,X,O,X,O,X
LZTSOIJ,O,X,O,X,O,X
LZTSOJI,O,X,O,X,O,X
LZTOIJS,O,X,X,O,O,X
LZTOISJ,O,X,X,X,O,X
LZTOJIS,O,X,X,O,O,X
LZTOJSI,O,X,O,O,O,X
LZTOSIJ,O,X,O,X,O,X
LZTOSJI,O,X,O,X,O,X
LZITJSO,O,X,X,O,O,X
LZITJOS,O,X,X,O,O,X
LZITSJO,O,X,X,X,O,X
LZITSOJ,O,X,X,X,O,X
LZITOJS,O,X,X,O,O,X
LZITOSJ,O,X,X,X,O,X
LZIJTSO,O,X,X,O,O,X
LZIJTOS,O,X,X,O,O,X
LZIJSTO,O,X,X,O,O,X
LZIJSOT,O,X,X,O,O,X
LZIJOTS,O,X,X,O,O,X
LZIJOST,O,X,X,O,O,X
LZISTJO,X,O,X,X,O,X
LZISTOJ,O,O,X,X,O,X
LZISJTO,O,X,X,X,O,X
LZISJOT,O,O,X,X,O,X
LZISOTJ,O,O,X,X,O,X
LZISOJT,O,O,X,X,O,X
LZIOTJS,O,X,X,O,O,X
LZIOTSJ,O,X,X,X,O,X
LZIOJTS,O,X,X,O,O,X
LZIOJST,O,X,X,O,O,X
LZIOSTJ,O,O,X,X,O,X
LZIOSJT,O,O,X,X,O,X
LZJTISO,O,X,X,O,O,X
LZJTIOS,O,X,X,O,O,X
LZJTSIO,O,X,X,O,O,X
LZJTSOI,O,X,X,O,O,X
LZJTOIS,O,X,X,O,O,X
LZJTOSI,O,X,X,O,O,X
LZJITSO,O,X,X,O,O,X
LZJITOS,O,X,X,O,O,X
LZJISTO,O,X,X,O,O,X
LZJISOT,O,X,X,O,O,X
LZJIOTS,O,X,X,O,O,X
LZJIOST,O,X,X,O,O,X
LZJSTIO,O,X,X,O,O,X
LZJSTOI,O,X,X,O,O,X
LZJSITO,O,X,X,O,O,X
LZJSIOT,O,X,X,O,O,X
LZJSOTI,O,X,X,O,O,X
LZJSOIT,O,X,X,O,O,X
LZJOTIS,O,X,X,O,O,X
LZJOTSI,O,X,X,O,O,X
LZJOITS,O,X,X,O,O,X
LZJOIST,O,X,X,O,O,X
LZJOSTI,O,X,X,O,O,X
LZJOSIT,O,X,X,O,O,X
LZSTIJO,X,O,O,X,O,X
LZSTIOJ,O,O,O,X,O,X
LZSTJIO,X,O,O,X,O,X
LZSTJOI,X,O,O,X,O,X
LZSTOIJ,O,O,O,X,O,X
LZSTOJI,X,O,O,X,O,X
LZSITJO,X,O,X,X,O,X
LZSITOJ,O,O,X,X,O,X
LZSIJTO,O,X,X,X,O,X
LZSIJOT,O,O,X,X,O,X
LZSIOTJ,O,O,X,X,O,X
LZSIOJT,O,O,X,X,O,X
LZSJTIO,O,X,X,X,O,X
LZSJTOI,O,X,X,X,O,X
LZSJITO,O,X,X,X,O,X
LZSJIOT,O,O,X,X,O,X
LZSJOTI,O,X,X,X,O,X
LZSJOIT,O,O,X,X,O,X
LZSOTIJ,O,O,O,X,O,X
LZSOTJI,X,O,O,X,O,X
LZSOITJ,O,O,X,X,O,X
LZSOIJT,O,O,X,X,O,X
LZSOJTI,O,X,X,X,O,X
LZSOJIT,O,O,X,X,O,X
LZOTIJS,O,X,X,O,O,X
LZOTISJ,O,X,X,X,O,X
LZOTJIS,O,X,X,O,O,X
LZOTJSI,O,X,O,O,O,X
LZOTSIJ,O,X,O,X,O,X
LZOTSJI,O,X,O,X,O,X
