sequence,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFmcBqiBTeBFhBUn?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFlcBGeBUhBKnBzi?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFXcBTeBCiB0iBer?BVxB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFTeB2nB0mB6nBFm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFGdBTeB3hBlnBir?B8qB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFSiBTeBUhBlnBmm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF6hBldBcjB/nB2r?BzqB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF8hBGeBamBziBVs?BXrB
ISLTZOJ,X,O,X,X,X,X,X,O
ISLTOJZ,O,O,X,X,X,X,X,O
ISLTOZJ,X,O,X,X,X,X,X,O
ISLJTZO,X,O,O,X,X,X,O,X
ISLJTOZ,X,O,O,X,X,X,X,X
ISLJZTO,X,O,X,X,X,X,O,X
ISLJZOT,X,O,X,X,X,X,O,X
ISLJOTZ,X,O,O,X,X,X,X,O
ISLJOZT,X,O,X,X,X,X,O,X
ISLZTJO,O,O,X,X,X,X,O,X
ISLZTOJ,O,O,X,X,X,X,X,X
ISLZJTO,X,O,X,X,X,X,O,X
ISLZJOT,O,O,X,X,X,X,O,X
ISLZOTJ,O,O,X,X,X,X,X,X
ISLZOJT,O,O,X,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,X,X,O
ISLOTZJ,X,O,X,X,X,X,X,O
ISLOJTZ,X,O,O,X,X,X,X,O
ISLOJZT,X,O,X,X,X,X,X,X
ISLOZTJ,O,O,X,X,X,X,X,X
ISLOZJT,O,O,X,X,X,X,X,X
ISJTLZO,X,X,O,X,X,X,O,X
ISJTLOZ,X,X,O,X,X,X,X,X
ISJTZLO,X,X,O,X,X,X,O,X
ISJTZOL,X,X,O,X,X,X,O,X
ISJTOLZ,X,X,O,X,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X,X
ISJLTZO,X,O,O,X,X,X,O,X
ISJLTOZ,X,O,O,X,X,X,X,X
ISJLZTO,X,O,X,X,X,X,O,X
ISJLZOT,X,O,X,X,X,X,O,X
ISJLOTZ,X,O,O,X,X,X,X,O
ISJLOZT,X,O,X,X,X,X,O,X
ISJZTLO,X,O,O,O,X,X,O,X
ISJZTOL,X,X,O,O,X,X,O,X
ISJZLTO,X,O,X,O,X,X,O,X
ISJZLOT,X,X,X,O,X,X,O,X
ISJZOTL,X,X,O,O,X,X,O,X
ISJZOLT,X,X,X,O,X,X,O,X
ISJOTLZ,X,X,O,X,X,X,X,X
ISJOTZL,X,X,O,X,X,X,X,X
ISJOLTZ,X,O,O,X,X,X,X,O
ISJOLZT,X,O,X,X,X,X,O,X
ISJOZTL,X,X,O,O,X,X,O,X
ISJOZLT,X,O,X,O,X,X,O,X
ISZTLJO,O,O,X,X,X,X,O,X
ISZTLOJ,O,O,X,X,X,O,X,X
ISZTJLO,O,O,X,X,X,X,O,X
ISZTJOL,X,X,X,X,X,X,O,X
ISZTOLJ,O,X,X,X,X,O,X,X
ISZTOJL,X,X,X,X,X,X,O,X
ISZLTJO,O,O,X,X,X,X,O,X
ISZLTOJ,O,O,X,X,X,X,X,X
ISZLJTO,X,O,X,X,X,X,O,X
ISZLJOT,O,X,X,X,X,X,O,X
ISZLOTJ,O,O,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,X
ISZJTLO,X,O,O,O,X,X,O,X
ISZJTOL,X,X,O,O,X,X,O,X
ISZJLTO,X,O,X,O,X,X,O,X
ISZJLOT,O,X,X,O,X,X,O,X
ISZJOTL,X,X,O,O,X,X,O,X
ISZJOLT,X,X,X,O,X,X,O,X
ISZOTLJ,O,X,X,X,X,O,X,X
ISZOTJL,X,X,X,X,X,X,O,X
ISZOLTJ,O,O,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,X
ISZOJTL,X,X,O,X,X,X,O,X
ISZOJLT,X,O,X,X,X,X,O,X
ISOTLJZ,O,X,X,X,X,O,X,X
ISOTLZJ,X,X,X,X,X,O,X,X
ISOTJLZ,X,X,O,X,X,O,X,X
ISOTJZL,X,X,O,X,X,O,X,X
ISOTZLJ,O,X,X,X,X,O,X,X
ISOTZJL,X,X,X,X,X,O,X,X
ISOLTJZ,O,O,X,X,X,X,X,O
ISOLTZJ,X,O,X,X,X,X,X,O
ISOLJTZ,X,O,O,X,X,X,X,O
ISOLJZT,X,O,X,X,X,X,X,X
ISOLZTJ,O,O,X,X,X,X,X,X
ISOLZJT,O,O,X,X,X,X,X,X
ISOJTLZ,X,X,O,X,X,X,X,X
ISOJTZL,X,X,O,X,X,X,X,X
ISOJLTZ,X,O,O,X,X,X,X,O
ISOJLZT,X,O,X,X,X,X,O,X
ISOJZTL,X,X,O,O,X,X,O,X
ISOJZLT,X,O,X,O,X,X,O,X
ISOZTLJ,O,X,X,X,X,O,X,X
ISOZTJL,X,X,X,X,X,X,O,X
ISOZLTJ,O,O,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X,X
ISOZJTL,X,X,O,X,X,X,O,X
ISOZJLT,X,O,X,X,X,X,O,X
IZTLJSO,O,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,O,X,X
IZTLSJO,O,O,X,X,X,X,O,X
IZTLSOJ,O,O,X,X,X,O,X,X
IZTLOJS,O,O,X,X,X,O,X,X
IZTLOSJ,O,O,X,X,X,O,X,X
IZTJLSO,O,O,O,O,X,X,O,X
IZTJLOS,O,O,O,O,X,O,X,X
IZTJSLO,O,O,O,O,X,X,O,X
IZTJSOL,X,X,O,O,X,X,O,X
IZTJOLS,O,O,O,O,X,O,X,X
IZTJOSL,X,X,O,O,X,X,X,X
IZTSLJO,O,O,X,X,X,O,O,X
IZTSLOJ,O,O,X,X,X,O,X,X
IZTSJLO,O,O,X,X,X,O,O,X
IZTSJOL,X,X,X,X,X,O,O,X
IZTSOLJ,O,X,X,X,X,O,X,X
IZTSOJL,X,X,X,X,X,O,O,X
IZTOLJS,O,O,X,X,X,O,X,X
IZTOLSJ,O,O,X,X,X,O,X,X
IZTOJLS,O,O,O,X,X,O,X,X
IZTOJSL,X,X,O,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,O,X,X
IZTOSJL,X,X,X,X,X,O,O,X
IZLTJSO,O,O,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,O,X,O
IZLTSJO,O,O,X,X,X,X,O,X
IZLTSOJ,O,O,X,X,X,O,X,O
IZLTOJS,O,O,X,X,X,O,X,O
IZLTOSJ,O,O,X,X,X,O,X,O
IZLJTSO,O,O,X,O,X,X,O,X
IZLJTOS,O,O,X,O,X,X,X,X
IZLJSTO,X,O,X,O,X,X,O,X
IZLJSOT,O,O,X,O,X,X,O,X
IZLJOTS,O,O,X,O,X,X,X,O
IZLJOST,O,O,X,O,X,X,O,X
IZLSTJO,O,O,X,X,X,X,O,X
IZLSTOJ,O,O,X,X,X,X,X,X
IZLSJTO,X,O,X,X,X,X,O,X
IZLSJOT,O,O,X,X,X,X,O,X
IZLSOTJ,O,O,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,O,X,O
IZLOTSJ,O,O,X,X,X,O,X,O
IZLOJTS,O,O,X,X,X,X,X,O
IZLOJST,O,O,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X
IZJTLSO,O,O,O,O,X,X,O,X
IZJTLOS,O,O,O,O,X,O,X,X
IZJTSLO,O,O,O,O,X,X,O,X
IZJTSOL,X,X,O,O,X,X,O,X
IZJTOLS,O,O,O,O,X,O,X,X
IZJTOSL,X,X,O,O,X,X,X,X
IZJLTSO,O,O,X,O,X,X,O,X
IZJLTOS,O,O,X,O,X,X,X,X
IZJLSTO,X,O,X,O,X,X,O,X
IZJLSOT,O,O,X,O,X,X,O,X
IZJLOTS,O,O,X,O,X,X,X,O
IZJLOST,O,O,X,O,X,X,O,X
IZJSTLO,X,O,O,O,X,X,O,X
IZJSTOL,X,X,O,O,X,X,O,X
IZJSLTO,X,O,X,O,X,X,O,X
IZJSLOT,O,X,X,O,X,X,O,X
IZJSOTL,X,X,O,O,X,X,O,X
IZJSOLT,X,X,X,O,X,X,O,X
IZJOTLS,O,O,O,O,X,O,X,X
IZJOTSL,X,X,O,O,X,X,X,X
IZJOLTS,O,O,X,O,X,X,X,O
IZJOLST,O,O,X,O,X,X,O,X
IZJOSTL,X,X,O,O,X,X,O,X
IZJOSLT,X,O,X,O,X,X,O,X
IZSTLJO,O,O,X,X,X,X,O,X
IZSTLOJ,O,O,X,X,X,O,X,X
IZSTJLO,O,O,X,X,X,X,O,X
IZSTJOL,X,X,X,X,X,X,O,X
IZSTOLJ,O,X,X,X,X,O,X,X
IZSTOJL,X,X,X,X,X,X,O,X
IZSLTJO,O,O,X,X,X,X,O,X
IZSLTOJ,O,O,X,X,X,X,X,X
IZSLJTO,X,O,X,X,X,X,O,X
IZSLJOT,O,X,X,X,X,X,O,X
IZSLOTJ,O,O,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X
IZSJTLO,X,O,O,O,X,X,O,X
IZSJTOL,X,X,O,O,X,X,O,X
IZSJLTO,X,O,X,O,X,X,O,X
IZSJLOT,O,X,X,O,X,X,O,X
IZSJOTL,X,X,O,O,X,X,O,X
IZSJOLT,X,X,X,O,X,X,O,X
IZSOTLJ,O,X,X,X,X,O,X,X
IZSOTJL,X,X,X,X,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X
IZSOJTL,X,X,O,X,X,X,O,X
IZSOJLT,X,O,X,X,X,X,O,X
IZOTLJS,O,O,X,X,X,O,X,X
IZOTLSJ,O,O,X,X,X,O,X,X
IZOTJLS,O,O,O,X,X,O,X,X
IZOTJSL,X,X,O,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,O,X,X
IZOTSJL,X,X,X,X,X,O,O,X
IZOLTJS,O,O,X,X,X,O,X,O
IZOLTSJ,O,O,X,X,X,O,X,O
IZOLJTS,O,O,X,X,X,X,X,O
IZOLJST,O,O,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X
IZOJTLS,O,O,O,O,X,O,X,X
IZOJTSL,X,X,O,O,X,X,X,X
IZOJLTS,O,O,X,O,X,X,X,O
IZOJLST,O,O,X,O,X,X,O,X
IZOJSTL,X,X,O,O,X,X,O,X
IZOJSLT,X,O,X,O,X,X,O,X
IZOSTLJ,O,X,X,X,X,O,X,X
IZOSTJL,X,X,X,X,X,X,O,X
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X
IZOSJTL,X,X,O,X,X,X,O,X
IZOSJLT,X,O,X,X,X,X,O,X
IOTLJSZ,O,O,O,X,O,X,X,O
IOTLJZS,O,O,O,X,X,O,X,O
IOTLSJZ,O,O,X,X,O,O,X,O
IOTLSZJ,X,O,X,X,O,O,X,O
IOTLZJS,O,O,X,X,X,O,X,O
IOTLZSJ,O,O,X,X,X,O,X,O
IOTJLSZ,O,O,O,X,O,X,X,O
IOTJLZS,O,O,O,X,X,O,X,O
IOTJSLZ,X,X,O,X,O,O,X,X
IOTJSZL,X,X,O,X,X,O,X,X
IOTJZLS,O,O,O,O,X,O,X,O
IOTJZSL,X,X,O,O,X,X,X,X
IOTSLJZ,O,X,X,X,O,O,X,X
IOTSLZJ,X,X,X,X,O,O,X,X
IOTSJLZ,X,X,O,X,O,O,X,X
IOTSJZL,X,X,O,X,X,O,X,X
IOTSZLJ,O,X,X,X,X,O,X,X
IOTSZJL,X,X,X,X,X,O,X,X
IOTZLJS,O,O,X,X,X,O,X,O
IOTZLSJ,O,O,X,X,X,O,X,O
IOTZJLS,O,O,O,X,X,O,X,O
IOTZJSL,X,X,O,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,O,X,X
IOTZSJL,X,X,X,X,X,O,X,X
IOLTJSZ,O,O,O,X,O,X,X,O
IOLTJZS,O,O,O,X,X,O,X,O
IOLTSJZ,O,O,X,X,O,O,X,O
IOLTSZJ,X,O,X,X,O,O,X,O
IOLTZJS,O,O,X,X,X,O,X,O
IOLTZSJ,O,O,X,X,X,O,X,O
IOLJTSZ,O,O,O,X,X,X,X,O
IOLJTZS,O,O,O,X,X,X,X,O
IOLJSTZ,X,O,O,X,X,X,X,O
IOLJSZT,X,O,X,X,X,X,X,X
IOLJZTS,O,O,X,O,X,X,X,O
IOLJZST,O,O,X,O,X,X,X,X
IOLSTJZ,O,O,X,X,X,X,X,O
IOLSTZJ,X,O,X,X,X,X,X,O
IOLSJTZ,X,O,O,X,X,X,X,O
IOLSJZT,X,O,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,O,X,O
IOLZTSJ,O,O,X,X,X,O,X,O
IOLZJTS,O,O,X,X,X,X,X,O
IOLZJST,O,O,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,X,X,X,O
IOJTLZS,O,O,O,X,X,O,X,O
IOJTSLZ,X,X,O,X,X,O,X,X
IOJTSZL,X,X,O,X,X,O,X,X
IOJTZLS,O,O,O,O,X,O,X,O
IOJTZSL,X,X,O,O,X,X,X,X
IOJLTSZ,O,O,O,X,X,X,X,O
IOJLTZS,O,O,O,X,X,X,X,O
IOJLSTZ,X,O,O,X,X,X,X,O
IOJLSZT,X,O,X,X,X,X,O,X
IOJLZTS,O,O,X,O,X,X,X,O
IOJLZST,O,O,X,O,X,X,O,X
IOJSTLZ,X,X,O,X,X,X,X,X
IOJSTZL,X,X,O,X,X,X,X,X
IOJSLTZ,X,O,O,X,X,X,X,O
IOJSLZT,X,O,X,X,X,X,O,X
IOJSZTL,X,X,O,O,X,X,O,X
IOJSZLT,X,O,X,O,X,X,O,X
IOJZTLS,O,O,O,O,X,O,X,X
IOJZTSL,X,X,O,O,X,X,X,X
IOJZLTS,O,O,X,O,X,X,X,O
IOJZLST,O,O,X,O,X,X,O,X
IOJZSTL,X,X,O,O,X,X,O,X
IOJZSLT,X,O,X,O,X,X,O,X
IOSTLJZ,O,X,X,X,X,O,X,X
IOSTLZJ,X,X,X,X,X,O,X,X
IOSTJLZ,X,X,O,X,X,O,X,X
IOSTJZL,X,X,O,X,X,O,X,X
IOSTZLJ,O,X,X,X,X,O,X,X
IOSTZJL,X,X,X,X,X,O,X,X
IOSLTJZ,O,O,X,X,X,X,X,O
IOSLTZJ,X,O,X,X,X,X,X,O
IOSLJTZ,X,O,O,X,X,X,X,O
IOSLJZT,X,O,X,X,X,X,X,X
IOSLZTJ,O,O,X,X,X,X,X,X
IOSLZJT,O,O,X,X,X,X,X,X
IOSJTLZ,X,X,O,X,X,X,X,X
IOSJTZL,X,X,O,X,X,X,X,X
IOSJLTZ,X,O,O,X,X,X,X,O
IOSJLZT,X,O,X,X,X,X,O,X
IOSJZTL,X,X,O,O,X,X,O,X
IOSJZLT,X,O,X,O,X,X,O,X
IOSZTLJ,O,X,X,X,X,O,X,X
IOSZTJL,X,X,X,X,X,X,O,X
IOSZLTJ,O,O,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,X
IOSZJTL,X,X,O,X,X,X,O,X
IOSZJLT,X,O,X,X,X,X,O,X
IOZTLJS,O,O,X,X,X,O,X,X
IOZTLSJ,O,O,X,X,X,O,X,X
IOZTJLS,O,O,O,X,X,O,X,X
IOZTJSL,X,X,O,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,O,X,X
IOZTSJL,X,X,X,X,X,O,O,X
IOZLTJS,O,O,X,X,X,O,X,O
IOZLTSJ,O,O,X,X,X,O,X,O
IOZLJTS,O,O,X,X,X,X,X,O
IOZLJST,O,O,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X
IOZJTLS,O,O,O,O,X,O,X,X
IOZJTSL,X,X,O,O,X,X,X,X
IOZJLTS,O,O,X,O,X,X,X,O
IOZJLST,O,O,X,O,X,X,O,X
IOZJSTL,X,X,O,O,X,X,O,X
IOZJSLT,X,O,X,O,X,X,O,X
IOZSTLJ,O,X,X,X,X,O,X,X
IOZSTJL,X,X,X,X,X,X,O,X
IOZSLTJ,O,O,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X
IOZSJTL,X,X,O,X,X,X,O,X
IOZSJLT,X,O,X,X,X,X,O,X
LTIJSZO,X,O,O,X,O,X,X,X
LTIJSOZ,O,O,O,X,O,X,X,X
LTIJZSO,O,O,O,X,X,X,X,X
LTIJZOS,O,O,O,X,X,O,X,O
LTIJOSZ,O,O,O,X,O,X,X,O
LTIJOZS,O,O,O,X,X,O,X,O
LTISJZO,X,O,X,X,O,O,X,X
LTISJOZ,O,O,X,X,O,O,X,X
LTISZJO,X,O,X,X,O,O,X,X
LTISZOJ,X,O,X,X,O,O,X,O
LTISOJZ,O,O,X,X,O,O,X,O
LTISOZJ,X,O,X,X,O,O,X,O
LTIZJSO,O,O,X,X,X,X,X,X
LTIZJOS,O,O,X,X,X,O,X,O
LTIZSJO,O,O,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,O,X,O
LTIZOJS,O,O,X,X,X,O,X,O
LTIZOSJ,O,O,X,X,X,O,X,O
LTIOJSZ,O,O,O,X,O,X,X,O
LTIOJZS,O,O,O,X,X,O,X,O
LTIOSJZ,O,O,X,X,O,O,X,O
LTIOSZJ,X,O,X,X,O,O,X,O
LTIOZJS,O,O,X,X,X,O,X,O
LTIOZSJ,O,O,X,X,X,O,X,O
LTJISZO,X,O,O,X,O,X,X,X
LTJISOZ,O,O,O,X,O,X,X,X
LTJIZSO,O,O,O,X,X,X,X,X
LTJIZOS,O,O,O,X,X,O,X,O
LTJIOSZ,O,O,O,X,O,X,X,O
LTJIOZS,O,O,O,X,X,O,X,O
LTJSIZO,X,O,O,X,O,X,X,X
LTJSIOZ,O,O,O,X,O,X,X,X
LTJSZIO,X,O,O,X,O,X,X,X
LTJSZOI,X,O,O,X,O,X,X,X
LTJSOIZ,O,O,O,X,O,X,X,X
LTJSOZI,X,X,O,X,O,X,X,X
LTJZISO,O,O,O,X,X,X,X,X
LTJZIOS,O,O,O,X,X,O,X,O
LTJZSIO,O,O,O,X,O,X,X,X
LTJZSOI,O,X,O,X,O,X,X,X
LTJZOIS,O,O,O,X,X,O,X,O
LTJZOSI,O,X,O,X,O,O,X,O
LTJOISZ,O,O,O,X,O,X,X,O
LTJOIZS,O,O,O,X,X,O,X,O
LTJOSIZ,O,O,O,X,O,X,X,O
LTJOSZI,X,X,O,X,O,X,X,O
LTJOZIS,O,O,O,X,X,O,X,O
LTJOZSI,X,X,O,X,O,O,X,O
LTSIJZO,X,O,X,X,O,O,X,X
LTSIJOZ,O,O,X,X,O,O,X,X
LTSIZJO,X,O,X,X,O,O,X,X
LTSIZOJ,X,O,X,X,O,O,X,O
LTSIOJZ,O,O,X,X,O,O,X,O
LTSIOZJ,X,O,X,X,O,O,X,O
LTSJIZO,X,O,X,X,O,O,X,X
LTSJIOZ,O,O,X,X,O,O,X,X
LTSJZIO,X,O,X,X,O,O,X,X
LTSJZOI,X,O,X,X,O,O,X,X
LTSJOIZ,O,O,X,X,O,O,X,X
LTSJOZI,X,O,X,X,O,O,X,X
LTSZIJO,X,O,X,X,O,O,X,X
LTSZIOJ,X,O,X,X,O,O,X,O
LTSZJIO,X,O,X,X,O,O,X,X
LTSZJOI,X,O,X,X,O,O,X,X
LTSZOIJ,X,O,X,X,O,O,X,O
LTSZOJI,X,O,X,X,O,O,X,O
LTSOIJZ,O,O,X,X,O,O,X,O
LTSOIZJ,X,O,X,X,O,O,X,O
LTSOJIZ,O,O,X,X,O,O,X,O
LTSOJZI,X,O,X,X,O,O,X,O
LTSOZIJ,X,O,X,X,O,O,X,O
LTSOZJI,X,O,X,X,O,O,X,O
LTZIJSO,O,O,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,O,X,O
LTZISJO,O,O,X,X,X,X,X,X
LTZISOJ,O,O,X,X,X,O,X,O
LTZIOJS,O,O,X,X,X,O,X,O
LTZIOSJ,O,O,X,X,X,O,X,O
LTZJISO,O,O,X,X,X,X,X,X
LTZJIOS,O,O,X,X,X,O,X,O
LTZJSIO,O,O,X,X,O,X,X,X
LTZJSOI,O,X,X,X,O,X,X,X
LTZJOIS,O,O,X,X,X,O,X,O
LTZJOSI,O,O,X,X,O,O,X,O
LTZSIJO,O,O,X,X,O,X,X,X
LTZSIOJ,O,O,X,X,O,O,X,O
LTZSJIO,O,O,X,X,O,X,X,X
LTZSJOI,O,X,X,X,O,X,X,X
LTZSOIJ,O,O,X,X,O,O,X,O
LTZSOJI,O,O,X,X,O,O,X,O
LTZOIJS,O,O,X,X,X,O,X,O
LTZOISJ,O,O,X,X,X,O,X,O
LTZOJIS,O,O,X,X,X,O,X,O
LTZOJSI,O,O,X,X,O,O,X,O
LTZOSIJ,O,O,X,X,O,O,X,O
LTZOSJI,O,O,X,X,O,O,X,O
LTOIJSZ,O,O,O,X,O,X,X,O
LTOIJZS,O,O,O,X,X,O,X,O
LTOISJZ,O,O,X,X,O,O,X,O
LTOISZJ,X,O,X,X,O,O,X,O
LTOIZJS,O,O,X,X,X,O,X,O
LTOIZSJ,O,O,X,X,X,O,X,O
LTOJISZ,O,O,O,X,O,X,X,O
LTOJIZS,O,O,O,X,X,O,X,O
LTOJSIZ,O,O,O,X,O,X,X,O
LTOJSZI,X,O,O,X,O,X,X,O
LTOJZIS,O,O,O,X,X,O,X,O
LTOJZSI,X,O,O,X,O,O,X,O
LTOSIJZ,O,O,X,X,O,O,X,O
LTOSIZJ,X,O,X,X,O,O,X,O
LTOSJIZ,O,O,X,X,O,O,X,O
LTOSJZI,X,O,X,X,O,O,X,O
LTOSZIJ,X,O,X,X,O,O,X,O
LTOSZJI,X,O,X,X,O,O,X,O
LTOZIJS,O,O,X,X,X,O,X,O
LTOZISJ,O,O,X,X,X,O,X,O
LTOZJIS,O,O,X,X,X,O,X,O
LTOZJSI,O,O,X,X,O,O,X,O
LTOZSIJ,O,O,X,X,O,O,X,O
LTOZSJI,O,O,X,X,O,O,X,O
LITJSZO,X,O,O,X,O,X,X,X
LITJSOZ,O,O,O,X,O,X,X,X
LITJZSO,O,O,O,X,X,X,X,X
LITJZOS,O,O,O,X,X,O,X,O
LITJOSZ,O,O,O,X,O,X,X,O
LITJOZS,O,O,O,X,X,O,X,O
LITSJZO,X,O,X,X,O,O,X,X
LITSJOZ,O,O,X,X,O,O,X,X
LITSZJO,X,O,X,X,O,O,X,X
LITSZOJ,X,O,X,X,O,O,X,O
LITSOJZ,O,O,X,X,O,O,X,O
LITSOZJ,X,O,X,X,O,O,X,O
LITZJSO,O,O,X,X,X,X,X,X
LITZJOS,O,O,X,X,X,O,X,O
LITZSJO,O,O,X,X,X,X,X,X
LITZSOJ,O,O,X,X,X,O,X,O
LITZOJS,O,O,X,X,X,O,X,O
LITZOSJ,O,O,X,X,X,O,X,O
LITOJSZ,O,O,O,X,O,X,X,O
LITOJZS,O,O,O,X,X,O,X,O
LITOSJZ,O,O,X,X,O,O,X,O
LITOSZJ,X,O,X,X,O,O,X,O
LITOZJS,O,O,X,X,X,O,X,O
LITOZSJ,O,O,X,X,X,O,X,O
LIJTSZO,X,O,O,X,X,X,O,X
LIJTSOZ,O,O,O,X,X,X,X,X
LIJTZSO,X,O,O,X,X,X,O,X
LIJTZOS,O,O,O,X,X,X,X,O
LIJTOSZ,O,O,O,X,X,X,X,O
LIJTOZS,O,O,O,X,X,X,X,O
LIJSTZO,X,O,O,X,X,X,O,X
LIJSTOZ,X,O,O,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,O,X
LIJSZOT,X,O,X,X,X,X,O,X
LIJSOTZ,X,O,O,X,X,X,X,O
LIJSOZT,X,O,X,X,X,X,O,X
LIJZTSO,O,O,X,O,X,X,O,X
LIJZTOS,O,O,X,O,X,X,X,X
LIJZSTO,X,O,X,O,X,X,O,X
LIJZSOT,O,O,X,O,X,X,O,X
LIJZOTS,O,O,X,O,X,X,X,O
LIJZOST,O,O,X,O,X,X,O,X
LIJOTSZ,O,O,O,X,X,X,X,O
LIJOTZS,O,O,O,X,X,X,X,O
LIJOSTZ,X,O,O,X,X,X,X,O
LIJOSZT,X,O,X,X,X,X,O,X
LIJOZTS,O,O,X,O,X,X,X,O
LIJOZST,O,O,X,O,X,X,O,X
LISTJZO,X,O,X,X,O,X,X,X
LISTJOZ,O,O,X,X,O,X,X,X
LISTZJO,X,O,X,X,O,X,X,X
LISTZOJ,X,O,X,X,O,X,X,O
LISTOJZ,O,O,X,X,O,X,X,O
LISTOZJ,X,O,X,X,O,X,X,O
LISJTZO,X,O,O,X,X,X,O,X
LISJTOZ,X,O,O,X,X,X,X,X
LISJZTO,X,O,X,X,X,X,O,X
LISJZOT,X,O,X,X,X,X,O,X
LISJOTZ,X,O,O,X,X,X,X,O
LISJOZT,X,O,X,X,X,X,O,X
LISZTJO,O,O,X,X,X,X,O,X
LISZTOJ,O,O,X,X,X,X,X,X
LISZJTO,X,O,X,X,X,X,O,X
LISZJOT,O,O,X,X,X,X,O,X
LISZOTJ,O,O,X,X,X,X,X,X
LISZOJT,O,O,X,X,X,X,X,X
LISOTJZ,O,O,X,X,X,X,X,O
LISOTZJ,X,O,X,X,X,X,X,O
LISOJTZ,X,O,O,X,X,X,X,O
LISOJZT,X,O,X,X,X,X,X,X
LISOZTJ,O,O,X,X,X,X,X,X
LISOZJT,O,O,X,X,X,X,X,X
LIZTJSO,O,O,X,X,X,X,X,X
LIZTJOS,O,O,X,X,X,O,X,O
LIZTSJO,O,O,X,X,X,X,O,X
LIZTSOJ,O,O,X,X,X,O,X,O
LIZTOJS,O,O,X,X,X,O,X,O
LIZTOSJ,O,O,X,X,X,O,X,O
LIZJTSO,O,O,X,O,X,X,O,X
LIZJTOS,O,O,X,O,X,X,X,X
LIZJSTO,X,O,X,O,X,X,O,X
LIZJSOT,O,O,X,O,X,X,O,X
LIZJOTS,O,O,X,O,X,X,X,O
LIZJOST,O,O,X,O,X,X,O,X
LIZSTJO,O,O,X,X,X,X,O,X
LIZSTOJ,O,O,X,X,X,X,X,X
LIZSJTO,X,O,X,X,X,X,O,X
LIZSJOT,O,O,X,X,X,X,O,X
LIZSOTJ,O,O,X,X,X,X,X,X
LIZSOJT,O,O,X,X,X,X,X,X
LIZOTJS,O,O,X,X,X,O,X,O
LIZOTSJ,O,O,X,X,X,O,X,O
LIZOJTS,O,O,X,X,X,X,X,O
LIZOJST,O,O,X,X,X,X,X,X
LIZOSTJ,O,O,X,X,X,X,X,X
LIZOSJT,O,O,X,X,X,X,X,X
LIOTJSZ,O,O,O,X,O,X,X,O
LIOTJZS,O,O,O,X,X,O,X,O
LIOTSJZ,O,O,X,X,O,O,X,O
LIOTSZJ,X,O,X,X,O,O,X,O
LIOTZJS,O,O,X,X,X,O,X,O
LIOTZSJ,O,O,X,X,X,O,X,O
LIOJTSZ,O,O,O,X,X,X,X,O
LIOJTZS,O,O,O,X,X,X,X,O
LIOJSTZ,X,O,O,X,X,X,X,O
LIOJSZT,X,O,X,X,X,X,X,X
LIOJZTS,O,O,X,O,X,X,X,O
LIOJZST,O,O,X,O,X,X,X,X
