sequence,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je37IvhFUdBFlBxmBu?kBCrBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFRcBcmBTiBX?lBllBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFTcB/iBOlBl?mBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBTiBUlBG?mBClBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhF0bBlcBTiB6?rBmqB/qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFKgBWhBTiBl?hB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBFgBTiBW?qBUmBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBukBFhBT?lBXrBCsB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFUcB/iBTgBl?mBRqBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBXhBzkBC?nBGlBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFlcBOlB/mBT?iBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFGgBSnBzkB8?qBlmB3rB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeG7IvhFUdBzfBSqBx?mB/mBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFzcBukB1lBS?nB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeU7IvhF/iBWlBlmBR?qBTrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgB0lBl?mBGqBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgBUgBl?mBzqBGrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeT8IvhF/iBCgBUgBl?mBRqBWwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFWlBxgBlmBz?kBUrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jez6IvhFShB/iBlmBR?qBGqBUrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF/iBSlBlmBc?mBzkBWwB
JZSOITL,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZSOILT,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOLIT,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOTISL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLIS,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOTLSI,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOTSIL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOITSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOILTS,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOILST,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOISTL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JZOISLT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOLTSI,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOLITS,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZOLIST,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOLSTI,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOLSIT,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOSTIL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JZOSTLI,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOSITL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JZOSILT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOSLTI,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOSLIT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTIZSL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTZISL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTZLSI,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTZSIL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZSLI,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITZSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZST,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOISTLZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOIZTLS,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOIZTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOIZLST,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOIZSTL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOIZSLT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLIZST,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLSTZI,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLSITZ,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOLZTSI,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOLZIST,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLZSTI,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLZSIT,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSTILZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOSTLZI,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSTZIL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOSLTZI,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLITZ,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSZTLI,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSZITL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSZILT,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSZLTI,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSZLIT,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZTILS,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZTISL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZTLIS,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZTLSI,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZTSIL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZTSLI,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZITLS,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZITSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZILTS,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZILST,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZISTL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZISLT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZLTIS,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZLTSI,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZLITS,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZLIST,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZLSTI,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZLSIT,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZSTIL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZSTLI,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZSITL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZSILT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZSLTI,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOZSLIT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
STILJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X
STILJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
STILZJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X
STILZOJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X
STILOJZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X
STILOZJ,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X
STIJLZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
STIJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
STIJZLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
STIJZOL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STIJOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
STIJOZL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STIZLJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STIZLOJ,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STIZJLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
STIZJOL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X
STIZOLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STIZOJL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STIOLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
STIOLZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STIOJLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X
STIOJZL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STIOZLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STIOZJL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLIJZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X
STLIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
STLIZJO,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,X
STLIZOJ,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X
STLIOJZ,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X
STLIOZJ,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X
STLJIZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,X
STLJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STLJZIO,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
STLJZOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJOIZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJOZI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLZIJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,O,X
STLZIOJ,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X
STLZJIO,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X
STLZJOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLZOIJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
STLZOJI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOIJZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,O,X
STLOIZJ,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X
STLOJIZ,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X
STLOJZI,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOZIJ,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
STLOZJI,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STJILZO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O
STJILOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O
STJIZLO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
STJIZOL,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STJIOLZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
STJIOZL,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STJLIZO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O
STJLIOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
STJLZIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
STJLZOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STJLOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STJLOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STJZILO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
STJZIOL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STJZLIO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
STJZLOI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STJZOIL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
STJZOLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOILZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STJOIZL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOLIZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STJOLZI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
STJOZIL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJOZLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STZILJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STZILOJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STZIJLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
STZIJOL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X
STZIOLJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STZIOJL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STZLIJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X
STZLIOJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
STZLJIO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
STZLJOI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STZLOIJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STZLOJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STZJILO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
STZJIOL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STZJLIO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
STZJLOI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STZJOIL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
STZJOLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STZOILJ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STZOIJL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STZOLIJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STZOLJI,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STZOJIL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
STZOJLI,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STOILJZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X
STOILZJ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X
STOIJLZ,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X
STOIJZL,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
STOIZLJ,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STOIZJL,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STOLIJZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X
STOLIZJ,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X,X,X
STOLJIZ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
STOLJZI,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STOLZIJ,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
STOLZJI,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STOJILZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STOJIZL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STOJLIZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
