sequence,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFmdBclBThBK?nBfoBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFRdBclB3hBa?oBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF/iBajBclBT?hB2sBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhFRdB/nBaoBT?lBOrB0rB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFSiBZjBclB3?hBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Je07IvhFlcB3dBeoBT?lBxmBirB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhF3dBZmBqrBe?tBUnBTqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFidBclBThBm?nB3nBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF2iBclBThB3?iBysBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeR9IvhF/nBaoBTlB0?mBFmBmqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel8IvhFajBUhBTiBO?lBfrBRxB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeX8IvhFFiB8nBxlBT?lBmnBirB
ITZOLSJ,O,O,X,X,O,X,X,X,O,X,X,X
ITZOJLS,O,O,O,X,O,X,X,O,O,X,X,X
ITZOJSL,X,X,O,X,O,X,X,O,X,X,X,X
ITZOSLJ,O,O,X,X,O,X,X,X,O,X,X,X
ITZOSJL,O,O,O,X,O,X,X,O,X,X,X,X
ITOLJSZ,X,O,X,O,X,X,O,X,X,X,X,X
ITOLJZS,X,O,X,O,O,X,O,X,O,X,X,X
ITOLSJZ,O,O,X,O,X,X,O,X,X,X,X,X
ITOLSZJ,O,O,X,O,O,X,X,X,X,X,O,X
ITOLZJS,O,O,X,O,O,X,O,X,O,X,X,X
ITOLZSJ,O,O,X,O,O,X,X,X,O,X,X,X
ITOJLSZ,X,X,X,O,X,X,O,X,X,X,X,X
ITOJLZS,X,X,X,O,O,X,O,O,X,X,X,X
ITOJSLZ,X,X,O,O,X,X,O,X,X,X,X,X
ITOJSZL,X,X,O,O,X,X,X,X,X,X,X,X
ITOJZLS,X,X,O,X,O,X,O,O,X,X,X,X
ITOJZSL,X,X,O,X,O,X,X,O,X,X,X,X
ITOSLJZ,X,O,X,O,X,X,O,X,X,X,X,X
ITOSLZJ,X,O,X,O,O,X,X,X,X,X,O,X
ITOSJLZ,X,X,X,O,X,X,O,X,X,X,X,X
ITOSJZL,X,O,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,O,O,X,X,X,X,X,O,X
ITOSZJL,X,O,X,O,O,X,X,X,X,X,O,X
ITOZLJS,O,O,O,X,O,X,O,O,O,X,X,X
ITOZLSJ,O,O,X,X,O,X,X,X,O,X,X,X
ITOZJLS,O,O,O,X,O,X,O,O,O,X,X,X
ITOZJSL,X,X,O,X,O,X,X,O,X,X,X,X
ITOZSLJ,O,O,X,X,O,X,X,X,O,X,X,X
ITOZSJL,X,O,O,X,O,X,X,O,X,X,X,X
ILTJSZO,X,O,X,X,X,X,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,X,X,O,X,X,X,X,X
ILTJZSO,X,O,X,X,X,X,O,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X,O,X,X,X
ILTJOSZ,X,X,X,O,X,X,O,X,X,X,X,X
ILTJOZS,X,X,X,O,X,X,X,X,O,X,X,X
ILTSJZO,O,O,X,X,X,X,O,X,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,O,X,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X,X,X,O
ILTSZOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILTSOJZ,O,X,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,O,X,X,X,X,X,O,O,X
ILTZJSO,O,O,X,X,X,X,O,X,X,X,X,O
ILTZJOS,X,O,X,X,O,X,X,X,O,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X,X,X,X,O
ILTZSOJ,O,O,X,O,X,X,X,X,O,X,X,O
ILTZOJS,O,O,X,O,O,X,X,X,O,X,X,X
ILTZOSJ,O,X,X,O,O,X,X,X,O,X,X,O
ILTOJSZ,X,O,X,O,X,X,O,X,X,X,X,X
ILTOJZS,X,O,X,O,O,X,X,X,O,X,X,X
ILTOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,X,O,O,X,X,X,X,O,O,X
ILTOZJS,O,O,X,O,O,X,X,X,O,X,X,X
ILTOZSJ,O,O,X,O,O,X,X,X,O,X,X,X
ILJTSZO,X,O,X,X,X,O,O,X,X,X,X,X
ILJTSOZ,X,X,X,O,X,O,O,X,X,X,X,X
ILJTZSO,X,O,X,X,X,O,O,O,X,X,X,X
ILJTZOS,X,O,X,X,X,O,X,O,O,X,X,X
ILJTOSZ,X,X,X,O,X,O,O,X,X,X,X,X
ILJTOZS,X,X,X,O,X,O,X,X,O,X,X,X
ILJSTZO,O,X,O,X,X,O,O,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,O,O,X,X,X,X,X
ILJSZTO,O,O,O,X,X,O,O,O,X,X,X,O
ILJSZOT,O,O,O,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,X,X,O,X,O,O,X,X,X,X,X
ILJSOZT,O,X,O,X,X,O,O,X,X,O,O,X
ILJZTSO,X,O,X,X,X,O,O,O,X,X,X,O
ILJZTOS,X,O,X,X,O,O,X,O,O,X,X,X
ILJZSTO,X,O,X,X,X,O,O,O,X,X,X,O
ILJZSOT,X,O,X,X,X,O,X,X,X,X,X,X
ILJZOTS,X,O,X,X,O,O,X,O,X,X,X,X
ILJZOST,X,O,X,X,O,O,X,X,X,X,X,X
ILJOTSZ,X,O,X,O,X,O,O,X,X,X,X,X
ILJOTZS,X,O,X,O,X,O,O,X,X,X,X,X
ILJOSTZ,X,X,X,O,X,O,O,X,X,X,X,X
ILJOSZT,X,O,X,X,X,O,O,X,X,O,O,X
ILJOZTS,X,O,X,O,X,O,O,O,X,X,X,X
ILJOZST,X,O,X,X,X,O,O,X,X,X,X,X
ILSTJZO,O,O,X,X,X,X,O,X,X,X,X,X
ILSTJOZ,O,X,X,O,X,X,O,X,X,X,X,X
ILSTZJO,O,O,X,X,X,X,X,X,X,X,X,O
ILSTZOJ,O,O,X,O,X,X,X,X,X,X,X,O
ILSTOJZ,O,X,X,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,X,X,X,X,O,O,X
ILSJTZO,O,X,X,X,X,X,O,X,X,X,X,X
ILSJTOZ,O,X,X,O,X,X,O,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,O,X,X,X,X,O
ILSJZOT,O,O,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,O,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X,X,X,X,O,O,X
ILSZTJO,O,X,X,X,X,X,X,X,X,X,X,O
ILSZTOJ,O,X,X,O,X,X,X,X,O,X,O,O
ILSZJTO,O,O,X,X,X,X,X,X,X,X,X,O
ILSZJOT,O,O,X,X,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,O,X,X,X,X,X,O,O,O
ILSZOJT,O,X,X,X,X,X,X,X,X,O,O,X
ILSOTJZ,X,O,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,X,O,X,O,X,X,X,X,X,O,O,X
ILSOJTZ,X,X,X,O,X,X,X,X,X,X,X,X
ILSOJZT,O,O,X,O,X,X,X,X,X,O,O,X
ILSOZTJ,X,O,X,O,X,X,X,X,X,O,O,O
ILSOZJT,X,O,X,X,X,X,X,X,X,O,O,X
ILZTJSO,O,O,O,X,X,O,O,O,X,X,X,O
ILZTJOS,X,O,X,X,O,O,X,O,O,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,X,X,X,O
ILZTSOJ,O,O,X,O,X,X,X,X,O,X,X,O
ILZTOJS,O,O,O,O,O,X,X,O,O,X,X,X
ILZTOSJ,O,X,X,O,O,X,X,X,O,X,X,O
ILZJTSO,X,O,X,X,X,O,O,O,X,X,X,O
ILZJTOS,X,O,X,X,O,O,X,O,O,X,X,X
ILZJSTO,O,O,O,X,X,O,O,O,X,X,X,O
ILZJSOT,O,O,O,X,X,O,X,X,X,X,X,X
ILZJOTS,X,O,X,X,O,O,X,O,X,X,X,X
ILZJOST,X,O,X,X,O,O,X,X,X,X,X,X
ILZSTJO,O,X,X,X,X,X,X,X,X,X,X,O
ILZSTOJ,O,X,X,O,X,X,X,X,O,X,X,O
ILZSJTO,O,O,X,X,X,X,X,X,X,X,X,O
ILZSJOT,O,O,X,X,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,X,O,X,X,X,X,X,O,O,O
ILZSOJT,O,X,X,X,X,X,X,X,X,O,O,X
ILZOTJS,X,O,X,O,O,X,X,X,O,X,X,X
ILZOTSJ,X,O,X,O,O,X,X,X,O,X,X,O
ILZOJTS,X,O,X,O,O,X,X,X,X,X,X,X
ILZOJST,X,O,X,X,O,X,X,X,X,X,X,X
ILZOSTJ,X,O,X,O,X,X,X,X,X,O,O,O
ILZOSJT,O,O,X,X,O,X,X,X,X,O,O,X
ILOTJSZ,X,O,X,O,X,X,O,X,X,X,X,X
ILOTJZS,X,O,X,O,O,X,O,X,X,X,X,X
ILOTSJZ,X,O,X,O,X,X,O,X,X,X,X,X
ILOTSZJ,X,O,X,O,O,X,X,X,X,O,O,X
ILOTZJS,X,O,X,O,O,X,O,X,X,X,X,X
ILOTZSJ,X,O,X,O,O,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,O,X,X,O,X,X,X,X,X
ILOJTZS,X,O,X,O,O,X,O,X,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,O,X,X,X,X,X
ILOJSZT,X,O,X,O,X,X,O,X,X,O,O,X
ILOJZTS,X,O,X,O,O,X,O,X,X,X,X,X
ILOJZST,X,O,X,X,O,X,O,X,X,X,X,X
ILOSTJZ,X,O,X,O,X,X,O,X,X,X,X,X
ILOSTZJ,X,O,X,O,O,X,X,X,X,O,O,X
ILOSJTZ,X,X,X,O,X,X,O,X,X,X,X,X
ILOSJZT,O,O,X,O,X,X,O,X,X,O,O,X
ILOSZTJ,X,O,X,O,X,X,X,X,X,O,O,O
ILOSZJT,X,O,X,X,O,X,X,X,X,O,O,X
ILOZTJS,X,O,X,O,O,X,O,X,O,X,X,X
ILOZTSJ,X,O,X,O,O,X,X,X,O,X,X,O
ILOZJTS,X,O,X,O,O,X,O,X,X,X,X,X
ILOZJST,X,O,X,X,O,X,O,X,X,X,X,X
ILOZSTJ,X,O,X,O,X,X,X,X,X,O,O,O
ILOZSJT,X,O,X,X,O,X,X,X,X,O,O,X
IJTLSZO,X,X,X,X,X,O,O,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,O,X,X,X,X,X
IJTLZSO,X,X,X,X,X,O,O,O,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,O,X,X,X,X
IJTLOSZ,X,X,X,X,X,X,O,X,X,X,X,X
IJTLOZS,X,X,X,X,X,X,X,O,X,X,X,X
IJTSLZO,X,X,O,X,X,O,O,X,X,X,X,X
IJTSLOZ,X,X,O,X,X,X,O,X,X,X,X,X
IJTSZLO,X,X,O,X,X,O,X,X,X,X,X,X
IJTSZOL,X,X,O,X,X,O,X,X,X,X,X,X
IJTSOLZ,X,X,O,X,X,X,X,X,X,X,X,X
IJTSOZL,X,X,O,X,X,O,X,X,X,X,X,X
IJTZLSO,X,X,O,X,X,O,O,O,X,X,X,X
IJTZLOS,X,X,X,X,O,X,X,O,X,X,X,X
IJTZSLO,X,X,O,X,X,O,X,O,X,X,X,X
IJTZSOL,X,X,O,X,O,O,X,X,X,X,X,X
IJTZOLS,X,X,O,X,O,X,X,O,X,X,X,X
IJTZOSL,X,X,O,X,O,O,X,O,X,X,X,X
IJTOLSZ,X,X,X,X,X,X,O,X,X,X,X,X
IJTOLZS,X,X,X,X,O,X,O,O,X,X,X,X
IJTOSLZ,X,X,O,X,X,X,O,X,X,X,X,X
IJTOSZL,X,X,O,X,X,O,X,X,X,X,X,X
IJTOZLS,X,X,O,X,O,X,O,O,X,X,X,X
IJTOZSL,X,X,O,X,O,O,X,O,X,X,X,X
IJLTSZO,X,X,X,X,X,O,O,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,O,X,X,X,X,X
IJLTZSO,X,O,X,X,X,O,O,O,X,X,X,X
IJLTZOS,X,O,X,X,X,O,X,O,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,O,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O,X,O,X,X,X,X
IJLSTZO,O,X,O,X,X,O,O,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,O,X,X,X,X,X
IJLSZTO,O,O,O,X,X,O,O,O,X,X,X,X
IJLSZOT,O,O,O,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,O,O,X,X,X,X,X
IJLSOZT,O,X,O,X,X,O,O,X,X,X,O,X
IJLZTSO,X,O,X,X,X,O,O,O,X,X,X,X
IJLZTOS,X,O,X,X,O,O,X,O,O,X,X,X
IJLZSTO,X,O,X,X,X,O,O,O,X,X,X,X
IJLZSOT,X,O,X,X,X,O,X,X,X,X,X,X
IJLZOTS,X,O,X,X,O,O,X,O,X,X,X,X
IJLZOST,X,O,X,X,O,O,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,O,O,X,X,X,X,X
IJLOTZS,X,X,X,X,X,O,O,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,O,O,X,X,X,X,X
IJLOSZT,X,X,X,X,X,O,O,X,X,X,O,X
IJLOZTS,X,O,X,X,X,O,O,O,X,X,X,X
IJLOZST,X,O,X,X,X,O,O,X,X,X,X,X
IJSTLZO,O,X,O,X,X,O,O,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,O,O,X,X,X,X,X
IJSTZLO,O,X,O,X,X,O,X,X,X,X,X,X
IJSTZOL,O,X,O,X,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X,X,X,X,X,X
IJSTOZL,X,X,O,X,X,O,X,X,X,X,X,X
IJSLTZO,O,X,O,X,X,O,O,X,X,X,X,X
IJSLTOZ,X,X,O,X,X,O,O,X,X,X,X,X
IJSLZTO,O,X,O,X,X,O,O,O,X,X,X,X
IJSLZOT,O,X,O,X,X,O,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,O,O,X,X,X,X,X
IJSLOZT,O,X,O,X,X,O,O,X,X,X,O,X
IJSZTLO,O,X,O,X,X,O,X,X,X,X,X,X
IJSZTOL,O,X,O,X,O,O,X,X,X,X,O,X
IJSZLTO,O,X,O,X,X,O,O,X,X,X,X,X
IJSZLOT,O,X,O,X,X,O,X,X,X,X,X,X
IJSZOTL,O,X,X,X,X,O,X,X,X,X,O,X
IJSZOLT,O,X,O,X,O,X,X,X,X,X,O,X
IJSOTLZ,X,X,X,X,X,O,O,X,X,X,X,X
IJSOTZL,X,X,X,X,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,O,O,X,X,X,X,X
IJSOLZT,O,X,O,X,X,O,O,X,X,X,O,X
IJSOZTL,O,X,X,X,X,O,X,X,X,X,O,X
IJSOZLT,O,X,X,X,X,O,O,X,X,X,O,X
IJZTLSO,O,O,O,X,X,O,O,O,X,X,X,X
IJZTLOS,X,O,X,X,O,X,X,O,O,X,X,X
IJZTSLO,O,O,O,X,X,O,X,O,X,X,X,X
IJZTSOL,O,O,O,X,O,O,X,X,X,X,X,X
IJZTOLS,O,O,O,X,O,X,X,O,O,X,X,X
IJZTOSL,X,X,O,X,O,O,X,O,X,X,X,X
IJZLTSO,X,O,X,X,X,O,O,O,X,X,X,X
IJZLTOS,X,O,X,X,O,O,X,O,O,X,X,X
IJZLSTO,O,O,O,X,X,O,O,O,X,X,X,X
IJZLSOT,O,O,O,X,X,O,X,X,X,X,X,X
IJZLOTS,X,O,X,X,O,O,X,O,X,X,X,X
IJZLOST,X,O,X,X,O,O,X,X,X,X,X,X
IJZSTLO,O,X,O,X,X,O,X,X,X,X,X,X
IJZSTOL,O,X,O,X,O,O,X,X,X,X,X,X
IJZSLTO,O,X,O,X,X,O,O,O,X,X,X,X
IJZSLOT,O,X,O,X,X,O,X,X,X,X,X,X
IJZSOTL,O,X,X,X,X,O,X,X,X,X,X,X
IJZSOLT,O,X,O,X,O,X,X,X,X,X,X,X
IJZOTLS,X,X,X,X,O,O,X,X,X,X,X,X
IJZOTSL,X,X,X,X,O,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,O,O,X,O,X,X,X,X
IJZOLST,X,O,X,X,O,O,X,X,X,X,X,X
IJZOSTL,X,X,X,X,X,O,X,X,X,X,X,X
IJZOSLT,X,X,O,X,O,O,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,O,O,X,X,X,X,X
IJOTLZS,X,X,X,X,O,O,O,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,O,O,X,X,X,X,X
IJOTSZL,X,X,X,X,X,O,X,X,X,X,X,X
IJOTZLS,X,X,X,X,O,O,O,X,X,X,X,X
IJOTZSL,X,X,X,X,O,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,O,O,X,X,X,X,X
IJOLTZS,X,X,X,X,O,O,O,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,O,O,X,X,X,X,X
IJOLSZT,X,X,X,X,X,O,O,X,X,X,O,X
IJOLZTS,X,X,X,X,O,O,O,O,X,X,X,X
IJOLZST,X,X,X,X,O,O,O,X,X,X,X,X
IJOSTLZ,X,X,X,X,X,O,O,X,X,X,X,X
IJOSTZL,X,X,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,O,O,X,X,X,X,X
IJOSLZT,X,X,O,X,X,O,O,X,X,X,O,X
IJOSZTL,X,X,X,X,X,O,X,X,X,X,O,X
IJOSZLT,X,X,X,X,X,O,O,X,X,X,O,X
IJOZTLS,X,X,X,X,O,O,O,X,X,X,X,X
IJOZTSL,X,X,X,X,O,O,X,X,X,X,X,X
IJOZLTS,X,X,X,X,O,O,O,X,X,X,X,X
IJOZLST,X,X,X,X,O,O,O,X,X,X,X,X
IJOZSTL,X,X,X,X,X,O,X,X,X,X,X,X
IJOZSLT,X,X,X,X,O,O,O,X,X,X,X,X
ISTLJZO,O,X,X,X,X,X,O,X,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,O,X,X,X,X,X
ISTLZJO,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,X,O,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,X,O,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,X,O,X,X,X,X,X,X,O,X
ISTJLZO,O,X,X,X,X,X,O,X,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,O,X,X,X,X,X
ISTJZLO,O,X,X,X,X,X,X,X,X,X,X,X
ISTJZOL,O,X,X,X,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,O,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,X,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,O,X,X,X,X,X,X,O,X
ISTZJLO,O,X,X,X,X,X,X,X,X,X,X,X
ISTZJOL,O,X,X,X,O,X,X,X,X,X,O,X
ISTZOLJ,O,X,X,O,O,X,X,X,X,X,O,X
ISTZOJL,O,X,X,O,O,X,X,X,X,X,O,X
ISTOLJZ,X,X,X,O,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,O,X,X,X,X,X,O,X
ISTOJLZ,X,X,X,O,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,O,O,X,X,X,X,X,O,X
ISTOZJL,X,X,X,O,O,X,X,X,X,X,O,X
ISLTJZO,O,X,X,X,X,X,O,X,X,X,X,X
ISLTJOZ,O,X,X,O,X,X,O,X,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,X,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,O,O,X
ISLJTZO,O,X,X,X,X,X,O,X,X,X,X,X
ISLJTOZ,O,X,X,O,X,X,O,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X,O,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,O,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X,O,O,X
ISLZTJO,O,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,O,X,X,X,X,O,X,O,X
ISLZJTO,O,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,X,X,X,X,X,O,O,X
ISLZOJT,O,X,X,X,X,X,X,X,X,O,O,X
ISLOTJZ,X,X,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,X,X,O,O,X
ISLOJTZ,X,X,X,O,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,O,X,X,X,X,X,O,O,X
ISLOZTJ,X,X,X,O,X,X,X,X,X,O,O,X
ISLOZJT,X,X,X,X,X,X,X,X,X,O,O,X
ISJTLZO,O,X,O,X,X,X,O,X,X,X,X,X
ISJTLOZ,O,X,X,O,X,X,O,X,X,X,X,X
ISJTZLO,O,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,X,X,X,X,X,X
ISJTOZL,X,X,X,O,X,X,X,X,X,X,X,X
ISJLTZO,O,X,O,X,X,X,O,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,O,X,X,X,X,X
ISJLZTO,O,X,O,X,X,X,O,O,X,X,X,X
ISJLZOT,O,X,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,O,X,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X,X,X,X,O,X
ISJZTLO,O,X,X,X,X,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,X,X,X,X,O,X
ISJZLTO,O,X,O,X,X,X,O,X,X,X,X,X
ISJZLOT,O,X,O,X,X,X,X,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X,X,X,X,O,X
ISJZOLT,O,X,X,X,O,X,X,X,X,X,O,X
ISJOTLZ,X,X,X,O,X,X,X,X,X,X,X,X
ISJOTZL,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,O,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X,X,X,X,O,X
ISJOZTL,O,X,X,X,X,X,X,X,X,X,O,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,O,X
ISZTLJO,O,X,X,X,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,O,X,X,X,X,O,X,O,X
ISZTJLO,O,X,O,X,X,X,X,O,X,X,X,X
ISZTJOL,O,X,O,X,O,X,X,X,X,X,O,X
ISZTOLJ,O,X,X,O,O,X,X,X,O,X,O,X
ISZTOJL,O,X,O,O,O,X,X,O,X,X,O,X
ISZLTJO,O,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X,O,X,O,X
ISZLJTO,O,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,X,X,X,X,X,O,X
ISZLOJT,O,X,X,X,X,X,X,X,X,X,O,X
ISZJTLO,O,X,O,X,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,O,X,X,X,X,X,O,X
ISZJLTO,O,X,O,X,X,X,X,O,X,X,X,X
ISZJLOT,O,X,O,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,X,X,X,O,X
ISZJOLT,O,X,O,X,O,X,X,X,X,X,O,X
ISZOTLJ,X,X,X,O,O,X,X,X,X,X,O,X
ISZOTJL,X,X,X,O,O,X,X,X,X,X,O,X
ISZOLTJ,X,X,X,X,X,X,X,X,X,X,O,X
ISZOLJT,O,X,X,X,O,X,X,X,X,X,O,X
ISZOJTL,O,X,X,X,X,X,X,X,X,X,O,X
ISZOJLT,O,X,X,X,O,X,X,X,X,X,O,X
ISOTLJZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,O,O,X,X,X,X,X,O,X
ISOTJLZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,O,O,X,X,X,X,X,O,X
ISOTZJL,X,X,X,O,O,X,X,X,X,X,O,X
ISOLTJZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,O,O,X,X,X,X,O,O,X
ISOLJTZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,O,X,X,X,X,X,O,O,X
ISOLZTJ,X,X,X,O,X,X,X,X,X,O,O,X
ISOLZJT,X,X,X,X,O,X,X,X,X,O,O,X
ISOJTLZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,O,X,X,X,X,X,X,O,X
ISOJZTL,O,X,X,O,X,X,X,X,X,X,O,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,O,X
ISOZTLJ,X,X,X,O,O,X,X,X,X,X,O,X
ISOZTJL,X,X,X,O,O,X,X,X,X,X,O,X
ISOZLTJ,X,X,X,X,X,X,X,X,X,O,O,X
ISOZLJT,X,X,X,X,O,X,X,X,X,O,O,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,O,X
ISOZJLT,X,X,X,X,O,X,X,X,X,X,O,X
IZTLJSO,O,O,O,X,X,O,O,O,X,X,X,X
IZTLJOS,X,O,X,X,O,O,X,O,O,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,O,X,X,X
IZTLOJS,O,O,O,X,O,X,X,O,O,X,X,X
IZTLOSJ,O,X,X,X,O,X,X,X,O,X,X,X
IZTJLSO,O,O,O,X,X,O,O,O,X,X,X,X
IZTJLOS,X,O,X,X,O,X,X,O,O,X,X,X
IZTJSLO,O,O,O,X,X,O,X,O,X,X,X,X
IZTJSOL,O,O,O,X,O,O,X,X,X,X,X,X
IZTJOLS,O,O,O,X,O,X,X,O,O,X,X,X
IZTJOSL,X,X,O,X,O,O,X,O,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X,X,O,X,X,X
IZTSJLO,O,O,O,X,X,X,X,O,X,X,X,X
IZTSJOL,O,O,O,X,O,X,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,O,X,X,X,O,X,X,X
IZTSOJL,O,O,O,X,O,X,X,O,X,X,X,X
IZTOLJS,O,O,O,X,O,O,X,O,O,X,X,X
IZTOLSJ,O,O,X,X,O,X,X,X,O,X,X,X
IZTOJLS,O,O,O,X,O,O,X,O,O,X,X,X
IZTOJSL,X,X,O,X,O,O,X,O,X,X,X,X
IZTOSLJ,O,O,X,X,O,X,X,X,O,X,X,X
IZTOSJL,O,O,O,X,O,X,X,O,X,X,X,X
