sequence,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFWhBxdB?0iB6oBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFCcBmdB?5jB0iBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFTcB/iB?ajB5jBlmB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhF/iBajB?5jBlmBuqBcrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFlcBajB?5jB/mBTnB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeC7IvhFlcBzdB?5jB/mB2sB0qB
JZLSTOI,X,X,O,X,X,O
JZLSITO,X,X,O,X,X,O
JZLSIOT,O,O,X,X,X,O
JZLSOTI,O,X,X,X,X,O
JZLSOIT,O,O,X,X,X,O
JZLOTIS,O,O,X,X,X,X
JZLOTSI,O,O,X,X,X,X
JZLOITS,O,O,X,X,X,X
JZLOIST,O,O,X,X,O,O
JZLOSTI,O,X,X,X,O,O
JZLOSIT,O,O,X,X,O,O
JZSTILO,X,O,O,X,X,O
JZSTIOL,X,O,O,X,O,O
JZSTLIO,X,O,O,X,X,O
JZSTLOI,X,O,O,X,X,O
JZSTOIL,X,O,O,X,O,O
JZSTOLI,X,O,O,X,O,O
JZSITLO,X,O,O,X,X,O
JZSITOL,X,O,O,X,O,O
JZSILTO,X,X,O,X,X,O
JZSILOT,X,O,X,X,X,O
JZSIOTL,X,O,X,X,O,O
JZSIOLT,X,O,X,X,O,O
JZSLTIO,X,X,O,X,X,O
JZSLTOI,X,X,O,X,X,O
JZSLITO,X,X,O,X,X,O
JZSLIOT,O,O,X,X,X,O
JZSLOTI,O,X,X,X,X,O
JZSLOIT,O,O,X,X,X,O
JZSOTIL,X,O,X,X,O,O
JZSOTLI,X,O,X,X,O,O
JZSOITL,X,O,X,X,O,O
JZSOILT,X,O,X,X,O,O
JZSOLTI,O,X,X,X,O,O
JZSOLIT,O,O,X,X,O,O
JZOTILS,O,O,X,X,X,X
JZOTISL,X,O,X,X,X,X
JZOTLIS,O,O,X,X,X,X
JZOTLSI,O,O,X,X,X,X
JZOTSIL,X,O,X,X,X,X
JZOTSLI,O,O,X,X,X,X
JZOITLS,X,O,X,X,X,X
JZOITSL,X,O,X,X,X,X
JZOILTS,O,O,X,X,X,X
JZOILST,O,O,X,X,O,O
JZOISTL,X,O,X,X,O,O
JZOISLT,X,O,X,X,O,O
JZOLTIS,O,O,X,X,X,X
JZOLTSI,O,O,X,X,X,X
JZOLITS,O,O,X,X,X,X
JZOLIST,O,O,X,X,O,O
JZOLSTI,O,X,X,X,O,O
JZOLSIT,O,O,X,X,O,O
JZOSTIL,X,O,X,X,O,O
JZOSTLI,X,O,X,X,O,O
JZOSITL,X,O,X,X,O,O
JZOSILT,X,O,X,X,O,O
JZOSLTI,O,X,X,X,O,O
JZOSLIT,O,O,X,X,O,O
JOTILSZ,X,X,O,X,O,O
JOTILZS,O,O,X,X,X,X
JOTISLZ,X,X,O,O,O,O
JOTISZL,X,X,O,X,O,O
JOTIZLS,O,O,X,X,X,X
JOTIZSL,X,O,O,X,X,X
JOTLISZ,X,X,O,X,O,O
JOTLIZS,O,O,X,X,X,X
JOTLSIZ,X,X,O,X,O,O
JOTLSZI,O,X,O,X,O,O
JOTLZIS,O,O,X,X,X,X
JOTLZSI,O,O,X,X,X,X
JOTSILZ,X,X,O,O,O,O
JOTSIZL,X,X,O,X,O,O
JOTSLIZ,X,X,O,O,O,O
JOTSLZI,O,X,O,X,O,O
JOTSZIL,X,X,O,X,O,O
JOTSZLI,O,X,O,X,O,O
JOTZILS,O,O,X,X,X,X
JOTZISL,X,O,O,X,X,X
JOTZLIS,O,O,X,X,X,X
JOTZLSI,O,O,X,X,X,X
JOTZSIL,X,O,O,X,X,X
JOTZSLI,O,O,O,X,X,X
JOITLSZ,X,X,O,X,O,O
JOITLZS,X,O,X,X,X,X
JOITSLZ,X,X,O,O,O,O
JOITSZL,X,X,O,X,O,O
JOITZLS,X,O,X,X,X,X
JOITZSL,X,O,O,X,X,X
JOILTSZ,X,X,X,X,O,O
JOILTZS,O,O,X,X,X,X
JOILSTZ,X,X,O,O,O,O
JOILSZT,X,X,X,X,O,O
JOILZTS,O,O,X,X,X,X
JOILZST,O,O,X,X,O,O
JOISTLZ,X,X,O,O,O,O
JOISTZL,X,X,O,X,O,O
JOISLTZ,X,X,O,O,O,O
JOISLZT,X,X,X,X,O,O
JOISZTL,X,X,X,X,O,O
JOISZLT,X,X,X,X,O,O
JOIZTLS,X,O,X,X,X,X
JOIZTSL,X,O,X,X,X,X
JOIZLTS,O,O,X,X,X,X
JOIZLST,O,O,X,X,O,O
JOIZSTL,X,O,X,X,O,O
JOIZSLT,X,O,X,X,O,O
JOLTISZ,X,X,X,X,O,O
JOLTIZS,O,O,X,X,X,X
JOLTSIZ,X,X,X,X,O,O
JOLTSZI,O,X,X,X,O,O
JOLTZIS,O,O,X,X,X,X
JOLTZSI,O,O,X,X,X,X
JOLITSZ,X,X,X,X,O,O
JOLITZS,O,O,X,X,X,X
JOLISTZ,X,X,O,O,O,O
JOLISZT,X,X,X,X,O,O
JOLIZTS,O,O,X,X,X,X
JOLIZST,O,O,X,X,O,O
JOLSTIZ,X,X,O,O,O,O
JOLSTZI,O,X,O,X,O,O
JOLSITZ,X,X,O,O,O,O
JOLSIZT,X,X,X,X,O,O
JOLSZTI,O,X,X,X,O,O
JOLSZIT,O,X,X,X,O,O
JOLZTIS,O,O,X,X,X,X
JOLZTSI,O,X,X,X,X,X
JOLZITS,O,O,X,X,X,X
JOLZIST,O,O,X,X,O,O
JOLZSTI,O,X,X,X,O,O
JOLZSIT,O,O,X,X,O,O
JOSTILZ,X,X,O,O,O,O
JOSTIZL,X,X,O,X,O,O
JOSTLIZ,X,X,O,O,O,O
JOSTLZI,X,X,O,X,O,O
JOSTZIL,X,X,O,X,O,O
JOSTZLI,X,X,O,X,O,O
JOSITLZ,X,X,O,O,O,O
JOSITZL,X,X,O,X,O,O
JOSILTZ,X,X,O,O,O,O
JOSILZT,X,X,X,X,O,O
JOSIZTL,X,X,X,X,O,O
JOSIZLT,X,X,X,X,O,O
JOSLTIZ,X,X,O,O,O,O
JOSLTZI,O,X,O,X,O,O
JOSLITZ,X,X,O,O,O,O
JOSLIZT,X,X,X,X,O,O
JOSLZTI,O,X,X,X,O,O
JOSLZIT,O,X,X,X,O,O
JOSZTIL,X,X,X,X,O,O
JOSZTLI,X,X,X,X,O,O
JOSZITL,X,X,X,X,O,O
JOSZILT,X,X,X,X,O,O
JOSZLTI,O,X,X,X,O,O
JOSZLIT,O,X,X,X,O,O
JOZTILS,O,O,X,X,X,X
JOZTISL,X,O,X,X,X,X
JOZTLIS,O,O,X,X,X,X
JOZTLSI,O,O,X,X,X,X
JOZTSIL,X,O,X,X,X,X
JOZTSLI,O,O,X,X,X,X
JOZITLS,X,O,X,X,X,X
JOZITSL,X,O,X,X,X,X
JOZILTS,O,O,X,X,X,X
JOZILST,O,O,X,X,O,O
JOZISTL,X,O,X,X,O,O
JOZISLT,X,O,X,X,O,O
JOZLTIS,O,O,X,X,X,X
JOZLTSI,O,O,X,X,X,X
JOZLITS,O,O,X,X,X,X
JOZLIST,O,O,X,X,O,O
JOZLSTI,O,X,X,X,O,O
JOZLSIT,O,O,X,X,O,O
JOZSTIL,X,O,X,X,O,O
JOZSTLI,X,O,X,X,O,O
JOZSITL,X,O,X,X,O,O
JOZSILT,X,O,X,X,O,O
JOZSLTI,O,X,X,X,O,O
JOZSLIT,O,O,X,X,O,O
STILJZO,X,X,O,O,X,O
STILJOZ,X,X,O,O,O,O
STILZJO,X,O,O,O,X,O
STILZOJ,X,O,O,O,X,X
STILOJZ,X,X,O,O,O,O
STILOZJ,X,O,O,O,O,X
STIJLZO,X,X,O,O,X,O
STIJLOZ,X,X,O,O,O,O
STIJZLO,X,X,O,X,X,O
STIJZOL,X,X,O,X,O,O
STIJOLZ,X,X,O,O,O,O
STIJOZL,X,X,O,X,O,O
STIZLJO,X,O,O,O,X,O
STIZLOJ,X,O,O,O,X,X
STIZJLO,X,O,O,X,X,O
STIZJOL,X,O,O,X,O,O
STIZOLJ,X,O,O,O,O,X
STIZOJL,X,O,O,X,O,X
STIOLJZ,X,X,O,O,O,O
STIOLZJ,X,O,O,O,O,X
STIOJLZ,X,X,O,O,O,O
STIOJZL,X,X,O,X,O,O
STIOZLJ,X,O,O,O,O,X
STIOZJL,X,O,O,X,O,X
STLIJZO,X,X,O,O,X,O
STLIJOZ,X,X,O,O,O,O
STLIZJO,X,O,O,O,X,O
STLIZOJ,X,O,O,O,X,X
STLIOJZ,X,X,O,O,O,O
STLIOZJ,X,O,O,O,O,X
STLJIZO,X,X,O,O,X,O
STLJIOZ,X,X,O,O,O,O
STLJZIO,O,X,O,X,X,O
STLJZOI,O,X,O,X,X,O
STLJOIZ,X,X,O,O,O,O
STLJOZI,O,X,O,X,O,O
STLZIJO,O,O,O,O,X,O
STLZIOJ,O,O,O,O,X,X
STLZJIO,O,O,O,X,X,O
STLZJOI,O,O,O,X,X,O
STLZOIJ,O,O,O,O,X,X
STLZOJI,O,O,O,X,X,X
STLOIJZ,X,X,O,O,O,O
STLOIZJ,X,O,O,O,O,X
STLOJIZ,X,X,O,O,O,O
STLOJZI,O,X,O,X,O,O
STLOZIJ,O,O,O,O,O,X
STLOZJI,O,O,O,X,O,X
STJILZO,X,X,O,O,X,O
STJILOZ,X,X,O,O,O,O
STJIZLO,X,X,O,X,X,O
STJIZOL,X,X,O,X,O,O
STJIOLZ,X,X,O,O,O,O
STJIOZL,X,X,O,X,O,O
STJLIZO,X,X,O,O,X,O
STJLIOZ,X,X,O,O,O,O
STJLZIO,O,X,O,X,X,O
STJLZOI,O,X,O,X,X,O
STJLOIZ,X,X,O,O,O,O
STJLOZI,O,X,O,X,O,O
STJZILO,X,X,O,X,X,O
STJZIOL,X,X,O,X,O,O
STJZLIO,O,X,O,X,X,O
STJZLOI,O,X,O,X,X,O
STJZOIL,X,X,O,X,O,O
STJZOLI,O,X,O,X,O,O
STJOILZ,X,X,O,O,O,O
STJOIZL,X,X,O,X,O,O
STJOLIZ,X,X,O,O,O,O
STJOLZI,O,X,O,X,O,O
STJOZIL,X,X,O,X,O,O
STJOZLI,O,X,O,X,O,O
STZILJO,X,O,O,O,X,O
STZILOJ,X,O,O,O,X,X
STZIJLO,X,O,O,X,X,O
STZIJOL,X,O,O,X,O,O
STZIOLJ,X,O,O,O,O,X
STZIOJL,X,O,O,X,O,X
STZLIJO,O,O,O,O,X,O
STZLIOJ,O,O,O,O,X,X
STZLJIO,O,O,O,X,X,O
STZLJOI,O,O,O,X,X,O
STZLOIJ,O,O,O,O,X,X
STZLOJI,O,O,O,X,X,X
STZJILO,X,O,O,X,X,O
STZJIOL,X,O,O,X,O,O
STZJLIO,O,O,O,X,X,O
STZJLOI,O,O,O,X,X,O
STZJOIL,X,O,O,X,O,O
STZJOLI,O,O,O,X,O,O
STZOILJ,X,O,O,O,O,X
STZOIJL,X,O,O,X,O,X
STZOLIJ,O,O,O,O,O,X
STZOLJI,O,O,O,X,O,X
STZOJIL,X,O,O,X,O,X
STZOJLI,O,O,O,X,O,X
STOILJZ,X,X,O,O,O,O
STOILZJ,X,O,O,O,O,X
STOIJLZ,X,X,O,O,O,O
STOIJZL,X,X,O,X,O,O
STOIZLJ,X,O,O,O,O,X
STOIZJL,X,O,O,X,O,X
STOLIJZ,X,X,O,O,O,O
STOLIZJ,X,O,O,O,O,X
STOLJIZ,X,X,O,O,O,O
STOLJZI,O,X,O,X,O,O
STOLZIJ,O,O,O,O,O,X
STOLZJI,O,O,O,X,O,X
STOJILZ,X,X,O,O,O,O
STOJIZL,X,X,O,X,O,O
STOJLIZ,X,X,O,O,O,O
STOJLZI,O,X,O,X,O,O
STOJZIL,X,X,O,X,O,O
STOJZLI,O,X,O,X,O,O
STOZILJ,X,O,O,O,O,X
STOZIJL,X,O,O,X,O,X
STOZLIJ,O,O,O,O,O,X
STOZLJI,O,O,O,X,O,X
STOZJIL,X,O,O,X,O,X
STOZJLI,O,O,O,X,O,X
SITLJZO,X,X,O,O,X,O
SITLJOZ,X,X,O,O,O,O
SITLZJO,X,O,O,O,X,O
SITLZOJ,X,O,O,O,X,X
SITLOJZ,X,X,O,O,O,O
SITLOZJ,X,O,O,O,O,X
SITJLZO,X,X,O,O,X,O
SITJLOZ,X,X,O,O,O,O
SITJZLO,X,X,O,X,X,O
SITJZOL,X,X,O,X,O,O
SITJOLZ,X,X,O,O,O,O
SITJOZL,X,X,O,X,O,O
SITZLJO,X,O,O,O,X,O
SITZLOJ,X,O,O,O,X,X
SITZJLO,X,O,O,X,X,O
SITZJOL,X,O,O,X,O,O
SITZOLJ,X,O,O,O,O,X
SITZOJL,X,O,O,X,O,X
SITOLJZ,X,X,O,O,O,O
SITOLZJ,X,O,O,O,O,X
SITOJLZ,X,X,O,O,O,O
SITOJZL,X,X,O,X,O,O
SITOZLJ,X,O,O,O,O,X
SITOZJL,X,O,O,X,O,X
SILTJZO,X,X,O,O,X,O
SILTJOZ,X,X,O,O,O,O
SILTZJO,X,O,O,O,X,O
SILTZOJ,X,O,O,O,X,X
SILTOJZ,X,X,O,O,O,O
SILTOZJ,X,O,O,O,O,X
SILJTZO,X,X,O,O,X,O
SILJTOZ,X,X,O,O,O,O
SILJZTO,X,X,O,X,X,O
SILJZOT,X,X,X,X,X,O
SILJOTZ,X,X,O,O,O,O
SILJOZT,X,X,X,X,O,O
SILZTJO,X,X,O,O,X,O
SILZTOJ,X,X,O,O,X,X
SILZJTO,X,X,O,X,X,O
SILZJOT,X,O,X,X,X,O
SILZOTJ,X,X,X,O,X,X
SILZOJT,X,O,X,X,X,X
SILOTJZ,X,X,O,O,O,O
SILOTZJ,X,O,O,O,O,X
SILOJTZ,X,X,O,O,O,O
SILOJZT,X,X,X,X,O,O
SILOZTJ,X,X,X,O,O,X
SILOZJT,X,O,X,X,O,X
SIJTLZO,X,X,O,O,X,O
SIJTLOZ,X,X,O,O,O,O
SIJTZLO,X,X,O,X,X,O
SIJTZOL,X,X,O,X,O,O
SIJTOLZ,X,X,O,O,O,O
SIJTOZL,X,X,O,X,O,O
SIJLTZO,X,X,O,O,X,O
SIJLTOZ,X,X,O,O,O,O
SIJLZTO,X,X,O,X,X,O
SIJLZOT,X,X,X,X,X,O
SIJLOTZ,X,X,O,O,O,O
SIJLOZT,X,X,X,X,O,O
SIJZTLO,X,X,O,X,X,O
SIJZTOL,X,X,O,X,O,O
SIJZLTO,X,X,O,X,X,O
SIJZLOT,X,X,X,X,X,O
SIJZOTL,X,X,X,X,O,O
SIJZOLT,X,X,X,X,O,O
SIJOTLZ,X,X,O,O,O,O
SIJOTZL,X,X,O,X,O,O
SIJOLTZ,X,X,O,O,O,O
SIJOLZT,X,X,X,X,O,O
SIJOZTL,X,X,X,X,O,O
SIJOZLT,X,X,X,X,O,O
SIZTLJO,X,O,O,O,X,O
SIZTLOJ,X,O,O,O,X,X
SIZTJLO,X,O,O,X,X,O
SIZTJOL,X,O,O,X,O,O
SIZTOLJ,X,O,O,O,O,X
SIZTOJL,X,O,O,X,O,X
SIZLTJO,X,X,O,O,X,O
SIZLTOJ,X,X,O,O,X,X
SIZLJTO,X,X,O,X,X,O
SIZLJOT,X,O,X,X,X,O
SIZLOTJ,X,X,X,O,X,X
SIZLOJT,X,O,X,X,X,X
SIZJTLO,X,O,O,X,X,O
SIZJTOL,X,O,O,X,O,O
SIZJLTO,X,X,O,X,X,O
SIZJLOT,X,O,X,X,X,O
SIZJOTL,X,O,X,X,O,O
SIZJOLT,X,O,X,X,O,O
SIZOTLJ,X,O,X,O,O,X
SIZOTJL,X,O,X,X,O,X
SIZOLTJ,X,X,X,O,O,X
SIZOLJT,X,O,X,X,O,X
SIZOJTL,X,O,X,X,O,X
SIZOJLT,X,O,X,X,O,X
SIOTLJZ,X,X,O,O,O,O
SIOTLZJ,X,O,O,O,O,X
SIOTJLZ,X,X,O,O,O,O
SIOTJZL,X,X,O,X,O,O
SIOTZLJ,X,O,O,O,O,X
SIOTZJL,X,O,O,X,O,X
SIOLTJZ,X,X,O,O,O,O
SIOLTZJ,X,O,O,O,O,X
SIOLJTZ,X,X,O,O,O,O
SIOLJZT,X,X,X,X,O,O
SIOLZTJ,X,X,X,O,O,X
SIOLZJT,X,O,X,X,O,X
SIOJTLZ,X,X,O,O,O,O
SIOJTZL,X,X,O,X,O,O
SIOJLTZ,X,X,O,O,O,O
SIOJLZT,X,X,X,X,O,O
SIOJZTL,X,X,X,X,O,O
SIOJZLT,X,X,X,X,O,O
SIOZTLJ,X,O,X,O,O,X
SIOZTJL,X,O,X,X,O,X
SIOZLTJ,X,X,X,O,O,X
SIOZLJT,X,O,X,X,O,X
SIOZJTL,X,O,X,X,O,X
SIOZJLT,X,O,X,X,O,X
SLTIJZO,X,X,O,O,X,O
SLTIJOZ,X,X,O,O,O,O
SLTIZJO,X,O,O,O,X,O
SLTIZOJ,X,O,O,O,X,X
SLTIOJZ,X,X,O,O,O,O
SLTIOZJ,X,O,O,O,O,X
SLTJIZO,X,X,O,O,X,O
SLTJIOZ,X,X,O,O,O,O
SLTJZIO,O,X,O,X,X,O
SLTJZOI,O,X,O,X,X,O
SLTJOIZ,X,X,O,O,O,O
SLTJOZI,O,X,O,X,O,O
SLTZIJO,O,O,O,O,X,O
SLTZIOJ,O,O,O,O,X,X
SLTZJIO,O,O,O,X,X,O
SLTZJOI,O,O,O,X,X,O
SLTZOIJ,O,O,O,O,X,X
SLTZOJI,O,O,O,X,X,X
SLTOIJZ,X,X,O,O,O,O
SLTOIZJ,X,O,O,O,O,X
SLTOJIZ,X,X,O,O,O,O
SLTOJZI,O,X,O,X,O,O
SLTOZIJ,O,O,O,O,O,X
SLTOZJI,O,O,O,X,O,X
SLITJZO,X,X,O,O,X,O
SLITJOZ,X,X,O,O,O,O
SLITZJO,X,O,O,O,X,O
SLITZOJ,X,O,O,O,X,X
SLITOJZ,X,X,O,O,O,O
SLITOZJ,X,O,O,O,O,X
SLIJTZO,X,X,O,O,X,O
SLIJTOZ,X,X,O,O,O,O
SLIJZTO,X,X,O,X,X,O
SLIJZOT,X,X,X,X,X,O
SLIJOTZ,X,X,O,O,O,O
SLIJOZT,X,X,X,X,O,O
SLIZTJO,O,X,O,O,X,O
SLIZTOJ,O,X,O,O,X,X
SLIZJTO,X,X,O,X,X,O
SLIZJOT,O,O,X,X,X,O
SLIZOTJ,O,X,X,O,X,X
SLIZOJT,O,O,X,X,X,X
SLIOTJZ,X,X,O,O,O,O
SLIOTZJ,X,O,O,O,O,X
SLIOJTZ,X,X,O,O,O,O
SLIOJZT,X,X,X,X,O,O
SLIOZTJ,O,X,X,O,O,X
SLIOZJT,O,O,X,X,O,X
SLJTIZO,X,X,O,O,X,O
SLJTIOZ,X,X,O,O,O,O
SLJTZIO,O,X,O,X,X,O
SLJTZOI,O,X,O,X,X,O
SLJTOIZ,X,X,O,O,O,O
SLJTOZI,O,X,O,X,O,O
SLJITZO,X,X,O,O,X,O
SLJITOZ,X,X,O,O,O,O
SLJIZTO,X,X,O,X,X,O
SLJIZOT,X,X,X,X,X,O
SLJIOTZ,X,X,O,O,O,O
SLJIOZT,X,X,X,X,O,O
SLJZTIO,X,X,O,X,X,O
SLJZTOI,X,X,O,X,X,O
SLJZITO,X,X,O,X,X,O
SLJZIOT,O,X,X,X,X,O
SLJZOTI,O,X,X,X,X,O
SLJZOIT,O,X,X,X,X,O
SLJOTIZ,X,X,O,O,O,O
SLJOTZI,O,X,O,X,O,O
SLJOITZ,X,X,O,O,O,O
SLJOIZT,X,X,X,X,O,O
SLJOZTI,O,X,X,X,O,O
SLJOZIT,O,X,X,X,O,O
SLZTIJO,O,X,O,O,X,O
SLZTIOJ,O,X,O,O,X,X
SLZTJIO,O,X,O,X,X,O
SLZTJOI,O,X,O,X,X,O
SLZTOIJ,O,X,O,O,X,X
SLZTOJI,O,X,O,X,X,X
SLZITJO,O,X,O,O,X,O
SLZITOJ,O,X,O,O,X,X
SLZIJTO,X,X,O,X,X,O
SLZIJOT,O,O,X,X,X,O
SLZIOTJ,O,X,X,O,X,X
SLZIOJT,O,O,X,X,X,X
SLZJTIO,X,X,O,X,X,O
SLZJTOI,X,X,O,X,X,O
SLZJITO,X,X,O,X,X,O
SLZJIOT,O,O,X,X,X,O
SLZJOTI,O,X,X,X,X,O
SLZJOIT,O,O,X,X,X,O
SLZOTIJ,O,X,X,O,X,X
SLZOTJI,O,X,X,X,X,X
SLZOITJ,O,X,X,O,X,X
SLZOIJT,O,O,X,X,X,X
SLZOJTI,O,X,X,X,X,X
SLZOJIT,O,O,X,X,X,X
SLOTIJZ,X,X,O,O,O,O
SLOTIZJ,X,O,O,O,O,X
SLOTJIZ,X,X,O,O,O,O
SLOTJZI,O,X,O,X,O,O
SLOTZIJ,O,O,O,O,O,X
SLOTZJI,O,O,O,X,O,X
SLOITJZ,X,X,O,O,O,O
SLOITZJ,X,O,O,O,O,X
SLOIJTZ,X,X,O,O,O,O
SLOIJZT,X,X,X,X,O,O
SLOIZTJ,O,X,X,O,O,X
SLOIZJT,O,O,X,X,O,X
SLOJTIZ,X,X,O,O,O,O
SLOJTZI,O,X,O,X,O,O
SLOJITZ,X,X,O,O,O,O
SLOJIZT,X,X,X,X,O,O
SLOJZTI,O,X,X,X,O,O
SLOJZIT,O,X,X,X,O,O
SLOZTIJ,O,X,X,O,O,X
SLOZTJI,O,X,X,X,O,X
SLOZITJ,O,X,X,O,O,X
SLOZIJT,O,O,X,X,O,X
SLOZJTI,O,X,X,X,O,X
SLOZJIT,O,O,X,X,O,X
SJTILZO,X,X,O,O,X,O
SJTILOZ,X,X,O,O,O,O
SJTIZLO,X,X,O,X,X,O
SJTIZOL,X,X,O,X,O,O
SJTIOLZ,X,X,O,O,O,O
SJTIOZL,X,X,O,X,O,O
SJTLIZO,X,X,O,O,X,O
SJTLIOZ,X,X,O,O,O,O
SJTLZIO,X,X,O,X,X,O
SJTLZOI,X,X,O,X,X,O
SJTLOIZ,X,X,O,O,O,O
SJTLOZI,X,X,O,X,O,O
SJTZILO,X,X,O,X,X,O
SJTZIOL,X,X,O,X,O,O
SJTZLIO,X,X,O,X,X,O
SJTZLOI,X,X,O,X,X,O
SJTZOIL,X,X,O,X,O,O
SJTZOLI,X,X,O,X,O,O
SJTOILZ,X,X,O,O,O,O
SJTOIZL,X,X,O,X,O,O
SJTOLIZ,X,X,O,O,O,O
SJTOLZI,X,X,O,X,O,O
SJTOZIL,X,X,O,X,O,O
SJTOZLI,X,X,O,X,O,O
SJITLZO,X,X,O,O,X,O
SJITLOZ,X,X,O,O,O,O
SJITZLO,X,X,O,X,X,O
SJITZOL,X,X,O,X,O,O
SJITOLZ,X,X,O,O,O,O
SJITOZL,X,X,O,X,O,O
SJILTZO,X,X,O,O,X,O
SJILTOZ,X,X,O,O,O,O
SJILZTO,X,X,O,X,X,O
SJILZOT,X,X,X,X,X,O
SJILOTZ,X,X,O,O,O,O
SJILOZT,X,X,X,X,O,O
SJIZTLO,X,X,O,X,X,O
SJIZTOL,X,X,O,X,O,O
SJIZLTO,X,X,O,X,X,O
SJIZLOT,X,X,X,X,X,O
SJIZOTL,X,X,X,X,O,O
SJIZOLT,X,X,X,X,O,O
SJIOTLZ,X,X,O,O,O,O
SJIOTZL,X,X,O,X,O,O
SJIOLTZ,X,X,O,O,O,O
SJIOLZT,X,X,X,X,O,O
SJIOZTL,X,X,X,X,O,O
SJIOZLT,X,X,X,X,O,O
SJLTIZO,X,X,O,O,X,O
SJLTIOZ,X,X,O,O,O,O
SJLTZIO,O,X,O,X,X,O
SJLTZOI,O,X,O,X,X,O
SJLTOIZ,X,X,O,O,O,O
SJLTOZI,O,X,O,X,O,O
SJLITZO,X,X,O,O,X,O
SJLITOZ,X,X,O,O,O,O
SJLIZTO,X,X,O,X,X,O
SJLIZOT,X,X,X,X,X,O
SJLIOTZ,X,X,O,O,O,O
SJLIOZT,X,X,X,X,O,O
SJLZTIO,X,X,O,X,X,O
SJLZTOI,X,X,O,X,X,O
SJLZITO,X,X,O,X,X,O
SJLZIOT,O,X,X,X,X,O
SJLZOTI,O,X,X,X,X,O
SJLZOIT,O,X,X,X,X,O
SJLOTIZ,X,X,O,O,O,O
SJLOTZI,O,X,O,X,O,O
SJLOITZ,X,X,O,O,O,O
SJLOIZT,X,X,X,X,O,O
SJLOZTI,O,X,X,X,O,O
SJLOZIT,O,X,X,X,O,O
SJZTILO,X,X,O,X,X,O
SJZTIOL,X,X,O,X,O,O
SJZTLIO,X,X,O,X,X,O
SJZTLOI,X,X,O,X,X,O
SJZTOIL,X,X,O,X,O,O
SJZTOLI,X,X,O,X,O,O
SJZITLO,X,X,O,X,X,O
SJZITOL,X,X,O,X,O,O
SJZILTO,X,X,O,X,X,O
SJZILOT,X,X,X,X,X,O
SJZIOTL,X,X,X,X,O,O
SJZIOLT,X,X,X,X,O,O
SJZLTIO,X,X,O,X,X,O
SJZLTOI,X,X,O,X,X,O
SJZLITO,X,X,O,X,X,O
SJZLIOT,O,X,X,X,X,O
SJZLOTI,O,X,X,X,X,O
SJZLOIT,O,X,X,X,X,O
SJZOTIL,X,X,X,X,O,O
SJZOTLI,X,X,X,X,O,O
SJZOITL,X,X,X,X,O,O
SJZOILT,X,X,X,X,O,O
SJZOLTI,O,X,X,X,O,O
SJZOLIT,O,X,X,X,O,O
SJOTILZ,X,X,O,O,O,O
SJOTIZL,X,X,O,X,O,O
SJOTLIZ,X,X,O,O,O,O
SJOTLZI,X,X,O,X,O,O
SJOTZIL,X,X,O,X,O,O
SJOTZLI,X,X,O,X,O,O
SJOITLZ,X,X,O,O,O,O
SJOITZL,X,X,O,X,O,O
SJOILTZ,X,X,O,O,O,O
SJOILZT,X,X,X,X,O,O
SJOIZTL,X,X,X,X,O,O
SJOIZLT,X,X,X,X,O,O
SJOLTIZ,X,X,O,O,O,O
SJOLTZI,O,X,O,X,O,O
SJOLITZ,X,X,O,O,O,O
SJOLIZT,X,X,X,X,O,O
SJOLZTI,O,X,X,X,O,O
SJOLZIT,O,X,X,X,O,O
SJOZTIL,X,X,X,X,O,O
SJOZTLI,X,X,X,X,O,O
SJOZITL,X,X,X,X,O,O
SJOZILT,X,X,X,X,O,O
SJOZLTI,O,X,X,X,O,O
SJOZLIT,O,X,X,X,O,O
SZTILJO,X,O,O,O,X,O
SZTILOJ,X,O,O,O,X,X
SZTIJLO,X,O,O,X,X,O
SZTIJOL,X,O,O,X,O,O
SZTIOLJ,X,O,O,O,O,X
SZTIOJL,X,O,O,X,O,X
SZTLIJO,O,O,O,O,X,O
SZTLIOJ,O,O,O,O,X,X
SZTLJIO,O,O,O,X,X,O
SZTLJOI,O,O,O,X,X,O
SZTLOIJ,O,O,O,O,X,X
SZTLOJI,O,O,O,X,X,X
SZTJILO,X,O,O,X,X,O
SZTJIOL,X,O,O,X,O,O
SZTJLIO,O,O,O,X,X,O
SZTJLOI,O,O,O,X,X,O
SZTJOIL,X,O,O,X,O,O
SZTJOLI,O,O,O,X,O,O
SZTOILJ,X,O,O,O,O,X
SZTOIJL,X,O,O,X,O,X
SZTOLIJ,O,O,O,O,O,X
SZTOLJI,O,O,O,X,O,X
SZTOJIL,X,O,O,X,O,X
SZTOJLI,O,O,O,X,O,X
SZITLJO,X,O,O,O,X,O
SZITLOJ,X,O,O,O,X,X
SZITJLO,X,O,O,X,X,O
SZITJOL,X,O,O,X,O,O
SZITOLJ,X,O,O,O,O,X
