sequence,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFzdB5jB3hBm?nBimBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhF8hBGeBamB3?iBToBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBGeBZnBq?sB/tBTrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFTeBamBFiBf?sBGtB0sB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBfjB6jBZ?nBTrBWyB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFXdBTeBUhB1?nBStBmrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFxdBzhBfoB6?oBOmBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhBaoB3?iBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JefCJvhFxdBUhBCjBT?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhB3iBa?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhF5jBFhBynBf?sBmqBzsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeR9IvhFcjBFhBTiBf?sBSyBmqB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhFUhBxnBfoB6?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhFFhBfsBxsBT?tBmqBCtB
JLOISTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JLOISZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JLOIZST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLOSTIZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JLOSTZI,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JLOSITZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JLOSIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOSZTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOSZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZTIS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JLOZTSI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JLOZITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JLOZIST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLOZSTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSTILZO,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JSTILOZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JSTIZLO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSTIZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O
JSTIOLZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JSTIOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,O
JSTLIZO,O,X,O,O,O,O,X,X,X,X,O,X,X,X
JSTLIOZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JSTLZIO,O,X,O,O,O,O,X,X,X,X,O,X,X,X
JSTLZOI,O,X,O,O,O,O,O,X,X,X,X,O,X,X
JSTLOIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JSTLOZI,O,X,O,O,O,O,O,X,X,X,X,O,X,X
JSTZILO,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSTZIOL,O,X,O,X,O,O,X,X,X,X,X,X,X,O
JSTZLIO,O,X,O,O,O,O,X,X,X,X,O,X,X,X
JSTZLOI,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JSTZOIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTZOLI,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JSTOILZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JSTOIZL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTOLIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JSTOLZI,O,X,O,O,O,O,O,X,X,X,X,O,X,X
JSTOZIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTOZLI,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JSITLZO,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JSITLOZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JSITZLO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSITZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O
JSITOLZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JSITOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,O
JSILTZO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSILTOZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSILZTO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSILZOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSILOZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSIZTLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSIZTOL,O,X,O,X,O,O,X,X,X,X,X,X,X,O
JSIZLTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSIZLOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIZOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSIZOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIOTLZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSIOTZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSIOLZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSIOZTL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIOZLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTIZO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSLTIOZ,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JSLTZIO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSLTZOI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
JSLTOIZ,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JSLTOZI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
JSLITZO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSLITOZ,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JSLIZTO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSLIZOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSLIOZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLZTIO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSLZTOI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
JSLZITO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSLZIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
JSLZOIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JSLOTIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSLOTZI,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JSLOITZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSLOIZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLOZTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
JSLOZIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JSZTILO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZTIOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZTLIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZTLOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JSZTOIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZTOLI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JSZITLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZITOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZILTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZILOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZIOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZLTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZLTOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JSZLITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZLIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZLOTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZLOIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZOTIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZOTLI,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSZOITL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZOILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZOLTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZOLIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOTILZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTIZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOTLZI,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JSOTZIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTZLI,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOITLZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOITZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOILTZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOILZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOIZTL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOIZLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
JSOLITZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOLIZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOLZTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
JSOLZIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JSOZTIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZLTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZTILSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTILOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTISLO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZTISOL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
JZTIOLS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTIOSL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
JZTLISO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTLIOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTLSIO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTLSOI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JZTLOIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTLOSI,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTSILO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTSIOL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
JZTSLIO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTSLOI,O,X,O,X,O,O,O,X,O,X,X,X,X,X
JZTSOIL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
JZTSOLI,O,X,O,X,O,O,O,X,O,X,X,X,X,X
JZTOILS,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JZTOISL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
JZTOLIS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZTOLSI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JZTOSIL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
JZTOSLI,O,X,O,X,O,O,O,X,O,X,X,X,X,X
JZITLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZITLOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZITSLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZITSOL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
JZITOLS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZITOSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
JZILTSO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZILTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILSTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZILSOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZISTLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZISLTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZISLOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZISOLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZIOTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
JZIOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZIOSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZIOSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLTIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLTSIO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZLTSOI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZLTOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLTOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLITSO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZLITOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLISTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZLISOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLIOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLSTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZLSTOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JZLSITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZLSIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLSOTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLSOIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLOTIS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLOTSI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZLOITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZLOIST,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JZLOSTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLOSIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSTILO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSTIOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSTLIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSTLOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JZSTOIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSTOLI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JZSITLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSITOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSILTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSILOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSIOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSLTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSLTOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JZSLITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSLIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSLOTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSLOIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSOTIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSOTLI,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZSOITL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZSOILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSOLTI,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JZSOLIT,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JZOTILS,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JZOTISL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
JZOTLIS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOTLSI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JZOTSIL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
JZOTSLI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JZOITLS,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JZOITSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
JZOILTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZOILST,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JZOISTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOISLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOLTSI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZOLITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZOLIST,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JZOLSTI,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JZOLSIT,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JZOSTIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZOSTLI,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZOSITL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JZOSILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOSLTI,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JZOSLIT,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOTILSZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOTILZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTISLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTISZL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTIZLS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTIZSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTLISZ,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JOTLIZS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOTLSZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOTLZIS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTLZSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JOTSILZ,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JOTSIZL,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JOTSLZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOTSZIL,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOTZILS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTZISL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTZLIS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTZLSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JOTZSIL,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTZSLI,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JOITLSZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOITLZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOITSLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOITSZL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOITZLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOILTSZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOILTZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOILSTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOILSZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOILZST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOISTLZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOISTZL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOISLTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOISLZT,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOISZLT,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JOIZTSL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOIZLTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOIZLST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOIZSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOIZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLTISZ,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JOLTIZS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOLTSIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLTSZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLTZIS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOLTZSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JOLITSZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLITZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOLISTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOLISZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLIZTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOLIZST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLSTZI,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLSITZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOLSIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLSZTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLSZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLZTIS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOLZTSI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOLZITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOLZIST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOLZSTI,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLZSIT,O,O,O,O,O,X,X,X,O,X,X,X,X,X
JOSTILZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSITLZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOSITZL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSILTZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOSILZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSIZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSIZLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSLTZI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSLITZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOSLIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSLZTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSZTIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSZTLI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSZITL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSZILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSZLTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOZTILS,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOZTISL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOZTLIS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOZTLSI,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JOZTSIL,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOZTSLI,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JOZITLS,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JOZITSL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOZILTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOZILST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOZISTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOZISLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZLTIS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOZLTSI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOZLITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOZLIST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOZLSTI,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOZLSIT,O,O,O,O,O,X,X,X,O,X,X,X,X,X
