sequence,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBmdBThBK?nBfoBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBRdB3hBa?oBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB/iBajBT?hB2sBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBSiBZjB3?hBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB2iBThB3?iBysBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBidBThBm?nB3nBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFGdBZjBThB/?nBllBirB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhF3cBajBTiBO?rBlqBRxB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmdBZmBXnBz?sBqrBlqB
IJSLTZO,O,X,O,X,X,X,X,X,X
IJSLTOZ,X,X,O,X,X,X,X,X,X
IJSLZTO,O,X,O,X,X,O,X,X,X
IJSLZOT,O,X,O,X,X,X,O,O,X
IJSLOTZ,X,X,X,X,X,X,O,O,X
IJSLOZT,O,X,O,X,X,X,O,O,X
IJSZTLO,O,X,O,X,X,X,X,X,X
IJSZTOL,O,X,O,O,X,X,X,O,X
IJSZLTO,O,X,O,X,X,O,X,X,X
IJSZLOT,O,X,O,X,X,X,O,O,X
IJSZOTL,O,X,X,X,X,X,X,O,X
IJSZOLT,O,X,O,O,X,X,X,O,X
IJSOTLZ,X,X,X,X,X,X,X,O,X
IJSOTZL,X,X,X,X,X,X,X,O,X
IJSOLTZ,X,X,X,X,X,X,X,O,X
IJSOLZT,X,X,O,O,X,X,X,O,X
IJSOZTL,O,X,X,X,X,X,X,O,X
IJSOZLT,O,X,O,O,X,X,X,O,X
IJZTLSO,O,O,O,X,X,O,X,X,X
IJZTLOS,X,O,X,O,O,O,X,X,X
IJZTSLO,O,O,O,X,X,O,X,X,X
IJZTSOL,O,O,O,O,X,X,X,O,X
IJZTOLS,O,O,O,O,O,O,X,O,X
IJZTOSL,X,X,O,O,X,O,X,O,X
IJZLTSO,X,O,X,X,X,O,X,X,X
IJZLTOS,X,O,X,O,O,O,X,X,X
IJZLSTO,O,O,O,X,X,O,X,X,X
IJZLSOT,O,O,O,X,X,X,O,O,X
IJZLOTS,X,O,X,O,X,O,X,O,X
IJZLOST,X,O,X,O,X,X,O,O,X
IJZSTLO,O,X,O,X,X,X,X,X,X
IJZSTOL,O,X,O,O,X,X,X,O,X
IJZSLTO,O,X,O,X,X,O,X,X,X
IJZSLOT,O,X,O,X,X,X,O,O,X
IJZSOTL,O,X,X,X,X,X,X,O,X
IJZSOLT,O,X,O,O,X,X,X,O,X
IJZOTLS,X,X,X,O,X,X,X,O,X
IJZOTSL,X,X,X,O,X,X,X,O,X
IJZOLTS,X,O,X,O,X,O,X,O,X
IJZOLST,X,O,X,O,X,X,X,O,X
IJZOSTL,X,X,X,X,X,X,X,O,O
IJZOSLT,X,X,O,O,X,X,X,O,O
IJOTLSZ,X,X,X,O,X,X,X,O,X
IJOTLZS,X,X,X,O,X,X,X,O,X
IJOTSLZ,X,X,X,O,X,X,X,O,X
IJOTSZL,X,X,X,O,X,X,X,O,X
IJOTZLS,X,X,X,O,X,X,X,O,X
IJOTZSL,X,X,X,O,X,X,X,O,X
IJOLTSZ,X,X,X,X,X,X,X,O,X
IJOLTZS,X,O,X,O,X,X,X,O,X
IJOLSTZ,X,X,X,X,X,X,X,O,X
IJOLSZT,X,O,X,O,X,X,X,O,X
IJOLZTS,X,O,X,O,X,O,X,O,X
IJOLZST,X,O,X,O,X,X,X,O,X
IJOSTLZ,X,X,X,X,X,X,X,O,O
IJOSTZL,X,X,X,X,X,X,X,O,O
IJOSLTZ,X,X,X,X,X,X,X,O,O
IJOSLZT,X,X,O,O,X,X,X,O,O
IJOSZTL,X,X,X,X,X,X,X,O,O
IJOSZLT,X,X,O,O,X,X,X,O,O
IJOZTLS,X,X,X,O,X,X,X,O,X
IJOZTSL,X,X,X,O,X,X,X,O,X
IJOZLTS,X,O,X,O,X,O,X,O,X
IJOZLST,X,O,X,O,X,X,X,O,X
IJOZSTL,X,X,X,X,X,X,X,O,O
IJOZSLT,X,X,O,O,X,X,X,O,O
ISTLJZO,O,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X,X
ISTLZJO,O,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,X,X,O,X,O,X,X
ISTLOJZ,O,X,X,X,O,X,O,X,X
ISTLOZJ,O,X,X,X,O,X,O,X,X
ISTJLZO,O,X,O,X,X,O,X,X,X
ISTJLOZ,O,X,O,X,X,X,X,X,X
ISTJZLO,O,X,O,X,X,O,X,X,X
ISTJZOL,O,X,O,O,X,X,X,X,X
ISTJOLZ,X,X,O,O,X,X,X,X,X
ISTJOZL,O,X,O,O,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,X,O,X,O,X,X
ISTZJLO,O,X,O,X,X,O,X,X,X
ISTZJOL,O,X,O,O,X,X,X,X,X
ISTZOLJ,O,X,X,O,O,X,X,X,X
ISTZOJL,O,X,O,O,X,O,X,X,X
ISTOLJZ,O,X,X,O,O,X,X,X,X
ISTOLZJ,O,X,X,O,O,X,X,X,X
ISTOJLZ,X,X,O,O,X,O,X,X,X
ISTOJZL,O,X,O,O,X,O,X,X,X
ISTOZLJ,O,X,X,O,O,X,X,X,X
ISTOZJL,O,X,O,O,X,O,X,X,X
ISLTJZO,O,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,X,X,O,X,O,X,X
ISLTOJZ,O,X,X,X,O,X,O,X,X
ISLTOZJ,O,X,X,X,O,X,O,X,X
ISLJTZO,O,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,O,X,X
ISLJOTZ,X,X,X,X,X,X,O,X,X
ISLJOZT,O,X,X,X,X,X,O,X,X
ISLZTJO,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,O,X,O,X,X
ISLZJTO,O,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X,O,X,X
ISLZOTJ,X,X,X,X,X,X,O,X,X
ISLZOJT,O,X,X,X,X,X,O,O,X
ISLOTJZ,X,X,X,X,X,X,O,X,X
ISLOTZJ,X,X,X,X,X,X,O,X,X
ISLOJTZ,X,X,X,X,X,X,O,O,X
ISLOJZT,O,X,X,X,X,X,O,O,X
ISLOZTJ,X,X,X,X,X,X,O,X,X
ISLOZJT,O,X,X,X,X,X,O,O,X
ISJTLZO,O,X,O,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X,X
ISJTZLO,O,X,O,X,X,X,X,X,X
ISJTZOL,O,X,X,O,X,X,X,O,X
ISJTOLZ,X,X,X,O,X,X,X,O,X
ISJTOZL,O,X,X,O,X,X,X,O,X
ISJLTZO,O,X,O,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X
ISJLZTO,O,X,O,X,X,O,X,X,X
ISJLZOT,O,X,O,X,X,X,O,O,X
ISJLOTZ,X,X,X,X,X,X,O,O,X
ISJLOZT,O,X,O,X,X,X,O,O,X
ISJZTLO,O,X,O,X,X,X,X,X,X
ISJZTOL,O,X,X,O,X,X,X,O,X
ISJZLTO,O,X,O,X,X,O,X,X,X
ISJZLOT,O,X,O,X,X,X,O,O,X
ISJZOTL,O,X,X,X,X,X,X,O,X
ISJZOLT,O,X,O,O,X,X,X,O,X
ISJOTLZ,X,X,X,X,X,X,X,O,X
ISJOTZL,X,X,X,X,X,X,X,O,X
ISJOLTZ,X,X,X,X,X,X,X,O,X
ISJOLZT,X,X,O,O,X,X,X,O,X
ISJOZTL,O,X,X,X,X,X,X,O,X
ISJOZLT,O,X,O,O,X,X,X,O,X
ISZTLJO,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,O,X,O,X,X
ISZTJLO,O,X,O,X,X,O,X,X,X
ISZTJOL,O,X,O,O,X,X,X,X,X
ISZTOLJ,O,X,X,O,O,X,X,X,X
ISZTOJL,O,X,O,O,X,O,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,O,X,O,X,X
ISZLJTO,O,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,O,X,X
ISZLOTJ,X,X,X,X,X,X,O,X,X
ISZLOJT,O,X,X,X,X,X,O,O,X
ISZJTLO,O,X,O,X,X,X,X,X,X
ISZJTOL,O,X,X,O,X,X,X,O,X
ISZJLTO,O,X,O,X,X,O,X,X,X
ISZJLOT,O,X,O,X,X,X,O,O,X
ISZJOTL,O,X,X,X,X,X,X,O,X
ISZJOLT,O,X,O,O,X,X,X,O,X
ISZOTLJ,X,X,X,O,X,X,X,X,O
ISZOTJL,X,X,X,O,X,X,X,X,O
ISZOLTJ,X,X,X,X,X,X,O,X,O
ISZOLJT,O,X,X,O,X,X,O,O,O
ISZOJTL,O,X,X,X,X,X,X,O,O
ISZOJLT,O,X,X,O,X,X,X,O,O
ISOTLJZ,X,X,X,O,X,X,X,X,O
ISOTLZJ,X,X,X,O,X,X,X,X,O
ISOTJLZ,X,X,X,O,X,X,X,X,O
ISOTJZL,X,X,X,O,X,X,X,X,O
ISOTZLJ,X,X,X,O,X,X,X,X,O
ISOTZJL,X,X,X,O,X,X,X,X,O
ISOLTJZ,X,X,X,X,X,X,O,X,O
ISOLTZJ,X,X,X,X,X,X,O,X,O
ISOLJTZ,X,X,X,X,X,X,O,O,O
ISOLJZT,O,X,X,O,X,X,O,O,O
ISOLZTJ,X,X,X,X,X,X,O,X,O
ISOLZJT,O,X,X,O,X,X,O,O,O
ISOJTLZ,X,X,X,X,X,X,X,O,O
ISOJTZL,X,X,X,X,X,X,X,O,O
ISOJLTZ,X,X,X,X,X,X,X,O,O
ISOJLZT,X,X,X,O,X,X,X,O,O
ISOJZTL,O,X,X,X,X,X,X,O,O
ISOJZLT,O,X,X,O,X,X,X,O,O
ISOZTLJ,X,X,X,O,X,X,X,X,O
ISOZTJL,X,X,X,O,X,X,X,X,O
ISOZLTJ,X,X,X,X,X,X,O,X,O
ISOZLJT,O,X,X,O,X,X,O,O,O
ISOZJTL,O,X,X,X,X,X,X,O,O
ISOZJLT,O,X,X,O,X,X,X,O,O
IZTLJSO,O,O,O,X,X,O,X,X,X
IZTLJOS,X,O,X,O,O,O,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,O,X,O,X,X
IZTLOJS,O,O,O,O,O,O,X,O,X
IZTLOSJ,O,X,X,O,O,X,O,X,X
IZTJLSO,O,O,O,X,X,O,X,X,X
IZTJLOS,X,O,X,O,O,O,X,X,X
IZTJSLO,O,O,O,X,X,O,X,X,X
IZTJSOL,O,O,O,O,X,X,X,O,X
IZTJOLS,O,O,O,O,O,O,X,O,X
IZTJOSL,X,X,O,O,X,O,X,O,X
IZTSLJO,O,O,X,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,O,X,O,X,X
IZTSJLO,O,O,O,X,X,O,X,X,X
IZTSJOL,O,O,O,O,X,X,X,X,X
IZTSOLJ,O,O,X,O,O,X,X,X,X
IZTSOJL,O,O,O,O,X,O,X,X,X
IZTOLJS,O,O,O,O,O,O,X,O,X
IZTOLSJ,O,O,X,O,O,X,X,X,X
IZTOJLS,O,O,O,O,O,O,X,O,X
IZTOJSL,X,X,O,O,X,O,X,O,X
IZTOSLJ,O,O,X,O,O,X,X,X,O
IZTOSJL,O,O,O,O,X,O,X,X,O
IZLTJSO,O,O,O,X,X,O,X,X,X
IZLTJOS,X,O,X,O,O,O,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,O,X,O,X,X
IZLTOJS,O,O,O,O,O,O,X,O,X
IZLTOSJ,O,X,X,O,O,X,O,X,X
IZLJTSO,X,O,X,X,X,O,X,X,X
IZLJTOS,X,O,X,O,O,O,X,X,X
IZLJSTO,O,O,O,X,X,O,X,X,X
IZLJSOT,O,O,O,X,X,X,O,O,X
IZLJOTS,X,O,X,O,X,O,X,O,X
IZLJOST,X,O,X,O,X,X,O,O,X
IZLSTJO,O,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,X,O,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,O,X,X
IZLSOTJ,X,X,X,X,X,X,O,X,X
IZLSOJT,O,X,X,X,X,X,O,O,X
IZLOTJS,X,O,X,O,O,X,X,O,X
IZLOTSJ,X,O,X,O,O,X,O,X,X
IZLOJTS,X,O,X,O,X,X,X,O,X
IZLOJST,X,O,X,O,X,X,O,O,X
IZLOSTJ,X,O,X,X,X,X,O,X,O
IZLOSJT,O,O,X,O,X,X,O,O,O
IZJTLSO,O,O,O,X,X,O,X,X,X
IZJTLOS,X,O,X,O,O,O,X,X,X
IZJTSLO,O,O,O,X,X,O,X,X,X
IZJTSOL,O,O,O,O,X,X,X,O,X
IZJTOLS,O,O,O,O,O,O,X,O,X
IZJTOSL,X,X,O,O,X,O,X,O,X
IZJLTSO,X,O,X,X,X,O,X,X,X
IZJLTOS,X,O,X,O,O,O,X,X,X
IZJLSTO,O,O,O,X,X,O,X,X,X
IZJLSOT,O,O,O,X,X,X,O,O,X
IZJLOTS,X,O,X,O,X,O,X,O,X
IZJLOST,X,O,X,O,X,X,O,O,X
IZJSTLO,O,X,O,X,X,X,X,X,X
IZJSTOL,O,X,O,O,X,X,X,O,X
IZJSLTO,O,X,O,X,X,O,X,X,X
IZJSLOT,O,X,O,X,X,X,O,O,X
IZJSOTL,O,X,X,X,X,X,X,O,X
IZJSOLT,O,X,O,O,X,X,X,O,X
IZJOTLS,X,X,X,O,X,X,X,O,X
IZJOTSL,X,X,X,O,X,X,X,O,X
IZJOLTS,X,O,X,O,X,O,X,O,X
IZJOLST,X,O,X,O,X,X,X,O,X
IZJOSTL,X,X,X,X,X,X,X,O,O
IZJOSLT,X,X,O,O,X,X,X,O,O
IZSTLJO,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,O,X,X
IZSTJLO,O,X,O,X,X,O,X,X,X
IZSTJOL,O,X,O,O,X,X,X,X,X
IZSTOLJ,O,X,X,O,O,X,X,X,X
IZSTOJL,O,X,O,O,X,O,X,X,X
IZSLTJO,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,O,X,O,X,X
IZSLJTO,O,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,O,X,X
IZSLOTJ,X,X,X,X,X,X,O,X,X
IZSLOJT,O,X,X,X,X,X,O,O,X
IZSJTLO,O,X,O,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,X,O,X
IZSJLTO,O,X,O,X,X,O,X,X,X
IZSJLOT,O,X,O,X,X,X,O,O,X
IZSJOTL,O,X,X,X,X,X,X,O,X
IZSJOLT,O,X,O,O,X,X,X,O,X
IZSOTLJ,X,X,X,O,X,X,X,X,O
IZSOTJL,X,X,X,O,X,X,X,X,O
IZSOLTJ,X,X,X,X,X,X,O,X,O
IZSOLJT,O,X,X,O,X,X,O,O,O
IZSOJTL,O,X,X,X,X,X,X,O,O
IZSOJLT,O,X,X,O,X,X,X,O,O
IZOTLJS,O,O,O,O,O,O,X,O,X
IZOTLSJ,O,O,X,O,O,X,X,X,X
IZOTJLS,O,O,O,O,O,O,X,O,X
IZOTJSL,X,X,O,O,X,O,X,O,X
IZOTSLJ,O,O,X,O,O,X,X,X,O
IZOTSJL,O,O,O,O,X,O,X,X,O
IZOLTJS,X,O,X,O,O,X,X,O,X
IZOLTSJ,X,O,X,O,O,X,O,X,X
IZOLJTS,X,O,X,O,X,X,X,O,X
IZOLJST,X,O,X,O,X,X,O,O,X
IZOLSTJ,X,O,X,X,X,X,O,X,O
IZOLSJT,O,O,X,O,X,X,O,O,O
IZOJTLS,X,X,X,O,X,X,X,O,X
IZOJTSL,X,X,X,O,X,X,X,O,X
IZOJLTS,X,O,X,O,X,O,X,O,X
IZOJLST,X,O,X,O,X,X,X,O,X
IZOJSTL,X,X,X,X,X,X,X,O,O
IZOJSLT,X,X,O,O,X,X,X,O,O
IZOSTLJ,X,X,X,O,X,X,X,X,O
IZOSTJL,X,O,X,O,X,X,X,X,O
IZOSLTJ,X,O,X,X,X,X,O,X,O
IZOSLJT,O,O,X,O,X,X,O,O,O
IZOSJTL,O,O,X,X,X,X,X,O,O
IZOSJLT,O,O,X,O,X,X,X,O,O
IOTLJSZ,O,O,O,O,O,O,X,O,X
IOTLJZS,O,O,O,O,O,O,X,O,X
IOTLSJZ,O,O,X,O,O,X,X,X,X
IOTLSZJ,O,O,X,O,O,X,X,X,X
IOTLZJS,O,O,O,O,O,O,X,O,X
IOTLZSJ,O,O,X,O,O,X,X,X,X
IOTJLSZ,O,O,O,O,O,O,X,O,X
IOTJLZS,O,O,O,O,O,O,X,O,X
IOTJSLZ,X,X,O,O,X,O,X,O,X
IOTJSZL,X,X,O,O,X,O,X,O,X
IOTJZLS,O,O,O,O,O,O,X,O,X
IOTJZSL,X,X,O,O,X,O,X,O,X
IOTSLJZ,O,O,X,O,O,X,X,X,O
IOTSLZJ,O,O,X,O,O,X,X,X,O
IOTSJLZ,X,O,O,O,X,O,X,X,O
IOTSJZL,O,O,O,O,X,O,X,X,O
IOTSZLJ,O,O,X,O,O,X,X,X,O
IOTSZJL,O,O,O,O,X,O,X,X,O
IOTZLJS,O,O,O,O,O,O,X,O,X
IOTZLSJ,O,O,X,O,O,X,X,X,X
IOTZJLS,O,O,O,O,O,O,X,O,X
IOTZJSL,X,X,O,O,X,O,X,O,X
IOTZSLJ,O,O,X,O,O,X,X,X,O
IOTZSJL,O,O,O,O,X,O,X,X,O
IOLTJSZ,X,O,X,O,O,X,X,O,X
IOLTJZS,X,O,X,O,O,X,X,O,X
IOLTSJZ,X,O,X,O,O,X,O,X,X
IOLTSZJ,X,O,X,O,O,X,O,X,X
IOLTZJS,X,O,X,O,O,X,X,O,X
IOLTZSJ,X,O,X,O,O,X,O,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X
IOLJTZS,X,O,X,O,X,X,X,O,X
IOLJSTZ,X,X,X,X,X,X,O,O,X
IOLJSZT,X,O,X,O,X,X,O,O,X
IOLJZTS,X,O,X,O,X,X,X,O,X
IOLJZST,X,O,X,O,X,X,O,O,X
IOLSTJZ,X,O,X,X,X,X,O,X,O
IOLSTZJ,X,O,X,X,X,X,O,X,O
IOLSJTZ,X,O,X,X,X,X,O,O,O
IOLSJZT,O,O,X,O,X,X,O,O,O
IOLSZTJ,X,O,X,X,X,X,O,X,O
IOLSZJT,O,O,X,O,X,X,O,O,O
IOLZTJS,X,O,X,O,O,X,X,O,X
IOLZTSJ,X,O,X,O,O,X,O,X,X
IOLZJTS,X,O,X,O,X,X,X,O,X
IOLZJST,X,O,X,O,X,X,O,O,X
IOLZSTJ,X,O,X,X,X,X,O,X,O
IOLZSJT,O,O,X,O,X,X,O,O,O
IOJTLSZ,X,X,X,O,X,X,X,O,X
IOJTLZS,X,X,X,O,X,X,X,O,X
IOJTSLZ,X,X,X,O,X,X,X,O,X
IOJTSZL,X,X,X,O,X,X,X,O,X
IOJTZLS,X,X,X,O,X,X,X,O,X
IOJTZSL,X,X,X,O,X,X,X,O,X
IOJLTSZ,X,X,X,X,X,X,X,O,X
IOJLTZS,X,O,X,O,X,X,X,O,X
IOJLSTZ,X,X,X,X,X,X,X,O,X
IOJLSZT,X,O,X,O,X,X,X,O,X
IOJLZTS,X,O,X,O,X,O,X,O,X
IOJLZST,X,O,X,O,X,X,X,O,X
IOJSTLZ,X,X,X,X,X,X,X,O,O
IOJSTZL,X,X,X,X,X,X,X,O,O
IOJSLTZ,X,X,X,X,X,X,X,O,O
IOJSLZT,X,X,O,O,X,X,X,O,O
IOJSZTL,X,X,X,X,X,X,X,O,O
IOJSZLT,X,X,O,O,X,X,X,O,O
IOJZTLS,X,X,X,O,X,X,X,O,X
IOJZTSL,X,X,X,O,X,X,X,O,X
IOJZLTS,X,O,X,O,X,O,X,O,X
IOJZLST,X,O,X,O,X,X,X,O,X
IOJZSTL,X,X,X,X,X,X,X,O,O
IOJZSLT,X,X,O,O,X,X,X,O,O
IOSTLJZ,X,X,X,O,X,X,X,X,O
IOSTLZJ,X,X,X,O,X,X,X,X,O
IOSTJLZ,X,X,X,O,X,X,X,X,O
IOSTJZL,X,O,X,O,X,X,X,X,O
IOSTZLJ,X,X,X,O,X,X,X,X,O
IOSTZJL,X,O,X,O,X,X,X,X,O
IOSLTJZ,X,O,X,X,X,X,O,X,O
IOSLTZJ,X,O,X,X,X,X,O,X,O
IOSLJTZ,X,O,X,X,X,X,O,O,O
IOSLJZT,O,O,X,O,X,X,O,O,O
IOSLZTJ,X,O,X,X,X,X,O,X,O
IOSLZJT,O,O,X,O,X,X,O,O,O
IOSJTLZ,X,X,X,X,X,X,X,O,O
IOSJTZL,X,O,X,X,X,X,X,O,O
IOSJLTZ,X,O,X,X,X,X,X,O,O
IOSJLZT,X,O,X,O,X,X,X,O,O
IOSJZTL,O,O,X,X,X,X,X,O,O
IOSJZLT,O,O,X,O,X,X,X,O,O
IOSZTLJ,X,X,X,O,X,X,X,X,O
IOSZTJL,X,O,X,O,X,X,X,X,O
IOSZLTJ,X,O,X,X,X,X,O,X,O
IOSZLJT,O,O,X,O,X,X,O,O,O
IOSZJTL,O,O,X,X,X,X,X,O,O
IOSZJLT,O,O,X,O,X,X,X,O,O
IOZTLJS,O,O,O,O,O,O,X,O,X
IOZTLSJ,O,O,X,O,O,X,X,X,X
IOZTJLS,O,O,O,O,O,O,X,O,X
IOZTJSL,X,X,O,O,X,O,X,O,X
IOZTSLJ,O,O,X,O,O,X,X,X,O
IOZTSJL,O,O,O,O,X,O,X,X,O
IOZLTJS,X,O,X,O,O,X,X,O,X
IOZLTSJ,X,O,X,O,O,X,O,X,X
IOZLJTS,X,O,X,O,X,X,X,O,X
IOZLJST,X,O,X,O,X,X,O,O,X
IOZLSTJ,X,O,X,X,X,X,O,X,O
IOZLSJT,O,O,X,O,X,X,O,O,O
IOZJTLS,X,X,X,O,X,X,X,O,X
IOZJTSL,X,X,X,O,X,X,X,O,X
IOZJLTS,X,O,X,O,X,O,X,O,X
IOZJLST,X,O,X,O,X,X,X,O,X
IOZJSTL,X,X,X,X,X,X,X,O,O
IOZJSLT,X,X,O,O,X,X,X,O,O
IOZSTLJ,X,X,X,O,X,X,X,X,O
IOZSTJL,X,O,X,O,X,X,X,X,O
IOZSLTJ,X,O,X,X,X,X,O,X,O
IOZSLJT,O,O,X,O,X,X,O,O,O
IOZSJTL,O,O,X,X,X,X,X,O,O
IOZSJLT,O,O,X,O,X,X,X,O,O
LTIJSZO,O,O,O,X,X,O,X,X,X
LTIJSOZ,O,O,O,X,X,X,X,X,X
LTIJZSO,O,O,O,X,X,O,X,X,X
LTIJZOS,X,O,X,O,O,O,X,X,X
LTIJOSZ,X,X,X,O,O,X,X,X,X
LTIJOZS,X,O,X,O,O,O,X,X,X
LTISJZO,O,O,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,O,X,O,X,X
LTISOJZ,O,O,X,X,O,X,O,X,X
LTISOZJ,O,O,X,X,O,X,O,X,X
LTIZJSO,O,O,O,X,X,O,X,X,X
LTIZJOS,X,O,X,O,O,O,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,O,X,O,X,X
LTIZOJS,O,O,O,O,O,O,X,X,X
LTIZOSJ,O,X,X,O,O,X,O,X,X
LTIOJSZ,O,X,O,O,O,O,X,X,X
LTIOJZS,O,O,O,O,O,O,X,X,X
LTIOSJZ,O,X,X,O,O,X,O,X,X
LTIOSZJ,O,X,X,O,O,X,O,X,X
LTIOZJS,O,O,O,O,O,O,X,X,X
LTIOZSJ,O,X,X,O,O,X,O,X,X
LTJISZO,O,O,O,X,X,O,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,X
LTJIZSO,O,O,O,X,X,O,X,X,X
LTJIZOS,X,O,X,O,O,O,X,X,X
LTJIOSZ,X,X,X,O,O,O,X,X,X
LTJIOZS,X,O,X,O,O,O,X,X,X
LTJSIZO,O,O,O,X,X,O,X,X,X
LTJSIOZ,O,O,O,X,X,X,X,X,X
LTJSZIO,O,O,O,X,X,O,X,X,X
LTJSZOI,O,O,O,X,O,O,X,X,X
LTJSOIZ,O,O,O,X,O,O,X,X,X
LTJSOZI,O,O,O,X,O,O,X,X,X
LTJZISO,O,O,O,X,X,O,X,X,X
LTJZIOS,X,O,X,O,O,O,X,X,X
LTJZSIO,O,O,O,X,X,O,X,X,X
LTJZSOI,O,O,O,X,O,O,X,X,X
LTJZOIS,O,O,O,O,O,O,X,X,X
LTJZOSI,O,O,O,O,O,O,X,X,X
LTJOISZ,O,O,O,O,O,O,X,X,X
LTJOIZS,O,O,O,O,O,O,X,X,X
LTJOSIZ,O,O,O,O,O,O,X,X,X
LTJOSZI,O,O,O,O,O,O,X,X,X
LTJOZIS,O,O,O,O,O,O,X,X,X
LTJOZSI,O,O,O,O,O,O,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,O,X,O,X,X
LTSIOJZ,O,O,X,X,O,X,O,X,X
LTSIOZJ,O,O,X,X,O,X,O,X,X
LTSJIZO,O,O,X,X,X,X,X,X,X
LTSJIOZ,O,O,X,X,X,X,X,X,X
LTSJZIO,O,O,X,X,X,X,X,X,X
LTSJZOI,O,O,X,X,O,X,X,X,X
LTSJOIZ,O,O,X,X,O,X,X,X,X
LTSJOZI,O,O,X,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,O,X,O,X,X
LTSZJIO,O,O,X,X,X,X,X,X,X
LTSZJOI,O,O,X,X,O,X,X,X,X
LTSZOIJ,O,O,X,X,O,X,O,X,X
LTSZOJI,O,O,X,X,O,X,O,X,X
LTSOIJZ,O,O,X,X,O,X,O,X,X
LTSOIZJ,O,O,X,X,O,X,O,X,X
LTSOJIZ,O,O,X,X,O,X,O,X,X
LTSOJZI,O,O,X,X,O,X,O,X,X
LTSOZIJ,O,O,X,X,O,X,O,X,X
LTSOZJI,O,O,X,X,O,X,O,X,X
LTZIJSO,O,O,O,X,X,O,X,X,X
LTZIJOS,X,O,X,O,O,O,X,X,X
LTZISJO,O,O,X,X,X,X,X,X,X
LTZISOJ,O,O,X,X,O,X,O,X,X
LTZIOJS,O,O,O,O,O,O,X,X,X
LTZIOSJ,O,X,X,O,O,X,O,X,X
LTZJISO,O,O,O,X,X,O,X,X,X
LTZJIOS,X,O,X,O,O,O,X,X,X
LTZJSIO,O,O,O,X,X,O,X,X,X
LTZJSOI,O,O,O,X,O,O,X,X,X
LTZJOIS,O,O,O,O,O,O,X,X,X
LTZJOSI,O,O,O,O,O,O,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X,X
LTZSIOJ,O,O,X,X,O,X,O,X,X
LTZSJIO,O,O,X,X,X,X,X,X,X
LTZSJOI,O,O,X,X,O,X,X,X,X
