sequence,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBU?iBKrBfsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBOrBzrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgBXdBx?mB0mB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBmrBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBXdBTfBx?mBirB0rB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgB0cBx?mBXnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgB0cBTfBx?mBirBXsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeO/IvhF8fBtgBXdBx?mBTmBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgB0cB3fBx?mBOsBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBc?mBXnBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex6IvhF/hBTfB0gBN?nBCnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFxcBTfBSmBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBxcBGhBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jey/IvhFxcBGhBNnBT?fB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex/IvhFXhBNnBTfBC?iB0rBmqB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeN/IvhF/hB0gBZnBC?gBGiBTrB
JSTZOLI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JSTOILZ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSTOIZL,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X
JSTOLIZ,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSTOLZI,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSTOZIL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSTOZLI,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
JSITLZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSITLOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSITZLO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
JSITZOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSITOLZ,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSITOZL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSILTZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSILTOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSILZTO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSILOZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JSIZTOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSIZLTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSIZLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSIZOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSIOZLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSLTIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSLTZIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JSLTZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLTOZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLITZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JSLITOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JSLIZTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSLIZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLIOTZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLIOZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSLZTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLZIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLZOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLOTZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLOITZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLOIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSZTIOL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JSZTLIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSZTLOI,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JSZTOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JSZTOLI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JSZITLO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSZITOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSZILTO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZILOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZIOTL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSZIOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSZLTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZLIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZLOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZOTIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JSZOTLI,O,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JSZOITL,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JSZOILT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSZOLIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOTILZ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOTIZL,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
JSOTLIZ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOTLZI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOTZIL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOTZLI,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
JSOITLZ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOITZL,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
JSOILTZ,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOILZT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOIZLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOLTZI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOLITZ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOLIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JSOLZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOZTLI,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOZITL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JSOZILT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSOZLIT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JZTILOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTISLO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O
JZTISOL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
JZTIOLS,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JZTIOSL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZTLISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JZTLIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTLSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JZTLSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
JZTLOIS,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
JZTLOSI,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
JZTSILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
JZTSIOL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O
JZTSLIO,O,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
JZTSLOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
JZTSOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JZTSOLI,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZTOILS,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZTOISL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZTOLIS,X,X,X,X,X,O,X,O,X,X,O,O,O,O,X,X
JZTOLSI,X,X,X,X,X,O,X,O,X,X,O,O,O,O,X,X
JZTOSIL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZTOSLI,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZITLSO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZITLOS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZITSLO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O
JZITSOL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
JZITOLS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JZITOSL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZILTSO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZILTOS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZILSTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZILSOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILOTS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZILOST,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISTLO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O
JZISTOL,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JZISLTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZISLOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JZIOTSL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZIOLTS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZIOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZIOSLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JZLTIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JZLTSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JZLTSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
JZLTOIS,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
JZLTOSI,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
JZLITSO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLITOS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZLISTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZLISOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLIOTS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZLIOST,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLSTIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLSTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLSIOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLSOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLSOIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLOTIS,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
JZLOTSI,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
JZLOITS,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
JZLOIST,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLOSTI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLOSIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSTILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O
JZSTIOL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,O
JZSTLIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZSTLOI,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSTOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JZSTOLI,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSITLO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O
JZSITOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O
JZSILTO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSIOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSIOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZSLTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOTIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JZSOTLI,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSOITL,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSOILT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOLIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOTILS,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOTISL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZOTLIS,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOTLSI,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOTSIL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZOTSLI,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOITLS,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOITSL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZOILTS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOILST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZOISLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOLTSI,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOLITS,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZOLIST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOLSTI,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOLSIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOSTIL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZOSTLI,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZOSITL,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JZOSILT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOSLIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOTILSZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOTISLZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTISZL,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
JOTIZLS,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
JOTIZSL,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O
JOTLISZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTLIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOTLSIZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTLSZI,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOTLZIS,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X
JOTLZSI,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X
JOTSILZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTSIZL,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
JOTSLIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTSLZI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
JOTSZIL,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
JOTSZLI,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
JOTZILS,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JOTZISL,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O
JOTZLIS,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
JOTZLSI,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
JOTZSIL,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O
JOTZSLI,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
JOITLSZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOITLZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOITSLZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOITSZL,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
JOITZLS,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
JOITZSL,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O
JOILTSZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOILTZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOILSTZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOILSZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOILZST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOISTZL,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
JOISLTZ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOISLZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JOISZLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X
JOIZTSL,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O
JOIZLTS,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOIZLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O
JOIZSLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLTIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOLTSIZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLTSZI,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOLTZIS,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X
JOLTZSI,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X
JOLITSZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLITZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOLISTZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOLISZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JOLIZST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLSTZI,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOLSITZ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLSIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLSZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X
JOLZTSI,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X
JOLZITS,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLZIST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JOSTIZL,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
JOSTLIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOSTLZI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
JOSTZIL,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
JOSTZLI,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
JOSITLZ,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JOSITZL,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
JOSILTZ,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOSILZT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JOSIZLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOSLTZI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
JOSLITZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
JOSLIZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JOSLZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JOSZTLI,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X
JOSZITL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JOSZILT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOSZLIT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JOZTISL,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O
JOZTLIS,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JOZTLSI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JOZTSIL,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O
JOZTSLI,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X
JOZITLS,X,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JOZITSL,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O
JOZILTS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZILST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZISTL,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O
