sequence,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBfrB6?rBmnBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBzlB+?rBinB3sB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBKsBz?nBGmBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBUiBThBf?rBysBWxB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBumBXhBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeF8IvhFxdB6lB3hBO?sB8sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBmnBf?rB6rBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBmnBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBOsB8?sBCmBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhF1hBxiBGmBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBinBW?rB3sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex8IvhFlgBUiBOoB6?rBfrBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhFqhB8lBusBZ?nBFoBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhF3hBZnBznBG?mBUrBCtB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeX9IvhFlgBOoBxmBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeG8IvhFlgBymBXjBU?rBRsBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JefCJvhFlgB6nBOoB0?mBzlBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB2nB0mBz?lBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhBXjB2rBC?mB0nBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhB0iB2rBC?mBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB/nBOoB0?mBzlBxwB
JIOTLZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JIOTSLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JIOTSZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JIOTZLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JIOTZSL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JIOLTSZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JIOLTZS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JIOLSTZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLSZT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZTS,X,X,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JIOLZST,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JIOSTLZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JIOSTZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JIOSLTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZTL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JIOZTSL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JIOZLTS,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JIOZLST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JIOZSTL,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLTISZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTISOZ,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTIZSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIZOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSIZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTSZIO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSZOI,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSOIZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTSOZI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZISO,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTZIOS,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTZSIO,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTZSOI,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTZOIS,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTZOSI,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLTOISZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOIZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOSIZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOSZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOZIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOZSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITSZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLITSOZ,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLITZSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITZOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISTZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISTOZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISZTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLISZOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTSO,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIZTOS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIZSTO,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIZSOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOTS,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIZOST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTSZ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTZS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSZT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSTZIO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOIZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSTOZI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSITZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSITOZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTIO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZITO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSZOIT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSOTIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTZI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOITZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOIZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZTI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZIT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTISO,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTIOS,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTSIO,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTSOI,X,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTOIS,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTOSI,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZITSO,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZIOST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSITO,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZSOIT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZOTIS,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZOTSI,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZOITS,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZOIST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZOSTI,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZOSIT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOTISZ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTIZS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSZI,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZIS,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOTZSI,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOITSZ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISZT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOIZST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOSTIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTZI,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSITZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSIZT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOSZIT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOZTIS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOZTSI,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOZITS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOZIST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOZSTI,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLOZSIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTILZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIOLZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTIOZL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTLIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTLOZI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTZOLI,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTOIZL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTOLIZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTOLZI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTOZLI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZLOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIOTLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLITOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLIZOT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLZIOT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZOIT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOIZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZTLOI,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZITLO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZILOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZLIOT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLOIT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZOTIL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZOITL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZOLTI,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZOLIT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTILZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTIZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTLIZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTLZI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTZLI,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOITZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOILTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOLZIT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
