sequence,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhF3bBuhBciBZmBTl?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFTdBFgBXhB0hBmq?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhFRcBciBOlBThBfr?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFlbBGdBihBTlBxr?B3rB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFUgBFhBXiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBalBFiBGmBTn?BUrB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8JeR8IvhFciBFgBThBfrBmk?BCsB,v115@7gC8GeD8EeE8FeF8BeD8JeaBJvhFTdBFgBfrBUnB5m?BmpB
ITZOSLJ,O,X,O,X,X,X,O,X,X,X,X,X
ITZOSJL,O,X,O,X,X,X,O,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOLJZS,O,O,X,O,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOLZSJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,O,O,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,O,X,X,X,X,X,X,X,X
ITOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOJZSL,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJZL,O,O,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,X,X,X,X,X,O
ITOSZJL,O,X,X,O,X,X,X,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOZSJL,O,X,X,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,O,O,O,X,X,O,X,X,X,X
ILTJSOZ,X,O,O,X,X,X,X,O,X,X,X,X
ILTJZSO,O,O,O,O,O,X,X,O,X,X,X,X
ILTJZOS,O,O,O,O,O,X,X,X,X,X,X,X
ILTJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ILTJOZS,X,O,X,O,X,X,X,X,X,X,X,X
ILTSJZO,O,O,X,O,X,X,X,O,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,O,X,X,X,X
ILTSZJO,O,X,O,O,O,X,X,O,X,X,X,X
ILTSZOJ,O,X,O,X,O,X,X,O,X,X,O,X
ILTSOJZ,X,O,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,X,O,X,X,O,X
ILTZJSO,O,O,O,O,O,X,X,X,O,X,X,X
ILTZJOS,O,O,O,O,O,X,X,X,O,X,X,X
ILTZSJO,O,X,O,O,O,X,X,O,O,X,X,X
ILTZSOJ,O,X,O,X,O,X,X,O,X,X,O,X
ILTZOJS,O,O,O,O,O,X,X,X,X,X,X,X
ILTZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ILTOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILTOJZS,O,O,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILTOZJS,O,O,X,O,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,O,O,X,X,X,X,X,X,X,X
ILJTSZO,O,O,O,O,O,O,X,O,X,O,X,X
ILJTSOZ,X,O,O,X,X,X,X,O,X,O,X,X
ILJTZSO,O,O,O,O,O,O,X,O,X,O,X,X
ILJTZOS,O,O,O,O,O,O,X,X,X,X,X,X
ILJTOSZ,X,O,X,O,X,X,X,X,X,X,X,X
ILJTOZS,X,O,X,O,X,X,X,X,X,X,X,X
ILJSTZO,O,O,O,O,O,O,X,O,X,O,X,X
ILJSTOZ,X,O,O,X,X,X,X,O,X,O,X,X
ILJSZTO,O,X,O,O,O,O,O,O,X,O,X,X
ILJSZOT,O,X,O,X,O,O,X,O,X,O,X,X
ILJSOTZ,X,O,O,O,X,X,X,O,X,O,X,X
ILJSOZT,X,X,O,O,X,X,X,O,X,O,X,X
ILJZTSO,O,O,O,O,O,O,O,O,O,O,X,X
ILJZTOS,O,O,O,O,O,O,X,X,O,X,X,X
ILJZSTO,O,X,O,O,O,O,O,O,O,O,X,X
ILJZSOT,O,X,O,X,O,O,X,O,O,O,X,X
ILJZOTS,O,O,O,O,O,O,X,X,O,X,X,X
ILJZOST,O,X,X,O,O,O,X,X,O,X,X,X
ILJOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJOTZS,O,O,X,O,X,X,X,X,X,X,X,X
ILJOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,O,O,X,O,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,O,X,X,X,O,X,O,X,X
ILSTJOZ,X,O,X,X,X,X,X,O,X,O,X,X
ILSTZJO,O,X,O,O,O,X,X,O,X,O,X,X
ILSTZOJ,O,X,O,X,O,X,X,O,X,X,O,X
ILSTOJZ,X,O,X,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,O,X,X,X,X,O,X,X,O,X
ILSJTZO,O,O,O,O,X,O,X,O,X,O,X,X
ILSJTOZ,X,O,O,X,X,X,X,X,X,O,X,X
ILSJZTO,O,X,O,O,X,O,O,O,X,O,X,X
ILSJZOT,O,X,O,X,X,O,X,X,X,O,X,X
ILSJOTZ,X,O,O,O,X,X,X,X,X,O,X,X
ILSJOZT,X,X,O,O,X,X,X,X,X,O,X,X
ILSZTJO,O,X,O,O,O,O,O,O,X,O,X,X
ILSZTOJ,O,X,O,X,O,X,O,O,X,X,O,X
ILSZJTO,O,X,O,O,O,O,O,O,O,O,X,X
ILSZJOT,O,X,O,X,X,O,X,X,O,O,X,X
ILSZOTJ,O,X,O,X,O,X,X,O,X,X,O,X
ILSZOJT,O,X,O,X,X,O,X,X,X,O,O,X
ILSOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,O,O,X,X,X,O,X,X,O,X
ILSOJTZ,O,O,O,O,X,X,X,X,X,O,X,X
ILSOJZT,O,X,O,O,X,X,X,X,X,O,X,X
ILSOZTJ,O,X,O,O,X,X,X,O,X,X,O,X
ILSOZJT,O,X,O,O,X,X,X,X,X,O,O,X
ILZTJSO,O,O,O,O,O,O,X,X,O,X,X,X
ILZTJOS,O,O,O,O,O,O,X,X,O,X,X,X
ILZTSJO,O,X,O,O,O,O,O,O,O,X,X,X
ILZTSOJ,O,X,O,X,O,X,O,O,X,X,O,X
ILZTOJS,O,O,O,O,O,X,X,X,X,X,X,X
ILZTOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ILZJTSO,O,O,O,O,O,O,O,X,O,O,X,X
ILZJTOS,O,O,O,O,O,O,X,X,O,X,X,X
ILZJSTO,O,X,O,O,O,O,O,X,O,O,X,X
ILZJSOT,O,X,O,X,O,O,X,X,O,O,X,X
ILZJOTS,O,O,O,O,O,O,X,X,O,X,X,X
ILZJOST,O,X,X,O,O,O,X,X,O,X,X,X
ILZSTJO,O,X,O,O,O,O,O,O,X,O,X,X
ILZSTOJ,O,X,O,X,O,X,O,O,X,X,O,X
ILZSJTO,O,X,O,O,O,O,O,O,O,O,X,X
ILZSJOT,O,X,O,X,X,O,X,X,O,O,X,X
ILZSOTJ,O,X,O,X,O,X,X,O,X,X,O,X
ILZSOJT,O,X,O,X,X,O,X,X,X,O,O,X
ILZOTJS,O,O,O,O,O,X,X,X,X,X,X,X
ILZOTSJ,O,X,O,O,O,X,X,X,X,X,X,X
ILZOJTS,O,O,O,O,X,O,X,X,O,X,X,X
ILZOJST,O,X,X,O,X,O,X,X,O,X,X,X
ILZOSTJ,O,X,O,O,O,X,X,X,X,X,X,X
ILZOSJT,O,X,X,O,X,O,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTJZS,O,O,X,O,X,X,X,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,O,O,X,X,X,X,X,X,X,X
ILOJTSZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJTZS,O,O,X,O,X,X,X,X,X,X,X,X
ILOJSTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,X,O,X,X,X,X,X,X,X,X
ILOSJTZ,O,O,X,O,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,O,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,O,X,X,X,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,O,O,X,X,X,X,X,X,X,X
ILOZJTS,O,O,X,O,X,X,X,X,O,X,X,X
ILOZJST,O,X,X,O,X,X,X,X,O,X,X,X
ILOZSTJ,O,X,X,O,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,O,O,X,O,X,X,X,O,X,X
IJTLSOZ,X,O,O,X,X,X,X,X,X,O,X,X
IJTLZSO,O,O,O,O,X,O,X,X,X,O,X,X
IJTLZOS,O,O,O,O,X,O,X,X,X,X,X,X
IJTLOSZ,X,O,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,O,X,O,X,X,X,X,X,X,X,X
IJTSLZO,O,O,O,X,X,O,X,X,X,X,X,X
IJTSLOZ,X,O,O,X,X,X,X,X,X,X,X,X
IJTSZLO,O,X,O,X,X,X,O,O,X,X,X,X
IJTSZOL,O,O,O,X,X,X,O,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,X,X,X,X,X,X
IJTSOZL,X,O,O,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,O,O,O,O,O,X,X,O,X,X
IJTZLOS,X,O,O,O,O,O,X,X,X,X,X,X
IJTZSLO,O,X,O,O,X,X,O,O,X,X,X,X
IJTZSOL,O,O,O,X,X,X,O,X,X,X,X,X
IJTZOLS,X,O,O,O,X,X,X,X,X,X,X,X
IJTZOSL,O,O,O,X,X,X,O,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,O,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,X,O,X,O,X,X,X,X,X,X,X,X
IJTOSZL,X,O,X,O,X,X,X,X,X,X,X,X
IJTOZLS,X,O,X,O,X,X,X,X,X,X,X,X
IJTOZSL,X,O,X,O,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,O,O,O,X,O,X,O,X,X
IJLTSOZ,X,O,O,X,X,X,X,O,X,O,X,X
IJLTZSO,O,O,O,O,O,O,X,O,X,O,X,X
IJLTZOS,O,O,O,O,O,O,X,X,X,X,X,X
IJLTOSZ,X,O,X,O,X,X,X,X,X,X,X,X
IJLTOZS,X,O,X,O,X,X,X,X,X,X,X,X
IJLSTZO,O,O,O,O,O,O,X,O,X,O,X,X
IJLSTOZ,X,O,O,X,X,X,X,O,X,O,X,X
IJLSZTO,O,X,O,O,O,O,O,O,X,O,X,X
IJLSZOT,O,X,O,X,O,O,X,O,X,O,X,X
IJLSOTZ,X,O,O,O,X,X,X,O,X,O,X,X
IJLSOZT,X,X,O,O,X,X,X,O,X,O,X,X
IJLZTSO,O,O,O,O,O,O,O,O,O,O,X,X
IJLZTOS,O,O,O,O,O,O,X,X,O,X,X,X
IJLZSTO,O,X,O,O,O,O,O,O,O,O,X,X
IJLZSOT,O,X,O,X,O,O,X,O,O,O,X,X
IJLZOTS,O,O,O,O,O,O,X,X,O,X,X,X
IJLZOST,O,X,X,O,O,O,X,X,O,X,X,X
IJLOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLOTZS,O,O,X,O,X,X,X,X,X,X,X,X
IJLOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,O,O,X,O,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,O,X,X,X,X,X,X,X,X,X
IJSTLOZ,X,O,O,X,X,X,X,X,X,X,X,X
IJSTZLO,O,X,O,X,X,X,O,O,X,X,X,X
IJSTZOL,O,O,O,X,X,X,O,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,X,O,O,X,X,X,X,X,X,X,X,X
IJSLTZO,O,O,O,O,X,X,X,X,X,X,X,X
IJSLTOZ,X,O,O,X,X,X,X,X,X,X,X,X
IJSLZTO,O,X,O,O,X,X,O,X,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,O,O,O,X,X,X,X,X,X,X,X
IJSLOZT,X,X,O,O,X,X,X,X,X,X,X,X
IJSZTLO,O,X,O,O,X,X,O,O,X,X,X,X
IJSZTOL,O,X,O,X,X,X,O,X,X,X,X,X
IJSZLTO,O,X,O,O,O,X,O,X,X,X,X,X
IJSZLOT,X,X,O,X,O,X,X,X,X,X,X,X
IJSZOTL,O,X,O,X,X,X,O,X,X,X,X,X
IJSZOLT,X,X,O,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,O,X,O,X,X,X,X,X,X,X,X
IJSOTZL,X,O,O,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,O,X,X,X,X,X,X,X,X
IJSOLZT,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,X,X,O,O,X,X,O,X,X,X,X,X
IJSOZLT,X,X,O,O,X,X,X,X,X,X,X,X
IJZTLSO,O,O,O,O,O,O,O,X,X,O,X,X
IJZTLOS,X,O,O,O,O,O,X,X,X,X,X,X
IJZTSLO,O,X,O,O,X,X,O,O,X,X,X,X
IJZTSOL,O,O,O,X,X,X,O,X,X,X,X,X
IJZTOLS,O,O,O,O,X,X,X,X,X,X,X,X
IJZTOSL,O,O,O,O,X,X,O,X,X,X,X,X
IJZLTSO,O,O,O,O,O,O,O,O,X,O,X,X
IJZLTOS,X,O,O,O,O,O,X,X,X,X,X,X
IJZLSTO,O,X,O,O,O,O,O,O,X,O,X,X
IJZLSOT,X,X,O,X,O,O,X,O,X,O,X,X
IJZLOTS,O,O,O,O,O,O,X,X,X,X,X,X
IJZLOST,O,X,X,O,O,O,X,X,X,X,X,X
IJZSTLO,O,X,O,O,X,X,O,O,X,X,X,X
IJZSTOL,O,X,O,X,X,X,O,X,X,X,X,X
IJZSLTO,O,X,O,O,O,X,O,X,X,X,X,X
IJZSLOT,X,X,O,X,O,X,X,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X,O,X,X,X,X,X
IJZSOLT,O,X,O,X,X,X,X,X,X,X,X,X
IJZOTLS,O,O,O,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,O,O,X,X,O,X,X,X,X,X
IJZOLTS,O,O,X,O,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,O,O,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,X,O,X,X,X,X,X
IJZOSLT,O,X,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOTLZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,X,X,X,X,X
IJOTZLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOTZSL,O,O,X,O,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOLTZS,O,O,X,O,X,X,X,X,X,X,X,X
IJOLSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,O,X,O,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOSTZL,O,O,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,O,X,X,O,X,X,X,X,X
IJOSZLT,O,X,X,O,X,X,X,X,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,O,X,X,X,X,X
IJOZLTS,O,O,X,O,O,X,X,X,X,X,X,X
IJOZLST,O,X,X,O,O,X,X,X,X,X,X,X
IJOZSTL,O,X,X,O,X,X,O,X,X,X,X,X
IJOZSLT,O,X,X,O,X,X,X,X,X,X,X,X
ISTLJZO,O,O,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTLZJO,O,X,O,X,X,X,X,X,X,X,X,O
ISTLZOJ,O,X,O,X,X,X,X,X,X,X,O,O
ISTLOJZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,O,X,X,X,X,X,X,X,O,X
ISTJLZO,O,O,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTJZLO,O,X,X,X,X,X,O,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,O,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X,X,X,X,X
ISTZLJO,O,X,O,X,X,X,O,X,X,X,X,O
ISTZLOJ,O,X,O,X,X,X,O,X,X,X,O,O
ISTZJLO,O,X,O,X,X,X,O,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,O,X,X,X,X,X
ISTZOLJ,X,X,O,X,X,X,O,X,X,X,O,O
ISTZOJL,O,X,O,X,X,X,O,X,X,X,O,X
ISTOLJZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,O,X,X,X,X,X,X,X,O,O
ISTOZJL,O,X,O,X,X,X,X,X,X,X,O,X
ISLTJZO,O,O,X,O,X,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,X,X,X,X,X
ISLTZJO,O,X,O,O,X,X,X,X,X,X,X,O
ISLTZOJ,O,X,O,X,X,X,X,X,X,X,O,O
ISLTOJZ,X,O,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,O,X,X,X,X,X,X,X,O,X
ISLJTZO,O,O,O,O,X,X,X,X,X,X,X,X
ISLJTOZ,X,O,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,X,O,O,X,X,O,X,X,X,X,X
ISLJZOT,O,X,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,O,X,X,X,X,X,X,X,X
ISLJOZT,X,X,O,O,X,X,X,X,X,X,X,X
ISLZTJO,O,X,O,O,X,X,O,X,X,X,X,O
ISLZTOJ,O,X,O,X,X,X,O,X,X,X,O,O
ISLZJTO,O,X,O,O,X,X,O,X,O,X,X,X
ISLZJOT,O,X,O,X,X,X,X,X,O,X,X,X
ISLZOTJ,O,X,O,X,X,X,X,X,X,X,O,O
ISLZOJT,O,X,O,X,X,X,X,X,X,X,O,X
ISLOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X,X,X,X,O,X
ISLOJTZ,O,O,O,O,X,X,X,X,X,X,X,X
ISLOJZT,O,X,O,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,O,O,X,X,X,X,X,X,O,X
ISLOZJT,O,X,O,O,X,X,X,X,X,X,O,X
ISJTLZO,O,O,O,X,X,X,X,X,X,X,X,X
ISJTLOZ,X,O,O,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,O,X,X,X,O,X,X,X,X,X
ISJTZOL,O,O,O,X,X,X,O,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,O,O,X,X,X,X,X,X,X,X,X
ISJLTZO,O,O,O,O,X,X,X,X,X,X,X,X
ISJLTOZ,X,O,O,X,X,X,X,X,X,X,X,X
ISJLZTO,O,X,O,O,X,X,O,X,X,X,X,X
ISJLZOT,O,X,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,O,O,X,X,X,X,X,X,X,X
ISJLOZT,X,X,O,O,X,X,X,X,X,X,X,X
ISJZTLO,O,X,O,O,X,X,O,X,X,X,X,X
ISJZTOL,O,X,O,X,X,X,O,X,X,X,X,X
ISJZLTO,O,X,O,O,O,X,O,X,X,X,X,X
ISJZLOT,X,X,O,X,O,X,X,X,X,X,X,X
ISJZOTL,O,X,O,X,X,X,O,X,X,X,X,X
ISJZOLT,X,X,O,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,O,X,X,X,X,X,X,X,X
ISJOTZL,X,O,O,O,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,O,X,X,X,X,X,X,X,X
ISJOLZT,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,X,X,O,O,X,X,O,X,X,X,X,X
ISJOZLT,X,X,O,O,X,X,X,X,X,X,X,X
ISZTLJO,O,X,O,O,X,X,O,X,X,X,X,O
ISZTLOJ,O,X,O,X,X,X,O,X,X,X,O,O
ISZTJLO,O,X,O,O,X,X,O,X,X,X,X,X
ISZTJOL,O,X,O,X,X,X,O,X,X,X,X,X
ISZTOLJ,X,X,O,X,X,X,O,X,X,X,O,O
ISZTOJL,O,X,O,X,X,X,O,X,X,X,O,X
ISZLTJO,O,X,O,O,O,O,O,X,X,X,X,O
ISZLTOJ,O,X,O,X,O,X,O,X,X,X,O,O
ISZLJTO,O,X,O,O,O,O,O,X,X,X,X,X
ISZLJOT,O,X,O,X,X,O,X,X,X,X,X,X
ISZLOTJ,O,X,O,X,O,X,X,X,X,X,O,O
ISZLOJT,O,X,O,X,X,O,X,X,X,X,O,X
ISZJTLO,O,X,O,O,X,X,O,X,X,X,X,X
ISZJTOL,O,X,O,X,X,X,O,X,X,X,X,X
ISZJLTO,O,X,O,O,O,X,O,X,X,X,X,X
ISZJLOT,X,X,O,X,O,X,X,X,X,X,X,X
ISZJOTL,O,X,O,X,X,X,O,X,X,X,X,X
ISZJOLT,O,X,O,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,O,X,X,X,O,X,X,X,O,O
ISZOTJL,O,X,O,X,X,X,O,X,X,X,O,X
ISZOLTJ,O,X,O,X,X,X,X,X,X,X,O,O
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,O,X,X,X,O,X,X,X,O,X
ISZOJLT,O,X,O,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,O,X,X,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,O,X,X,X,X,X,X,O,O
ISOTZJL,O,X,O,O,X,X,X,X,X,X,O,X
ISOLTJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,O,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOJTZL,O,O,O,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,O,X,O,O,X,X,O,X,X,X,X,X
ISOJZLT,O,X,O,O,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,O,O,X,X,O,X,X,X,O,O
ISOZTJL,O,X,O,O,X,X,O,X,X,X,O,X
ISOZLTJ,O,X,O,O,X,X,X,X,X,X,O,O
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X,X
ISOZJTL,O,X,O,O,X,X,O,X,X,X,O,X
ISOZJLT,O,X,O,O,X,X,X,X,X,X,X,X
IZTLJSO,O,O,O,O,O,O,X,X,O,X,X,X
IZTLJOS,O,O,O,O,O,O,X,X,O,X,X,X
IZTLSJO,O,X,O,O,O,O,O,O,O,X,X,X
IZTLSOJ,O,X,O,X,O,X,O,O,X,X,O,X
IZTLOJS,O,O,O,O,O,X,X,X,X,X,X,X
IZTLOSJ,O,X,O,X,O,X,X,X,X,X,X,X
IZTJLSO,O,O,O,O,O,X,O,X,O,O,X,X
IZTJLOS,O,O,O,O,O,X,X,X,O,X,X,X
IZTJSLO,O,X,O,O,X,X,O,O,O,X,X,X
IZTJSOL,O,O,O,X,X,X,O,X,X,X,X,X
IZTJOLS,O,O,O,O,X,X,X,X,X,X,X,X
IZTJOSL,O,O,O,O,X,X,O,X,X,X,X,X
IZTSLJO,O,X,O,O,X,X,O,X,O,X,X,X
IZTSLOJ,O,X,O,X,X,X,O,X,X,X,O,X
IZTSJLO,O,X,O,O,X,X,O,X,O,X,X,X
IZTSJOL,O,X,O,X,X,X,O,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,X,O,X,X,X,O,X
IZTSOJL,O,X,O,X,X,X,O,X,X,X,O,X
IZTOLJS,O,O,O,O,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,O,O,X,X,X,X,X,X,X,X
IZTOJLS,O,O,O,O,X,X,X,X,X,X,X,X
IZTOJSL,O,O,O,O,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,O,O,X,X,O,X,X,X,X,X
IZTOSJL,O,X,O,O,X,X,O,X,X,X,X,X
IZLTJSO,O,O,O,O,O,O,X,X,O,X,X,X
IZLTJOS,O,O,O,O,O,O,X,X,O,X,X,X
IZLTSJO,O,X,O,O,O,O,O,O,O,X,X,X
IZLTSOJ,O,X,O,X,O,X,O,O,X,X,O,X
