sequence,v115@PhC8GeD8BeB8AeC8JeT/IvhFelBChBxiBlmBcsB3qB,v115@PhC8GeD8BeB8AeC8Je/EJvhFRgBzhBCjBOqB8qBFsB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBzkB+qB3mBcsB,v115@PhC8GeD8BeB8AeC8JemAJvhFzhBCjBxkB0kB3qBFsB,v115@PhC8GeD8BeB8AeC8Jex/IvhFmhBCjB0kBXmBFsBTqB,v115@PhC8GeD8BeB8AeC8Je/EJvhFUgBamBWnBxnBTqBFsB,v115@PhC8GeD8BeB8AeC8JemBJvhFCjBxkBXmB0kBFsBTqB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBWqB3mBcsBTqB,v115@PhC8GeD8BeB8AeC8Je3BJvhFxkBOsBlkBUmBCoBTqB
IJSZLOT,O,X,O,X,X,X,X,O,O
IJSZOTL,O,X,O,X,X,X,X,O,O
IJSZOLT,O,X,O,X,X,X,X,O,O
IJSOTLZ,O,X,O,X,X,O,X,X,O
IJSOTZL,O,X,O,X,X,O,X,X,O
IJSOLTZ,O,X,O,X,X,X,X,X,O
IJSOLZT,O,X,O,X,X,X,X,X,O
IJSOZTL,O,X,O,X,X,O,X,X,O
IJSOZLT,O,X,O,X,X,X,X,X,O
IJZTLSO,O,X,O,X,X,X,X,O,X
IJZTLOS,O,X,O,O,X,X,X,X,X
IJZTSLO,O,X,O,X,X,X,X,O,X
IJZTSOL,O,X,O,X,X,X,X,O,X
IJZTOLS,O,X,O,O,X,X,X,X,X
IJZTOSL,O,X,O,X,X,X,X,X,X
IJZLTSO,O,X,O,X,X,X,X,O,X
IJZLTOS,O,X,O,O,X,X,X,X,X
IJZLSTO,X,X,O,X,X,X,X,O,X
IJZLSOT,X,X,O,X,X,X,X,O,X
IJZLOTS,O,X,O,X,X,X,X,X,X
IJZLOST,X,X,O,X,X,X,X,O,X
IJZSTLO,O,X,O,X,X,X,X,O,O
IJZSTOL,O,X,O,X,X,X,X,O,O
IJZSLTO,O,X,O,X,X,X,X,O,O
IJZSLOT,O,X,O,X,X,X,X,O,O
IJZSOTL,O,X,O,X,X,X,X,O,O
IJZSOLT,O,X,O,X,X,X,X,O,O
IJZOTLS,O,X,O,X,X,X,X,X,X
IJZOTSL,O,X,O,X,X,X,X,X,X
IJZOLTS,O,X,O,X,X,X,X,X,X
IJZOLST,X,X,O,X,X,X,X,O,X
IJZOSTL,O,X,O,X,X,X,X,O,X
IJZOSLT,O,X,O,X,X,X,X,O,X
IJOTLSZ,X,X,O,O,X,O,X,X,X
IJOTLZS,O,X,O,O,X,O,X,X,X
IJOTSLZ,X,X,O,O,X,O,X,X,O
IJOTSZL,X,X,O,X,X,O,X,X,O
IJOTZLS,O,X,O,O,X,O,X,X,X
IJOTZSL,O,X,O,X,X,O,X,X,X
IJOLTSZ,X,X,O,O,X,X,X,X,X
IJOLTZS,X,X,O,O,X,X,X,X,X
IJOLSTZ,X,X,O,X,X,X,X,X,O
IJOLSZT,X,X,O,X,X,X,X,X,O
IJOLZTS,O,X,O,X,X,X,X,X,X
IJOLZST,X,X,O,X,X,X,X,O,X
IJOSTLZ,O,X,O,X,X,O,X,X,O
IJOSTZL,O,X,O,X,X,O,X,X,O
IJOSLTZ,O,X,O,X,X,X,X,X,O
IJOSLZT,O,X,O,X,X,X,X,X,O
IJOSZTL,O,X,O,X,X,O,X,X,O
IJOSZLT,O,X,O,X,X,X,X,X,O
IJOZTLS,O,X,O,X,X,X,X,X,X
IJOZTSL,O,X,O,X,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,X,X,X
IJOZLST,X,X,O,X,X,X,X,O,X
IJOZSTL,O,X,O,X,X,X,X,O,O
IJOZSLT,O,X,O,X,X,X,X,O,O
ISTLJZO,O,X,X,O,O,O,O,X,X
ISTLJOZ,O,O,X,O,X,O,O,X,X
ISTLZJO,O,O,O,O,O,O,O,O,X
ISTLZOJ,O,O,O,O,O,O,X,O,X
ISTLOJZ,X,O,X,O,X,O,O,X,X
ISTLOZJ,X,O,X,O,X,O,X,X,X
ISTJLZO,O,X,O,O,O,O,O,O,X
ISTJLOZ,O,O,X,O,X,O,O,X,X
ISTJZLO,O,X,O,O,O,O,O,O,X
ISTJZOL,O,X,O,O,O,O,X,O,X
ISTJOLZ,O,O,O,O,X,O,O,X,X
ISTJOZL,O,X,O,O,X,O,X,X,X
ISTZLJO,O,O,O,O,O,O,O,O,X
ISTZLOJ,O,O,O,O,O,O,X,O,X
ISTZJLO,O,O,O,O,O,O,O,O,X
ISTZJOL,O,O,O,O,O,O,X,O,X
ISTZOLJ,O,O,O,O,O,O,X,O,X
ISTZOJL,O,O,O,O,O,O,X,O,X
ISTOLJZ,X,O,X,O,X,O,O,X,X
ISTOLZJ,X,O,X,O,X,O,X,X,X
ISTOJLZ,O,O,X,O,X,O,O,X,X
ISTOJZL,O,X,X,O,X,O,X,X,X
ISTOZLJ,O,O,X,O,X,O,X,X,X
ISTOZJL,O,O,X,O,X,O,X,X,X
ISLTJZO,O,X,X,O,X,O,O,X,X
ISLTJOZ,O,O,X,O,X,O,O,X,X
ISLTZJO,O,O,O,O,X,O,O,O,X
ISLTZOJ,O,O,O,O,X,O,X,O,X
ISLTOJZ,X,O,X,O,X,O,O,X,X
ISLTOZJ,X,O,X,O,X,O,X,X,X
ISLJTZO,O,X,O,O,X,X,X,O,X
ISLJTOZ,O,O,O,O,X,X,X,X,X
ISLJZTO,O,O,O,O,X,X,X,O,X
ISLJZOT,O,X,O,X,X,X,X,O,X
ISLJOTZ,O,X,X,O,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X
ISLZTJO,O,O,O,O,X,O,X,O,X
ISLZTOJ,O,O,O,O,X,O,X,O,X
ISLZJTO,O,O,O,O,X,X,X,O,X
ISLZJOT,O,O,O,X,X,X,X,O,X
ISLZOTJ,O,O,O,X,X,X,X,O,X
ISLZOJT,O,X,O,X,X,X,X,O,X
ISLOTJZ,X,O,X,O,X,O,X,X,X
ISLOTZJ,X,O,X,O,X,O,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X,X,X
ISLOZTJ,O,O,O,X,X,O,X,X,X
ISLOZJT,O,X,O,X,X,X,X,X,X
ISJTLZO,O,X,O,O,X,O,O,O,O
ISJTLOZ,O,O,O,O,X,O,O,X,O
ISJTZLO,O,X,O,O,X,O,O,O,O
ISJTZOL,O,X,O,O,X,O,X,O,O
ISJTOLZ,O,O,O,O,X,O,O,X,O
ISJTOZL,O,X,O,O,X,O,X,X,O
ISJLTZO,O,X,O,O,X,X,X,O,O
ISJLTOZ,O,O,O,O,X,X,X,X,O
ISJLZTO,O,O,O,O,X,X,X,O,O
ISJLZOT,O,X,O,X,X,X,X,O,O
ISJLOTZ,O,X,X,O,X,X,X,X,O
ISJLOZT,O,X,X,X,X,X,X,X,O
ISJZTLO,O,O,O,O,X,O,X,O,O
ISJZTOL,O,O,O,O,X,O,X,O,O
ISJZLTO,O,O,O,O,X,X,X,O,O
ISJZLOT,O,X,O,X,X,X,X,O,O
ISJZOTL,O,X,O,X,X,X,X,O,O
ISJZOLT,O,X,O,X,X,X,X,O,O
ISJOTLZ,O,X,O,O,X,O,X,X,O
ISJOTZL,O,X,O,O,X,O,X,X,O
ISJOLTZ,O,X,O,O,X,X,X,X,O
ISJOLZT,O,X,O,X,X,X,X,X,O
ISJOZTL,O,X,O,X,X,O,X,X,O
ISJOZLT,O,X,O,X,X,X,X,X,O
ISZTLJO,O,O,O,O,O,O,O,O,X
ISZTLOJ,O,O,O,O,O,O,X,O,X
ISZTJLO,O,O,O,O,O,O,O,O,X
ISZTJOL,O,O,O,O,O,O,X,O,X
ISZTOLJ,O,O,O,O,O,O,X,O,X
ISZTOJL,O,O,O,O,O,O,X,O,X
ISZLTJO,O,O,O,O,O,O,X,O,X
ISZLTOJ,O,O,O,O,O,O,X,O,X
ISZLJTO,O,O,O,O,X,X,X,O,X
ISZLJOT,O,O,O,X,X,X,X,O,X
ISZLOTJ,O,O,O,X,X,X,X,O,X
ISZLOJT,O,X,O,X,X,X,X,O,X
ISZJTLO,O,O,O,O,O,O,X,O,X
ISZJTOL,O,O,O,O,O,O,X,O,X
ISZJLTO,O,O,O,O,X,X,X,O,X
ISZJLOT,O,O,O,X,X,X,X,O,X
ISZJOTL,O,O,O,X,X,X,X,O,X
ISZJOLT,O,O,O,X,X,X,X,O,X
ISZOTLJ,O,O,O,X,O,O,X,O,X
ISZOTJL,O,O,O,X,O,O,X,O,X
ISZOLTJ,O,O,O,X,X,O,X,O,X
ISZOLJT,O,X,O,X,X,X,X,O,X
ISZOJTL,O,X,O,X,X,O,X,O,X
ISZOJLT,O,X,O,X,X,X,X,O,X
ISOTLJZ,X,O,X,O,X,O,O,X,X
ISOTLZJ,X,O,X,O,X,O,X,X,X
ISOTJLZ,O,O,X,O,X,O,O,X,X
ISOTJZL,O,X,X,O,X,O,X,X,X
ISOTZLJ,O,O,X,O,X,O,X,X,X
ISOTZJL,O,X,X,O,X,O,X,X,X
ISOLTJZ,X,O,X,O,X,O,X,X,X
ISOLTZJ,X,O,X,O,X,O,X,X,X
ISOLJTZ,O,X,O,O,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,O,X,X,X
ISOLZJT,O,X,O,X,X,X,X,X,X
ISOJTLZ,O,X,O,O,X,O,X,X,X
ISOJTZL,O,X,O,O,X,O,X,X,X
ISOJLTZ,O,X,O,O,X,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X,X,X
ISOJZTL,O,X,O,X,X,O,X,X,X
ISOJZLT,O,X,O,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,O,X,X,X
ISOZTJL,O,O,O,X,X,O,X,X,X
ISOZLTJ,O,O,O,X,X,O,X,X,X
ISOZLJT,O,X,O,X,X,X,X,X,X
ISOZJTL,O,X,O,X,X,O,X,X,X
ISOZJLT,O,X,O,X,X,X,X,X,X
IZTLJSO,O,O,O,X,O,O,X,O,X
IZTLJOS,O,O,O,O,O,O,X,X,X
IZTLSJO,O,O,O,X,O,O,O,O,X
IZTLSOJ,O,O,O,X,O,O,X,O,X
IZTLOJS,O,O,O,O,O,O,X,X,X
IZTLOSJ,O,O,O,X,O,O,X,X,X
IZTJLSO,O,O,O,X,O,O,X,O,X
IZTJLOS,O,O,O,O,O,O,X,X,X
IZTJSLO,O,O,O,X,O,O,X,O,X
IZTJSOL,O,O,O,X,O,O,X,O,X
IZTJOLS,O,O,O,O,O,O,X,X,X
IZTJOSL,O,O,O,X,X,O,X,X,X
IZTSLJO,O,O,O,X,O,O,O,O,X
IZTSLOJ,O,O,O,X,O,O,X,O,X
IZTSJLO,O,O,O,X,O,O,O,O,X
IZTSJOL,O,O,O,X,O,O,X,O,X
IZTSOLJ,O,O,O,X,O,O,X,O,X
IZTSOJL,O,O,O,X,O,O,X,O,X
IZTOLJS,O,O,O,O,O,O,X,X,X
IZTOLSJ,O,O,O,X,O,O,X,X,X
IZTOJLS,O,O,O,O,O,O,X,X,X
IZTOJSL,O,O,O,X,X,O,X,X,X
IZTOSLJ,O,O,O,X,O,O,X,X,X
IZTOSJL,O,O,O,X,O,O,X,X,X
IZLTJSO,O,O,O,X,O,X,X,O,X
IZLTJOS,O,O,O,O,O,X,X,X,X
IZLTSJO,O,O,O,X,O,X,O,O,X
IZLTSOJ,O,O,O,X,O,X,X,O,X
IZLTOJS,O,O,O,O,O,X,X,X,X
IZLTOSJ,O,O,O,X,O,X,X,X,X
IZLJTSO,O,O,O,X,O,X,X,O,X
IZLJTOS,O,O,O,O,O,X,X,X,X
IZLJSTO,X,O,O,X,X,X,X,O,X
IZLJSOT,X,O,O,X,X,X,X,O,X
IZLJOTS,O,X,O,X,X,X,X,X,X
IZLJOST,X,X,O,X,X,X,X,O,X
IZLSTJO,O,O,O,X,O,X,X,O,X
IZLSTOJ,O,O,O,X,O,X,X,O,X
IZLSJTO,O,O,O,X,X,X,X,O,X
IZLSJOT,O,O,O,X,X,X,X,O,X
IZLSOTJ,O,O,O,X,X,X,X,O,X
IZLSOJT,O,X,O,X,X,X,X,O,X
IZLOTJS,O,X,O,X,O,X,X,X,X
IZLOTSJ,O,X,O,X,O,X,X,X,X
IZLOJTS,O,X,O,X,X,X,X,X,X
IZLOJST,X,X,O,X,X,X,X,O,X
IZLOSTJ,O,X,O,X,X,X,X,O,X
IZLOSJT,O,X,O,X,X,X,X,O,X
IZJTLSO,O,O,O,X,O,X,X,O,X
IZJTLOS,O,O,O,O,O,X,X,X,X
IZJTSLO,O,O,O,X,O,X,X,O,X
IZJTSOL,O,O,O,X,O,X,X,O,X
IZJTOLS,O,O,O,O,O,X,X,X,X
IZJTOSL,O,O,O,X,X,X,X,X,X
IZJLTSO,O,O,O,X,O,X,X,O,X
IZJLTOS,O,O,O,O,O,X,X,X,X
IZJLSTO,X,O,O,X,X,X,X,O,X
IZJLSOT,X,O,O,X,X,X,X,O,X
IZJLOTS,O,X,O,X,X,X,X,X,X
IZJLOST,X,X,O,X,X,X,X,O,X
IZJSTLO,O,O,O,X,O,X,X,O,O
IZJSTOL,O,O,O,X,O,X,X,O,O
IZJSLTO,O,O,O,X,X,X,X,O,O
IZJSLOT,O,O,O,X,X,X,X,O,O
IZJSOTL,O,O,O,X,X,X,X,O,O
IZJSOLT,O,O,O,X,X,X,X,O,O
IZJOTLS,O,X,O,X,X,X,X,X,X
IZJOTSL,O,X,O,X,X,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X,X,X
IZJOLST,X,X,O,X,X,X,X,O,X
IZJOSTL,O,X,O,X,X,X,X,O,X
IZJOSLT,O,X,O,X,X,X,X,O,X
IZSTLJO,O,O,O,X,O,O,O,O,X
IZSTLOJ,O,O,O,X,O,O,X,O,X
IZSTJLO,O,O,O,X,O,O,O,O,X
IZSTJOL,O,O,O,X,O,O,X,O,X
IZSTOLJ,O,O,O,X,O,O,X,O,X
IZSTOJL,O,O,O,X,O,O,X,O,X
IZSLTJO,O,O,O,X,O,O,X,O,X
IZSLTOJ,O,O,O,X,O,O,X,O,X
IZSLJTO,O,O,O,X,X,X,X,O,X
IZSLJOT,O,O,O,X,X,X,X,O,X
IZSLOTJ,O,O,O,X,X,X,X,O,X
IZSLOJT,O,X,O,X,X,X,X,O,X
IZSJTLO,O,O,O,X,O,O,X,O,X
IZSJTOL,O,O,O,X,O,O,X,O,X
IZSJLTO,O,O,O,X,X,X,X,O,X
IZSJLOT,O,O,O,X,X,X,X,O,X
IZSJOTL,O,O,O,X,X,X,X,O,X
IZSJOLT,O,O,O,X,X,X,X,O,X
IZSOTLJ,O,O,O,X,O,O,X,O,X
IZSOTJL,O,O,O,X,O,O,X,O,X
IZSOLTJ,O,O,O,X,X,O,X,O,X
IZSOLJT,O,X,O,X,X,X,X,O,X
IZSOJTL,O,X,O,X,X,O,X,O,X
IZSOJLT,O,X,O,X,X,X,X,O,X
IZOTLJS,O,X,O,X,O,O,X,X,X
IZOTLSJ,O,X,O,X,O,O,X,X,X
IZOTJLS,O,X,O,X,O,O,X,X,X
IZOTJSL,O,X,O,X,X,O,X,X,X
IZOTSLJ,O,X,O,X,O,O,X,X,X
IZOTSJL,O,X,O,X,O,O,X,X,X
IZOLTJS,O,X,O,X,O,X,X,X,X
IZOLTSJ,O,X,O,X,O,X,X,X,X
IZOLJTS,O,X,O,X,X,X,X,X,X
IZOLJST,X,X,O,X,X,X,X,O,X
IZOLSTJ,O,X,O,X,X,X,X,O,X
IZOLSJT,O,X,O,X,X,X,X,O,X
IZOJTLS,O,X,O,X,X,X,X,X,X
IZOJTSL,O,X,O,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X
IZOJLST,X,X,O,X,X,X,X,O,X
IZOJSTL,O,X,O,X,X,X,X,O,X
IZOJSLT,O,X,O,X,X,X,X,O,X
IZOSTLJ,O,X,O,X,O,O,X,O,X
IZOSTJL,O,X,O,X,O,O,X,O,X
IZOSLTJ,O,X,O,X,X,O,X,O,X
IZOSLJT,O,X,O,X,X,X,X,O,X
IZOSJTL,O,X,O,X,X,O,X,O,X
IZOSJLT,O,X,O,X,X,X,X,O,X
IOTLJSZ,X,X,O,O,X,O,X,X,X
IOTLJZS,X,X,O,O,X,O,X,X,X
IOTLSJZ,X,X,X,O,X,O,O,X,X
IOTLSZJ,X,X,X,X,X,O,X,X,X
IOTLZJS,X,X,O,O,X,O,X,X,X
IOTLZSJ,X,X,O,X,X,O,X,X,X
IOTJLSZ,X,X,O,O,X,O,X,X,X
IOTJLZS,O,X,O,O,X,O,X,X,X
IOTJSLZ,X,X,O,O,X,O,X,X,O
IOTJSZL,X,X,X,X,X,O,X,X,O
IOTJZLS,O,X,O,O,X,O,X,X,X
IOTJZSL,O,X,O,X,X,O,X,X,X
IOTSLJZ,X,X,X,O,X,O,O,X,X
IOTSLZJ,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,X,X,O,X,O,O,X,X
IOTSJZL,O,X,X,X,X,O,X,X,X
IOTSZLJ,O,X,X,X,X,O,X,X,X
IOTSZJL,O,X,X,X,X,O,X,X,X
IOTZLJS,O,X,O,O,X,O,X,X,X
IOTZLSJ,O,X,O,X,X,O,X,X,X
IOTZJLS,O,X,O,O,X,O,X,X,X
IOTZJSL,O,X,O,X,X,O,X,X,X
IOTZSLJ,O,X,O,X,X,O,X,X,X
IOTZSJL,O,X,O,X,X,O,X,X,X
IOLTJSZ,X,X,O,O,X,O,X,X,X
IOLTJZS,X,X,O,O,X,O,X,X,X
IOLTSJZ,X,X,X,O,X,O,O,X,X
IOLTSZJ,X,X,X,X,X,O,X,X,X
IOLTZJS,X,X,O,O,X,O,X,X,X
IOLTZSJ,X,X,O,X,X,O,X,X,X
IOLJTSZ,X,X,O,O,X,X,X,X,X
IOLJTZS,X,X,O,O,X,X,X,X,X
IOLJSTZ,X,X,O,X,X,X,X,X,O
IOLJSZT,X,X,O,X,X,X,X,X,O
IOLJZTS,O,X,O,X,X,X,X,X,X
IOLJZST,X,X,O,X,X,X,X,O,X
IOLSTJZ,X,X,X,X,X,O,X,X,X
IOLSTZJ,X,X,X,X,X,O,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,X,X
IOLSJZT,O,X,O,X,X,X,X,X,X
IOLSZTJ,O,X,O,X,X,O,X,X,X
IOLSZJT,O,X,O,X,X,X,X,X,X
IOLZTJS,O,X,O,X,X,X,X,X,X
IOLZTSJ,O,X,O,X,X,X,X,X,X
IOLZJTS,O,X,O,X,X,X,X,X,X
IOLZJST,X,X,O,X,X,X,X,O,X
IOLZSTJ,O,X,O,X,X,X,X,O,X
IOLZSJT,O,X,O,X,X,X,X,O,X
IOJTLSZ,X,X,O,O,X,O,X,X,X
IOJTLZS,O,X,O,O,X,O,X,X,X
IOJTSLZ,X,X,O,O,X,O,X,X,O
IOJTSZL,X,X,O,X,X,O,X,X,O
IOJTZLS,O,X,O,O,X,O,X,X,X
IOJTZSL,O,X,O,X,X,O,X,X,X
IOJLTSZ,X,X,O,O,X,X,X,X,X
IOJLTZS,X,X,O,O,X,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,X,X,O
IOJLSZT,X,X,O,X,X,X,X,X,O
IOJLZTS,O,X,O,X,X,X,X,X,X
IOJLZST,X,X,O,X,X,X,X,O,X
IOJSTLZ,O,X,O,X,X,O,X,X,O
IOJSTZL,O,X,O,X,X,O,X,X,O
IOJSLTZ,O,X,O,X,X,X,X,X,O
IOJSLZT,O,X,O,X,X,X,X,X,O
IOJSZTL,O,X,O,X,X,O,X,X,O
IOJSZLT,O,X,O,X,X,X,X,X,O
IOJZTLS,O,X,O,X,X,X,X,X,X
IOJZTSL,O,X,O,X,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X,X
IOJZLST,X,X,O,X,X,X,X,O,X
IOJZSTL,O,X,O,X,X,X,X,O,O
IOJZSLT,O,X,O,X,X,X,X,O,O
IOSTLJZ,X,X,X,X,X,O,O,X,X
IOSTLZJ,X,X,X,X,X,O,X,X,X
IOSTJLZ,O,X,X,X,X,O,O,X,X
IOSTJZL,O,X,X,X,X,O,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,X,X
IOSTZJL,O,X,X,X,X,O,X,X,X
IOSLTJZ,X,X,X,X,X,O,X,X,X
IOSLTZJ,X,X,X,X,X,O,X,X,X
IOSLJTZ,O,X,O,X,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,O,X,X,X
IOSLZJT,O,X,O,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,X,O,X,X,O
IOSJTZL,O,X,O,X,X,O,X,X,O
IOSJLTZ,O,X,O,X,X,X,X,X,O
IOSJLZT,O,X,O,X,X,X,X,X,O
IOSJZTL,O,X,O,X,X,O,X,X,O
IOSJZLT,O,X,O,X,X,X,X,X,O
IOSZTLJ,O,X,O,X,X,O,X,X,X
IOSZTJL,O,X,O,X,X,O,X,X,X
IOSZLTJ,O,X,O,X,X,O,X,X,X
IOSZLJT,O,X,O,X,X,X,X,X,X
IOSZJTL,O,X,O,X,X,O,X,X,X
IOSZJLT,O,X,O,X,X,X,X,X,X
IOZTLJS,O,X,O,X,X,O,X,X,X
IOZTLSJ,O,X,O,X,X,O,X,X,X
IOZTJLS,O,X,O,X,X,O,X,X,X
IOZTJSL,O,X,O,X,X,O,X,X,X
IOZTSLJ,O,X,O,X,X,O,X,X,X
IOZTSJL,O,X,O,X,X,O,X,X,X
IOZLTJS,O,X,O,X,X,X,X,X,X
IOZLTSJ,O,X,O,X,X,X,X,X,X
IOZLJTS,O,X,O,X,X,X,X,X,X
IOZLJST,X,X,O,X,X,X,X,O,X
IOZLSTJ,O,X,O,X,X,X,X,O,X
IOZLSJT,O,X,O,X,X,X,X,O,X
IOZJTLS,O,X,O,X,X,X,X,X,X
IOZJTSL,O,X,O,X,X,X,X,X,X
IOZJLTS,O,X,O,X,X,X,X,X,X
IOZJLST,X,X,O,X,X,X,X,O,X
IOZJSTL,O,X,O,X,X,X,X,O,O
IOZJSLT,O,X,O,X,X,X,X,O,O
IOZSTLJ,O,X,O,X,X,O,X,O,X
IOZSTJL,O,X,O,X,X,O,X,O,X
IOZSLTJ,O,X,O,X,X,O,X,O,X
IOZSLJT,O,X,O,X,X,X,X,O,X
IOZSJTL,O,X,O,X,X,O,X,O,X
IOZSJLT,O,X,O,X,X,X,X,O,X
LTIJSZO,X,X,O,X,O,O,O,X,X
LTIJSOZ,X,X,O,O,X,O,O,X,X
LTIJZSO,O,X,O,X,O,O,X,O,X
LTIJZOS,O,X,O,O,O,O,X,X,X
LTIJOSZ,X,X,O,O,X,O,X,X,X
LTIJOZS,O,X,O,O,X,O,X,X,X
LTISJZO,O,X,X,O,O,O,O,X,X
LTISJOZ,O,O,X,O,X,O,O,X,X
LTISZJO,O,O,X,O,O,O,O,X,X
LTISZOJ,O,O,X,O,O,O,X,X,X
LTISOJZ,X,O,X,O,X,O,O,X,X
LTISOZJ,X,O,X,O,X,O,X,X,X
LTIZJSO,O,O,O,X,O,O,X,O,X
LTIZJOS,O,O,O,O,O,O,X,X,X
LTIZSJO,O,O,O,X,O,O,O,O,X
LTIZSOJ,O,O,O,X,O,O,X,O,X
LTIZOJS,O,O,O,O,O,O,X,X,X
LTIZOSJ,O,O,O,X,O,O,X,X,X
LTIOJSZ,X,X,O,O,X,O,X,X,X
LTIOJZS,X,X,O,O,X,O,X,X,X
LTIOSJZ,X,O,X,O,X,O,O,X,X
LTIOSZJ,X,O,X,O,X,O,X,X,X
LTIOZJS,X,O,O,O,X,O,X,X,X
LTIOZSJ,X,O,O,X,X,O,X,X,X
LTJISZO,X,X,O,X,O,O,O,X,X
LTJISOZ,X,X,O,O,X,O,O,X,X
LTJIZSO,O,X,O,X,O,O,X,O,X
LTJIZOS,O,X,O,O,O,O,X,X,X
LTJIOSZ,X,X,O,O,X,O,X,X,X
LTJIOZS,O,X,O,O,X,O,X,X,X
LTJSIZO,O,X,O,O,O,O,O,O,X
LTJSIOZ,O,O,O,O,X,O,O,X,X
LTJSZIO,O,O,O,O,O,O,O,O,X
LTJSZOI,O,O,O,O,O,O,X,O,X
LTJSOIZ,O,O,X,O,X,O,O,X,X
LTJSOZI,O,O,O,O,O,O,X,O,X
LTJZISO,O,O,O,X,O,O,X,O,X
LTJZIOS,O,O,O,X,O,O,X,X,X
LTJZSIO,O,O,O,X,O,O,O,O,X
LTJZSOI,O,O,O,X,O,O,X,O,X
LTJZOIS,O,O,O,X,O,O,X,X,X
LTJZOSI,O,O,X,X,O,O,X,X,X
LTJOISZ,X,X,O,O,X,O,X,X,X
LTJOIZS,O,X,O,O,X,O,X,X,X
LTJOSIZ,X,O,X,O,X,O,O,X,X
LTJOSZI,O,O,O,O,O,O,X,X,X
LTJOZIS,O,O,O,X,O,O,X,X,X
LTJOZSI,O,O,X,X,O,O,X,X,X
LTSIJZO,O,X,X,O,O,O,O,X,X
LTSIJOZ,O,O,X,O,X,O,O,X,X
LTSIZJO,O,O,O,O,O,O,O,O,X
LTSIZOJ,O,O,O,O,O,O,X,O,X
LTSIOJZ,X,O,X,O,X,O,O,X,X
LTSIOZJ,X,O,X,O,X,O,X,X,X
LTSJIZO,O,X,O,O,O,O,O,O,X
LTSJIOZ,O,O,X,O,X,O,O,X,X
LTSJZIO,O,O,O,O,O,O,O,O,X
LTSJZOI,O,O,O,O,O,O,X,O,X
LTSJOIZ,O,O,X,O,X,O,O,X,X
LTSJOZI,O,O,O,O,O,O,X,O,X
LTSZIJO,O,O,O,O,O,O,O,O,X
LTSZIOJ,O,O,O,O,O,O,X,O,X
LTSZJIO,O,O,O,O,O,O,O,O,X
LTSZJOI,O,O,X,O,O,O,X,X,X
LTSZOIJ,O,O,O,O,O,O,X,O,X
LTSZOJI,O,O,X,O,O,O,X,X,X
LTSOIJZ,X,O,X,O,X,O,O,X,X
LTSOIZJ,X,O,X,O,X,O,X,X,X
LTSOJIZ,O,O,X,O,X,O,O,X,X
LTSOJZI,O,O,X,O,O,O,X,X,X
LTSOZIJ,O,O,O,O,O,O,X,O,X
LTSOZJI,O,O,X,O,O,O,X,X,X
LTZIJSO,O,O,O,X,O,O,X,O,X
LTZIJOS,O,O,O,O,O,O,X,X,X
LTZISJO,O,O,O,X,O,O,O,O,X
LTZISOJ,O,O,O,X,O,O,X,O,X
LTZIOJS,O,O,O,O,O,O,X,X,X
LTZIOSJ,O,O,O,X,O,O,X,X,X
LTZJISO,O,O,O,X,O,O,X,O,X
LTZJIOS,O,O,O,X,O,O,X,X,X
LTZJSIO,O,O,O,X,O,O,O,O,X
LTZJSOI,O,O,O,X,O,O,X,O,X
LTZJOIS,O,O,O,X,O,O,X,X,X
LTZJOSI,O,O,X,X,O,O,X,X,X
LTZSIJO,O,O,O,O,O,O,O,O,X
LTZSIOJ,O,O,O,O,O,O,X,O,X
LTZSJIO,O,O,O,O,O,O,O,O,X
LTZSJOI,O,O,O,O,O,O,X,O,X
LTZSOIJ,O,O,O,O,O,O,X,O,X
LTZSOJI,O,O,X,O,O,O,X,X,X
LTZOIJS,O,O,O,O,O,O,X,X,X
LTZOISJ,O,O,O,X,O,O,X,X,X
LTZOJIS,O,O,O,X,O,O,X,X,X
LTZOJSI,O,O,O,X,O,O,X,X,X
LTZOSIJ,O,O,O,O,O,O,X,X,X
LTZOSJI,O,O,O,O,O,O,X,X,X
LTOIJSZ,X,X,O,O,X,O,X,X,X
LTOIJZS,X,X,O,O,X,O,X,X,X
LTOISJZ,X,O,X,O,X,O,O,X,X
LTOISZJ,X,O,X,O,X,O,X,X,X
