sequence,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBThB/nB8pB+q?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBThB/nBcpBeq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je/EJvhFUgBRhB6rBTnB2u?BlqB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBThB/nBSv?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je0/IvhF6lBThB/nB2pBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nB0kB6qB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBlhBcpBeqB/r?BTsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBlhB8pBTnBGr?B3qB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nBKpBGlBUq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFzfBUiBFmB3lBWv?BCsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBlhB/rBTn?BSvB,v115@EhC8HeB8HeB8DeA8AeD8JeKEJvhFGgBThB/nBUlBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jem/IvhF5lBThB/nBipBlr?B0pB,v115@EhC8HeB8HeB8DeA8AeD8JeyEJvhF5lBThB/nB0kB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFlhBmkB/rBTnB0p?BipB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFThB/nBmkB0pBlr?BipB
JSZTOIL,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JSZTOLI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JSZITLO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JSZITOL,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JSZILTO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JSZILOT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSZIOTL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSZIOLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JSZLTOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JSZLITO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JSZLIOT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSZOTLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSZOITL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSZOILT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
JSOTIZL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSOTLIZ,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
JSOTLZI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
JSOTZIL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSOTZLI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
JSOITLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOITZL,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
JSOILTZ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
JSOILZT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOIZTL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSOLTZI,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSOLITZ,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X
JSOLIZT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOLZTI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOLZIT,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOZTIL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOZTLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTILOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZTISLO,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
JZTISOL,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O
JZTIOLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZTIOSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
JZTLISO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTLIOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZTLSIO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZTLOSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
JZTSIOL,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZTSLIO,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
JZTSLOI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JZTSOIL,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZTSOLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JZTOILS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZTOISL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
JZTOLIS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZTOLSI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
JZTOSLI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZITLSO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZITLOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZITSLO,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
JZITSOL,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O
JZITOLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZITOSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
JZILTSO,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
JZILTOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZILSTO,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,O
JZILSOT,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZILOST,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X
JZISTLO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
JZISTOL,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
JZISLTO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
JZISLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O
JZISOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JZIOTLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZIOTSL,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X
JZIOLTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZIOLST,O,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X
JZIOSTL,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O
JZIOSLT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZLTISO,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JZLTIOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZLTSIO,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JZLTSOI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZLTOIS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZLTOSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZLITSO,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JZLITOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZLISTO,O,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O
JZLISOT,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZLIOTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZLIOST,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X
JZLSTIO,O,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O
JZLSTOI,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,O
JZLSITO,O,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O
JZLSIOT,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZLSOTI,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JZLSOIT,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZLOTIS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZLOTSI,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZLOITS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZLOIST,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X
JZLOSTI,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X
JZLOSIT,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X
JZSTILO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JZSTIOL,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JZSTLIO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JZSTLOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JZSTOIL,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JZSTOLI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JZSITLO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JZSITOL,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JZSILTO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JZSILOT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
JZSIOLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZSLTIO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JZSLTOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
JZSLITO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
JZSLIOT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
JZSOTLI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
JZSOITL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
JZSOILT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZSOLTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
JZSOLIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
JZOTILS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOTISL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JZOTLIS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOTLSI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JZOTSLI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZOITLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOITSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JZOILTS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOILST,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JZOISTL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,O
JZOISLT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZOLTIS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOLTSI,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOLITS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZOLIST,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X
JZOLSTI,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X
JZOLSIT,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X
JZOSTIL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,O
JZOSTLI,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,O
JZOSITL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,O
JZOSILT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZOSLTI,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JZOSLIT,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOTILSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTILZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTISLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTISZL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTIZLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTIZSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTLISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLIZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLZIS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLZSI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTSILZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSIZL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTSLIZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSLZI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSZIL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTSZLI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTZILS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTZISL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTZLIS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTZLSI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTZSIL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTZSLI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOITLSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITLZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOITSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOITZLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOITZSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOILTSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOILSTZ,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X
JOILSZT,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOILZTS,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOILZST,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOISTLZ,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JOISTZL,O,O,O,X,X,X,O,O,X,O,X,X,X,O,O,X
JOISLTZ,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X
JOISLZT,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOISZTL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOISZLT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOIZTLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOIZTSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JOIZLTS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOIZLST,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JOIZSTL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOIZSLT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOLTISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTIZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTZIS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTZSI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLITSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLITZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLISTZ,X,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X
JOLISZT,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLIZTS,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLIZST,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLSTIZ,X,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X
JOLSTZI,X,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X
JOLSITZ,X,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X
JOLSIZT,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLSZTI,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JOLSZIT,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JOLZTIS,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLZTSI,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLZITS,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
JOLZIST,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X
JOLZSTI,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X
JOLZSIT,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X
JOSTILZ,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X
JOSTIZL,O,O,O,X,X,O,O,O,X,O,X,X,X,O,O,X
JOSTLIZ,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X
JOSTLZI,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X
JOSTZIL,O,O,O,X,X,O,O,O,X,O,X,X,X,O,O,X
JOSTZLI,O,O,O,X,X,O,O,O,X,X,X,X,X,O,O,X
JOSITLZ,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
JOSITZL,O,O,O,X,X,X,O,O,X,O,X,X,X,O,O,X
JOSILTZ,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X
JOSILZT,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOSIZTL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOSIZLT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOSLTIZ,X,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X
JOSLTZI,X,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X
JOSLITZ,X,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X
JOSLIZT,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOSLZTI,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JOSLZIT,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JOSZTIL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOSZTLI,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOSZITL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOSZILT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOSZLTI,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOSZLIT,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOZTILS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZTISL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JOZTLIS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZTLSI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOZTSIL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JOZTSLI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOZITLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZITSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JOZILTS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZILST,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X
JOZISTL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOZISLT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOZLTIS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZLTSI,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZLITS,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JOZLIST,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X
JOZLSTI,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X
JOZLSIT,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X
JOZSTIL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOZSTLI,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOZSITL,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOZSILT,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JOZSLTI,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
JOZSLIT,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X
STILJZO,O,O,X,O,O,O,O,X,X,X,O,O,O,O,X,X
STILJOZ,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
STILZJO,O,X,X,O,O,X,X,X,O,X,O,O,O,X,X,O
STILZOJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
STILOJZ,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
STILOZJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
STIJLZO,O,O,X,O,O,O,O,X,X,X,O,O,O,O,X,X
STIJLOZ,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
STIJZLO,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,O
STIJZOL,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O
STIJOLZ,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
STIJOZL,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O
STIZLJO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
STIZLOJ,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
STIZJLO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
STIZJOL,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
STIZOLJ,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
STIZOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STIOLJZ,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
STIOLZJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
STIOJLZ,O,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X
STIOJZL,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,O
STIOZLJ,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
STIOZJL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STLIJZO,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,X
STLIJOZ,O,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
STLIZJO,O,X,X,O,O,X,X,X,O,X,O,O,O,X,X,O
STLIZOJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
STLIOJZ,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
STLIOZJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
STLJIZO,O,O,O,O,X,O,O,X,X,X,O,X,O,O,X,X
STLJIOZ,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X
STLJZIO,O,O,O,O,X,O,O,X,O,X,O,X,O,O,X,X
STLJZOI,O,O,O,O,X,O,O,X,O,X,O,X,O,O,X,X
STLJOIZ,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X
STLJOZI,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X
STLZIJO,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,O
STLZIOJ,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
STLZJIO,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
STLZJOI,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
STLZOIJ,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
STLZOJI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
STLOIJZ,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
STLOIZJ,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
STLOJIZ,O,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X
STLOJZI,O,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X
STLOZIJ,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
STLOZJI,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
STJILZO,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,X
