sequence,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFRbBUdB6lBOmBdq?BzrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBRcB6mBOnBdq?BzqB,v115@6gC8HeC8FeD8FeE8AeG8Je2/IvhFRbBUdB9lBThBfq?BywB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFWhBNiBClB0mBZl?BXrB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFKgBGcBNiBUhBfq?BRwB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFNiBxgBClB0mBOq?BXrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFRbBUdBmlBzmBdq?BCrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF+gBTcBNiB0mBRq?BaqB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFWhBNiBClBXmBZl?B0rB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF0gBxhBdqBzrBGq?BirB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBxhBulBdqBir?BzrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBxhBanBdqBGr?BzqB,v115@6gC8HeC8FeD8FeE8AeG8Jex6IvhFTcBNiBmfBqlBfq?B0rB,v115@6gC8HeC8FeD8FeE8AeG8JeU9IvhFxfBXhB6kBNqBzr?BmqB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF+gBNhBUdBzmBRq?BaqB,v115@6gC8HeC8FeD8FeE8AeG8Jei6IvhFzbB+hBNiBUgBfq?BRwB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFdhBUdBfnBClBxq?BOqB,v115@6gC8HeC8FeD8FeE8AeG8Jex6IvhF6kB0gBXiBNqBTr?BmrB,v115@6gC8HeC8FeD8FeE8AeG8Jei6IvhFRcBtkB0hBzlBOq?BXsB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFxgBOnB3hBClBNq?BUrB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFmbBNiBfqBxqBqr?B0qB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFRcB8kBChBXiB2r?BNqB
JSZLOIT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSZOTIL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOTLI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZOITL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOILT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JSZOLTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JSZOLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOTILZ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JSOTIZL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JSOTLIZ,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOITLZ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JSOITZL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JSOILTZ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JSOILZT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOIZTL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOIZLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JSOLTIZ,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOLTZI,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSOLITZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOLIZT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOLZTI,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JSOLZIT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSOZTIL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZTLI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZITL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZILT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JSOZLTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JSOZLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTILSO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTLOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLOSI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTSILO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTSOIL,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTOILS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTOLIS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTOSIL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTOSLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZITLSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILSTO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZILOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZISTLO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZISOTL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOTLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOSTL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLTISO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLTOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTOSI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLITSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLIOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLSTOI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JZLSITO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSIOT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLSOTI,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JZLSOIT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLOTIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLOITS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZLOSTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZLOSIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSTILO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSTOIL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSITLO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSITOL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSILOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSIOTL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZSLTOI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JZSLITO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLIOT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSLOTI,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JZSLOIT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSOTIL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSOTLI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSOITL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSOILT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSOLTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSOLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOTILS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOTISL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOTLIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOTSIL,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOTSLI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOITLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOITSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOILTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOILST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOISTL,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOISLT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOLTIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOLITS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZOLSTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZOLSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOSTIL,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOSTLI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOSITL,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZOSILT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZOSLTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZOSLIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTILSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTILZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTISLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTISZL,O,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JOTIZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTIZSL,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOTLISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTLIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLZSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSILZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOTSIZL,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X
JOTSLIZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JOTSZLI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTZILS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JOTZISL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JOTZLIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTZLSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JOTZSIL,O,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
JOTZSLI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JOITLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITSZL,O,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOITZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITZSL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOILTSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
JOILTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOILSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
JOILSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOILZTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOISTLZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISTZL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOISLTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JOISLZT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISZTL,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOISZLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOIZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOIZSTL,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOIZSLT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLTISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLTIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTSZI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLITZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLISZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOLIZTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSTIZ,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSTZI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSITZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSIZT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSZTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOLSZIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLZTIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLZITS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLZIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JOLZSTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOLZSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSTILZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOSTIZL,O,O,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
JOSTLIZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOSTZLI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSITLZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOSITZL,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JOSILTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JOSILZT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSIZTL,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOSIZLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOSLTIZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSLTZI,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSLITZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLIZT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLZTI,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOSLZIT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZTIL,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOSZTLI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZITL,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOSZILT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOSZLTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOSZLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZTILS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JOZTISL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
