sequence,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFCeBTgB/mBU?iB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeC8IvhFxdB2lBlhBc?nBTrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdB6mBTiBX?hB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeF8IvhFxdBTgBumBc?nBKrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiB6?mB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Jex9IvhFTgBlhBcnBK?rBGmB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeG8IvhFxdBigBTiB1?rB3sBUrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFCeBlhBmlB0?nBzmBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFehBCeBzhB1?sB3mBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFCeBFmBRsB/?sBTrBmrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFzcBylB5nBc?rBesBFtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcBxdBXiBa?rB1sBWxB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxdBTiBmlBq?rBlsBcrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiBq?rBOrBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFTgBXiB0rBl?sBOrBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je1BJvhFxdBTgBcnBa?mB+rB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF3cBTiBFmBR?sB2wBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF2hBCeBFmBR?sBTsB3rB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcB6iBenBF?mBXoBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxhBzhBCjB0?rBlsBmqB
JIOLZST,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOSTLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOSLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSLZT,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZTL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JIOSZLT,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JIOZTLS,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
JIOZTSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
JIOZLTS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
JIOZLST,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOZSTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLTISZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTISOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTIZOS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTIOSZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTIOZS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLTSIZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSZIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSZOI,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSOIZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTSOZI,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTZISO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTZIOS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTZSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSOI,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTZOIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JLTZOSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLTOISZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTOIZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JLTOSIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTOSZI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTOZIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JLTOZSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLITSZO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLITSOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITZSO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLITZOS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLITOSZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLITOZS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLISTZO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLISTOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISZTO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLISZOT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLISOTZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOZT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTSO,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLIZTOS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLIZSTO,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JLIZSOT,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLIZOTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLIZOST,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLIOTSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSTZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSZT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLIOZST,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLSTIZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOIZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSTOZI,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSITZO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSITOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZTO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZOT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOTZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOZT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTIO,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSZTOI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSZITO,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLSZIOT,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JLSZOTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JLSZOIT,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JLSOTIZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTZI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSOITZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOIZT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSOZIT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZTISO,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JLZTIOS,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTSIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZTSOI,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTOIS,O,X,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JLZTOSI,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JLZITSO,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLZITOS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLZISTO,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JLZISOT,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLZIOTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLZIOST,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLZSTIO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZSTOI,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZSITO,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZSIOT,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZSOTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZSOIT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOTIS,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZOTSI,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZOITS,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZOIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOSTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOTISZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTIZS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTSIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTSZI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTZIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTZSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOITSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISZT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOIZST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTZI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOSITZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSIZT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOSZIT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOZTIS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZTSI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZITS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZSTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZLO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTIOLZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIOZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTZLIO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTZOLI,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTOILZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOIZL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTOLIZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLZI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTOZIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTOZLI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSITLZO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIZLTO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JSIZOTL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIZOLT,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JSIOTLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIOLTZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIOZLT,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JSLTIZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTOZI,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLITZO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOZT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZOTI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZOIT,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOTIZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOITZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOIZT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOZIT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZTILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZTLIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZTOLI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZITLO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZILTO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JSZIOTL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZIOLT,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JSZLTIO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLTOI,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLOTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLOIT,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZOTIL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOTLI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOITL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOILT,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZOLTI,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZOLIT,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOTILZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTLIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTZIL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTZLI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOITLZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOILTZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSOIZLT,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JSOLTIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLITZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLZIT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZTIL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZTLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZITL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZILT,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOZLTI,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOZLIT,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZTILSO,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O
JZTILOS,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
JZTISLO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O
JZTISOL,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O
JZTIOLS,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X
JZTIOSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O
JZTLISO,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O
JZTLIOS,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTLSIO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZTLSOI,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTLOIS,O,X,O,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JZTLOSI,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JZTSILO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JZTSIOL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JZTSLIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JZTSLOI,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
