sequence,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBmgBzkBq?qBFnB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFlgB3hBzkBO?sB0lBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBClB/rBF?nB0qBmrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBigBWqBF?nB0rBzqB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhFFdBulBcmBz?kBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBlhBClB/?rBOsB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeeAJvhFzbBFdBcmBS?qBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB0gBzkBF?nBCrB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je08IvhFlgBzkBxmB6?qBXnB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeF9IvhF8kB5lBThBX?nBilB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFXdBClBFnBx?qBerB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je2AJvhFXdBzkBUmBF?nBCmBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhF5lBzkB/rBF?nBcrBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhF6lBzkB/rBF?nBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je6AJvhFTcB8kBxmBl?qB3rBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je8EJvhFXhBFnBxqB6?qBOsBTrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFClB/rBFnBT?lBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF0gBzkBFnBX?mBSwBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF8kB3lBFnBT?rBOsBCrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXhBVnBzkB0?lBOsBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB6lBzkBF?nB0rBerB
JILSTZO,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSTOZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSZTO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSZOT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSOTZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSOZT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZTSO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZTOS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZSTO,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZSOT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZOTS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JILZOST,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOTSZ,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILOTZS,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JILOSTZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOSZT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILOZTS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JILOZST,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTLZO,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTLOZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTZLO,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTZOL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISTOLZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JISTOZL,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JISLTZO,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLTOZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLZTO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLZOT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLOTZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISLOZT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZTLO,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZTOL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISZLTO,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZLOT,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISZOTL,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JISZOLT,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JISOTLZ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JISOTZL,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JISOLTZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JISOLZT,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOZTL,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JISOZLT,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZTLSO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTLOS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTSLO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTSOL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZTOLS,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIZTOSL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIZLTSO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JIZLTOS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLSTO,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLSOT,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZLOTS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIZLOST,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSTLO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSTOL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZSLTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSLOT,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZSOTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JIZSOLT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIZOTLS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIZOTSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIZOLTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIZOLST,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOSTL,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JIZOSLT,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JIOTLSZ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOTLZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOTSLZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOTSZL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOTZLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOTZSL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOLTSZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOLTZS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOLSTZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOLSZT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZTS,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOLZST,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSTLZ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOSTZL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOSLTZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIOSLZT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZTL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOSZLT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOZTSL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOZLTS,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOZLST,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSTL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JIOZSLT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTISZO,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTISOZ,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTIZSO,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTIZOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTIOSZ,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTIOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTSIZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSZIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSZOI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTSOIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSOZI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTZISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSOI,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLTZOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZOSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOISZ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTOIZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTOSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOSZI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLTOZIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOZSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLITSZO,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITSOZ,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITZSO,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITZOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITOSZ,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLISTZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISTOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISZTO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISZOT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOTZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZSTO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZSOT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOTS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOST,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTSZ,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLIOTZS,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JLIOSTZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZST,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSTOIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSTOZI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JLSITZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSITOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZTO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIZOT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOTZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZITO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSZOIT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSOTIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTZI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSOITZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOIZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZTI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSOZIT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZTISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSOI,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZTOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOST,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSITO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOITS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOIST,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOTIZS,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSZI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLOTZIS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOITSZ,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOITZS,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTZI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSITZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSIZT,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZIT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOZITS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTIOLZ,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTIOZL,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTLIZO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTLOZI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTZILO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZIOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTOIZL,O,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTOLIZ,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSTOLZI,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTOZIL,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTOZLI,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSITOZL,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSILTZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIOTZL,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIOLZT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JSIOZLT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
