sequence,v115@vhHT5IXjB0gBStBlrB0qB2uBxxB,v115@vhHP9I0hBTfB+tBlsB0rBipBRvB,v115@vhH6IJXiB0gBznBlrB0qB2uBxxB,v115@vhHT5IXjB0hB+tBlsB0rBipBRvB,v115@vhHZ6IsnBOlBFmBMpBTtB3rBSvB,v115@vhHvAJTaB5oBysBlkB0rB0qB2uB,v115@vhHG5IvjBtnB0fBKpBTtBUsBRqB,v115@vhH5+IsnBOlBFmBMpBTtB3rBSvB,v115@vhHz1IKaB0gBvtBlkBxrB0qB2uB,v115@vhHX5IMjBTfB+tBlsB0rBipBRvB,v115@vhHx2IqgBzfB+tBssB3rBlqB0pB,v115@vhH+DJ0fBMsBRmBKpBTtBXrBFqB,v115@vhHX5IMjBTiB+tBlsB0rBipBRvB,v115@vhHU4IPoBzhB2pBSyBFsBUrBxuB,v115@vhH32IzgBskBStBlrB0qB2uBxxB,v115@vhH6+IziB+tBRmBUlBvpBlsB0rB,v115@vhHvAJTaBMoBlkBSyBxrB0qB2uB,v115@vhHz2I6jB0gBvtBlkBxrB0qB2uB,v115@vhHT1IPoB0fB2pBSyBFsBUrBxuB,v115@vhHvDJZkBlnBKrBUlBTtBUsBWvB,v115@vhHMCJvhB6oBznBlrB0qB2uBxxB,v115@vhHMDJviBTfB+tBlsB0rBipBRvB,v115@vhHz1IKaB0gBvtBlkB0sBxqB2uB,v115@vhH69IXjBsmB+tBMqBlsBTpBRwB,v115@vhHz2IKaB0gBvtBlkBxrB0qB2uB,v115@vhHzBJslBalB+tBMpB3sBlrBRvB,v115@vhHG5IUYBvjBtnBKpBTtBUsBRqB,v115@vhHz1IslBalB+tBMpB3sBlrBRvB,v115@vhHG5IvjB0fBlnBKpBTtBUsBRqB,v115@vhHq6IziBsmB+tBMpBlsBXqBRwB,v115@vhH02IvfBTgBsrBerBKpBFqBxxB,v115@vhHUDJZkBFnBMqBupBTtBSxBXrB,v115@vhHPDJ2kBStBFnBUmB0qBTpBRxB,v115@vhHvDJZfBlnBKqB+pBTtBUsBUrB,v115@vhHZ6IWjB6tBFnBMpBzsB0rBXqB,v115@vhHT1IMjBifB+tBMpBlsBXqBRwB,v115@vhH6+IvoB0mBtqBzkBUtB2uBxwB,v115@vhHT9IXjB0hB+tBlsB0rBipBRvB,v115@vhHZ6IzhBylBGoBMpB3sBlrB0qB,v115@vhHXDJzgBskBStB9rB0qB2uBxxB,v115@vhHT1I6oB0iBFgBvkBRmB0qB2uB,v115@vhHM+I+oBlnBzlBikB3rBUqBxxB,v115@vhHT5IMoBXmBspBOpBSyBFsBxvB,v115@vhHT+IMiBZkBFoBMrBSyBXsBGqB,v115@vhHvDJZfBlnB0mBKqB+pBTtBUrB,v115@vhHPIJzhB0fB2pBSyBFsBUrBxuB,v115@vhHXDJzgBskBStBlrB0qB2uBxxB,v115@vhHX5IMjBTiBStBlrB0qB2uBxxB,v115@vhHT5IMiBXjBStBlrB0qB2uBxxB,v115@vhHm4I0dB3hBznBdsBSyBUrBxuB,v115@vhHM/IynBMtBXmBFlBGsBTpBxvB,v115@vhHX4IMiB6oBznBlrB0qB2uBxxB,v115@vhHG5IvjBtnBypBTtBUsBUrBxuB,v115@vhHe9I5oBPlBlnB0mByxBUrBTpB,v115@vhHX5IMjBTiB+tBqrBMpBlsBRvB,v115@vhHT5IMoBunB3hBdsBSyBUrBxuB,v115@vhHG5IvjBlnBypBTtBUsBUrBxuB,v115@vhHT6IskB+tB3mBMqBKpBlsBRwB,v115@vhHyAJvoB0mBtqBzkBUtB2uBxwB,v115@vhH6+IziBsmB+tBMpBlsBXqBRwB,v115@vhHM+I+oBTfBlnBsqB3rBipBxxB,v115@vhHv6IKkBGnBFlBTtBUsBUrBxuB,v115@vhHM+I5oBlnBsqBOqByxB3rBTpB,v115@vhHT4IMoBunB3hBdsBSyBUrBxuB,v115@vhHT+IMiBvkBFoBSyBxrB0qB2uB,v115@vhH2BJvtBTnBMrBllBKpBUqBRxB,v115@vhHM+I+oBqmBPlBlnBUrBTpBxxB,v115@vhHT5IMoBliBRmBspBOpBSyBXsB,v115@vhHT5ItiBMoBRmBspBOpBSyBXsB,v115@vhHvDJZfBtnBKqB+pBTtBUsBUrB,v115@vhH01IvfBTgBsrBerBKpBFqBxxB,v115@vhHv6I6oBZkBzmBFlBUtBUrBWvB,v115@vhHX5IMjBykB+tBtsBMqBTpBRwB,v115@vhHPDJZkBMtBFnBUmBupBSxBTqB,v115@vhHs/I5oBatBvsBllB0rB2vBTpB,v115@vhHv6IKkBGoBzmBFlBUtBUrBxuB,v115@vhHM+I5oBlnBzlBspBOpByxB3rB,v115@vhH5+IiVBMfBvtBFlB0sBGrBTpB,v115@vhH6+IvoBTiB0mBUtBlqB2uBxwB,v115@vhHT6IMoBXmBspBOpBSyBFsBxvB,v115@vhHMDJ3dBykB+tBtsBMqBTpBRwB,v115@vhHZ6IziBymB+tBMpBlsB0rBXqB,v115@vhHT8I+fB6tB0nBxlB3rBlqB0pB,v115@vhHU3IPhBKkBWsBFlBTtBUrBxuB,v115@vhHZ6IWoBzhBilBMpBXtBFsBUrB,v115@vhHG3IsgB3hBznBdsBSyBUrBxuB,v115@vhH5DJMfBunBKtBFlBUsB3qBTpB,v115@vhH5+IulBMkB3nBlmBspBTtByvB,v115@vhHT7I5oBtkBatBvsBUmB0qB2uB
SLJZOTI,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O
SLJZOIT,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O
SLJOTIZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
SLJOTZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLJOITZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,O,O,X,O,O,O,X
SLJOIZT,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,O,X,X,X,O,O,X,O,O,O,O,X,X,O,O,X,O,O,O,O
SLJOZTI,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,O,O
SLJOZIT,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,O,X,O,O,O,O,X,O,O,O,O,O,O,O,O
SLZTIJO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O
SLZTIOJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
SLZTJIO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O
SLZTJOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
SLZTOIJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SLZTOJI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SLZITJO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,O,X,X,O,X,O,O,X,O,O,O,O,O,X,X,O
SLZITOJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O
SLZIJTO,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,O,X,X,O
SLZIJOT,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O
SLZIOTJ,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X,O
SLZIOJT,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O
SLZJTIO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O
SLZJTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
SLZJITO,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,O,X,X,O
SLZJIOT,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,X,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O
SLZJOTI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O
SLZJOIT,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O
SLZOTIJ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
SLZOTJI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
SLZOITJ,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,O,O,X,O,O,O,O
SLZOIJT,X,X,X,X,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,O,O,X,O,X,O,O,X,O,X,O,X,X,O,O,O,O,O,O,O,O
SLZOJTI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O
SLZOJIT,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O,O,X,O,X,O,X,X,O,O,O,O,O,O,O,O
SLOTIJZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
SLOTIZJ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
SLOTJIZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
SLOTJZI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLOTZIJ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLOTZJI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLOITJZ,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X
SLOITZJ,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X
SLOIJTZ,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X
SLOIJZT,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,X,O,O,X,O,O,O,O
SLOIZTJ,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,O,X,X,X,O,O,X,O,O,O,O
SLOIZJT,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,X,O,O,X,O,O,O,O
SLOJTIZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
SLOJTZI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLOJITZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,O,O,X,O,O,O,X
SLOJIZT,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,X,O,O,X,O,O,O,O
SLOJZTI,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,O,O
SLOJZIT,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,O,O,O,O,O,O,O
SLOZTIJ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
SLOZTJI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
SLOZITJ,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O,X,X,X,O,O,X,O,O,O,O
SLOZIJT,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,O,O,O,O,O,O,O
SLOZJTI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,O,O
SLOZJIT,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,O,X,O,O,O,X,X,O,O,O,O,O,O,O,O
SJTILZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O
SJTILOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,O,X,X,X
SJTIZLO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,O,O,X,X,O
SJTIZOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O
