sequence,v115@AhB8IeC8AeB8CeH8BeG8Jex6IvhF0cB6iBTeB/pBFl?BmpB,v115@AhB8IeC8AeB8CeH8BeG8Je06IvhFxcBTeBKkBGiBFl?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeT6IvhF0cBxdBCjB/pBFl?BOqB,v115@AhB8IeC8AeB8CeH8BeG8JeX7IvhFxcBTeBKkBGiBFl?B0pB,v115@AhB8IeC8AeB8CeH8BeG8Jex6IvhF0cB6iBTeBlfB2p?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeZ/IvhF0cB6iBTeBXlBup?BFqB,v115@AhB8IeC8AeB8CeH8BeG8JeT6IvhF0cBxdBVlBCjB2p?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeF7IvhF0cB6iBTeBxkBmp?B/pB,v115@AhB8IeC8AeB8CeH8BeG8Je06IvhFlcBxiBmpB/pBTq?BCtB,v115@AhB8IeC8AeB8CeH8BeG8Je1/IvhF0cB6iBTeBxkB2p?BXqB
ILOTSZJ,X,X,X,X,X,O,X,X,X,O
ILOTZJS,X,O,X,X,O,X,O,O,X,O
ILOTZSJ,O,X,X,X,X,O,X,X,X,O
ILOJTSZ,X,O,X,O,O,X,O,O,X,X
ILOJTZS,X,O,X,O,O,X,O,O,X,X
ILOJSTZ,X,O,X,O,O,O,X,O,X,X
ILOJSZT,X,O,X,X,O,O,X,O,X,X
ILOJZTS,X,O,X,O,O,X,O,O,X,X
ILOJZST,O,O,X,X,O,O,X,O,X,X
ILOSTJZ,O,X,O,X,X,O,X,X,X,X
ILOSTZJ,O,X,O,X,X,O,X,X,X,X
ILOSJTZ,X,X,X,X,X,O,X,O,X,X
ILOSJZT,O,X,X,X,X,O,X,O,X,X
ILOSZTJ,O,X,O,X,X,O,X,X,X,X
ILOSZJT,O,X,X,X,O,O,X,O,X,X
ILOZTJS,X,X,X,X,O,X,O,O,X,O
ILOZTSJ,O,X,X,X,X,O,X,X,X,O
ILOZJTS,X,O,X,X,O,X,O,O,X,X
ILOZJST,O,O,X,X,O,O,X,O,X,X
ILOZSTJ,O,X,O,X,X,O,X,X,X,X
ILOZSJT,O,X,X,X,O,O,X,O,X,X
IJTLSZO,X,O,X,O,O,X,O,O,O,X
IJTLSOZ,X,O,X,O,O,X,O,O,X,X
IJTLZSO,X,O,X,O,O,X,O,O,X,X
IJTLZOS,X,O,X,O,O,X,O,O,X,O
IJTLOSZ,X,O,X,O,O,X,O,O,X,X
IJTLOZS,X,O,X,O,O,X,O,O,X,O
IJTSLZO,X,X,X,X,O,X,X,X,O,X
IJTSLOZ,X,X,X,X,O,X,X,X,X,X
IJTSZLO,X,X,X,X,O,X,X,X,O,X
IJTSZOL,X,X,X,X,O,X,X,X,O,X
IJTSOLZ,X,X,X,X,O,X,X,X,X,X
IJTSOZL,X,X,X,X,O,X,X,X,O,X
IJTZLSO,X,X,X,X,O,X,O,O,X,X
IJTZLOS,X,X,X,X,O,X,O,O,X,O
IJTZSLO,X,X,X,X,O,X,X,X,O,X
IJTZSOL,X,X,X,X,O,X,X,X,O,X
IJTZOLS,X,X,X,X,O,X,O,O,X,O
IJTZOSL,X,X,X,X,O,X,X,X,X,X
IJTOLSZ,X,O,X,O,O,X,O,O,X,X
IJTOLZS,X,O,X,O,O,X,O,O,X,O
IJTOSLZ,X,X,X,X,O,X,X,X,X,X
IJTOSZL,X,X,X,X,O,X,X,X,O,X
IJTOZLS,X,X,X,X,O,X,O,O,X,O
IJTOZSL,X,X,X,X,O,X,X,X,X,X
IJLTSZO,X,O,X,O,O,X,O,O,O,X
IJLTSOZ,X,O,X,O,O,X,O,O,X,X
IJLTZSO,X,O,X,O,O,X,O,O,X,X
IJLTZOS,X,O,X,O,O,X,O,O,X,X
IJLTOSZ,X,O,X,O,O,X,O,O,X,X
IJLTOZS,X,O,X,O,O,X,O,O,X,X
IJLSTZO,X,O,X,O,O,O,O,O,O,X
IJLSTOZ,X,O,X,O,O,O,O,O,X,X
IJLSZTO,X,X,X,X,O,O,O,O,O,X
IJLSZOT,X,O,X,X,O,O,X,O,X,X
IJLSOTZ,X,O,X,O,O,O,X,O,X,X
IJLSOZT,X,O,X,X,O,O,X,O,X,X
IJLZTSO,X,O,X,O,O,X,O,O,X,X
IJLZTOS,X,O,X,O,O,X,O,O,X,X
IJLZSTO,X,X,X,X,O,O,O,O,X,X
IJLZSOT,X,O,X,X,O,O,X,O,X,X
IJLZOTS,X,O,X,O,O,X,O,O,X,X
IJLZOST,O,O,X,X,O,O,X,O,X,X
IJLOTSZ,X,O,X,O,O,X,O,O,X,X
IJLOTZS,X,O,X,O,O,X,O,O,X,X
IJLOSTZ,X,O,X,O,O,O,X,O,X,X
IJLOSZT,X,O,X,X,O,O,X,O,X,X
IJLOZTS,X,O,X,O,O,X,O,O,X,X
IJLOZST,O,O,X,X,O,O,X,O,X,X
IJSTLZO,X,X,X,X,O,O,X,X,O,X
IJSTLOZ,X,X,X,X,O,O,X,X,X,X
IJSTZLO,X,X,X,X,O,O,X,X,O,X
IJSTZOL,X,X,X,X,O,O,X,X,O,X
IJSTOLZ,X,X,X,X,O,O,X,X,X,X
IJSTOZL,X,X,X,X,O,O,X,X,O,X
IJSLTZO,X,O,X,O,O,O,X,O,O,X
IJSLTOZ,X,O,X,O,O,O,X,O,X,X
IJSLZTO,X,X,X,X,O,O,X,O,O,X
IJSLZOT,X,O,X,X,O,O,X,O,X,X
IJSLOTZ,X,O,X,O,O,O,X,O,X,X
IJSLOZT,X,O,X,X,O,O,X,O,X,X
IJSZTLO,X,X,X,X,O,O,X,X,O,X
IJSZTOL,X,X,X,X,O,O,X,X,O,X
IJSZLTO,X,X,X,X,O,O,X,O,O,X
IJSZLOT,X,X,X,X,O,O,X,O,X,X
IJSZOTL,X,X,X,X,O,O,X,X,O,X
IJSZOLT,X,X,X,X,O,O,X,O,X,X
IJSOTLZ,X,X,X,X,O,O,X,X,X,X
IJSOTZL,X,X,X,X,O,O,X,X,O,X
IJSOLTZ,X,O,X,O,O,O,X,O,X,X
IJSOLZT,X,O,X,X,O,O,X,O,X,X
IJSOZTL,X,X,X,X,O,O,X,X,O,X
IJSOZLT,X,X,X,X,O,O,X,O,X,X
IJZTLSO,X,X,X,X,O,X,O,O,X,X
IJZTLOS,X,X,X,X,O,X,O,O,X,O
IJZTSLO,X,X,X,X,O,X,X,X,O,X
IJZTSOL,X,X,X,X,O,X,X,X,O,X
IJZTOLS,X,X,X,X,O,X,O,O,X,O
IJZTOSL,X,X,X,X,O,X,X,X,X,X
IJZLTSO,X,O,X,O,O,X,O,O,X,X
IJZLTOS,X,O,X,O,O,X,O,O,X,X
IJZLSTO,X,X,X,X,O,O,O,O,X,X
IJZLSOT,X,O,X,X,O,O,X,O,X,X
IJZLOTS,X,O,X,O,O,X,O,O,X,X
IJZLOST,O,O,X,X,O,O,X,O,X,X
IJZSTLO,X,X,X,X,O,O,X,X,O,X
IJZSTOL,X,X,X,X,O,O,X,X,O,X
IJZSLTO,X,X,X,X,O,O,X,O,O,X
IJZSLOT,X,X,X,X,O,O,X,O,X,X
IJZSOTL,X,X,X,X,O,O,X,X,O,X
IJZSOLT,X,X,X,X,O,O,X,O,X,X
IJZOTLS,X,X,X,X,O,X,X,O,X,O
IJZOTSL,X,X,X,X,O,X,X,X,X,X
IJZOLTS,X,O,X,O,O,X,X,O,X,X
IJZOLST,O,O,X,X,O,O,X,O,X,X
IJZOSTL,X,X,X,X,O,O,X,X,X,X
IJZOSLT,X,X,X,X,O,O,X,O,X,X
IJOTLSZ,X,O,X,O,O,X,X,O,X,X
IJOTLZS,X,O,X,O,O,X,X,O,X,O
IJOTSLZ,X,X,X,X,O,X,X,X,X,X
IJOTSZL,X,X,X,X,O,X,X,X,O,X
IJOTZLS,X,X,X,X,O,X,X,O,X,O
IJOTZSL,X,X,X,X,O,X,X,X,X,X
IJOLTSZ,X,O,X,O,O,X,X,O,X,X
IJOLTZS,X,O,X,O,O,X,X,O,X,X
IJOLSTZ,X,O,X,O,O,O,X,O,X,X
IJOLSZT,X,O,X,X,O,O,X,O,X,X
IJOLZTS,X,O,X,O,O,X,X,O,X,X
IJOLZST,O,O,X,X,O,O,X,O,X,X
IJOSTLZ,X,X,X,X,O,O,X,X,X,X
IJOSTZL,X,X,X,X,O,O,X,X,O,X
IJOSLTZ,X,O,X,O,O,O,X,O,X,X
IJOSLZT,X,O,X,X,O,O,X,O,X,X
IJOSZTL,X,X,X,X,O,O,X,X,O,X
IJOSZLT,X,X,X,X,O,O,X,O,X,X
IJOZTLS,X,X,X,X,O,X,X,O,X,O
IJOZTSL,X,X,X,X,O,X,X,X,X,X
IJOZLTS,X,O,X,O,O,X,X,O,X,X
IJOZLST,O,O,X,X,O,O,X,O,X,X
IJOZSTL,X,X,X,X,O,O,X,X,X,X
IJOZSLT,X,X,X,X,O,O,X,O,X,X
ISTLJZO,O,X,O,X,X,O,X,X,X,X
ISTLJOZ,O,X,O,X,X,O,X,X,X,X
ISTLZJO,O,X,O,X,X,O,X,X,X,X
ISTLZOJ,O,X,O,X,X,O,X,X,X,O
ISTLOJZ,O,X,O,X,X,O,X,X,X,X
ISTLOZJ,O,X,O,X,X,O,X,X,X,O
ISTJLZO,O,X,X,X,X,O,X,X,O,X
ISTJLOZ,O,X,X,X,X,O,X,X,X,X
ISTJZLO,O,X,X,X,X,O,X,X,O,X
ISTJZOL,O,X,X,X,X,O,X,X,O,X
ISTJOLZ,O,X,X,X,X,O,X,X,X,X
ISTJOZL,O,X,X,X,X,O,X,X,O,X
ISTZLJO,O,X,O,X,X,O,X,X,X,X
ISTZLOJ,O,X,O,X,X,O,X,X,X,O
ISTZJLO,O,X,X,X,X,O,X,X,X,X
ISTZJOL,O,X,X,X,X,O,X,X,X,X
ISTZOLJ,O,X,O,X,X,O,X,X,X,O
ISTZOJL,O,X,X,X,X,O,X,X,X,X
ISTOLJZ,O,X,O,X,X,O,X,X,X,X
ISTOLZJ,O,X,O,X,X,O,X,X,X,O
ISTOJLZ,O,X,X,X,X,O,X,X,X,X
ISTOJZL,O,X,X,X,X,O,X,X,X,X
ISTOZLJ,O,X,O,X,X,O,X,X,X,O
ISTOZJL,O,X,X,X,X,O,X,X,X,X
ISLTJZO,O,X,O,X,X,O,X,X,X,X
ISLTJOZ,O,X,O,X,X,O,X,X,X,X
ISLTZJO,O,X,O,X,X,O,X,X,X,X
ISLTZOJ,O,X,O,X,X,O,X,X,X,X
ISLTOJZ,O,X,O,X,X,O,X,X,X,X
ISLTOZJ,O,X,O,X,X,O,X,X,X,X
ISLJTZO,X,X,O,X,X,O,X,O,X,X
ISLJTOZ,X,X,O,X,X,O,X,O,X,X
ISLJZTO,X,X,O,X,X,O,X,O,X,X
ISLJZOT,O,X,X,X,X,O,X,O,X,X
ISLJOTZ,X,X,X,X,X,O,X,O,X,X
ISLJOZT,O,X,X,X,X,O,X,O,X,X
ISLZTJO,O,X,O,X,X,O,X,X,X,X
ISLZTOJ,O,X,O,X,X,O,X,X,X,X
ISLZJTO,X,X,O,X,X,O,X,O,X,X
ISLZJOT,O,X,X,X,X,O,X,O,X,X
ISLZOTJ,O,X,O,X,X,O,X,X,X,X
ISLZOJT,O,X,X,X,O,O,X,O,X,X
ISLOTJZ,O,X,O,X,X,O,X,X,X,X
ISLOTZJ,O,X,O,X,X,O,X,X,X,X
ISLOJTZ,X,X,X,X,X,O,X,O,X,X
ISLOJZT,O,X,X,X,X,O,X,O,X,X
ISLOZTJ,O,X,O,X,X,O,X,X,X,X
ISLOZJT,O,X,X,X,O,O,X,O,X,X
ISJTLZO,X,X,X,X,X,O,X,X,O,X
ISJTLOZ,X,X,X,X,X,O,X,X,X,X
ISJTZLO,X,X,X,X,X,O,X,X,O,X
ISJTZOL,X,X,X,X,X,O,X,X,O,X
ISJTOLZ,X,X,X,X,X,O,X,X,X,X
ISJTOZL,X,X,X,X,X,O,X,X,O,X
ISJLTZO,X,X,X,X,X,O,X,X,O,X
ISJLTOZ,X,X,X,X,X,O,X,X,X,X
ISJLZTO,X,X,X,X,X,O,X,X,O,X
ISJLZOT,O,X,X,X,X,O,X,X,X,X
ISJLOTZ,X,X,X,X,X,O,X,X,X,X
ISJLOZT,O,X,X,X,X,O,X,X,X,X
ISJZTLO,X,X,X,X,X,O,X,X,O,X
ISJZTOL,X,X,X,X,X,O,X,X,O,X
ISJZLTO,X,X,X,X,X,O,X,X,O,X
ISJZLOT,O,X,X,X,X,O,X,X,X,X
ISJZOTL,X,X,X,X,X,O,X,X,O,X
ISJZOLT,O,X,X,X,X,O,X,X,X,X
ISJOTLZ,X,X,X,X,X,O,X,X,X,X
ISJOTZL,X,X,X,X,X,O,X,X,O,X
ISJOLTZ,X,X,X,X,X,O,X,X,X,X
ISJOLZT,O,X,X,X,X,O,X,X,X,X
ISJOZTL,X,X,X,X,X,O,X,X,O,X
ISJOZLT,O,X,X,X,X,O,X,X,X,X
ISZTLJO,O,X,O,X,X,O,X,X,X,X
ISZTLOJ,O,X,O,X,X,O,X,X,X,O
ISZTJLO,O,X,X,X,X,O,X,X,X,X
ISZTJOL,O,X,X,X,X,O,X,X,X,X
ISZTOLJ,O,X,O,X,X,O,X,X,X,O
ISZTOJL,O,X,X,X,X,O,X,X,X,X
ISZLTJO,O,X,O,X,X,O,X,X,X,X
ISZLTOJ,O,X,O,X,X,O,X,X,X,X
ISZLJTO,X,X,O,X,X,O,X,O,X,X
ISZLJOT,O,X,X,X,X,O,X,O,X,X
ISZLOTJ,O,X,O,X,X,O,X,X,X,X
ISZLOJT,O,X,X,X,O,O,X,O,X,X
ISZJTLO,X,X,X,X,X,O,X,X,X,X
ISZJTOL,X,X,X,X,X,O,X,X,X,X
ISZJLTO,X,X,X,X,X,O,X,X,X,X
ISZJLOT,O,X,X,X,X,O,X,X,X,X
ISZJOTL,X,X,X,X,X,O,X,X,X,X
ISZJOLT,O,X,X,X,X,O,X,X,X,X
ISZOTLJ,O,X,X,X,X,O,X,X,X,O
ISZOTJL,O,X,X,X,X,O,X,X,X,X
ISZOLTJ,O,X,X,X,X,O,X,X,X,X
ISZOLJT,O,X,X,X,O,O,X,O,X,X
ISZOJTL,X,X,X,X,X,O,X,X,X,X
ISZOJLT,O,X,X,X,X,O,X,X,X,X
ISOTLJZ,O,X,X,X,X,O,X,X,X,X
ISOTLZJ,O,X,X,X,X,O,X,X,X,O
ISOTJLZ,O,X,X,X,X,O,X,X,X,X
ISOTJZL,O,X,X,X,X,O,X,X,X,X
ISOTZLJ,O,X,X,X,X,O,X,X,X,O
ISOTZJL,O,X,X,X,X,O,X,X,X,X
ISOLTJZ,O,X,X,X,X,O,X,X,X,X
ISOLTZJ,O,X,X,X,X,O,X,X,X,X
ISOLJTZ,X,X,X,X,X,O,X,O,X,X
ISOLJZT,O,X,X,X,X,O,X,O,X,X
ISOLZTJ,O,X,X,X,X,O,X,X,X,X
ISOLZJT,O,X,X,X,O,O,X,O,X,X
ISOJTLZ,X,X,X,X,X,O,X,X,X,X
ISOJTZL,X,X,X,X,X,O,X,X,X,X
ISOJLTZ,X,X,X,X,X,O,X,X,X,X
ISOJLZT,O,X,X,X,X,O,X,X,X,X
ISOJZTL,X,X,X,X,X,O,X,X,X,X
ISOJZLT,O,X,X,X,X,O,X,X,X,X
ISOZTLJ,O,X,X,X,X,O,X,X,X,O
ISOZTJL,O,X,X,X,X,O,X,X,X,X
ISOZLTJ,O,X,X,X,X,O,X,X,X,X
ISOZLJT,O,X,X,X,O,O,X,O,X,X
ISOZJTL,X,X,X,X,X,O,X,X,X,X
ISOZJLT,O,X,X,X,X,O,X,X,X,X
IZTLJSO,X,X,X,X,X,X,O,O,X,X
IZTLJOS,X,X,X,X,X,X,O,O,X,O
IZTLSJO,X,X,X,X,X,O,O,X,X,X
IZTLSOJ,X,X,X,X,X,O,X,X,X,O
IZTLOJS,X,X,X,X,O,X,O,O,X,O
IZTLOSJ,O,X,X,X,X,O,X,X,X,O
IZTJLSO,X,X,X,X,X,X,O,X,X,X
IZTJLOS,X,X,X,X,X,X,O,X,X,O
IZTJSLO,X,X,X,X,X,X,X,X,O,X
IZTJSOL,X,X,X,X,X,X,X,X,O,X
IZTJOLS,X,X,X,X,X,X,O,X,X,O
IZTJOSL,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,X,X,O,X,X,X,X
IZTSLOJ,X,X,X,X,X,O,X,X,X,O
IZTSJLO,X,X,X,X,X,O,X,X,X,X
IZTSJOL,X,X,X,X,X,O,X,X,X,X
IZTSOLJ,X,X,X,X,X,O,X,X,X,O
IZTSOJL,X,X,X,X,X,O,X,X,X,X
IZTOLJS,X,X,X,X,O,X,X,O,X,O
IZTOLSJ,O,X,X,X,X,O,X,X,X,O
IZTOJLS,X,X,X,X,X,X,X,X,X,O
IZTOJSL,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,O,X,X,X,O
IZTOSJL,X,X,X,X,X,O,X,X,X,X
IZLTJSO,X,X,X,X,X,X,O,O,X,X
IZLTJOS,X,X,X,X,X,X,O,O,X,O
IZLTSJO,X,X,O,X,X,O,O,X,X,X
IZLTSOJ,X,X,O,X,X,O,X,X,X,O
IZLTOJS,X,X,X,X,O,X,O,O,X,O
IZLTOSJ,O,X,X,X,X,O,X,X,X,O
IZLJTSO,X,X,X,X,O,X,O,O,X,X
IZLJTOS,X,X,X,X,O,X,O,O,X,X
IZLJSTO,X,X,O,X,O,O,O,O,X,X
IZLJSOT,X,X,X,X,O,O,X,O,X,X
IZLJOTS,X,X,X,X,O,X,O,O,X,X
IZLJOST,O,X,X,X,O,O,X,O,X,X
IZLSTJO,O,X,O,X,X,O,O,X,X,X
IZLSTOJ,O,X,O,X,X,O,X,X,X,X
IZLSJTO,X,X,O,X,X,O,O,O,X,X
IZLSJOT,O,X,X,X,X,O,X,O,X,X
IZLSOTJ,O,X,O,X,X,O,X,X,X,X
IZLSOJT,O,X,X,X,O,O,X,O,X,X
IZLOTJS,X,X,X,X,O,X,O,O,X,O
IZLOTSJ,O,X,X,X,X,O,X,X,X,O
IZLOJTS,X,X,X,X,O,X,O,O,X,X
IZLOJST,O,X,X,X,O,O,X,O,X,X
IZLOSTJ,O,X,O,X,X,O,X,X,X,X
IZLOSJT,O,X,X,X,O,O,X,O,X,X
IZJTLSO,X,X,X,X,O,X,O,O,X,X
IZJTLOS,X,X,X,X,O,X,O,O,X,O
IZJTSLO,X,X,X,X,O,X,X,X,O,X
IZJTSOL,X,X,X,X,O,X,X,X,O,X
IZJTOLS,X,X,X,X,O,X,O,O,X,O
IZJTOSL,X,X,X,X,O,X,X,X,X,X
IZJLTSO,X,X,X,X,O,X,O,O,X,X
IZJLTOS,X,X,X,X,O,X,O,O,X,X
IZJLSTO,X,X,X,X,O,O,O,O,X,X
IZJLSOT,X,X,X,X,O,O,X,O,X,X
IZJLOTS,X,X,X,X,O,X,O,O,X,X
IZJLOST,O,X,X,X,O,O,X,O,X,X
IZJSTLO,X,X,X,X,O,O,X,X,O,X
IZJSTOL,X,X,X,X,O,O,X,X,O,X
IZJSLTO,X,X,X,X,O,O,X,O,O,X
IZJSLOT,X,X,X,X,O,O,X,O,X,X
IZJSOTL,X,X,X,X,O,O,X,X,O,X
IZJSOLT,X,X,X,X,O,O,X,O,X,X
IZJOTLS,X,X,X,X,O,X,X,O,X,O
IZJOTSL,X,X,X,X,O,X,X,X,X,X
IZJOLTS,X,X,X,X,O,X,X,O,X,X
IZJOLST,O,X,X,X,O,O,X,O,X,X
IZJOSTL,X,X,X,X,O,O,X,X,X,X
IZJOSLT,X,X,X,X,O,O,X,O,X,X
IZSTLJO,O,X,O,X,X,O,X,X,X,X
IZSTLOJ,O,X,O,X,X,O,X,X,X,O
IZSTJLO,O,X,X,X,X,O,X,X,X,X
IZSTJOL,O,X,X,X,X,O,X,X,X,X
IZSTOLJ,O,X,O,X,X,O,X,X,X,O
IZSTOJL,O,X,X,X,X,O,X,X,X,X
IZSLTJO,O,X,O,X,X,O,X,X,X,X
IZSLTOJ,O,X,O,X,X,O,X,X,X,X
IZSLJTO,X,X,O,X,X,O,X,O,X,X
IZSLJOT,O,X,X,X,X,O,X,O,X,X
IZSLOTJ,O,X,O,X,X,O,X,X,X,X
IZSLOJT,O,X,X,X,O,O,X,O,X,X
IZSJTLO,X,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,X,X,X,O,X,X,X,X
IZSJLTO,X,X,X,X,X,O,X,X,X,X
IZSJLOT,O,X,X,X,X,O,X,X,X,X
IZSJOTL,X,X,X,X,X,O,X,X,X,X
IZSJOLT,O,X,X,X,X,O,X,X,X,X
IZSOTLJ,O,X,X,X,X,O,X,X,X,O
IZSOTJL,O,X,X,X,X,O,X,X,X,X
IZSOLTJ,O,X,X,X,X,O,X,X,X,X
IZSOLJT,O,X,X,X,O,O,X,O,X,X
IZSOJTL,X,X,X,X,X,O,X,X,X,X
IZSOJLT,O,X,X,X,X,O,X,X,X,X
IZOTLJS,X,X,X,X,O,X,X,O,X,O
IZOTLSJ,O,X,X,X,X,O,X,X,X,O
IZOTJLS,X,X,X,X,X,X,X,X,X,O
IZOTJSL,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,O,X,X,X,O
IZOTSJL,X,X,X,X,X,O,X,X,X,X
IZOLTJS,X,X,X,X,O,X,X,O,X,O
IZOLTSJ,O,X,X,X,X,O,X,X,X,O
IZOLJTS,X,X,X,X,O,X,X,O,X,X
IZOLJST,O,X,X,X,O,O,X,O,X,X
IZOLSTJ,O,X,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,O,O,X,O,X,X
IZOJTLS,X,X,X,X,O,X,X,O,X,O
IZOJTSL,X,X,X,X,O,X,X,X,X,X
IZOJLTS,X,X,X,X,O,X,X,O,X,X
IZOJLST,O,X,X,X,O,O,X,O,X,X
IZOJSTL,X,X,X,X,O,O,X,X,X,X
IZOJSLT,X,X,X,X,O,O,X,O,X,X
IZOSTLJ,O,X,X,X,X,O,X,X,X,O
IZOSTJL,O,X,X,X,X,O,X,X,X,X
IZOSLTJ,O,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,X,O,O,X,O,X,X
IZOSJTL,X,X,X,X,X,O,X,X,X,X
IZOSJLT,O,X,X,X,X,O,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,O,X,X
IOTLJZS,X,X,X,X,X,X,X,O,X,O
IOTLSJZ,X,X,X,X,X,O,X,X,X,X
IOTLSZJ,X,X,X,X,X,O,X,X,X,O
IOTLZJS,X,X,X,X,O,X,X,O,X,O
IOTLZSJ,O,X,X,X,X,O,X,X,X,O
IOTJLSZ,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,X,X,X,X,O
IOTJSLZ,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,X,X,X,X,X,X,O,X
IOTJZLS,X,X,X,X,X,X,X,X,X,O
IOTJZSL,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,O,X,X,X,X
IOTSLZJ,X,X,X,X,X,O,X,X,X,O
IOTSJLZ,X,X,X,X,X,O,X,X,X,X
IOTSJZL,X,X,X,X,X,O,X,X,X,X
IOTSZLJ,X,X,X,X,X,O,X,X,X,O
IOTSZJL,X,X,X,X,X,O,X,X,X,X
IOTZLJS,X,X,X,X,O,X,X,O,X,O
IOTZLSJ,O,X,X,X,X,O,X,X,X,O
IOTZJLS,X,X,X,X,X,X,X,X,X,O
IOTZJSL,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,O,X,X,X,O
IOTZSJL,X,X,X,X,X,O,X,X,X,X
IOLTJSZ,X,O,X,O,X,X,X,O,X,X
IOLTJZS,X,O,X,O,X,X,X,O,X,O
IOLTSJZ,X,X,X,O,X,O,X,X,X,X
IOLTSZJ,X,X,X,X,X,O,X,X,X,O
IOLTZJS,X,O,X,X,O,X,X,O,X,O
IOLTZSJ,O,X,X,X,X,O,X,X,X,O
IOLJTSZ,X,O,X,O,O,X,X,O,X,X
IOLJTZS,X,O,X,O,O,X,X,O,X,X
IOLJSTZ,X,O,X,O,O,O,X,O,X,X
IOLJSZT,X,O,X,X,O,O,X,O,X,X
IOLJZTS,X,O,X,O,O,X,X,O,X,X
IOLJZST,O,O,X,X,O,O,X,O,X,X
IOLSTJZ,O,X,X,X,X,O,X,X,X,X
IOLSTZJ,O,X,X,X,X,O,X,X,X,X
IOLSJTZ,X,X,X,X,X,O,X,O,X,X
IOLSJZT,O,X,X,X,X,O,X,O,X,X
IOLSZTJ,O,X,X,X,X,O,X,X,X,X
IOLSZJT,O,X,X,X,O,O,X,O,X,X
IOLZTJS,X,X,X,X,O,X,X,O,X,O
IOLZTSJ,O,X,X,X,X,O,X,X,X,O
IOLZJTS,X,O,X,X,O,X,X,O,X,X
IOLZJST,O,O,X,X,O,O,X,O,X,X
IOLZSTJ,O,X,X,X,X,O,X,X,X,X
IOLZSJT,O,X,X,X,O,O,X,O,X,X
IOJTLSZ,X,O,X,O,O,X,X,O,X,X
IOJTLZS,X,O,X,O,O,X,X,O,X,O
IOJTSLZ,X,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,X,O,X,X,X,O,X
IOJTZLS,X,X,X,X,O,X,X,O,X,O
IOJTZSL,X,X,X,X,O,X,X,X,X,X
IOJLTSZ,X,O,X,O,O,X,X,O,X,X
IOJLTZS,X,O,X,O,O,X,X,O,X,X
IOJLSTZ,X,O,X,O,O,O,X,O,X,X
IOJLSZT,X,O,X,X,O,O,X,O,X,X
IOJLZTS,X,O,X,O,O,X,X,O,X,X
IOJLZST,O,O,X,X,O,O,X,O,X,X
IOJSTLZ,X,X,X,X,O,O,X,X,X,X
IOJSTZL,X,X,X,X,O,O,X,X,O,X
IOJSLTZ,X,O,X,O,O,O,X,O,X,X
IOJSLZT,X,O,X,X,O,O,X,O,X,X
IOJSZTL,X,X,X,X,O,O,X,X,O,X
IOJSZLT,X,X,X,X,O,O,X,O,X,X
IOJZTLS,X,X,X,X,O,X,X,O,X,O
IOJZTSL,X,X,X,X,O,X,X,X,X,X
IOJZLTS,X,O,X,O,O,X,X,O,X,X
IOJZLST,O,O,X,X,O,O,X,O,X,X
IOJZSTL,X,X,X,X,O,O,X,X,X,X
IOJZSLT,X,X,X,X,O,O,X,O,X,X
IOSTLJZ,O,X,X,X,X,O,X,X,X,X
IOSTLZJ,O,X,X,X,X,O,X,X,X,O
IOSTJLZ,O,X,X,X,X,O,X,X,X,X
IOSTJZL,O,X,X,X,X,O,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,X,X,O
IOSTZJL,O,X,X,X,X,O,X,X,X,X
IOSLTJZ,O,X,X,X,X,O,X,X,X,X
IOSLTZJ,O,X,X,X,X,O,X,X,X,X
IOSLJTZ,X,X,X,X,X,O,X,O,X,X
IOSLJZT,O,X,X,X,X,O,X,O,X,X
IOSLZTJ,O,X,X,X,X,O,X,X,X,X
IOSLZJT,O,X,X,X,O,O,X,O,X,X
IOSJTLZ,X,X,X,X,X,O,X,X,X,X
IOSJTZL,X,X,X,X,X,O,X,X,X,X
IOSJLTZ,X,X,X,X,X,O,X,X,X,X
IOSJLZT,O,X,X,X,X,O,X,X,X,X
IOSJZTL,X,X,X,X,X,O,X,X,X,X
IOSJZLT,O,X,X,X,X,O,X,X,X,X
IOSZTLJ,O,X,X,X,X,O,X,X,X,O
IOSZTJL,O,X,X,X,X,O,X,X,X,X
IOSZLTJ,O,X,X,X,X,O,X,X,X,X
IOSZLJT,O,X,X,X,O,O,X,O,X,X
IOSZJTL,X,X,X,X,X,O,X,X,X,X
IOSZJLT,O,X,X,X,X,O,X,X,X,X
