sequence,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFOhBXdBCgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFxbBXdBmgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgB0cBzgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBXdBzgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhF0cBzfB+lBKmBFn?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF/gBUcBFdB2qBxm?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFXdBzfB+lBKmBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je06IvhFZhBCdB+lBVnBXg?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF0cBmgBTgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBxcBUhB1qBXn?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFXdBmgBTgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhF0cBzfBKmBFnBmk?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfB3lBCnBOnBFm?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhFXdBzfBKmBFnBmk?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jez/IvhFRhBUmBFnBmkBCm?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFTcBSlB/rBFnBUl?BOsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfBUmBFnB3lB6r?BOsB
JLZTISO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTIOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLZTSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZTSOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JLZTOIS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JLZTOSI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZITSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZITOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZISTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JLZIOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLZOTSI,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLZOITS,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JLZOIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZOSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JLOTIZS,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JLOTSIZ,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JLOTSZI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOTZIS,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JLOTZSI,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOITSZ,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JLOITZS,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JLOISTZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JLOISZT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLOIZTS,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JLOIZST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JLOSTZI,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JLOSITZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JLOSIZT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLOSZTI,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLOSZIT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLOZTIS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZTSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZITS,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JLOZIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JSTILOZ,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSTIZLO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JSTIZOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTIOLZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSTIOZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLIZO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JSTLIOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
JSTLZIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
JSTLZOI,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
JSTLOIZ,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
JSTLOZI,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
JSTZILO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSTZIOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTZLIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSTZLOI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTZOIL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSTZOLI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTOIZL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JSTOLZI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JSTOZIL,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTOZLI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSITLZO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSITLOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSITZLO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSITZOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSITOZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSILTOZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSILZTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIZOLT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIOTZL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIOZLT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JSLTIOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JSLTZIO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JSLTZOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSLTOIZ,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLTOZI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSLITZO,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLITOZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLIZTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLOTZI,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLOITZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLOIZT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLOZTI,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSLOZIT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZTILO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZTIOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTIZL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSOTLZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTZIL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTZLI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOITLZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOITZL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOILTZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSOILZT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOIZTL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSOLTZI,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSOLITZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSOLIZT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOLZTI,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOLZIT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSOZTIL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZITL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTILOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZTIOSL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZTLISO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLIOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZTOISL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZTOLIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTOSLI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZITLSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZITLOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITOSL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILTSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZILTOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZIOTSL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZIOLTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTIOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JZLTOSI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLITOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZLOTSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZLOITS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZLOIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSTIOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZOTISL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZOTLIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZOTSLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZOITLS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JZOITSL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JZOILTS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZOILST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOISLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZOLTSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZOLIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOSTLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOSITL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOSILT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTILZS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTISLZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTISZL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTIZLS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JOTIZSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JOTLISZ,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOTLIZS,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOTLSIZ,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOTLSZI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTLZIS,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOTLZSI,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTSILZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOTSLZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSZIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSZLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTZILS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTZISL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTZLIS,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOTZLSI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTZSIL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JOTZSLI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JOITLSZ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOITLZS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
