sequence,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFqgBxdBlhB3?iB0mB2wB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeB0gBF?nBTrBmrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFXeBxgBUmBF?nBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFWhBxcBXeBU?mBFnBywB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBlgBU?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBUiBF?mBzrBmqB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBXeBlgBx?mBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFCcBxdBlhB3?iBmrBUrB
ITZOLJS,X,X,O,X,X,O,O,X,X,X,O,X
ITZOLSJ,X,X,O,O,X,O,O,O,O,X,O,X
ITZOJLS,X,X,O,X,X,O,O,X,X,X,O,X
ITZOJSL,X,X,O,X,X,O,O,X,X,X,O,X
ITZOSLJ,X,X,O,X,X,O,O,X,O,X,O,X
ITZOSJL,X,X,O,X,X,O,O,X,X,X,O,X
ITOLJSZ,X,O,X,O,X,X,X,O,O,X,O,X
ITOLJZS,X,X,X,O,X,X,X,O,X,X,O,X
ITOLSJZ,X,O,X,O,X,X,X,X,O,X,O,X
ITOLSZJ,O,O,X,O,X,X,X,O,O,X,O,X
ITOLZJS,X,X,X,O,X,X,X,X,O,X,O,X
ITOLZSJ,O,X,X,O,X,X,X,O,O,X,O,X
ITOJLSZ,X,O,X,O,X,X,X,O,O,X,O,X
ITOJLZS,X,X,X,O,X,X,X,O,X,X,O,X
ITOJSLZ,X,O,X,O,X,X,X,O,O,X,O,O
ITOJSZL,X,X,X,O,X,X,X,O,X,X,O,O
ITOJZLS,X,X,X,O,X,X,X,O,X,X,O,O
ITOJZSL,X,X,X,O,X,X,X,X,X,X,O,O
ITOSLJZ,X,O,X,O,X,X,X,X,O,X,O,O
ITOSLZJ,O,O,X,O,X,X,X,O,O,X,O,O
ITOSJLZ,X,O,X,O,X,X,X,X,O,X,O,O
ITOSJZL,O,X,X,O,X,X,X,X,X,X,O,O
ITOSZLJ,O,X,X,O,X,X,O,O,O,X,O,O
ITOSZJL,O,X,X,O,X,X,O,X,O,X,O,X
ITOZLJS,X,X,X,O,X,X,O,X,O,X,O,X
ITOZLSJ,O,X,X,O,X,X,O,O,O,X,O,X
ITOZJLS,X,X,X,O,X,X,O,X,O,X,O,X
ITOZJSL,X,X,X,X,X,X,O,X,O,X,O,X
ITOZSLJ,O,X,X,O,X,X,O,X,O,X,O,X
ITOZSJL,O,X,X,O,X,X,O,X,O,X,O,X
ILTJSZO,X,O,X,O,O,X,X,O,O,X,O,X
ILTJSOZ,X,O,X,O,X,X,X,O,O,X,O,X
ILTJZSO,X,X,X,O,O,X,X,O,O,X,O,X
ILTJZOS,X,X,X,O,X,X,X,O,O,X,X,X
ILTJOSZ,X,O,X,X,X,X,X,O,O,X,O,X
ILTJOZS,X,X,X,O,X,X,X,O,X,X,O,X
ILTSJZO,X,O,O,O,O,X,X,O,O,X,O,X
ILTSJOZ,X,O,X,O,X,X,X,O,O,X,O,X
ILTSZJO,O,X,O,O,O,O,X,O,O,X,O,X
ILTSZOJ,O,O,O,O,O,O,X,O,O,X,O,X
ILTSOJZ,X,O,X,O,X,X,X,X,O,X,O,X
ILTSOZJ,O,O,O,O,X,X,X,O,O,X,O,X
ILTZJSO,X,X,X,O,O,O,X,O,O,X,O,X
ILTZJOS,X,X,X,O,X,O,X,O,X,X,X,X
ILTZSJO,O,X,O,O,O,O,X,O,O,X,O,X
ILTZSOJ,O,X,O,O,O,O,X,O,O,X,O,X
ILTZOJS,X,X,O,X,X,O,X,X,X,X,O,X
ILTZOSJ,X,X,O,O,X,O,X,O,O,X,O,X
ILTOJSZ,X,O,X,O,X,X,X,O,O,X,O,X
ILTOJZS,X,X,X,O,X,X,X,O,X,X,O,X
ILTOSJZ,X,O,X,O,X,X,X,X,O,X,O,X
ILTOSZJ,O,O,X,O,X,X,X,O,O,X,O,X
ILTOZJS,X,X,X,O,X,X,X,X,O,X,O,X
ILTOZSJ,O,X,X,O,X,X,X,O,O,X,O,X
ILJTSZO,X,O,X,O,O,X,X,O,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,O,X,X,X,X
ILJTZSO,X,X,X,O,O,X,X,O,X,X,X,X
ILJTZOS,X,X,X,O,X,X,X,O,X,X,X,X
ILJTOSZ,X,O,X,X,X,X,X,O,X,X,X,X
ILJTOZS,X,X,X,O,X,X,X,O,X,X,X,X
ILJSTZO,X,O,X,O,O,X,X,O,O,X,X,O
ILJSTOZ,X,O,X,O,X,X,X,O,O,X,X,O
ILJSZTO,O,O,X,O,O,X,X,O,O,X,X,O
ILJSZOT,X,O,X,O,O,X,X,O,O,X,X,O
ILJSOTZ,X,O,X,O,X,X,X,O,O,X,X,O
ILJSOZT,O,O,X,O,O,X,X,O,O,X,X,O
ILJZTSO,X,X,X,O,O,O,X,O,O,X,X,O
ILJZTOS,X,X,X,O,X,O,X,O,X,X,X,O
ILJZSTO,O,O,X,O,O,X,X,O,O,X,X,O
ILJZSOT,X,O,X,O,O,X,X,O,O,X,X,O
ILJZOTS,X,X,X,O,X,X,X,O,X,X,X,O
ILJZOST,X,O,X,O,O,X,X,O,O,X,X,O
ILJOTSZ,X,O,X,O,X,X,X,O,X,X,X,X
ILJOTZS,X,X,X,O,X,X,X,O,X,X,X,X
ILJOSTZ,X,O,X,O,X,X,X,O,X,X,X,O
ILJOSZT,O,O,X,O,O,X,X,O,X,X,X,O
ILJOZTS,X,X,X,O,X,X,X,O,X,X,X,O
ILJOZST,O,O,X,O,O,X,X,O,X,X,X,O
ILSTJZO,X,O,O,O,O,X,X,O,O,X,O,X
ILSTJOZ,X,O,X,O,X,X,X,O,O,X,O,O
ILSTZJO,O,X,O,O,O,O,X,O,O,X,O,X
ILSTZOJ,O,O,O,O,O,O,X,O,O,X,O,O
ILSTOJZ,X,O,O,O,X,X,X,X,O,O,O,O
ILSTOZJ,O,O,O,O,X,X,X,O,O,O,O,O
ILSJTZO,X,O,O,O,O,X,X,O,O,X,X,O
ILSJTOZ,X,O,X,O,X,X,X,O,O,X,X,O
ILSJZTO,O,O,O,O,O,X,X,O,O,X,X,O
ILSJZOT,X,O,O,O,O,X,X,O,O,X,X,O
ILSJOTZ,X,O,O,O,X,X,X,O,O,O,X,O
ILSJOZT,O,O,O,O,O,X,X,O,O,O,X,O
ILSZTJO,O,X,O,O,O,O,X,O,O,X,O,X
ILSZTOJ,O,O,O,O,O,O,X,O,O,X,O,X
ILSZJTO,O,O,O,O,O,X,X,O,O,X,X,X
ILSZJOT,X,O,O,O,O,X,X,O,O,X,X,X
ILSZOTJ,O,O,O,O,O,X,X,O,O,O,X,X
ILSZOJT,O,O,O,O,O,X,X,X,O,O,X,X
ILSOTJZ,X,O,O,O,X,X,X,X,O,O,O,O
ILSOTZJ,O,O,O,O,X,X,X,O,O,O,O,O
ILSOJTZ,X,O,O,O,X,X,X,O,O,O,X,O
ILSOJZT,O,O,O,O,O,X,X,O,O,O,X,O
ILSOZTJ,O,O,O,O,O,X,X,O,O,O,X,X
ILSOZJT,O,O,O,O,O,X,X,X,O,O,X,X
ILZTJSO,X,X,X,O,O,O,X,O,X,X,O,X
ILZTJOS,X,X,X,O,X,O,X,O,X,X,X,X
ILZTSJO,O,X,O,O,O,O,X,O,O,X,O,X
ILZTSOJ,O,X,O,O,O,O,X,O,O,X,O,X
ILZTOJS,X,X,O,X,X,O,X,X,X,X,X,X
ILZTOSJ,X,X,O,O,X,O,X,O,X,X,O,X
ILZJTSO,X,X,X,O,O,O,X,O,X,X,X,X
ILZJTOS,X,X,X,O,X,O,X,O,X,X,X,X
ILZJSTO,O,O,X,O,O,X,X,O,O,X,X,X
ILZJSOT,X,O,X,O,O,X,X,O,X,X,X,X
ILZJOTS,X,X,X,O,X,X,X,O,X,X,X,X
ILZJOST,X,O,X,O,O,X,X,O,X,X,X,X
ILZSTJO,O,X,O,O,O,O,X,O,O,X,O,X
ILZSTOJ,O,O,O,O,O,O,X,O,O,X,O,X
ILZSJTO,O,O,O,O,O,X,X,O,O,X,X,X
ILZSJOT,X,O,O,O,O,X,X,O,X,X,X,X
ILZSOTJ,O,O,O,O,O,X,X,O,O,X,X,X
ILZSOJT,O,O,O,O,O,X,X,X,X,X,X,X
ILZOTJS,X,X,O,O,X,O,X,X,X,X,X,X
ILZOTSJ,O,X,O,O,X,O,X,X,X,X,X,X
ILZOJTS,X,X,X,O,X,X,X,X,X,X,X,X
ILZOJST,O,O,X,O,O,X,X,X,X,X,X,X
ILZOSTJ,O,O,O,O,O,X,X,X,O,X,X,X
ILZOSJT,O,O,O,O,O,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,O,X,X,X,O,O,X,O,X
ILOTJZS,X,X,X,O,X,X,X,O,X,X,O,X
ILOTSJZ,X,O,O,O,X,X,X,X,O,O,O,X
ILOTSZJ,O,O,O,O,X,X,X,O,O,O,O,X
ILOTZJS,X,X,O,O,X,X,X,X,O,O,O,X
ILOTZSJ,O,X,O,O,X,X,X,O,O,O,O,X
ILOJTSZ,X,O,X,O,X,X,X,O,X,X,X,X
ILOJTZS,X,X,X,O,X,X,X,O,X,X,X,X
ILOJSTZ,X,O,X,O,X,X,X,O,O,X,X,O
ILOJSZT,O,O,X,O,O,X,X,O,O,X,X,O
ILOJZTS,X,X,X,O,X,X,X,O,O,X,X,O
ILOJZST,O,O,X,O,O,X,X,O,O,X,X,O
ILOSTJZ,X,O,O,O,X,X,X,X,O,O,O,O
ILOSTZJ,O,O,O,O,X,X,X,O,O,O,O,O
ILOSJTZ,X,O,O,O,X,X,X,O,O,O,X,O
ILOSJZT,O,O,O,O,O,X,X,O,O,O,X,O
ILOSZTJ,O,O,O,O,O,X,X,O,O,O,X,X
ILOSZJT,O,O,O,O,O,X,X,X,O,O,X,X
ILOZTJS,X,X,O,O,X,O,X,X,X,X,X,X
ILOZTSJ,O,X,O,O,X,O,X,X,O,O,X,X
ILOZJTS,X,X,X,O,X,X,X,X,X,X,X,X
ILOZJST,O,O,X,O,O,X,X,X,O,O,X,X
ILOZSTJ,O,O,O,O,O,X,X,X,O,O,X,X
ILOZSJT,O,O,O,O,O,X,X,X,O,O,X,X
IJTLSZO,X,O,X,O,O,X,X,O,O,X,O,X
IJTLSOZ,X,O,X,O,X,X,X,O,O,X,O,X
IJTLZSO,X,X,X,O,O,X,X,O,O,X,O,X
IJTLZOS,X,X,X,O,X,X,X,O,O,X,X,X
IJTLOSZ,X,O,X,X,X,X,X,O,O,X,O,X
IJTLOZS,X,X,X,O,X,X,X,O,X,X,O,X
IJTSLZO,X,O,X,O,O,X,X,O,O,X,O,O
IJTSLOZ,X,O,X,O,X,X,X,O,O,X,O,O
IJTSZLO,X,O,X,O,O,X,X,O,O,X,O,O
IJTSZOL,X,X,X,O,O,X,X,O,O,X,X,O
IJTSOLZ,X,O,X,O,X,X,X,O,O,X,O,O
IJTSOZL,X,X,X,O,O,X,X,O,X,X,O,O
IJTZLSO,X,X,X,O,O,X,X,O,O,X,O,O
IJTZLOS,X,X,X,O,X,X,X,O,O,X,X,O
IJTZSLO,X,X,X,O,O,X,X,O,O,X,O,O
IJTZSOL,X,X,X,O,O,X,X,O,O,X,X,O
IJTZOLS,X,X,X,O,X,X,X,O,O,X,X,O
IJTZOSL,X,X,X,X,X,X,X,X,O,X,X,O
IJTOLSZ,X,O,X,X,X,X,X,O,O,X,O,X
IJTOLZS,X,X,X,O,X,X,X,O,X,X,O,X
IJTOSLZ,X,O,X,X,X,X,X,O,O,X,O,O
IJTOSZL,X,X,X,X,X,X,X,O,X,X,O,O
IJTOZLS,X,X,X,O,X,X,X,O,X,X,O,O
IJTOZSL,X,X,X,X,X,X,X,O,X,X,O,O
IJLTSZO,X,O,X,O,O,X,X,O,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,O,X,X,X,X
IJLTZSO,X,X,X,O,O,X,X,O,X,X,X,X
IJLTZOS,X,X,X,O,X,X,X,O,X,X,X,X
IJLTOSZ,X,O,X,X,X,X,X,O,X,X,X,X
IJLTOZS,X,X,X,O,X,X,X,O,X,X,X,X
IJLSTZO,X,O,X,O,O,X,X,O,O,X,X,O
IJLSTOZ,X,O,X,O,X,X,X,O,O,X,X,O
IJLSZTO,O,O,X,O,O,X,X,O,O,X,X,O
IJLSZOT,X,O,X,O,O,X,X,O,O,X,X,O
IJLSOTZ,X,O,X,O,X,X,X,O,O,X,X,O
IJLSOZT,O,O,X,O,O,X,X,O,O,X,X,O
IJLZTSO,X,X,X,O,O,O,X,O,O,X,X,O
IJLZTOS,X,X,X,O,X,O,X,O,X,X,X,O
IJLZSTO,O,O,X,O,O,X,X,O,O,X,X,O
IJLZSOT,X,O,X,O,O,X,X,O,O,X,X,O
IJLZOTS,X,X,X,O,X,X,X,O,X,X,X,O
IJLZOST,X,O,X,O,O,X,X,O,O,X,X,O
IJLOTSZ,X,O,X,O,X,X,X,O,X,X,X,X
IJLOTZS,X,X,X,O,X,X,X,O,X,X,X,X
IJLOSTZ,X,O,X,O,X,X,X,O,X,X,X,O
IJLOSZT,O,O,X,O,O,X,X,O,X,X,X,O
IJLOZTS,X,X,X,O,X,X,X,O,X,X,X,O
IJLOZST,O,O,X,O,O,X,X,O,X,X,X,O
IJSTLZO,X,O,X,O,O,X,X,O,O,X,O,O
IJSTLOZ,X,O,X,O,X,X,X,O,O,X,O,O
IJSTZLO,O,O,X,O,O,X,X,O,O,X,O,O
IJSTZOL,X,X,X,O,O,X,X,O,O,X,X,O
IJSTOLZ,X,O,X,O,X,X,X,O,O,X,O,O
IJSTOZL,X,X,X,O,O,X,X,O,X,X,O,O
IJSLTZO,X,O,X,O,O,X,X,O,O,X,X,O
IJSLTOZ,X,O,X,O,X,X,X,O,O,X,X,O
IJSLZTO,O,O,X,O,O,X,X,O,O,X,X,O
IJSLZOT,X,O,X,O,O,X,X,O,O,X,X,O
IJSLOTZ,X,O,X,O,X,X,X,O,O,X,X,O
IJSLOZT,O,O,X,O,O,X,X,O,O,X,X,O
IJSZTLO,O,O,X,O,O,X,X,O,O,X,O,O
IJSZTOL,X,X,X,O,O,X,X,O,O,X,X,O
IJSZLTO,O,O,X,O,O,X,X,O,O,X,X,O
IJSZLOT,X,O,X,O,O,X,X,O,O,X,X,O
IJSZOTL,X,X,X,O,O,X,X,O,O,X,X,O
IJSZOLT,X,O,X,O,O,X,X,O,O,X,X,O
IJSOTLZ,X,O,X,O,X,X,X,O,O,X,X,O
IJSOTZL,O,X,X,O,O,X,X,O,X,X,X,O
IJSOLTZ,X,O,X,O,X,X,X,O,O,X,X,O
IJSOLZT,O,O,X,O,O,X,X,O,O,X,X,O
IJSOZTL,O,X,X,O,O,X,X,O,X,X,X,O
IJSOZLT,O,O,X,O,O,X,X,O,X,X,X,O
IJZTLSO,X,X,X,O,O,O,X,O,O,X,O,O
IJZTLOS,X,X,X,O,X,O,X,O,O,X,X,O
IJZTSLO,X,X,X,O,O,O,X,O,O,X,O,O
IJZTSOL,X,X,X,O,O,O,X,O,O,X,X,O
IJZTOLS,X,X,X,O,X,O,X,O,O,X,X,O
IJZTOSL,X,X,X,X,X,O,X,X,O,X,X,O
IJZLTSO,X,X,X,O,O,O,X,O,O,X,X,O
IJZLTOS,X,X,X,O,X,O,X,O,O,X,X,O
IJZLSTO,O,O,X,O,O,X,X,O,O,X,X,O
IJZLSOT,X,O,X,O,O,X,X,O,O,X,X,O
IJZLOTS,X,X,X,O,X,X,X,O,X,X,X,O
IJZLOST,X,O,X,O,O,X,X,O,O,X,X,O
IJZSTLO,O,O,X,O,O,X,X,O,O,X,O,O
IJZSTOL,X,X,X,O,O,X,X,O,O,X,X,O
IJZSLTO,O,O,X,O,O,X,X,O,O,X,X,O
IJZSLOT,X,O,X,O,O,X,X,O,O,X,X,O
IJZSOTL,X,X,X,O,O,X,X,O,O,X,X,O
IJZSOLT,X,O,X,O,O,X,X,O,O,X,X,O
IJZOTLS,X,X,X,O,X,X,X,O,O,X,X,O
IJZOTSL,X,X,X,X,X,X,X,O,O,X,X,O
IJZOLTS,X,X,X,O,X,X,X,O,X,X,X,O
IJZOLST,X,O,X,O,O,X,X,O,O,X,X,O
IJZOSTL,X,X,X,X,O,X,X,O,O,X,X,O
IJZOSLT,X,O,X,X,O,X,X,O,O,X,X,O
IJOTLSZ,X,O,X,O,X,X,X,O,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,O,X,X,X,X
IJOTSLZ,X,O,X,O,X,X,X,O,X,X,X,O
IJOTSZL,X,X,X,O,X,X,X,O,X,X,X,O
IJOTZLS,X,X,X,O,X,X,X,O,X,X,X,O
IJOTZSL,X,X,X,O,X,X,X,O,X,X,X,O
IJOLTSZ,X,O,X,O,X,X,X,O,X,X,X,X
IJOLTZS,X,X,X,O,X,X,X,O,X,X,X,X
IJOLSTZ,X,O,X,O,X,X,X,O,X,X,X,O
IJOLSZT,O,O,X,O,O,X,X,O,X,X,X,O
IJOLZTS,X,X,X,O,X,X,X,O,X,X,X,O
IJOLZST,O,O,X,O,O,X,X,O,X,X,X,O
IJOSTLZ,X,O,X,O,X,X,X,O,X,X,X,O
IJOSTZL,O,X,X,O,O,X,X,O,X,X,X,O
IJOSLTZ,X,O,X,O,X,X,X,O,X,X,X,O
IJOSLZT,O,O,X,O,O,X,X,O,X,X,X,O
IJOSZTL,O,X,X,O,O,X,X,O,X,X,X,O
IJOSZLT,O,O,X,O,O,X,X,O,X,X,X,O
IJOZTLS,X,X,X,O,X,X,X,O,X,X,X,O
IJOZTSL,X,X,X,O,X,X,X,O,X,X,X,O
IJOZLTS,X,X,X,O,X,X,X,O,X,X,X,O
IJOZLST,O,O,X,O,O,X,X,O,X,X,X,O
IJOZSTL,O,X,X,O,O,X,X,O,X,X,X,O
IJOZSLT,O,O,X,O,O,X,X,O,X,X,X,O
ISTLJZO,X,O,O,O,O,X,X,O,O,X,O,X
ISTLJOZ,X,O,X,O,X,X,X,O,O,X,O,O
ISTLZJO,O,X,O,O,O,O,X,O,O,X,O,X
ISTLZOJ,O,O,O,O,O,O,X,O,O,X,O,O
ISTLOJZ,X,O,O,O,X,X,X,X,O,O,O,O
ISTLOZJ,O,O,O,O,X,X,X,O,O,O,O,O
ISTJLZO,X,O,O,O,O,X,X,O,O,X,O,O
ISTJLOZ,X,O,X,O,X,X,X,O,O,X,O,O
ISTJZLO,O,O,O,O,O,X,X,O,O,X,O,O
ISTJZOL,X,X,X,O,O,X,X,O,O,X,X,O
ISTJOLZ,X,O,X,O,X,X,X,O,O,X,O,O
ISTJOZL,X,X,X,O,O,X,X,O,X,X,O,O
ISTZLJO,O,X,O,O,O,O,O,O,O,X,O,X
ISTZLOJ,O,O,O,O,O,O,O,O,O,X,O,O
ISTZJLO,O,X,O,O,O,O,O,O,O,X,O,X
ISTZJOL,X,X,X,X,X,O,O,X,X,X,X,X
ISTZOLJ,O,X,O,O,O,O,O,O,O,X,O,O
ISTZOJL,X,X,O,X,X,O,O,X,X,X,O,X
ISTOLJZ,X,O,X,O,X,X,X,X,O,X,O,O
ISTOLZJ,O,O,O,O,X,X,X,O,O,X,O,O
ISTOJLZ,X,O,X,O,X,X,X,X,O,X,O,O
ISTOJZL,O,X,X,O,X,X,X,X,X,X,O,O
ISTOZLJ,O,X,O,O,O,X,O,O,O,X,O,O
ISTOZJL,O,X,X,O,X,X,O,X,O,X,O,X
ISLTJZO,X,O,O,O,O,X,X,O,O,X,O,X
ISLTJOZ,X,O,X,O,X,X,X,O,O,X,O,O
ISLTZJO,O,X,O,O,O,O,X,O,O,X,O,X
ISLTZOJ,O,O,O,O,O,O,X,O,O,X,O,O
ISLTOJZ,X,O,O,O,X,X,X,X,O,O,O,O
ISLTOZJ,O,O,O,O,X,X,X,O,O,O,O,O
ISLJTZO,X,O,O,O,O,X,X,O,O,X,X,O
ISLJTOZ,X,O,X,O,X,X,X,O,O,X,X,O
ISLJZTO,O,O,O,O,O,X,X,O,O,X,X,O
ISLJZOT,X,O,O,O,O,X,X,O,O,X,X,O
ISLJOTZ,X,O,O,O,X,X,X,O,O,O,X,O
ISLJOZT,O,O,O,O,O,X,X,O,O,O,X,O
ISLZTJO,O,X,O,O,O,O,X,O,O,X,O,X
ISLZTOJ,O,O,O,O,O,O,X,O,O,X,O,X
ISLZJTO,O,O,O,O,O,X,X,O,O,X,X,X
ISLZJOT,X,O,O,O,O,X,X,O,O,X,X,X
ISLZOTJ,O,O,O,O,O,X,X,O,O,O,X,X
ISLZOJT,O,O,O,O,O,X,X,X,O,O,X,X
ISLOTJZ,X,O,O,O,X,X,X,X,O,O,O,O
ISLOTZJ,O,O,O,O,X,X,X,O,O,O,O,O
ISLOJTZ,X,O,O,O,X,X,X,O,O,O,X,O
ISLOJZT,O,O,O,O,O,X,X,O,O,O,X,O
ISLOZTJ,O,O,O,O,O,X,X,O,O,O,X,X
ISLOZJT,O,O,O,O,O,X,X,X,O,O,X,X
ISJTLZO,X,O,O,O,O,X,X,O,O,X,O,O
ISJTLOZ,X,O,X,O,X,X,X,O,O,X,O,O
ISJTZLO,O,O,O,O,O,X,X,O,O,X,O,O
ISJTZOL,X,X,X,O,O,X,X,O,O,X,X,O
ISJTOLZ,X,O,X,O,X,X,X,O,O,X,O,O
ISJTOZL,X,X,X,O,O,X,X,O,X,X,O,O
ISJLTZO,X,O,O,O,O,X,X,O,O,X,X,O
ISJLTOZ,X,O,X,O,X,X,X,O,O,X,X,O
ISJLZTO,O,O,O,O,O,X,X,O,O,X,X,O
ISJLZOT,X,O,O,O,O,X,X,O,O,X,X,O
ISJLOTZ,X,O,O,O,X,X,X,O,O,O,X,O
ISJLOZT,O,O,O,O,O,X,X,O,O,O,X,O
ISJZTLO,O,O,X,O,O,X,X,O,O,X,O,O
ISJZTOL,X,X,X,O,O,X,X,O,O,X,X,O
ISJZLTO,O,O,O,O,O,X,X,O,O,X,X,O
ISJZLOT,X,O,O,O,O,X,X,O,O,X,X,O
ISJZOTL,X,X,X,O,O,X,X,O,O,X,X,O
ISJZOLT,X,O,X,O,O,X,X,O,O,X,X,O
ISJOTLZ,X,O,X,O,X,X,X,O,O,X,X,O
ISJOTZL,O,X,X,O,O,X,X,O,X,X,X,O
ISJOLTZ,X,O,X,O,X,X,X,O,O,X,X,O
ISJOLZT,O,O,X,O,O,X,X,O,O,X,X,O
ISJOZTL,O,X,X,O,O,X,X,O,X,X,X,O
ISJOZLT,O,O,X,O,O,X,X,O,X,X,X,O
ISZTLJO,O,X,O,O,O,O,O,O,O,X,O,X
ISZTLOJ,O,O,O,O,O,O,O,O,O,X,O,O
ISZTJLO,O,X,O,O,O,O,O,O,O,X,O,X
ISZTJOL,X,X,X,X,X,O,O,X,X,X,X,X
ISZTOLJ,O,X,O,O,O,O,O,O,O,X,O,O
ISZTOJL,X,X,O,X,X,O,O,X,X,X,O,X
ISZLTJO,O,X,O,O,O,O,X,O,O,X,O,X
ISZLTOJ,O,O,O,O,O,O,X,O,O,X,O,X
ISZLJTO,O,O,O,O,O,X,X,O,O,X,X,X
ISZLJOT,X,O,O,O,O,X,X,O,O,X,X,X
ISZLOTJ,O,O,O,O,O,X,X,O,O,O,X,X
ISZLOJT,O,O,O,O,O,X,X,X,O,O,X,X
ISZJTLO,O,O,X,O,O,X,X,O,O,X,O,O
ISZJTOL,X,X,X,O,O,X,X,O,X,X,X,O
ISZJLTO,O,O,O,O,O,X,X,O,O,X,X,O
ISZJLOT,X,O,O,O,O,X,X,O,O,X,X,O
ISZJOTL,X,X,X,O,O,X,X,O,X,X,X,O
ISZJOLT,X,O,X,O,O,X,X,O,X,X,X,O
ISZOTLJ,O,X,O,O,O,X,O,O,O,X,O,O
ISZOTJL,O,X,O,O,X,X,O,X,X,X,X,X
ISZOLTJ,O,O,O,O,O,X,X,O,O,X,X,X
ISZOLJT,O,O,O,O,O,X,X,X,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X,X,X,X,X,O
ISZOJLT,O,O,O,O,X,X,X,X,X,X,X,O
ISOTLJZ,X,O,O,O,X,X,X,X,O,O,O,O
ISOTLZJ,O,O,O,O,X,X,X,O,O,O,O,O
ISOTJLZ,X,O,O,O,X,X,X,X,O,O,O,O
ISOTJZL,O,X,O,O,X,X,X,X,O,X,O,O
ISOTZLJ,O,X,O,O,O,X,O,O,O,O,O,O
ISOTZJL,O,X,O,O,X,X,O,X,O,O,O,X
ISOLTJZ,X,O,O,O,X,X,X,X,O,O,O,O
ISOLTZJ,O,O,O,O,X,X,X,O,O,O,O,O
ISOLJTZ,X,O,O,O,X,X,X,O,O,O,X,O
ISOLJZT,O,O,O,O,O,X,X,O,O,O,X,O
ISOLZTJ,O,O,O,O,O,X,X,O,O,O,O,X
ISOLZJT,O,O,O,O,O,X,X,X,O,O,X,X
ISOJTLZ,X,O,O,O,X,X,X,O,O,O,O,O
ISOJTZL,O,X,O,O,O,X,X,O,O,X,O,O
ISOJLTZ,X,O,O,O,X,X,X,O,O,O,X,O
ISOJLZT,O,O,O,O,O,X,X,O,O,O,X,O
ISOJZTL,O,X,X,O,O,X,X,O,O,X,O,O
ISOJZLT,O,O,O,O,O,X,X,O,O,O,X,O
ISOZTLJ,O,X,O,O,O,X,O,O,O,O,O,O
ISOZTJL,O,X,O,O,X,X,O,X,O,O,O,X
ISOZLTJ,O,O,O,O,O,X,X,O,O,O,O,X
ISOZLJT,O,O,O,O,O,X,X,X,O,O,X,X
ISOZJTL,O,X,X,O,X,X,X,X,O,X,O,O
ISOZJLT,O,O,O,O,X,X,X,X,O,O,X,O
IZTLJSO,X,X,X,O,O,O,O,O,O,X,O,X
IZTLJOS,X,X,X,O,X,O,O,O,X,X,X,X
IZTLSJO,O,X,O,O,O,O,O,O,O,X,O,X
IZTLSOJ,O,X,O,O,O,O,O,O,O,X,O,X
IZTLOJS,X,X,O,X,X,O,O,X,X,X,O,X
IZTLOSJ,X,X,O,O,X,O,O,O,O,X,O,X
IZTJLSO,X,X,X,O,O,O,O,O,O,X,O,X
IZTJLOS,X,X,X,O,X,O,O,O,X,X,X,X
IZTJSLO,X,X,X,O,O,O,O,O,O,X,O,X
IZTJSOL,X,X,X,X,O,O,O,O,X,X,X,X
IZTJOLS,X,X,X,O,X,O,O,O,X,X,X,X
IZTJOSL,X,X,X,X,X,O,O,X,X,X,X,X
IZTSLJO,O,X,O,O,O,O,O,O,O,X,O,X
IZTSLOJ,O,X,O,O,O,O,O,O,O,X,O,X
IZTSJLO,O,X,O,O,O,O,O,O,O,X,O,X
IZTSJOL,X,X,X,X,X,O,O,X,X,X,X,X
IZTSOLJ,O,X,O,O,O,O,O,O,O,X,O,X
IZTSOJL,X,X,O,X,X,O,O,X,X,X,O,X
IZTOLJS,X,X,O,X,X,O,O,X,X,X,O,X
IZTOLSJ,X,X,O,O,X,O,O,O,O,X,O,X
IZTOJLS,X,X,O,X,X,O,O,X,X,X,O,X
IZTOJSL,X,X,O,X,X,O,O,X,X,X,O,X
