sequence,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?3gBTjB8qB+rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjB6rBzqB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBzdB?+jBxlBXmBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjBCrBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBCeB?TjBxlBGrBXrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBzdB?+jBxlB0lBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBCeB?TjBxlBGrB0qB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBfjB?6jBxlBTmBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBGeB?UjBxlB6qBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?/mBTjB0lBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhFxdB9lB?XiBTjBmlBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFCeB9lB?TjB3mBerB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFzdB+jB?9lBihBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFWjB9lB?ihBTjBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je9FJvhF0hBxiB?mgBTjBXrBCsB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhF9jB5lB?XiBigBmiBTrB
TLSIOJZ,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TLSIOZJ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TLSJIZO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLSJIOZ,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TLSJZIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLSJZOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TLSJOIZ,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
TLSJOZI,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
TLSZIJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
TLSZIOJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O
TLSZJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TLSZJOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TLSZOIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TLSZOJI,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TLSOIZJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
TLSOJIZ,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
TLSOJZI,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
TLSOZIJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
TLSOZJI,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X
TLZIJSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZIJOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZISJO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLZISOJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZIOJS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZJIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZJSIO,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLZJSOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZJOSI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSIJO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLZSIOJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLZSJOI,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TLZSOIJ,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TLZSOJI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TLZOIJS,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
