sequence,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBxcB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem6IvhFRcBSiB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBfhB?xcBqmBTiBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFfiB6iB?xfBTfB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFGdBRhB?TfBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jey/IvhFfhBxcB?umBcnBTfBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeK/IvhFzaBGdB?RhBUhBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFWhBTdB?3fBxmB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeO/IvhF8fBzbB?CdBxmBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhF0cBTfB?mgBSnBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jex6IvhFXdBTfB?mgBSnB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Je2/IvhFCcBxhB?3fBTiB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jei6IvhFzbB3fB?xmBumBcnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jez7IvhFWiB0kB?xmBikBXnBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8JeC8IvhFTdB3fB?xmB2pB0mBlpB,v115@7gB8HeB8BeB8DeB8CeB8BeD8AeH8Jem7IvhFxfB3hB?cnBTfBCnBlpB
JLZOITS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZOIST,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZOSTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JLZOSIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JLOTIZS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JLOTSIZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLOTSZI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLOTZIS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLOTZSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JLOITSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLOSTZI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JLOSITZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSIZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZITS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOZIST,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOZSTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTILOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTIZLO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTIZOL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTIOLZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTIOZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLIZO,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JSTLZIO,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X
JSTLOIZ,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X
JSTLOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSTZILO,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTZIOL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSTZLIO,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSTZOIL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSTZOLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSTOILZ,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
JSTOIZL,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSTOLIZ,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
JSTOLZI,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JSTOZIL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTOZLI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSITLZO,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
JSITLOZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSITZLO,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X
JSITZOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JSITOLZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSITOZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILTZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
JSILTOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSILZTO,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X
JSILZOT,O,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
JSILOTZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSILOZT,O,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
JSIZTLO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O,X
JSIZTOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JSIZLTO,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSIZLOT,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
JSIZOTL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JSIZOLT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X
JSIOTLZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSIOTZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIOLTZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIOLZT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X
JSIOZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JSIOZLT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
JSLTIZO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JSLTZIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLTOIZ,O,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JSLTOZI,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLITZO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JSLITOZ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JSLIZTO,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
JSLIZOT,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
JSLIOTZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLIOZT,O,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
JSLZTIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JSLZITO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JSLZIOT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JSLZOTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLOTZI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLOITZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLOIZT,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JSLOZTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSZTOIL,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZTOLI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZITLO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JSZILOT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JSZIOTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZLITO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JSZLIOT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JSZLOTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTIZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTLZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSOITZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOILZT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JSOIZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOIZLT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOLTIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOLIZT,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JSOLZTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTILOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTISLO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X,O
JZTISOL,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O
JZTIOLS,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTIOSL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZTLISO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTLIOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTLSIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTLSOI,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
JZTLOIS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZTLOSI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JZTSILO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O
JZTSIOL,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O
JZTSLIO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O
JZTSLOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTSOIL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JZTSOLI,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTOILS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZTOISL,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZTOLIS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZTOLSI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JZTOSIL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTOSLI,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZITLSO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZITLOS,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JZITSLO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
JZITSOL,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZITOLS,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JZITOSL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZILTSO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILTOS,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X
JZILSTO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
JZILSOT,O,X,O,O,X,O,X,X,O,X,X,O,X,O,X,X
JZILOTS,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JZILOST,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
JZISTLO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O
JZISTOL,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
JZISLTO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
JZISLOT,O,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X
JZISOTL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
JZISOLT,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
JZIOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZIOTSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZIOLTS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JZIOLST,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
JZIOSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZIOSLT,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
JZLTISO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLTIOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZLTSIO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLTSOI,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
JZLTOIS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZLTOSI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
JZLITSO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLITOS,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZLISTO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X
JZLISOT,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X
JZLIOTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLIOST,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLSTIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
JZLSITO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLSIOT,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLSOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOTSI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOITS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOIST,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLOSTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSTIOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSTLIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSTLOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZSTOIL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
JZSTOLI,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZSITLO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O
JZSITOL,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
JZSILTO,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O
JZSILOT,O,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X
JZSIOTL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
JZSIOLT,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZSLTIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSLTOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZSLITO,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JZSLIOT,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JZSLOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSOTLI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
JZSOILT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZSOLTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTISL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZOTLIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTLSI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOTSIL,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOTSLI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOITLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOITSL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOILTS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JZOILST,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
JZOISTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOISLT,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JZOLTIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOLTSI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOLITS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLIST,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JZOLSTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOSTLI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOSILT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZOSLTI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JOTILZS,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JOTISLZ,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
JOTISZL,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JOTIZLS,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JOTIZSL,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JOTLISZ,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLIZS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLSIZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLSZI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLZIS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTLZSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTSILZ,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
JOTSIZL,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JOTSLIZ,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
JOTSLZI,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTSZIL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTSZLI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTZILS,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOTZISL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTZLIS,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOTZLSI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTZSIL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTZSLI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITLSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITSLZ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOITSZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOITZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOITZSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOILTSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOILSTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILSZT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILZTS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOILZST,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOISTLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOISTZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOISLTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOISLZT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOISZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISZLT,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JOIZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOIZTSL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOIZLTS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOIZLST,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOIZSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZSLT,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JOLTISZ,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTIZS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTSIZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTSZI,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTZIS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTZSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLITSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
