sequence,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBihBUjBF?nBTrB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFCeB/mBUiBT?jB2wBlsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeU8IvhFFdBXeBSoBT?mB2sBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhB3iBcoBK?rBGmBTsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhF+iBTeBlhBK?rBXoBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFGeBRiBFnBX?oBTrBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeF8IvhFxdB3iBcoBO?rBzmBSxB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhBcnBTjBK?rBGmB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFxdBGjBFnB8?sBTrBfsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Je38IvhFciBTeBamBW?sBFoBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBliBimBX?oBUsBTrB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeT+IvhFxhBUhB/sBF?oBCnB2wB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFThBcoBXnBl?nB2wBCtB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeG9IvhFTeB3hBxnB0?rBlsBarB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFXiBTjB0rBl?sBOrBCtB
JSTZOLI,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JSTOILZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
JSTOIZL,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
JSTOLIZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
JSTOLZI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTOZIL,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
JSTOZLI,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X
JSITLZO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSITLOZ,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
JSITZLO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSITZOL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X
JSITOLZ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSITOZL,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
JSILTZO,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSILTOZ,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
JSILZTO,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSILZOT,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X
JSILOTZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSILOZT,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIZTOL,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JSIZLTO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSIZLOT,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
JSIZOTL,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JSIZOLT,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JSIOTLZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X
JSIOTZL,O,O,O,X,O,O,X,X,X,X,O,O,O,X,X
JSIOLTZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSIOLZT,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JSIOZTL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JSIOZLT,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X
JSLTIZO,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSLTIOZ,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLTZIO,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JSLTZOI,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JSLTOIZ,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLTOZI,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLITZO,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSLITOZ,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLIZTO,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSLIZOT,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X
JSLIOTZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLIOZT,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JSLZTOI,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X
JSLZITO,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JSLZIOT,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X
JSLZOTI,X,O,O,X,O,O,O,O,O,X,X,X,O,X,X
JSLZOIT,X,O,X,X,O,O,O,O,X,X,O,X,O,X,X
JSLOTIZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLOTZI,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLOITZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLOIZT,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X
JSLOZTI,X,O,O,X,O,O,X,O,O,X,X,X,O,X,X
JSLOZIT,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JSZTILO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSZTIOL,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X
JSZTLIO,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JSZTLOI,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JSZTOIL,O,O,X,X,O,X,O,O,X,X,O,O,O,X,X
JSZTOLI,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X
JSZITLO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSZITOL,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X
JSZILTO,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
JSZILOT,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X
JSZIOTL,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X
JSZIOLT,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X
JSZLTIO,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JSZLTOI,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
JSZLITO,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JSZLIOT,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X
JSZLOTI,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X
JSZLOIT,O,O,X,X,O,O,O,O,X,X,O,X,O,X,X
JSZOTIL,O,O,X,X,O,O,O,O,X,X,O,X,O,X,X
JSZOTLI,O,O,X,X,O,O,X,O,O,X,O,X,O,X,X
JSZOITL,O,O,X,X,O,X,O,O,X,X,O,X,O,X,X
JSZOILT,O,O,X,X,O,O,O,O,X,X,O,X,O,X,X
JSZOLTI,O,O,X,X,O,O,O,O,O,X,X,X,O,X,X
JSZOLIT,O,O,X,X,O,O,O,O,X,X,O,X,O,X,X
JSOTILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOTIZL,O,O,X,X,O,O,X,X,X,X,O,O,O,X,X
JSOTLIZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOTLZI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,X,X,O,O,X,X,X,X,O,O,O,X,X
JSOTZLI,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X
JSOITLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOITZL,O,O,X,X,O,O,X,X,X,X,O,O,O,X,X
JSOILTZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JSOIZTL,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X
JSOIZLT,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X
JSOLTIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOLTZI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOLITZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JSOLZTI,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JSOLZIT,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JSOZTIL,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X
JSOZTLI,O,O,X,X,O,O,X,O,O,X,O,X,O,X,X
JSOZITL,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X
JSOZILT,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X
JSOZLTI,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JSOZLIT,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X
JZTILSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JZTILOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTISLO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O
JZTISOL,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
JZTIOLS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JZTIOSL,O,X,O,X,X,X,O,X,X,X,X,O,X,O,O
JZTLISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JZTLIOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTLSIO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JZTLSOI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JZTLOIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTLOSI,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O
JZTSILO,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
JZTSIOL,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
JZTSLIO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O
JZTSLOI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZTSOIL,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
JZTSOLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZTOILS,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X
JZTOISL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
JZTOLIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTOLSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
JZTOSIL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O
JZTOSLI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZITLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JZITLOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZITSLO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZITSOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JZITOLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZITOSL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JZILTSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZILTOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZILSTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
JZILSOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZILOTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZILOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X
JZISTOL,O,O,X,X,X,X,O,X,X,X,O,X,X,O,X
JZISLTO,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JZISLOT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JZISOTL,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
JZISOLT,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X
JZIOTLS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZIOTSL,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JZIOLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZIOLST,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZIOSTL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZIOSLT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZLTISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLTIOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLTSIO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLTSOI,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLTOIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLTOSI,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZLITSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLITOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLISTO,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZLISOT,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZLIOTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZLIOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZLSTOI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZLSITO,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZLSIOT,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZLSOTI,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
JZLSOIT,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X
JZLOTIS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLOTSI,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLOIST,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZLOSTI,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
JZLOSIT,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JZSTILO,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X
JZSTIOL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X
JZSTLIO,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X
JZSTLOI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
JZSTOIL,O,O,X,X,X,X,O,X,X,X,O,O,O,O,X
JZSTOLI,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSITLO,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X
JZSITOL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X
JZSILTO,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
JZSILOT,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
JZSIOTL,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
JZSIOLT,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X
JZSLTIO,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X
JZSLTOI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JZSLITO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
JZSLIOT,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JZSLOTI,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X
JZSLOIT,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JZSOTIL,O,O,X,O,X,X,O,X,X,X,O,X,O,O,X
JZSOTLI,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X
JZSOITL,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
JZSOILT,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X
JZSOLTI,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X
JZSOLIT,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
JZOTILS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOTISL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
JZOTLIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOTLSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
JZOTSIL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O
JZOTSLI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZOITLS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOITSL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZOILTS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOILST,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOISTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOISLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOLTIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOLTSI,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JZOLITS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOLIST,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOLSTI,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
JZOLSIT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JZOSTIL,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JZOSTLI,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JZOSITL,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JZOSILT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JZOSLTI,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X
JZOSLIT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JOTILSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTILZS,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTISLZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTISZL,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
JOTIZLS,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTIZSL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JOTLISZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTLIZS,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTLSIZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLSZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLZIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLZSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JOTSILZ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOTSIZL,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JOTSLIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSLZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSZIL,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTSZLI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOTZILS,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X
JOTZISL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
JOTZLIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTZLSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
JOTZSIL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O
JOTZSLI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOITLSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOITZLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOILTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JOILZTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOILZST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOISTLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOISLTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JOISZTL,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JOISZLT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JOIZTLS,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOIZTSL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOIZLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOIZLST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOIZSTL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOIZSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLTISZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLTSZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLTZIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTZSI,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JOLITSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JOLIZTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLIZST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLSTIZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLSTZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLSITZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLSIZT,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X
JOLSZTI,O,O,O,X,X,O,X,O,O,X,X,X,O,X,X
JOLSZIT,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOLZTIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLZTSI,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JOLZITS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLZIST,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOLZSTI,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
JOLZSIT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JOSTILZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSTIZL,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JOSTLIZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSTLZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JOSTZLI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JOSITLZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSITZL,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JOSILTZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSILZT,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOSIZTL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSIZLT,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOSLTIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSLTZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSLITZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSLIZT,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOSLZTI,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X
JOSLZIT,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOSZTIL,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOSZTLI,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X
JOSZITL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSZILT,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOSZLTI,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X
JOSZLIT,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOZTILS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZTISL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
JOZTLIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZTLSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
JOZTSIL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O
JOZTSLI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOZITLS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZITSL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOZILTS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZILST,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOZISTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOZISLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOZLTIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZLTSI,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JOZLITS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOZLIST,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOZLSTI,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
JOZLSIT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JOZSTIL,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JOZSTLI,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JOZSITL,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JOZSILT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JOZSLTI,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X
JOZSLIT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
STILJZO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
STILJOZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
STILZJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STILZOJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
STILOJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
STILOZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
