sequence,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBXgBl?hBcqBerB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFGbB0cB6iBZ?lBVmBzqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF0cB6iBlfB3?gBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFXgBxhBGiBF?mB0qBiqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBlgBGiBa?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBFlBX?mBiqB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Jex6IvhF6iB0fBlgB3?hBOrBTqB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxcBGiBUlBF?mBKqBfrB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFFbBxcBUhBG?iBTlByvB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhF6iBlhBRlBO?qBXmB0qB,v115@7gB8HeC8EeA8AeD8CeG8CeE8JeT6IvhFxbB6iBfmBl?hBUlB2vB,v115@7gB8HeC8EeA8AeD8CeG8CeE8Je//IvhFZhBTgBCiBG?iB0qBFqB
ITZOLJS,O,X,O,X,X,X,X,X,X,O,X,X
ITZOLSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITZOJLS,X,X,O,X,X,X,X,O,X,X,X,X
ITZOJSL,X,X,O,X,X,X,X,X,X,X,X,X
ITZOSLJ,X,O,O,O,X,X,X,X,X,X,X,X
ITZOSJL,X,O,O,O,X,X,X,X,X,X,X,X
ITOLJSZ,O,O,O,X,X,X,X,X,X,O,X,X
ITOLJZS,O,O,O,X,X,X,X,X,X,O,X,X
ITOLSJZ,O,O,O,O,X,X,X,X,X,O,X,X
ITOLSZJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOLZJS,O,O,O,X,X,X,X,X,X,O,X,X
ITOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOJLSZ,O,O,O,X,X,X,X,X,X,O,X,X
ITOJLZS,O,O,O,X,X,X,X,X,X,O,X,X
ITOJSLZ,O,O,O,O,X,O,X,X,X,X,X,X
ITOJSZL,X,O,O,O,X,O,X,X,X,X,X,X
ITOJZLS,O,O,O,X,X,X,X,O,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X,X,X,X,X,X
ITOSLJZ,O,O,O,O,X,X,X,X,X,O,X,X
ITOSLZJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOSJLZ,X,O,O,O,X,O,X,X,X,X,X,X
ITOSJZL,X,O,O,O,X,O,X,X,X,X,X,X
ITOSZLJ,X,O,O,O,X,X,X,X,X,X,X,X
ITOSZJL,X,O,O,O,X,X,X,X,X,X,X,X
ITOZLJS,O,O,O,X,X,X,X,X,X,O,X,X
ITOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,O,X,X,X,X,O,X,X,X,X
ITOZJSL,X,O,O,X,X,X,X,X,X,X,X,X
ITOZSLJ,X,O,O,O,X,X,X,X,X,X,X,X
ITOZSJL,X,O,O,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,O,X,X,X,X,X,X,X,X,X
ILTJSOZ,O,O,O,X,X,X,X,X,X,O,X,X
ILTJZSO,O,O,O,X,X,X,X,X,X,X,X,X
ILTJZOS,O,X,O,X,X,X,X,X,X,O,X,X
ILTJOSZ,O,X,O,X,O,X,X,X,X,O,X,X
ILTJOZS,O,X,O,X,X,X,X,X,X,O,X,X
ILTSJZO,O,O,O,X,X,X,X,X,X,X,X,X
ILTSJOZ,O,O,X,X,X,X,X,X,X,O,X,X
ILTSZJO,X,O,O,X,X,X,X,X,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X,X,X,X,X,X
ILTSOJZ,O,O,O,O,X,X,X,X,X,O,X,X
ILTSOZJ,X,O,O,X,X,X,X,X,X,X,X,X
ILTZJSO,O,O,O,X,X,X,X,X,X,X,X,X
ILTZJOS,O,X,O,X,X,X,X,X,X,O,X,X
ILTZSJO,X,O,O,X,X,X,X,X,X,X,X,X
ILTZSOJ,X,O,O,X,X,X,X,X,X,X,X,X
ILTZOJS,O,X,O,X,X,X,X,X,X,O,X,X
ILTZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILTOJSZ,O,O,O,X,O,X,X,X,X,O,X,X
ILTOJZS,O,O,O,X,X,X,X,X,X,O,X,X
ILTOSJZ,O,O,O,O,X,X,X,X,X,O,X,X
ILTOSZJ,X,O,O,X,X,X,X,X,X,X,X,X
ILTOZJS,O,O,O,X,X,X,X,X,X,O,X,X
ILTOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
ILJTSZO,O,O,O,X,O,X,X,X,O,X,X,X
ILJTSOZ,O,O,O,X,O,X,X,X,O,O,X,X
ILJTZSO,O,O,O,X,X,X,X,X,O,X,X,X
ILJTZOS,O,X,O,X,X,X,X,X,X,O,X,X
ILJTOSZ,O,X,X,X,O,X,X,X,O,O,X,X
ILJTOZS,O,X,O,X,X,X,X,X,X,O,X,X
ILJSTZO,X,O,O,X,O,X,X,X,O,X,X,X
ILJSTOZ,O,O,O,X,O,X,X,X,O,X,X,X
ILJSZTO,X,O,O,X,O,X,X,X,O,X,X,X
ILJSZOT,X,X,O,X,O,X,X,X,O,X,X,X
ILJSOTZ,O,O,X,X,O,X,X,X,O,X,X,X
ILJSOZT,X,X,O,X,O,X,X,X,O,X,X,X
ILJZTSO,O,X,O,X,X,X,X,X,O,X,X,X
ILJZTOS,O,X,O,X,X,X,X,X,X,X,X,X
ILJZSTO,O,X,O,X,O,X,X,X,O,X,X,X
ILJZSOT,O,X,O,X,O,X,X,X,O,X,X,X
ILJZOTS,O,X,O,X,X,X,X,X,X,X,X,X
ILJZOST,X,X,O,X,O,X,X,X,O,X,X,X
ILJOTSZ,O,O,O,X,O,X,X,X,O,O,X,X
ILJOTZS,O,O,O,X,X,X,X,X,X,O,X,X
ILJOSTZ,O,O,O,X,O,X,X,X,O,X,X,X
ILJOSZT,X,X,O,X,O,X,X,X,O,X,X,X
ILJOZTS,O,X,O,X,X,X,X,X,O,X,X,X
ILJOZST,X,X,O,X,O,X,X,X,O,X,X,X
ILSTJZO,X,O,X,X,O,X,X,X,O,X,X,X
ILSTJOZ,X,O,X,X,O,X,X,X,O,O,X,X
ILSTZJO,X,O,X,X,X,X,O,X,O,X,X,X
ILSTZOJ,X,O,X,X,X,X,O,X,O,X,X,X
ILSTOJZ,O,O,X,X,O,X,X,X,X,O,X,X
ILSTOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILSJTZO,X,O,X,X,O,X,X,X,O,X,X,X
ILSJTOZ,O,O,X,X,O,X,X,X,O,X,X,X
ILSJZTO,X,O,X,X,O,X,X,X,O,X,X,X
ILSJZOT,X,X,X,X,O,X,X,X,O,X,X,X
ILSJOTZ,O,O,X,X,O,X,X,X,O,X,X,X
ILSJOZT,O,X,X,X,O,X,X,X,O,X,X,X
ILSZTJO,X,O,X,X,X,X,O,X,O,X,X,X
ILSZTOJ,O,O,X,X,X,X,O,X,O,X,X,O
ILSZJTO,O,O,X,X,X,X,X,X,O,X,X,X
ILSZJOT,O,X,X,X,X,X,X,X,O,X,X,O
ILSZOTJ,O,O,X,X,X,X,X,X,O,X,X,O
ILSZOJT,O,X,X,X,X,X,X,X,X,X,X,O
ILSOTJZ,O,O,X,O,O,X,X,X,O,O,X,X
ILSOTZJ,O,O,X,X,X,X,O,X,O,X,X,X
ILSOJTZ,O,O,X,O,O,X,X,X,O,X,X,X
ILSOJZT,O,X,X,O,O,X,X,X,O,X,X,X
ILSOZTJ,O,O,X,O,X,X,O,X,O,X,X,X
ILSOZJT,O,X,X,O,X,X,X,X,O,X,X,X
ILZTJSO,X,O,O,X,X,X,O,X,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X,X,X,O,X,X
ILZTSJO,X,O,O,X,X,X,O,X,O,X,X,X
ILZTSOJ,X,O,O,X,X,X,O,X,O,X,X,O
ILZTOJS,X,X,O,X,X,X,O,X,X,O,X,X
ILZTOSJ,X,O,O,X,X,X,O,X,X,X,X,O
ILZJTSO,O,X,O,X,X,X,O,X,O,X,X,X
ILZJTOS,O,X,O,X,X,X,X,X,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X,X,O,X,X,X
ILZJSOT,O,X,O,X,X,X,X,X,O,X,X,O
ILZJOTS,O,X,O,X,X,X,O,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,X,X,O,X,X,O
ILZSTJO,X,O,X,X,X,X,O,X,O,X,O,X
ILZSTOJ,O,O,X,X,X,X,O,X,O,X,O,O
ILZSJTO,O,O,X,X,X,X,X,X,O,X,X,X
ILZSJOT,O,X,X,X,X,X,X,X,O,X,O,O
ILZSOTJ,O,O,X,O,X,X,O,X,O,X,O,O
ILZSOJT,O,X,X,O,X,X,X,X,X,X,O,O
ILZOTJS,X,O,O,X,X,X,O,X,X,O,X,X
ILZOTSJ,X,O,O,X,X,X,O,X,X,X,X,O
ILZOJTS,O,X,X,X,X,X,O,X,X,X,X,X
ILZOJST,X,X,X,X,X,X,X,X,X,X,X,O
ILZOSTJ,X,O,O,O,X,X,O,X,O,X,O,O
ILZOSJT,X,X,O,O,X,X,X,X,X,X,O,O
ILOTJSZ,O,O,O,X,O,X,X,X,X,O,X,X
ILOTJZS,O,O,O,X,X,X,X,X,X,O,X,X
ILOTSJZ,O,O,O,O,X,X,X,X,X,O,X,X
ILOTSZJ,X,O,O,X,X,X,O,X,X,X,X,X
ILOTZJS,O,O,O,X,X,X,O,X,X,O,X,X
ILOTZSJ,X,O,O,X,X,X,O,X,X,X,X,X
ILOJTSZ,O,O,O,X,O,X,X,X,O,O,X,X
ILOJTZS,O,O,O,X,X,X,X,X,X,O,X,X
ILOJSTZ,O,O,O,X,O,X,X,X,O,X,X,X
ILOJSZT,X,X,O,X,O,X,X,X,O,X,X,X
ILOJZTS,O,X,O,X,X,X,X,X,O,X,X,X
ILOJZST,X,X,O,X,O,X,X,X,O,X,X,X
ILOSTJZ,O,O,O,O,O,X,X,X,O,O,X,X
ILOSTZJ,O,O,O,X,X,X,O,X,O,X,X,X
ILOSJTZ,O,O,X,O,O,X,X,X,O,X,X,X
ILOSJZT,O,X,O,O,O,X,X,X,O,X,X,X
ILOSZTJ,O,O,O,O,X,X,O,X,O,X,X,X
ILOSZJT,O,X,O,O,X,X,X,X,O,X,X,X
ILOZTJS,X,O,O,X,X,X,O,X,X,O,X,X
ILOZTSJ,X,O,O,X,X,X,O,X,O,X,X,X
ILOZJTS,O,X,X,X,X,X,O,X,O,X,X,X
ILOZJST,X,X,X,X,X,X,X,X,O,X,X,X
ILOZSTJ,X,O,O,O,X,X,O,X,O,X,O,X
ILOZSJT,X,X,O,O,X,X,X,X,O,X,O,X
IJTLSZO,O,O,O,X,O,X,X,X,O,X,X,X
IJTLSOZ,O,O,O,X,O,X,X,X,O,O,X,X
IJTLZSO,O,O,O,X,X,X,X,O,O,X,X,X
IJTLZOS,O,X,O,X,X,X,X,X,X,O,X,X
IJTLOSZ,O,X,X,X,O,X,X,X,O,O,X,X
IJTLOZS,O,X,O,X,X,X,X,X,X,O,X,X
IJTSLZO,O,O,O,X,O,O,X,X,O,X,X,X
IJTSLOZ,O,O,O,X,O,O,X,X,O,X,X,X
IJTSZLO,O,O,O,X,X,O,X,O,O,X,X,X
IJTSZOL,O,O,O,X,X,O,X,O,O,X,X,X
IJTSOLZ,O,O,O,O,X,O,X,X,O,X,X,X
IJTSOZL,X,O,O,O,X,O,X,X,O,X,X,X
IJTZLSO,O,O,O,X,X,X,X,O,O,X,X,X
IJTZLOS,O,X,O,X,X,X,X,O,X,X,X,X
IJTZSLO,O,O,O,X,X,X,X,O,O,X,X,X
IJTZSOL,O,O,O,X,X,X,X,O,O,X,X,X
IJTZOLS,O,X,O,X,X,X,X,O,X,X,X,X
IJTZOSL,O,X,X,X,X,X,X,O,X,X,X,X
IJTOLSZ,O,X,X,X,O,X,X,X,X,O,X,X
IJTOLZS,O,X,O,X,X,X,X,X,X,O,X,X
IJTOSLZ,O,X,X,O,X,O,X,X,X,X,X,X
IJTOSZL,X,X,X,O,X,O,X,X,X,X,X,X
IJTOZLS,O,X,O,X,X,X,X,O,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X,O,X,X,X,X
IJLTSZO,O,O,O,X,O,X,X,X,O,X,X,X
IJLTSOZ,O,O,O,X,O,X,X,X,O,O,X,X
IJLTZSO,O,O,O,X,X,X,X,O,O,X,X,X
IJLTZOS,O,X,O,X,X,X,X,X,X,O,X,X
IJLTOSZ,O,X,X,X,O,X,X,X,O,O,X,X
IJLTOZS,O,X,O,X,X,X,X,X,X,O,X,X
IJLSTZO,X,O,O,X,O,O,X,X,O,X,X,X
IJLSTOZ,O,O,O,X,O,O,X,X,O,X,X,X
IJLSZTO,X,O,O,X,O,X,X,X,O,X,X,X
IJLSZOT,X,X,O,X,O,X,X,X,O,X,X,X
IJLSOTZ,O,O,X,X,O,O,X,X,O,X,X,X
IJLSOZT,X,X,O,X,O,X,X,X,O,X,X,X
IJLZTSO,O,X,O,X,X,X,X,X,O,X,X,X
IJLZTOS,O,X,O,X,X,X,X,X,X,X,X,X
IJLZSTO,O,X,O,X,O,X,X,X,O,X,X,X
IJLZSOT,O,X,O,X,O,X,X,X,O,X,X,X
IJLZOTS,O,X,O,X,X,X,X,X,X,X,X,X
IJLZOST,X,X,O,X,O,X,X,X,O,X,X,X
IJLOTSZ,O,O,O,X,O,X,X,X,O,O,X,X
IJLOTZS,O,O,O,X,X,X,X,X,X,O,X,X
IJLOSTZ,O,O,O,X,O,O,X,X,O,X,X,X
IJLOSZT,X,X,O,X,O,X,X,X,O,X,X,X
IJLOZTS,O,X,O,X,X,X,X,X,O,X,X,X
IJLOZST,X,X,O,X,O,X,X,X,O,X,X,X
IJSTLZO,X,O,O,X,O,O,X,X,O,X,X,X
IJSTLOZ,O,O,O,X,O,O,X,X,O,X,X,X
IJSTZLO,X,O,O,X,X,O,X,O,O,X,X,X
IJSTZOL,X,O,O,X,X,O,X,O,O,X,X,X
IJSTOLZ,O,O,O,X,X,O,X,X,O,X,X,X
IJSTOZL,X,O,O,X,X,O,X,X,O,X,X,X
IJSLTZO,X,O,O,X,O,O,X,X,O,X,X,X
IJSLTOZ,O,O,O,X,O,O,X,X,O,X,X,X
IJSLZTO,X,O,O,X,O,X,X,X,O,X,X,X
IJSLZOT,X,X,O,X,O,X,X,X,O,X,X,X
IJSLOTZ,O,O,X,X,O,O,X,X,O,X,X,X
IJSLOZT,X,X,O,X,O,X,X,X,O,X,X,X
IJSZTLO,X,O,O,X,X,O,X,X,O,X,X,X
IJSZTOL,X,O,O,X,X,O,X,X,O,X,X,X
IJSZLTO,X,O,O,X,O,X,X,X,O,X,X,X
IJSZLOT,X,X,O,X,O,X,X,X,O,X,X,X
IJSZOTL,X,X,X,X,X,O,X,X,O,X,X,X
IJSZOLT,X,X,O,X,X,X,X,X,O,X,X,X
IJSOTLZ,O,O,X,O,X,O,X,X,O,X,X,X
IJSOTZL,X,O,X,O,X,O,X,X,O,X,X,X
IJSOLTZ,O,O,X,O,O,O,X,X,O,X,X,X
IJSOLZT,X,X,O,O,O,X,X,X,O,X,X,X
IJSOZTL,X,X,X,O,X,O,X,X,O,X,X,X
IJSOZLT,X,X,O,O,X,X,X,X,O,X,X,X
IJZTLSO,O,X,O,X,X,X,X,O,O,X,X,X
IJZTLOS,O,X,O,X,X,X,X,O,X,X,X,X
IJZTSLO,O,X,O,X,X,X,X,O,O,X,X,X
IJZTSOL,O,X,O,X,X,X,X,O,O,X,X,X
IJZTOLS,O,X,O,X,X,X,X,O,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,O,X,X,X,X
IJZLTSO,O,X,O,X,X,X,X,X,O,X,X,X
IJZLTOS,O,X,O,X,X,X,X,X,X,X,X,X
IJZLSTO,O,X,O,X,O,X,X,X,O,X,X,X
IJZLSOT,O,X,O,X,O,X,X,X,O,X,X,X
IJZLOTS,O,X,O,X,X,X,X,X,X,X,X,X
IJZLOST,X,X,O,X,O,X,X,X,O,X,X,X
IJZSTLO,O,X,O,X,X,O,X,X,O,X,X,X
IJZSTOL,O,X,O,X,X,O,X,X,O,X,X,X
IJZSLTO,O,X,O,X,O,X,X,X,O,X,X,X
IJZSLOT,O,X,O,X,O,X,X,X,O,X,X,X
IJZSOTL,O,X,X,O,X,O,X,X,O,X,X,X
IJZSOLT,O,X,O,O,X,X,X,X,O,X,X,X
IJZOTLS,O,X,O,X,X,X,X,O,X,X,X,X
IJZOTSL,O,X,O,X,X,X,X,X,X,X,X,X
IJZOLTS,O,X,O,X,X,X,X,X,X,X,X,X
IJZOLST,X,X,O,X,O,X,X,X,O,X,X,X
IJZOSTL,X,X,O,O,X,O,X,X,O,X,X,X
IJZOSLT,X,X,O,O,X,X,X,X,O,X,X,X
IJOTLSZ,O,O,O,X,O,X,X,X,X,O,X,X
IJOTLZS,O,O,O,X,X,X,X,X,X,O,X,X
IJOTSLZ,O,O,O,O,X,O,X,X,X,X,X,X
IJOTSZL,X,O,O,O,X,O,X,X,X,X,X,X
IJOTZLS,O,O,O,X,X,X,X,O,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X,O,X,X,X,X
IJOLTSZ,O,O,O,X,O,X,X,X,O,O,X,X
IJOLTZS,O,O,O,X,X,X,X,X,X,O,X,X
IJOLSTZ,O,O,O,X,O,O,X,X,O,X,X,X
IJOLSZT,X,X,O,X,O,X,X,X,O,X,X,X
IJOLZTS,O,X,O,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,O,X,O,X,X,X,O,X,X,X
IJOSTLZ,O,O,O,O,X,O,X,X,O,X,X,X
IJOSTZL,X,O,O,O,X,O,X,X,O,X,X,X
IJOSLTZ,O,O,O,O,O,O,X,X,O,X,X,X
IJOSLZT,X,X,O,O,O,X,X,X,O,X,X,X
IJOSZTL,X,X,O,O,X,O,X,X,O,X,X,X
IJOSZLT,X,X,O,O,X,X,X,X,O,X,X,X
IJOZTLS,O,X,O,X,X,X,X,O,X,X,X,X
IJOZTSL,O,X,O,X,X,X,X,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,O,X,O,X,X,X,O,X,X,X
IJOZSTL,X,X,O,O,X,O,X,X,O,X,X,X
IJOZSLT,X,X,O,O,X,X,X,X,O,X,X,X
ISTLJZO,X,O,X,X,X,X,X,X,O,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X,O,O,X,X
ISTLZJO,X,O,X,X,X,X,O,X,O,X,X,X
ISTLZOJ,X,O,X,X,X,X,O,X,O,X,X,X
ISTLOJZ,O,O,X,O,X,X,X,X,X,O,X,X
ISTLOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,O,X,X,X,O,X,X,O,X,X,X
ISTJLOZ,X,O,X,X,X,O,X,X,O,X,X,X
ISTJZLO,X,O,X,X,X,O,X,X,O,X,X,X
ISTJZOL,X,O,X,X,X,O,X,X,O,X,X,X
ISTJOLZ,X,O,X,O,X,O,X,X,O,X,X,X
ISTJOZL,X,O,X,O,X,O,X,X,O,X,X,X
ISTZLJO,X,O,X,X,X,X,O,X,O,X,X,X
ISTZLOJ,X,O,X,X,X,X,O,X,X,X,X,X
ISTZJLO,X,O,X,X,X,X,O,X,O,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X,O,X,X,X
ISTZOLJ,X,O,X,X,X,X,O,X,X,X,X,X
ISTZOJL,X,O,X,O,X,X,X,X,O,X,X,X
ISTOLJZ,O,O,X,O,X,X,X,X,X,O,X,X
ISTOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,O,X,O,X,X,X,X,X,X
ISTOJZL,X,O,X,O,X,O,X,X,X,X,X,X
ISTOZLJ,X,O,X,O,X,X,X,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,X,X,X,X
ISLTJZO,X,O,X,X,O,X,X,X,O,X,X,X
ISLTJOZ,X,O,X,X,O,X,X,X,O,O,X,X
ISLTZJO,X,O,X,X,X,X,O,X,O,X,X,X
ISLTZOJ,X,O,X,X,X,X,O,X,O,X,X,X
ISLTOJZ,O,O,X,X,O,X,X,X,X,O,X,X
ISLTOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,O,X,X,O,X,X,X,O,X,X,X
ISLJTOZ,O,O,X,X,O,X,X,X,O,X,X,X
ISLJZTO,X,O,X,X,O,X,X,X,O,X,X,X
ISLJZOT,X,X,X,X,O,X,X,X,O,X,X,X
ISLJOTZ,O,O,X,X,O,X,X,X,O,X,X,X
ISLJOZT,O,X,X,X,O,X,X,X,O,X,X,X
ISLZTJO,X,O,X,X,X,X,O,X,O,X,X,X
ISLZTOJ,O,O,X,X,X,X,O,X,O,X,X,O
ISLZJTO,O,O,X,X,X,X,X,X,O,X,X,X
ISLZJOT,O,X,X,X,X,X,X,X,O,X,X,O
ISLZOTJ,O,O,X,X,X,X,X,X,O,X,X,O
ISLZOJT,O,X,X,X,X,X,X,X,X,X,X,O
ISLOTJZ,O,O,X,O,O,X,X,X,O,O,X,X
ISLOTZJ,O,O,X,X,X,X,O,X,O,X,X,X
ISLOJTZ,O,O,X,O,O,X,X,X,O,X,X,X
ISLOJZT,O,X,X,O,O,X,X,X,O,X,X,X
ISLOZTJ,O,O,X,O,X,X,O,X,O,X,X,X
ISLOZJT,O,X,X,O,X,X,X,X,O,X,X,X
ISJTLZO,X,O,X,X,O,O,X,X,O,X,X,X
ISJTLOZ,O,O,X,X,O,O,X,X,O,X,X,X
ISJTZLO,X,O,X,X,X,O,X,X,O,X,X,X
ISJTZOL,X,O,X,X,X,O,X,X,O,X,X,X
ISJTOLZ,O,O,X,X,X,O,X,X,O,X,X,X
ISJTOZL,X,O,X,X,X,O,X,X,O,X,X,X
ISJLTZO,X,O,X,X,O,O,X,X,O,X,X,X
ISJLTOZ,O,O,X,X,O,O,X,X,O,X,X,X
ISJLZTO,X,O,X,X,O,X,X,X,O,X,X,X
ISJLZOT,X,X,X,X,O,X,X,X,O,X,X,X
ISJLOTZ,O,O,X,X,O,O,X,X,O,X,X,X
ISJLOZT,O,X,X,X,O,X,X,X,O,X,X,X
ISJZTLO,X,O,X,X,X,O,X,X,O,X,X,X
ISJZTOL,X,O,X,X,X,O,X,X,O,X,X,X
ISJZLTO,X,O,X,X,O,X,X,X,O,X,X,X
ISJZLOT,X,X,X,X,O,X,X,X,O,X,X,X
ISJZOTL,X,X,X,X,X,O,X,X,O,X,X,X
ISJZOLT,X,X,X,X,X,X,X,X,O,X,X,X
ISJOTLZ,O,O,X,O,X,O,X,X,O,X,X,X
ISJOTZL,X,O,X,O,X,O,X,X,O,X,X,X
ISJOLTZ,O,O,X,O,O,O,X,X,O,X,X,X
ISJOLZT,O,X,X,O,O,X,X,X,O,X,X,X
ISJOZTL,X,X,X,O,X,O,X,X,O,X,X,X
ISJOZLT,X,X,X,O,X,X,X,X,O,X,X,X
ISZTLJO,X,O,X,X,X,X,O,X,O,X,X,X
ISZTLOJ,O,O,X,O,X,X,O,X,O,X,X,O
ISZTJLO,X,O,X,X,X,X,O,X,O,X,X,X
ISZTJOL,X,O,X,O,X,X,X,X,O,X,X,X
ISZTOLJ,O,O,X,O,X,X,O,X,X,X,X,O
ISZTOJL,X,O,X,O,X,X,X,X,O,X,X,X
ISZLTJO,X,O,X,X,X,X,O,X,O,X,X,X
ISZLTOJ,O,O,X,X,X,X,O,X,O,X,X,O
ISZLJTO,O,O,X,X,X,X,X,X,O,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,O,X,X,O
ISZLOTJ,O,O,X,O,X,X,X,X,O,X,X,O
ISZLOJT,O,X,X,O,X,X,X,X,X,X,X,O
ISZJTLO,O,O,X,X,X,X,X,X,O,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,O,X,X,X
ISZJLTO,O,O,X,X,X,X,X,X,O,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,O,X,X,O
ISZJOTL,O,X,X,O,X,X,X,X,O,X,X,X
ISZJOLT,O,X,X,O,X,X,X,X,O,X,X,O
ISZOTLJ,O,O,X,O,X,X,X,X,X,X,X,O
ISZOTJL,X,O,X,O,X,X,X,X,O,X,X,X
ISZOLTJ,O,O,X,O,X,X,X,X,O,X,X,O
ISZOLJT,O,X,X,O,X,X,X,X,X,X,X,O
ISZOJTL,O,X,X,O,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,O,X,X,X,X,X,X,X,O
ISOTLJZ,O,O,X,O,X,X,X,X,X,O,X,X
ISOTLZJ,O,O,X,X,X,X,O,X,X,X,X,X
ISOTJLZ,X,O,X,O,X,O,X,X,X,X,X,X
ISOTJZL,X,O,X,O,X,O,X,X,X,X,X,X
ISOTZLJ,X,O,X,O,X,X,O,X,X,X,X,X
ISOTZJL,X,O,X,O,X,X,O,X,X,X,X,X
ISOLTJZ,O,O,X,O,X,X,X,X,X,O,X,X
ISOLTZJ,O,O,X,X,X,X,O,X,X,X,X,X
ISOLJTZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,X,O,X,X,O,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,O,X,O,X,X,X,X,X,X
ISOJTZL,X,O,X,O,X,O,X,X,X,X,X,X
ISOJLTZ,O,O,X,O,X,O,X,X,X,X,X,X
ISOJLZT,O,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,O,X,O,X,X,X,X,X,X
ISOJZLT,X,X,X,O,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,O,X,X,O,X,X,X,X,X
ISOZTJL,X,O,X,O,X,X,O,X,X,X,X,X
ISOZLTJ,O,O,X,O,X,X,O,X,X,X,X,X
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,O,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,O,X,X,X,X,X,X,X,X
IZTLJSO,X,O,O,X,X,X,O,X,X,X,X,X
IZTLJOS,X,X,O,X,X,X,X,X,X,O,X,X
IZTLSJO,X,O,O,X,X,X,O,X,O,X,X,X
IZTLSOJ,X,O,O,O,X,X,O,X,O,X,X,O
IZTLOJS,X,X,O,X,X,X,O,X,X,O,X,X
IZTLOSJ,X,O,O,X,X,X,O,X,X,X,X,O
IZTJLSO,X,O,O,X,X,X,O,O,X,X,X,X
IZTJLOS,X,X,O,X,X,X,X,O,X,X,X,X
IZTJSLO,X,O,X,X,X,X,O,O,X,X,X,X
IZTJSOL,X,O,X,O,X,X,X,O,X,X,X,X
IZTJOLS,X,X,X,X,X,X,X,O,X,X,X,X
IZTJOSL,X,X,X,X,X,X,X,O,X,X,X,X
IZTSLJO,X,O,O,X,X,X,O,X,O,X,X,X
IZTSLOJ,X,O,O,O,X,X,O,X,O,X,X,O
IZTSJLO,X,O,X,X,X,X,O,X,O,X,X,X
IZTSJOL,X,O,X,O,X,X,X,X,O,X,X,X
IZTSOLJ,X,O,X,O,X,X,O,X,X,X,X,O
IZTSOJL,X,O,X,O,X,X,X,X,O,X,X,X
IZTOLJS,X,X,O,X,X,X,O,X,X,O,X,X
IZTOLSJ,X,O,O,X,X,X,O,X,X,X,X,O
IZTOJLS,X,X,X,X,X,X,O,O,X,X,X,X
IZTOJSL,X,X,X,X,X,X,O,X,X,X,X,X
